fullName;shortName;circleColor;shadeColor;emoji
Markus Kägi;SVP;#009F4F;#009F4F;
Rita Fuhrer;SVP;#90bda6;#90bda6;
Markus Notter;SP;#E53136;#E53136;
Regine Aeppli;SP;#e5318c;#e5318c;
Ursula Gut-Winteberger;FDP;#007AD2;#007AD2;
Thomas Heiniger;FDP;#2bc5d5;#2bc5d5;
Hans Hollenstein;CVP;#EF7D00;#EF7D00;
Martin Graf;GPS;#84B414;#84B414;
Martin Bäumle;GLP;#A6CF42;#A6CF42;
Johannes Zollinger;EVP;#EFDA18;#EFDA18;
Markus Alder;SD;#CD5B45;#CD5B45;
