fullName;shortName;circleColor;shadeColor;emoji
;SVP;#009F4F;#009F4F;
;SP;#E53136;#E53136;
;FDP;#007AD2;#007AD2;
;CVP;#EF7D00;#EF7D00;
;GPS;#84B414;#84B414;
;GLP;#A6CF42;#A6CF42;
;EVP;#EFDA18;#EFDA18;
;EDU;#C71585;#C71585;
;SD;#CD5B45;#CD5B45;
;AL;#FA0000;#FA0000;
