;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Vallio Terme;16;9;11;457;81;16;5;87;0;2;5;;7;148;1;0;2;;3;;1;;;;;;;;;;;;200;24
Valvestino;1;0;2;41;13;8;2;26;0;0;2;;0;13;0;0;0;;0;;0;;;;;;;;;;;;56;5
Vestone;19;29;16;917;273;91;40;383;5;7;29;;7;365;9;3;5;;7;;2;;;;;;;;;;;;752;40
Vezza d'Oglio;14;0;5;483;110;25;16;138;2;5;7;;3;70;3;0;0;;2;;1;;;;;;;;;;;;196;23
Villa Carcina;49;46;64;1806;641;300;81;1411;31;27;155;;89;1144;45;3;14;;20;;6;;;;;;;;;;;;1700;94
Villanuova sul Clisi;36;43;19;1113;344;148;85;613;17;9;100;;26;612;22;2;4;;7;;3;;;;;;;;;;;;892;56
Vione;10;2;4;204;45;19;7;75;1;0;3;;3;31;5;0;1;;2;;0;;;;;;;;;;;;118;15
Vobarno;39;38;39;1680;413;156;65;798;8;6;102;;33;698;31;0;7;;12;;8;;;;;;;;;;;;1372;78
Zone;5;1;7;284;48;28;15;135;2;4;13;;11;82;3;0;0;;8;;1;;;;;;;;;;;;217;11
Acquafredda;4;4;24;344;146;36;8;122;2;3;16;;3;143;8;2;7;;2;;1;;;;;;;;;;;;213;17
Bedizzole;128;64;51;2297;820;348;135;1048;19;18;171;;64;1392;41;6;7;;14;;10;;;;;;;;;;;;1886;104
Botticino;57;40;57;2016;763;260;173;1558;22;27;272;;58;1182;39;2;11;;16;;10;;;;;;;;;;;;1606;87
Calcinato;91;47;57;2281;836;241;111;1172;13;24;124;;51;1352;54;4;11;;18;;5;;;;;;;;;;;;1965;115
Calvagese Della Riviera;22;23;23;677;225;118;60;356;10;6;57;;16;423;7;2;0;;4;;1;;;;;;;;;;;;451;38
Calvisano;70;34;44;1804;585;262;65;670;9;20;76;;16;824;43;6;6;;9;;0;;;;;;;;;;;;1147;100
Carpenedolo;65;34;55;2301;852;286;130;1135;20;26;111;;27;1553;30;6;11;;16;;2;;;;;;;;;;;;1950;96
Desenzano del Garda;162;162;219;4019;2222;778;442;2996;51;62;357;;95;3280;63;13;43;;18;;10;;;;;;;;;;;;5425;174
Gavardo;68;100;81;2360;707;324;108;1198;24;16;181;;34;1269;37;0;9;;18;;2;;;;;;;;;;;;1810;88
Ghedi;219;97;76;3130;1143;546;152;1568;30;34;218;;95;2456;64;3;11;;44;;5;;;;;;;;;;;;2860;171
Gottolengo;58;49;63;1039;441;170;14;486;6;12;40;;7;441;19;2;7;;7;;1;;;;;;;;;;;;832;65
Isorella;48;8;20;967;347;100;24;297;6;13;34;;5;404;13;0;1;;7;;2;;;;;;;;;;;;523;45
Lonato del Garda;100;71;116;2989;1045;393;206;1556;19;27;146;;75;2069;39;6;18;;23;;6;;;;;;;;;;;;2782;121
Manerba del Garda;23;26;22;1012;462;160;44;405;10;10;45;;14;607;33;0;4;;3;;3;;;;;;;;;;;;933;31
Mazzano;78;36;30;2415;725;336;155;1220;31;21;140;;24;1553;56;7;15;;19;;4;;;;;;;;;;;;1800;96
Moniga del Garda;20;6;44;427;204;68;44;242;5;12;21;;3;283;5;0;1;;4;;1;;;;;;;;;;;;419;21
Montichiari;161;118;100;4349;1696;492;247;2086;29;39;215;;60;2866;79;7;20;;37;;7;;;;;;;;;;;;4076;209
Muscoline;14;9;8;581;190;92;31;259;3;4;22;;9;318;7;1;4;;7;;2;;;;;;;;;;;;375;17
Nuvolento;32;17;7;864;282;145;28;286;3;6;34;;17;438;15;2;4;;8;;0;;;;;;;;;;;;568;33
Nuvolera;34;33;14;959;304;159;51;421;12;9;63;;25;516;21;2;4;;12;;4;;;;;;;;;;;;648;52
Padenghe sul Garda;23;12;31;751;429;170;69;469;8;5;56;;13;515;16;3;2;;3;;0;;;;;;;;;;;;748;54
Paitone;18;23;18;521;140;62;26;187;0;7;19;;2;193;14;0;2;;8;;4;;;;;;;;;;;;290;24
Polpenazze del Garda;22;13;20;526;243;60;41;269;4;6;45;;11;303;10;0;3;;6;;1;;;;;;;;;;;;415;28
Pozzolengo;23;21;28;684;244;83;31;315;7;7;26;;9;453;16;0;4;;3;;1;;;;;;;;;;;;632;27
Prevalle;41;60;23;1431;467;211;49;478;11;8;79;;19;584;28;7;5;;11;;0;;;;;;;;;;;;994;54
Puegnago del Garda;18;24;34;725;280;79;34;318;7;12;41;;9;390;10;0;11;;2;;5;;;;;;;;;;;;561;35
Rezzato;67;60;68;2155;821;388;210;1732;22;25;240;;61;1381;44;4;11;;14;;2;;;;;;;;;;;;2093;112
Salo';88;139;101;1608;919;323;178;1234;28;29;190;;43;1100;33;7;16;;12;;4;;;;;;;;;;;;1855;109
San Felice del Benaco;34;14;23;583;285;88;80;372;9;7;113;;12;389;13;1;1;;3;;0;;;;;;;;;;;;515;29
Serle;22;34;21;799;147;128;22;274;2;4;30;;14;280;14;1;3;;8;;1;;;;;;;;;;;;554;30
Sirmione;42;30;22;1256;841;187;92;643;14;11;44;;17;1012;16;3;9;;11;;4;;;;;;;;;;;;1407;54
Soiano del Lago;11;14;8;319;177;73;37;160;10;4;30;;9;262;6;0;2;;7;;1;;;;;;;;;;;;276;14
Visano;14;3;10;441;117;48;15;235;8;3;23;;2;286;10;0;2;;3;;0;;;;;;;;;;;;184;27
Adro;46;45;46;2003;513;158;67;496;11;17;61;;23;736;14;6;6;;16;;0;;;;;;;;;;;;1039;79
Berlingo;39;16;10;623;231;54;13;224;3;2;18;;6;293;15;2;1;;4;;0;;;;;;;;;;;;339;28
Capriolo;59;30;29;2173;721;214;91;793;16;20;79;;36;962;30;2;11;;24;;2;;;;;;;;;;;;1428;96
Castegnato;46;39;41;1490;487;219;112;1067;14;22;167;;40;1109;30;10;10;;15;;2;;;;;;;;;;;;978;80
Castelcovati;53;24;19;1398;805;143;45;325;6;12;47;;20;461;22;4;7;;15;;5;;;;;;;;;;;;691;62
Castrezzato;38;15;23;1441;783;143;59;442;2;7;34;;10;670;17;0;3;;15;;2;;;;;;;;;;;;1041;60
Cazzago san Martino;77;113;71;2549;873;312;88;1131;21;19;171;;78;1028;37;10;19;;25;;2;;;;;;;;;;;;1501;124
Chiari;117;55;80;3413;1950;457;235;1845;63;41;211;;62;1564;73;9;20;;35;;2;;;;;;;;;;;;2595;149
Coccaglio;40;21;25;1724;630;206;110;871;9;13;82;;54;794;23;7;5;;22;;4;;;;;;;;;;;;1100;88
Cologne;36;24;33;1492;597;191;93;799;15;10;75;;41;767;35;7;3;;14;;1;;;;;;;;;;;;961;69
Comezzano-Cizzago;41;10;18;881;404;97;12;189;14;93;15;;9;324;15;4;3;;54;;2;;;;;;;;;;;;464;50
Corte Franca;65;44;35;1650;599;201;84;700;7;9;135;;29;721;20;7;9;;17;;2;;;;;;;;;;;;943;61
Erbusco;70;25;43;2097;785;253;81;660;8;9;68;;40;937;36;5;9;;15;;2;;;;;;;;;;;;1125;83
Gussago;120;71;69;2968;1052;522;296;2430;36;30;369;;91;1776;46;9;25;;42;;6;;;;;;;;;;;;2257;121
Iseo;69;53;36;1579;816;293;203;1146;25;17;145;;57;828;26;6;14;;14;;2;;;;;;;;;;;;1403;99
Lograto;52;12;20;733;237;96;48;482;7;12;53;;19;326;11;3;2;;9;;1;;;;;;;;;;;;458;43
Maclodio;11;4;9;242;166;48;7;124;0;3;20;;4;115;1;0;2;;0;;1;;;;;;;;;;;;225;8
Ome;24;14;15;678;199;69;48;457;13;10;78;;21;384;15;4;6;;13;;1;;;;;;;;;;;;354;29
Ospitaletto;122;32;47;2789;804;291;145;1457;19;20;173;;76;1547;48;5;22;;29;;3;;;;;;;;;;;;2029;121
Paderno Franciacorta;27;27;15;704;181;149;49;346;153;7;41;;23;419;15;2;4;;6;;1;;;;;;;;;;;;471;50
Palazzolo Sull'Oglio;217;63;81;3886;1446;467;222;2013;20;30;232;;79;1822;61;9;27;;27;;6;;;;;;;;;;;;2807;160
Paratico;33;23;21;1069;416;123;40;411;5;11;48;;14;488;11;2;6;;10;;3;;;;;;;;;;;;740;63
Passirano;47;25;24;1385;446;171;101;953;28;13;138;;58;785;19;1;4;;10;;3;;;;;;;;;;;;1025;74
Pontoglio;57;12;28;1543;671;168;48;524;8;22;50;;8;549;24;4;8;;6;;1;;;;;;;;;;;;995;48
Provaglio d'Iseo;33;45;57;1381;372;129;81;933;22;16;135;;35;934;25;7;9;;11;;8;;;;;;;;;;;;1047;65
Rodengo Saiano;75;77;46;1910;623;298;112;1257;32;28;168;;39;1216;47;2;4;;14;;4;;;;;;;;;;;;1266;83
Rovato;120;40;50;3344;1212;433;176;1650;26;36;176;;77;1755;44;3;15;;105;;2;;;;;;;;;;;;2811;169
Torbole Casaglia;53;18;29;1373;337;176;68;578;11;13;83;;22;879;32;5;4;;11;;1;;;;;;;;;;;;894;56
Travagliato;144;75;36;3130;1090;274;123;1115;22;19;137;;61;1586;43;4;13;;20;;2;;;;;;;;;;;;1923;104
Trenzano;184;14;29;1346;605;132;41;305;0;12;23;;9;462;22;5;5;;18;;0;;;;;;;;;;;;630;53
Alme';26;31;23;1356;405;152;57;683;7;18;64;;26;593;15;1;;;3;;;;;;;;;;;;;;870;50
Azzano san Paolo;30;21;58;1524;628;143;94;926;22;24;87;;28;744;17;2;;;11;;;;;;;;;;;;;;1014;61
Bergamo;496;410;461;13875;8208;3142;3535;18189;706;385;2541;;1087;10443;192;76;;;139;;;;;;;;;;;;;;18629;833
Curno;47;27;27;1388;536;198;97;1124;23;16;101;;54;810;15;4;;;11;;;;;;;;;;;;;;1148;64
Dalmine;97;113;74;4358;1418;441;304;3103;36;43;380;;151;2767;54;8;;;24;;;;;;;;;;;;;;3660;151
Gorle;31;38;23;1086;483;193;187;1004;22;14;101;;32;668;10;6;;;3;;;;;;;;;;;;;;867;49
Lallio;25;10;8;866;290;109;69;504;3;9;47;;22;485;9;4;;;7;;;;;;;;;;;;;;554;28
Mozzo;52;30;31;1280;564;190;176;1270;13;20;143;;40;703;19;1;;;18;;;;;;;;;;;;;;985;46
Paladina;30;27;14;912;317;121;44;525;5;13;49;;20;422;10;2;;;15;;;;;;;;;;;;;;514;45
Pedrengo;35;29;20;1146;463;175;77;799;17;15;72;;29;660;13;1;;;14;;;;;;;;;;;;;;770;37
