fullName;shortName;circleColor;shadeColor;emoji
;LeU;#C72837;#C72837;
;PD;#EF1C27;#EF1C27;
;+E;#FFD700;#FFD700;
;Insieme;#3CB371;#3CB371;
;CP;#DF0174;#DF0174;
;SVP-PATT;#000000;#000000;
;CSX;#EF3E3E;#EF3E3E;
;MAIE;#333B8E;#333B8E;
;USEI;#DEE573;#DEE573;
;M5S;#FFEB3B;#FFEB3B;
;NcI-UDC;#1F6BB8;#1F6BB8;
;FI;#0087DC;#0087DC;
;Lega;#008000;#008000;
;FdI;#03386A;#03386A;
;CDX;#0A6BE1;#0A6BE1;
