Richterswil;Ursula Gut-Winteberger;0.4173
Rüschlikon;Ursula Gut-Winteberger;0.4983
Schönenberg;Ursula Gut-Winteberger;0.5050
Thalwil;Ursula Gut-Winteberger;0.4081
Wädenswil;Ursula Gut-Winteberger;0.3861
Erlenbach;Ursula Gut-Winteberger;0.5441
Herrliberg;Ursula Gut-Winteberger;0.5725
Hombrechtikon;Ursula Gut-Winteberger;0.5089
Küsnacht;Ursula Gut-Winteberger;0.5842
Männedorf;Ursula Gut-Winteberger;0.4723
Meilen;Ursula Gut-Winteberger;0.5251
Oetwil am See;Ursula Gut-Winteberger;0.4814
Stäfa;Ursula Gut-Winteberger;0.4746
Uetikon am See;Ursula Gut-Winteberger;0.4910
Zollikon;Ursula Gut-Winteberger;0.5324
Zumikon;Ursula Gut-Winteberger;0.5824
Bauma;Ursula Gut-Winteberger;0.4748
Fehraltorf;Ursula Gut-Winteberger;0.4541
Hittnau;Ursula Gut-Winteberger;0.4397
Illnau-Effretikon;Ursula Gut-Winteberger;0.4209
Kyburg;Hans Hollenstein;0.5143
Lindau;Hans Hollenstein;0.4601
Pfäffikon;Ursula Gut-Winteberger;0.4367
Russikon;Ursula Gut-Winteberger;0.4856
Sternenberg;Ursula Gut-Winteberger;0.4033
Weisslingen;Hans Hollenstein;0.4469
Wila;Ursula Gut-Winteberger;0.4638
Wildberg;Ursula Gut-Winteberger;0.5033
Dübendorf;Martin Bäumle;0.4421
Egg;Ursula Gut-Winteberger;0.4670
Fällanden;Ursula Gut-Winteberger;0.4366
Greifensee;Hans Hollenstein;0.4231
Maur;Ursula Gut-Winteberger;0.5074
Mönchaltorf;Ursula Gut-Winteberger;0.4435
Schwerzenbach;Ursula Gut-Winteberger;0.4360
Uster;Ursula Gut-Winteberger;0.4140
Volketswil;Ursula Gut-Winteberger;0.4727
Wangen-Brüttisellen;Ursula Gut-Winteberger;0.4777
Altikon;Ursula Gut-Winteberger;0.5741
Bertschikon;Ursula Gut-Winteberger;0.5992
Brütten;Ursula Gut-Winteberger;0.4823
Dägerlen;Ursula Gut-Winteberger;0.5157
Dättlikon;Hans Hollenstein;0.4146
Dinhard;Ursula Gut-Winteberger;0.5158
Elgg;Hans Hollenstein;0.4628
Ellikon an der Thur;Ursula Gut-Winteberger;0.5311
Elsau;Ursula Gut-Winteberger;0.4419
Hagenbuch;Ursula Gut-Winteberger;0.5451
Hettlingen;Ursula Gut-Winteberger;0.4776
Hofstetten;Rita Fuhrer;0.5475
Neftenbach;Ursula Gut-Winteberger;0.4634
Pfungen;Ursula Gut-Winteberger;0.4604
Rickenbach;Ursula Gut-Winteberger;0.4918
Schlatt;Ursula Gut-Winteberger;0.3889
Seuzach;Ursula Gut-Winteberger;0.4921
Turbenthal;Hans Hollenstein;0.3996
Wiesendangen;Ursula Gut-Winteberger;0.4728
Winterthur;Hans Hollenstein;0.4895
Zell;Hans Hollenstein;0.4586
Stadt Zürich, Kreis 1+2;Markus Notter;0.4522
Stadt Zürich, Kreis 3;Markus Notter;0.5076
Stadt Zürich, Kreis 4+5;Markus Notter;0.5543
Stadt Zürich, Kreis 6;Markus Notter;0.4857
Stadt Zürich, Kreis 7+8;Markus Notter;0.4426
Stadt Zürich, Kreis 9;Markus Notter;0.4229
Stadt Zürich, Kreis 10;Markus Notter;0.4581
Stadt Zürich, Kreis 11;Markus Notter;0.4031
Stadt Zürich, Kreis 12;Markus Notter;0.4033
