Aeugst am Albis;Thomas Heiniger;0.4238
Affoltern am Albis;Ernst Stocker;0.4118
Bonstetten;Mario Fehr;0.4187
Hausen am Albis;Ernst Stocker;0.4403
Hedingen;Mario Fehr;0.4474
Kappel am Albis;Ernst Stocker;0.5947
Knonau;Ernst Stocker;0.4348
Maschwanden;Markus Kägi;0.5089
Mettmenstetten;Ernst Stocker;0.4182
Obfelden;Ernst Stocker;0.4376
Ottenbach;Ernst Stocker;0.4188
Rifferswil;Martin Graf;0.5061
Stallikon;Thomas Heiniger;0.4439
Wettswil am Albis;Thomas Heiniger;0.4842
Adlikon;Ernst Stocker;0.7228
Benken;Ernst Stocker;0.5435
Berg am Irchel;Markus Kägi;0.5416
Buch am Irchel;Markus Kägi;0.5622
Dachsen;Martin Graf;0.4106
Dorf;Ernst Stocker;0.5954
Feuerthalen;Ernst Stocker;0.4120
Flaach;Ernst Stocker;0.6151
Flurlingen;Mario Fehr;0.4520
Andelfingen;Markus Kägi;0.4642
Henggart;Ernst Stocker;0.4679
Humlikon;Ernst Stocker;0.6641
Kleinandelfingen;Ernst Stocker;0.4799
Laufen-Uhwiesen;Markus Kägi;0.4771
Marthalen;Ernst Stocker;0.5548
Oberstammheim;Ernst Stocker;0.5286
Ossingen;Ernst Stocker;0.5478
Rheinau;Mario Fehr;0.4366
Thalheim an der Thur;Ernst Stocker;0.5947
Trüllikon;Ernst Stocker;0.5451
Truttikon;Markus Kägi;0.5833
Unterstammheim;Ernst Stocker;0.5043
Volken;Ernst Stocker;0.6744
Waltalingen;Ernst Stocker;0.5127
Bachenbülach;Ernst Stocker;0.4997
Bassersdorf;Thomas Heiniger;0.4084
Bülach;Markus Kägi;0.4203
Dietlikon;Thomas Heiniger;0.4234
Eglisau;Markus Kägi;0.4306
Embrach;Ernst Stocker;0.4407
Freienstein-Teufen;Ernst Stocker;0.4176
Glattfelden;Markus Kägi;0.5133
Hochfelden;Markus Kägi;0.5168
Höri;Markus Kägi;0.5886
Hüntwangen;Ernst Stocker;0.4596
Kloten;Ernst Stocker;0.4287
Lufingen;Ernst Stocker;0.4549
Nürensdorf;Ernst Stocker;0.4651
Oberembrach;Ernst Stocker;0.6054
Opfikon;Ernst Stocker;0.4685
Rafz;Ernst Stocker;0.4702
Rorbas;Ernst Stocker;0.4422
Wallisellen;Thomas Heiniger;0.4493
Wasterkingen;Markus Kägi;0.5000
Wil;Ernst Stocker;0.5540
Winkel;Markus Kägi;0.4989
Bachs;Markus Kägi;0.6446
Boppelsen;Ernst Stocker;0.4410
Buchs;Ernst Stocker;0.4689
Dällikon;Ernst Stocker;0.4814
Dänikon;Markus Kägi;0.4591
Dielsdorf;Markus Kägi;0.4362
Hüttikon;Ernst Stocker;0.6694
Neerach;Markus Kägi;0.5498
Niederglatt;Markus Kägi;0.5324
Niederhasli;Markus Kägi;0.4632
Niederweningen;Mario Fehr;0.3920
Oberglatt;Markus Kägi;0.4513
Oberweningen;Markus Kägi;0.4533
Otelfingen;Ernst Stocker;0.4285
Regensberg;Ursula Gut-Winterberger;0.4268
Regensdorf;Ernst Stocker;0.4838
Rümlang;Markus Kägi;0.4797
Schleinikon;Ernst Stocker;0.4518
Schöfflisdorf;Markus Kägi;0.5000
Stadel;Markus Kägi;0.6317
Steinmaur;Markus Kägi;0.4709
Weiach;Markus Kägi;0.5819
Bäretswil;Ernst Stocker;0.5335
Bubikon;Ernst Stocker;0.4374
Dürnten;Ernst Stocker;0.4988
Fischenthal;Ernst Stocker;0.6611
Gossau;Ernst Stocker;0.5078
Grüningen;Ernst Stocker;0.4775
Hinwil;Ernst Stocker;0.5011
Rüti;Ernst Stocker;0.4019
Seegräben;Ernst Stocker;0.4813
Wald;Ernst Stocker;0.4783
Wetzikon;Ernst Stocker;0.4313
Adliswil;Mario Fehr;0.4302
Hirzel;Ernst Stocker;0.5170
Horgen;Ernst Stocker;0.4308
Hütten;Ernst Stocker;0.6073
Kilchberg;Thomas Heiniger;0.5050
Langnau am Albis;Thomas Heiniger;0.4493
Oberrieden;Thomas Heiniger;0.4495
Richterswil;Ernst Stocker;0.4565
Rüschlikon;Thomas Heiniger;0.4685
Schönenberg;Ernst Stocker;0.5912
Thalwil;Thomas Heiniger;0.4342
Wädenswil;Ernst Stocker;0.4747
Erlenbach;Thomas Heiniger;0.5123
Herrliberg;Thomas Heiniger;0.5151
Hombrechtikon;Ernst Stocker;0.5022
Küsnacht;Ursula Gut-Winterberger;0.5436
Männedorf;Thomas Heiniger;0.4427
Meilen;Ursula Gut-Winterberger;0.4756
Oetwil am See;Ernst Stocker;0.4852
Stäfa;Ursula Gut-Winterberger;0.4484
Uetikon am See;Ursula Gut-Winterberger;0.4705
Zumikon;Ursula Gut-Winterberger;0.5543
Zollikon;Thomas Heiniger;0.5001
Bauma;Ernst Stocker;0.5499
Fehraltorf;Ernst Stocker;0.4256
Hittnau;Ernst Stocker;0.4415
Illnau-Effretikon;Martin Graf;0.4421
Kyburg;Martin Graf;0.4309
Lindau;Ernst Stocker;0.4195
Pfäffikon;Thomas Heiniger;0.4074
Russikon;Ernst Stocker;0.4908
Sternenberg;Ernst Stocker;0.4751
Weisslingen;Ernst Stocker;0.5041
Wila;Ernst Stocker;0.5020
Wildberg;Ernst Stocker;0.5500
Dübendorf;Thomas Heiniger;0.3979
Egg;Thomas Heiniger;0.4347
Fällanden;Thomas Heiniger;0.4390
Greifensee;Mario Fehr;0.4254
Maur;Thomas Heiniger;0.4645
Mönchaltorf;Ernst Stocker;0.4350
Schwerzenbach;Thomas Heiniger;0.4197
Uster;Mario Fehr;0.4483
Volketswil;Ernst Stocker;0.4563
Wangen-Brüttisellen;Ernst Stocker;0.4768
Altikon;Ernst Stocker;0.5775
Bertschikon;Markus Kägi;0.7382
Brütten;Thomas Heiniger;0.4318
Dägerlen;Markus Kägi;0.4618
Dättlikon;Hans Hollenstein;0.4388
Dinhard;Ernst Stocker;0.5134
Elgg;Hans Hollenstein;0.4296
Ellikon an der Thur;Ernst Stocker;0.4692
Elsau;Ernst Stocker;0.4401
Hagenbuch;Ernst Stocker;0.6316
Hettlingen;Hans Hollenstein;0.4396
Hofstetten ZH;Ernst Stocker;0.6744
Neftenbach;Ernst Stocker;0.4251
Pfungen;Ernst Stocker;0.4801
Rickenbach;Ernst Stocker;0.4493
Schlatt;Ernst Stocker;0.5193
Seuzach;Ernst Stocker;0.4762
Turbenthal;Ernst Stocker;0.4597
Wiesendangen;Hans Hollenstein;0.4265
Winterthur;Mario Fehr;0.4385
Zell;Ernst Stocker;0.4220
Aesch;Ernst Stocker;0.5111
Birmensdorf;Ernst Stocker;0.4652
Dietikon;Ernst Stocker;0.4273
Geroldswil;Ernst Stocker;0.4767
Oberengstringen;Ernst Stocker;0.4315
Oetwil an der Limmat;Markus Kägi;0.5035
Schlieren;Mario Fehr;0.3954
Uitikon;Thomas Heiniger;0.5402
Unterengstringen;Ernst Stocker;0.5276
Urdorf;Ernst Stocker;0.3959
Weiningen;Ernst Stocker;0.5012
Stadt Zürich, Kreis 1+2;Mario Fehr;0.5086
Stadt Zürich, Kreis 3;Mario Fehr;0.5937
Stadt Zürich, Kreis 4+5;Mario Fehr;0.6542
Stadt Zürich, Kreis 6;Mario Fehr;0.5577
Stadt Zürich, Kreis 7+8;Mario Fehr;0.4798
