;WN;VVD;CDA;PvdA;50+;AWP;PvdD;CU;SGP;Groen, Water & Land;Waterschapspartij Hollandse Delta;CU-SGP;Water, Wonen en Natuur;Ons Water;Waterbelang Parkstad;Lokaal Waterbeheer;Waterbelang Westelijke Mijnstreek;Waterbelang Midden-Limburg;De Groenen;Fryske Nasjonale Partij (FNP);West-Brabant Waterbreed;Gemeentebelangen Drenthe~Overijssel;Waterbelang Heuvelland;Vrienden van de Berkel;AWPenLRR niet politiek, wel lokaal;Lagere Lasten Burger;Lokaal Limburg;Waterbelang Venlo;Waterbelang Land van Weert + Leudal;Partij voor Zeeland;AWP niet politiek, wel deskundig;Hollandse Delta Natuurlijk;SGP-ChristenUnie;Waterbelang Maastricht;Waterbelang Venray en Maasduinen;Ouderen Appèl - Hart voor Water;Natuurlijk BBW;Waterbelang Horst-Helden-Beesel;Werken aan Water;Werk aan Water Flevoland;Waterschap@inwonersbelangen;OUDERENPARTIJ;Ons-Platteland;Waterschapspartij Zeeuws-Vlaanderen;Forum Duurzaam Effectief Waterschap;Waterschapspartij PUUR.;Betaalbaar Water;Vereniging Dorpshuizen en Kleine Kernen;AWP Niet Politiek Wel Deskundig;Trots op Nederland (TROTS);Socialistische Waterschapsvereniging;Ouderen Politiek Actief (OPA);Verenigde Senioren Partij;QUEER;Partij Sociaal Cultureel Centrum (PSCC);Blanco lijst 8;Blanco lijst 11;De Republikeinse Politieke Partij;Integer Liberaal;@abs;@inv;@blank
Arnhem (Vallei en Veluwe);17;2;0;4;2;3;;1;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;10;0;0
Arnhem (Rijn en IJssel);10682;4939;3215;9018;2300;1506;;;;;;;;;;;;;;;;;;746;;;;;;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;;;35492;262;1198
Arnhem (Rivierenland);4450;2955;2511;4263;2401;;3509;1203;242;;;;;;;;;;;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34678;206;627
Assen (Hunze en Aa's);8140;2280;1895;4222;2591;1739;;3151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21438;118;397
Assen (Noorderzijlvest);30;31;26;18;3;4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;94;0;0
Assen (Drents Overijsselse Delta);1169;871;348;;353;403;;638;76;;;;;;;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3593;6;85
Asten;2017;860;2769;466;491;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;;;;;;;;;;;;;;;;;;;;;;;;6260;34;227
Baarle-Nassau (De Dommel);32;21;45;13;33;6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;8;;;;;;;;;;;;;;;;;;;;;166;0;4
Baarle-Nassau (Brabantse Delta);246;332;859;144;244;53;174;21;;;;;;224;;;;;;;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2856;11;36
Baarn;1747;2614;1357;1519;1283;889;;858;227;;;;;;;708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;8368;54;225
Barendrecht;1405;2818;2158;1523;1628;1016;;1282;1276;;5436;;;;;;;;;;;;;;;;;;;;;1251;;;;;;;;;;;;;;;;;;;;;;;;;;;;17347;75;377
Barneveld;1373;3717;4149;1160;1430;1036;;4625;8319;;;;;;;1593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;;;;;;;15271;81;296
Beek;569;666;;;387;377;;;;;;;;;111;;4093;145;;;;;256;;;;437;33;33;;;;;124;27;;;7;;;;;;;;;;;;;;;;;;;;;;5979;63;231
Beekdaelen;1316;1498;;;644;645;;;;;;;;;4735;;3717;239;;;;;943;;;;916;77;57;;;;;120;31;;;23;;;;;;;;;;;;;;;;;;;;;;14459;113;482
Beemster;396;657;525;492;202;769;;58;;1283;;;;;;;;;;;;;;;;;;;;;;;;;;;364;;;;;;;;;;;;;;;;;;;;;;;2934;11;73
Beesel;792;319;;;149;83;;;;;;;;;11;;24;465;;;;;12;;;;317;310;28;;;;;9;40;;;2859;;;;;;;;;;;;;;;;;;;;;;5519;43;129
Berg en Dal;3302;1730;3569;2097;1591;;2059;262;109;;;;;;;;;;;;;;;;853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12977;80;301
Bergeijk;1213;1372;1981;648;409;184;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;;;1615;;;;;;;;;;;;;;;;;;;;;7322;36;149
Bergen (Limburg);362;364;;;155;79;;;;;;;;;2;;14;100;;;;;15;;;;160;155;23;;;;;11;3864;;;15;;;;;;;;;;;;;;;;;;;;;;5498;22;115
Bergen (Hollands Noorderkwartier);2229;2427;1646;1851;1007;1097;;354;;3920;;;;;;;;;;;;;;;;;;;;;;;;;;;625;;;;;;;;;;;;;;;;;;;;;;;9744;57;300
Bergen op Zoom;1920;3928;2000;2065;1964;395;1671;318;;;;;;7539;;;;;;;2287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30114;102;335
Berkelland (Rijn en IJssel);1782;2766;4262;2018;860;646;;;;;;;;;;;;;;;;;;7828;;;;;;;;;;;;;;;;;;;;;;;;460;;;;;;;;;;;;14758;67;246
Berkelland (Vechtstromen);9;9;75;;4;1;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;0;;;;70;0;4
Bernheze;3087;2147;3572;1066;983;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;464;;;;;;;;;;;;;;;;;;;;;;;;12401;38;289
Best;3811;1869;1552;1109;1273;613;;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;298;;;539;;;;;;;;;;;;;;;;;;;;;12034;67;357
