;WN;VVD;CDA;PvdA;50+;AWP;PvdD;CU;SGP;Groen, Water & Land;Waterschapspartij Hollandse Delta;CU-SGP;Water, Wonen en Natuur;Ons Water;Waterbelang Parkstad;Lokaal Waterbeheer;Waterbelang Westelijke Mijnstreek;Waterbelang Midden-Limburg;De Groenen;Fryske Nasjonale Partij (FNP);West-Brabant Waterbreed;Gemeentebelangen Drenthe~Overijssel;Waterbelang Heuvelland;Vrienden van de Berkel;AWPenLRR niet politiek, wel lokaal;Lagere Lasten Burger;Lokaal Limburg;Waterbelang Venlo;Waterbelang Land van Weert + Leudal;Partij voor Zeeland;AWP niet politiek, wel deskundig;Hollandse Delta Natuurlijk;SGP-ChristenUnie;Waterbelang Maastricht;Waterbelang Venray en Maasduinen;Ouderen Appèl - Hart voor Water;Natuurlijk BBW;Waterbelang Horst-Helden-Beesel;Werken aan Water;Werk aan Water Flevoland;Waterschap@inwonersbelangen;OUDERENPARTIJ;Ons-Platteland;Waterschapspartij Zeeuws-Vlaanderen;Forum Duurzaam Effectief Waterschap;Waterschapspartij PUUR.;Betaalbaar Water;Vereniging Dorpshuizen en Kleine Kernen;AWP Niet Politiek Wel Deskundig;Trots op Nederland (TROTS);Socialistische Waterschapsvereniging;Ouderen Politiek Actief (OPA);Verenigde Senioren Partij;QUEER;Partij Sociaal Cultureel Centrum (PSCC);Blanco lijst 8;Blanco lijst 11;De Republikeinse Politieke Partij;Integer Liberaal;@abs;@inv;@blank
Enschede;17811;8537;6475;;5879;11428;;4027;717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2646;;;;;;;;;;;;;;780;;;;69039;269;2199
Epe;1895;2497;2194;1831;1327;976;;1553;973;;;;;;;1738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;;;;;;;11636;76;271
Ermelo;1069;1679;2133;904;744;788;;2516;1365;;;;;;;1335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;8855;49;205
Etten-Leur;1268;2621;2130;1442;1266;439;1271;222;;;;;;2378;;;;;;;2837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18748;73;282
Geertruidenberg;831;1260;834;521;605;191;559;100;;;;;;2345;;;;;;;858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9081;44;115
Geldrop-Mierlo (De Dommel);4189;1727;1797;1726;1352;622;;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;435;;;616;;;;;;;;;;;;;;;;;;;;;13893;75;410
Geldrop-Mierlo (Aa en Maas);690;421;468;273;281;166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;;;;;;;;;;;;;;;;;;;;;;;;2376;14;72
Gemert-Bakel;3080;1450;4086;1002;996;682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;508;;;;;;;;;;;;;;;;;;;;;;;;12278;44;339
Gennep;725;616;;;217;129;;;;;;;;;10;;32;243;;;;;21;;;;349;170;31;;;;;15;4072;;;12;;;;;;;;;;;;;;;;;;;;;;7053;25;201
Gilze en Rijen;980;1872;1775;1518;852;277;860;99;;;;;;1146;;;;;;;762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10748;49;244
Goeree-Overflakkee;845;2917;2132;1730;1001;618;;2294;4822;;5992;;;;;;;;;;;;;;;;;;;;;1509;;;;;;;;;;;;;;;;;;;;;;;;;;;;15778;93;164
Goes;1657;2010;3157;2069;1390;;;1056;1481;;;;;;;;;;;;;;;;;;;;;2604;;;;;;;;;;;;;;257;;;;;1158;;;;;;;;;;;13826;57;246
Goirle (Brabantse Delta);137;261;236;74;93;27;101;15;;;;;;146;;;;;;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1016;7;37
Goirle (De Dommel);2919;1292;1279;1251;723;255;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;;;306;;;;;;;;;;;;;;;;;;;;;8092;37;257
Gooise Meren;3697;7745;3394;3295;1795;;2852;1200;;;;;;;;;;;1347;;;;;;;;;;;;;;;;;;;;;;;;;;812;;;;;;202;;;96;;;;66;;17628;91;412
Gorinchem;2272;2155;1879;1970;1113;;1334;1139;573;;;;;;;;;;;;;;;;1229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13680;83;276
Gouda (Schieland en de Krimpenerwaard);137;122;38;64;32;33;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;50;;;;;;;;;;;;;;;;;739;4;9
Gouda (Rijnland);4421;4133;3768;4542;2388;2797;3838;;;;;4562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;381;;;;;;;;;;25642;206;489
Grave;1876;729;1097;571;422;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;;;;;;;;;;;;;;;4778;17;117
Groningen (Hunze en Aa's);13114;4920;2601;6770;1298;2936;;2392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27936;120;831
Groningen (Noorderzijlvest);24585;4999;3879;13335;3100;2748;;5580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5176;;;;;;;;;;;;;68284;264;1574
Gulpen-Wittem;679;329;;;167;144;;;;;;;;;133;;37;31;;;;;4634;;;;187;23;29;;;;;57;11;;;5;;;;;;;;;;;;;;;;;;;;;;5546;43;211
Haaksbergen (Vechtstromen);3109;1449;2936;;593;807;;188;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;371;;;;;;;;;;;;;;46;;;;8058;41;163
Haaksbergen (Rijn en IJssel);170;233;343;87;97;23;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;678;1;19
Haaren;1948;909;1384;465;348;434;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;216;;;;;;;;;;;;;;;;;;;;;5671;21;156
Haarlem;9868;10472;4918;15191;4123;5262;11607;;;;;2493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1607;;;;;;;;;;62146;331;1196
Haarlemmermeer (Rijnland);7125;14048;7500;8058;5785;4244;6057;;;;;3479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1144;;;;;;;;;;62902;252;916
Haarlemmermeer (Amstel, Gooi en Vecht);1;5;4;1;1;;0;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;0;;;0;;;;0;;11;0;2
Halderberge;834;1843;1914;672;986;330;816;123;;;;;;1333;;;;;;;2384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13353;46;210
Hardenberg (Drents Overijsselse Delta);307;356;272;;115;145;;177;134;;;;;;;;;;;;;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1361;2;25
Hardenberg (Vechtstromen);4644;2796;5665;;2152;3112;;5013;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746;;;;;;;;;;;;;;126;;;;18704;78;389
Harderwijk;1806;3119;2612;2057;1283;1079;;3501;934;;;;;;;3526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;16739;63;345
Hardinxveld-Giessendam;622;785;1195;673;413;;310;1897;2315;;;;;;;;;;;;;;;;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5259;22;66
Harlingen;847;630;1573;1276;506;;579;340;;;;;;;;;;;;497;;;;;;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5744;35;99
Hattem;497;875;864;852;282;449;;1517;194;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;3495;29;89
Heemskerk;1585;1586;2035;2589;1521;1054;;533;;4547;;;;;;;;;;;;;;;;;;;;;;;;;;;625;;;;;;;;;;;;;;;;;;;;;;;15464;76;332
Heemstede;2119;3956;1768;1691;682;1254;1557;;;;;444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;7678;47;137
Heerde;738;907;1306;1284;511;379;;2071;506;;;;;;;763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;6149;31;100
Heerenveen;3946;2668;3198;4020;1024;;1663;1332;;;;;;;;;;;;2784;;;;;;1828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17432;83;260
Heerhugowaard;1905;2561;2078;2748;1926;1656;;777;;6552;;;;;;;;;;;;;;;;;;;;;;;;;;;951;;;;;;;;;;;;;;;;;;;;;;;22379;104;441
Heerlen;3033;2405;;;1580;902;;;;;;;;;15161;;1693;509;;;;;1319;;;;2709;228;130;;;;;269;65;;;62;;;;;;;;;;;;;;;;;;;;;;37530;269;983
Heeze-Leende (Aa en Maas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
Heeze-Leende (De Dommel);2356;1087;1340;633;462;214;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;;;654;;;;;;;;;;;;;;;;;;;;;5879;41;251
Heiloo;1419;1978;1466;1660;673;884;;338;;3116;;;;;;;;;;;;;;;;;;;;;;;;;;;417;;;;;;;;;;;;;;;;;;;;;;;6867;42;190
Hellendoorn (Vechtstromen);3357;1633;5730;;729;1900;;1308;277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;374;;;;;;;;;;;;;;105;;;;10623;49;236
Hellendoorn (Drents Overijsselse Delta);131;171;526;;49;57;;29;24;;;;;;;;;;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1028;7;16
Hellevoetsluis;945;2035;730;1589;1298;500;;686;144;;5942;;;;;;;;;;;;;;;;;;;;;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;16381;84;222
Helmond (Aa en Maas);7263;4993;4104;4117;4712;2437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1367;;;;;;;;;;;;;;;;;;;;;;;;42530;180;1129
Helmond (De Dommel);2;1;1;0;2;3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;12;0;0
Hendrik-Ido-Ambacht;723;1811;1128;876;793;408;;1261;2414;;3096;;;;;;;;;;;;;;;;;;;;;651;;;;;;;;;;;;;;;;;;;;;;;;;;;;10120;50;173
Hengelo;10798;4721;5077;;2220;5595;;1594;339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1780;;;;;;;;;;;;;;877;;;;31536;137;721
Het Hogeland;6247;1888;3981;3345;931;625;;3302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1909;;;;;;;;;;;;;15969;76;262
Heumen;1779;1169;1654;1054;600;;875;161;44;;;;;;;;;;;;;;;;362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5501;41;159
Heusden (De Dommel);8;12;19;0;9;2;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;2;;;;;;;;;;;;;;;;;;;;;35;0;0
Heusden (Aa en Maas);4276;3217;2583;1618;1694;3072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;632;;;;;;;;;;;;;;;;;;;;;;;;17965;75;490
Hillegom;1082;1929;1423;1095;891;1307;967;;;;;482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;;;;;;;;;;8252;53;143
Hilvarenbeek;2205;1123;1661;663;445;169;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;344;;;;;;;;;;;;;;;;;;;;;5419;30;208
Hilversum;6438;7018;3477;5381;3398;;4874;2198;;;;;;;;;;;2218;;;;;;;;;;;;;;;;;;;;;;;;;;1240;;;;;;492;;;165;;;;121;;33792;229;762
Hoeksche Waard;2806;4481;5364;2657;2035;1381;;2280;4394;;11237;;;;;;;;;;;;;;;;;;;;;2213;;;;;;;;;;;;;;;;;;;;;;;;;;;;30463;141;460
Hof van Twente (Vechtstromen);3662;2700;3784;;935;1736;;351;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;;;;;;;;;;;;;;73;;;;9764;73;241
Hof van Twente (Rijn en IJssel);261;1212;426;287;124;175;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;1794;16;33
Hollands Kroon;1505;3681;2382;2636;1815;1585;;797;;4110;;;;;;;;;;;;;;;;;;;;;;;;;;;1376;;;;;;;;;;;;;;;;;;;;;;;16469;57;317
Hoogeveen (Vechtstromen);319;126;282;;171;394;;132;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;;12;;;;2000;5;12
Hoogeveen (Drents Overijsselse Delta);2799;3136;3848;;1766;2844;;2333;836;;;;;;;;;;;;;3274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19096;113;377
Hoorn;3896;3317;2298;4333;3050;2061;;960;;7051;;;;;;;;;;;;;;;;;;;;;;;;;;;1142;;;;;;;;;;;;;;;;;;;;;;;29441;132;651
Horst aan de Maas;2047;2233;;;682;306;;;;;;;;;16;;60;348;;;;;64;;;;629;847;100;;;;;30;813;;;8584;;;;;;;;;;;;;;;;;;;;;;17152;84;677
Houten;5856;3194;3023;1950;1138;;1925;2136;931;;;;;;;;;;;;;;;;;;;;;;1482;;;;;;;;;;1389;;;;;;;;;;;;;;;;;;;14602;78;334
Huizen;2337;4003;3046;2281;1480;;1754;2118;;;;;;;;;;;721;;;;;;;;;;;;;;;;;;;;;;;;;;750;;;;;;134;;;36;;;;69;;14244;70;288
Hulst;567;513;3018;938;931;;;100;88;;;;;;;;;;;;;;;;;;;;;714;;;;;;;;;;;;;;3572;;;;;362;;;;;;;;;;;12042;70;95
IJsselstein;3166;2509;2004;1336;1043;;1200;689;311;;;;;;;;;;;;;;;;;;;;;;772;;;;;;;;;;881;;;;;;;;;;;;;;;;;;;12419;69;268
Kaag en Braassem (Amstel, Gooi en Vecht);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
Kaag en Braassem (Rijnland);1793;2760;2713;1194;1174;803;941;;;;;449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;9588;35;168
Kampen;3804;2803;3625;;2132;1431;;5095;4041;;;;;;;;;;;;;1804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15963;73;384
Kapelle;471;725;999;504;348;;;612;1026;;;;;;;;;;;;;;;;;;;;;967;;;;;;;;;;;;;;77;;;;;619;;;;;;;;;;;3514;22;57
Katwijk;2082;3901;5273;2464;2315;1392;1839;;;;;8841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;384;;;;;;;;;;21502;81;416
Kerkrade;1335;884;;;695;340;;;;;;;;;9269;;652;244;;;;;765;;;;1136;141;64;;;;;146;32;;;21;;;;;;;;;;;;;;;;;;;;;;22494;109;550
Koggenland;1186;1494;1751;917;679;650;;216;;2458;;;;;;;;;;;;;;;;;;;;;;;;;;;980;;;;;;;;;;;;;;;;;;;;;;;7521;53;183
Krimpen aan den IJssel;2408;2122;1075;1362;1166;559;;;;;;;;;;;;;;;;;;;;;;;;;;;3782;;;;;;;;;;1433;;;;;;;;;;;;;;;;;9040;54;176
Krimpenerwaard (Schieland en de Krimpenerwaard);3553;3678;2018;2222;1521;833;;;;;;;;;;;;;;;;;;;;;;;;;;;4083;;;;;;;;;;6279;;;;;;;;;;;;;;;;;14646;77;266
Krimpenerwaard (Rijnland);109;95;135;62;42;45;47;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;437;4;9
Krimpenerwaard (De Stichtse Rijnlanden);331;408;277;90;75;;105;183;108;;;;;;;;;;;;;;;;;;;;;;107;;;;;;;;;;106;;;;;;;;;;;;;;;;;;;1329;5;20
Laarbeek (Aa en Maas);2125;995;2129;715;663;1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;901;;;;;;;;;;;;;;;;;;;;;;;;9052;61;298
Laarbeek (De Dommel);24;30;24;11;11;14;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;122;0;5
Landerd;1968;1244;1674;547;549;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;;;;;;;;;;;;;;;;;;;;;5711;30;228
Landgraaf;906;905;;;585;301;;;;;;;;;8091;;486;231;;;;;433;;;;2157;87;34;;;;;105;27;;;11;;;;;;;;;;;;;;;;;;;;;;16690;96;466
Landsmeer;653;835;321;769;402;441;;101;;1446;;;;;;;;;;;;;;;;;;;;;;;;;;;549;;;;;;;;;;;;;;;;;;;;;;;3479;24;103
Langedijk;1390;1465;1433;1358;955;917;;698;;3137;;;;;;;;;;;;;;;;;;;;;;;;;;;1221;;;;;;;;;;;;;;;;;;;;;;;9391;48;211
Lansingerland (Schieland en de Krimpenerwaard);2649;3051;1940;1077;1174;682;;;;;;;;;;;;;;;;;;;;;;;;;;;1322;;;;;;;;;;806;;;;;;;;;;;;;;;;;10089;54;242
Lansingerland (Delfland);1868;2959;2016;1267;753;1316;1044;;;;;1009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304;;;;;;;;;25;;30;;46;9894;32;238
Laren;635;2290;743;410;293;;509;151;;;;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;;197;;;;;;31;;;14;;;;14;;3453;32;60
Leeuwarden;9270;4870;5740;10091;3129;;5194;3350;;;;;;;;;;;;5286;;;;;;5276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47190;162;772
Leiden;10643;8548;4551;11690;3230;3433;9610;;;;;2498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;;;;;;;;;;48529;297;1539
Leiderdorp;1754;2500;1507;2289;1340;764;1284;;;;;701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;9225;44;222
Leidschendam-Voorburg (Rijnland);1839;2724;1724;1622;1228;942;1261;;;;;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;;;;;;;10999;47;251
Leidschendam-Voorburg (Delfland);2937;4847;1880;2662;1276;2932;2237;;;;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;759;;;;;;;;;57;;55;;126;16509;79;361
Lelystad;;3059;1953;;3299;2267;;;;;;2249;11492;;;;;;;;;;;;;;;;;;;;;;;;;;;2450;;;;;;;;;;;;1716;;;;;;;;31577;173;561
Leudal;1296;1109;;;391;313;;;;;;;;;49;;83;2164;;;;;44;;;;612;99;8133;;;;;20;40;;;98;;;;;;;;;;;;;;;;;;;;;;14721;97;454
Leusden;2447;2603;2127;1734;958;2342;;1361;476;;;;;;;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;8692;63;203
Lingewaard (Rijn en IJssel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;0
Lingewaard (Rivierenland);3472;3589;4089;3045;1920;;1760;403;143;;;;;;;;;;;;;;;;1005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17240;52;380
Lisse;1003;2258;2133;977;1050;741;902;;;;;1232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;;;;;;;;;;7799;31;124
Lochem;2749;2878;2282;2007;517;926;;;;;;;;;;;;;;;;;;5040;;;;;;;;;;;;;;;;;;;;;;;;353;;;;;;;;;;;;10563;45;200
Loon op Zand (Brabantse Delta);801;1702;1561;638;763;188;656;172;;;;;;1356;;;;;;;734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9983;76;260
Loon op Zand (De Dommel);18;16;32;2;3;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;8;;;;;;;;;;;;;;;;;;;;;67;0;2
Lopik;699;1135;1530;307;279;;350;597;1074;;;;;;;;;;;;;;;;;;;;;;227;;;;;;;;;;507;;;;;;;;;;;;;;;;;;;4541;30;91
Loppersum;1251;451;906;623;151;195;;639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;535;;;;;;;;;;;;;2994;14;50
Losser;1884;1449;2840;;947;1425;;225;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396;;;;;;;;;;;;;;89;;;;8738;37;224
Maasdriel;1401;1386;3685;621;782;;670;172;268;;;;;;;;;;;;;;;;1343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9291;48;120
Maasgouw;805;711;;;795;267;;;;;;;;;41;;79;4945;;;;;75;;;;1095;64;320;;;;;54;37;;;21;;;;;;;;;;;;;;;;;;;;;;10513;68;299
Maassluis;1176;2272;2063;1693;1068;2318;1113;;;;;943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;;73;;84;;35;13081;65;253
Maastricht;7339;4577;;;2656;1231;;;;;;;;;191;;532;600;;;;;2555;;;;1907;329;225;;;;;19704;125;;;86;;;;;;;;;;;;;;;;;;;;;;58981;477;1610
Medemblik;1961;2509;2787;2073;1416;1073;;878;;4110;;;;;;;;;;;;;;;;;;;;;;;;;;;1709;;;;;;;;;;;;;;;;;;;;;;;16898;87;333
Meerssen;821;773;;;1134;247;;;;;;;;;79;;270;109;;;;;3372;;;;462;50;37;;;;;789;18;;;8;;;;;;;;;;;;;;;;;;;;;;7357;61;241
Meierijstad (De Dommel);2180;2515;1185;733;562;206;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;;;558;;;;;;;;;;;;;;;;;;;;;8071;55;223
Meierijstad (Aa en Maas);5876;3484;5433;2524;1973;1236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1115;;;;;;;;;;;;;;;;;;;;;;;;26424;109;571
Meppel;3137;2883;1580;;1178;2480;;1468;247;;;;;;;;;;;;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11341;61;249
Middelburg;3182;1976;2566;3147;1634;;;1790;2325;;;;;;;;;;;;;;;;;;;;;2640;;;;;;;;;;;;;;279;;;;;1475;;;;;;;;;;;17589;120;360
Midden-Delfland;1182;1985;2420;835;374;1191;572;;;;;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;;;;;;10;;19;;16;5725;21;158
Midden-Drenthe (Vechtstromen);0;2;0;;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;4;0;0
Midden-Drenthe (Noorderzijlvest);112;65;100;50;29;17;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;368;5;3
Midden-Drenthe (Hunze en Aa's);132;136;64;82;25;40;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;3;14
Midden-Drenthe (Drents Overijsselse Delta);2645;2721;2376;;1762;1472;;1053;237;;;;;;;;;;;;;1939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10687;79;275
Midden-Groningen;7141;2738;1746;4409;2661;2350;;2199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25929;101;424
Mill en Sint Hubert;1227;531;1798;315;391;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;;;;;;;;;;;;;4229;16;99
Moerdijk;996;2426;1677;1452;1120;548;1119;525;;;;;;2132;;;;;;;2297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15507;63;225
Molenlanden;1780;3276;3806;1564;972;;975;4003;4452;;;;;;;;;;;;;;;;821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11896;58;170
Montferland;3305;1731;3995;1934;1074;982;;;;;;;;;;;;;;;;;;377;;;;;;;;;;;;;;;;;;;;;;;;1308;;;;;;;;;;;;14749;53;276
Montfoort;1171;1076;1140;367;272;;320;559;584;;;;;;;;;;;;;;;;;;;;;;311;;;;;;;;;;1042;;;;;;;;;;;;;;;;;;;3912;33;90
Mook en Middelaar;659;523;;;140;172;;;;;;;;;4;;24;159;;;;;20;;;;268;90;19;;;;;7;1699;;;4;;;;;;;;;;;;;;;;;;;;;;2574;18;140
Neder-Betuwe;771;858;1351;1088;591;;444;801;4696;;;;;;;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6913;39;103
Nederweert;478;496;;;190;110;;;;;;;;;15;;20;476;;;;;24;;;;341;41;5078;;;;;18;11;;;22;;;;;;;;;;;;;;;;;;;;;;6487;40;251
Nieuwegein;5432;3147;2486;2997;2656;;2611;1363;373;;;;;;;;;;;;;;;;;;;;;;1533;;;;;;;;;;2058;;;;;;;;;;;;;;;;;;;26072;128;466
Nieuwkoop (De Stichtse Rijnlanden);21;36;43;3;6;;19;12;20;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;110;2;0
Nieuwkoop (Amstel, Gooi en Vecht);155;311;411;76;80;;73;110;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;6;;;5;;;;8;;1297;9;18
Nieuwkoop (Rijnland);1318;2392;2704;1021;944;635;673;;;;;834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;;;;;;;;;;11411;38;126
Nijkerk;1892;3286;3426;1371;1116;1074;;3054;1873;;;;;;;1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;14048;64;220
Nijmegen;18276;8077;7379;14709;5468;;15128;1961;427;;;;;;;;;;;;;;;;3542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69609;276;2493
Nissewaard;2368;3131;2044;3157;3407;1609;;1271;383;;10399;;;;;;;;;;;;;;;;;;;;;2986;;;;;;;;;;;;;;;;;;;;;;;;;;;;37485;154;572
Noardeast-Fryslân (Noorderzijlvest);3;2;5;5;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;11;0;0
Noardeast-Fryslân (Fryslân);2230;1651;4991;1770;646;;889;2070;;;;;;;;;;;;2955;;;;;;1735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16436;65;195
Noord-Beveland;540;445;630;350;264;;;120;261;;;;;;;;;;;;;;;;;;;;;686;;;;;;;;;;;;;;57;;;;;259;;;;;;;;;;;2539;11;46
Noordenveld (Drents Overijsselse Delta);2;11;2;;1;1;;4;0;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;0;0
Noordenveld (Noorderzijlvest);4700;1888;1576;2553;823;459;;1009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1878;;;;;;;;;;;;;10311;37;230
Noordoostpolder;;2306;3094;;1077;910;;;;;;4166;3816;;;;;;;;;;;;;;;;;;;;;;;;;;;4263;;;;;;;;;;;;407;;;;;;;;15453;72;344
Noordwijk;2258;5565;3282;2214;1620;1196;1589;;;;;614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262;;;;;;;;;;16131;66;303
Nuenen, Gerwen en Nederwetten (Aa en Maas);2;5;3;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;6;0;0
