RegioNaam;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50;SGP;DENK;50+/PvdO;Lokaal Brabant;CO;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JL;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs;@inv;@blank
Lingewaard;3255;3721;2345;1887;1797;1758;1321;2020;345;715;943;40;38;;;;;;;;;;;237;;;;;;;;;;16;;;;15819;47;57
Lisse;2171;1949;1249;631;607;957;561;365;506;350;538;625;12;;;21;;;;;;276;14;;;;;;;;;;;;;;;6691;24;19
Lochem;1773;3783;2198;2277;1857;1532;642;843;563;836;600;60;94;;;;;;;;;;;257;;;;;;;;;;25;;;;9644;32;55
Loon op Zand;1521;1601;1356;648;581;619;821;770;;292;377;;26;;431;18;;168;;;;;;;;;68;;46;;;;;;;;;8903;26;45
Lopik;1091;979;1393;302;295;186;576;180;750;176;176;678;41;;;;;;;;;;;;;;;;;37;;;;;;;;4222;17;27
Loppersum;312;275;692;486;468;155;182;590;670;159;66;;2;;;;;;678;;;;;;;207;;;;;;;;;;;;2748;11;8
Losser;1747;1353;2427;642;665;534;1028;562;161;251;497;34;21;;;;;;;;;;;;;;;;;;;;;;;;;7949;24;26
Maasdriel;2280;1725;1765;679;501;505;1046;690;228;342;470;260;27;;;;;;;;;;;100;;;;;;;;;;;;;;7855;28;59
Maasgouw;1656;1003;2440;593;449;481;1245;599;94;408;579;;24;;;;;;;484;;;;;;;;;;;;;;;;;;9401;22;60
Maassluis;2694;2007;1515;767;1215;783;1041;514;854;468;808;144;644;;;42;;;;;;82;58;;;;;;;;;;;14;;;;11227;38;44
Maastricht;6684;4642;4687;6189;3689;4145;5795;3156;704;2427;1880;;415;;;;;;;716;;;;;;;;;;;;;;;;;;41963;187;122
Medemblik;3741;3332;2722;1472;1461;1308;1269;956;821;748;;;92;468;;365;;;;;517;;31;;;;;;;;;;;;;;;14582;51;48
Meerssen;1326;1058;1586;1040;493;518;1077;601;116;369;378;;13;;;;;;;239;;;;;;;;;;;;;;;;;;6481;15;22
Meierijstad;4420;5316;6114;1995;1855;2421;2324;3493;;861;1120;;503;;634;243;;206;;;;;;;;;306;;181;;;;;;;;;29911;113;128
Meppel;1950;2411;1529;1577;1946;964;861;1084;1440;571;445;93;76;;;;;;;;;;;;;;;402;;;;184;;;100;;;10309;34;34
Middelburg;1898;2070;2667;2317;2440;1268;1018;1126;1776;1127;881;2224;235;;;;;;;;;;;;891;;;;;;;;;;;;;15199;55;64
Midden-Delfland;1582;2054;1689;706;615;904;396;284;591;310;362;57;19;;;26;;;;;;43;13;;;;;;;;;;;5;;;;5094;17;25
Midden-Drenthe;2082;2551;2131;1109;2216;863;834;807;1106;564;632;152;7;;;;;;;;;;;;;;;415;;;;635;;;74;;;10379;31;19
Midden-Groningen;3055;2084;1437;1796;2893;975;1987;2485;2077;709;773;;282;;;;;;2855;;;;;;;1249;;;;;;;;;;;;23586;66;84
Mill en Sint Hubert;728;633;1242;223;209;189;343;516;;127;162;;6;;411;6;;21;;;;;;;;;43;;26;;;;;;;;;3837;16;20
Moerdijk;2744;2411;1921;778;988;831;1318;1217;;488;653;;43;;641;28;;631;;;;;;;;;145;;95;;;;;;;;;13962;30;41
Molenlanden;2787;2757;3040;618;1176;685;1164;679;3918;450;552;4006;26;;;85;;;;;;139;19;;;;;;;;;;;52;;;;10847;33;28
Montferland;2678;2329;2837;926;1156;884;1671;1039;188;475;782;34;78;;;;;;;;;;;271;;;;;;;;;;14;;;;13513;41;53
Montfoort;1031;1260;1141;615;459;435;379;207;559;168;222;506;27;;;;;;;;;;;;;;;;;60;;;;;;;;3514;13;14
Mook en Middelaar;522;615;418;817;493;320;219;239;57;194;113;;5;;;;;;;57;;;;;;;;;;;;;;;;;;2256;10;7
Neder-Betuwe;1479;1001;847;293;725;232;871;292;719;194;254;4264;21;;;;;;;;;;;85;;;;;;;;;;;;;;6089;23;22
Nederweert;1031;723;3095;377;273;385;713;567;44;205;202;;7;;;;;;;170;;;;;;;;;;;;;;;;;;5832;17;35
Nieuwegein;4153;3604;2204;2955;2373;1651;2256;1748;1216;1077;1464;186;398;;;;;;;;;;;;;;;;;318;;;;;;;;22967;78;99
Nieuwkoop;2600;2609;1988;723;749;862;748;310;606;351;615;279;22;;;56;;;;;;108;13;;;;;;;;;;;;;;;9537;24;26
Nijkerk;2802;3047;3070;1116;998;930;1266;484;2938;488;582;1672;173;;;;;;;;;;;179;;;;;;;;;;39;;;;12410;32;57
Nijmegen;7265;8216;4012;18554;8311;10099;3652;6879;1587;6238;2105;147;1282;;;;;;;;;;;710;;;;;;;;;;;;;;57927;195;325
Nissewaard;8000;4072;1812;1655;2894;1398;4291;1997;1101;1207;2181;289;247;;;90;;;;;;731;35;;;;;;;;;;;65;;;;34101;109;91
Noardeast-Fryslân;2909;1370;4743;946;1612;423;1153;812;2015;468;353;278;6;;;;2229;;;;;;;;;;;;;;280;;138;;;;;15336;48;31
Noord-Beveland;523;465;706;207;271;130;288;163;111;171;170;237;5;;;;;;;;;;;;256;;;;;;;;;;;;;2191;3;7
Noordenveld;1877;2280;1211;1902;2391;1192;800;935;1049;604;521;63;7;;;;;;;;;;;;;;;340;;;;337;;;81;;;9494;19;41
Noordoostpolder;2903;2721;4166;1211;1379;781;1472;1322;2278;463;612;1159;142;;;;;;;;;;;;;;;;;;;;;52;;79;92;12932;47;66
Noordwijk;4428;4385;2100;1336;1246;1507;1171;650;406;660;924;66;54;;;37;;;;;;254;20;;;;;;;;;;;;;;;13142;64;61
Nuenen, Gerwen en Nederwetten;1344;2090;1533;1289;767;956;544;1103;;448;531;;11;;291;18;;158;;;;;;;;;78;;73;;;;;;;;;6918;13;56
Nunspeet;1832;1209;1698;510;396;329;748;339;2460;267;327;4017;31;;;;;;;;;;;95;;;;;;;;;;26;;;;6686;23;24
Oegstgeest;1352;2715;1022;1511;1068;1980;318;334;532;630;417;45;42;;;39;;;;;;84;7;;;;;;;;;;;;;;;5415;17;35
Oirschot;1054;1472;1913;480;459;677;588;655;;248;337;;6;;141;23;;57;;;;;;;;;89;;46;;;;;;;;;6574;25;23
Oisterwijk;1547;2438;1514;1057;635;1172;632;857;;432;445;;33;;309;17;;118;;;;;;;;;122;;59;;;;;;;;;9093;20;49
Oldambt;2274;1402;989;875;2153;599;1553;1981;954;464;507;;17;;;;;;1152;;;;;;;1353;;;;;;;;;;;;14453;48;73
Oldebroek;1270;621;1313;504;460;225;716;317;2798;229;240;1939;4;;;;;;;;;;;151;;;;;;;;;;46;;;;7123;29;10
Oldenzaal;2083;2618;2434;1788;1167;824;1149;857;186;360;707;33;185;;;;;;;;;;;;;;;;;;;;;;;;;10291;46;69
Olst-Wijhe;930;1133;1888;1250;895;528;441;525;226;302;299;66;17;;;;;;;;;;;;;;;;;;;;;;;;;5823;12;10
Ommen;1026;1200;2351;543;520;395;454;349;1404;217;277;209;8;;;;;;;;;;;;;;;;;;;;;;;;;4825;19;26
Oost Gelre;1886;2684;3250;811;1318;770;638;789;130;287;672;34;60;;;;;;;;;;;154;;;;;;;;;;12;;;;10002;38;57
Oosterhout;3498;3883;2199;1991;1371;1839;1796;1510;;754;967;;343;;1171;55;;269;;;;;;;;;187;;106;;;;;;;;;21272;43;62
Ooststellingwerf;1829;1292;1707;938;1612;430;846;716;745;553;388;88;11;;;;362;;;;;;;;;;;;;;425;;115;;;;;8442;27;36
Oostzaan;1083;694;244;534;446;317;381;190;142;307;;;16;187;;68;;;;;60;;6;;;;;;;;;;;;;;;2909;11;9
Opmeer;970;871;1034;345;406;363;340;269;88;159;;;6;157;;95;;;;;159;;6;;;;;;;;;;;;;;;3786;13;13
Opsterland;1462;1349;2003;1193;2111;750;698;864;1306;415;290;233;8;;;;953;;;;;;;;;;;;;;326;;125;;;;;9250;27;34
Oss;5700;5447;4435;2745;1919;2666;3141;6646;;1218;1504;;794;;644;70;;255;;;;;;;;;243;;135;;;;;;;;;32436;129;153
Oude IJsselstreek;2274;2625;3034;1086;1569;919;1274;1745;360;528;863;52;382;;;;;;;;;;;282;;;;;;;;;;11;;;;14238;42;63
Ouder-Amstel;877;1196;507;996;660;800;241;211;248;336;;;41;275;;98;;;;;52;;10;;;;;;;;;;;;;;;3658;17;20
Oudewater;732;811;1202;314;241;244;265;119;358;101;172;221;9;;;;;;;;;;;;;;;;;51;;;;;;;;3000;16;10
Overbetuwe;2954;3395;2797;2074;1635;1777;1325;1276;1021;757;799;470;98;;;;;;;;;;;267;;;;;;;;;;22;;;;15663;53;56
Papendrecht;2362;2065;1139;800;1004;716;1050;608;1430;413;687;765;118;;;62;;;;;;313;14;;;;;;;;;;;21;;;;11609;37;32
Peel en Maas;2737;2701;5678;927;792;740;1863;956;110;400;482;;93;;;;;;;348;;;;;;;;;;;;;;;;;;16340;32;76
Pekela;718;269;298;202;587;89;717;899;256;146;128;;0;;;;;;466;;;;;;;167;;;;;;;;;;;;4840;18;14
Pijnacker-Nootdorp;4265;4766;2377;1900;1654;2640;1408;733;1115;1087;882;241;137;;;84;;;;;;512;33;;;;;;;;;;;;;;;15232;65;70
Purmerend;7618;3607;1759;3107;3015;2124;3429;2050;652;1588;;;406;1204;;573;;;;;1050;;117;;;;;;;;;;;;;;;30064;125;84
Putten;1785;1494;1911;384;334;333;704;231;2263;271;396;1736;25;;;;;;;;;;;65;;;;;;;;;;22;;;;6597;26;25
Raalte;1928;2920;5330;1640;1155;1072;849;912;502;337;758;90;57;;;;;;;;;;;;;;;;;;;;;;;;;12060;20;61
Reimerswaal;1062;593;1584;183;550;133;610;282;623;178;285;4014;19;;;;;;;;;;;;605;;;;;;;;;;;;;4817;22;19
Renkum;1731;2576;1407;2810;1464;1748;680;713;676;1088;673;108;67;;;;;;;;;;;252;;;;;;;;;;13;;;;8906;31;45
Renswoude;415;302;395;63;45;48;116;48;408;38;36;639;0;;;;;;;;;;;;;;;;;9;;;;;;;;1250;5;4
Reusel-De Mierden;589;854;1160;236;357;316;370;468;;137;280;;3;;127;15;;27;;;;;;;;;54;;21;;;;;;;;;5099;8;19
Rheden;2496;3007;1833;2674;2483;1676;1319;1616;867;1274;735;93;184;;;;;;;;;;;308;;;;;;;;;;26;;;;14198;64;52
Rhenen;1354;1231;835;845;536;523;551;237;895;283;239;1868;71;;;;;;;;;;;;;;;;;99;;;;;;;;5622;33;21
Ridderkerk;4218;2211;1409;941;1490;851;1673;903;1681;639;1195;2452;216;;;65;;;;;;123;43;;;;;;;;;;;32;;;;16294;54;50
Rijssen-Holten;2162;1876;3060;636;946;568;1010;458;2799;217;391;5432;75;;;;;;;;;;;;;;;;;;;;;;;;;8720;47;31
Rijswijk;3930;3632;1457;2274;1836;2008;1968;838;685;994;1154;119;327;;;66;;;;;;188;61;;;;;;;;;;;22;;;;17751;76;66
Roerdalen;1273;1140;1776;559;472;284;1307;624;65;305;282;;28;;;;;;;597;;;;;;;;;;;;;;;;;;7661;18;35
Roermond;3269;2822;3120;2501;1293;1293;2732;1516;248;852;702;;852;;;;;;;549;;;;;;;;;;;;;;;;;;22745;52;96
Roosendaal;4545;4469;3083;2628;1896;1629;2687;2423;;929;1439;;836;;616;44;;424;;;;;;;;;198;;255;;;;;;;;;30360;114;86
Rotterdam;31818;25965;8328;24858;17915;19894;15889;10379;6759;10949;8862;1863;15263;;;675;;;;;;;3146;;;;;;;;;;;;;;;252249;1273;590
Rozendaal;96;347;95;109;77;115;20;21;35;39;21;4;0;;;;;;;;;;;8;;;;;;;;;;0;;;;254;5;0
Rucphen;1614;993;1002;302;301;316;2440;463;;240;338;;10;;350;9;;61;;;;;;;;;64;;43;;;;;;;;;9828;16;30
Schagen;3517;3606;3420;1834;2320;1264;1247;1302;402;849;;;18;583;;313;;;;;775;;17;;;;;;;;;;;;;;;15049;57;50
Scherpenzeel;839;675;585;203;172;143;241;101;641;79;117;1168;4;;;;;;;;;;;33;;;;;;;;;;3;;;;2338;2;11
Schiedam;5774;3064;1398;2463;2338;1734;2558;1582;717;1236;1615;157;2127;;;128;;;;;;146;180;;;;;;;;;;;32;;;;28204;100;120
Schiermonnikoog;61;69;68;58;96;16;33;24;28;34;6;2;2;;;;22;;;;;;;;;;;;;;2;;1;;;;;240;3;7
Schouwen-Duiveland;1993;2284;2198;1115;1117;574;874;806;901;625;743;2098;10;;;;;;;;;;;;1729;;;;;;;;;;;;;10026;41;23
's-Gravenhage;25331;27603;8308;21504;15175;19266;13689;5997;5104;10953;6214;1029;10407;;;471;;;;;;900;1518;;;;;;;;;;;;;;;177238;996;539
's-Hertogenbosch;8622;10369;5610;7699;4598;7888;4907;6067;;3110;2143;;926;;984;150;;696;;;;;;;;;535;;328;;;;;;;;;54577;177;208
Simpelveld;605;245;1282;237;400;153;715;386;40;235;128;;7;;;;;;;113;;;;;;;;;;;;;;;;;;3711;6;12
Sint Anthonis;672;855;1664;265;224;325;250;653;;132;256;;4;;200;12;;35;;;;;;;;;53;;27;;;;;;;;;3618;18;17
Sint-Michielsgestel;1527;2152;1950;1111;841;1539;808;1161;;410;418;;7;;258;30;;107;;;;;;;;;109;;63;;;;;;;;;10004;30;47
Sittard-Geleen;5586;3385;5998;3670;2573;2334;6286;3261;445;1598;1814;;309;;;;;;;1406;;;;;;;;;;;;;;;;;;35714;134;203
Sliedrecht;1625;1062;1044;366;729;344;756;511;1409;307;369;2259;99;;;32;;;;;;86;8;;;;;;;;;;;19;;;;7925;29;18
Sluis;1234;1347;1612;403;832;290;612;466;148;325;373;123;8;;;;;;;;;;;;1653;;;;;;;;;;;;;7873;17;28
Smallingerland;3082;2212;3565;1902;3480;1131;1708;1640;3112;722;686;426;48;;;;1409;;;;;;;;;;;;;;750;;181;;;;;17372;76;77
Soest;3131;4251;2196;2581;1664;1830;1334;669;1208;1059;929;364;468;;;;;;;;;;;;;;;;;389;;;;;;;;13109;36;51
Someren;1167;1210;1926;372;449;401;649;469;;184;332;;19;;375;14;;52;;;;;;;;;211;;33;;;;;;;;;7168;15;42
Son en Breugel;933;1506;1025;675;456;859;388;488;;337;597;;6;;210;11;;122;;;;;;;;;50;;40;;;;;;;;;5319;18;24
Stadskanaal;1744;789;1618;521;1432;361;1253;1320;2238;237;389;;8;;;;;;953;;;;;;;454;;;;;;;;;;;;12314;36;47
Staphorst;1205;532;972;177;268;128;391;140;1790;88;118;3177;3;;;;;;;;;;;;;;;;;;;;;;;;;3130;21;5
Stede Broec;1910;1452;1063;625;737;519;698;741;244;325;;;20;269;;260;;;;;246;;18;;;;;;;;;;;;;;;7359;33;22
Steenbergen;1943;1447;1043;412;539;636;1069;667;;291;401;;14;;210;17;;286;;;;;;;;;49;;116;;;;;;;;;9274;16;30
Steenwijkerland;3220;2929;3257;1715;2004;974;1426;1097;1893;704;976;405;84;;;;;;;;;;;;;;;;;;;;;;;;;14373;43;46
Stein;2049;912;2179;720;593;533;1976;930;86;373;568;;32;;;;;;;322;;;;;;;;;;;;;;;;;;9307;34;32
Stichtse Vecht;4521;5612;3358;3468;2259;2356;1947;1098;1466;1076;1452;670;177;;;;;;;;;;;;;;;;;194;;;;;;;;19258;80;77
Súdwest-Fryslân;5489;3917;9486;2834;4907;1752;2251;1892;2092;1056;1029;209;42;;;;4217;;;;;;;;;;;;;;507;;695;;;;;27332;79;99
Terneuzen;3304;1862;3618;932;2116;716;1823;1140;1159;562;1384;1171;249;;;;;;;;;;;;978;;;;;;;;;;;;;18673;76;84
Terschelling;378;477;288;276;449;158;90;87;59;86;62;3;0;;;;47;;;;;;;;;;;;;;19;;17;;;;;1571;8;8
Texel;1361;1185;824;866;678;446;372;423;338;318;;;4;157;;86;;;;;122;;6;;;;;;;;;;;;;;;3663;19;31
Teylingen;3033;3975;2134;1502;1145;1792;843;540;652;615;843;66;79;;;29;;;;;;192;6;;;;;;;;;;;;;;;10504;42;47
Tholen;1473;923;1437;306;581;133;1222;492;930;243;341;3429;30;;;;;;;;;;;;590;;;;;;;;;;;;;7190;33;27
Tiel;2981;2513;1070;1243;1527;1010;1369;795;584;639;830;166;586;;;;;;;;;;;172;;;;;;;;;;;;;;15755;40;44
Tilburg;12828;10622;5862;9564;5447;8781;4379;6803;;3679;2832;;2120;;1271;238;;762;;;;;;;;;725;;374;;;;;;;;;85911;230;343
Tubbergen;1581;1385;4165;373;492;302;784;334;92;125;278;43;3;;;;;;;;;;;;;;;;;;;;;;;;;6620;28;16
Twenterand;2041;1130;4325;595;657;355;1964;721;1776;172;481;1085;15;;;;;;;;;;;;;;;;;;;;;;;;;10474;30;29
Tynaarlo;1548;2763;1287;2477;2313;1689;642;806;1111;691;499;45;6;;;;;;;;;;;;;;;368;;;;577;;;73;;;9308;26;42
Tytsjerksteradiel;2126;1197;3202;1167;1879;517;821;621;1200;416;329;189;5;;;;1785;;;;;;;;;;;;;;200;;131;;;;;9039;43;35
Uden;2403;3068;2552;1168;942;1577;1156;2191;;556;627;;206;;389;32;;113;;;;;;;;;177;;87;;;;;;;;;15084;48;66
Uitgeest;1163;1026;682;857;630;649;404;368;129;301;;;12;165;;130;;;;;132;;11;;;;;;;;;;;;;;;3726;15;27
Uithoorn;2478;2449;960;1333;1025;969;909;526;315;583;;;68;483;;223;;;;;107;;21;;;;;;;;;;;;;;;9004;28;31
Urk;1707;68;822;11;15;15;1262;31;1673;20;42;3914;10;;;;;;;;;;;;;;;;;;;;;92;;2;10;3917;27;9
Utrecht;10392;19273;7715;42830;12297;22421;5750;5529;6175;10529;2190;531;6545;;;;;;;;;;;;;;;;;1235;;;;;;;;98992;398;575
Utrechtse Heuvelrug;2945;4592;2619;3627;1538;2528;987;786;1535;1460;780;1291;158;;;;;;;;;;;;;;;;;323;;;;;;;;14268;53;61
Vaals;389;211;593;204;330;99;451;290;34;170;120;;10;;;;;;;60;;;;;;;;;;;;;;;;;;3084;14;13
Valkenburg aan de Geul;1122;845;1767;658;389;369;844;547;88;298;276;;8;;;;;;;348;;;;;;;;;;;;;;;;;;5969;28;39
Valkenswaard;1991;1963;1722;895;969;826;1169;1141;;431;655;;11;;378;22;;130;;;;;;;;;167;;256;;;;;;;;;11997;27;70
Veendam;1542;863;573;658;1498;450;1011;1231;572;277;299;;154;;;;;;1730;;;;;;;460;;;;;;;;;;;;10539;34;28
Veenendaal;4083;3353;3079;1760;1341;1107;1609;1090;5650;555;924;3810;805;;;;;;;;;;;;;;;;;344;;;;;;;;19454;73;70
Veere;1048;1579;2212;741;1137;399;438;320;684;439;479;2124;3;;;;;;;;;;;;590;;;;;;;;;;;;;5097;24;18
Veldhoven;2739;3230;2205;1395;1221;1625;1378;1724;;593;983;;33;;487;45;;287;;;;;;;;;687;;166;;;;;;;;;15939;54;65
Velsen;6091;3861;1745;3007;2728;2365;2340;1640;1112;1459;;;372;1155;;449;;;;;395;;67;;;;;;;;;;;;;;;23527;89;80
Venlo;5279;4192;6455;3174;2701;1786;5557;3065;347;992;1449;;1124;;;;;;;1743;;;;;;;;;;;;;;;;;;37752;121;128
Venray;2267;2147;3758;1224;1020;2158;1417;1638;168;410;542;;235;;;;;;;233;;;;;;;;;;;;;;;;;;15945;33;56
Vijfheerenlanden;3809;3020;3616;1547;1657;1301;1769;920;2290;639;727;3070;625;;;;;;;;;;;;;;;;;135;;;;;;;;17421;68;55
Vlaardingen;5657;3325;1895;2175;2430;1782;2386;1764;1283;1162;1482;503;1180;;;152;;;;;;130;90;;;;;;;;;;;37;;;;26526;80;114
Vlieland;58;118;26;46;61;34;17;18;8;22;17;0;0;;;;13;;;;;;;;;;;;;;6;;11;;;;;427;0;0
Vlissingen;2430;1764;1794;1228;1697;892;1195;1098;622;838;1652;511;173;;;;;;;;;;;;1038;;;;;;;;;;;;;16684;50;58
Voerendaal;721;653;1051;455;403;418;600;456;73;353;184;;7;;;;;;;552;;;;;;;;;;;;;;;;;;4151;11;22
Voorschoten;1804;2762;1257;1642;1105;1523;544;366;420;541;483;51;55;;;33;;;;;;88;7;;;;;;;;;;;;;;;6132;29;40
Voorst;1453;1997;1877;1105;1063;839;580;605;478;411;589;308;44;;;;;;;;;;;213;;;;;;;;;;14;;;;7732;23;36
Vught;1274;2731;1067;1304;948;1658;492;1249;;500;261;;6;;164;13;;139;;;;;;;;;86;;46;;;;;;;;;8301;21;31
Waadhoeke;2779;1832;4144;1331;2697;666;1118;1066;1017;622;520;94;20;;;;2329;;;;;;;;;;;;;;494;;178;;;;;14660;46;38
Waalre;977;1800;970;774;474;935;381;532;;375;329;;16;;143;26;;122;;;;;;;;;91;;146;;;;;;;;;4989;20;18
Waalwijk;3004;2830;1918;1238;953;1242;1549;1448;;580;750;;206;;513;33;;1585;;;;;;;;;168;;89;;;;;;;;;18596;30;51
Waddinxveen;2162;1974;1125;842;784;856;728;387;1645;390;614;1382;168;;;40;;;;;;91;32;;;;;;;;;;;;;;;8145;24;25
Wageningen;1234;1812;1093;4744;2104;2765;522;1002;1143;1305;389;194;68;;;;;;;;;;;253;;;;;;;;;;11;;;;9410;31;52
Wassenaar;2248;3600;1386;670;490;889;598;222;243;442;373;38;22;;;21;;;;;;177;11;;;;;;;;;;;;;;;6324;50;28
Waterland;1875;1206;1193;1320;900;710;501;390;269;494;;;5;213;;117;;;;;150;;6;;;;;;;;;;;;;;;4166;18;22
Weert;3364;2870;3674;1579;1089;1286;2000;1465;176;580;604;;340;;;;;;;1244;;;;;;;;;;;;;;;;;;18624;55;86
Weesp;1129;1244;731;1347;848;910;464;504;242;448;;;159;328;;115;;;;;73;;24;;;;;;;;;;;;;;;5857;29;27
West Betuwe;4668;3514;2485;1406;1518;1237;1740;801;1626;726;884;2888;68;;;;;;;;;;;530;;;;;;;;;;;;;;14641;65;53
West Maas en Waal;1588;1614;1217;498;477;450;763;912;109;270;460;20;3;;;;;;;;;;;94;;;;;;;;;;;;;;6758;19;39
Westerkwartier;3185;2476;3983;2788;2851;1324;1384;1478;4772;694;642;;24;;;;;;2682;;;;;;;862;;;;;;;;;;;;19568;61;74
Westerveld;1149;1846;942;1157;1219;569;498;478;439;608;382;74;5;;;;;;;;;;;;;;;566;;;;201;;;52;;;5767;13;29
Westervoort;1095;890;713;670;688;379;490;560;220;321;318;17;49;;;;;;;;;;;71;;;;;;;;;;8;;;;5357;19;29
Westerwolde ;1707;975;1195;687;1288;361;1276;1064;575;521;325;;11;;;;;;725;;;;;;;418;;;;;;;;;;;;8820;17;36
Westland;11804;10135;8325;1981;2263;2591;3444;1103;2276;1266;1940;784;275;;;113;;;;;;331;82;;;;;;;;;;;42;;;;32084;112;140
Weststellingwerf;1791;1568;1784;820;1525;474;857;750;397;455;443;53;27;;;;281;;;;;;;;;;;;;;282;;120;;;;;9040;28;39
Westvoorne;1747;1802;570;295;555;497;508;240;216;345;342;42;6;;;24;;;;;;65;3;;;;;;;;;;;3;;;;4650;20;21
Wierden;1760;1817;3184;521;560;460;781;370;1462;160;487;599;8;;;;;;;;;;;;;;;;;;;;;;;;;6666;21;18
Wijchen;2752;2828;2908;1505;1491;1352;1322;1472;305;628;1095;45;100;;;;;;;;;;;191;;;;;;;;;;;;;;14166;47;80
Wijdemeren;2067;2474;1478;1172;794;1048;668;409;605;526;;;10;376;;170;;;;;75;;11;;;;;;;;;;;;;;;6957;26;27
Wijk bij Duurstede;1576;1959;1371;1460;701;639;739;702;545;424;383;420;38;;;;;;;;;;;;;;;;;206;;;;;;;;7388;22;28
Winterswijk;1611;2365;2079;1143;1427;958;592;908;292;324;480;50;73;;;;;;;;;;;122;;;;;;;;;;12;;;;10090;30;45
Woensdrecht;1541;1307;1010;366;441;574;902;539;;314;404;;12;;289;18;;88;;;;;;;;;67;;40;;;;;;;;;8206;17;24
Woerden;3048;3897;4111;2692;1754;1789;1087;865;2014;936;643;994;277;;;;;;;;;;;;;;;;;557;;;;;;;;14659;43;72
Wormerland;1287;1134;591;1050;854;550;484;517;261;434;;;52;267;;131;;;;;149;;4;;;;;;;;;;;;;;;5171;21;23
Woudenberg;743;864;871;397;308;243;262;161;814;161;196;1539;11;;;;;;;;;;;;;;;;;47;;;;;;;;3146;9;14
Zaanstad;10610;6559;2939;7335;6230;4114;4873;4526;1949;3375;;;2397;2135;;982;;;;;1181;;210;;;;;;;;;;;;;;;54877;210;161
Zaltbommel;1567;1701;1477;900;779;683;740;561;1112;410;424;2300;74;;;;;;;;;;;114;;;;;;;;;;;;;;7875;33;28
Zandvoort;1811;1424;562;556;586;496;768;261;104;378;;;28;195;;75;;;;;273;;4;;;;;;;;;;;;;;;5777;35;33
Zeewolde;1812;1750;1154;856;505;496;532;347;1183;331;424;203;27;;;;;;;;;;;;;;;;;;;;;23;;52;42;6234;24;25
Zeist;3175;5645;2409;4958;2096;2882;1365;1007;1754;1597;768;578;587;;;;;;;;;;;;;;;;;548;;;;;;;;18459;77;84
Zevenaar;2942;2765;2669;1466;1779;1167;1487;1356;311;625;989;46;126;;;;;;;;;;;418;;;;;;;;;;23;;;;16585;46;58
Zoetermeer;10096;8012;2999;4239;4448;4041;4328;2421;2136;2186;3204;703;548;;;204;;;;;;414;107;;;;;;;;;;;;;;;45048;170;125
Zoeterwoude;665;773;576;377;352;412;229;182;137;159;198;32;14;;;6;;;;;;51;2;;;;;;;;;;;;;;;2479;20;14
Zuidplas;3366;3493;1620;1113;1149;1320;1037;792;1938;630;860;1655;165;;;48;;;;;;203;28;;;;;;;;;;;;;;;12900;51;38
Zundert;1361;1582;1647;428;363;568;753;620;;262;345;;17;;333;19;;71;;;;;;;;;53;;42;;;;;;;;;8381;25;25
Zutphen;2238;2491;1430;3685;2812;1768;1171;2029;994;1792;760;111;291;;;;;;;;;;;240;;;;;;;;;;69;;;;15146;41;60
Zwartewaterland;1224;771;1593;363;560;193;667;409;2236;181;260;2700;4;;;;;;;;;;;;;;;;;;;;;;;;;5325;20;17
Zwijndrecht;3372;2340;1639;1000;1225;874;1408;863;1550;591;1004;1022;356;;;50;;;;;;276;35;;;;;;;;;;;21;;;;16797;38;51
Zwolle;5446;7677;5118;9889;6007;5031;2780;3738;7859;2894;1572;809;722;;;;;;;;;;;;;;;;;;;;;;;;;37717;125;166
