RegioNaam;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50;SGP;DENK;50+/PvdO;Lokaal Brabant;CO;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JL;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs;@inv;@blank
Bladel;1068;1266;1994;489;502;467;609;749;;228;447;;5;;202;32;;55;;;;;;;;;141;;63;;;;;;;;;7428;21;18
Blaricum;932;1610;461;370;363;517;249;170;194;210;;;27;140;;45;;;;;98;;8;;;;;;;;;;;;;;;2959;18;3
Bloemendaal;1333;3400;1116;1557;894;1691;296;256;392;677;;;9;243;;127;;;;;87;;7;;;;;;;;;;;;;;;5355;39;28
Bodegraven-Reeuwijk;2433;3052;2519;1079;753;1037;746;389;1483;435;498;1558;116;;;23;;;;;;103;24;;;;;;;;;;;;;;;9895;38;52
Boekel;609;615;1143;172;166;223;303;418;;138;129;;3;;420;9;;16;;;;;;;;;38;;17;;;;;;;;;3680;10;20
Borger-Odoorn;1692;1551;1103;790;1833;538;1006;724;608;486;427;96;9;;;;;;;;;;;;;;;941;;;;165;;;94;;;8605;17;27
Borne;1589;1896;2097;1022;1014;673;764;788;299;270;435;43;53;;;;;;;;;;;;;;;;;;;;;;;;;6954;34;30
Borsele;1160;904;2459;466;711;377;530;395;434;311;482;2206;3;;;;;;;;;;;;708;;;;;;;;;;;;;6273;11;16
Boxmeer;1822;2004;2566;859;842;871;849;2334;;343;476;;56;;286;25;;88;;;;;;;;;98;;50;;;;;;;;;9446;29;53
Boxtel;1600;1826;1893;1129;859;1242;824;1386;;447;445;;114;;221;31;;108;;;;;;;;;87;;59;;;;;;;;;11165;38;38
Breda;8753;15365;6173;8412;5261;9240;4267;5992;;3499;2740;;912;;1370;176;;899;;;;;;;;;519;;324;;;;;;;;;65819;201;214
Brielle;1925;1513;581;425;649;495;639;349;204;291;434;39;12;;;16;;;;;;156;6;;;;;;;;;;;6;;;;5866;16;21
Bronckhorst;2406;3439;3590;1524;1609;1049;839;1012;646;630;704;197;23;;;;;;;;;;;339;;;;;;;;;;20;;;;11338;43;49
Brummen;1380;1502;958;1208;1084;593;628;619;332;411;452;64;132;;;;;;;;;;;154;;;;;;;;;;8;;;;7195;28;46
Brunssum;1833;1299;1035;524;1428;301;2054;1137;238;437;420;;54;;;;;;;768;;;;;;;;;;;;;;;;;;11176;29;37
