;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vdR&PPNL;DG;JL;@abs;@inv;@blank
Aa en Hunze;2518;1756;924;828;1105;623;219;448;325;241;371;131;7;22;14;7;11183;8;15
Aalsmeer;1529;2375;1425;1518;630;688;624;326;461;365;185;181;22;14;8;20;12688;9;22
Aalten;1435;934;2818;828;594;425;522;189;290;235;324;84;19;8;4;13;12529;16;16
Achtkarspelen;1280;661;1687;1141;360;181;1425;152;201;361;263;52;5;10;9;30;13742;15;11
Alblasserdam;999;697;632;738;233;226;2114;165;238;241;143;58;92;5;3;28;8294;13;5
Albrandswaard;1144;1634;889;1410;513;432;440;303;424;343;210;136;48;9;14;17;11148;9;6
Alkmaar;8343;5063;2909;4028;5100;2591;723;2057;1747;1132;1337;898;369;104;70;42;47516;72;64
Almelo;3410;2332;3414;2563;1317;905;884;482;688;901;824;210;687;37;35;46;36658;46;37
Almere;9486;7558;2707;7841;5217;3436;1761;2643;2881;2587;1851;952;938;178;94;127;99275;144;110
Alphen aan den Rijn;6223;6899;5185;4544;3228;2421;3278;1348;1584;1159;1002;665;260;83;54;78;46601;59;76
Alphen-Chaam;505;724;891;369;227;181;16;100;185;113;89;43;5;4;3;5;4526;9;8
Altena;1984;1836;3127;2131;647;481;4771;415;432;612;394;168;10;9;11;38;25542;32;12
Ameland;380;263;313;180;103;61;49;49;68;49;47;15;0;0;0;0;1309;2;5
Amersfoort;9868;8288;4886;4378;8857;5159;5012;2383;1491;1242;1781;1409;1044;119;101;74;60419;83;94
Amstelveen;6093;6087;2236;3065;3407;3200;746;1374;1184;823;688;758;127;55;61;35;28998;68;40
Amsterdam;54961;30881;7339;16721;62645;31419;3674;18189;5009;5063;8043;12263;8603;779;968;263;324121;997;427
Apeldoorn;9880;8135;5582;5447;5129;3599;6017;2287;2128;1677;1563;867;901;120;71;86;73254;85;92
Appingedam;826;261;418;352;199;112;211;113;136;141;302;31;13;4;3;10;6245;4;2
Arnhem;10100;5828;2717;4207;8874;4273;1382;3043;1234;1331;1628;1180;1008;115;116;59;73346;101;99
Assen;5364;2652;2135;2082;2450;1336;2428;853;807;591;983;284;72;47;36;77;30462;26;49
Asten;755;753;1058;492;283;251;23;130;1308;156;166;82;5;7;9;7;7294;8;16
Baarle-Nassau;293;334;529;293;103;106;13;84;118;85;69;28;1;2;1;0;3360;5;4
Baarn;1740;1962;931;982;1040;810;548;468;350;243;220;323;60;31;12;12;9485;25;19
Barendrecht;2166;2748;1821;2431;927;845;1782;507;746;537;375;235;165;31;15;25;21102;22;29
Barneveld;1441;2205;3532;2062;609;527;9005;303;481;521;240;164;123;22;15;44;21090;32;22
Beek;1747;525;963;640;351;247;34;192;201;332;173;72;9;7;6;4;7666;11;20
Beekdaelen;4048;941;1842;1265;759;429;66;489;318;669;380;131;8;16;13;10;17914;15;30
Beemster;709;927;458;498;286;218;53;168;102;140;82;64;1;5;2;0;3931;7;8
Beesel;1085;342;814;493;225;117;23;103;165;297;107;54;15;5;4;2;6829;4;10
Berg en Dal;2883;1615;1480;1275;1726;783;110;632;460;500;545;241;7;19;20;9;15839;28;34
Bergeijk;967;790;1297;571;319;311;35;155;461;196;246;101;1;8;6;4;9139;9;8
Bergen;884;387;781;525;200;130;19;103;152;256;163;36;2;8;6;1;6906;9;11
