Municipality;Yes;No;@Inv;@Abs
Gurtnellen;119;60;4;274
Hospental;53;30;0;63
Isenthal;84;61;3;235
Realp;38;28;1;64
Schattdorf;1196;629;53;1843
Seedorf (UR);441;254;18;688
Seelisberg;128;105;9;227
Silenen;477;199;15;884
Sisikon;103;50;3;113
Spiringen;220;66;0;357
Unterschächen;232;45;4;237
Wassen;118;38;3;177
UR-Ausland-CH;61;72;0;197
Einsiedeln;3541;1844;73;4546
Gersau;486;299;15;633
Feusisberg;1307;646;15;1147
Freienbach;3829;2224;71;3839
Wollerau;1850;1180;40;1512
Küssnacht (SZ);2905;1914;57;3192
Altendorf;1480;913;49;1599
Galgenen;1215;484;13;1354
Innerthal;70;25;1;48
Lachen;1445;1126;67;2077
Reichenburg;728;284;4;998
Schübelbach;1795;688;18;2604
Tuggen;803;282;10;964
Vorderthal;366;51;1;348
Wangen (SZ);1237;522;16;1461
Alpthal;203;28;5;157
Arth;2367;1234;44;2974
Illgau;273;74;3;236
Ingenbohl;1987;1358;56;2307
Lauerz;369;108;2;276
Morschach;249;131;3;307
Muotathal;1328;261;6;1025
Oberiberg;297;92;3;251
Riemenstalden;21;4;0;29
Rothenthurm;672;127;4;615
Sattel;537;191;6;547
Schwyz;3649;2115;46;3973
Steinen;863;400;11;962
Steinerberg;262;85;5;267
Unteriberg;856;97;5;770
Alpnach;1360;822;111;1550
Engelberg;849;585;69;1027
Giswil;823;494;58;1207
Kerns;1503;759;69;1761
Lungern;504;346;11;648
Sachseln;1083;831;52;1363
Sarnen;2419;1783;127;2844
Beckenried;1008;538;24;870
Buochs;1327;859;73;1590
Dallenwil;491;254;33;546
Emmetten;389;158;13;361
Ennetbürgen;1143;826;56;1241
Ennetmoos;576;275;18;650
Hergiswil (NW);1468;935;84;1480
Oberdorf (NW);924;495;75;802
Stans;1691;1633;156;2335
Stansstad;1184;757;64;1391
Wolfenschiessen;634;263;11;529
Glarus Nord;3170;1699;33;6050
Glarus Süd;1917;1281;40;3786
Glarus;1956;1566;35;4363
Baar;4127;3253;88;5891
Cham;2974;2378;60;4184
Hünenberg;1743;1668;38;2359
Menzingen;956;704;23;1275
Neuheim;468;283;7;528
Oberägeri;1271;692;102;1418
Risch;1887;1177;24;2552
Steinhausen;1664;1548;52;2469
Unterägeri;1827;1050;31;2255
Walchwil;786;491;10;704
Zug;4754;5123;139;6413
Châtillon (FR);47;77;0;135
Cugy (FR);261;226;5;477
Fétigny;128;109;8;298
Gletterens;175;119;13;260
Lully (FR);188;118;11;314
Ménières;58;29;14;126
Montagny (FR);364;322;15;760
Nuvilly;63;41;1;157
Prévondavaux;15;9;0;24
Saint-Aubin (FR);228;208;5;479
Sévaz;48;34;6;68
Surpierre;197;110;15;416
Vallon;55;44;3;119
Les Montets;219;130;0;509
Delley-Portalban;207;148;7;347
Belmont-Broye;607;554;24;1550
Estavayer;1237;1053;53;2816
Cheyres-Châbles;312;332;17;646
Auboranges;62;29;3;98
Billens-Hennens;114;83;2;264
Chapelle (Glâne);50;41;3;59
Le Châtelard;57;26;0;168
Châtonnaye;83;124;7;287
Ecublens (FR);52;46;2;114
Grangettes;42;13;2;68
Massonnens;80;80;1;176
Mézières (FR);129;150;8;413
Montet (Glâne);62;46;5;141
Romont (FR);493;547;22;1397
Rue;180;167;1;533
Siviriez;282;263;17;942
Ursy;376;303;8;987
Vuisternens-devant-Romont;322;227;17;928
Villorsonnens;246;136;7;494
Torny;128;118;12;349
Villaz;248;316;6;790
Haut-Intyamon;233;207;5;622
Pont-en-Ogoz;214;267;3;676
Botterens;108;58;0;183
Broc;290;305;18;798
Bulle;1862;2236;187;6122
Châtel-sur-Montsalvens;41;34;2;90
Corbières;171;117;13;185
Crésuz;62;56;4;112
Echarlens;90;116;2;263
Grandvillard;94;98;4;292
Gruyères;249;274;17;689
Hauteville;82;77;3;232
Jaun;178;52;6;309
Marsens;218;282;7;530
Morlon;89;96;8;229
Le Pâquier (FR);155;192;6;375
Pont-la-Ville;77;76;6;251
Riaz;345;326;12;800
La Roche;234;152;14;605
Sâles;202;213;7;609
Sorens;161;123;4;397
Vaulruz;156;132;5;425
Vuadens;296;253;3;782
Bas-Intyamon;179;172;11;431
Val-de-Charmey;422;363;24;840
Autigny;125;138;8;248
Avry;220;332;11;589
Belfaux;355;465;20;876
Chénens;88;79;3;266
Corminboeuf;293;529;12;768
Cottens (FR);183;197;4;455
Ferpicloz;54;42;0;96
Fribourg;3459;6780;181;9674
Givisiez;335;479;10;899
Granges-Paccot;261;306;9;929
Grolley;229;284;9;637
Marly;1006;1361;40;2280
Matran;196;299;9;505
Neyruz (FR);256;433;17;679
Pierrafortscha;26;38;0;39
Ponthaux;70;95;8;260
Le Mouret;518;407;16;1134
Treyvaux;247;264;6;515
Villars-sur-Glâne;1104;2078;34;3085
Villarsel-sur-Marly;8;23;0;20
Hauterive (FR);291;368;21;777
La Brillaz;224;290;9;648
La Sonnaz;132;186;4;362
Gibloux;913;1017;42;2377
Prez;271;294;15;692
Bois-d'Amont;308;399;8;656
Courgevaux;185;153;10;394
Courtepin;576;560;19;1477
Cressier (FR);118;154;7;224
Fräschels;133;87;5;141
Greng;55;30;0;41
Gurmels;743;510;16;1540
Kerzers;806;624;22;1377
Kleinbösingen;152;78;5;220
Meyriez;139;143;5;157
Misery-Courtion;189;175;2;631
Muntelier;182;249;4;261
Murten;1587;1568;41;2737
Ried bei Kerzers;254;133;3;305
Ulmiz;120;54;2;146
Mont-Vully;556;667;12;1086
Brünisried;161;64;2;278
Düdingen;1426;1242;50;2733
Giffers;316;163;8;608
Bösingen;683;569;21;1235
Heitenried;248;223;8;516
Plaffeien;771;358;24;1526
Plasselb;277;76;5;387
Rechthalten;262;138;10;476
St. Silvester;219;86;6;424
St. Ursen;236;241;6;490
Schmitten (FR);706;663;17;1328
Tafers;1369;1149;46;2580
Tentlingen;247;180;6;497
Ueberstorf;549;366;11;899
Wünnewil-Flamatt;966;812;27;1788
Attalens;360;446;17;1054
Bossonnens;144;178;9;506
Châtel-Saint-Denis;829;683;24;1929
Granges (Veveyse);114;171;5;243
Remaufens;130;150;11;314
Saint-Martin (FR);143;173;1;381
Semsales;208;162;5;495
Le Flon;148;141;5;452
La Verrerie;147;155;11;446
Egerkingen;737;368;13;833
Härkingen;346;199;7;391
Kestenholz;410;305;7;484
Neuendorf;530;235;2;602
Niederbuchsiten;283;115;3;310
Oberbuchsiten;451;229;10;534
Oensingen;1142;564;17;1542
Wolfwil;521;313;12;708
Aedermannsdorf;140;94;3;178
Balsthal;1127;674;16;1508
Herbetswil;158;74;1;191
Holderbank (SO);171;60;2;224
Laupersdorf;479;213;6;531
Matzendorf;433;175;5;383
Mümliswil-Ramiswil;832;303;13;721
Welschenrohr-Gänsbrunnen;342;165;2;418
Biezwil;109;47;0;107
Lüterkofen-Ichertswil;183;163;5;241
Lüterswil-Gächliwil;104;68;0;103
Messen;383;221;5;481
Schnottwil;252;198;2;331
Unterramsern;59;49;0;60
Lüsslingen-Nennigkofen;201;190;4;312
Buchegg;614;483;10;884
Bättwil;249;197;3;337
Büren (SO);232;142;2;310
Dornach;872;1204;38;1829
Gempen;156;161;11;226
Hochwald;314;270;7;307
Hofstetten-Flüh;617;576;18;922
Metzerlen-Mariastein;247;164;14;266
Nuglar-St. Pantaleon;347;240;7;481
Rodersdorf;276;338;7;341
Seewen;253;150;5;378
Witterswil;293;278;17;393
Hauenstein-Ifenthal;59;64;2;101
Kienberg;144;77;2;152
Lostorf;979;706;21;1100
Niedergösgen;859;437;20;1003
Obergösgen;453;307;7;640
Stüsslingen;297;187;4;351
Trimbach;974;744;15;1800
Winznau;402;302;6;517
Wisen (SO);86;90;4;151
Erlinsbach (SO);653;560;18;1021
Aeschi (SO);300;229;0;413
Biberist;1530;1187;44;2500
Bolken;135;81;3;171
Deitingen;601;373;11;620
Derendingen;1124;732;25;1752
Etziken;205;108;4;282
Gerlafingen;795;453;10;1244
Halten;213;155;2;276
Horriwil;243;150;2;237
Hüniken;22;25;0;29
Kriegstetten;332;208;2;391
Lohn-Ammannsegg;641;599;18;744
Luterbach;788;481;16;1021
Obergerlafingen;318;158;4;383
Oekingen;230;125;5;190
Recherswil;452;254;12;561
Subingen;686;393;10;895
Zuchwil;1302;910;28;2293
Drei Höfe;203;131;0;247
Balm bei Günsberg;61;35;0;56
Bellach;1157;664;15;1419
Bettlach;1141;608;21;1590
Feldbrunnen-St. Niklaus;247;276;8;232
Flumenthal;268;142;4;349
Grenchen;3011;1535;44;5160
Günsberg;332;203;2;364
Hubersdorf;168;121;4;239
Kammersrohr;13;9;2;15
Langendorf;687;714;29;1194
Lommiswil;381;296;12;400
Oberdorf (SO);387;380;12;473
Riedholz;473;434;8;673
Rüttenen;375;354;10;409
Selzach;747;376;8;1064
Boningen;178;74;5;236
Däniken;713;370;11;781
Dulliken;871;493;17;1042
Eppenberg-Wöschnau;62;39;2;97
Fulenbach;371;285;2;535
Gretzenbach;605;418;6;650
Gunzgen;443;198;7;548
Hägendorf;1126;594;12;1304
Kappel (SO);695;434;10;903
Olten;2784;3098;79;4926
Rickenbach (SO);281;141;8;266
Schönenwerd;774;574;9;1153
Starrkirch-Wil;350;386;8;400
Walterswil (SO);193;78;3;295
Wangen bei Olten;959;771;19;1457
Solothurn;2286;3848;83;5066
Bärschwil;293;99;3;322
Beinwil (SO);62;54;0;125
