;BDP;CSP;CVP;EDU;EVP;FDP;FGA;GLP;GPS;LPS;Lega;MCR;EàG;SD;SP;SVP;Übrige;@blank;@invalid;@abstension
Hittnau;1005;;1683;2045;2938;5407;144;5123;5414;;;;45;131;4540;16541;639;0;11;1372
Lindau;1868;;2200;1756;2099;6950;99;6962;4231;;;;78;271;6965;22393;311;0;0;1936
Pfäffikon;2404;;3552;3365;12645;15180;751;16263;18492;;;;89;193;18473;41203;1318;1;0;4163
Russikon;1220;;1593;1438;2230;8146;309;7374;4616;;;;59;118;4431;21569;462;0;0;1464
Weisslingen;909;;1161;1309;1899;4006;76;6845;3886;;;;23;89;3886;17496;277;0;0;1242
Wila;1097;;440;727;543;1305;108;2270;2455;;;;45;41;2665;11483;45;0;0;719
Wildberg;583;;350;395;699;1171;59;1664;1503;;;;8;11;1199;6651;58;0;0;315
Dübendorf;7916;;10264;2573;5757;21719;1294;33813;20136;;;;376;506;28847;61327;2174;3;1;9991
Egg;2307;;4077;1333;2516;15218;449;13899;11652;;;;276;235;11668;32782;952;3;0;2911
Fällanden;1997;;3868;924;1302;13822;313;11599;10011;;;;91;120;11347;21415;960;1;1;3030
Greifensee;1115;;2776;1219;1816;7413;389;10010;7664;;;;96;140;10031;13398;391;1;0;1795
Maur;2866;;5225;1407;3037;23881;497;19190;11275;;;;195;267;12984;38142;984;1;2;3210
Mönchaltorf;1285;;1520;1391;1602;5996;211;6024;5432;;;;44;12;6955;15145;332;0;1;1283
Schwerzenbach;1753;;2105;343;2039;6527;231;7961;5599;;;;61;134;6309;12580;611;0;0;1766
Uster;8298;;13681;6522;15428;43502;3303;56894;61033;;;;896;631;64255;90987;4718;5;1;11182
Volketswil;7984;;8320;2109;2582;16075;417;18185;10845;;;;113;235;15350;61684;1458;0;1;7007
Wangen-Brüttisellen;1747;;1788;892;1059;9748;279;8712;4956;;;;46;51;7757;21196;513;0;3;3006
Altikon;147;;266;289;260;631;113;614;555;;;;0;32;924;5829;182;0;0;228
Brütten;800;;1124;361;986;5186;88;4430;2613;;;;79;106;3352;10425;232;0;0;693
Dägerlen;280;;212;507;1184;1430;79;1790;1894;;;;2;82;1654;5458;167;0;0;336
Dättlikon;193;;259;252;484;1336;6;1655;1226;;;;0;0;1641;4096;15;0;0;222
Dinhard;525;;672;720;757;2365;68;2738;2384;;;;10;48;2019;10070;144;0;4;574
Ellikon an der Thur;235;;352;424;450;587;72;1433;879;;;;36;59;909;4774;45;0;0;336
Elsau;1026;;1991;921;1732;5503;126;5648;5069;;;;54;20;5120;12763;609;1;1;1254
Hagenbuch;123;;299;141;330;402;44;640;858;;;;4;70;1441;7973;34;0;1;421
Hettlingen;1000;;2124;977;1963;7270;161;8471;5142;;;;21;91;3921;13545;435;0;0;1008
Neftenbach;1246;;2448;1863;3501;8979;294;8621;6814;;;;113;74;6926;22982;696;0;0;2087
Pfungen;675;;1095;824;1381;2849;301;3899;3531;;;;6;289;4346;11835;264;0;0;1366
Rickenbach (ZH);429;;1424;299;1799;3605;132;4151;3920;;;;21;6;2928;11891;393;0;2;984
Schlatt (ZH);150;;211;330;589;530;80;755;1605;;;;4;1;1230;4305;288;0;0;249
Seuzach;1429;;3770;1946;5468;15500;299;9928;6675;;;;25;197;9552;31962;703;2;0;2864
Turbenthal;1242;;1338;1671;3428;3686;195;4084;4266;;;;13;147;5768;19649;211;1;0;1776
Winterthur;17794;;47962;15510;57531;121470;28408;163595;203964;;;;3628;1361;259515;204063;22096;17;10;37043
Zell (ZH);1090;;2366;1568;5603;4573;443;4652;6308;;;;234;475;7179;18445;829;2;1;2322
Aesch (ZH);404;;1405;238;229;3830;16;2634;1479;;;;1;5;1803;7010;686;0;0;473
Birmensdorf (ZH);1074;;4535;767;1257;9759;333;9710;7975;;;;137;220;9356;22074;340;0;1;2140
Dietikon;1371;;14194;966;5383;12655;1397;14134;14429;;;;416;322;24342;44259;1667;0;0;8361
Geroldswil;509;;3882;358;736;6082;194;3851;1990;;;;4;147;3619;15156;145;0;2;1849
Oberengstringen;818;;2657;368;1098;7034;493;5498;4423;;;;44;7;8353;15518;410;0;0;2411
Oetwil an der Limmat;154;;1404;78;407;5860;25;2613;1534;;;;4;6;1996;10636;175;0;0;1045
Schlieren;1297;;6096;858;2282;9236;609;11201;9259;;;;395;199;17393;23309;1082;1;0;5970
Uitikon;802;;2972;520;625;18205;173;10004;4905;;;;31;7;4258;16781;378;0;2;1325
Unterengstringen;229;;1160;219;863;7822;297;4331;2283;;;;13;56;3504;13212;314;1;0;1441
Urdorf;1948;;6588;550;2953;11034;469;10812;8050;;;;111;210;13533;28099;967;0;3;3649
Weiningen (ZH);698;;2116;322;784;5501;206;5578;3468;;;;117;145;5219;16978;276;1;0;1590
Zürich;35234;;135055;16345;64964;455946;154284;603853;786228;;;;25011;6563;988277;527179;57104;50;49;122592
Stammheim;966;;842;845;1538;8163;57;4036;4121;;;;16;126;3870;14871;615;1;0;868
Wädenswil;4270;;25833;3880;10984;35541;2646;28976;34257;;;;530;583;36571;77228;2738;0;1;8240
Elgg;755;;1973;1235;3170;6192;206;7446;5636;;;;85;101;7485;20221;335;0;0;1711
Horgen;3259;;12791;2149;4950;34163;1887;25889;21556;;;;232;65;28369;55369;1333;5;2;7655
Illnau-Effretikon;4785;;6123;4430;5461;18688;781;18511;16220;;;;267;604;24403;48858;1648;1;1;6043
Bauma;862;;1729;3974;4809;2960;234;4206;5259;;;;167;91;6023;24441;609;1;20;1761
Wiesendangen;1593;;4417;1262;5308;12609;187;10750;6875;;;;10;143;8198;33091;508;0;1;2333
Aarberg;4381;;357;478;1372;3565;;3538;3686;;;;109;173;5328;12100;852;0;1;1836
Bargen (BE);1204;;60;317;410;297;;536;843;;;;10;47;1099;3465;308;0;3;401
Grossaffoltern;3906;;451;173;1081;2210;;2598;3280;;;;122;175;3835;9011;1146;0;9;1219
Kallnach;2377;;194;675;441;1057;;1285;1595;;;;32;72;1886;7287;732;0;1;944
Kappelen;2092;;45;198;357;709;;868;916;;;;65;88;1430;4822;376;1;0;577
Lyss;12452;;1264;1590;6770;12801;;10363;11298;;;;752;599;19203;25482;3502;0;10;6137
Meikirch;2384;;484;312;1548;2796;;2768;3829;;;;76;104;4844;7713;1027;0;4;791
Radelfingen;1557;;174;202;424;647;;1208;1421;;;;67;25;1145;5235;495;0;0;507
Rapperswil (BE);2777;;250;312;723;1589;;1786;2141;;;;100;170;2579;9613;756;0;0;1158
Schüpfen;4658;;327;445;1090;2080;;3044;4409;;;;320;68;5779;11170;1048;1;0;1447
Seedorf (BE);4370;;227;850;1242;1268;;1590;2669;;;;190;211;2759;12713;1334;1;19;1213
Aarwangen;2770;;402;560;818;3710;;2892;2875;;;;44;94;4242;12336;1178;0;2;1878
Auswil;429;;6;291;104;167;;113;354;;;;0;10;194;1976;202;0;0;224
Bannwil;611;;34;78;88;393;;195;328;;;;45;2;832;2282;217;0;4;286
Bleienbach;469;;23;10;126;314;;328;344;;;;26;26;1015;3259;186;0;2;319
Busswil bei Melchnau;272;;5;85;48;102;;132;126;;;;24;0;167;1122;77;0;0;80
Gondiswil;701;;113;359;196;382;;242;281;;;;0;7;527;3740;144;0;9;317
Langenthal;6544;;1522;1526;4556;15981;;11171;12696;;;;409;350;21961;24706;3336;3;6;5724
Lotzwil;1348;;171;211;1601;1632;;1660;1652;;;;100;242;3048;6160;667;1;5;994
Madiswil;3300;;244;1595;1414;1850;;1959;3321;;;;104;80;2799;12339;928;1;29;1332
Melchnau;932;;108;158;520;974;;818;900;;;;52;3;1552;4974;285;0;0;626
Obersteckholz;621;;8;149;201;81;;170;281;;;;2;3;407;1674;186;0;0;201
Oeschenbach;181;;4;175;158;85;;15;20;;;;0;10;20;954;70;0;0;123
Reisiswil;49;;6;154;5;24;;27;99;;;;0;4;10;903;17;0;0;89
Roggwil (BE);3026;;186;680;650;2363;;2070;2195;;;;78;119;5172;9951;827;1;2;1684
Rohrbach;905;;200;531;741;493;;532;942;;;;55;61;1240;4758;531;0;1;786
Rohrbachgraben;743;;21;671;595;30;;121;92;;;;1;11;189;1843;127;0;3;124
Rütschelen;298;;49;9;242;444;;423;502;;;;9;9;380;2037;133;1;0;234
Schwarzhäusern;309;;50;99;85;309;;223;223;;;;1;6;781;2261;211;0;1;235
Thunstetten;1513;;160;701;1424;2281;;1564;1403;;;;40;87;3170;8531;633;2;14;1415
Ursenbach;837;;39;536;172;202;;378;549;;;;8;37;441;3721;412;0;1;416
Wynau;868;;78;217;274;703;;531;423;;;;61;131;1626;3330;526;1;17;666
Bern;49233;;23715;7236;28756;88960;;157538;294818;;;;14219;1828;335302;110681;55569;29;682;39023
Bolligen;5856;;2238;708;2684;9927;;8398;9289;;;;170;140;11191;15193;2141;0;0;1950
Bremgarten bei Bern;3265;;1195;150;863;6008;;7038;8537;;;;209;21;10041;8284;1390;0;0;1208
Kirchlindach;3140;;632;230;859;4040;;4809;6072;;;;270;103;6321;10092;1283;0;2;851
Köniz;22613;;8780;3274;15879;33927;;45795;63941;;;;1895;998;76072;63940;12947;10;12;13792
Muri bei Bern;8567;;2917;1373;3412;28062;;17195;17633;;;;513;382;20077;22326;3445;1;12;4006
Oberbalm;768;;39;420;221;295;;378;765;;;;56;94;661;4968;257;0;6;320
Stettlen;4716;;821;256;878;4005;;3403;3102;;;;106;40;4125;6409;976;3;0;1035
Vechigen;4961;;892;574;2331;5698;;5966;6332;;;;152;168;7110;16031;1967;1;35;1860
Wohlen bei Bern;7501;;1981;615;1917;10718;;10855;15331;;;;508;305;20780;22093;2736;4;11;3027
Zollikofen;6881;;2116;1369;3400;9023;;9004;11173;;;;462;192;15525;19237;2465;4;11;3392
Ittigen;7358;;2553;1039;3899;11461;;8848;10091;;;;436;198;12693;17427;2465;8;72;3884
Ostermundigen;9486;;4045;1481;5327;8425;;10686;14516;;;;336;309;21489;22483;3653;4;65;6201
Biel/Bienne;10242;;6410;2741;8454;20816;;23505;63535;;;;5108;1410;69346;40625;10966;19;137;20096
Evilard;973;;499;429;432;3757;;2921;5531;;;;186;108;4170;3025;818;1;12;860
Arch;1699;;76;93;225;697;;921;838;;;;120;44;756;4921;371;0;16;770
Büetigen;920;;129;283;62;457;;564;696;;;;37;58;962;3004;365;0;0;346
Büren an der Aare;2864;;227;347;1379;2460;;3160;2467;;;;106;137;3348;8884;910;1;2;1346
Diessbach bei Büren;972;;49;83;634;476;;573;771;;;;3;11;1066;3959;357;0;3;317
Dotzigen;1347;;91;197;549;657;;1124;1451;;;;62;79;1909;3666;386;0;0;606
Lengnau (BE);2588;;345;210;1312;2807;;1721;2948;;;;124;96;5893;10159;1184;5;34;2011
Leuzigen;1362;;66;194;120;985;;673;581;;;;7;96;896;3236;571;0;6;624
Meinisberg;1070;;193;369;368;528;;685;725;;;;33;65;1260;3420;438;1;6;543
Oberwil bei Büren;658;;117;161;79;487;;834;549;;;;4;75;558;3323;341;1;10;371
Pieterlen;1496;;380;404;873;1652;;1363;1609;;;;77;24;2855;7059;1079;0;13;1774
Rüti bei Büren;1674;;36;51;128;279;;353;449;;;;0;32;509;2061;215;0;4;400
Wengi;512;;52;96;79;231;;355;602;;;;31;75;458;2715;181;0;0;234
Aefligen;940;;64;196;521;345;;541;430;;;;8;78;962;3632;311;0;2;473
Alchenstorf;842;;79;102;161;197;;285;342;;;;52;35;498;2801;142;0;3;235
Bäriswil;1347;;162;209;207;703;;1193;1006;;;;40;15;1367;3682;411;0;3;390
Burgdorf;12869;;1364;2987;7983;11470;;14766;20577;;;;989;328;28096;24032;5384;4;61;6266
Ersigen;2294;;253;394;682;1397;;1574;1476;;;;37;55;2104;8792;611;0;0;799
Hasle bei Burgdorf;3232;;293;1550;1627;1374;;2078;2025;;;;36;52;2516;10418;1401;1;11;1442
Heimiswil;1622;;117;989;757;369;;767;1172;;;;88;33;1174;7267;896;0;0;676
Hindelbank;2257;;327;452;928;1327;;1692;1511;;;;78;85;2380;6546;648;0;14;1027
Höchstetten;421;;15;5;56;147;;192;205;;;;2;3;272;2417;250;0;1;207
Kernenried;574;;44;7;63;226;;543;511;;;;5;40;416;2101;142;0;2;254
Kirchberg (BE);6046;;634;502;1472;5406;;4901;3666;;;;94;77;6939;13606;1463;2;19;2329
Koppigen;2322;;227;236;369;1379;;1745;1554;;;;41;31;2295;6518;593;0;7;915
Krauchthal;2338;;142;456;641;1618;;1240;1652;;;;174;211;2416;8539;873;4;12;1031
Lyssach;1352;;180;86;395;701;;859;994;;;;56;32;1552;5761;414;1;6;574
Mötschwil;304;;12;28;137;130;;162;603;;;;28;4;169;1446;72;0;0;120
Oberburg;2676;;158;578;675;988;;1364;1590;;;;292;131;2673;9578;949;1;0;1073
Rüdtligen-Alchenflüh;1341;;186;95;366;1190;;1046;1329;;;;10;70;1406;5833;535;0;12;961
Rumendingen;83;;4;6;2;39;;48;57;;;;0;0;48;607;66;0;0;23
Willadingen;245;;15;20;26;120;;203;142;;;;0;5;211;1555;30;0;0;67
Wynigen;2394;;191;719;1251;1204;;1199;1428;;;;89;51;1810;10011;905;1;4;813
Corgémont;271;;620;368;215;670;;747;2059;;;;109;29;1693;4713;399;0;0;659
Cormoret;295;;130;82;212;142;;287;606;;;;78;0;812;1039;116;0;3;219
Cortébert;85;;152;30;94;226;;278;642;;;;12;0;789;1972;101;0;3;279
Courtelary;196;;329;46;129;409;;562;1745;;;;66;6;1326;3037;354;8;6;650
La Ferrière;102;;49;151;196;168;;194;620;;;;167;0;258;1005;187;0;0;279
Mont-Tramelan;71;;26;17;243;7;;17;27;;;;2;0;92;572;126;0;0;59
Orvin;218;;177;136;327;445;;356;1526;;;;61;29;1393;2715;295;0;9;577
Renan (BE);368;;88;221;258;298;;277;1139;;;;173;41;898;1436;477;0;0;473
Romont (BE);104;;61;0;3;47;;19;188;;;;1;0;194;699;31;3;0;103
Saint-Imier;362;;1195;272;780;2748;;862;3672;;;;550;89;4561;5342;840;3;4;2145
Sonceboz-Sombeval;262;;562;755;883;355;;604;1171;;;;22;62;1644;2188;428;0;5;881
Sonvilier;233;;175;273;199;299;;360;1016;;;;108;32;685;2349;347;1;0;603
Tramelan;439;;1168;504;2280;2088;;764;4033;;;;363;150;9138;7681;956;0;17;1953
Villeret;141;;134;61;202;385;;382;1145;;;;67;88;871;1953;127;0;0;420
Sauge;77;;236;83;106;167;;451;809;;;;71;29;639;1195;428;1;0;421
Péry-La Heutte;385;;430;113;158;883;;506;1112;;;;96;43;1687;3553;392;0;3;894
Brüttelen;456;;2;0;99;339;;314;562;;;;0;1;526;2004;126;0;0;231
Erlach;779;;138;35;158;1132;;1061;2096;;;;198;8;1872;3076;456;1;5;512
Finsterhennen;603;;33;149;116;176;;361;273;;;;10;27;288;1562;284;0;1;179
Gals;482;;191;14;196;361;;601;750;;;;55;3;724;1715;354;0;5;377
Gampelen;498;;138;84;273;624;;424;743;;;;16;24;772;2448;293;0;0;395
Ins;2548;;432;183;575;2478;;2687;4337;;;;140;103;4714;9491;1220;0;7;1157
Lüscherz;248;;20;6;61;363;;251;318;;;;3;27;564;2122;145;0;0;256
Müntschemier;1234;;85;106;864;828;;674;719;;;;50;131;467;4355;224;0;4;451
Siselen;816;;18;26;179;241;;404;312;;;;1;0;554;2457;60;0;0;253
Treiten;551;;7;89;198;142;;214;266;;;;48;48;147;2314;106;0;0;138
Tschugg;419;;35;9;163;236;;421;748;;;;1;0;405;1213;137;1;1;155
Vinelz;1018;;71;47;187;682;;723;1209;;;;36;117;977;2362;254;0;4;358
Bätterkinden;3610;;390;155;831;1691;;2921;3045;;;;110;68;5955;7820;1178;0;17;1338
Diemerswil;207;;11;31;8;305;;281;283;;;;19;1;174;881;56;0;0;69
Fraubrunnen;7102;;753;1018;2642;3614;;5028;5942;;;;133;271;5732;16567;1491;0;1;1811
Jegenstorf;6635;;1105;903;4058;5574;;6582;6326;;;;183;151;10224;12490;1648;0;1;1946
Iffwil;619;;18;49;142;276;;382;282;;;;14;30;512;1719;85;0;2;152
Mattstetten;492;;247;87;268;477;;311;671;;;;2;3;579;2189;168;0;2;230
Moosseedorf;2428;;601;279;1245;2231;;3520;2872;;;;95;134;4850;7967;852;1;0;1613
Münchenbuchsee;6837;;1732;1008;4865;6444;;8617;9614;;;;364;492;14849;20721;2666;0;3;3714
Urtenen-Schönbühl;4042;;860;413;2484;3473;;4355;3882;;;;160;274;6762;11768;1168;0;20;2457
Utzenstorf;4459;;471;179;689;2235;;3537;3746;;;;69;141;5886;13564;1143;2;1;1793
Wiggiswil;223;;12;21;93;179;;176;195;;;;2;5;143;1190;70;0;2;64
Wiler bei Utzenstorf;1094;;73;67;204;354;;840;431;;;;2;21;1050;2159;426;0;0;451
Zielebach;248;;11;2;8;164;;38;163;;;;0;8;232;1159;77;0;4;152
Zuzwil (BE);1022;;165;124;209;617;;506;785;;;;26;48;898;1889;139;0;6;182
Adelboden;1744;;133;7953;1899;1509;;2665;1013;;;;59;53;1886;16114;978;0;21;1123
Aeschi bei Spiez;1568;;145;1158;1962;1046;;2132;1793;;;;59;220;1641;10180;1144;20;5;767
Frutigen;3532;;386;7882;6891;2653;;8325;2624;;;;118;223;4398;27728;2615;0;30;2479
Kandergrund;410;;113;82;282;118;;370;275;;;;0;10;398;4764;155;0;3;334
Kandersteg;1444;;89;110;204;653;;1348;561;;;;31;76;1309;4490;431;0;1;439
Krattigen;1893;;80;438;532;380;;985;977;;;;62;42;1148;3293;495;1;5;472
Reichenbach im Kandertal;1956;;139;1727;806;1578;;3337;1397;;;;63;237;2144;17314;1282;0;0;1461
Beatenberg;579;;96;575;541;491;;525;1128;;;;24;81;849;4808;645;0;4;460
Bönigen;1842;;220;278;622;1275;;1985;1873;;;;50;84;3117;6823;677;2;0;1134
Brienz (BE);1732;;226;1377;635;2321;;1928;3028;;;;145;122;3211;9954;1056;2;4;1288
Brienzwiler;216;;32;12;60;114;;294;369;;;;22;1;300;2473;291;0;0;198
Därligen;274;;7;104;150;267;;176;247;;;;54;34;448;1006;158;0;1;183
Grindelwald;1700;;128;575;239;2665;;1742;1406;;;;4;31;1606;15522;746;0;29;1518
Gsteigwiler;307;;53;109;106;108;;273;576;;;;2;2;508;1189;220;0;0;168
Gündlischwand;182;;3;4;5;63;;106;109;;;;0;2;178;1150;118;1;0;144
Habkern;380;;29;281;159;126;;161;196;;;;0;1;277;5063;110;0;3;225
Hofstetten bei Brienz;371;;33;108;157;418;;259;247;;;;9;4;498;2310;266;0;2;240
Interlaken;2708;;459;826;1596;4228;;3372;3648;;;;145;107;6823;8956;1482;6;2;2008
Iseltwald;269;;10;125;189;271;;121;104;;;;9;26;317;1886;230;0;0;183
Lauterbrunnen;1681;;75;395;270;1449;;1343;898;;;;32;125;1805;5864;736;0;7;888
Leissigen;907;;173;284;400;703;;735;814;;;;31;13;1204;3381;465;0;12;447
Lütschental;80;;0;83;17;8;;76;9;;;;0;0;36;1385;15;0;1;112
Matten bei Interlaken;2444;;433;508;1160;2643;;2288;3153;;;;73;167;5090;8605;1255;1;0;1667
Niederried bei Interlaken;183;;4;96;37;184;;256;434;;;;10;12;381;786;227;0;0;163
Oberried am Brienzersee;358;;26;175;201;148;;351;402;;;;4;50;449;1022;87;2;0;228
Ringgenberg (BE);1843;;140;559;727;1153;;1875;1929;;;;57;82;2366;6947;1345;2;14;1153
Saxeten;25;;0;0;26;23;;4;66;;;;1;0;34;685;48;0;3;51
Schwanden bei Brienz;252;;44;245;197;445;;791;448;;;;40;24;818;2026;189;0;0;250
Unterseen;3757;;337;2016;2126;4856;;4622;4876;;;;235;295;7596;12454;1690;3;42;2209
Wilderswil;1520;;104;338;751;2773;;1432;2085;;;;39;45;2714;7932;764;1;1;1058
Arni (BE);860;;30;74;276;269;;533;581;;;;49;41;350;5377;271;0;4;400
Biglen;2617;;90;534;714;949;;1265;1099;;;;75;95;1928;5875;640;0;17;723
Bowil;1236;;70;312;682;262;;531;853;;;;7;33;1089;5867;361;0;0;652
Brenzikofen;473;;33;165;266;442;;430;435;;;;9;9;254;2370;196;0;1;205
Freimettigen;403;;51;291;452;244;;136;430;;;;0;9;281;1307;186;0;2;186
Grosshöchstetten;4145;;534;1476;3547;3513;;3923;4072;;;;208;391;5354;11874;1771;0;1;1488
Häutligen;141;;22;17;199;86;;52;207;;;;5;0;50;1557;163;0;4;106
Herbligen;389;;7;750;566;264;;253;355;;;;0;3;278;2431;254;0;3;230
Kiesen;1277;;174;587;368;611;;952;754;;;;4;19;803;2835;324;0;0;368
Konolfingen;4513;;700;1525;3649;3082;;5490;4669;;;;218;207;6896;16007;1954;0;2;2026
Landiswil;783;;9;171;124;119;;207;412;;;;0;11;179;4474;209;0;1;255
Linden;884;;76;678;355;463;;500;676;;;;7;50;570;7880;518;0;0;542
Mirchel;609;;21;325;234;89;;290;195;;;;20;17;293;2281;118;1;1;296
Münsingen;10418;;2156;3510;6529;9900;;14314;18727;;;;491;414;19451;27310;4264;0;6;4638
Niederhünigen;649;;62;246;593;384;;563;575;;;;2;63;732;2252;265;0;3;267
Oberdiessbach;2174;;289;1313;2471;3215;;2475;3425;;;;76;206;3336;12149;1303;0;25;1351
Oberthal;803;;23;308;311;253;;600;476;;;;53;9;393;3053;316;0;6;338
Oppligen;475;;77;169;248;276;;895;724;;;;18;7;442;2247;406;2;0;264
Rubigen;3708;;311;627;963;2127;;3660;3162;;;;59;57;4485;6663;848;0;17;1123
Walkringen;1513;;75;242;433;443;;1061;1368;;;;34;24;1667;8853;628;0;2;768
Worb;9285;;2018;1678;4730;10992;;8619;11676;;;;434;303;15704;23453;3170;3;2;4311
Zäziwil;2036;;176;502;840;666;;934;1203;;;;79;46;1402;5625;615;0;5;632
Oberhünigen;145;;10;569;134;64;;158;207;;;;0;0;249;1905;97;0;0;92
Allmendingen;803;;119;99;144;829;;659;603;;;;51;61;691;2114;208;0;6;170
Wichtrach;3336;;452;1637;1818;4008;;3557;3661;;;;96;86;4460;11437;1346;0;29;1782
Ferenbalm;1140;;76;296;204;793;;676;1016;;;;60;77;1278;5277;456;5;4;477
Frauenkappelen;1198;;256;102;413;985;;1943;1265;;;;32;10;1373;3734;417;0;12;443
Gurbrü;216;;44;12;54;92;;123;317;;;;0;35;282;1554;71;0;1;73
Kriechenwil;694;;18;38;58;328;;175;313;;;;4;2;383;1265;124;0;1;210
Laupen;2980;;660;127;469;1891;;2952;3072;;;;193;59;4870;6596;904;3;0;1209
Mühleberg;2944;;315;475;1067;2365;;2488;1760;;;;95;134;3238;10311;861;0;0;1218
Münchenwiler;283;;37;127;73;362;;157;393;;;;19;3;495;1855;120;0;2;225
Neuenegg;4580;;640;709;1221;3379;;2942;3869;;;;165;123;5801;15201;1280;0;11;2246
Wileroltigen;420;;18;46;37;125;;227;272;;;;37;0;393;1817;52;0;0;145
Belprahon;35;;719;54;5;198;;55;300;;;;172;52;143;725;62;0;2;137
Champoz;35;;2;117;243;60;;1;131;;;;3;6;19;1270;83;0;1;42
Corcelles (BE);3;;221;289;44;22;;13;229;;;;0;2;67;655;15;0;1;104
Court;68;;1709;192;281;551;;123;815;;;;55;27;869;4561;187;0;1;620
Crémines;74;;602;50;146;238;;208;319;;;;11;0;638;1073;122;0;2;232
Eschert;35;;76;81;105;75;;151;254;;;;20;28;235;1006;58;1;0;170
Grandval;74;;396;115;33;71;;80;308;;;;59;0;172;942;91;0;1;178
Loveresse;11;;72;155;76;82;;77;303;;;;0;17;450;836;123;0;0;169
Moutier;278;;13151;655;927;2920;;1128;5186;;;;1594;162;4981;10404;959;4;13;2814
Perrefitte;67;;453;110;109;176;;56;305;;;;41;2;263;1282;241;0;0;201
Reconvilier;272;;707;579;730;1066;;377;1319;;;;215;101;2135;5130;500;1;2;941
Roches (BE);9;;136;124;57;14;;45;84;;;;2;0;65;825;47;0;0;97
Saicourt;162;;103;106;202;151;;54;522;;;;94;24;388;2418;271;0;2;281
Saules (BE);84;;4;68;49;30;;70;151;;;;0;0;56;934;5;0;0;61
Schelten;0;;48;0;0;0;;24;126;;;;2;0;27;146;35;0;1;52
Seehof;11;;6;2;10;0;;2;29;;;;1;0;5;414;72;0;0;33
Sorvilier;9;;396;142;6;24;;60;204;;;;19;0;336;548;56;0;0;150
Tavannes;542;;1095;517;1052;1436;;463;2448;;;;359;95;3409;5049;539;2;1;1451
Rebévelier;2;;50;22;44;0;;0;53;;;;22;0;34;295;102;0;0;9
Petit-Val;139;;248;149;218;93;;63;530;;;;140;50;270;1995;196;0;0;141
Valbirse;546;;1511;1380;1012;1743;;811;2199;;;;388;77;4705;8540;730;5;4;1632
La Neuveville;659;;1200;408;515;3088;;1812;6077;;;;426;10;5477;3074;1056;2;4;1648
Nods;125;;110;259;359;407;;485;906;;;;74;0;595;1221;194;1;0;402
Plateau de Diesse;144;;437;337;313;670;;948;3160;;;;164;53;2443;2730;529;4;26;1011
Aegerten;1490;;131;93;433;1154;;872;1099;;;;10;35;2617;4095;553;0;1;988
Bellmund;1534;;334;117;636;2516;;1748;1188;;;;34;33;1961;4186;571;1;0;628
Brügg;2122;;511;302;847;1147;;2330;3899;;;;202;138;5437;5666;1058;0;3;1816
Bühl;654;;7;0;47;271;;456;307;;;;5;4;330;1847;171;0;0;210
Epsach;286;;2;66;98;81;;210;217;;;;0;2;293;1619;126;0;0;127
Hagneck;386;;16;155;102;207;;133;482;;;;2;48;470;1406;148;0;4;180
Hermrigen;295;;22;2;45;149;;270;187;;;;2;6;237;1088;103;0;0;154
Jens;1486;;83;36;296;367;;299;750;;;;72;35;1049;2114;374;0;3;237
Ipsach;2576;;582;280;709;4615;;3750;3728;;;;78;144;6054;7714;833;0;1;1639
Ligerz;1219;;104;10;115;740;;512;988;;;;26;3;824;1210;204;0;1;175
Merzligen;496;;7;26;185;405;;395;545;;;;2;7;564;1108;80;0;0;175
Mörigen;832;;81;24;193;1829;;882;786;;;;32;12;680;2794;187;0;9;325
Nidau;1962;;678;453;1910;5554;;3614;7883;;;;424;217;9115;7146;1871;3;0;2670
Orpund;1144;;258;510;740;1160;;1257;1459;;;;140;28;3303;6277;700;1;0;1223
Port;2221;;458;177;816;3883;;2506;3113;;;;190;164;4139;7597;1090;3;52;1497
Safnern;1565;;139;371;764;1235;;1431;1299;;;;66;82;2406;6010;593;0;0;797
Scheuren;396;;32;47;102;244;;256;283;;;;0;1;379;1425;64;0;0;218
Schwadernau;484;;30;41;200;412;;572;313;;;;11;53;492;2113;244;0;0;294
Studen (BE);2322;;310;159;809;1454;;1424;1406;;;;124;243;2114;6612;633;1;12;1335
Sutz-Lattrigen;1006;;176;249;672;1032;;1376;1800;;;;31;41;1908;3136;560;1;11;511
Täuffelen;2276;;371;118;605;4001;;2353;3051;;;;180;44;3695;7123;856;0;12;1163
Walperswil;1694;;81;59;283;470;;458;756;;;;6;30;756;3931;186;0;7;395
Worben;2720;;216;280;687;743;;1456;1431;;;;61;343;2664;6565;547;2;0;1018
Twann-Tüscherz;992;;91;64;168;1537;;1287;1820;;;;7;45;1920;2562;459;0;0;462
Därstetten;464;;45;347;75;354;;355;308;;;;8;1;469;6108;458;0;1;286
Diemtigen;1096;;76;568;285;650;;697;792;;;;12;35;1027;15432;917;1;1;949
Erlenbach im Simmental;963;;87;707;237;723;;1082;1195;;;;34;75;1090;7953;1266;0;29;711
Oberwil im Simmental;397;;7;1268;97;324;;291;262;;;;2;2;576;5892;347;0;0;259
Reutigen;1113;;25;597;448;192;;494;604;;;;16;64;620;4417;352;0;6;383
Spiez;10495;;1684;4102;8390;9149;;13489;13412;;;;218;457;16008;32262;5812;2;83;4996
Wimmis;1878;;241;989;1360;1045;;1326;1615;;;;11;104;1860;10244;933;0;4;986
Stocken-Höfen;496;;81;413;263;153;;621;542;;;;3;7;545;4634;285;0;1;484
