;@abs;@blank;@null;PS;LR;LREM;LFI;D-Berthout;D-Lécuyer;NP
13-10;835;8;5;256;142;22;;;;
13-11;1003;16;13;273;137;44;;;;
13-12;983;9;5;262;130;31;;;;
13-13;995;19;9;439;115;65;;;;
13-14;968;7;13;271;138;38;;;;
13-15;1259;6;7;284;116;50;;;;
13-16;1327;19;6;393;146;42;;;;
13-17;1093;10;6;351;130;64;;;;
13-18;1038;10;7;302;134;28;;;;
13-19;1339;5;8;267;135;59;;;;
13-20;1420;4;9;237;152;51;;;;
13-21;1246;9;5;186;140;29;;;;
13-22;1190;11;9;264;117;14;;;;
13-23;972;6;5;315;127;48;;;;
13-24;1025;12;8;263;108;31;;;;
13-25;1258;5;6;294;142;47;;;;
13-26;1064;14;7;402;170;38;;;;
13-27;1146;17;10;419;120;46;;;;
13-28;1071;19;4;427;158;69;;;;
13-29;955;16;12;234;86;33;;;;
13-30;1069;17;12;378;154;44;;;;
13-31;800;12;9;306;150;65;;;;
13-32;1165;25;9;324;107;38;;;;
13-33;557;4;4;77;44;15;;;;
13-34;1189;20;8;420;202;81;;;;
13-35;803;8;5;269;111;34;;;;
13-36;846;12;6;354;140;61;;;;
13-37;1251;13;7;286;126;40;;;;
13-38;990;2;7;227;154;54;;;;
13-39;1302;11;9;301;141;42;;;;
13-40;959;8;8;428;170;62;;;;
13-41;1208;13;12;388;149;44;;;;
13-42;1107;12;8;252;108;38;;;;
13-43;1117;8;11;441;147;54;;;;
13-44;1035;12;11;255;133;28;;;;
13-45;1027;7;2;245;92;38;;;;
13-46;1220;14;8;245;144;49;;;;
13-47;1023;20;7;481;190;70;;;;
13-48;1082;11;6;450;147;53;;;;
13-49;1008;17;13;434;162;65;;;;
13-50;974;13;10;462;171;55;;;;
13-51;1011;12;12;408;188;72;;;;
13-52;791;7;3;349;131;78;;;;
13-53;900;7;9;244;105;35;;;;
13-54;977;15;8;463;159;68;;;;
13-55;801;9;9;265;133;40;;;;
13-56;978;22;7;398;185;46;;;;
13-57;926;14;11;381;146;56;;;;
13-58;956;10;7;437;149;80;;;;
13-59;1069;18;18;404;186;85;;;;
13-60;1029;12;9;380;108;60;;;;
13-61;888;13;5;405;192;78;;;;
13-62;935;18;15;424;218;86;;;;
13-63;749;14;14;322;160;86;;;;
13-64;871;9;5;355;116;65;;;;
13-65;964;20;11;436;174;77;;;;
13-66;997;15;10;374;173;83;;;;
13-67;941;6;7;334;160;52;;;;
13-68;959;12;4;387;115;39;;;;
13-69;832;13;7;356;135;50;;;;
13-70;784;22;6;250;107;40;;;;
13-71;886;16;4;293;115;59;;;;
14-1;798;4;0;296;147;33;;;;88
14-2;876;3;3;313;176;44;;;;81
14-3;859;7;2;349;223;60;;;;116
14-4;897;7;7;306;168;48;;;;95
14-5;795;3;2;299;180;51;;;;78
14-6;789;4;4;348;187;54;;;;90
14-7;855;4;2;310;172;54;;;;79
14-8;833;5;8;289;196;65;;;;92
14-9;870;9;2;296;170;56;;;;113
14-10;920;5;9;231;184;42;;;;48
14-11;808;4;10;257;185;69;;;;65
14-12;921;13;5;275;209;56;;;;91
14-13;890;4;10;331;184;52;;;;83
14-14;826;4;3;261;280;95;;;;109
14-15;937;7;4;305;182;50;;;;92
14-16;966;7;7;267;174;52;;;;68
14-17;820;5;8;328;157;72;;;;114
14-18;955;7;4;343;142;41;;;;90
14-19;1094;9;7;306;132;47;;;;63
14-20;896;11;8;231;172;38;;;;57
14-21;972;9;14;219;134;28;;;;39
14-22;1032;6;5;271;151;26;;;;64
14-23;930;13;6;335;155;37;;;;77
14-24;933;7;6;370;156;57;;;;87
14-25;904;5;1;356;149;72;;;;74
14-26;744;9;0;211;192;64;;;;85
14-27;657;1;4;149;184;51;;;;61
14-28;874;7;8;248;239;76;;;;112
14-29;986;9;3;339;155;49;;;;85
14-30;787;6;2;279;197;65;;;;80
14-31;770;7;3;252;196;74;;;;97
14-32;832;5;63;203;180;62;;;;77
14-33;932;5;2;295;201;53;;;;85
14-34;785;9;4;261;163;63;;;;92
14-35;836;9;2;284;207;67;;;;90
14-36;886;1;2;197;148;41;;;;46
14-37;897;12;4;278;171;44;;;;85
14-38;748;3;5;298;145;46;;;;76
14-39;895;3;1;253;193;49;;;;67
14-40;976;5;0;310;185;44;;;;76
14-41;1078;6;4;297;164;66;;;;86
14-42;1081;8;6;366;178;44;;;;83
14-43;854;5;2;317;188;47;;;;79
14-44;979;9;2;260;166;43;;;;54
14-45;1108;4;7;222;155;30;;;;34
14-46;786;6;3;305;156;42;;;;79
14-47;917;10;11;204;178;40;;;;63
14-48;985;12;7;269;137;38;;;;63
14-49;909;7;7;351;193;44;;;;76
14-50;925;5;8;293;191;49;;;;61
14-51;915;7;4;223;179;31;;;;63
14-52;1062;6;2;219;154;28;;;;53
14-53;1040;6;5;197;141;25;;;;57
14-54;982;2;4;241;203;55;;;;78
14-55;1095;9;9;258;176;49;;;;80
14-56;1037;13;7;183;139;24;;;;48
14-57;1169;11;7;184;98;26;;;;44
15-1;742;7;0;183;234;47;;;;
15-2;797;6;3;207;342;54;;;;
15-3;816;8;3;218;231;56;;;;
15-4;1026;10;4;228;304;57;;;;
15-5;1083;8;3;185;293;67;;;;
15-6;1002;8;5;224;297;67;;;;
15-7;995;5;4;195;295;66;;;;
15-8;745;6;5;245;309;91;;;;
15-9;897;7;10;180;321;77;;;;
15-10;986;10;4;161;279;74;;;;
15-11;959;9;7;161;378;73;;;;
15-12;1017;6;5;244;343;107;;;;
15-13;978;2;6;236;353;64;;;;
15-14;993;7;3;168;427;98;;;;
15-15;981;11;7;137;365;58;;;;
15-16;952;8;8;176;468;80;;;;
15-17;1001;5;4;144;351;47;;;;
15-18;847;4;6;130;351;58;;;;
15-19;796;8;7;152;378;60;;;;
15-20;891;3;8;137;396;64;;;;
15-21;781;5;2;137;353;83;;;;
15-22;876;6;2;140;358;68;;;;
15-23;847;10;9;169;396;90;;;;
15-24;954;9;3;129;391;70;;;;
15-25;892;5;2;223;363;95;;;;
15-26;969;8;4;217;306;66;;;;
15-27;963;10;9;189;256;36;;;;
15-28;908;9;6;208;296;71;;;;
15-29;848;6;7;249;339;61;;;;
15-30;876;6;7;216;339;87;;;;
15-31;918;5;10;190;372;75;;;;
15-32;845;12;3;236;322;85;;;;
15-33;884;4;5;205;344;73;;;;
15-34;982;7;12;218;360;72;;;;
15-35;1033;4;15;283;246;72;;;;
15-36;974;11;3;249;282;66;;;;
15-37;942;9;3;221;309;93;;;;
15-38;951;14;6;195;293;53;;;;
15-39;1053;10;10;180;268;33;;;;
15-40;935;12;6;179;285;62;;;;
15-41;979;11;6;252;301;50;;;;
15-42;680;8;2;132;219;44;;;;
15-43;735;6;5;175;327;71;;;;
15-44;970;11;6;244;273;57;;;;
15-45;990;12;5;236;283;50;;;;
15-46;866;12;7;228;293;58;;;;
15-47;1018;16;7;292;225;58;;;;
15-48;1094;9;4;153;237;26;;;;
15-49;1085;3;5;202;256;36;;;;
15-50;978;8;6;206;233;40;;;;
15-51;1000;13;9;242;267;62;;;;
15-52;1071;9;8;166;248;26;;;;
15-53;1051;10;5;212;233;59;;;;
15-54;910;11;5;232;293;73;;;;
15-55;915;7;5;238;271;65;;;;
15-56;977;22;6;290;320;87;;;;
15-57;870;8;4;211;309;75;;;;
15-58;909;12;6;238;259;71;;;;
15-59;934;6;11;196;312;66;;;;
15-60;895;11;10;228;374;84;;;;
15-61;906;8;4;233;287;57;;;;
15-62;917;5;4;228;324;69;;;;
15-63;812;8;2;225;285;57;;;;
15-64;855;6;3;158;326;59;;;;
15-65;849;7;5;176;295;53;;;;
15-66;935;10;7;180;336;69;;;;
15-67;1052;8;7;217;259;53;;;;
15-68;942;9;5;259;336;85;;;;
15-69;1112;5;7;232;272;37;;;;
15-70;1012;5;6;259;326;63;;;;
15-71;1043;8;10;211;311;57;;;;
15-72;985;10;12;203;240;49;;;;
15-73;857;6;2;167;280;67;;;;
15-74;974;7;4;182;337;69;;;;
15-75;840;9;11;158;294;77;;;;
15-76;823;9;4;177;153;19;;;;
15-77;940;11;5;217;286;54;;;;
15-78;680;14;3;133;201;55;;;;
15-79;741;12;7;177;239;75;;;;
15-80;956;15;9;199;269;62;;;;
15-81;923;8;7;211;296;54;;;;
15-82;985;15;10;158;264;48;;;;
15-83;923;7;5;180;357;86;;;;
15-84;892;5;6;170;293;81;;;;
15-85;1019;14;9;254;294;65;;;;
15-86;800;6;7;150;278;46;;;;
15-87;951;9;7;196;257;58;;;;
15-88;947;5;3;167;309;75;;;;
15-89;900;7;10;168;300;62;;;;
15-90;828;8;2;176;277;65;;;;
15-91;922;9;3;211;324;102;;;;
15-92;890;6;4;187;323;52;;;;
15-93;908;12;7;223;309;66;;;;
15-94;1043;11;5;178;251;44;;;;
15-95;934;10;5;162;247;42;;;;
16-1;1003;17;5;;365;78;;;;
16-2;1012;11;9;;428;97;;;;
16-3;1072;8;3;;360;70;;;;
16-4;1106;4;4;;392;104;;;;
16-5;882;10;5;;292;97;;;;
16-6;786;13;5;;356;127;;;;
16-7;958;18;4;;306;89;;;;
16-8;832;7;13;;345;80;;;;
16-9;796;11;4;;324;86;;;;
16-10;943;11;4;;319;120;;;;
16-11;823;14;4;;307;101;;;;
16-12;880;16;0;;303;86;;;;
16-13;904;15;9;;367;116;;;;
16-14;850;11;4;;348;96;;;;
16-15;816;18;8;;316;94;;;;
16-16;856;13;7;;333;122;;;;
16-17;855;18;3;;406;134;;;;
16-18;930;14;16;;339;113;;;;
16-19;889;22;8;;307;99;;;;
16-20;1000;16;5;;391;111;;;;
16-21;950;20;10;;370;119;;;;
16-22;1031;28;3;;449;121;;;;
16-23;893;18;4;;414;80;;;;
16-24;992;18;2;;340;77;;;;
16-25;986;16;14;;326;102;;;;
16-26;986;13;6;;346;123;;;;
16-27;852;10;6;;329;107;;;;
16-28;843;13;10;;303;115;;;;
16-29;841;19;8;;322;109;;;;
16-30;892;18;6;;345;120;;;;
16-31;874;17;7;;350;116;;;;
16-32;1020;21;10;;309;143;;;;
16-33;994;24;3;;351;149;;;;
16-34;1103;10;4;;390;140;;;;
16-35;750;7;7;;323;119;;;;
16-36;1072;25;8;;279;97;;;;
16-37;928;24;8;;322;128;;;;
16-38;1050;20;7;;354;151;;;;
16-39;1043;26;8;;310;110;;;;
16-40;1102;20;10;;295;112;;;;
16-41;1067;31;12;;321;121;;;;
16-42;801;11;2;;262;109;;;;
16-43;903;13;5;;274;100;;;;
16-44;933;31;13;;238;96;;;;
16-45;1009;23;5;;219;112;;;;
16-46;888;27;9;;217;87;;;;
16-47;1118;33;9;;328;103;;;;
16-48;961;30;3;;338;113;;;;
16-49;1025;10;13;;408;117;;;;
16-50;1103;23;8;;403;149;;;;
16-51;1214;22;2;;343;128;;;;
16-52;1132;15;5;;366;103;;;;
16-53;1026;9;6;;339;69;;;;
16-54;1038;6;4;;263;99;;;;
16-55;1035;12;3;;424;104;;;;
16-56;1017;3;11;;383;69;;;;
16-57;1001;26;3;;369;94;;;;
16-58;1059;6;7;;338;87;;;;
16-59;958;11;2;;413;125;;;;
16-60;1018;11;4;;388;83;;;;
16-61;943;6;5;;321;97;;;;
16-62;1016;22;4;;332;95;;;;
16-63;974;20;10;;315;111;;;;
16-64;790;13;4;;289;95;;;;
16-65;969;15;4;;323;78;;;;
16-66;883;10;2;;239;69;;;;
16-67;907;14;6;;325;80;;;;
16-68;1010;11;6;;298;71;;;;
17-1;912;7;4;220;203;59;;;;
17-2;963;4;2;203;230;58;;;;
17-3;952;7;5;258;210;73;;;;
17-4;1001;12;2;257;192;84;;;;
17-5;864;9;3;218;295;67;;;;
17-6;916;12;9;158;245;95;;;;
17-7;836;10;5;261;260;82;;;;
17-8;951;9;5;216;262;80;;;;
17-9;1021;12;5;276;279;108;;;;
17-10;899;7;5;161;261;77;;;;
17-11;870;8;3;195;297;73;;;;
17-12;928;12;6;190;278;94;;;;
17-13;1033;4;4;220;257;82;;;;
17-14;1006;6;5;151;342;81;;;;
17-15;902;7;5;125;352;78;;;;
17-16;1404;8;13;320;411;69;;;;
17-17;1075;9;6;142;286;48;;;;
17-18;989;7;8;192;223;47;;;;
17-19;963;11;2;120;129;23;;;;
17-20;975;12;4;144;168;30;;;;
17-21;909;8;5;237;184;65;;;;
17-22;782;6;3;220;158;46;;;;
17-23;1096;7;4;123;150;37;;;;
17-24;676;9;4;234;185;63;;;;
17-25;1197;20;5;288;275;66;;;;
17-26;928;9;4;265;162;51;;;;
17-27;1097;9;9;220;227;53;;;;
17-28;1001;11;2;253;271;92;;;;
17-29;1160;6;5;329;208;67;;;;
17-30;827;14;8;252;182;39;;;;
17-31;900;8;3;247;190;65;;;;
17-32;921;7;5;243;226;70;;;;
17-33;914;1;3;296;178;52;;;;
17-34;888;13;4;279;204;52;;;;
17-35;787;15;2;211;222;55;;;;
17-36;1000;7;6;127;286;49;;;;
17-37;883;5;5;74;442;64;;;;
17-38;892;8;4;125;384;53;;;;
17-39;1015;2;11;114;252;29;;;;
17-40;892;9;4;117;408;87;;;;
17-41;938;6;2;92;413;86;;;;
17-42;958;6;1;99;440;94;;;;
17-43;932;6;1;85;399;81;;;;
17-44;975;11;3;114;368;74;;;;
17-45;959;4;2;116;381;90;;;;
17-46;974;4;4;155;322;76;;;;
17-47;857;5;4;94;426;95;;;;
17-48;866;7;2;75;349;82;;;;
17-49;774;0;6;102;438;71;;;;
17-50;863;3;1;100;410;83;;;;
17-51;849;4;1;98;385;84;;;;
17-52;927;10;3;115;407;63;;;;
17-53;933;6;3;123;437;65;;;;
17-54;955;6;6;127;412;80;;;;
17-55;1015;5;3;95;412;110;;;;
17-56;1120;5;5;154;365;81;;;;
17-57;1031;6;6;127;298;37;;;;
17-58;980;7;6;108;321;52;;;;
17-59;1021;8;1;90;343;70;;;;
17-60;911;10;0;116;346;71;;;;
17-61;899;6;1;78;411;83;;;;
17-62;853;11;8;122;381;98;;;;
17-63;975;4;2;115;324;72;;;;
17-64;916;6;2;92;388;87;;;;
17-65;850;6;4;102;333;88;;;;
17-66;1081;8;3;119;352;81;;;;
17-67;1031;2;0;123;371;88;;;;
18-1;968;6;7;359;122;109;;;;
18-2;987;16;2;309;105;128;;;;
18-3;932;13;3;258;175;139;;;;
18-4;1162;23;9;372;153;114;;;;
18-5;728;11;4;293;95;120;;;;
18-6;916;8;7;356;101;98;;;;
18-7;907;7;7;361;74;76;;;;
18-8;932;7;7;321;106;78;;;;
18-9;1035;12;6;386;101;82;;;;
18-10;1082;16;9;399;74;94;;;;
18-11;1004;13;7;371;117;89;;;;
