;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
554;792;3;14;148;59;75;71;38;29;11;;;;;4;3;;;
555;628;1;3;122;26;32;45;35;17;9;;;;;3;1;;;
556;848;6;11;119;65;89;62;32;29;16;;;;;0;2;;;
557;615;10;2;92;38;55;127;17;18;13;;;;;2;3;;;
558;424;3;2;30;23;33;70;16;10;4;;;;;1;2;;;
559;764;2;9;85;44;62;133;18;47;9;;;;;1;1;;;
560;659;2;8;74;34;41;80;21;11;10;;;;;3;3;;;
561;713;0;8;144;31;62;122;26;29;11;;;;;4;1;;;
563;655;0;14;55;32;49;144;19;11;12;;;;;2;0;;;
601;644;2;3;284;33;25;26;42;16;9;;;;;;;;;
602;385;0;2;96;39;31;28;41;23;7;;;;;;;;;
603;652;2;9;217;55;30;17;41;39;13;;;;;;;;;
604;804;8;5;229;73;67;40;94;49;12;;;;;;;;;
605;841;3;5;191;86;67;29;79;56;13;;;;;;;;;
607;727;3;7;135;137;45;43;64;80;6;;;;;;;;;
608;418;0;0;96;59;29;23;34;50;7;;;;;;;;;
609;739;1;3;140;120;54;33;66;68;8;;;;;;;;;
611;720;3;6;123;116;40;36;31;64;13;;;;;;;;;
613;874;1;4;173;102;56;28;66;51;7;;;;;;;;;
621;716;3;9;133;102;45;29;74;55;16;;;;;;;;;
622;726;2;4;119;117;46;33;63;50;10;;;;;;;;;
625;806;8;9;161;82;53;52;61;44;19;;;;;;;;;
641;428;2;2;248;37;23;21;42;16;6;;;;;;;;;
651;506;6;5;295;42;53;22;59;25;5;;;;;;;;;
652;414;1;3;156;27;21;15;32;12;8;;;;;;;;;
661;395;2;1;66;61;29;19;37;23;8;;;;;;;;;
662;611;2;4;76;84;36;22;35;35;9;;;;;;;;;
663;856;1;4;81;116;78;42;40;58;15;;;;;;;;;
664;722;1;3;80;150;55;39;35;54;16;;;;;;;;;
671;774;2;1;120;130;48;37;74;81;8;;;;;;;;;
672;601;6;3;105;91;55;34;59;40;9;;;;;;;;;
673;384;2;5;94;58;31;19;38;23;6;;;;;;;;;
674;470;3;5;100;64;43;28;47;34;7;;;;;;;;;
701;522;3;4;116;97;42;15;35;31;11;;;;;;;;1;
702;460;2;8;80;75;27;23;33;31;7;;;;;;;;3;
703;523;1;5;105;110;41;21;35;52;3;;;;;;;;3;
721;92;0;0;16;16;7;1;0;2;1;;;;;;;;0;
751;738;4;6;143;150;66;34;54;61;18;;;;;;;;0;
752;446;2;2;61;64;47;11;34;24;10;;;;;;;;2;
753;816;7;9;86;169;92;49;31;30;7;;;;;;;;2;
754;509;10;5;89;99;61;21;27;24;11;;;;;;;;2;
755;537;1;7;61;91;77;38;29;21;7;;;;;;;;5;
756;666;5;6;123;129;76;19;49;31;10;;;;;;;;4;
757;663;4;11;149;118;104;37;39;39;10;;;;;;;;4;
759;674;2;4;108;105;59;27;46;21;5;;;;;;;;2;
760;582;0;8;193;84;57;28;57;43;13;;;;;;;;2;
761;410;2;3;90;79;28;21;32;27;5;;;;;;;;0;
762;554;3;2;121;91;47;22;46;41;3;;;;;;;;2;
763;459;3;7;152;118;43;19;39;46;5;;;;;;;;1;
764;602;3;8;107;94;73;24;47;33;9;;;;;;;;2;
766;555;2;9;130;168;64;29;56;41;8;;;;;;;;2;
767;594;2;5;89;88;49;33;39;38;10;;;;;;;;0;
768;333;0;5;106;66;29;16;34;49;3;;;;;;;;1;
769;399;2;4;116;65;36;20;35;39;4;;;;;;;;3;
770;476;3;1;107;102;56;24;39;56;6;;;;;;;;2;
771;389;5;0;99;99;39;20;56;76;2;;;;;;;;1;
772;573;3;3;117;144;59;46;55;58;5;;;;;;;;1;
773;603;1;7;69;193;47;43;43;85;8;;;;;;;;1;
774;693;6;5;127;191;62;46;61;89;20;;;;;;;;1;
775;261;1;5;94;55;22;23;20;23;5;;;;;;;;2;
801;743;0;5;71;171;69;45;49;78;5;;;;;;;;;
802;750;4;7;69;143;44;37;41;74;5;;;;;;;;;
803;898;4;5;45;174;40;56;41;73;9;;;;;;;;;
804;820;0;3;46;154;57;33;29;72;10;;;;;;;;;
805;605;6;7;43;137;41;34;26;82;5;;;;;;;;;
806;718;2;5;27;160;53;37;31;54;5;;;;;;;;;
807;712;1;4;43;193;47;43;27;74;2;;;;;;;;;
808;761;0;4;39;143;57;35;29;49;10;;;;;;;;;
809;740;1;1;52;184;57;46;31;95;12;;;;;;;;;
810;737;4;2;54;76;46;32;29;19;13;;;;;;;;;
811;730;2;4;71;105;59;40;38;38;9;;;;;;;;;
812;600;0;6;61;96;44;21;26;25;5;;;;;;;;;
813;695;1;8;55;95;52;35;26;45;6;;;;;;;;;
814;963;4;7;122;128;74;44;80;64;26;;;;;;;;;
815;811;1;8;68;103;60;36;45;45;8;;;;;;;;;
816;979;0;11;124;159;56;55;65;76;30;;;;;;;;;
817;845;3;6;86;125;67;28;29;36;18;;;;;;;;;
818;952;7;13;68;133;88;40;38;38;20;;;;;;;;;
830;455;0;7;38;60;31;18;19;20;8;;;;;;;;;
831;590;0;3;57;89;23;20;32;33;4;;;;;;;;;
832;793;5;3;65;151;54;40;60;75;5;;;;;;;;;
833;447;0;3;29;136;22;30;35;78;5;;;;;;;;;
834;844;7;0;14;197;46;38;13;64;2;;;;;;;;;
835;619;1;1;35;126;42;31;26;49;2;;;;;;;;;
836;427;0;2;25;98;21;27;25;39;3;;;;;;;;;
850;906;6;5;76;128;101;43;52;52;8;;;;;;;;;
851;547;5;6;153;61;47;35;46;59;4;;;;;;;;;
852;708;3;5;108;111;58;45;64;37;5;;;;;;;;;
853;504;1;4;45;80;44;29;35;19;2;;;;;;;;;
854;592;4;5;63;74;56;41;46;41;6;;;;;;;;;
855;690;1;6;76;120;55;58;37;65;5;;;;;;;;;
856;841;4;2;85;142;82;37;65;69;7;;;;;;;;;
857;594;2;6;59;62;44;25;53;39;6;;;;;;;;;
858;754;7;6;68;116;70;44;49;57;7;;;;;;;;;
859;705;2;7;84;98;66;25;35;37;6;;;;;;;;;
860;841;4;19;59;132;84;55;30;42;13;;;;;;;;;
861;797;5;5;76;151;57;41;71;41;5;;;;;;;;;
862;588;1;5;138;57;46;18;85;62;7;;;;;;;;;
863;719;4;9;161;86;57;17;93;42;9;;;;;;;;;
864;900;5;2;90;106;75;37;72;48;9;;;;;;;;;
865;650;7;10;74;91;58;33;62;54;5;;;;;;;;;
866;817;3;4;135;128;86;53;64;69;8;;;;;;;;;
867;696;1;6;132;157;62;35;72;45;6;;;;;;;;;
868;782;0;10;70;150;60;30;54;60;7;;;;;;;;;
869;695;8;0;109;123;76;36;87;55;3;;;;;;;;;
870;719;5;3;56;120;87;75;30;21;15;;;;;;;;;
871;545;2;5;119;113;70;48;35;24;4;;;;;;;;;
872;620;2;2;90;92;60;40;57;48;4;;;;;;;;;
873;760;4;3;76;118;73;52;49;50;8;;;;;;;;;
901;389;0;4;11;39;40;7;15;4;6;;;;;;;;;
921;557;2;5;57;80;58;25;21;26;10;;;;;;;;;
922;367;0;3;21;44;47;26;18;6;6;;;;;;;;;
923;743;3;2;24;59;35;18;19;15;17;;;;;;;;;
924;638;1;4;63;69;50;20;28;20;9;;;;;;;;;
925;574;3;3;49;72;53;11;22;21;4;;;;;;;;;
926;350;1;4;27;48;34;11;15;7;4;;;;;;;;;
927;832;3;4;65;154;81;34;40;21;13;;;;;;;;;
928;809;5;12;66;90;91;28;35;32;15;;;;;;;;;
929;660;3;6;22;107;52;23;23;33;2;;;;;;;;;
930;681;1;7;41;68;61;24;21;17;9;;;;;;;;;
931;837;5;1;31;107;76;24;20;20;14;;;;;;;;;
932;582;3;5;23;86;74;16;22;15;9;;;;;;;;;
934;695;5;7;33;98;100;26;24;17;6;;;;;;;;;
935;553;3;6;28;69;50;30;13;16;5;;;;;;;;;
936;531;1;6;37;68;61;27;39;21;5;;;;;;;;;
949;411;1;1;29;75;54;12;30;12;8;;;;;;;;;
950;616;1;9;73;94;63;28;64;42;18;;;;;;;;;
951;924;4;6;78;146;64;48;53;37;6;;;;;;;;;
