;@abs;@blank;@null;UG;UD;RN;D-Gilles;EÉLV;LREM;G-Ghali;G-Bensaada;LO;G-Manin;UPR;POID;G-Vinapon;PA;EXD-Comas;D-Harouche
1416;744;0;2;29;35;54;29;;5;36;12;3;;3;;;;;0
1417;825;2;5;22;20;30;8;;2;31;6;0;;2;;;;;1
1450;851;3;4;12;61;20;18;;11;85;12;1;;3;;;;;0
1451;1087;2;6;65;53;129;29;;23;37;19;1;;1;;;;;0
1452;512;0;1;54;47;8;9;;10;79;19;1;;2;;;;;0
1453;883;1;4;21;117;16;20;;9;76;49;1;;6;;;;;4
1454;587;2;6;12;60;18;6;;8;92;33;0;;5;;;;;1
1455;635;1;6;14;57;14;6;;0;43;10;2;;2;;;;;0
1456;773;0;3;58;51;80;49;;13;43;21;1;;5;;;;;0
1457;599;1;0;20;31;92;14;;4;22;12;1;;3;;;;;0
1458;1118;4;13;63;59;190;41;;20;39;28;3;;6;;;;;2
1459;1082;5;9;84;47;200;34;;22;41;27;2;;1;;;;;0
1460;1010;5;10;93;63;176;24;;23;42;31;2;;4;;;;;0
1461;1020;4;4;24;85;48;10;;8;71;21;3;;5;;;;;0
1462;535;4;6;9;30;25;7;;4;52;11;1;;4;;;;;0
1463;723;2;9;43;26;65;8;;28;30;18;3;;1;;;;;0
1464;451;1;8;42;48;100;24;;12;2;16;1;;1;;;;;0
1465;573;10;7;71;41;151;32;;12;7;33;3;;1;;;;;2
1466;777;5;11;49;42;100;17;;8;25;14;3;;0;;;;;0
1501;634;0;1;22;24;33;6;6;16;77;;3;;;0;;;;
1503;453;2;2;46;19;27;3;12;20;43;;3;;;1;;;;
1504;596;8;0;21;24;33;15;9;10;36;;3;;;1;;;;
1505;994;7;7;59;54;53;15;13;35;80;;4;;;1;;;;
1507;620;2;8;18;39;52;7;8;14;52;;3;;;3;;;;
1508;681;6;4;35;31;56;9;12;16;71;;7;;;1;;;;
1531;806;6;7;35;45;53;8;7;13;78;;4;;;2;;;;
1532;720;0;5;55;32;59;13;14;12;32;;3;;;0;;;;
1533;845;1;8;49;26;78;8;14;12;76;;3;;;2;;;;
1535;594;4;6;36;34;60;9;2;12;33;;1;;;0;;;;
1536;462;1;2;23;22;30;12;9;6;32;;1;;;1;;;;
1537;872;6;4;32;78;70;13;7;10;90;;2;;;0;;;;
1538;1030;5;10;44;72;80;9;16;16;153;;1;;;0;;;;
1539;797;2;7;18;41;38;12;15;21;49;;2;;;1;;;;
1540;923;6;13;15;65;57;13;17;26;91;;0;;;0;;;;
1541;456;2;1;35;53;26;6;7;7;64;;2;;;1;;;;
1542;1074;1;12;46;57;65;14;13;28;56;;2;;;1;;;;
1543;787;1;9;53;58;130;22;13;13;48;;2;;;0;;;;
1571;864;1;11;59;51;78;26;20;16;89;;4;;;3;;;;
1572;1044;2;12;19;41;81;22;9;29;97;;0;;;1;;;;
1574;1192;4;6;76;68;76;24;28;93;143;;11;;;2;;;;
1575;542;2;4;40;34;85;10;10;11;53;;4;;;0;;;;
1576;743;3;5;66;24;123;23;19;27;89;;3;;;1;;;;
1577;960;5;3;53;28;31;9;13;71;155;;0;;;0;;;;
1578;547;0;3;14;31;57;8;10;14;25;;1;;;2;;;;
1579;740;0;6;37;36;123;15;12;23;55;;1;;;0;;;;
1580;872;5;7;48;30;63;15;6;17;69;;4;;;4;;;;
1581;712;0;4;8;7;25;6;3;18;63;;0;;;1;;;;
1582;982;3;3;41;30;103;16;19;21;98;;5;;;0;;;;
1583;416;2;1;17;23;73;9;15;5;24;;0;;;0;;;;
1584;495;0;4;95;37;84;8;40;24;27;;8;;;4;;;;
1585;1105;2;5;41;53;59;8;13;42;123;;2;;;3;;;;
1586;875;0;4;21;27;15;7;6;58;99;;0;;;2;;;;
1587;1503;2;1;36;47;36;9;16;42;133;;3;;;2;;;;
1588;898;5;3;30;34;10;5;6;38;123;;3;;;0;;;;
1601;893;2;8;70;33;73;13;21;12;52;;1;;;3;;;;
1602;611;4;2;72;50;55;13;10;19;60;;4;;;2;;;;
1606;573;5;4;76;20;59;11;13;14;46;;3;;;0;;;;
1607;373;0;1;97;22;63;9;24;11;20;;10;;;0;;;;
1608;1084;4;4;62;48;98;21;20;23;88;;0;;;6;;;;
1609;637;2;10;101;19;53;11;24;11;53;;4;;;0;;;;
1610;472;1;2;132;36;73;8;26;21;48;;2;;;1;;;;
1611;675;2;3;108;39;58;24;24;16;57;;1;;;2;;;;
1612;587;3;4;152;35;65;10;38;19;80;;3;;;1;;;;
1613;439;0;4;89;37;32;10;21;7;82;;1;;;2;;;;
1614;514;1;7;126;22;59;5;24;19;63;;1;;;0;;;;
