;@abs;@blank;@invalid;UG;UD;RN;D-Gilles;G-Ghali;LREM
851;516;2;3;250;99;51;;;41
852;574;6;6;242;219;66;;;32
853;419;4;1;125;148;43;;;20
854;514;3;3;175;136;62;;;38
855;582;6;4;162;245;58;;;53
856;776;14;4;183;228;84;;;43
857;521;5;1;161;131;38;;;30
858;704;3;6;172;197;57;;;44
859;610;5;2;203;157;66;;;25
860;788;9;1;140;190;114;;;36
861;746;8;2;177;217;66;;;34
862;498;4;1;304;114;50;;;34
863;670;3;1;320;110;51;;;42
864;788;5;4;238;192;85;;;35
865;561;8;7;182;156;77;;;43
866;743;6;4;270;221;61;;;63
867;590;5;1;280;239;68;;;32
868;688;9;5;184;217;78;;;38
869;589;10;0;257;209;84;;;39
870;685;10;3;116;198;95;;;24
871;493;6;0;212;165;65;;;20
872;556;6;4;197;163;65;;;24
873;642;9;1;220;186;83;;;48
901;402;1;0;28;55;34;;;
921;499;1;8;126;140;66;;;
922;351;4;0;64;70;50;;;
923;727;4;2;64;108;27;;;
924;598;5;2;133;102;60;;;
925;540;1;1;98;115;56;;;
926;334;1;2;55;65;45;;;
927;794;6;2;142;211;93;;;
928;777;5;4;155;131;108;;;
929;592;3;1;91;194;50;;;
930;649;5;3;80;135;54;;;
931;837;6;2;91;123;79;;;
932;582;6;4;67;114;64;;;
934;700;2;4;78;142;85;;;
935;510;3;0;74;133;52;;;
936;526;8;0;120;92;50;;;
949;374;3;6;87;101;60;;;
950;557;6;0;209;153;83;;;
951;851;7;4;193;241;71;;;
952;748;9;6;227;215;114;;;
953;857;4;0;130;168;76;;;
954;733;7;4;86;129;46;;;
955;660;9;7;184;232;71;;;
956;1181;9;0;169;242;63;;;
957;753;7;1;207;218;86;;;
958;532;12;0;162;107;51;;;
959;800;2;3;145;201;79;;;
960;685;4;1;200;254;70;;;
961;482;5;3;82;212;58;;;
962;614;9;2;161;215;61;;;
963;511;9;2;94;178;44;;;
964;558;8;3;99;174;76;;;
965;611;8;4;160;195;80;;;
966;550;8;4;148;226;81;;;
967;373;5;1;84;92;47;;;
968;853;13;5;184;215;81;;;
969;500;3;0;77;131;66;;;
970;506;3;5;127;133;69;;;
971;673;6;2;177;187;92;;;
972;1027;12;4;170;222;122;;;
973;576;0;3;109;107;72;;;
974;860;10;3;198;243;100;;;
975;320;2;1;46;54;40;;;
976;794;5;4;139;90;81;;;
977;716;5;3;172;257;89;;;
978;961;7;4;258;192;80;;;
979;601;3;1;130;91;78;;;
980;754;7;4;202;327;75;;;
1001;461;4;0;78;64;38;;;
1002;1222;11;4;158;148;76;;;
1003;804;6;4;132;116;104;;;
1004;598;7;3;111;95;120;;;
1005;687;4;1;135;87;82;;;
1006;1056;5;3;146;126;63;;;
1007;590;2;2;85;91;78;;;
1008;472;0;7;72;104;63;;;
1009;280;1;0;27;37;26;;;
1021;611;6;1;141;111;62;;;
1022;670;4;8;150;165;79;;;
1041;536;4;2;90;165;73;;;
1061;841;9;6;140;137;107;;;
1062;896;3;2;79;84;44;;;
1063;633;7;0;56;108;58;;;
1064;795;6;2;99;183;79;;;
1065;1012;4;1;88;100;31;;;
1066;747;5;4;93;235;72;;;
1067;900;5;1;74;190;98;;;
1068;792;6;3;100;162;111;;;
1069;750;6;6;114;187;86;;;
1070;767;7;3;111;166;81;;;
1071;592;1;1;76;116;64;;;
1072;714;5;2;76;143;89;;;
1073;816;7;4;173;158;100;;;
1074;752;7;4;102;131;94;;;
1075;731;7;3;113;134;67;;;
1076;776;5;7;141;124;108;;;
1077;901;1;0;82;79;48;;;
1078;559;5;1;53;95;66;;;
1079;680;2;1;77;98;93;;;
1080;760;6;4;107;154;90;;;
1101;911;4;4;118;128;98;15;;
1102;718;5;0;80;120;84;12;;
1103;724;1;3;64;122;26;75;;
1150;579;8;0;77;79;53;17;;
1151;528;0;0;72;91;58;8;;
1152;599;3;0;65;67;62;9;;
1153;867;5;2;33;83;12;28;;
1154;574;1;2;91;54;38;31;;
1155;686;3;2;114;98;74;36;;
1156;980;13;3;137;116;115;26;;
1157;777;3;3;99;80;93;12;;
1158;619;2;1;78;109;67;14;;
1159;734;6;2;90;78;68;19;;
1160;888;6;2;131;119;95;24;;
1161;928;4;8;127;95;93;36;;
1162;445;3;3;84;80;66;25;;
1163;909;7;5;141;120;97;25;;
1164;888;8;3;77;80;61;30;;
1165;1040;3;6;192;136;117;34;;
1166;681;3;2;132;73;82;27;;
1167;652;11;0;105;157;88;41;;
1168;994;4;2;113;136;140;60;;
1169;716;6;7;139;167;82;28;;
1170;820;14;12;196;184;97;52;;
1171;786;5;1;186;210;117;41;;
1172;871;7;4;216;209;96;90;;
1173;1013;4;3;141;158;98;44;;
1174;696;2;3;120;118;67;32;;
