RegioNaam;@invalid;@blank;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50+;SGP;DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs
Bergen-G0373;23;46;2665;2880;1321;2171;1386;1323;858;594;341.0;1178;;;13;377.0;;356.0;;;;;279.0;;20.0;;;;;;;;;;;;;;;8539
Bergen op Zoom-G0748;68;94;4133;3961;2459;2095;1611;1937;2270;1998;;933;1320.0;;888;;669.0;67.0;;306.0;;;;;;;;;154.0;;147.0;;;;;;;;;26227
Berkelland-G1859;40;69;2917;4281;3760;1866;2064;1212;1124;1696;452.0;643;993.0;86.0;49;;;;;;;;;;;256.0;;;;;;;;;;17.0;;;;13725
Bernheze-G1721;34;39;1651;2154;2647;762;593;1108;797;1633;;269;410.0;;17;;391.0;23.0;;85.0;;;;;;;;;88.0;;52.0;;;;;;;;;11035
Best-G0753;32;32;1795;2207;1447;856;694;1407;841;983;;391;722.0;;132;;255.0;35.0;;389.0;;;;;;;;;132.0;;118.0;;;;;;;;;10143
Beuningen-G0209;38;32;2099;1914;1200;1024;963;900;809;871;181.0;404;630.0;20.0;51;;;;;;;;;;;122.0;;;;;;;;;;;;;;9746
Beverwijk-G0375;45;47;3113;1771;1047;1917;1461;1078;1279;945;351.0;712;;;383;513.0;;454.0;;;;;297.0;;58.0;;;;;;;;;;;;;;;14828
Bladel-G1728;21;18;1068;1266;1994;489;502;467;609;749;;228;447.0;;5;;202.0;32.0;;55.0;;;;;;;;;141.0;;63.0;;;;;;;;;7428
Blaricum-G0376;18;3;932;1610;461;370;363;517;249;170;194.0;210;;;27;140.0;;45.0;;;;;98.0;;8.0;;;;;;;;;;;;;;;2959
Bloemendaal-G0377;39;28;1333;3400;1116;1557;894;1691;296;256;392.0;677;;;9;243.0;;127.0;;;;;87.0;;7.0;;;;;;;;;;;;;;;5355
Bodegraven-Reeuwijk-G1901;38;52;2433;3052;2519;1079;753;1037;746;389;1483.0;435;498.0;1558.0;116;;;23.0;;;;;;103.0;24.0;;;;;;;;;;;;;;;9895
Boekel-G0755;10;20;609;615;1143;172;166;223;303;418;;138;129.0;;3;;420.0;9.0;;16.0;;;;;;;;;38.0;;17.0;;;;;;;;;3680
Borger-Odoorn-G1681;17;27;1692;1551;1103;790;1833;538;1006;724;608.0;486;427.0;96.0;9;;;;;;;;;;;;;;;941.0;;;;165.0;;;94.0;;;8605
Borne-G0147;34;30;1589;1896;2097;1022;1014;673;764;788;299.0;270;435.0;43.0;53;;;;;;;;;;;;;;;;;;;;;;;;;6954
Borsele-G0654;11;16;1160;904;2459;466;711;377;530;395;434.0;311;482.0;2206.0;3;;;;;;;;;;;;708.0;;;;;;;;;;;;;6273
Boxmeer-G0756;29;53;1822;2004;2566;859;842;871;849;2334;;343;476.0;;56;;286.0;25.0;;88.0;;;;;;;;;98.0;;50.0;;;;;;;;;9446
Boxtel-G0757;38;38;1600;1826;1893;1129;859;1242;824;1386;;447;445.0;;114;;221.0;31.0;;108.0;;;;;;;;;87.0;;59.0;;;;;;;;;11165
Breda-G0758;201;214;8753;15365;6173;8412;5261;9240;4267;5992;;3499;2740.0;;912;;1370.0;176.0;;899.0;;;;;;;;;519.0;;324.0;;;;;;;;;65819
Brielle-G0501;16;21;1925;1513;581;425;649;495;639;349;204.0;291;434.0;39.0;12;;;16.0;;;;;;156.0;6.0;;;;;;;;;;;6.0;;;;5866
