RegioNaam;@invalid;@blank;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50+;SGP;DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs
Huizen-G0406;41;45;3130;3476;1838;1871;1589;1495;1152;628;2086.0;824;;;220;652.0;;228.0;;;;;251.0;;50.0;;;;;;;;;;;;;;;12580
Hulst-G0677;35;37;1586;1274;2311;513;875;458;821;862;99.0;337;918.0;57.0;12;;;;;;;;;;;;504.0;;;;;;;;;;;;;9299
IJsselstein-G0353;39;43;2240;2938;1606;1542;1129;1162;1004;722;609.0;507;568.0;169.0;190;;;;;;;;;;;;;;;;;146.0;;;;;;;;11232
Kaag en Braassem-G1884;33;27;2459;2636;1767;839;714;1161;716;391;343.0;412;698.0;60.0;29;;;52.0;;;;;;131.0;8.0;;;;;;;;;;;;;;;8482
Kampen-G0166;57;68;3215;2150;3421;2075;1410;959;1818;1146;4859.0;586;733.0;3304.0;232;;;;;;;;;;;;;;;;;;;;;;;;;14050
Kapelle-G0678;8;11;659;820;1286;284;450;215;300;198;492.0;180;252.0;1036.0;3;;;;;;;;;;;;371.0;;;;;;;;;;;;;3100
Katwijk-G0537;88;69;7206;3296;3358;969;1220;1054;1752;616;4002.0;704;1557.0;3389.0;131;;;70.0;;;;;;335.0;22.0;;;;;;;;;;;;;;;18848
Kerkrade-G0928;36;41;2492;905;2197;974;1201;364;3485;2362;126.0;701;976.0;;95;;;;;;;888.0;;;;;;;;;;;;;;;;;;17928
Koggenland-G1598;20;48;1889;2144;1860;880;795;617;622;512;177.0;390;;;10;288.0;;201.0;;;;;309.0;;12.0;;;;;;;;;;;;;;;6850
Krimpen aan den IJssel-G0542;38;31;2417;1788;936;712;1025;770;965;475;1236.0;428;643.0;2516.0;57;;;28.0;;;;;;311.0;20.0;;;;;;;;;;;;;;;8217
Krimpenerwaard-G1931;68;66;4392;4465;2522;1389;1910;1598;1573;927;2499.0;959;1254.0;3172.0;128;;;74.0;;;;;;389.0;24.0;;;;;;;;;;;;;;;16031
Laarbeek-G1659;30;40;1326;1304;2119;576;598;612;804;992;;277;381.0;;8;;188.0;23.0;;76.0;;;;;;;;;96.0;;139.0;;;;;;;;;7961
Landerd-G1685;15;38;895;1156;1171;322;310;450;466;806;;167;221.0;;4;;803.0;5.0;;42.0;;;;;;;;;59.0;;37.0;;;;;;;;;5200
Landgraaf-G0882;52;55;2260;1008;1418;910;966;561;3345;1749;159.0;621;574.0;;58;;;;;;;1869.0;;;;;;;;;;;;;;;;;;14570
Landsmeer-G0415;14;22;1206;790;339;777;608;549;384;349;106.0;294;;;27;171.0;;59.0;;;;;40.0;;5.0;;;;;;;;;;;;;;;3067
Langedijk-G0416;46;36;2311;2035;1468;1418;1032;959;783;589;629.0;565;;;53;376.0;;292.0;;;;;460.0;;20.0;;;;;;;;;;;;;;;8615
Lansingerland-G1621;53;60;4812;5794;2744;1778;1450;2606;1442;613;2131.0;897;1101.0;342.0;228;;;80.0;;;;;;403.0;85.0;;;;;;;;;;;;;;;17730
Laren-G0417;18;9;863;2036;471;407;287;558;204;158;123.0;261;;;13;136.0;;40.0;;;;;62.0;;3.0;;;;;;;;;;;;;;;2997
Leeuwarden-G0080;129;130;7122;5000;5322;6210;9969;2998;2801;3313;2627.0;2636;1697.0;191.0;174;;;;3025.0;;;;;;;;;;;;;;508.0;;583.0;;;;;41531
Leiden-G0546;151;202;6341;7107;2890;10768;5922;9332;2518;2567;2001.0;3734;1466.0;237.0;853;;;148.0;;;;;;268.0;180.0;;;;;;;;;;;;;;;36522
Leiderdorp-G0547;29;29;2056;2333;992;1417;1309;1420;624;442;475.0;505;720.0;164.0;108;;;35.0;;;;;;98.0;12.0;;;;;;;;;;;;;;;8060
Leidschendam-Voorburg-G1916;90;97;5203;7197;2903;3133;2775;3944;1955;1190;1037.0;1590;1558.0;177.0;279;;;90.0;;;;;;461.0;72.0;;;;;;;;;;;;;;;22127
Lelystad-G0995;125;81;5612;4038;1649;2238;3235;1358;3196;2001;1752.0;1322;1523.0;249.0;788;;;;;;;;;;;;;;;;;;;;;53.0;;524.0;232.0;26849
Leudal-G1640;30;65;2171;1701;3804;908;790;1275;1681;985;182.0;478;474.0;;16;;;;;;;986.0;;;;;;;;;;;;;;;;;;12932
Leusden-G0327;35;54;1849;2780;1985;1928;1169;1297;524;973;1359.0;597;491.0;316.0;37;;;;;;;;;;;;;;;;;108.0;;;;;;;;7799
Lingewaard-G1705;47;57;3255;3721;2345;1887;1797;1758;1321;2020;345.0;715;943.0;40.0;38;;;;;;;;;;;237.0;;;;;;;;;;16.0;;;;15819
Lisse-G0553;24;19;2171;1949;1249;631;607;957;561;365;506.0;350;538.0;625.0;12;;;21.0;;;;;;276.0;14.0;;;;;;;;;;;;;;;6691
Lochem-G0262;32;55;1773;3783;2198;2277;1857;1532;642;843;563.0;836;600.0;60.0;94;;;;;;;;;;;257.0;;;;;;;;;;25.0;;;;9644
Loon op Zand-G0809;26;45;1521;1601;1356;648;581;619;821;770;;292;377.0;;26;;431.0;18.0;;168.0;;;;;;;;;68.0;;46.0;;;;;;;;;8903
Lopik-G0331;17;27;1091;979;1393;302;295;186;576;180;750.0;176;176.0;678.0;41;;;;;;;;;;;;;;;;;37.0;;;;;;;;4222
Loppersum-G0024;11;8;312;275;692;486;468;155;182;590;670.0;159;66.0;;2;;;;;;678.0;;;;;;;207.0;;;;;;;;;;;;2748
Losser-G0168;24;26;1747;1353;2427;642;665;534;1028;562;161.0;251;497.0;34.0;21;;;;;;;;;;;;;;;;;;;;;;;;;7949
Maasdriel-G0263;28;59;2280;1725;1765;679;501;505;1046;690;228.0;342;470.0;260.0;27;;;;;;;;;;;100.0;;;;;;;;;;;;;;7855
Maasgouw-G1641;22;60;1656;1003;2440;593;449;481;1245;599;94.0;408;579.0;;24;;;;;;;484.0;;;;;;;;;;;;;;;;;;9401
Maassluis-G0556;38;44;2694;2007;1515;767;1215;783;1041;514;854.0;468;808.0;144.0;644;;;42.0;;;;;;82.0;58.0;;;;;;;;;;;14.0;;;;11227
Maastricht-G0935;187;122;6684;4642;4687;6189;3689;4145;5795;3156;704.0;2427;1880.0;;415;;;;;;;716.0;;;;;;;;;;;;;;;;;;41963
Medemblik-G0420;51;48;3741;3332;2722;1472;1461;1308;1269;956;821.0;748;;;92;468.0;;365.0;;;;;517.0;;31.0;;;;;;;;;;;;;;;14582
Meerssen-G0938;15;22;1326;1058;1586;1040;493;518;1077;601;116.0;369;378.0;;13;;;;;;;239.0;;;;;;;;;;;;;;;;;;6481
Meierijstad-G1948;113;128;4420;5316;6114;1995;1855;2421;2324;3493;;861;1120.0;;503;;634.0;243.0;;206.0;;;;;;;;;306.0;;181.0;;;;;;;;;29911
Meppel-G0119;34;34;1950;2411;1529;1577;1946;964;861;1084;1440.0;571;445.0;93.0;76;;;;;;;;;;;;;;;402.0;;;;184.0;;;100.0;;;10309
Middelburg-G0687;55;64;1898;2070;2667;2317;2440;1268;1018;1126;1776.0;1127;881.0;2224.0;235;;;;;;;;;;;;891.0;;;;;;;;;;;;;15199
Midden-Delfland-G1842;17;25;1582;2054;1689;706;615;904;396;284;591.0;310;362.0;57.0;19;;;26.0;;;;;;43.0;13.0;;;;;;;;;;;5.0;;;;5094
Midden-Drenthe-G1731;31;19;2082;2551;2131;1109;2216;863;834;807;1106.0;564;632.0;152.0;7;;;;;;;;;;;;;;;415.0;;;;635.0;;;74.0;;;10379
Midden-Groningen-G1952;66;84;3055;2084;1437;1796;2893;975;1987;2485;2077.0;709;773.0;;282;;;;;;2855.0;;;;;;;1249.0;;;;;;;;;;;;23586
Mill en Sint Hubert-G0815;16;20;728;633;1242;223;209;189;343;516;;127;162.0;;6;;411.0;6.0;;21.0;;;;;;;;;43.0;;26.0;;;;;;;;;3837
Moerdijk-G1709;30;41;2744;2411;1921;778;988;831;1318;1217;;488;653.0;;43;;641.0;28.0;;631.0;;;;;;;;;145.0;;95.0;;;;;;;;;13962
Molenlanden-G1978;33;28;2787;2757;3040;618;1176;685;1164;679;3918.0;450;552.0;4006.0;26;;;85.0;;;;;;139.0;19.0;;;;;;;;;;;52.0;;;;10847
Montferland-G1955;41;53;2678;2329;2837;926;1156;884;1671;1039;188.0;475;782.0;34.0;78;;;;;;;;;;;271.0;;;;;;;;;;14.0;;;;13513
Montfoort-G0335;13;14;1031;1260;1141;615;459;435;379;207;559.0;168;222.0;506.0;27;;;;;;;;;;;;;;;;;60.0;;;;;;;;3514
Mook en Middelaar-G0944;10;7;522;615;418;817;493;320;219;239;57.0;194;113.0;;5;;;;;;;57.0;;;;;;;;;;;;;;;;;;2256
Neder-Betuwe-G1740;23;22;1479;1001;847;293;725;232;871;292;719.0;194;254.0;4264.0;21;;;;;;;;;;;85.0;;;;;;;;;;;;;;6089
Nederweert-G0946;17;35;1031;723;3095;377;273;385;713;567;44.0;205;202.0;;7;;;;;;;170.0;;;;;;;;;;;;;;;;;;5832
Nieuwegein-G0356;78;99;4153;3604;2204;2955;2373;1651;2256;1748;1216.0;1077;1464.0;186.0;398;;;;;;;;;;;;;;;;;318.0;;;;;;;;22967
Nieuwkoop-G0569;24;26;2600;2609;1988;723;749;862;748;310;606.0;351;615.0;279.0;22;;;56.0;;;;;;108.0;13.0;;;;;;;;;;;;;;;9537
Nijkerk-G0267;32;57;2802;3047;3070;1116;998;930;1266;484;2938.0;488;582.0;1672.0;173;;;;;;;;;;;179.0;;;;;;;;;;39.0;;;;12410
Nijmegen-G0268;195;325;7265;8216;4012;18554;8311;10099;3652;6879;1587.0;6238;2105.0;147.0;1282;;;;;;;;;;;710.0;;;;;;;;;;;;;;57927
Nissewaard-G1930;109;91;8000;4072;1812;1655;2894;1398;4291;1997;1101.0;1207;2181.0;289.0;247;;;90.0;;;;;;731.0;35.0;;;;;;;;;;;65.0;;;;34101
Noardeast-Fryslân-G1970;48;31;2909;1370;4743;946;1612;423;1153;812;2015.0;468;353.0;278.0;6;;;;2229.0;;;;;;;;;;;;;;280.0;;138.0;;;;;15336
Noord-Beveland-G1695;3;7;523;465;706;207;271;130;288;163;111.0;171;170.0;237.0;5;;;;;;;;;;;;256.0;;;;;;;;;;;;;2191
Noordenveld-G1699;19;41;1877;2280;1211;1902;2391;1192;800;935;1049.0;604;521.0;63.0;7;;;;;;;;;;;;;;;340.0;;;;337.0;;;81.0;;;9494
Noordoostpolder-G0171;47;66;2903;2721;4166;1211;1379;781;1472;1322;2278.0;463;612.0;1159.0;142;;;;;;;;;;;;;;;;;;;;;52.0;;79.0;92.0;12932
Noordwijk-G0575;64;61;4428;4385;2100;1336;1246;1507;1171;650;406.0;660;924.0;66.0;54;;;37.0;;;;;;254.0;20.0;;;;;;;;;;;;;;;13142
Nuenen, Gerwen en Nederwetten-G0820;13;56;1344;2090;1533;1289;767;956;544;1103;;448;531.0;;11;;291.0;18.0;;158.0;;;;;;;;;78.0;;73.0;;;;;;;;;6918
Nunspeet-G0302;23;24;1832;1209;1698;510;396;329;748;339;2460.0;267;327.0;4017.0;31;;;;;;;;;;;95.0;;;;;;;;;;26.0;;;;6686
Oegstgeest-G0579;17;35;1352;2715;1022;1511;1068;1980;318;334;532.0;630;417.0;45.0;42;;;39.0;;;;;;84.0;7.0;;;;;;;;;;;;;;;5415
Oirschot-G0823;25;23;1054;1472;1913;480;459;677;588;655;;248;337.0;;6;;141.0;23.0;;57.0;;;;;;;;;89.0;;46.0;;;;;;;;;6574
Oisterwijk-G0824;20;49;1547;2438;1514;1057;635;1172;632;857;;432;445.0;;33;;309.0;17.0;;118.0;;;;;;;;;122.0;;59.0;;;;;;;;;9093
Oldambt-G1895;48;73;2274;1402;989;875;2153;599;1553;1981;954.0;464;507.0;;17;;;;;;1152.0;;;;;;;1353.0;;;;;;;;;;;;14453
Oldebroek-G0269;29;10;1270;621;1313;504;460;225;716;317;2798.0;229;240.0;1939.0;4;;;;;;;;;;;151.0;;;;;;;;;;46.0;;;;7123
Oldenzaal-G0173;46;69;2083;2618;2434;1788;1167;824;1149;857;186.0;360;707.0;33.0;185;;;;;;;;;;;;;;;;;;;;;;;;;10291
Olst-Wijhe-G1773;12;10;930;1133;1888;1250;895;528;441;525;226.0;302;299.0;66.0;17;;;;;;;;;;;;;;;;;;;;;;;;;5823
Ommen-G0175;19;26;1026;1200;2351;543;520;395;454;349;1404.0;217;277.0;209.0;8;;;;;;;;;;;;;;;;;;;;;;;;;4825
Oost Gelre-G1586;38;57;1886;2684;3250;811;1318;770;638;789;130.0;287;672.0;34.0;60;;;;;;;;;;;154.0;;;;;;;;;;12.0;;;;10002
Oosterhout-G0826;43;62;3498;3883;2199;1991;1371;1839;1796;1510;;754;967.0;;343;;1171.0;55.0;;269.0;;;;;;;;;187.0;;106.0;;;;;;;;;21272
Ooststellingwerf-G0085;27;36;1829;1292;1707;938;1612;430;846;716;745.0;553;388.0;88.0;11;;;;362.0;;;;;;;;;;;;;;425.0;;115.0;;;;;8442
Oostzaan-G0431;11;9;1083;694;244;534;446;317;381;190;142.0;307;;;16;187.0;;68.0;;;;;60.0;;6.0;;;;;;;;;;;;;;;2909
Opmeer-G0432;13;13;970;871;1034;345;406;363;340;269;88.0;159;;;6;157.0;;95.0;;;;;159.0;;6.0;;;;;;;;;;;;;;;3786
Opsterland-G0086;27;34;1462;1349;2003;1193;2111;750;698;864;1306.0;415;290.0;233.0;8;;;;953.0;;;;;;;;;;;;;;326.0;;125.0;;;;;9250
Oss-G0828;129;153;5700;5447;4435;2745;1919;2666;3141;6646;;1218;1504.0;;794;;644.0;70.0;;255.0;;;;;;;;;243.0;;135.0;;;;;;;;;32436
Oude IJsselstreek-G1509;42;63;2274;2625;3034;1086;1569;919;1274;1745;360.0;528;863.0;52.0;382;;;;;;;;;;;282.0;;;;;;;;;;11.0;;;;14238
Ouder-Amstel-G0437;17;20;877;1196;507;996;660;800;241;211;248.0;336;;;41;275.0;;98.0;;;;;52.0;;10.0;;;;;;;;;;;;;;;3658
Oudewater-G0589;16;10;732;811;1202;314;241;244;265;119;358.0;101;172.0;221.0;9;;;;;;;;;;;;;;;;;51.0;;;;;;;;3000
Overbetuwe-G1734;53;56;2954;3395;2797;2074;1635;1777;1325;1276;1021.0;757;799.0;470.0;98;;;;;;;;;;;267.0;;;;;;;;;;22.0;;;;15663
Papendrecht-G0590;37;32;2362;2065;1139;800;1004;716;1050;608;1430.0;413;687.0;765.0;118;;;62.0;;;;;;313.0;14.0;;;;;;;;;;;21.0;;;;11609
Peel en Maas-G1894;32;76;2737;2701;5678;927;792;740;1863;956;110.0;400;482.0;;93;;;;;;;348.0;;;;;;;;;;;;;;;;;;16340
Pekela-G0765;18;14;718;269;298;202;587;89;717;899;256.0;146;128.0;;0;;;;;;466.0;;;;;;;167.0;;;;;;;;;;;;4840
Pijnacker-Nootdorp-G1926;65;70;4265;4766;2377;1900;1654;2640;1408;733;1115.0;1087;882.0;241.0;137;;;84.0;;;;;;512.0;33.0;;;;;;;;;;;;;;;15232
Purmerend-G0439;125;84;7618;3607;1759;3107;3015;2124;3429;2050;652.0;1588;;;406;1204.0;;573.0;;;;;1050.0;;117.0;;;;;;;;;;;;;;;30064
Putten-G0273;26;25;1785;1494;1911;384;334;333;704;231;2263.0;271;396.0;1736.0;25;;;;;;;;;;;65.0;;;;;;;;;;22.0;;;;6597
Raalte-G0177;20;61;1928;2920;5330;1640;1155;1072;849;912;502.0;337;758.0;90.0;57;;;;;;;;;;;;;;;;;;;;;;;;;12060
Reimerswaal-G0703;22;19;1062;593;1584;183;550;133;610;282;623.0;178;285.0;4014.0;19;;;;;;;;;;;;605.0;;;;;;;;;;;;;4817
Renkum-G0274;31;45;1731;2576;1407;2810;1464;1748;680;713;676.0;1088;673.0;108.0;67;;;;;;;;;;;252.0;;;;;;;;;;13.0;;;;8906
Renswoude-G0339;5;4;415;302;395;63;45;48;116;48;408.0;38;36.0;639.0;0;;;;;;;;;;;;;;;;;9.0;;;;;;;;1250
Reusel-De Mierden-G1667;8;19;589;854;1160;236;357;316;370;468;;137;280.0;;3;;127.0;15.0;;27.0;;;;;;;;;54.0;;21.0;;;;;;;;;5099
Rheden-G0275;64;52;2496;3007;1833;2674;2483;1676;1319;1616;867.0;1274;735.0;93.0;184;;;;;;;;;;;308.0;;;;;;;;;;26.0;;;;14198
Rhenen-G0340;33;21;1354;1231;835;845;536;523;551;237;895.0;283;239.0;1868.0;71;;;;;;;;;;;;;;;;;99.0;;;;;;;;5622
Ridderkerk-G0597;54;50;4218;2211;1409;941;1490;851;1673;903;1681.0;639;1195.0;2452.0;216;;;65.0;;;;;;123.0;43.0;;;;;;;;;;;32.0;;;;16294
Rijssen-Holten-G1742;47;31;2162;1876;3060;636;946;568;1010;458;2799.0;217;391.0;5432.0;75;;;;;;;;;;;;;;;;;;;;;;;;;8720
Rijswijk-G0603;76;66;3930;3632;1457;2274;1836;2008;1968;838;685.0;994;1154.0;119.0;327;;;66.0;;;;;;188.0;61.0;;;;;;;;;;;22.0;;;;17751
Roerdalen-G1669;18;35;1273;1140;1776;559;472;284;1307;624;65.0;305;282.0;;28;;;;;;;597.0;;;;;;;;;;;;;;;;;;7661
Roermond-G0957;52;96;3269;2822;3120;2501;1293;1293;2732;1516;248.0;852;702.0;;852;;;;;;;549.0;;;;;;;;;;;;;;;;;;22745
Roosendaal-G1674;114;86;4545;4469;3083;2628;1896;1629;2687;2423;;929;1439.0;;836;;616.0;44.0;;424.0;;;;;;;;;198.0;;255.0;;;;;;;;;30360
Rotterdam-G0599;1273;590;31818;25965;8328;24858;17915;19894;15889;10379;6759.0;10949;8862.0;1863.0;15263;;;675.0;;;;;;;3146.0;;;;;;;;;;;;;;;252249
Rozendaal-G0277;5;0;96;347;95;109;77;115;20;21;35.0;39;21.0;4.0;0;;;;;;;;;;;8.0;;;;;;;;;;0.0;;;;254
Rucphen-G0840;16;30;1614;993;1002;302;301;316;2440;463;;240;338.0;;10;;350.0;9.0;;61.0;;;;;;;;;64.0;;43.0;;;;;;;;;9828
Schagen-G0441;57;50;3517;3606;3420;1834;2320;1264;1247;1302;402.0;849;;;18;583.0;;313.0;;;;;775.0;;17.0;;;;;;;;;;;;;;;15049
Scherpenzeel-G0279;2;11;839;675;585;203;172;143;241;101;641.0;79;117.0;1168.0;4;;;;;;;;;;;33.0;;;;;;;;;;3.0;;;;2338
Schiedam-G0606;100;120;5774;3064;1398;2463;2338;1734;2558;1582;717.0;1236;1615.0;157.0;2127;;;128.0;;;;;;146.0;180.0;;;;;;;;;;;32.0;;;;28204
Schiermonnikoog-G0088;3;7;61;69;68;58;96;16;33;24;28.0;34;6.0;2.0;2;;;;22.0;;;;;;;;;;;;;;2.0;;1.0;;;;;240
Schouwen-Duiveland-G1676;41;23;1993;2284;2198;1115;1117;574;874;806;901.0;625;743.0;2098.0;10;;;;;;;;;;;;1729.0;;;;;;;;;;;;;10026
's-Gravenhage-G0518;996;539;25331;27603;8308;21504;15175;19266;13689;5997;5104.0;10953;6214.0;1029.0;10407;;;471.0;;;;;;900.0;1518.0;;;;;;;;;;;;;;;177238
's-Hertogenbosch-G0796;177;208;8622;10369;5610;7699;4598;7888;4907;6067;;3110;2143.0;;926;;984.0;150.0;;696.0;;;;;;;;;535.0;;328.0;;;;;;;;;54577
Simpelveld-G0965;6;12;605;245;1282;237;400;153;715;386;40.0;235;128.0;;7;;;;;;;113.0;;;;;;;;;;;;;;;;;;3711
Sint Anthonis-G1702;18;17;672;855;1664;265;224;325;250;653;;132;256.0;;4;;200.0;12.0;;35.0;;;;;;;;;53.0;;27.0;;;;;;;;;3618
Sint-Michielsgestel-G0845;30;47;1527;2152;1950;1111;841;1539;808;1161;;410;418.0;;7;;258.0;30.0;;107.0;;;;;;;;;109.0;;63.0;;;;;;;;;10004
Sittard-Geleen-G1883;134;203;5586;3385;5998;3670;2573;2334;6286;3261;445.0;1598;1814.0;;309;;;;;;;1406.0;;;;;;;;;;;;;;;;;;35714
Sliedrecht-G0610;29;18;1625;1062;1044;366;729;344;756;511;1409.0;307;369.0;2259.0;99;;;32.0;;;;;;86.0;8.0;;;;;;;;;;;19.0;;;;7925
Sluis-G1714;17;28;1234;1347;1612;403;832;290;612;466;148.0;325;373.0;123.0;8;;;;;;;;;;;;1653.0;;;;;;;;;;;;;7873
Smallingerland-G0090;76;77;3082;2212;3565;1902;3480;1131;1708;1640;3112.0;722;686.0;426.0;48;;;;1409.0;;;;;;;;;;;;;;750.0;;181.0;;;;;17372
Soest-G0342;36;51;3131;4251;2196;2581;1664;1830;1334;669;1208.0;1059;929.0;364.0;468;;;;;;;;;;;;;;;;;389.0;;;;;;;;13109
Someren-G0847;15;42;1167;1210;1926;372;449;401;649;469;;184;332.0;;19;;375.0;14.0;;52.0;;;;;;;;;211.0;;33.0;;;;;;;;;7168
Son en Breugel-G0848;18;24;933;1506;1025;675;456;859;388;488;;337;597.0;;6;;210.0;11.0;;122.0;;;;;;;;;50.0;;40.0;;;;;;;;;5319
Stadskanaal-G0037;36;47;1744;789;1618;521;1432;361;1253;1320;2238.0;237;389.0;;8;;;;;;953.0;;;;;;;454.0;;;;;;;;;;;;12314
Staphorst-G0180;21;5;1205;532;972;177;268;128;391;140;1790.0;88;118.0;3177.0;3;;;;;;;;;;;;;;;;;;;;;;;;;3130
Stede Broec-G0532;33;22;1910;1452;1063;625;737;519;698;741;244.0;325;;;20;269.0;;260.0;;;;;246.0;;18.0;;;;;;;;;;;;;;;7359
Steenbergen-G0851;16;30;1943;1447;1043;412;539;636;1069;667;;291;401.0;;14;;210.0;17.0;;286.0;;;;;;;;;49.0;;116.0;;;;;;;;;9274
Steenwijkerland-G1708;43;46;3220;2929;3257;1715;2004;974;1426;1097;1893.0;704;976.0;405.0;84;;;;;;;;;;;;;;;;;;;;;;;;;14373
Stein-G0971;34;32;2049;912;2179;720;593;533;1976;930;86.0;373;568.0;;32;;;;;;;322.0;;;;;;;;;;;;;;;;;;9307
Stichtse Vecht-G1904;80;77;4521;5612;3358;3468;2259;2356;1947;1098;1466.0;1076;1452.0;670.0;177;;;;;;;;;;;;;;;;;194.0;;;;;;;;19258
Súdwest-Fryslân-G1900;79;99;5489;3917;9486;2834;4907;1752;2251;1892;2092.0;1056;1029.0;209.0;42;;;;4217.0;;;;;;;;;;;;;;507.0;;695.0;;;;;27332
Terneuzen-G0715;76;84;3304;1862;3618;932;2116;716;1823;1140;1159.0;562;1384.0;1171.0;249;;;;;;;;;;;;978.0;;;;;;;;;;;;;18673
Terschelling-G0093;8;8;378;477;288;276;449;158;90;87;59.0;86;62.0;3.0;0;;;;47.0;;;;;;;;;;;;;;19.0;;17.0;;;;;1571
Texel-G0448;19;31;1361;1185;824;866;678;446;372;423;338.0;318;;;4;157.0;;86.0;;;;;122.0;;6.0;;;;;;;;;;;;;;;3663
Teylingen-G1525;42;47;3033;3975;2134;1502;1145;1792;843;540;652.0;615;843.0;66.0;79;;;29.0;;;;;;192.0;6.0;;;;;;;;;;;;;;;10504
Tholen-G0716;33;27;1473;923;1437;306;581;133;1222;492;930.0;243;341.0;3429.0;30;;;;;;;;;;;;590.0;;;;;;;;;;;;;7190
Tiel-G0281;40;44;2981;2513;1070;1243;1527;1010;1369;795;584.0;639;830.0;166.0;586;;;;;;;;;;;172.0;;;;;;;;;;;;;;15755
Tilburg-G0855;230;343;12828;10622;5862;9564;5447;8781;4379;6803;;3679;2832.0;;2120;;1271.0;238.0;;762.0;;;;;;;;;725.0;;374.0;;;;;;;;;85911
Tubbergen-G0183;28;16;1581;1385;4165;373;492;302;784;334;92.0;125;278.0;43.0;3;;;;;;;;;;;;;;;;;;;;;;;;;6620
Twenterand-G1700;30;29;2041;1130;4325;595;657;355;1964;721;1776.0;172;481.0;1085.0;15;;;;;;;;;;;;;;;;;;;;;;;;;10474
Tynaarlo-G1730;26;42;1548;2763;1287;2477;2313;1689;642;806;1111.0;691;499.0;45.0;6;;;;;;;;;;;;;;;368.0;;;;577.0;;;73.0;;;9308
Tytsjerksteradiel-G0737;43;35;2126;1197;3202;1167;1879;517;821;621;1200.0;416;329.0;189.0;5;;;;1785.0;;;;;;;;;;;;;;200.0;;131.0;;;;;9039
Uden-G0856;48;66;2403;3068;2552;1168;942;1577;1156;2191;;556;627.0;;206;;389.0;32.0;;113.0;;;;;;;;;177.0;;87.0;;;;;;;;;15084
Uitgeest-G0450;15;27;1163;1026;682;857;630;649;404;368;129.0;301;;;12;165.0;;130.0;;;;;132.0;;11.0;;;;;;;;;;;;;;;3726
Uithoorn-G0451;28;31;2478;2449;960;1333;1025;969;909;526;315.0;583;;;68;483.0;;223.0;;;;;107.0;;21.0;;;;;;;;;;;;;;;9004
Urk-G0184;27;9;1707;68;822;11;15;15;1262;31;1673.0;20;42.0;3914.0;10;;;;;;;;;;;;;;;;;;;;;92.0;;2.0;10.0;3917
Utrecht-G0344;398;575;10392;19273;7715;42830;12297;22421;5750;5529;6175.0;10529;2190.0;531.0;6545;;;;;;;;;;;;;;;;;1235.0;;;;;;;;98992
Utrechtse Heuvelrug-G1581;53;61;2945;4592;2619;3627;1538;2528;987;786;1535.0;1460;780.0;1291.0;158;;;;;;;;;;;;;;;;;323.0;;;;;;;;14268
Vaals-G0981;14;13;389;211;593;204;330;99;451;290;34.0;170;120.0;;10;;;;;;;60.0;;;;;;;;;;;;;;;;;;3084
Valkenburg aan de Geul-G0994;28;39;1122;845;1767;658;389;369;844;547;88.0;298;276.0;;8;;;;;;;348.0;;;;;;;;;;;;;;;;;;5969
Valkenswaard-G0858;27;70;1991;1963;1722;895;969;826;1169;1141;;431;655.0;;11;;378.0;22.0;;130.0;;;;;;;;;167.0;;256.0;;;;;;;;;11997
Veendam-G0047;34;28;1542;863;573;658;1498;450;1011;1231;572.0;277;299.0;;154;;;;;;1730.0;;;;;;;460.0;;;;;;;;;;;;10539
Veenendaal-G0345;73;70;4083;3353;3079;1760;1341;1107;1609;1090;5650.0;555;924.0;3810.0;805;;;;;;;;;;;;;;;;;344.0;;;;;;;;19454
Veere-G0717;24;18;1048;1579;2212;741;1137;399;438;320;684.0;439;479.0;2124.0;3;;;;;;;;;;;;590.0;;;;;;;;;;;;;5097
Veldhoven-G0861;54;65;2739;3230;2205;1395;1221;1625;1378;1724;;593;983.0;;33;;487.0;45.0;;287.0;;;;;;;;;687.0;;166.0;;;;;;;;;15939
Velsen-G0453;89;80;6091;3861;1745;3007;2728;2365;2340;1640;1112.0;1459;;;372;1155.0;;449.0;;;;;395.0;;67.0;;;;;;;;;;;;;;;23527
Venlo-G0983;121;128;5279;4192;6455;3174;2701;1786;5557;3065;347.0;992;1449.0;;1124;;;;;;;1743.0;;;;;;;;;;;;;;;;;;37752
Venray-G0984;33;56;2267;2147;3758;1224;1020;2158;1417;1638;168.0;410;542.0;;235;;;;;;;233.0;;;;;;;;;;;;;;;;;;15945
Vijfheerenlanden-G1961;68;55;3809;3020;3616;1547;1657;1301;1769;920;2290.0;639;727.0;3070.0;625;;;;;;;;;;;;;;;;;135.0;;;;;;;;17421
