RegioNaam;@invalid;@blank;PvdA;VVD;CDA;D66;GL;SP;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;DG;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief;@abs
Zevenhuizen-Moerkapelle-G1666;;7;1297;1731;890;435;153;74;434;758;46;25.0;17;49.0;18;39;6;2;0.0;2;;0.0;2;0.0;1230.0
Zijpe-G0476;;3;1922;2140;1064;611;421;184;44;8;13;24.0;14;39.0;28;38;11;12;10.0;1;;3.0;0;2.0;1882.0
Zoetermeer-G0637;;55;15760;18424;6928;6977;4073;3021;1167;669;582;256.0;196;621.0;278;78;64;101;44.0;113;;20.0;11;24.0;19398.0
Zoeterwoude-G0638;;15;1153;1470;1218;508;339;117;25;31;14;33.0;11;18.0;10;11;14;11;11.0;3;;2.0;1;1.0;1290.0
Zuidhorn-G0056;;23;2720;1597;2946;793;621;214;221;56;1697;44.0;64;31.0;17;21;17;13;4.0;0;;5.0;1;;1811.0
Zuidlaren-G0136;;11;6186;5875;2222;2338;1227;312;195;18;475;;95;74.0;99;67;34;27;4.0;10;;7.0;4;5.0;4649.0
Zundert-G0879;;18;2771;2644;2860;645;475;269;19;5;15;77.0;49;56.0;40;41;9;18;12.0;4;18.0;1.0;1;3.0;4992.0
Zutphen-G0301;;44;6986;3732;2459;2070;2110;1041;215;25;214;86.0;64;105.0;55;26;57;75;15.0;18;14.0;8.0;7;3.0;6697.0
Zwartsluis-G0192;;2;717;462;939;100;106;45;139;57;165;8.0;2;6.0;6;1;4;2;0.0;1;;5.0;2;1.0;629.0
Zwijndrecht-G0642;;31;7002;6118;3944;1778;1271;579;862;978;698;144.0;76;115.0;94;47;23;34;13.0;29;26.0;3.0;7;10.0;7833.0
Zwolle-G0193;;69;18462;11655;10419;5844;5518;1623;2283;280;2815;206.0;176;149.0;154;76;231;56;21.0;35;;25.0;20;9.0;19242.0
