RegioNaam;@invalid;@blank;Tegen;Voor;Blanco;@abs
Aa en Hunze-G1680;43;;3891;3227;40;13201
Aalburg-G0738;14;;2318;844;21;6480
Aalsmeer-G0358;95;;5716;2805;63;13912
Aalten-G0197;51;;3640;2645;49;14479
Achtkarspelen-G0059;37;;4417;2082;30;14932
Alblasserdam-G0482;73;;3501;1292;20;9900
Albrandswaard-G0613;56;;4835;1934;51;12014
Alkmaar-G0361;310;;17885;10561;192;53539
Almelo-G0141;172;;9565;5328;91;39085
Almere-G0034;161;;31156;12664;296;97940
Alphen aan den Rijn-G0484;204;;18390;10196;220;52776
Alphen-Chaam-G1723;30;;1439;901;14;5393
Ameland-G0060;5;;608;452;4;1703
Amersfoort-G0307;446;;20078;17341;391;74639
Amstelveen-G0362;305;;12670;9599;194;36831
Amsterdam-G0363;1108;;72213;82798;1948;425857
Apeldoorn-G0200;229;;23132;16568;289;83713
Appingedam-G0003;29;;1778;927;11;6856
Arnhem-G0202;256;;17522;14162;325;84420
Assen-G0106;117;;8902;7290;125;35064
Asten-G0743;24;;2560;1374;41;8708
Baarle-Nassau-G0744;17;;1084;468;7;3601
Baarn-G0308;55;;4158;3215;62;11615
Barendrecht-G0489;81;;8497;3658;74;23096
Barneveld-G0203;125;;9521;4016;80;26625
Bedum-G0005;16;;1415;1500;17;5209
Beek-G0888;33;;3187;1433;20;8462
Beemster-G0370;20;;1755;1027;17;4236
Beesel-G0889;38;;2097;946;26;7425
Bellingwedde-G0007;20;;1834;744;6;4652
Berg en Dal-G1945;137;;5311;3807;79;18443
Bergeijk-G1724;71;;2455;1407;25;10337
Bergen-G0893;35;;2146;851;16;7326
Bergen-G0373;148;;5979;4200;56;13661
Bergen op Zoom-G0748;223;;9451;4857;81;36075
Berkelland-G1859;93;;6494;4642;73;23863
Bernheze-G1721;40;;3992;2260;38;16559
Best-G0753;57;;4239;2501;69;15125
Beuningen-G0209;42;;4128;2299;48;13288
Beverwijk-G0375;93;;6360;2879;29;20276
Binnenmaas-G0585;58;;5753;2463;64;14454
Bladel-G1728;28;;2787;1515;36;11152
Blaricum-G0376;22;;1795;1359;20;4313
Bloemendaal-G0377;65;;3424;3985;34;9350
Bodegraven-Reeuwijk-G1901;63;;5709;3587;69;15864
Boekel-G0755;23;;1383;721;24;5590
Bonaire-O9001;8;;250;141;11;11383
Borger-Odoorn-G1681;63;;4407;2370;39;13614
Borne-G0147;46;;3276;2451;17;11417
Borsele-G0654;34;;3670;1764;33;11671
Boxmeer-G0756;75;;5158;2768;62;14119
Boxtel-G0757;95;;3963;2662;59;16597
Breda-G0758;548;;22212;16821;395;98551
Brielle-G0501;44;;3573;1401;26;8135
Bronckhorst-G1876;87;;4967;4104;75;19931
Brummen-G0213;50;;3271;2069;31;11289
Brunssum-G0899;56;;5568;1666;30;15662
Bunnik-G0312;37;;2040;2507;57;6644
Bunschoten-G0313;32;;3465;1550;22;10131
Buren-G0214;59;;4781;2316;42;13121
Capelle aan den IJssel-G0502;190;;10743;4410;99;35124
Castricum-G0383;173;;6710;4837;71;15703
Coevorden-G0109;69;;5458;3746;42;18518
Cranendonck-G1706;36;;3316;1429;28;11258
Cromstrijen-G0611;29;;2704;1078;10;6382
Cuijk-G1684;50;;3675;2123;58;13160
Culemborg-G0216;34;;4092;2864;83;13729
Dalfsen-G0148;60;;3704;3274;44;14371
Dantumadiel-G1891;34;;3005;1546;14;10229
De Bilt-G0310;174;;6403;6469;141;19461
De Fryske Marren-G1940;104;;8571;5634;141;25201
De Marne-G1663;30;;1448;1191;13;5354
De Ronde Venen-G0736;159;;8318;4571;72;19573
De Wolden-G1690;85;;3742;2781;37;12140
Delft-G0503;185;;13301;12458;425;47947
Delfzijl-G0010;40;;3944;1793;28;14143
Den Helder-G0400;159;;10578;4057;51;29570
Deurne-G0762;55;;4538;2353;77;18071
Deventer-G0150;248;;12247;10480;270;51137
Diemen-G0384;55;;3838;2418;47;13475
Dinkelland-G1774;65;;3163;2482;23;14424
