RegioNaam;@invalid;@blank;Tegen;Voor;Blanco;@abs
Doesburg-G0221;21;;1852;1138;15;5950
Doetinchem-G0222;104;;8039;5371;117;30580
Dongen-G0766;61;;3451;2035;43;14231
Dongeradeel-G0058;38;;3589;2529;35;12326
Dordrecht-G0505;383;;17740;8881;224;61876
Drechterland-G0498;50;;3622;2060;27;8989
Drimmelen-G1719;122;;4040;2184;42;14842
Dronten-G0303;67;;7107;4028;50;18883
Druten-G0225;27;;2813;1602;38;9772
Duiven-G0226;95;;4219;2239;26;13144
Echt-Susteren-G1711;64;;5887;2208;47;17560
Edam-Volendam-G0385;90;;9609;2512;32;15261
Ede-G0228;338;;16914;11048;184;56039
Eemnes-G0317;20;;1812;1093;17;3872
Eemsmond-G1651;40;;2498;1749;25;8105
Eersel-G0770;83;;2480;1692;31;10425
Eijsden-Margraten-G1903;34;;3857;2366;38;13807
Eindhoven-G0772;579;;26676;17967;581;118053
Elburg-G0230;36;;3594;1989;21;11621
Emmen-G0114;194;;17224;8262;136;59020
Enkhuizen-G0388;24;;3469;1693;44;8921
Enschede-G0153;226;;20317;13471;368;85202
Epe-G0232;78;;5198;3214;74;17087
Ermelo-G0233;47;;4247;3203;48;13266
Etten-Leur-G0777;71;;6068;3129;68;23395
Ferwerderadiel-G1722;11;;1300;820;20;4473
Franekeradeel-G0070;25;;3016;2013;27;10636
Geertruidenberg-G0779;49;;3375;1653;26;11869
Geldermalsen-G0236;46;;5294;2319;52;12183
Geldrop-Mierlo-G1771;77;;6075;3588;73;20443
Gemert-Bakel-G1652;36;;3989;1856;52;16848
Gennep-G0907;35;;2404;1319;45;9682
Giessenlanden-G0689;38;;2595;1535;23;6995
Gilze en Rijen-G0784;52;;3745;2163;51;13883
Goeree-Overflakkee-G1924;100;;9350;3548;42;24768
Goes-G0664;142;;5455;3409;63;20162
Goirle-G0785;49;;3051;2021;48;12892
Gooise Meren-G1942;141;;8100;7852;98;25497
Gorinchem-G0512;56;;5214;2685;61;18359
Gouda-G0513;114;;10706;7195;169;35114
Grave-G0786;39;;2430;1193;26;5930
Groningen-G0014;247;;22755;26682;788;107338
Grootegast-G0015;16;;1744;986;15;6501
Gulpen-Wittem-G1729;49;;2518;1331;24;5253
Haaksbergen-G0158;68;;3349;2240;28;13334
Haaren-G0788;17;;1711;1355;16;7723
Haarlem-G0392;362;;20468;17498;379;78374
Haarlemmerliede en Spaarnwoude-G0393;10;;1087;532;7;2790
Haarlemmermeer-G0394;444;;25995;12263;173;67168
Halderberge-G1655;69;;4459;2182;38;16487
Hardenberg-G0160;121;;8660;5514;71;31220
Harderwijk-G0243;98;;6801;4407;71;23025
Hardinxveld-Giessendam-G0523;27;;2935;1310;28;9021
Haren-G0017;39;;2607;3536;71;8437
Harlingen-G0072;34;;2894;1454;33;7853
Hattem-G0244;21;;1562;1692;25;5862
Heemskerk-G0396;77;;7312;3600;64;19398
Heemstede-G0397;78;;3684;4272;48;12204
Heerde-G0246;58;;2706;1933;27;9890
Heerenveen-G0074;95;;7587;5272;120;25999
Heerhugowaard-G0398;173;;9472;4407;69;25908
Heerlen-G0917;385;;14574;5631;132;48858
Heeze-Leende-G1658;47;;2189;1705;38;8417
Heiloo-G0399;90;;4149;3372;59;10133
Hellendoorn-G0163;52;;5026;3656;65;19059
Hellevoetsluis-G0530;84;;8203;2339;35;19657
Helmond-G0794;207;;11971;4911;135;48087
Hendrik-Ido-Ambacht-G0531;87;;5008;2117;42;14605
Hengelo-G0164;208;;12121;7470;130;42310
Het Bildt-G0063;10;;1588;942;16;5418
Heumen-G0252;32;;2389;2143;43;8145
Heusden-G0797;80;;6576;3669;75;22991
Hillegom-G0534;55;;4377;2166;29;9365
Hilvarenbeek-G0798;14;;1979;1499;39;8416
Hilversum-G0402;195;;13103;9947;172;41269
Hof van Twente-G1735;81;;5060;4135;59;18125
Hollands Kroon-G1911;168;;9271;4216;42;22662
Hoogeveen-G0118;94;;9373;4448;53;28468
Hoogezand-Sappemeer-G0018;46;;4876;2397;34;19548
Hoorn-G0405;119;;12479;6206;123;35515
Horst aan de Maas-G1507;162;;6095;3367;59;22435
Houten-G0321;85;;7225;5805;131;22683
Huizen-G0406;91;;7734;4445;77;19624
Hulst-G0677;63;;3910;1821;18;14239
IJsselstein-G0353;60;;5341;2957;61;17035
Kaag en Braassem-G1884;97;;4836;2587;46;12650
Kampen-G0166;79;;7896;5192;87;25265
Kapelle-G0678;33;;2085;1216;19;6142
Katwijk-G0537;115;;12804;4645;86;29944
Kerkrade-G0928;158;;8164;2254;48;24457
Koggenland-G1598;38;;4058;2505;11;10588
Kollumerland en Nieuwkruisland-G0079;24;;1992;1106;15;6833
Korendijk-G0588;18;;2052;815;9;5487
Krimpen aan den IJssel-G0542;61;;5802;2651;40;13839
Krimpenerwaard-G1931;92;;10501;5117;116;26383
Laarbeek-G1659;50;;3065;1599;41;12359
Landerd-G1685;26;;2233;1247;35;8316
Landgraaf-G0882;76;;7786;2183;79;19905
Landsmeer-G0415;27;;2247;1154;23;5083
Langedijk-G0416;48;;5117;2900;33;12922
Lansingerland-G1621;85;;9652;5291;80;27451
Laren-G0417;24;;2092;1554;19;4819
Leek-G0022;27;;2862;2148;26;10052
Leerdam-G0545;38;;3209;1381;15;11016
Leeuwarden-G0080;226;;16028;11338;233;56738
Leeuwarderadeel-G0081;26;;1758;1223;19;5046
Leiden-G0546;372;;14439;17183;463;59239
Leiderdorp-G0547;136;;4464;3268;52;12643
Leidschendam-Voorburg-G1916;206;;12283;8535;178;34834
Lelystad-G0995;93;;13347;5711;110;37076
Leudal-G1640;62;;5352;3257;64;19758
Leusden-G0327;78;;5075;3698;81;13750
Lingewaal-G0733;20;;1930;988;23;5568
Lingewaard-G1705;69;;6749;4253;191;24408
Lisse-G0553;42;;4601;2283;33;10455
Littenseradiel-G0140;22;;1545;1450;22;5232
Lochem-G0262;75;;4449;4616;91;17300
Loon op Zand-G0809;37;;3624;1690;19;12679
Lopik-G0331;26;;2565;1197;12;6885
Loppersum-G0024;16;;1381;1307;17;5171
Losser-G0168;23;;3355;1919;22;12313
Maasdriel-G0263;95;;4122;1694;36;12330
Maasgouw-G1641;58;;4053;1786;36;13515
Maassluis-G0556;113;;5905;2521;41;16093
Maastricht-G0935;402;;17173;10633;247;61513
Marum-G0025;20;;1559;967;11;5462
Medemblik-G0420;106;;7799;4097;49;20993
Meerssen-G0938;41;;3616;1853;28;9871
Menameradiel-G1908;22;;2018;1506;22;6894
Menterwolde-G1987;29;;1953;846;6;6939
Meppel-G0119;82;;5343;3163;64;16598
Middelburg-G0687;174;;6191;4762;64;25562
Midden-Delfland-G1842;56;;3221;2146;48;8932
Midden-Drenthe-G1731;45;;5431;3776;47;17011
Mill en Sint Hubert-G0815;26;;1950;950;26;5621
Moerdijk-G1709;91;;5976;2701;47;19720
Molenwaard-G1927;43;;4837;2789;51;13603
Montferland-G1955;63;;5615;2931;36;19392
Montfoort-G0335;30;;2398;1425;34;6414
Mook en Middelaar-G0944;17;;1298;1135;19;3723
Neder-Betuwe-G1740;21;;3432;1207;18;12158
Nederweert-G0946;31;;2718;1191;34;9440
Neerijnen-G0304;24;;2131;865;20;5994
Nieuwegein-G0356;123;;9897;4700;99;32844
Nieuwkoop-G0569;81;;4950;2353;34;13971
Nijkerk-G0267;66;;6958;3642;78;20067
Nijmegen-G0268;249;;18631;21975;709;93026
Nissewaard-G1930;179;;18035;4566;76;44158
Noord-Beveland-G1695;10;;1368;772;26;3734
Noordenveld-G1699;92;;4694;4241;56;15578
Noordoostpolder-G0171;137;;7135;4419;76;21671
Noordwijk-G0575;56;;5249;2541;36;11849
Noordwijkerhout-G0576;29;;3298;1536;41;7253
Nuenen, Gerwen en Nederwetten-G0820;47;;3503;3003;77;11381
Nunspeet-G0302;51;;4607;2342;19;13347
Nuth-G0951;43;;2794;1350;25;8428
Oegstgeest-G0579;45;;3168;3762;66;9829
Oirschot-G0823;29;;2613;1536;39;10208
Oisterwijk-G0824;45;;3336;2453;42;14264
Oldambt-G1895;77;;6408;3159;38;21095
Oldebroek-G0269;28;;3210;1894;34;12472
Oldenzaal-G0173;82;;4479;2972;47;17230
Olst-Wijhe-G1773;31;;2231;1871;37;9832
Ommen-G0175;46;;2428;2190;46;8711
Onderbanken-G0881;19;;1594;547;5;4135
Oost Gelre-G1586;65;;4100;2855;54;16033
Oosterhout-G0826;99;;8112;4484;70;29258
Ooststellingwerf-G0085;56;;4488;2488;51;13234
Oostzaan-G0431;23;;2126;783;11;4462
Opmeer-G0432;52;;2004;1199;19;5505
Opsterland-G0086;51;;4556;3091;40;15455
Oss-G0828;176;;13401;6691;167;48838
Oud-Beijerland-G0584;42;;4457;1840;60;11987
Oude IJsselstreek-G1509;87;;5679;3476;62;21775
Ouder-Amstel-G0437;50;;2180;1827;18;5856
Oudewater-G0589;25;;1645;936;21;5121
Overbetuwe-G1734;92;;6605;4672;74;24323
Papendrecht-G0590;64;;5936;2379;50;16455
Peel en Maas-G1894;122;;6161;2988;64;24621
Pekela-G0765;21;;2335;674;1;6796
Pijnacker-Nootdorp-G1926;111;;8294;4923;104;23843
Purmerend-G0439;139;;15555;5627;100;40877
Putten-G0273;62;;4048;2315;30;12067
Raalte-G0177;73;;4314;3765;94;20599
Reimerswaal-G0703;37;;3436;1278;16;10727
Renkum-G0274;118;;4622;4871;76;15043
Renswoude-G0339;10;;963;344;4;2320
Reusel-De Mierden-G1667;36;;1507;860;18;7635
Rheden-G0275;92;;7170;5359;117;22098
Rhenen-G0340;42;;3134;1797;25;9707
Ridderkerk-G0597;97;;8707;3367;57;23754
Rijnwaarden-G0196;59;;1746;839;11;5922
Rijssen-Holten-G1742;54;;5209;2993;64;19693
Rijswijk-G0603;135;;8431;4703;103;24646
Roerdalen-G1669;45;;3772;1507;29;11148
Roermond-G0957;90;;8211;3999;113;31269
Roosendaal-G1674;319;;11262;5194;110;41774
Rotterdam-G0599;995;;69739;38229;1187;341204
Rozendaal-G0277;3;;215;350;3;591
Rucphen-G0840;27;;3570;1061;11;13647
Saba-O9003;0;;33;44;1;807
Schagen-G0441;208;;7675;5066;57;22958
Scherpenzeel-G0279;21;;1740;743;9;4542
Schiedam-G0606;178;;11221;4157;101;40039
Schiermonnikoog-G0088;7;;173;172;1;396
Schijndel-G0844;42;;3327;1624;29;13612
Schinnen-G0962;16;;2620;1183;17;6613
Schouwen-Duiveland-G1676;79;;6322;3439;56;17020
's-Gravenhage-G0518;1302;;63284;46536;891;252543
's-Hertogenbosch-G0796;378;;20452;14272;364;81681
Simpelveld-G0965;24;;1950;848;11;5590
Sint Anthonis-G1702;25;;1804;1257;34;6009
Sint Eustatius-O9002;0;;23;25;0;1813
Sint-Michielsgestel-G0845;99;;3670;2719;81;15441
Sint-Oedenrode-G0846;47;;2590;1562;31;9647
Sittard-Geleen-G1883;285;;16599;7241;150;52491
Sliedrecht-G0610;86;;4409;1719;34;12690
Slochteren-G0040;18;;2232;1681;31;8247
Sluis-G1714;89;;3757;1700;31;12110
Smallingerland-G0090;177;;9145;5685;103;27744
Soest-G0342;80;;7696;5499;112;21213
Someren-G0847;35;;2533;1645;47;10422
Son en Breugel-G0848;52;;2530;1966;45;7951
Stadskanaal-G0037;55;;4717;2240;20;18710
Staphorst-G0180;23;;2790;1065;14;7851
Stede Broec-G0532;44;;4214;1812;19;10264
Steenbergen-G0851;33;;3938;1399;18;12981
Steenwijkerland-G1708;91;;7324;4494;76;21797
Stein-G0971;62;;5114;1665;43;13658
Stichtse Vecht-G1904;127;;10982;6901;139;30719
Strijen-G0617;15;;1867;750;4;4482
Súdwest-Fryslân-G1900;144;;13870;9120;143;41640
Ten Boer-G0009;14;;1093;941;22;3497
Terneuzen-G0715;175;;8094;3743;48;28616
Terschelling-G0093;8;;967;592;6;2448
Texel-G0448;22;;2415;1801;16;6515
Teylingen-G1525;63;;6451;4114;57;16314
Tholen-G0716;48;;4510;1355;12;13127
Tiel-G0281;84;;6223;2793;40;21906
Tilburg-G0855;238;;21168;14851;400;124540
Tubbergen-G0183;52;;2683;1789;23;11597
Twenterand-G1700;65;;4784;2728;46;17991
Tynaarlo-G1730;48;;4370;4991;63;16112
Tytsjerksteradiel-G0737;77;;5210;3421;56;15924
Uden-G0856;82;;6670;3279;102;21698
Uitgeest-G0450;31;;2601;1521;16;6008
Uithoorn-G0451;67;;5179;2830;47;13443
Urk-G0184;18;;3885;763;18;8291
Utrecht-G0344;542;;31022;43678;1429;172105
Utrechtse Heuvelrug-G1581;108;;7606;6953;107;22817
Vaals-G0981;8;;1390;586;19;4083
Valkenburg aan de Geul-G0994;25;;2955;1574;25;8962
Valkenswaard-G0858;45;;4616;2391;51;17184
Veendam-G0047;62;;4316;2007;30;15358
Veenendaal-G0345;193;;10521;5179;104;31638
Veere-G0717;37;;3223;2475;31;11433
Veghel-G0860;75;;5312;2953;47;20076
Veldhoven-G0861;151;;6784;3782;84;23492
Velsen-G0453;154;;12473;5878;71;33183
Venlo-G0983;306;;14167;6612;143;54506
Venray-G0984;166;;5953;3500;79;23213
Vianen-G0620;65;;3331;1653;23;9943
Vlaardingen-G0622;139;;12413;4671;96;37014
Vlagtwedde-G0048;19;;3040;1154;8;8449
Vlieland-G0096;2;;167;234;3;458
Vlissingen-G0718;47;;6942;3119;77;25051
Voerendaal-G0986;19;;2325;1218;21;6546
Voorschoten-G0626;47;;3818;3659;63;11073
Voorst-G0285;51;;3338;2595;39;13040
Vught-G0865;60;;3051;3157;67;13745
Waalre-G0866;97;;2397;2014;35;8393
Waalwijk-G0867;165;;6823;3186;63;26076
Waddinxveen-G0627;79;;4520;2376;46;12911
Wageningen-G0289;85;;3806;6609;168;16770
Wassenaar-G0629;59;;4409;3048;42;10037
Waterland-G0852;72;;3666;2144;25;7583
Weert-G0988;138;;8469;3608;80;26234
Weesp-G0457;41;;3093;2059;35;8888
Werkendam-G0870;82;;4038;1886;38;14339
West Maas en Waal-G0668;44;;3288;1482;25;9928
Westerveld-G1701;51;;3336;2401;31;9480
Westervoort-G0293;38;;2621;1235;28;7967
Westland-G1783;375;;19559;7988;156;50219
Weststellingwerf-G0098;46;;4458;2451;35;13248
Westvoorne-G0614;37;;3179;1401;25;6833
Wierden-G0189;54;;3522;2490;43;12369
Wijchen-G0296;79;;5948;3874;88;21663
Wijdemeren-G1696;71;;4636;2760;37;10753
Wijk bij Duurstede-G0352;51;;4126;2398;38;11564
Winsum-G0053;15;;1810;1886;35;6727
Winterswijk-G0294;88;;3723;2686;57;15824
Woensdrecht-G0873;41;;3581;1481;18;11080
Woerden-G0632;82;;7838;5524;111;24863
Wormerland-G0880;51;;3121;1580;16;7568
Woudenberg-G0351;24;;2141;1245;25;5899
Woudrichem-G0874;24;;2414;1265;21;7539
Zaanstad-G0479;422;;25766;11324;193;75705
Zaltbommel-G0297;47;;4012;2400;52;13685
Zandvoort-G0473;57;;3679;1344;17;8181
Zederik-G0707;26;;2197;1301;21;6986
Zeewolde-G0050;42;;4179;1771;43;9384
Zeist-G0355;240;;8451;7722;157;30052
Zevenaar-G0299;210;;5173;3206;71;17099
Zoetermeer-G0637;269;;22331;9844;150;62431
Zoeterwoude-G0638;19;;1455;895;16;4078
Zuidhorn-G0056;35;;2458;2872;31;8707
Zuidplas-G1892;110;;7103;3679;63;20218
Zundert-G0879;81;;2611;1292;30;12513
Zutphen-G0301;190;;6589;5621;149;23782
Zwartewaterland-G1896;36;;2894;1886;21;11274
Zwijndrecht-G0642;133;;7792;3175;48;23349
Zwolle-G0193;315;;15490;15127;351;63935
