RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Amerongen-G0306;71.0;;14.0;192.0;231.0;432.0;70.0;27.0;154.0;10.0;4.0;2.0;15.0;6.0;1.0;3.0;9.0;;3.0;;5.0;1.0;;1.0;;4.0;;;;;;;;;;;;;111.0
Amersfoort-G0307;911.0;;4069.0;4544.0;2100.0;1980.0;1171.0;1026.0;174.0;263.0;107.0;69.0;16.0;16.0;154.0;92.0;98.0;133.0;40.0;10.0;37.0;29.0;;8.0;;13.0;;;;;;;;;;;;;1105.0
Ammerstol-G0486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ammerzoden-G0198;;;931.0;25.0;87.0;213.0;6.0;;42.0;1.0;;5.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;83.0
Amstenrade-G0884;12.0;10.0;472.0;25.0;1.0;1.0;;;;;1.0;;2.0;1.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;12.0
Amsterdam-G0363;;;53047.0;134323.0;21117.0;20177.0;28844.0;23479.0;1041.0;12811.0;12919.0;4198.0;494.0;8260.0;1934.0;7430.0;2509.0;2513.0;485.0;409.0;213.0;477.0;;602.0;936.0;;;845.0;;715.0;;;;;;269.0;;;61609.0
Andel-G0742;;;2.0;24.0;196.0;177.0;5.0;6.0;25.0;1.0;;8.0;11.0;2.0;;3.0;;;2.0;;1.0;;;;;;;;;;;;;;;;;;86.0
Andijk-G0364;3.0;20.0;242.0;429.0;596.0;26.0;114.0;264.0;25.0;4.0;7.0;;14.0;6.0;;2.0;6.0;16.0;4.0;1.0;;;;;;;;;;;;;1.0;;;;;;
Angerlo-G0199;;;612.0;58.0;69.0;189.0;124.0;28.0;14.0;5.0;;22.0;21.0;10.0;4.0;2.0;4.0;;1.0;1.0;1.0;2.0;;;;;;;;;;;;;;;;;423.0
Ankeveen-G1014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anloo-G0105;71.0;;10.0;951.0;93.0;19.0;71.0;160.0;4.0;18.0;24.0;9.0;821.0;5.0;5.0;9.0;13.0;14.0;3.0;;23.0;13.0;;;;;;;;;;;;;;;;;170.0
Anna Paulowna-G0366;;;494.0;889.0;133.0;104.0;43.0;524.0;18.0;19.0;8.0;7.0;32.0;7.0;8.0;1.0;12.0;12.0;13.0;2.0;2.0;;;;;;;;;;;;7.0;;;;;;
Apeldoorn-G0200;1247.0;;3083.0;5889.0;2985.0;6861.0;2157.0;2603.0;469.0;287.0;129.0;114.0;126.0;160.0;;93.0;230.0;116.0;83.0;15.0;24.0;84.0;;;71.0;47.0;;;;;;;;;;;;;2404.0
Appeltern-G0201;;;1257.0;4.0;3.0;133.0;4.0;;;5.0;;;2.0;2.0;1.0;;;2.0;;;;;;;;;;;;;5.0;;;;;;;;172.0
Appingedam-G0003;83.0;;53.0;628.0;604.0;572.0;210.0;503.0;1.0;6.0;309.0;20.0;36.0;52.0;16.0;5.0;7.0;8.0;6.0;;4.0;;;;;;;;;;;;;;;;;;262.0
Arcen en Velden-G0885;20.0;7.0;1166.0;40.0;2.0;5.0;;5.0;1.0;2.0;3.0;1.0;9.0;2.0;8.0;7.0;;2.0;;;;;17.0;1.0;;;;;;;;;;;;;;;61.0
Arkel-G0487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnemuiden-G0649;55.0;15.0;8.0;97.0;277.0;169.0;28.0;19.0;252.0;7.0;3.0;3.0;13.0;5.0;2.0;11.0;3.0;6.0;1.0;;3.0;;;;;;;;;;;;;;;;;;86.0
Arnhem-G0202;;;9961.0;10654.0;2574.0;2498.0;4032.0;1888.0;181.0;337.0;626.0;1252.0;47.0;195.0;;255.0;328.0;96.0;626.0;63.0;28.0;73.0;;;74.0;17.0;;;;;;;;;;;;;5327.0
Asperen-G0488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assen-G0106;293.0;;263.0;2807.0;1456.0;725.0;462.0;1722.0;21.0;82.0;35.0;22.0;214.0;28.0;14.0;16.0;98.0;42.0;11.0;;32.0;25.0;;;;;;;;;;;;;;;;;658.0
Assendelft-G0367;12.0;25.0;856.0;681.0;54.0;28.0;18.0;367.0;21.0;32.0;120.0;5.0;18.0;15.0;10.0;2.0;5.0;3.0;1.0;2.0;3.0;;;;;;;;;;;;9.0;;;;;;116.0
Asten-G0743;12.0;8.0;2110.0;27.0;5.0;17.0;7.0;2.0;1.0;13.0;2.0;1.0;1.0;1.0;3.0;4.0;;;2.0;1.0;;;4.0;;;;1.0;;;;;;;;;;;;164.0
Avenhorn-G0368;4.0;;235.0;150.0;4.0;6.0;63.0;178.0;;7.0;2.0;;16.0;;;;1.0;1.0;;;;;;;;;;;;;;;1.0;;;;;;38.0
Avereest-G0143;;;397.0;635.0;900.0;1251.0;410.0;233.0;21.0;19.0;8.0;7.0;36.0;12.0;12.0;30.0;21.0;17.0;4.0;;11.0;4.0;;;;;;;;;;;;;;;;;460.0
Axel-G0650;64.0;;394.0;223.0;830.0;501.0;360.0;29.0;169.0;42.0;4.0;17.0;4.0;3.0;18.0;9.0;14.0;6.0;2.0;;5.0;;;;;;;;;;;;;;;;;;190.0
Baarderadeel-G0061;58.0;;95.0;1114.0;377.0;316.0;370.0;330.0;6.0;5.0;2.0;17.0;71.0;15.0;;7.0;;18.0;5.0;;3.0;;;;;;;;;;;;;;;;;;197.0
Baarland-G0651;;;89.0;35.0;86.0;68.0;41.0;12.0;20.0;3.0;2.0;1.0;13.0;3.0;1.0;;3.0;;;;1.0;;;;;;;;;;;;;;;;;;
Baarle-Nassau-G0744;;;1018.0;11.0;9.0;6.0;3.0;;;9.0;;;2.0;1.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;67.0
Baarn-G0308;272.0;;966.0;1139.0;1260.0;847.0;687.0;571.0;88.0;118.0;22.0;45.0;11.0;11.0;25.0;3.0;14.0;29.0;22.0;2.0;15.0;9.0;;5.0;;16.0;;;;;;;;;;;;;362.0
Baexem-G0886;;;435.0;;;;;;;;;;;;;1.0;;;;;;;2.0;;;;;;;;;;;;;;;;
Baflo-G0004;24.0;;2.0;401.0;608.0;40.0;171.0;68.0;1.0;2.0;2.0;1.0;22.0;3.0;1.0;6.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;101.0
Bakel en Milheeze-G0745;;;1146.0;3.0;;7.0;1.0;4.0;;6.0;;;1.0;1.0;;2.0;;;;;;;3.0;;;;;;;;;;;;;;;;
Barendrecht-G0489;;;12.0;167.0;924.0;264.0;197.0;45.0;168.0;10.0;;43.0;13.0;5.0;;2.0;3.0;;3.0;3.0;18.0;1.0;;;;;;;;;;;;;;;;;198.0
Barneveld-G0203;115.0;;393.0;452.0;1437.0;1808.0;168.0;59.0;980.0;34.0;3.0;70.0;37.0;10.0;;3.0;1.0;7.0;2.0;2.0;1.0;2.0;;;24.0;;;;;;;;;;;;;;881.0
Barradeel-G0062;75.0;;58.0;1062.0;1109.0;1218.0;221.0;158.0;3.0;4.0;23.0;13.0;43.0;5.0;5.0;9.0;;28.0;13.0;;7.0;;;;;;;;;;;;;;;;;;241.0
Barsingerhorn-G0369;;;56.0;499.0;52.0;21.0;50.0;256.0;10.0;9.0;7.0;5.0;13.0;6.0;7.0;3.0;12.0;9.0;152.0;;;;;;;;;;;;;;;;;;;;
Barwoutswaarder-G1017;39.0;;35.0;12.0;90.0;126.0;4.0;;40.0;3.0;;;;1.0;1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;34.0
Batenburg-G0204;;;189.0;1.0;2.0;44.0;4.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.0
Bathmen-G0144;6.0;11.0;22.0;200.0;10.0;228.0;189.0;196.0;1.0;12.0;1.0;1.0;7.0;5.0;2.0;8.0;6.0;1.0;1.0;;3.0;2.0;;;;;;;;;;;;;;;;;51.0
Bedum-G0005;22.0;;164.0;495.0;1424.0;64.0;239.0;291.0;;6.0;5.0;9.0;54.0;7.0;1.0;3.0;1.0;6.0;8.0;;2.0;;;;;;;;;;;;;;;;;;124.0
Beegden-G0887;;;350.0;;;1.0;2.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;17.0
Beek-G0888;;;1790.0;64.0;8.0;40.0;9.0;3.0;;14.0;2.0;;1.0;5.0;18.0;7.0;;;;;1.0;;23.0;;;;;;;;;;;;;;;;130.0
Beek en Donk-G0746;;;1236.0;6.0;5.0;2.0;4.0;;2.0;11.0;;;;1.0;1.0;8.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;76.0
Beemster-G0370;25.0;;631.0;497.0;125.0;31.0;249.0;627.0;6.0;68.0;19.0;3.0;371.0;19.0;7.0;4.0;10.0;6.0;24.0;;1.0;;;;;;;;;;;;5.0;;;;;;
Beers-G0747;;;419.0;;;;;;;;;;;;4.0;;;;;;;;1.0;;;;;;;;;;;;;;;;11.0
Beerta-G0006;97.0;;6.0;468.0;30.0;61.0;253.0;213.0;18.0;3.0;19.0;4.0;9.0;389.0;1.0;13.0;3.0;3.0;1.0;;6.0;3.0;;;;;;;;;;;;;;;;;363.0
Beesd-G0205;;;527.0;121.0;77.0;304.0;30.0;17.0;50.0;6.0;3.0;23.0;56.0;1.0;2.0;1.0;;2.0;5.0;;1.0;1.0;;;;;;;;;8.0;;;;;;;;
Beesel-G0889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beets-G0371;1.0;6.0;;116.0;3.0;5.0;25.0;60.0;;1.0;1.0;1.0;34.0;;1.0;1.0;2.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;20.0
Beilen-G0107;92.0;;23.0;831.0;718.0;869.0;104.0;378.0;12.0;8.0;21.0;10.0;134.0;13.0;2.0;37.0;11.0;21.0;7.0;;16.0;9.0;;;;;;;;;;;;;;;;;333.0
Belfeld-G0890;11.0;5.0;658.0;13.0;1.0;1.0;3.0;2.0;;5.0;1.0;;1.0;1.0;;3.0;;;;;;;8.0;;;;;;;;;;;;;;;;18.0
Bellingwolde-G1019;79.0;;12.0;1397.0;134.0;201.0;257.0;312.0;9.0;8.0;30.0;10.0;48.0;23.0;;21.0;9.0;15.0;2.0;;5.0;9.0;;;;;;;;;;;;;;;;;494.0
Bemelen-G0891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bemmel-G0206;;;2536.0;58.0;14.0;189.0;44.0;3.0;13.0;11.0;4.0;1.0;19.0;1.0;8.0;;;1.0;7.0;;2.0;;;;;;;;;;5.0;;;;;;;;288.0
Bennebroek-G0372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benschop-G0309;23.0;;284.0;19.0;189.0;100.0;8.0;24.0;132.0;4.0;;17.0;99.0;5.0;;;;;7.0;;4.0;;;;;1.0;;;;;;;;;;;;;61.0
Benthuizen-G0490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg en Terblijt-G0892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergambacht-G0491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergen-G0373;20.0;45.0;978.0;523.0;73.0;149.0;345.0;544.0;3.0;55.0;10.0;17.0;20.0;33.0;35.0;17.0;64.0;8.0;20.0;2.0;;;;;;;;;;;;;;;;;;;
Bergen-G0893;;;2483.0;21.0;3.0;3.0;2.0;9.0;;9.0;2.0;;3.0;3.0;2.0;2.0;;;;;;;42.0;1.0;;;;;;;;;;;;;;;134.0
Bergen op Zoom-G0748;;;6026.0;855.0;350.0;193.0;359.0;153.0;31.0;107.0;15.0;8.0;13.0;17.0;386.0;55.0;48.0;8.0;28.0;4.0;6.0;13.0;14.0;;;;4.0;;;;;;;;;;;;1265.0
Bergeyk-G0749;;;1073.0;8.0;2.0;18.0;1.0;3.0;5.0;9.0;2.0;;4.0;3.0;10.0;3.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;54.0
Bergh-G0207;;;3485.0;254.0;25.0;65.0;83.0;53.0;8.0;22.0;3.0;6.0;6.0;10.0;18.0;3.0;6.0;6.0;2.0;2.0;2.0;2.0;;;;;;;;;19.0;;;;;;;;393.0
