RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);SGP;Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij;@abs
Boskoop-G0499;770.0;;667.0;309.0;7.0;464.0;535.0;130.0;184.0;34.0;3.0;14.0;11.0;3.0;2.0;2.0;9.0;14.0;;4.0;;1.0;;;;;;;2.0;;;;;;;;;;218.0
Bovenkarspel-G0379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boxmeer-G0756;;;1517.0;74.0;6.0;44.0;26.0;5.0;;8.0;9.0;;1.0;1.0;7.0;3.0;;;1.0;2.0;;;4.0;;;;;;;;;;;;;;;;116.0
Boxtel-G0757;;;3527.0;336.0;11.0;45.0;15.0;27.0;1.0;48.0;3.0;2.0;15.0;3.0;185.0;25.0;8.0;5.0;6.0;2.0;2.0;4.0;3.0;;;;14.0;;;;;;;;;;;;583.0
Brakel-G0212;;;4.0;106.0;43.0;143.0;51.0;;319.0;3.0;1.0;8.0;16.0;2.0;3.0;;;;;;2.0;;;;;;;;;;3.0;;;;;;;;182.0
Brandwijk-G0500;2.0;1.0;;3.0;241.0;31.0;68.0;4.0;76.0;4.0;;1.0;9.0;1.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;34.0
Breda-G0758;;;12449.0;3971.0;361.0;524.0;835.0;575.0;31.0;170.0;43.0;31.0;20.0;26.0;215.0;134.0;300.0;29.0;44.0;10.0;16.0;24.0;12.0;;;;5.0;;;;;;;;;;;;2089.0
Breskens-G0655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breukelen-Nijenrode-G1028;38.0;;362.0;69.0;262.0;425.0;46.0;27.0;87.0;13.0;6.0;8.0;8.0;3.0;4.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;;2.0;;;;;;;;;;;;;;;48.0
Breukelen-Sint Pieters-G1029;16.0;;72.0;46.0;101.0;151.0;15.0;6.0;20.0;1.0;2.0;1.0;3.0;;2.0;;1.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;27.0
Brielle-G0501;54.0;;124.0;405.0;179.0;409.0;374.0;149.0;7.0;5.0;1.0;9.0;40.0;6.0;3.0;3.0;11.0;;;2.0;1.0;1.0;;;;;;;;;;;;;;;;;143.0
Broek in Waterland-G0380;6.0;19.0;40.0;161.0;59.0;167.0;80.0;183.0;12.0;13.0;4.0;9.0;96.0;5.0;1.0;3.0;4.0;4.0;1.0;4.0;;;;;;;;;;;;;;;;;;;82.0
Broek op Langendijk-G1031;12.0;;10.0;134.0;470.0;274.0;15.0;124.0;17.0;8.0;1.0;1.0;4.0;1.0;1.0;12.0;3.0;3.0;19.0;1.0;;;;;;;;;;;;;2.0;;;;;;78.0
Broekhuizen-G0898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broeksittard-G1032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brouwershaven-G0656;;;;246.0;140.0;11.0;188.0;43.0;26.0;;2.0;4.0;10.0;1.0;1.0;6.0;12.0;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;50.0
Bruinisse-G0657;;;8.0;113.0;180.0;193.0;187.0;29.0;222.0;6.0;;13.0;46.0;1.0;3.0;4.0;2.0;2.0;2.0;;1.0;;;;;;;;;;;;;;;;;;400.0
Brummen-G0213;186.0;;287.0;1445.0;420.0;811.0;780.0;260.0;13.0;32.0;7.0;11.0;38.0;18.0;;17.0;17.0;14.0;9.0;;23.0;13.0;;;7.0;6.0;;;;;;;;;;;;;312.0
Brunssum-G0899;87.0;97.0;2443.0;1079.0;161.0;150.0;13.0;8.0;3.0;19.0;30.0;;;7.0;18.0;22.0;;12.0;3.0;;2.0;;18.0;45.0;;;;;;;;;;;;;;;284.0
Budel-G0759;;;1619.0;11.0;4.0;4.0;4.0;4.0;1.0;11.0;;2.0;1.0;1.0;6.0;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;121.0
Buggenum-G1033;3.0;0.0;303.0;;;;;;;1.0;;;;;;1.0;;;;;;;40.0;;;;;;;;;;;;;;;;15.0
Bunde-G0900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bunnik-G0312;31.0;;371.0;91.0;62.0;68.0;25.0;17.0;26.0;5.0;1.0;55.0;10.0;3.0;5.0;;1.0;3.0;;;3.0;;;;;1.0;;;;;;;;;;;;;41.0
Bunschoten-G0313;38.0;;6.0;20.0;1829.0;43.0;3.0;1.0;18.0;21.0;2.0;;4.0;1.0;;;;;;3.0;1.0;;;;;;;;;;;;;;;;;;107.0
Buren-G0214;;;50.0;141.0;26.0;164.0;254.0;30.0;76.0;7.0;;3.0;40.0;4.0;3.0;1.0;1.0;1.0;47.0;2.0;1.0;2.0;;;;;;;;;7.0;;;;;;;;135.0
Burgh-G1035;;;3.0;63.0;20.0;95.0;110.0;16.0;6.0;2.0;2.0;1.0;2.0;;;4.0;4.0;;2.0;;1.0;;;;;;;;;;;;;;;;;;13.0
Bussum-G0381;569.0;;3198.0;1681.0;876.0;1589.0;1845.0;780.0;126.0;580.0;59.0;65.0;8.0;30.0;;8.0;30.0;;;;;;;;;;;;;;;;;;;;;;1014.0
Buurmalsen-G0215;22.0;24.0;38.0;212.0;56.0;226.0;135.0;25.0;105.0;1.0;2.0;2.0;73.0;1.0;1.0;1.0;4.0;11.0;10.0;4.0;;;;;;;;;;;13.0;;;;;;;;86.0
Cadier en Keer-G0901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cadzand-G0658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callantsoog-G0382;;;47.0;224.0;2.0;4.0;12.0;125.0;1.0;1.0;;;11.0;3.0;;;11.0;2.0;7.0;;;;;;;;;;;;;;4.0;;;;;;
Capelle aan den IJssel-G0502;;;115.0;238.0;;289.0;200.0;20.0;;;;66.0;45.0;198.0;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;2199.0
Castricum-G0383;;;1294.0;354.0;49.0;67.0;14.0;145.0;1.0;6.0;3.0;12.0;12.0;2.0;10.0;;2.0;9.0;;;;;;;;;;;;;;;2.0;;;;;;75.0
Chaam-G0760;;;682.0;9.0;12.0;25.0;1.0;7.0;5.0;;;2.0;6.0;;7.0;;1.0;;;;;;;;;;;;;;;;;;;;;;43.0
Clinge-G0659;71.0;;905.0;34.0;4.0;3.0;6.0;4.0;4.0;14.0;3.0;3.0;1.0;11.0;6.0;15.0;3.0;5.0;1.0;;8.0;;;;;;;;;;;;;;;;;;137.0
Coevorden-G0109;76.0;;500.0;674.0;372.0;474.0;365.0;283.0;4.0;16.0;6.0;3.0;13.0;3.0;6.0;3.0;14.0;21.0;3.0;;15.0;12.0;;;;;;;;;;;;;;;;;234.0
Colijnsplaat-G1038;20.0;24.0;3.0;79.0;221.0;267.0;232.0;31.0;29.0;3.0;1.0;;11.0;2.0;1.0;8.0;6.0;1.0;1.0;;3.0;;;;;;;;;;;;;;;;;;
Cothen-G0314;14.0;;280.0;7.0;15.0;43.0;4.0;;37.0;;2.0;1.0;3.0;2.0;;;;1.0;;;2.0;;;;;1.0;;;;;;;;;;;;;13.0
Cromvoirt-G1039;;;273.0;5.0;;;;2.0;4.0;2.0;;;1.0;2.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;34.0
Cuijk en Sint Agatha-G0761;29.0;;1517.0;82.0;2.0;13.0;5.0;8.0;1.0;7.0;;1.0;2.0;3.0;31.0;9.0;5.0;;2.0;;3.0;;1.0;;;;;;;;;;;;;;;;49.0
Culemborg-G0216;;;1689.0;878.0;251.0;182.0;653.0;249.0;55.0;10.0;63.0;5.0;12.0;6.0;18.0;66.0;10.0;6.0;12.0;3.0;4.0;3.0;;;;;;;;;24.0;;;;;;;;346.0
Dalen-G0110;31.0;;132.0;479.0;81.0;151.0;554.0;152.0;2.0;9.0;6.0;1.0;57.0;3.0;1.0;9.0;26.0;14.0;1.0;;9.0;6.0;;;;;;;;;;;;;;;;;137.0
Dalfsen-G0148;;;983.0;247.0;413.0;1308.0;85.0;121.0;19.0;11.0;1.0;24.0;18.0;4.0;;7.0;3.0;1.0;1.0;;14.0;;;;;;;;;;;;;;;;;;311.0
Dantumadeel-G0065;228.0;;71.0;1141.0;1970.0;1416.0;523.0;120.0;290.0;11.0;11.0;30.0;60.0;23.0;2.0;17.0;;51.0;27.0;;9.0;;;;;;;;;;;;;;;;;;464.0
De Bilt-G0310;195.0;;583.0;873.0;725.0;928.0;772.0;421.0;308.0;112.0;14.0;29.0;20.0;11.0;19.0;4.0;29.0;49.0;7.0;2.0;3.0;11.0;;2.0;;3.0;;;;;;;;;;;;;384.0
De Lier-G0552;12.0;;100.0;31.0;363.0;354.0;72.0;7.0;14.0;3.0;;10.0;2.0;;1.0;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;36.0
De Rijp-G0440;19.0;;222.0;232.0;7.0;11.0;;100.0;6.0;11.0;10.0;2.0;;1.0;;;5.0;9.0;;;;;;;;;;;;;;;1.0;;;;;;
De Werken en Sleeuwijk-G1222;;;12.0;146.0;730.0;246.0;56.0;11.0;96.0;3.0;;11.0;11.0;;;2.0;4.0;;5.0;1.0;;1.0;1.0;;;;;;;;;;;;;;;;321.0
De Wijk-G0135;;;6.0;287.0;315.0;215.0;347.0;334.0;6.0;10.0;;8.0;27.0;3.0;2.0;1.0;23.0;5.0;14.0;;6.0;6.0;;;;;;;;;;;;;;;;;156.0
Deil-G0217;;;238.0;121.0;32.0;267.0;99.0;35.0;43.0;7.0;2.0;5.0;166.0;4.0;2.0;;6.0;11.0;15.0;2.0;2.0;;;;;;;;;;17.0;;;;;;;;154.0
Delft-G0503;1012.0;;6980.0;6607.0;2662.0;1828.0;1412.0;493.0;1067.0;257.0;345.0;109.0;35.0;36.0;59.0;64.0;198.0;;19.0;7.0;19.0;13.0;;;;;;;;;;;;;;;;;1397.0
Delfzijl-G0010;193.0;;83.0;1523.0;668.0;485.0;184.0;453.0;7.0;44.0;404.0;7.0;85.0;71.0;6.0;32.0;24.0;32.0;22.0;;14.0;9.0;;;;;;;;;;;;;;;;;563.0
Den Bommel-G1024;;;179.0;35.0;232.0;33.0;67.0;13.0;163.0;;1.0;2.0;12.0;;4.0;8.0;4.0;;;1.0;;;;;;;;;;;;;;;;;;;139.0
Den Dungen-G0768;;;768.0;2.0;;;;;;10.0;;;1.0;;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;63.0
Den Ham-G0159;60.0;34.0;202.0;316.0;918.0;930.0;64.0;49.0;19.0;14.0;7.0;67.0;69.0;8.0;7.0;21.0;5.0;12.0;;;4.0;2.0;;;;;;;;;;;;;;;;;
Den Helder-G0400;;;1631.0;5031.0;1455.0;863.0;762.0;1795.0;70.0;220.0;88.0;31.0;59.0;72.0;57.0;11.0;523.0;38.0;33.0;17.0;1.0;;;;;;;;;;;;24.0;;;;;;
Denekamp-G0149;34.0;33.0;1954.0;121.0;35.0;177.0;52.0;19.0;11.0;23.0;1.0;;3.0;12.0;47.0;3.0;1.0;1.0;;;2.0;2.0;;;;;;;;;;;;;;;;;125.0
Deurne en Liessel-G1041;;;4048.0;15.0;10.0;109.0;8.0;2.0;6.0;37.0;1.0;;4.0;4.0;27.0;9.0;;;7.0;4.0;2.0;1.0;42.0;;;;1.0;;;;;;;;;;;;325.0
Deventer-G0150;;;2619.0;6055.0;644.0;1071.0;1364.0;3078.0;46.0;149.0;210.0;62.0;30.0;286.0;69.0;596.0;87.0;71.0;40.0;;41.0;27.0;;;;;;;;;;;;;;;;;2531.0
Didam-G0218;;;2191.0;41.0;2.0;24.0;19.0;5.0;3.0;8.0;3.0;4.0;4.0;1.0;8.0;;2.0;;;;;1.0;;;;;;;;;9.0;;;;;;;;150.0
Diemen-G0384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diepenheim-G0151;;;66.0;322.0;37.0;130.0;114.0;158.0;5.0;2.0;;1.0;24.0;1.0;2.0;12.0;5.0;6.0;1.0;;2.0;4.0;;;;;;;;;;;;;;;;;
Diepenveen-G0152;;;872.0;636.0;78.0;483.0;245.0;595.0;8.0;24.0;6.0;11.0;29.0;9.0;11.0;22.0;10.0;6.0;7.0;;8.0;6.0;;;;;;;;;;;;;;;;;286.0
Diessen-G0763;;;590.0;3.0;5.0;9.0;;;;2.0;;;;;3.0;1.0;;;;1.0;1.0;;1.0;;;;1.0;;;;;;;;;;;;24.0
Diever-G0111;48.0;;47.0;483.0;246.0;32.0;34.0;197.0;2.0;51.0;10.0;3.0;70.0;2.0;2.0;7.0;8.0;2.0;;;11.0;6.0;;;;;;;;;;;;;;;;;45.0
Dinteloord en Prinsenland-G0764;;;645.0;148.0;209.0;368.0;43.0;22.0;149.0;11.0;;10.0;16.0;2.0;1.0;4.0;1.0;1.0;4.0;1.0;1.0;3.0;;;;;1.0;;;;;;;;;;;;220.0
Dinther-G1044;;;816.0;2.0;1.0;26.0;;;;2.0;;;2.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;22.0
Dinxperlo-G0219;18.0;24.0;221.0;204.0;523.0;352.0;95.0;41.0;9.0;5.0;;2.0;3.0;;4.0;;1.0;18.0;5.0;;;;;;;;;;;;2.0;;;;;;;;92.0
Dirksland-G0504;;;4.0;184.0;559.0;50.0;102.0;42.0;231.0;4.0;1.0;2.0;32.0;5.0;;6.0;6.0;;3.0;;1.0;;;;;;;;;;;;;;;;;;205.0
Dodewaard-G0220;76.0;;12.0;256.0;265.0;102.0;115.0;6.0;81.0;6.0;1.0;7.0;10.0;6.0;3.0;1.0;7.0;8.0;3.0;;2.0;2.0;;;;;;;;;1.0;;;;;;;;88.0
Doesburg-G0221;132.0;;825.0;517.0;128.0;382.0;152.0;88.0;23.0;25.0;2.0;8.0;6.0;11.0;10.0;4.0;9.0;5.0;15.0;6.0;4.0;2.0;;;;;;;;;7.0;;;;;;;;152.0
Doetinchem-G0222;254.0;;1732.0;1331.0;295.0;853.0;639.0;648.0;112.0;47.0;3.0;13.0;47.0;11.0;41.0;4.0;10.0;45.0;11.0;3.0;11.0;3.0;;;;;;;;;16.0;;;;;;;;315.0
Dokkum-G0066;47.0;;132.0;595.0;936.0;239.0;276.0;218.0;25.0;9.0;5.0;4.0;14.0;6.0;3.0;6.0;;44.0;7.0;;1.0;;;;;;;;;;;;;;;;;;172.0
Domburg-G0660;16.0;20.0;7.0;153.0;114.0;147.0;71.0;98.0;100.0;14.0;2.0;9.0;8.0;;1.0;2.0;2.0;2.0;4.0;;1.0;;;;;;;;;;;;;;;;;;
Dommelen-G1045;;;243.0;2.0;;;;;;2.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;
Dongen-G0766;73.0;;3596.0;41.0;25.0;69.0;8.0;6.0;9.0;30.0;;1.0;2.0;3.0;45.0;15.0;;2.0;3.0;1.0;1.0;;;;;;6.0;;;;;;;;;;;;123.0
Doniawerstal-G0067;37.0;;601.0;415.0;427.0;744.0;73.0;174.0;4.0;3.0;1.0;95.0;66.0;5.0;5.0;4.0;;11.0;4.0;;1.0;;;;;;;;;;;;;;;;;;179.0
Doorn-G0315;81.0;;52.0;308.0;459.0;613.0;281.0;116.0;117.0;37.0;6.0;16.0;7.0;7.0;2.0;2.0;6.0;8.0;2.0;1.0;4.0;3.0;;1.0;;4.0;;;;;;;;;;;;;
Doornspijk-G0223;162.0;;15.0;43.0;510.0;555.0;24.0;6.0;335.0;21.0;1.0;88.0;34.0;14.0;;;1.0;11.0;;2.0;;3.0;;;13.0;2.0;;;;;;;;;;;;;257.0
Dordrecht-G0505;;;2517.0;7603.0;4318.0;2913.0;3514.0;1366.0;795.0;158.0;77.0;21.0;49.0;101.0;56.0;293.0;160.0;;19.0;35.0;23.0;16.0;;;;;;;;;;;;;;;;;4636.0
Dreischor-G1047;;;4.0;240.0;11.0;25.0;219.0;58.0;19.0;7.0;1.0;2.0;63.0;2.0;;2.0;8.0;1.0;2.0;;5.0;;;;;;;;;;;;;;;;;;
Dreumel-G0224;;;952.0;47.0;;40.0;35.0;3.0;3.0;8.0;1.0;;5.0;5.0;4.0;;1.0;1.0;2.0;;2.0;;;;;;;;;;2.0;;;;;;;;168.0
Driebergen-G1048;119.0;;299.0;467.0;579.0;687.0;280.0;177.0;234.0;27.0;15.0;32.0;20.0;2.0;2.0;2.0;8.0;5.0;5.0;2.0;7.0;6.0;;2.0;;1.0;;;;;;;;;;;;;196.0
Driel-G1248;;;1340.0;27.0;29.0;130.0;9.0;9.0;52.0;4.0;;1.0;6.0;3.0;5.0;1.0;;1.0;;;1.0;1.0;;;;;;;;;5.0;;;;;;;;250.0
Driewegen-G0661;8.0;6.0;38.0;23.0;65.0;125.0;24.0;26.0;9.0;;;;6.0;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;
Drunen-G0767;;;1474.0;14.0;1.0;34.0;1.0;;;12.0;;1.0;1.0;;5.0;;;;4.0;;;;;;;;;;;;;;;;;;;;80.0
Druten-G0225;26.0;11.0;2334.0;22.0;3.0;81.0;18.0;5.0;;10.0;;4.0;2.0;;4.0;1.0;;6.0;1.0;1.0;;;;;;;;;;;1.0;;;;;;;;231.0
Dubbeldam-G0507;94.0;;37.0;512.0;372.0;336.0;351.0;65.0;75.0;5.0;3.0;3.0;125.0;4.0;4.0;8.0;15.0;;1.0;4.0;9.0;3.0;;;;;;;;;;;;;;;;;174.0
Duiven-G0226;;;1467.0;13.0;21.0;28.0;7.0;;2.0;8.0;;10.0;1.0;1.0;2.0;1.0;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;105.0
Duivendijke-G1050;;;1.0;34.0;115.0;31.0;43.0;14.0;14.0;3.0;;;7.0;;;;3.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;
Dussen-G0769;;;943.0;39.0;212.0;170.0;24.0;5.0;68.0;9.0;;3.0;10.0;1.0;;5.0;3.0;;2.0;2.0;2.0;1.0;;;;;;;;;;;;;;;;;
Dwingeloo-G0112;;;10.0;385.0;199.0;81.0;34.0;451.0;3.0;8.0;11.0;15.0;92.0;70.0;5.0;9.0;8.0;3.0;5.0;;7.0;8.0;;;;;;;;;;;;;;;;;90.0
Echt-G0902;;;3022.0;69.0;12.0;3.0;2.0;3.0;2.0;14.0;2.0;4.0;9.0;11.0;7.0;11.0;;1.0;;;;1.0;219.0;3.0;;;;;;;;;;;;;;;234.0
Echteld-G0227;;;33.0;525.0;167.0;112.0;425.0;14.0;125.0;3.0;;4.0;37.0;2.0;2.0;3.0;15.0;2.0;8.0;2.0;1.0;2.0;;;;;;;;;8.0;;;;;;;;234.0
Edam-G1315;54.0;;2113.0;607.0;109.0;177.0;134.0;405.0;10.0;17.0;6.0;1.0;99.0;10.0;13.0;;5.0;16.0;11.0;;;;;;;;;;;;;;5.0;;;;;;251.0
Ede-G0228;;;643.0;1639.0;3092.0;2042.0;719.0;515.0;3025.0;178.0;54.0;145.0;47.0;45.0;;19.0;39.0;23.0;9.0;10.0;14.0;14.0;;;143.0;86.0;;;;;;;;;;;;;1341.0
Eede-G1052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eelde-G0113;138.0;;6.0;597.0;61.0;45.0;94.0;195.0;1.0;36.0;22.0;12.0;337.0;15.0;1.0;5.0;13.0;7.0;8.0;;12.0;12.0;;;;;;;;;;;;;;;;;91.0
Eemnes-G0317;33.0;;420.0;48.0;132.0;120.0;5.0;12.0;25.0;14.0;5.0;1.0;5.0;2.0;3.0;2.0;3.0;2.0;1.0;1.0;3.0;;;1.0;;2.0;;;;;;;;;;;;;72.0
Eenrum-G0011;9.0;;45.0;643.0;270.0;13.0;219.0;128.0;1.0;1.0;;;13.0;1.0;;8.0;3.0;1.0;2.0;;2.0;;;;;;;;;;;;;;;;;;52.0
Eersel-G0770;;;1075.0;1.0;3.0;13.0;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;63.0
Egmond aan Zee-G0386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egmond-Binnen-G0387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eibergen-G0229;17.0;41.0;1664.0;582.0;374.0;431.0;384.0;179.0;5.0;16.0;27.0;4.0;46.0;16.0;;13.0;3.0;35.0;4.0;4.0;2.0;4.0;;;2.0;1.0;;;;;;;;;;;;;159.0
Eijgelshoven-G0904;20.0;13.0;737.0;148.0;5.0;8.0;1.0;7.0;1.0;12.0;9.0;;5.0;2.0;6.0;7.0;;;1.0;;;1.0;1.0;7.0;;;;;;;;;;;;;;;69.0
Eijsden-G0905;23.0;37.0;1044.0;59.0;9.0;5.0;;26.0;;8.0;3.0;;2.0;4.0;1.0;2.0;;;;;;3.0;20.0;4.0;;;;;;;;;;;;;;;380.0
Eindhoven-G0772;;;21440.0;5230.0;756.0;640.0;369.0;755.0;53.0;216.0;282.0;28.0;20.0;76.0;854.0;204.0;78.0;;49.0;17.0;13.0;20.0;22.0;;;;25.0;;;;;;;;;;;;1391.0
Elburg-G0230;58.0;;18.0;84.0;199.0;559.0;29.0;37.0;53.0;15.0;;117.0;3.0;9.0;;3.0;6.0;1.0;;1.0;;;;;2.0;;;;;;;;;;;;;;124.0
Elkerzee-G1053;;;1.0;39.0;70.0;81.0;46.0;16.0;25.0;1.0;3.0;2.0;9.0;2.0;2.0;1.0;2.0;2.0;2.0;;2.0;;;;;;;;;;;;;;;;;;
Ellemeet-G1054;;;;47.0;25.0;43.0;95.0;17.0;4.0;4.0;1.0;;15.0;;;1.0;3.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;27.0
Ellewoutsdijk-G0663;;;6.0;134.0;32.0;73.0;19.0;30.0;9.0;3.0;1.0;1.0;1.0;;2.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;
Elsloo-G0903;8.0;28.0;869.0;7.0;2.0;2.0;4.0;;1.0;12.0;;;1.0;1.0;3.0;1.0;;;1.0;;;;2.0;;;;;;;;;;;;;;;;37.0
Elst-G0231;64.0;70.0;2054.0;541.0;116.0;386.0;330.0;77.0;75.0;18.0;5.0;71.0;39.0;11.0;41.0;5.0;7.0;6.0;35.0;6.0;5.0;3.0;;;;;;;;;5.0;;;;;;;;255.0
Emmen-G0114;1212.0;;1817.0;4044.0;2397.0;2174.0;526.0;907.0;46.0;58.0;205.0;51.0;406.0;70.0;46.0;34.0;111.0;123.0;19.0;;126.0;107.0;;;;;;;;;;;;;;;;;1637.0
Empel en Meerwijk-G0773;2.0;0.0;282.0;1.0;;11.0;1.0;1.0;;2.0;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;21.0
Engelen-G0774;;;243.0;13.0;;29.0;;;;7.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;496.0
Enkhuizen-G0388;;;572.0;1335.0;718.0;680.0;309.0;380.0;140.0;17.0;14.0;5.0;24.0;7.0;13.0;9.0;13.0;21.0;1.0;1.0;1.0;;;;;;;;;;;;7.0;;;;;;
Enschede-G0153;;;4183.0;8719.0;2144.0;2000.0;2134.0;1074.0;85.0;176.0;519.0;21.0;80.0;165.0;369.0;230.0;105.0;142.0;31.0;;94.0;30.0;;;;;;;;;;;;;;;;;2869.0
Epe-G0232;;;612.0;1110.0;716.0;1073.0;641.0;1105.0;123.0;61.0;8.0;15.0;24.0;29.0;;17.0;15.0;15.0;9.0;5.0;;14.0;;;10.0;2.0;;;;;;;;;;;;;581.0
Ermelo-G0233;215.0;;76.0;390.0;1687.0;2200.0;236.0;162.0;559.0;47.0;9.0;66.0;54.0;23.0;;5.0;9.0;2.0;;2.0;;5.0;;;44.0;1.0;;;;;;;;;;;;;407.0
Erp-G0775;;;1263.0;11.0;;2.0;;;1.0;5.0;;;1.0;;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;;22.0
Esch-G0776;;;316.0;1.0;;1.0;;;;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;15.0
Escharen-G1057;;;628.0;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.0
Est en Opijnen-G0234;16.0;33.0;;67.0;14.0;114.0;160.0;10.0;56.0;;3.0;1.0;8.0;2.0;1.0;3.0;2.0;1.0;7.0;1.0;;4.0;;;;;;;;;10.0;;;;;;;;72.0
Etten en Leur-G1251;;;3364.0;176.0;8.0;132.0;12.0;19.0;3.0;41.0;2.0;3.0;9.0;6.0;20.0;17.0;3.0;2.0;8.0;1.0;1.0;;6.0;;;;5.0;;;;;;;;;;;;428.0
Everdingen-G0508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ewijk-G0235;2.0;9.0;1183.0;1.0;1.0;12.0;46.0;1.0;3.0;2.0;;2.0;2.0;3.0;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;71.0
Ezinge-G0012;8.0;;;245.0;297.0;32.0;115.0;126.0;2.0;;;1.0;30.0;1.0;;3.0;;1.0;1.0;;;1.0;;;;;;;;;;;;;;;;;69.0
Ferwerderadeel-G0068;64.0;;5.0;676.0;2099.0;688.0;321.0;170.0;8.0;8.0;6.0;44.0;122.0;6.0;4.0;10.0;;32.0;9.0;;3.0;;;;;;;;;;;;;;;;;;282.0
Fijnaart en Heijningen-G0778;;;707.0;76.0;249.0;533.0;15.0;6.0;8.0;10.0;2.0;291.0;;4.0;1.0;8.0;2.0;1.0;;;3.0;7.0;;;;;;;;;;;;;;;;;216.0
Finsterwolde-G0013;133.0;;4.0;343.0;27.0;62.0;188.0;87.0;6.0;2.0;173.0;17.0;10.0;246.0;;7.0;4.0;4.0;2.0;;8.0;2.0;;;;;;;;;;;;;;;;;287.0
Franeker-G0069;119.0;;477.0;1163.0;778.0;509.0;167.0;426.0;13.0;11.0;34.0;23.0;30.0;7.0;38.0;15.0;;44.0;6.0;;10.0;;;;;;;;;;;;;;;;;;384.0
Franekeradeel-G0070;74.0;;109.0;751.0;467.0;663.0;163.0;235.0;5.0;12.0;10.0;20.0;35.0;7.0;4.0;6.0;;20.0;9.0;;3.0;;;;;;;;;;;;;;;;;;193.0
Gaasterland-G0071;40.0;;568.0;158.0;560.0;1099.0;38.0;81.0;118.0;18.0;2.0;67.0;23.0;6.0;3.0;8.0;;77.0;3.0;;1.0;;;;;;;;;;;;;;;;;;192.0
Gameren-G1058;26.0;37.0;5.0;168.0;302.0;44.0;11.0;14.0;181.0;8.0;2.0;4.0;83.0;4.0;;;;1.0;;1.0;;1.0;;;;;;;;;2.0;;;;;;;;108.0
Gassel-G1059;;;281.0;;;;;;;;;;;;;1.0;;;;;1.0;;1.0;;;;;;;;;;;;;;;;14.0
Gasselte-G0115;28.0;;5.0;676.0;196.0;226.0;53.0;83.0;3.0;11.0;12.0;1.0;177.0;2.0;2.0;4.0;11.0;5.0;2.0;;15.0;11.0;;;;;;;;;;;;;;;;;154.0
