RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Vrije Burgers;Boeren Partij;Samenwerkende Christelijke Groepering;Lijst Fokker;Lijst Groen;Wereldburgers;Christelijk-Nationale Volks Partij;Lijst Hartman;@abs
Jabeek-G0927;12;0;325;13;0;0;0;0;1;0;0.0;0;0;0;0;0;0;0;0;0.0;12.0
Jisp-G0408;9;0;39;166;89;10;9;79;39;0;1.0;0;0;0;0;0;0;0;0;0.0;24.0
Jutphaas-G0322;30;0;1099;365;73;123;295;19;7;74;2.0;0;0;0;0;0;0;3;4;0.0;105.0
Kamerik-G0323;14;0;457;78;32;186;353;3;2;185;0.0;0;0;0;0;0;0;2;0;0.0;54.0
Kampen-G0166;236;0;1421;3801;641;2476;2775;113;46;1392;1208.0;0;48;0;0;0;0;0;0;0.0;1085.0
Kantens-G0020;14;0;18;477;203;207;114;9;4;0;128.0;0;0;0;0;0;0;0;0;0.0;37.0
Kapelle-G0678;37;0;81;640;275;410;798;15;4;190;5.0;0;0;0;0;0;0;0;0;0.0;181.0
Kattendijke-G0679;7;0;3;351;39;32;165;5;1;17;0.0;0;0;0;0;0;0;0;0;0.0;39.0
Katwijk-G0537;245;0;887;2320;736;1658;5573;98;59;1838;71.0;0;171;0;0;0;0;0;0;0.0;1755.0
Katwoude-G0409;4;0;30;34;20;13;32;4;0;0;1.0;0;0;0;0;0;0;0;0;0.0;11.0
Kedichem-G0538;17;0;5;271;158;135;35;2;1;29;1.0;0;3;0;0;0;0;0;0;0.0;56.0
Kerkrade-G0928;1713;0;17717;4516;276;0;0;157;650;0;0.0;0;0;0;415;0;0;0;0;0.0;1209.0
Kerkwijk-G0257;57;0;45;495;51;497;499;4;0;657;14.0;0;0;78;0;0;0;0;0;0.0;255.0
Kessel-G0929;39;0;1263;35;10;0;0;0;2;0;0.0;0;0;0;6;0;0;0;0;0.0;54.0
Kesteren-G0258;56;0;27;883;137;631;135;3;14;891;11.0;0;0;61;0;0;0;0;0;0.0;226.0
Klaaswaal-G0539;11;0;10;494;187;187;181;8;5;163;4.0;0;7;0;0;0;0;0;0;0.0;92.0
Klimmen-G0930;36;0;1320;75;12;0;0;4;4;0;0.0;0;0;0;18;0;0;0;0;0.0;55.0
Kloetinge-G0680;33;0;66;344;179;159;407;13;4;59;2.0;0;0;0;0;0;0;0;0;0.0;90.0
Kloosterburen-G0021;19;0;531;243;106;244;14;18;3;0;1.0;0;0;0;0;0;0;0;0;0.0;39.0
Klundert-G0804;44;0;906;312;54;0;0;0;7;0;0.0;1422;0;0;0;135;0;0;0;0.0;123.0
Kockengen-G0324;7;0;325;42;37;166;161;9;2;132;4.0;0;0;0;0;0;0;0;1;0.0;46.0
Koedijk-G0410;17;0;463;430;150;37;41;60;33;5;2.0;0;4;0;0;0;3;0;0;0.0;49.0
Koewacht-G0681;79;0;986;150;26;3;8;4;6;4;1.0;0;0;0;0;0;0;0;0;0.0;95.0
Kollumerland en Nieuwkruisland-G0079;79;0;14;863;260;2427;1485;42;10;91;50.0;0;0;0;0;0;0;0;0;0.0;269.0
Koog aan de Zaan-G0411;104;0;451;1492;551;296;138;543;556;0;12.0;0;32;0;0;0;6;0;0;0.0;272.0
Kortenhoef-G1097;42;0;386;372;207;160;297;56;24;64;11.0;0;6;0;0;0;0;0;0;0.0;122.0
Kortgene-G0682;27;0;11;851;287;206;437;9;3;146;1.0;0;0;0;0;0;0;0;0;0.0;222.0
Koudekerk aan den Rijn-G0540;25;0;137;182;56;314;336;11;9;30;1.0;0;12;0;0;0;0;0;0;0.0;45.0
Koudekerke-G1098;25;0;17;285;124;445;481;8;7;99;4.0;0;0;0;0;0;0;0;0;0.0;271.0
Krabbendijke-G0684;23;0;10;235;113;213;306;2;1;611;4.0;0;0;0;0;0;0;0;0;0.0;140.0
Krimpen aan de Lek-G0541;48;0;30;1100;230;337;138;71;37;205;3.0;0;20;0;0;0;0;0;0;0.0;160.0
Krimpen aan den IJssel-G0542;155;0;186;2375;509;436;590;167;150;991;26.0;0;24;0;0;0;0;0;0;0.0;536.0
Krommenie-G0413;118;0;1411;1481;384;416;131;476;862;0;71.0;0;24;0;0;0;5;0;0;0.0;261.0
Kruiningen-G0685;34;0;471;887;337;235;466;14;9;345;4.0;0;0;0;0;0;0;0;0;0.0;269.0
Kuinre-G0167;13;0;48;195;35;36;96;4;1;1;0.0;0;0;0;0;0;0;0;0;0.0;32.0
Kwadijk-G0414;6;0;8;160;69;9;11;7;4;0;0.0;0;2;0;0;0;0;0;0;0.0;10.0
Landsmeer-G0415;129;0;345;1634;397;426;289;253;643;34;0.0;0;36;0;0;0;5;0;0;0.0;231.0
Langbroek-G0325;11;0;169;168;20;179;195;3;5;122;2.0;0;0;0;0;0;0;2;6;0.0;62.0
Lange Ruige Weide-G1101;3;0;22;18;24;173;140;0;1;74;0.0;0;4;0;0;0;0;0;0;0.0;18.0
Langedijk-G0416;52;0;1554;1142;505;770;323;145;86;17;29.0;0;34;0;0;0;1;0;0;0.0;225.0
Langerak-G0543;10;0;4;115;59;181;37;0;2;102;23.0;0;7;0;0;0;0;0;0;0.0;42.0
Laren-G0417;185;0;3064;1200;1526;341;294;347;64;38;10.0;0;75;0;0;0;11;0;0;0.0;568.0
Laren (Gld.)-G0259;115;0;73;921;1286;242;850;57;11;20;10.0;0;0;130;0;0;0;0;0;0.0;396.0
Leek-G0022;107;0;18;1780;833;1241;446;211;55;0;309.0;0;0;0;0;0;0;0;0;0.0;316.0
Leende-G0805;14;0;1346;57;66;0;0;8;0;0;0.0;37;0;0;0;0;0;0;0;0.0;34.0
Leens-G0023;41;0;190;626;307;438;58;32;12;0;329.0;0;0;0;0;0;0;0;0;0.0;81.0
Leerbroek-G0544;9;0;4;44;20;167;68;0;2;146;2.0;0;1;0;0;0;0;0;0;0.0;75.0
Leerdam-G0545;124;0;310;2360;517;1099;848;69;91;669;163.0;0;15;0;0;0;0;0;0;0.0;377.0
Leersum-G0326;62;0;103;623;422;294;481;38;8;214;1.0;0;0;0;0;0;0;10;19;0.0;235.0
Leeuwarden-G0080;793;0;4397;21139;4887;7364;4505;2165;836;135;298.0;0;0;0;0;0;0;0;0;0.0;2911.0
Leeuwarderadeel-G0081;40;0;22;1259;345;650;195;235;13;4;4.0;0;0;0;0;0;0;0;0;0.0;139.0
Leiden-G0546;1799;0;10889;20622;5323;3385;6207;1914;2011;732;162.0;0;580;0;0;0;0;0;0;0.0;4360.0
Leiderdorp-G0547;65;0;710;809;611;932;683;91;24;90;4.0;0;48;0;0;0;0;0;0;0.0;183.0
Leidschendam-G0548;219;0;4345;1271;1313;598;750;145;42;67;26.0;0;88;0;0;0;0;0;0;0.0;635.0
Leimuiden-G0549;13;0;730;131;31;256;199;15;3;11;2.0;0;4;0;0;0;0;0;0;0.0;76.0
Lekkerkerk-G0550;67;0;42;1318;702;317;94;109;22;361;0.0;0;34;0;0;0;0;0;0;0.0;253.0
Lemsterland-G0082;112;0;220;1408;166;806;958;106;273;56;7.0;0;0;0;0;0;0;0;0;0.0;408.0
Leusden-G0327;27;0;732;433;225;199;425;39;11;163;44.0;0;0;0;0;0;0;9;5;0.0;139.0
Lexmond-G0551;13;0;3;235;109;302;196;4;8;172;2.0;0;3;0;0;0;0;0;0;0.0;80.0
Lichtenvoorde-G0260;41;0;5003;230;54;105;301;6;10;2;0.0;0;0;13;0;0;0;0;0;0.0;181.0
Liempde-G0806;10;0;1249;35;6;0;0;4;1;0;0.0;3;0;0;0;1;0;0;0;0.0;24.0
Lienden-G0261;68;0;34;1302;394;186;358;15;11;259;7.0;0;0;128;0;0;0;0;0;0.0;245.0
Lieshout-G0807;40;0;1702;96;38;0;0;8;1;0;0.0;11;0;0;0;0;0;0;0;0.0;81.0
Limbricht-G0931;44;0;1491;55;3;0;0;0;4;0;0.0;0;0;0;3;0;0;0;0;0.0;82.0
Limmen-G0418;16;0;1292;120;71;9;9;36;18;0;0.0;0;4;0;0;0;3;0;0;0.0;81.0
Linne-G0932;57;0;1299;66;17;0;0;0;6;0;0.0;0;0;0;11;0;0;0;0;0.0;75.0
Linschoten-G0328;9;0;328;87;105;166;224;2;3;206;0.0;0;0;0;0;0;0;1;2;0.0;68.0
Lisse-G0553;87;0;3719;684;289;587;794;38;13;434;45.0;0;26;0;0;0;0;0;0;0.0;409.0
Lith-G0808;34;0;1916;114;14;0;0;0;6;0;0.0;44;0;0;0;0;0;0;0;0.0;172.0
Lochem-G0262;120;0;417;1930;926;255;403;237;121;21;14.0;0;0;92;0;0;0;0;0;0.0;338.0
Loenen-G0329;37;0;352;359;286;231;342;30;10;129;32.0;0;0;0;0;0;0;8;3;0.0;122.0
Loenersloot-G1105;6;0;99;46;24;61;91;8;5;45;1.0;0;0;0;0;0;0;1;0;0.0;30.0
Loon op Zand-G0809;186;0;6598;398;74;0;0;27;17;0;0.0;252;0;0;0;74;0;0;0;0.0;215.0
Loosdrecht-G0330;90;0;332;754;920;516;527;167;65;145;64.0;0;0;0;0;0;0;36;7;0.0;352.0
Lopik-G0331;28;0;609;516;100;588;409;6;16;322;7.0;0;0;0;0;0;0;2;4;0.0;148.0
Loppersum-G0024;31;0;14;605;257;717;143;22;8;0;105.0;0;0;0;0;0;0;0;0;0.0;206.0
Losser-G0168;235;0;6110;1205;209;95;663;52;374;14;7.0;0;0;0;0;0;0;0;0;0.0;394.0
Luyksgestel-G0810;5;0;750;35;1;0;0;0;1;0;0.0;7;0;0;0;0;0;0;0;0.0;25.0
Maarheeze-G0811;38;0;2155;99;13;0;0;5;3;0;0.0;19;0;0;0;0;0;0;0;0.0;42.0
Maarn-G0332;41;0;163;516;406;201;430;46;16;137;6.0;0;0;0;0;0;0;6;3;0.0;183.0
Maarssen-G0333;160;0;1462;1592;472;826;1272;119;50;158;15.0;0;0;0;0;0;0;18;14;0.0;286.0
Maartensdijk-G0334;86;0;305;859;540;648;586;125;26;528;23.0;0;0;0;0;0;0;19;6;0.0;338.0
Maasbracht-G0933;42;0;2196;82;18;0;0;0;1;0;0.0;0;0;0;212;0;0;0;0;0.0;529.0
Maasbree-G0934;65;0;3109;52;13;0;0;0;5;0;0.0;0;0;0;8;0;0;0;0;0.0;144.0
Maasdam-G0554;16;0;9;382;174;139;204;4;5;124;1.0;0;11;0;0;0;0;0;0;0.0;92.0
Maasdriel-G0263;59;0;2462;172;20;42;167;4;0;18;3.0;0;0;26;0;0;0;0;0;0.0;174.0
Maasland-G0555;12;0;362;109;119;732;679;9;1;36;15.0;0;4;0;0;0;0;0;0;0.0;85.0
Maassluis-G0556;158;0;599;2492;484;1790;1406;214;51;201;39.0;0;26;0;0;0;0;0;0;0.0;526.0
Maastricht-G0935;2724;0;29991;12513;1520;0;0;745;635;0;0.0;0;0;0;700;0;0;0;0;0.0;2839.0
Made en Drimmelen-G0812;108;0;2805;304;69;0;0;0;28;0;0.0;201;0;0;0;12;0;0;0;0.0;307.0
Margraten-G0936;19;0;979;24;4;0;0;0;4;0;0.0;0;0;0;0;0;0;0;0;0.0;53.0
Markelo-G0169;89;0;217;1316;910;383;532;21;12;19;3.0;0;99;0;0;0;0;0;0;0.0;338.0
Marken-G0419;12;0;2;139;13;252;383;4;8;19;0.0;0;1;0;0;0;0;0;0;0.0;70.0
Marum-G0025;85;0;18;1349;752;1068;177;280;89;0;49.0;0;0;0;0;0;0;0;0;0.0;265.0
Maurik-G0264;45;0;159;1307;264;223;488;15;10;71;9.0;0;0;83;0;0;0;0;0;0.0;223.0
