RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Vrije Burgers;Boeren Partij;Samenwerkende Christelijke Groepering;Lijst Fokker;Lijst Groen;Wereldburgers;Christelijk-Nationale Volks Partij;Lijst Hartman;@abs
Nisse-G0691;2;0;65;65;19;30;95;0;1;51;3.0;0;0;0;0;0;0;0;0;0.0;38.0
Nistelrode-G0819;19;0;2012;103;11;0;0;4;2;0;0.0;5;0;0;0;0;0;0;0;0.0;119.0
Noorbeek-G0950;9;0;471;6;3;0;0;0;1;0;0.0;0;0;0;0;0;0;0;0;0.0;5.0
Noordbroek-G1126;86;0;19;543;248;35;57;84;72;0;2.0;0;0;0;0;0;0;0;0;0.0;104.0
Noorddijk-G1127;90;0;54;817;395;147;130;104;39;0;63.0;0;0;0;0;0;0;0;0;0.0;141.0
Noordeloos-G0574;2;0;0;116;95;274;53;1;1;114;1.0;0;7;0;0;0;0;0;0;0.0;53.0
Noordoostpolder-G0171;100;0;2942;2758;1158;2532;1873;126;34;254;283.0;0;6;0;0;0;0;0;0;;538.0
Noordwijk-G0575;215;0;3782;1321;533;918;1107;284;50;97;23.0;0;144;0;0;0;0;0;0;0.0;1477.0
Noordwijkerhout-G0576;101;0;4119;321;177;71;310;36;13;14;9.0;0;53;0;0;0;0;0;0;0.0;651.0
Nootdorp-G0577;21;0;1094;153;118;91;171;5;5;15;6.0;0;5;0;0;0;0;0;0;0.0;73.0
Norg-G0120;79;0;61;1188;732;363;216;37;11;0;32.0;0;0;0;0;0;0;0;0;46.0;198.0
Nuenen, Gerwen en Nederwetten-G0820;107;0;3095;368;126;0;0;23;8;0;0.0;169;0;0;0;0;0;0;0;0.0;219.0
Nuland-G0821;35;0;1226;38;4;0;0;1;3;0;0.0;2;0;0;0;0;0;0;0;0.0;87.0
Numansdorp-G0578;40;0;17;1163;277;458;345;13;11;308;1.0;0;21;0;0;0;0;0;0;0.0;160.0
Nuth-G0951;92;0;2675;337;16;0;0;0;23;0;0.0;0;0;0;22;0;0;0;0;0.0;99.0
Obbicht en Papenhoven-G0952;39;0;913;84;5;0;0;0;6;0;0.0;0;0;0;9;0;0;0;0;0.0;62.0
Obdam-G0429;14;0;1102;59;46;2;4;2;1;0;0.0;0;0;0;0;0;0;0;0;0.0;38.0
Odijk-G1131;6;0;282;88;34;19;85;6;1;24;0.0;0;0;0;0;0;0;2;2;0.0;27.0
Odoorn-G0122;357;0;317;3147;1270;544;732;147;202;0;90.0;0;0;0;0;0;0;0;0;54.0;375.0
Oeffelt-G0822;18;0;750;48;10;0;0;0;4;0;0.0;5;0;0;0;0;0;0;0;0.0;64.0
Oegstgeest-G0579;126;0;1600;1170;1732;900;1205;186;34;128;56.0;0;113;0;0;0;0;0;0;0.0;1125.0
Ohé en Laak-G0953;19;0;334;6;2;0;0;0;0;0;0.0;0;0;0;4;0;0;0;0;0.0;15.0
Oirsbeek-G0954;42;0;1439;101;9;0;0;0;10;0;0.0;0;0;0;17;0;0;0;0;0.0;25.0
Oirschot-G0823;62;0;3633;153;56;0;0;10;3;0;0.0;52;0;0;0;6;0;0;0;0.0;209.0
Oisterwijk-G0824;189;0;4126;951;174;0;0;43;19;0;0.0;80;0;0;0;5;0;0;0;0.0;343.0
Oldebroek-G0269;187;0;311;1769;281;1319;1804;44;19;1081;418.0;0;0;232;0;0;0;0;0;0.0;580.0
Oldehove-G0035;14;0;2;284;169;488;88;6;3;0;119.0;0;0;0;0;0;0;0;0;0.0;42.0
Oldekerk-G0036;13;0;6;201;175;496;92;7;3;0;42.0;0;0;0;0;0;0;0;0;0.0;65.0
Oldemarkt-G0172;18;0;218;484;90;114;692;11;3;1;3.0;0;1;0;0;0;0;0;0;0.0;98.0
Oldenzaal-G0173;261;0;7837;1178;440;155;326;75;42;8;65.0;0;0;0;0;0;0;0;0;0.0;660.0
Olst-G0174;65;0;1201;1649;765;91;331;45;49;29;8.0;0;23;0;0;0;0;0;0;0.0;227.0
Ommen-G0175;52;0;631;921;496;1534;2319;18;7;63;392.0;0;42;0;0;0;0;0;0;0.0;436.0
Onstwedde-G1250;379;0;1508;3755;690;2207;2630;280;477;0;307.0;0;0;0;0;0;0;0;0;0.0;1162.0
Ooltgensplaat-G1133;32;0;292;478;107;251;194;11;6;230;2.0;0;2;0;0;0;0;0;0;0.0;173.0
Oost- en West-Souburg-G1135;88;0;267;1720;254;788;861;38;26;182;19.0;0;0;0;0;0;0;0;0;0.0;343.0
Oost-, West- en Middelbeers-G0825;9;0;1212;19;8;0;0;3;4;0;0.0;13;0;0;0;1;0;0;0;0.0;56.0
Oostburg-G0692;79;0;729;637;379;162;150;19;4;47;17.0;0;0;0;0;0;0;0;0;0.0;132.0
Oostdongeradeel-G0084;37;0;14;335;174;2373;1085;13;3;9;10.0;0;0;0;0;0;0;0;0;0.0;147.0
Oosterhesselen-G0123;71;0;1;831;364;454;182;13;39;0;62.0;0;0;0;0;0;0;0;0;13.0;80.0
Oosterhout-G0826;412;0;10669;1447;238;0;0;0;44;0;0.0;208;0;0;0;30;0;0;0;0.0;552.0
Oosthuizen-G0430;11;0;64;368;143;15;25;39;21;1;0.0;0;7;0;0;0;0;0;0;0.0;35.0
Oostkapelle-G1137;15;0;3;119;100;277;248;6;2;141;10.0;0;0;0;0;0;0;0;0;0.0;106.0
Ooststellingwerf-G0085;387;0;107;4518;1035;1622;1252;483;429;20;98.0;0;0;0;0;0;0;0;0;0.0;589.0
Oostvoorne-G0581;93;0;90;1222;869;257;198;106;63;20;2.0;0;14;0;0;0;0;0;0;0.0;263.0
Oostzaan-G0431;92;0;97;1321;393;223;263;235;547;0;10.0;0;22;0;0;0;3;0;0;0.0;251.0
Ootmarsum-G0176;12;0;1122;78;17;2;55;6;2;1;0.0;0;0;0;0;0;0;0;0;0.0;45.0
Ophemert-G0270;14;0;10;355;83;34;175;7;0;36;4.0;0;0;38;0;0;0;0;0;0.0;63.0
Oploo, Sint Anthonis en Ledeacker-G0827;30;0;2572;48;16;0;0;0;1;0;0.0;22;0;0;0;0;0;0;0;0.0;98.0
Opmeer-G0432;7;0;1151;214;67;15;7;5;2;2;0.0;0;0;0;0;0;0;0;0;0.0;65.0
Opperdoes-G0433;13;0;4;81;42;318;111;6;6;51;0.0;0;1;0;0;0;0;0;0;0.0;42.0
Opsterland-G0086;355;0;91;4774;1152;1959;858;1018;589;26;359.0;0;0;0;0;0;0;0;0;0.0;1012.0
Oss-G0828;529;0;10554;3532;616;0;0;0;113;0;0.0;388;0;0;0;0;0;0;0;0.0;885.0
Ossendrecht-G0829;145;0;1531;362;48;0;0;0;6;0;0.0;61;0;0;0;1;0;0;0;0.0;110.0
Oterleek-G0434;6;0;58;275;97;12;13;40;2;0;0.0;0;2;0;0;0;1;0;0;0.0;40.0
Ottersum-G0955;74;0;1487;83;0;0;0;0;0;0;0.0;0;0;0;16;0;0;0;0;0.0;115.0
Ottoland-G0582;5;0;0;22;15;183;55;1;1;52;0.0;0;3;0;0;0;0;0;0;0.0;40.0
Oud- en Nieuw-Gastel-G0831;130;0;3453;246;31;0;0;0;15;0;0.0;64;0;0;0;9;0;0;0;0.0;148.0
Oud-Alblas-G0583;11;0;1;122;42;198;120;3;2;194;1.0;0;5;0;0;0;0;0;0;0.0;77.0
Oud-Beijerland-G0584;84;0;144;1345;393;1043;394;30;23;733;2.0;0;20;0;0;0;0;0;0;0.0;390.0
Ouddorp-G1142;29;0;12;278;144;378;197;6;8;1115;8.0;0;4;0;0;0;0;0;0;0.0;379.0
Oude Niedorp-G0436;7;0;603;91;38;8;3;22;7;0;0.0;0;1;0;0;0;1;0;0;0.0;35.0
Oude Pekela-G0038;163;0;311;1954;324;392;314;143;660;0;26.0;0;0;0;0;0;0;0;0;0.0;428.0
Oude Tonge-G1143;17;0;400;492;136;141;69;10;5;241;2.0;0;3;0;0;0;0;0;0;0.0;175.0
Oudelande-G0695;10;0;44;106;53;66;126;1;0;20;2.0;0;0;0;0;0;0;0;0;0.0;32.0
Oudenbosch-G0830;151;0;3383;296;49;0;0;0;20;0;0.0;95;0;0;0;15;0;0;0;0.0;128.0
Oudendijk-G0435;2;0;24;176;34;4;10;8;11;0;0.0;0;0;0;0;0;0;0;0;0.0;10.0
Oudenhoorn-G0586;18;0;5;280;132;32;48;5;7;12;0.0;0;7;0;0;0;0;0;0;0.0;46.0
Ouder-Amstel-G0437;78;0;1489;762;364;406;591;116;50;35;5.0;0;49;0;0;0;8;0;0;0.0;184.0
Ouderkerk aan den IJssel-G0587;29;0;9;544;273;410;65;15;9;742;6.0;0;19;0;0;0;0;0;0;0.0;284.0
Oudewater-G0589;23;0;1125;282;130;224;244;3;8;103;1.0;0;7;0;0;0;0;0;0;0.0;100.0
Oudorp-G0438;8;0;649;298;107;49;32;37;14;2;0.0;0;1;0;0;0;0;0;0;0.0;60.0
Oud-Vossemeer-G0696;34;0;318;205;123;170;224;0;0;125;0.0;0;0;0;0;0;0;0;0;0.0;71.0
Overasselt-G0271;18;0;1341;27;2;4;20;4;0;0;0.0;0;0;9;0;0;0;0;0;0.0;51.0
Overslag-G0697;4;0;100;12;4;1;6;0;1;2;1.0;0;0;0;0;0;0;0;0;0.0;10.0
Ovezande-G0698;14;0;627;31;21;3;73;2;1;1;0.0;0;0;0;0;0;0;0;0;0.0;18.0
Pannerden-G0272;14;0;775;45;2;2;4;3;2;0;0.0;0;0;1;0;0;0;0;0;0.0;62.0
Papekop-G1151;2;0;104;8;8;49;50;0;1;13;0.0;0;1;0;0;0;0;0;0;0.0;8.0
Papendrecht-G0590;139;0;322;2166;498;1094;503;173;58;564;21.0;0;14;0;0;0;0;0;0;0.0;522.0
Peize-G0124;109;0;11;852;480;44;77;56;53;0;4.0;0;0;0;0;0;0;0;0;44.0;185.0
Philippine-G0699;29;0;458;51;13;10;18;2;1;9;6.0;0;0;0;0;0;0;0;0;0.0;47.0
Piershil-G0591;9;0;1;171;74;58;62;2;4;104;3.0;0;5;0;0;0;0;0;0;0.0;52.0
Pijnacker-G0594;60;0;1715;727;464;511;1218;80;13;275;51.0;0;28;0;0;0;0;0;0;0.0;249.0
Polsbroek-G0338;5;0;99;42;47;162;79;1;1;86;0.0;0;0;0;0;0;0;0;0;0.0;29.0
Poortugal-G0592;158;0;503;2177;496;542;419;215;101;125;24.0;0;24;0;0;0;0;0;0;0.0;984.0
Poortvliet-G0700;13;0;2;156;40;93;206;0;0;383;0.0;0;0;0;0;0;0;0;0;0.0;92.0
Posterholt-G0956;49;0;1432;65;5;0;0;0;9;0;0.0;0;0;0;7;0;0;0;0;0.0;89.0
Prinsenbeek-G0832;69;0;2146;150;22;0;0;6;5;0;0.0;10;0;0;0;7;0;0;0;0.0;89.0
Purmerend-G0439;119;0;1620;2342;856;296;235;377;385;14;0.0;0;62;0;0;0;12;0;0;0.0;427.0
Putte-G0833;104;0;676;224;42;0;0;0;12;0;0.0;33;0;0;0;8;0;0;0;0.0;74.0
Putten-G0273;157;0;186;1288;391;792;2595;60;42;694;21.0;0;0;328;0;0;0;0;0;0.0;591.0
Puttershoek-G0593;26;0;46;773;207;227;250;25;6;152;2.0;0;16;0;0;0;0;0;0;0.0;153.0
Raalte-G0177;51;0;5643;736;135;80;957;20;7;4;5.0;0;51;0;0;0;0;0;0;0.0;329.0
Raamsdonk-G0834;152;0;2979;366;84;0;0;0;19;0;0.0;634;0;0;0;76;0;0;0;0.0;453.0
Rauwerderhem-G0087;26;0;177;627;211;169;111;65;4;0;4.0;0;0;0;0;0;0;0;0;0.0;82.0
Ravenstein-G0835;50;0;2707;205;21;0;0;0;11;0;0.0;24;0;0;0;0;0;0;0;0.0;90.0
Reeuwijk-G0595;55;0;912;770;534;456;208;61;17;240;9.0;0;15;0;0;0;0;0;0;0.0;199.0
Renkum-G0274;417;0;3504;4453;2476;2218;2185;329;101;349;87.0;0;0;218;0;0;0;0;0;0.0;1640.0
Renswoude-G0339;31;0;19;173;64;143;391;1;5;107;3.0;0;0;0;0;0;0;1;4;0.0;72.0
Retranchement-G0701;6;0;6;165;86;18;43;11;0;1;0.0;0;0;0;0;0;0;0;0;0.0;20.0
Reusel-G0836;24;0;2076;37;8;0;0;6;1;0;0.0;5;0;0;0;0;0;0;0;0.0;38.0
Rheden-G0275;591;0;4198;9179;2967;1985;3342;447;181;126;78.0;0;0;225;0;0;0;0;0;0.0;1615.0
Rhenen-G0340;180;0;371;2851;564;620;1382;107;36;917;12.0;0;0;0;0;0;0;10;22;0.0;480.0
Rhoon-G0596;49;0;356;555;445;386;690;47;12;88;5.0;0;9;0;0;0;0;0;0;0.0;181.0
Ridderkerk-G0597;289;0;598;5504;1166;2889;2006;283;129;2156;76.0;0;50;0;0;0;0;0;0;0.0;1065.0
Riethoven-G0837;2;0;599;14;15;0;0;3;0;0;0.0;2;0;0;0;0;0;0;0;0.0;3.0
Rietveld-G1160;9;0;72;49;20;41;107;1;1;28;1.0;0;0;0;0;0;0;0;0;0.0;24.0
Rijnsaterwoude-G0601;1;0;160;59;16;49;66;0;0;42;0.0;0;2;0;0;0;0;0;0;0.0;30.0
Rijnsburg-G0602;38;0;97;329;51;1566;1030;8;5;135;109.0;0;8;0;0;0;0;0;0;0.0;112.0
Rijsbergen-G0841;49;0;1770;78;23;0;0;3;7;0;0.0;30;0;0;0;1;0;0;0;0.0;90.0
Rijssen-G0178;84;0;780;1297;182;898;704;30;9;3056;23.0;0;268;0;0;0;0;0;0;0.0;719.0
Rijswijk-G0603;527;0;5860;5504;4935;2242;1844;659;194;262;81.0;0;289;0;0;0;0;0;0;0.0;1601.0
Rijswijk (NB)-G0842;4;0;2;98;12;0;0;0;0;0;0.0;335;0;0;0;12;0;0;0;0.0;31.0
Rilland-Bath-G0702;35;0;240;460;148;134;366;7;5;179;6.0;0;0;0;0;0;0;0;0;0.0;98.0
Ritthem-G1163;1;0;2;48;14;58;149;0;0;45;0.0;0;0;0;0;0;0;0;0;0.0;16.0
Rockanje-G0598;112;0;22;750;530;264;109;63;77;21;2.0;0;10;0;0;0;0;0;0;0.0;270.0
Roden-G0125;160;0;57;1851;894;709;397;162;91;0;65.0;0;0;0;0;0;0;0;0;67.0;271.0
Roermond-G0957;1187;0;12317;2441;619;0;0;0;130;0;0.0;0;0;0;382;0;0;0;0;0.0;644.0
Roggel-G0958;39;0;1447;14;0;0;0;0;0;0;0.0;0;0;0;6;0;0;0;0;0.0;66.0
Rolde-G0126;79;0;24;1063;973;68;84;25;7;0;5.0;0;0;0;0;0;0;0;0;34.0;125.0
Roosendaal en Nispen-G0838;1056;0;15160;3102;540;0;0;0;141;0;0.0;606;0;0;0;75;0;0;0;0.0;1208.0
Roosteren-G0959;30;0;558;20;5;0;0;0;2;0;0.0;0;0;0;3;0;0;0;0;0.0;60.0
Rosmalen-G0839;148;0;4019;449;103;0;0;32;12;0;0.0;70;0;0;0;0;0;0;0;0.0;280.0
Rossum-G0276;20;0;417;432;60;54;251;4;0;17;2.0;0;0;10;0;0;0;0;0;0.0;82.0
Rotterdam-G0599;14814;0;56295;193891;44829;33471;24965;19207;16958;9014;1913.0;0;2622;0;0;0;0;0;556;0.0;33972.0
Rozenburg-G0600;33;0;58;594;239;506;756;32;16;54;62.0;0;2;0;0;0;0;0;0;0.0;81.0
Rozendaal-G0277;8;0;50;141;145;46;112;19;0;3;2.0;0;0;10;0;0;0;0;0;0.0;50.0
Rucphen-G0840;379;0;5951;960;76;0;0;0;42;0;0.0;77;0;0;0;38;0;0;0;0.0;343.0
Ruinen-G0127;99;0;37;1289;1016;395;286;21;6;0;5.0;0;0;0;0;0;0;0;0;21.0;222.0
Ruinerwold-G0128;36;0;4;516;642;343;143;5;1;0;30.0;0;0;0;0;0;0;0;0;11.0;66.0
Ruurlo-G0278;99;0;809;905;810;124;192;17;0;11;3.0;0;0;139;0;0;0;0;0;0.0;226.0
Ruwiel-G1164;4;0;47;27;30;72;67;3;0;95;5.0;0;0;0;0;0;0;2;0;0.0;38.0
Sas van Gent-G0704;87;0;1231;664;237;39;56;32;12;10;2.0;0;0;0;0;0;0;0;0;0.0;126.0
Sassenheim-G0604;88;0;2257;549;319;949;576;39;15;56;5.0;0;35;0;0;0;0;0;0;0.0;238.0
Schaesberg-G0960;343;0;5037;1329;79;0;0;58;142;0;0.0;0;0;0;245;0;0;0;0;0.0;283.0
Schagen-G0441;55;0;764;1032;530;113;79;112;69;4;1.0;0;13;0;0;0;6;0;0;0.0;193.0
Schaijk-G0843;23;0;1968;66;14;0;0;0;3;0;0.0;10;0;0;0;0;0;0;0;0.0;146.0
Scheemda-G0039;168;0;26;1832;390;618;685;150;349;0;19.0;0;0;0;0;0;0;0;0;0.0;231.0
Schellinkhout-G0442;3;0;19;143;104;5;6;14;0;0;0.0;0;0;0;0;0;0;0;0;0.0;25.0
Schelluinen-G0605;11;0;2;133;56;46;15;4;2;57;2.0;0;2;0;0;0;0;0;0;0.0;35.0
Schermerhorn-G0443;11;0;250;184;33;96;21;12;8;2;0.0;0;2;0;0;0;0;0;0;0.0;16.0
Scherpenisse-G0705;17;0;3;177;78;43;103;0;0;272;0.0;0;0;0;0;0;0;0;0;0.0;112.0
Scherpenzeel-G0279;26;0;24;628;159;250;670;5;4;236;3.0;0;0;29;0;0;0;0;0;0.0;138.0
Schiedam-G0606;1133;0;10826;18173;3534;3486;3683;1442;1504;663;376.0;0;227;0;0;0;0;0;0;0.0;2456.0
Schiermonnikoog-G0088;6;0;10;146;69;145;43;14;6;1;2.0;0;0;0;0;0;0;0;0;0.0;40.0
Schijndel-G0844;117;0;5983;491;46;0;0;18;25;0;0.0;39;0;0;0;0;0;0;0;0.0;215.0
Schimmert-G0961;40;0;1164;27;4;0;0;0;0;0;0.0;0;0;0;2;0;0;0;0;0.0;39.0
Schinnen-G0962;100;0;2313;185;17;0;0;0;20;0;0.0;0;0;0;17;0;0;0;0;0.0;142.0
Schinveld-G0963;60;0;1842;154;16;0;0;0;27;0;0.0;0;0;0;26;0;0;0;0;0.0;89.0
Schipluiden-G0607;25;0;1668;180;87;470;481;15;4;52;4.0;0;5;0;0;0;0;0;0;0.0;109.0
Schoondijke-G0706;44;0;225;351;218;167;87;4;5;22;10.0;0;0;0;0;0;0;0;0;0.0;90.0
Schoonebeek-G0129;53;0;1154;602;194;468;707;14;26;0;6.0;0;0;0;0;0;0;0;0;5.0;115.0
Schoonhoven-G0608;74;0;590;1101;354;659;328;32;11;256;6.0;0;23;0;0;0;0;0;0;0.0;189.0
Schoonrewoerd-G0609;9;0;4;108;36;177;104;2;2;156;0.0;0;0;0;0;0;0;0;0;0.0;45.0
Schoorl-G0444;28;0;619;754;388;55;36;151;40;3;0.0;0;23;0;0;0;4;0;0;0.0;178.0
Serooskerke (Walcheren)-G1176;4;0;0;23;23;508;202;0;0;105;24.0;0;0;0;0;0;0;0;0;0.0;50.0
Sevenum-G0964;16;0;2149;19;0;0;0;0;0;0;0.0;0;0;0;2;0;0;0;0;0.0;121.0
's-Graveland-G0390;44;0;178;177;125;172;211;27;16;65;8.0;0;11;0;0;0;4;0;0;0.0;79.0
's-Gravendeel-G0517;44;0;13;1139;346;652;604;18;10;243;3.0;0;33;0;0;0;0;0;0;0.0;200.0
's-Gravenhage-G0518;12306;0;65661;122332;59446;27508;25013;13195;9414;4743;883.0;0;5595;0;0;0;0;0;0;0.0;29501.0
's-Gravenmoer-G0787;18;0;33;69;24;0;0;0;2;0;0.0;640;0;0;0;13;0;0;0;0.0;58.0
's-Gravenpolder-G0666;10;0;64;84;22;100;205;7;1;273;3.0;0;0;0;0;0;0;0;0;0.0;50.0
's-Gravenzande-G0519;87;0;428;1211;631;1164;1347;24;13;377;11.0;0;18;0;0;0;0;0;0;0.0;204.0
's-Heer Abtskerke-G0669;1;0;33;24;35;9;102;0;0;14;0.0;0;0;0;0;0;0;0;0;0.0;21.0
's-Heer Arendskerke-G0670;41;0;551;387;157;573;739;16;3;167;12.0;0;0;0;0;0;0;0;0;0.0;158.0
's-Heerenhoek-G0671;7;0;746;26;3;8;9;0;1;0;0.0;0;0;0;0;0;0;0;0;0.0;34.0
's-Hertogenbosch-G0796;1213;0;23510;8469;1318;0;0;434;330;0;0.0;1417;0;0;0;0;0;0;0;0.0;2676.0
Sijbekarspel-G0447;10;0;318;218;120;9;4;33;2;0;0.0;0;0;0;0;0;0;0;0;0.0;27.0
Simpelveld-G0965;84;0;2308;116;20;0;0;0;9;0;0.0;0;0;0;9;0;0;0;0;0.0;110.0
Sint Annaland-G0708;58;0;18;330;128;234;88;0;0;624;0.0;0;0;0;0;0;0;0;0;0.0;239.0
Sint Geertruid-G0966;9;0;560;11;1;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;24.0
Sint Jansteen-G0709;92;0;1451;210;43;16;25;3;10;9;2.0;0;0;0;0;0;0;0;0;0.0;147.0
Sint Laurens-G1179;11;0;12;107;77;338;242;5;4;94;9.0;0;0;0;0;0;0;0;0;0.0;57.0
Sint Maarten-G0445;6;0;167;231;86;138;4;38;17;1;6.0;0;1;0;0;0;0;0;0;0.0;25.0
Sint Maartensdijk-G0711;53;0;12;598;185;81;156;0;0;402;0.0;0;0;0;0;0;0;0;0;0.0;156.0
Sint Odiliënberg-G0967;39;0;836;44;6;0;0;0;3;0;0.0;0;0;0;11;0;0;0;0;0.0;31.0
Sint Pancras-G0446;17;0;38;279;130;191;249;35;16;13;0.0;0;11;0;0;0;4;0;0;0.0;86.0
Sint Philipsland-G0712;9;0;7;147;65;137;160;0;0;643;0.0;0;0;0;0;0;0;0;0;0.0;139.0
Sint-Michielsgestel-G0845;151;0;3298;378;107;0;0;31;14;0;0.0;78;0;0;0;0;0;0;0;0.0;239.0
Sint-Oedenrode-G0846;81;0;4800;281;57;0;0;15;28;0;0.0;35;0;0;0;2;0;0;0;0.0;276.0
Sittard-G0968;815;0;11061;2115;441;0;0;0;151;0;0.0;0;0;0;374;0;0;0;0;0.0;866.0
Sleen-G0130;143;0;37;1729;750;483;358;43;195;0;4.0;0;0;0;0;0;0;0;0;22.0;206.0
Slenaken-G0969;15;0;216;42;4;0;0;0;0;0;0.0;0;0;0;3;0;0;0;0;0.0;12.0
Sliedrecht-G0610;237;0;117;4003;700;1056;998;264;126;1667;67.0;0;29;0;0;0;0;0;0;0.0;888.0
Slochteren-G0040;379;0;72;3183;1287;1119;783;301;128;0;432.0;0;0;0;0;0;0;0;0;0.0;420.0
Sloten (F)-G0089;2;0;64;86;14;83;130;6;2;7;0.0;0;0;0;0;0;0;0;0;0.0;23.0
Sluis-G0713;75;0;671;311;117;36;141;10;5;6;2.0;0;0;0;0;0;0;0;0;0.0;97.0
Smallingerland-G0090;275;0;315;5766;988;4332;1292;575;540;77;515.0;0;0;0;0;0;0;0;0;0.0;598.0
Smilde-G0131;68;0;19;1316;339;1006;886;37;22;0;66.0;0;0;0;0;0;0;0;0;20.0;114.0
Sneek-G0091;286;0;1470;3858;994;2186;1892;338;330;32;33.0;0;0;0;0;0;0;0;0;0.0;857.0
Snelrewaard-G0341;2;0;191;12;19;42;28;1;0;40;0.0;0;0;0;0;0;0;0;0;0.0;13.0
Soest-G0342;524;0;4609;3479;2387;1925;1255;437;133;269;39.0;0;0;0;0;0;0;104;44;0.0;1300.0
Someren-G0847;107;0;4794;134;25;0;0;11;11;0;0.0;93;0;0;0;0;0;0;0;0.0;244.0
Sommelsdijk-G1184;35;0;24;619;222;504;108;5;9;517;0.0;0;4;0;0;0;0;0;0;0.0;179.0
Son en Breugel-G0848;58;0;2589;284;301;0;0;17;7;0;0.0;136;0;0;0;4;0;0;0;0.0;134.0
Spaubeek-G0970;46;0;997;34;15;0;0;0;2;0;0.0;0;0;0;13;0;0;0;0;0.0;51.0
Spijkenisse-G0612;104;0;349;1807;432;550;503;127;27;99;9.0;0;16;0;0;0;0;0;0;0.0;239.0
Sprang-Capelle-G0849;57;0;183;627;151;0;0;0;0;0;0.0;2044;0;0;0;246;0;0;0;0.0;252.0
Stad aan 't Haringvliet-G1188;11;0;3;179;99;219;72;2;2;104;1.0;0;0;0;0;0;0;0;0;0.0;74.0
Stad Delden-G0179;39;0;1447;469;336;120;135;32;6;6;4.0;0;0;0;0;0;0;0;0;0.0;176.0
Standdaarbuiten-G0850;13;0;1074;26;5;0;0;0;1;0;0.0;25;0;0;0;1;0;0;0;0.0;48.0
Staphorst-G0180;75;0;18;620;445;1183;470;19;10;1532;350.0;0;0;0;0;0;0;0;0;0.0;338.0
Stavenisse-G0714;34;0;7;181;82;63;43;0;0;358;0.0;0;0;0;0;0;0;0;0;0.0;181.0
Stavoren-G0092;4;0;2;113;27;139;215;9;1;4;0.0;0;0;0;0;0;0;0;0;0.0;37.0
Stedum-G0041;18;0;2;299;120;449;270;16;9;0;48.0;0;0;0;0;0;0;0;0;0.0;62.0
Steenbergen-G0851;289;0;5025;515;209;0;0;0;34;0;0.0;189;0;0;0;24;0;0;0;0.0;343.0
Steenderen-G0280;25;0;1026;368;160;243;360;1;5;13;0.0;0;0;37;0;0;0;0;0;0.0;105.0
Steenwijk-G0181;137;0;379;2586;569;744;1054;102;97;39;92.0;0;6;0;0;0;0;0;0;0.0;333.0
Steenwijkerwold-G0182;86;0;694;1516;302;320;1115;40;45;33;62.0;0;6;0;0;0;0;0;0;0.0;263.0
Stein-G0971;253;0;3331;435;39;0;0;0;34;0;0.0;0;0;0;75;0;0;0;0;0.0;219.0
Stellendam-G1195;17;0;4;332;86;270;181;1;1;133;1.0;0;1;0;0;0;0;0;0;0.0;99.0
Stevensweert-G0972;21;0;685;32;7;0;0;0;5;0;0.0;0;0;0;4;0;0;0;0;0.0;52.0
Stiphout-G1196;31;0;993;71;20;0;0;7;4;0;0.0;13;0;0;0;0;0;0;0;0.0;46.0
Stolwijk-G0615;46;0;23;635;421;223;56;36;16;273;1.0;0;21;0;0;0;0;0;0;0.0;138.0
Stoutenburg-G0343;15;0;847;71;11;50;129;0;3;55;2.0;0;0;0;0;0;0;0;1;0.0;42.0
Stramproy-G0973;27;0;1190;23;0;0;0;0;5;0;0.0;0;0;0;3;0;0;0;0;0.0;62.0
Streefkerk-G0616;15;0;2;215;102;217;155;5;3;194;2.0;0;13;0;0;0;0;0;0;0.0;111.0
Strijen-G0617;71;0;20;1141;482;398;512;57;23;278;3.0;0;23;0;0;0;0;0;0;0.0;205.0
Susteren-G0974;145;0;2557;162;33;0;0;0;27;0;0.0;0;0;0;14;0;0;0;0;0.0;165.0
Swalmen-G0975;210;0;3199;185;41;0;0;0;18;0;0.0;0;0;0;40;0;0;0;0;0.0;203.0
't Zandt-G0054;23;0;1;695;271;451;196;11;10;0;21.0;0;0;0;0;0;0;0;0;0.0;83.0
Tegelen-G0976;342;0;7004;592;77;0;0;0;31;0;0.0;0;0;0;56;0;0;0;0;0.0;490.0
Ten Boer-G0009;80;0;17;937;390;935;213;64;53;0;264.0;0;0;0;0;0;0;0;0;0.0;181.0
Ter Aar-G0480;24;0;1553;93;67;273;363;9;5;67;6.0;0;10;0;0;0;0;0;0;0.0;100.0
Terheijden-G0853;76;0;2303;190;23;0;0;0;9;0;0.0;30;0;0;0;6;0;0;0;0.0;103.0
Termunten-G0042;97;0;11;949;281;604;182;63;250;0;9.0;0;0;0;0;0;0;0;0;0.0;510.0
Terneuzen-G0715;245;0;2024;3085;705;715;1288;77;44;664;150.0;0;0;0;0;0;0;0;0;0.0;748.0
Terschelling-G0093;44;0;24;963;373;211;398;46;7;3;0.0;0;0;0;0;0;0;0;0;0.0;328.0
Teteringen-G0854;19;0;1122;118;36;0;0;4;1;0;0.0;28;0;0;0;0;0;0;0;0.0;133.0
