RegioNaam;@invalid;@blank;CDA;PvdA;VVD;SP;LPF;GL;D66;CU;SGP;PvdD;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen;@abs
Edam-Volendam-G0385;;5;7757;2392;3579;595;1926;520;462;90;9;71.0;78;16;30;6.0;9;;;3.0;;3680
Ede-G0228;;61;23170;10988;10755;2301;2563;2796;1934;3978;6054;192.0;167;54;44;26.0;11;16.0;;13.0;;11024
Eemnes-G0317;;9;1724;1071;1477;265;265;273;319;92;36;32.0;15;8;13;0.0;1;0.0;0.0;0.0;;701
Eemsmond-G1651;;8;2944;3971;1166;645;300;419;225;901;55;48.0;32;36;9;0.0;14;;;2.0;;1996
Eersel-G0770;;11;5402;1801;2112;717;542;368;406;32;1;40.0;75;29;5;1.0;3;4.0;1.0;3.0;;2083
Eibergen-G0229;;7;5045;2802;1358;550;360;401;267;48;9;49.0;39;16;7;1.0;6;5.0;;1.0;;1584
Eijsden-G0905;;6;3208;1935;1036;349;298;319;200;7;4;32.0;20;8;11;1.0;3;3.0;;;;1529
Eindhoven-G0772;;163;29476;31424;20320;11806;6818;7202;5641;1034;96;629.0;519;564;66;189.0;45;46.0;19.0;20.0;;39732
Elburg-G0230;;10;5863;1904;1670;345;440;270;200;1408;1719;34.0;30;14;10;1.0;3;1.0;;1.0;;2082
Emmen-G0114;;50;16715;29063;7269;3798;2344;2266;1789;1246;79;236.0;232;106;53;10.0;33;10.0;;;;17734
Enkhuizen-G0388;;16;2385;3158;2200;711;562;565;457;163;140;63.0;51;9;9;8.0;2;;;1.0;;2383
Enschede-G0153;;111;19174;33106;13545;5650;3316;4936;3592;2646;146;;282;143;74;;84;29.0;;;;26491
Epe-G0232;;7;6883;6166;4105;725;936;711;600;538;612;132.0;82;27;15;6.0;7;9.0;;0.0;;4227
Ermelo-G0233;;13;7605;2069;2646;653;657;652;419;1311;713;69.0;31;12;6;4.0;1;2.0;;3.0;;2899
Etten-Leur-G0777;;28;6876;5839;4634;1474;1291;947;883;114;15;76.0;106;54;29;35.0;6;8.0;2.0;5.0;;6848
Ferwerderadiel-G1722;;4;2654;1263;578;300;235;210;97;248;12;26.0;35;6;4;1.0;1;;;2.0;;1101
Franekeradeel-G0070;;7;4528;4087;1509;720;449;509;296;351;24;48.0;65;31;18;1.0;9;;;3.0;;2875
Gaasterlân-Sleat-G0653;;4;3100;1289;943;301;284;277;151;133;107;39.0;99;8;3;0.0;3;;;1.0;;998
Geertruidenberg-G0779;;15;3737;3629;2369;903;735;440;392;35;29;61.0;80;29;18;4.0;5;5.0;1.0;1.0;;3794
Geldermalsen-G0236;;13;5123;3659;3272;567;992;502;492;214;1207;69.0;66;29;12;0.0;4;;;;;2566
Geldrop-G0781;;20;5389;3875;2881;1509;1064;849;658;139;11;77.0;105;67;22;7.0;4;4.0;0.0;0.0;;4469
Gemert-Bakel-G1652;;22;7275;3510;2392;1371;858;481;367;23;7;69.0;79;63;12;2.0;6;8.0;3.0;4.0;;4336
Gendringen-G0237;;8;5730;3449;1508;667;487;401;250;47;6;40.0;37;27;11;10.0;3;2.0;;3.0;;2914
Gennep-G0907;;17;3748;2412;1352;729;509;392;382;28;6;25.0;38;19;5;6.0;1;1.0;;;;3078
Giessenlanden-G0689;;10;3327;2064;1923;346;457;221;255;574;394;31.0;20;14;11;0.0;5;6.0;1.0;0.0;3.0;1048
Gilze en Rijen-G0784;;19;5076;3917;2669;1087;863;592;595;43;7;59.0;81;39;18;25.0;3;6.0;2.0;4.0;;3476
Goedereede-G0511;;6;2710;1121;1182;185;393;100;139;300;1619;29.0;20;5;8;1.0;1;0.0;3.0;0.0;3.0;971
Goes-G0664;;11;7063;5429;3414;1208;835;1179;683;671;1434;127.0;65;42;27;12.0;9;;;;;5514
Goirle-G0785;;12;4572;3503;2656;1223;632;672;601;21;2;41.0;61;29;18;5.0;4;4.0;3.0;1.0;;3117
Gorinchem-G0512;;23;4309;6241;3633;1152;1181;793;770;627;318;86.0;76;25;7;24.0;8;5.0;1.0;2.0;0.0;5439
Gorssel-G0239;;8;2931;2300;2321;440;267;421;441;77;6;34.0;28;11;3;1.0;1;1.0;;1.0;;1229
Gouda-G0513;;65;9708;11765;7250;2413;3622;2621;2006;1425;1379;242.0;149;32;59;8.0;15;16.0;6.0;8.0;;9009
Graafstroom-G0693;;3;2653;699;729;136;179;109;74;514;984;17.0;14;4;3;0.0;0;4.0;0.0;0.0;2.0;666
Graft-De Rijp-G0365;;0;1248;946;1048;258;203;201;218;8;3;34.0;22;4;1;0.0;1;;;2.0;;517
Grave-G0786;;5;2715;1697;1432;749;393;357;274;30;4;40.0;20;10;8;1.0;3;1.0;0.0;1.0;;1593
Groenlo-G0240;;6;2919;1442;798;356;179;176;145;11;6;21.0;19;13;4;0.0;0;0.0;;0.0;;1275
Groesbeek-G0241;;6;3969;3949;1439;930;566;610;342;32;6;31.0;41;25;4;4.0;2;;;;;2786
Groningen-G0014;;124;15363;45615;16208;12031;3194;11850;7134;4349;192;542.0;273;110;88;21.0;174;;;11.0;;26767
Grootegast-G0015;;4;3349;1568;727;307;263;200;137;609;70;29.0;18;7;6;1.0;4;;;1.0;;1485
Gulpen-Wittem-G1729;;9;4621;2295;1074;502;464;413;238;30;4;37.0;32;9;7;1.0;2;5.0;;;;1987
Haaksbergen-G0158;;19;7341;3424;2475;616;550;453;479;59;7;;40;25;9;;6;6.0;;;;2735
Haaren-G0788;;6;4000;1554;1517;426;333;321;284;27;4;21.0;38;18;8;0.0;5;5.0;0.0;0.0;;1880
Haarlem-G0392;;91;16298;27428;16344;7229;4886;7257;5702;976;128;785.0;350;123;113;72.0;58;32.0;;16.0;;24212
Haarlemmerliede en Spaarnwoude-G0393;;4;1057;691;912;174;226;177;236;21;4;22.0;11;3;4;0.0;2;2.0;;0.0;;550
Haarlemmermeer-G0394;;68;20218;15273;20617;3367;4868;3328;3670;1093;499;424.0;367;86;73;18.0;37;31.0;;21.0;;15631
Haelen-G0914;;11;2560;1267;1032;301;310;211;222;8;4;50.0;24;10;2;2.0;0;1.0;;;;1715
Halderberge-G1655;;16;6117;4170;3393;1009;1305;544;529;75;11;62.0;81;39;19;6.0;3;7.0;0.0;4.0;;5275
Hardenberg-G0160;;18;15805;8465;3884;1277;1205;882;642;3941;367;;119;49;20;;8;3.0;;;;5768
Harderwijk-G0243;;16;9724;4412;4412;980;1084;1087;767;1547;523;83.0;85;30;19;45.0;6;6.0;;2.0;;4938
Hardinxveld-Giessendam-G0523;;8;3782;2096;1272;297;502;161;147;1318;1822;32.0;28;7;4;2.0;3;3.0;0.0;1.0;0.0;1551
Haren-G0017;;6;3075;3656;3050;484;328;875;897;544;49;34.0;15;5;6;0.0;4;;;1.0;;1422
Harenkarspel-G0395;;3;3405;2074;2197;491;534;490;451;49;3;49.0;51;16;4;2.0;4;;;0.0;;1815
Harlingen-G0072;;5;2254;3511;1369;654;431;460;281;280;8;38.0;63;14;12;2.0;5;;;1.0;;2250
Hattem-G0244;;5;2692;2161;1043;228;186;209;221;984;92;29.0;19;8;1;0.0;1;1.0;;0.0;;1012
Heel-G1937;;10;2007;1085;809;286;212;139;162;3;2;40.0;24;4;0;1.0;1;0.0;;;;1608
Heemskerk-G0396;;17;6176;6046;3993;1292;1399;1287;873;183;28;121.0;125;26;25;13.0;14;4.0;;3.0;;5147
Heemstede-G0397;;10;4479;3152;5551;713;660;965;1376;131;20;95.0;38;10;15;0.0;3;2.0;;2.0;;2240
Heerde-G0246;;6;4846;3213;1412;324;391;261;234;915;277;59.0;26;18;0;0.0;3;1.0;;3.0;;1854
Heerenveen-G0074;;24;5602;10677;4008;1610;892;1177;885;688;33;107.0;169;35;22;1.0;23;;;7.0;;6223
Heerhugowaard-G0398;;26;7536;7345;6245;1518;1510;1425;1246;326;22;144.0;203;46;21;15.0;13;;;7.0;;6723
Heerlen-G0917;;53;13886;15369;5385;7162;3046;2334;1358;280;45;325.0;283;79;65;10.0;23;31.0;;;;22761
Heeze-Leende-G1658;;10;4307;1846;1936;503;423;319;403;12;7;25.0;66;35;4;0.0;2;0.0;0.0;1.0;;1768
Heiloo-G0399;;17;4205;3439;3817;670;653;872;918;106;5;72.0;49;16;21;3.0;30;;;4.0;;2035
Helden-G0918;;7;5664;2009;1701;598;564;426;253;21;4;44.0;64;14;3;1.0;1;6.0;;;;3081
Hellendoorn-G0163;;16;13019;4730;2490;874;724;693;493;808;93;;68;31;6;;6;7.0;;;;3552
Hellevoetsluis-G0530;;59;4032;6318;5775;1309;2553;919;853;250;82;161.0;144;26;38;4.0;10;13.0;3.0;3.0;9.0;6964
Helmond-G0794;;64;12194;12457;7909;4348;3354;1674;1362;201;13;260.0;256;138;50;9.0;28;20.0;6.0;10.0;;16778
Hendrik-Ido-Ambacht-G0531;;6;3912;2724;2563;428;967;309;417;453;1651;70.0;52;6;14;2.0;3;7.0;0.0;0.0;3.0;2244
Hengelo-G0248;;9;2700;1320;804;170;222;116;126;30;4;15.0;19;20;2;0.0;0;0.0;;0.0;;977
Hengelo-G0164;;65;15225;15446;7930;3905;1826;2590;2104;876;47;;172;76;38;;16;23.0;;;;10576
Het Bildt-G0063;;4;2390;2056;767;453;306;235;121;119;10;40.0;35;6;14;0.0;5;;;0.0;;1404
Heumen-G0252;;14;3672;2623;1944;625;379;707;551;23;2;41.0;40;13;4;0.0;2;;;;;1536
Heusden-G0797;;20;9443;5865;4824;1859;1479;927;947;125;50;83.0;126;84;29;11.0;5;4.0;4.0;6.0;;6098
Heythuysen-G0920;;12;3551;1236;1114;377;352;239;224;25;2;43.0;25;7;4;0.0;1;1.0;;;;1821
Hillegom-G0534;;11;4349;2475;3060;640;877;564;544;101;67;78.0;73;24;17;0.0;2;1.0;0.0;3.0;;2620
Hilvarenbeek-G0798;;12;4313;1872;1619;603;346;345;284;6;2;14.0;27;22;7;6.0;1;4.0;0.0;0.0;;1651
Hilversum-G0402;;40;11466;13913;11588;3715;2689;3346;3176;906;263;337.0;184;48;69;25.0;18;24.0;;8.0;;11651
Hof van Twente-G1735;;14;9478;5942;4652;886;745;654;710;167;31;;82;47;12;;6;10.0;;;;3315
Hoogeveen-G0118;;24;12257;10100;3719;1591;1307;1057;726;1594;343;106.0;142;33;19;1.0;8;5.0;;;;7670
Hoogezand-Sappemeer-G0018;;14;2984;9421;2727;1385;782;858;629;645;32;95.0;85;25;18;32.0;30;;;5.0;;5829
Hoorn-G0405;;53;8308;12233;8280;3137;2434;2375;2076;327;30;248.0;200;49;55;27.0;28;;;3.0;;10081
Horst aan de Maas-G1507;;9;8763;2788;2332;1343;664;478;404;31;13;56.0;82;24;15;6.0;7;5.0;;;;4231
Houten-G0321;;23;6958;5548;5210;1321;1092;1533;1373;821;498;95.0;91;21;20;5.0;8;1.0;4.0;2.0;;4009
Huizen-G0406;;37;7833;5533;6221;1215;1230;1313;1326;985;444;175.0;111;29;23;6.0;8;3.0;;3.0;;4363
Hulst-G0677;;8;6104;4300;2355;778;926;537;412;57;13;63.0;51;9;11;1.0;3;;;;;4349
Hummelo en Keppel-G0256;;0;1118;757;732;125;101;107;143;12;8;14.0;7;9;0;2.0;1;0.0;;0.0;;408
Hunsel-G0925;;5;1844;690;520;198;143;111;82;2;2;25.0;16;6;3;0.0;1;1.0;;;;888
IJsselstein-G0353;;24;5291;4815;4548;1064;1063;892;957;276;235;84.0;114;43;9;6.0;5;12.0;4.0;4.0;;4464
Jacobswoude-G0645;;8;2813;1086;1580;303;475;239;318;63;57;46.0;27;13;6;1.0;0;3.0;1.0;1.0;;1016
Kampen-G0166;;31;11702;6541;2619;1248;935;1147;546;3148;2487;;84;30;17;;7;3.0;;;;4934
Kapelle-G0678;;5;2969;1361;1153;238;325;237;190;248;689;29.0;19;6;10;0.0;0;;;;;1107
Katwijk-G0537;;21;12180;3061;2867;686;1165;544;457;1436;2410;113.0;83;17;14;23.0;4;2.0;2.0;2.0;;5473
Kerkrade-G0928;;24;7516;8836;2614;2305;1610;913;428;78;10;161.0;184;29;45;10.0;13;12.0;;;;11805
Kessel-G0929;;11;1354;496;409;91;130;65;53;5;2;9.0;19;10;0;0.0;1;0.0;;;;550
Kesteren-G0258;;9;3606;3564;1682;327;506;210;235;401;3072;48.0;23;18;11;2.0;1;;;;;1949
Kollumerland en Nieuwkruisland-G0079;;19;3955;1961;682;379;319;239;138;376;77;41.0;44;14;7;0.0;6;;;2.0;;1687
Korendijk-G0588;;6;1932;1362;1230;254;525;162;190;157;1078;52.0;24;6;7;0.0;1;16.0;0.0;1.0;1.0;1160
Krimpen aan den IJssel-G0542;;20;4335;4441;3373;686;1568;569;637;827;2133;89.0;55;18;23;3.0;2;4.0;5.0;1.0;;3097
Laarbeek-G1659;;9;5525;2962;2128;1002;744;429;369;24;5;66.0;65;48;7;1.0;4;5.0;1.0;4.0;;2906
Landerd-G1685;;7;4372;1766;1353;957;373;231;208;15;4;29.0;43;18;6;0.0;3;3.0;1.0;0.0;;1583
Landgraaf-G0882;;19;7021;7064;2564;2389;1184;939;604;87;16;144.0;115;35;22;3.0;12;8.0;;;;8393
Landsmeer-G0415;;6;1119;2028;1821;377;557;339;402;36;14;41.0;30;1;1;0.0;4;;;0.0;;1137
Langedijk-G0416;;15;4846;3420;3660;833;748;833;822;285;19;68.0;80;19;10;4.0;7;;;3.0;;2701
Laren-G0417;;4;2090;1220;2796;276;293;298;445;24;2;41.0;13;4;5;1.0;0;1.0;;1.0;;1086
Leek-G0022;;5;3220;4057;1757;650;449;525;367;838;59;41.0;50;18;5;0.0;4;;;1.0;;2157
Leerdam-G0545;;16;3725;3249;1932;549;779;425;350;533;780;57.0;33;18;7;47.0;3;7.0;0.0;0.0;1.0;2699
Leersum-G0326;;4;1488;947;1238;152;231;263;212;89;198;18.0;8;5;3;0.0;0;1.0;0.0;2.0;;662
Leeuwarden-G0080;;47;11161;23252;7046;5184;2186;3848;2222;1397;74;297.0;224;64;49;47.0;19;;;4.0;;13878
Leeuwarderadeel-G0081;;7;2119;2574;944;369;217;267;199;137;4;26.0;42;14;1;0.0;2;;;0.0;;872
Leiden-G0546;;119;10960;22285;12647;5559;4266;7115;5941;832;183;438.0;196;69;55;30.0;25;16.0;8.0;13.0;;17679
Leiderdorp-G0547;;24;4305;3992;3964;784;948;933;1095;204;120;61.0;63;18;11;10.0;2;2.0;4.0;1.0;;2992
Leidschendam-Voorburg-G1916;;58;13073;9791;11592;2308;3427;2351;2700;427;131;362.0;169;35;58;19.0;18;16.0;11.0;8.0;;9645
Lelystad-G0995;;50;6918;11173;7947;2577;3053;2163;1573;815;148;285.0;242;52;59;23.0;29;;;15.0;;12791
Lemsterland-G0082;;3;2623;2360;1320;456;454;256;205;170;34;36.0;50;10;3;3.0;90;;;1.0;;1701
Leusden-G0327;;12;6032;3706;4452;808;678;976;1035;737;229;50.0;54;18;8;1.0;6;3.0;1.0;2.0;;2476
Lichtenvoorde-G0260;;10;6143;2418;1806;635;392;375;311;20;2;25.0;45;27;3;0.0;2;11.0;;2.0;;1991
Liemeer-G1673;;3;1820;508;843;157;267;110;110;75;45;15.0;10;19;3;0.0;0;1.0;0.0;0.0;;841
Liesveld-G0694;;3;2341;1065;986;189;289;112;115;504;663;23.0;24;5;2;0.0;2;4.0;0.0;0.0;1.0;631
Lingewaal-G0733;;3;2375;1708;1215;206;469;178;182;272;266;19.0;31;8;3;1.0;3;;;;;1007
Lingewaard-G1705;;19;9885;7074;4630;1460;1080;1107;1108;94;15;109.0;92;28;28;1.0;7;3.0;;1.0;;5653
Lisse-G0553;;8;5429;2177;2991;584;871;477;565;241;593;64.0;61;12;8;1.0;2;3.0;0.0;0.0;;2397
Lith-G0808;;13;1776;753;670;467;242;99;100;12;0;7.0;25;14;6;2.0;1;3.0;1.0;1.0;;785
