RegioNaam;@invalid;@blank;CDA;PvdA;VVD;SP;LPF;GL;D66;CU;SGP;PvdD;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen;@abs
Montfoort-G0335;;5;3298;1350;1611;301;647;366;329;282;396;29.0;32;7;5;3.0;4;3.0;0.0;0.0;;1063
Mook en Middelaar-G0944;;4;1672;1230;1038;325;218;324;275;9;2;22.0;24;5;1;0.0;0;2.0;;;;879
Moordrecht-G0563;;4;1286;1157;1015;188;382;168;191;108;185;35.0;25;7;3;2.0;0;7.0;2.0;0.0;;971
Muiden-G0424;;2;998;1123;1176;223;212;220;362;30;7;21.0;13;11;3;0.0;0;0.0;;0.0;;544
Naaldwijk-G0565;;14;8532;2187;3891;456;1643;405;440;256;147;78.0;93;15;17;1.0;4;6.0;5.0;2.0;1.0;3092
Naarden-G0425;;2;2611;2111;3738;425;457;543;811;98;59;59.0;23;8;6;0.0;2;0.0;;0.0;;1485
Nederlek-G0643;;10;2289;2762;2111;407;786;300;341;193;551;60.0;32;12;11;0.0;3;2.0;1.0;1.0;;1400
Nederweert-G0946;;14;4576;2039;1646;462;555;243;180;7;1;31.0;41;15;4;2.0;8;6.0;;;;2473
Neede-G0266;;3;2519;2579;1206;300;313;227;200;124;5;28.0;27;13;1;0.0;3;1.0;;0.0;;1097
Neerijnen-G0304;;15;2212;1852;1360;232;381;171;157;134;734;32.0;21;13;3;0.0;2;;;;;1161
Niedorp-G0412;;4;1848;2020;1662;413;460;292;321;23;3;28.0;68;9;7;3.0;2;;;2.0;;1401
Nieuwegein-G0356;;44;9217;10629;7758;2449;2384;2083;1747;504;134;231.0;197;45;27;9.0;11;18.0;11.0;5.0;;9718
Nieuwerkerk aan den IJssel-G0567;;18;3761;2671;3513;539;1128;462;607;577;415;68.0;57;19;15;1.0;2;9.0;5.0;1.0;;2349
Nieuwkoop-G0569;;4;2574;1186;1567;297;385;269;343;152;95;25.0;17;5;4;2.0;1;2.0;0.0;0.0;;1301
Nieuw-Lekkerland-G0571;;3;1415;1288;525;181;272;112;77;567;1276;21.0;23;7;1;0.0;3;5.0;0.0;2.0;0.0;705
Nijefurd-G0104;;5;3128;1729;949;386;280;327;169;155;11;25.0;78;11;8;0.0;5;;;0.0;;1075
Nijkerk-G0267;;15;9562;3926;4076;713;1032;759;690;1423;1338;62.0;54;31;14;3.0;6;9.0;;4.0;;3984
Nijmegen-G0268;;152;17714;30228;11244;11412;3561;11462;5235;562;50;414.0;271;139;82;240.0;47;;;;;27313
Noord-Beveland-G1695;;5;1659;1050;887;263;258;147;103;81;194;26.0;15;3;3;0.0;0;;;;;894
Noordenveld-G1699;;15;4096;7772;4252;962;875;1081;975;485;45;94.0;69;28;16;5.0;7;3.0;;;;3462
Noorder-Koggenland-G0529;;7;1704;1601;1670;402;458;324;287;99;72;49.0;38;8;8;0.0;2;;;1.0;;1163
Noordoostpolder-G0171;;11;11344;5657;4044;1098;1187;922;749;1531;541;89.0;90;27;23;17.0;12;;;9.0;;4773
Noordwijk-G0575;;29;4987;2869;4011;700;1001;673;613;151;32;78.0;61;18;16;0.0;8;3.0;2.0;7.0;;3274
Noordwijkerhout-G0576;;12;3714;1474;2211;438;638;369;348;39;8;49.0;43;14;8;1.0;6;2.0;0.0;4.0;;1788
Nuenen, Gerwen en Nederwetten-G0820;;11;5464;3004;3463;874;741;687;789;65;9;45.0;66;53;10;0.0;2;2.0;0.0;0.0;;2289
Nunspeet-G0302;;14;6919;1732;2121;370;668;311;309;1446;3116;48.0;28;13;13;2.0;4;7.0;;2.0;;2145
Nuth-G0951;;10;4693;2587;1319;575;503;422;240;30;6;54.0;41;7;9;2.0;2;5.0;;;;2247
Obdam-G0429;;2;1757;746;933;177;181;160;160;16;3;28.0;36;9;3;0.0;1;;;1.0;;667
Oegstgeest-G0579;;16;3381;2684;3895;498;529;834;1139;205;30;76.0;38;5;5;2.0;2;3.0;1.0;5.0;;1687
Oirschot-G0823;;22;5428;2075;1878;628;539;282;274;11;7;33.0;31;39;2;2.0;1;0.0;3.0;1.0;;2193
Oisterwijk-G0824;;7;6290;3389;3247;1034;643;657;631;52;8;42.0;60;19;22;0.0;0;7.0;0.0;3.0;;3294
Oldebroek-G0269;;5;5888;2389;1181;315;450;187;167;1847;1655;26.0;25;15;3;1.0;1;3.0;;0.0;;2559
Oldenzaal-G0173;;32;8278;5169;3195;1171;696;859;650;72;5;;56;27;4;;7;3.0;;;;3596
Olst-Wijhe-G1773;;8;4151;3436;1619;463;356;467;299;113;38;;38;17;7;;6;3.0;;;;1738
Ommen-G0175;;10;5527;1771;1454;365;333;308;288;1127;107;;23;12;3;;5;3.0;;;;1467
Onderbanken-G0881;;7;1964;1384;611;364;271;190;111;19;1;30.0;18;7;4;1.0;1;1.0;;;;1381
Oosterhout-G0826;;34;8916;8601;6678;2144;1818;1303;1367;110;14;152.0;143;55;34;82.0;6;4.0;2.0;6.0;;8483
Oostflakkee-G0580;;7;1980;1836;859;236;415;132;151;250;496;43.0;33;2;4;1.0;1;4.0;1.0;0.0;1.0;1407
Ooststellingwerf-G0085;;29;4420;6467;2418;914;703;762;409;417;60;90.0;88;28;12;3.0;8;;;4.0;;3392
Oostzaan-G0431;;6;991;1660;1603;318;503;305;273;53;17;48.0;40;3;9;0.0;3;;;1.0;;1067
Opmeer-G0432;;5;2783;1395;1517;313;394;263;240;26;7;28.0;41;15;5;0.0;1;;;4.0;;1235
Opsterland-G0086;;9;4864;6748;2471;1096;610;873;527;964;107;38.0;96;28;13;1.0;28;;;1.0;;3235
Oss-G0828;;43;13103;9551;7277;9167;1797;1465;1466;134;22;149.0;175;97;25;217.0;12;16.0;3.0;4.0;;12338
Oud-Beijerland-G0584;;13;3996;3164;3047;580;1042;495;545;392;1130;81.0;69;9;24;0.0;3;7.0;0.0;0.0;5.0;2639
Ouder-Amstel-G0437;;7;2302;1932;2081;431;431;456;595;66;47;54.0;25;10;5;0.0;0;3.0;;1.0;;1392
Ouderkerk-G0644;;6;1520;1129;908;146;293;121;132;294;641;25.0;19;3;8;0.0;1;5.0;0.0;1.0;;776
Oudewater-G0589;;12;2912;930;1127;214;396;173;185;191;143;22.0;20;6;4;0.0;1;4.0;0.0;1.0;;976
Overbetuwe-G1734;;16;8888;6254;4208;1371;962;1131;1091;398;471;82.0;91;32;29;2.0;5;6.0;;2.0;;5141
Papendrecht-G0590;;13;5515;4672;3840;804;1379;602;658;736;638;80.0;88;16;26;2.0;9;8.0;0.0;2.0;6.0;3926
Pekela-G0765;;10;1308;4312;663;542;301;444;127;156;13;28.0;33;15;7;0.0;26;;;1.0;;2301
Pijnacker-Nootdorp-G1926;;34;8095;3658;5152;741;1423;912;1067;339;196;112.0;121;15;21;1.0;4;8.0;8.0;2.0;;3353
Purmerend-G0439;;38;7417;13442;10093;2982;3725;2054;2059;330;27;364.0;315;58;54;12.0;51;;;11.0;;12677
Putten-G0273;;9;7035;1839;2045;328;792;333;302;1221;1001;48.0;49;18;3;7.0;2;1.0;;4.0;;2214
Raalte-G0177;;21;12744;4690;2725;851;643;806;629;251;31;;58;39;8;;6;3.0;;;;3904
Reeuwijk-G0595;;3;3069;1152;2140;208;556;230;330;258;557;14.0;19;8;8;0.0;2;1.0;3.0;1.0;;1049
Reiderland-G1661;;7;275;2227;359;483;216;163;49;22;2;17.0;16;5;4;1.0;354;;;3.0;;1328
Reimerswaal-G0703;;9;4067;1940;1518;433;641;215;177;304;3371;41.0;38;13;8;8.0;5;;;;;2172
Renkum-G0274;;12;5877;5623;4516;1130;722;1512;1137;296;84;126.0;48;16;40;2.0;3;4.0;;1.0;;3797
Renswoude-G0339;;1;1369;238;409;72;131;25;36;100;294;3.0;8;2;1;0.0;0;0.0;0.0;0.0;;318
Reusel-De Mierden-G1667;;6;3896;1320;1164;427;334;183;157;6;2;19.0;44;23;4;2.0;0;2.0;0.0;2.0;;1648
Rheden-G0275;;25;7231;9811;5307;2016;1163;1648;1337;473;62;139.0;99;23;32;5.0;6;2.0;;5.0;;5726
Rhenen-G0340;;6;3283;2564;1964;426;559;391;366;271;1375;45.0;46;10;14;1.0;2;2.0;0.0;0.0;;1934
Ridderkerk-G0597;;48;7676;7747;4652;1190;2658;752;817;1114;2260;158.0;144;36;27;10.0;6;13.0;4.0;4.0;6.0;6397
Rijnsburg-G0602;;3;4957;951;1334;183;386;208;192;648;163;33.0;26;3;1;5.0;0;2.0;0.0;1.0;;1582
Rijnwaarden-G0196;;14;2207;2273;991;392;358;211;181;24;4;39.0;41;13;6;0.0;3;1.0;;0.0;;1780
Rijnwoude-G1672;;15;4602;2186;2433;507;696;395;533;325;656;43.0;44;20;10;1.0;0;9.0;1.0;1.0;;1807
Rijssen-G0178;;18;8656;3730;2262;504;609;381;351;1940;5079;;37;34;9;;5;7.0;;;;2285
Rijswijk-G0603;;47;7821;7139;6863;1420;2887;1508;1604;308;108;254.0;278;22;34;14.0;9;13.0;19.0;1.0;2.0;7849
Roerdalen-G1669;;10;2531;1472;1072;342;351;214;141;13;1;33.0;18;1;12;0.0;3;1.0;;;;1686
Roermond-G0957;;25;7214;6324;4237;1699;1454;1319;797;73;14;197.0;85;27;34;91.0;6;10.0;;;;10113
Roggel en Neer-G1670;;6;2458;943;816;271;202;185;116;7;0;27.0;15;13;1;0.0;0;0.0;;;;1255
Roosendaal-G1674;;26;13732;10639;8914;2987;3353;1754;1414;175;29;193.0;235;79;49;35.0;17;12.0;3.0;6.0;;14161
Rotterdam-G0599;;760;43639;108252;44159;20504;41304;16837;11861;4261;2135;2307.0;1158;361;420;1140.0;186;230.0;302.0;;107.0;129446
Rozenburg-G0600;;12;1864;2175;1558;475;792;270;315;186;41;53.0;70;10;17;1.0;5;6.0;2.0;0.0;5.0;2257
Rozendaal-G0277;;0;279;165;480;29;36;41;71;6;5;4.0;3;1;5;0.0;0;0.0;;0.0;;65
Rucphen-G0840;;11;3975;3534;2117;682;1269;257;193;26;3;58.0;72;29;22;2.0;4;2.0;0.0;4.0;;5683
Ruurlo-G0278;;1;1958;1453;1342;184;184;162;160;17;5;17.0;22;9;2;3.0;0;1.0;;1.0;;1008
Sassenheim-G0604;;11;3610;1676;2219;441;543;421;420;70;22;48.0;44;13;9;1.0;1;3.0;6.0;0.0;;1565
Schagen-G0441;;11;2494;3332;2695;642;563;663;591;85;8;53.0;57;20;6;2.0;5;;;1.0;;2410
Scheemda-G0039;;5;2051;4252;956;635;317;341;218;289;14;43.0;30;17;8;0.0;64;;;0.0;;1868
Schermer-G0458;;3;1070;681;716;169;171;150;143;18;5;19.0;12;4;3;0.0;1;;;1.0;;441
Scherpenzeel-G0279;;3;2396;809;969;124;232;120;137;257;867;11.0;18;7;5;0.0;0;2.0;;0.0;;657
Schiedam-G0606;;79;8020;13384;6681;2973;5174;1900;1443;443;133;293.0;194;60;55;143.0;29;20.0;20.0;2.0;5.0;14413
Schiermonnikoog-G0088;;1;206;241;142;36;20;37;31;9;2;3.0;6;2;0;0.0;0;;;0.0;;69
Schijndel-G0844;;38;4845;3132;2140;1802;649;411;407;11;9;67.0;42;40;10;0.0;4;3.0;4.0;0.0;;3876
Schinnen-G0962;;5;3653;2196;1127;450;362;398;258;52;1;44.0;38;12;7;0.0;0;4.0;;;;1728
Schipluiden-G0607;;4;3297;1037;1474;253;349;273;309;113;29;24.0;24;9;9;0.0;0;1.0;0.0;2.0;1.0;769
Schoonhoven-G0608;;6;2331;1809;1520;395;563;339;340;265;189;33.0;20;15;6;0.0;2;4.0;0.0;0.0;;1281
Schouwen-Duiveland-G1676;;67;6571;5029;4703;935;1310;736;642;657;1673;141.0;95;24;8;4.0;5;;;;;4002
Sevenum-G0964;;8;2583;676;552;307;158;157;107;12;1;11.0;13;6;2;0.0;0;2.0;;;;912
's-Gravendeel-G0517;;2;1932;1481;993;246;388;146;152;143;297;43.0;20;6;7;1.0;1;6.0;0.0;0.0;1.0;1142
's-Gravenhage-G0518;;578;46197;73502;56995;14754;21449;17064;14208;2796;1158;2245.0;850;199;343;414.0;143;;533.0;30.0;49.0;104569
's-Gravenzande-G0519;;12;5386;1638;2786;252;1005;254;276;295;362;49.0;61;16;18;7.0;3;4.0;1.0;1.0;2.0;2048
's-Hertogenbosch-G0796;;61;19475;21239;14256;7589;4840;4840;3356;332;44;351.0;324;165;85;24.0;27;18.0;10.0;4.0;;23128
Simpelveld-G0965;;6;2769;1886;674;407;363;241;148;14;0;36.0;127;6;3;1.0;2;6.0;;;;1902
Sint Anthonis-G1702;;14;4224;1190;899;480;305;264;156;9;1;21.0;30;12;4;1.0;2;2.0;0.0;0.0;;993
Sint-Michielsgestel-G0845;;17;6725;4130;2890;1417;700;602;609;42;2;55.0;99;53;13;0.0;7;5.0;2.0;3.0;;3809
Sint-Oedenrode-G0846;;7;4768;2231;1676;811;524;375;259;16;2;27.0;40;48;17;0.0;2;1.0;0.0;2.0;;2024
Sittard-Geleen-G1883;;72;19695;16439;7139;3884;2782;3234;1595;183;31;341.0;238;44;76;12.0;10;19.0;;;;19028
Skarsterlân-G0051;;7;6573;5308;2306;834;629;613;467;327;27;67.0;117;34;12;0.0;11;;;1.0;;2920
Sliedrecht-G0610;;14;3948;3775;1898;633;857;336;294;943;1947;55.0;69;10;10;7.0;10;4.0;0.0;0.0;5.0;3058
Slochteren-G0040;;9;1991;3458;1509;474;383;385;305;773;67;34.0;51;10;2;0.0;11;;;3.0;;1910
Sluis-G1714;;14;4609;3914;2755;639;724;468;376;106;97;70.0;60;13;14;3.0;17;;;;;4262
Smallingerland-G0090;;25;10276;12299;3448;2049;910;1448;943;2080;203;107.0;106;36;13;4.0;10;;;0.0;;6490
Sneek-G0091;;16;5615;6804;2979;1389;777;934;655;491;16;65.0;115;34;28;8.0;15;;;0.0;;4731
Soest-G0342;;20;8417;5369;7692;1298;1496;1354;1391;645;259;128.0;105;31;20;78.0;9;5.0;0.0;6.0;;5230
Someren-G0847;;8;5544;1757;1605;650;684;291;222;37;11;49.0;65;38;4;0.0;2;0.0;0.0;2.0;;2499
Son en Breugel-G0848;;6;3546;1640;2363;494;523;367;463;42;2;50.0;60;40;3;2.0;0;3.0;0.0;1.0;;1765
Spijkenisse-G0612;;89;7664;13355;8626;2629;5822;1446;1480;587;237;357.0;337;55;86;6.0;23;27.0;24.0;6.0;13.0;13842
Stadskanaal-G0037;;22;6352;7944;1911;1089;709;501;360;1380;64;74.0;45;27;17;0.0;24;;;3.0;;5515
Staphorst-G0180;;2;3197;930;837;125;275;116;96;1335;2799;;13;18;2;;2;3.0;;;;881
Stede Broec-G0532;;14;4074;3138;2707;768;918;565;522;87;21;80.0;98;18;11;1.0;2;;;1.0;;2772
Steenbergen-G0851;;13;4350;3723;2657;771;1000;378;422;129;171;60.0;64;28;11;2.0;4;3.0;0.0;4.0;;4286
Steenderen-G0280;;4;1536;804;548;148;112;95;98;30;12;10.0;6;7;0;0.0;3;0.0;;0.0;;399
Steenwijkerland-G1708;;25;9276;8119;3974;1125;1147;950;711;1251;130;;98;51;20;;12;6.0;;;;4927
Stein-G0971;;18;6046;4560;2015;985;974;654;465;48;8;124.0;95;24;18;0.0;6;6.0;;;;4885
Strijen-G0617;;12;1846;1418;1198;274;477;198;172;140;196;31.0;24;6;4;0.0;0;10.0;1.0;1.0;2.0;1074
Swalmen-G0975;;4;1824;1297;688;366;278;153;135;9;0;34.0;25;13;10;5.0;3;3.0;;;;1846
Ten Boer-G0009;;2;1303;1469;492;232;119;203;155;517;64;15.0;14;9;5;0.0;5;;;0.0;;637
Ter Aar-G0480;;7;2666;768;1177;196;342;196;193;54;53;23.0;31;6;2;1.0;0;2.0;1.0;1.0;;925
Terneuzen-G0715;;16;9849;8111;4444;1436;1897;976;837;1315;1043;128.0;112;28;30;14.0;18;;;;;10246
Terschelling-G0093;;5;789;921;793;158;151;170;154;26;2;15.0;22;1;3;0.0;1;;;0.0;;585
Texel-G0448;;4;2715;2184;1813;614;423;548;371;99;45;36.0;34;12;6;1.0;5;;;0.0;;1363
Tholen-G0716;;16;4219;3016;1651;505;810;279;226;589;3104;83.0;94;25;15;2.0;5;;;;;2766
Thorn-G0977;;11;674;386;253;75;81;47;47;3;0;6.0;6;2;6;0.0;0;0.0;;;;376
Tiel-G0281;;18;5037;7305;4653;1277;1477;1001;811;284;156;103.0;87;25;21;166.0;7;;;;;6411
Tilburg-G0855;;124;28010;28779;18109;11211;5680;6447;4491;463;69;506.0;500;273;92;209.0;50;49.0;28.0;23.0;;43589
Tubbergen-G0183;;4;9313;1335;1196;311;348;203;189;13;16;;31;15;2;;0;5.0;;;;1702
Twenterand-G1700;;10;10266;4895;1507;595;604;409;267;1580;551;;73;26;11;;7;3.0;;;;4018
Tynaarlo-G1730;;11;4023;7090;4995;923;806;1190;1138;506;31;55.0;84;25;11;4.0;13;1.0;;;;3320
Tytsjerksteradiel-G0737;;9;8407;6175;2285;900;703;842;516;713;115;48.0;121;22;7;3.0;4;;;3.0;;3094
Ubbergen-G0282;;7;2152;1790;918;457;217;465;225;26;7;31.0;15;4;9;1.0;2;;;;;949
Uden-G0856;;25;8826;4637;4774;2792;1168;780;783;59;10;99.0;83;53;12;27.0;6;6.0;1.0;2.0;;6086
Uitgeest-G0450;;8;2032;1962;1669;415;424;451;364;34;6;41.0;47;7;6;0.0;5;;;0.0;;1184
Uithoorn-G0451;;18;4993;3462;4663;816;943;700;847;139;19;97.0;77;10;24;2.0;4;9.0;;4.0;;2958
Urk-G0184;;1;4206;68;105;37;157;13;16;1558;3094;5.0;4;5;2;0.0;0;;;0.0;;883
Utrecht-G0344;;223;25660;48302;25809;13576;7117;18387;11020;2068;444;777.0;476;104;124;219.0;64;35.0;29.0;17.0;;44663
Vaals-G0981;;2;1647;1427;459;216;214;197;78;10;3;26.0;18;1;2;1.0;7;3.0;;;;1795
Valkenburg (ZH)-G0619;;1;1151;297;389;64;107;55;64;161;25;7.0;8;3;7;0.0;0;0.0;0.0;1.0;;377
Valkenburg aan de Geul-G0994;;7;5509;2230;1467;967;465;388;321;29;4;72.0;21;12;11;0.0;4;5.0;;;;2491
Valkenswaard-G0858;;19;6782;4542;3894;1467;1122;670;595;54;6;89.0;90;81;17;1.0;4;4.0;1.0;3.0;;4490
Veendam-G0047;;21;2807;8552;2425;1031;665;541;548;403;24;82.0;68;17;8;30.0;18;;;4.0;;4739
Veenendaal-G0345;;33;13504;6520;5840;1305;1611;1139;771;3162;2924;85.0;99;51;23;8.0;7;13.0;1.0;0.0;;6419
Veere-G0717;;3;5497;2250;2500;485;528;556;373;511;1704;76.0;32;11;11;2.0;10;;;;;1988
Veghel-G0860;;18;9529;4315;3547;1723;1013;608;574;59;7;74.0;90;65;11;12.0;7;12.0;1.0;7.0;;4999
Veldhoven-G0861;;19;8870;5602;5286;2003;1551;978;913;156;11;123.0;140;101;16;1.0;11;5.0;1.0;2.0;;6204
Velsen-G0453;;34;9642;11363;8657;2484;2964;1924;1976;688;67;248.0;221;52;41;17.0;23;11.0;;4.0;;10025
Venhuizen-G0454;;10;1588;938;1409;245;302;201;196;27;6;26.0;30;6;3;0.0;4;;;1.0;;796
Venlo-G0983;;64;17085;12365;8379;2918;3057;2497;1413;168;23;261.0;208;72;55;45.0;8;16.0;;;;18658
Venray-G0984;;17;9384;5140;3165;1572;1163;878;688;43;7;92.0;93;32;11;19.0;8;8.0;;;;6330
Vianen-G0620;;9;3663;3118;2298;754;748;460;440;157;325;45.0;64;19;6;1.0;8;1.0;3.0;0.0;;2600
Vlaardingen-G0622;;78;9960;13174;7239;3347;4520;1868;1524;803;723;290.0;194;58;47;33.0;14;25.0;12.0;6.0;10.0;13025
Vlagtwedde-G0048;;13;2820;4196;1245;592;451;312;175;195;13;76.0;24;12;11;1.0;11;;;1.0;;2881
Vlieland-G0096;;1;98;194;257;34;28;34;48;1;0;3.0;3;1;1;0.0;0;;;0.0;;156
Vlissingen-G0718;;36;6661;7723;4414;1955;1850;1137;782;500;420;247.0;117;30;31;30.0;17;;;;;8454
Vlist-G0623;;4;2206;1244;1268;224;362;167;219;160;508;25.0;33;5;2;0.0;1;4.0;0.0;0.0;;916
Voerendaal-G0986;;5;3852;1920;1174;479;402;334;256;22;1;54.0;30;9;6;0.0;3;0.0;;;;1641
Voorhout-G0625;;9;3115;1411;2491;380;483;375;478;63;17;25.0;28;10;8;3.0;3;2.0;0.0;0.0;;1201
Voorschoten-G0626;;16;4148;2727;3970;522;727;791;938;143;59;78.0;39;5;14;1.0;4;1.0;3.0;1.0;;2182
Voorst-G0285;;17;5930;4016;2804;553;534;522;499;82;203;60.0;48;27;13;4.0;10;1.0;;2.0;;2632
Vorden-G0286;;4;2349;1398;1153;260;193;217;184;50;10;22.0;15;16;2;0.0;0;0.0;;2.0;;782
Vught-G0865;;14;4950;3710;3389;1065;646;875;768;58;7;72.0;58;26;24;1.0;10;3.0;0.0;1.0;;3384
Waalre-G0866;;7;3597;1874;2823;540;534;419;545;40;4;63.0;40;48;6;2.0;2;2.0;0.0;1.0;;1625
Waalwijk-G0867;;34;9523;6165;5016;1877;1673;896;798;417;510;113.0;144;73;37;19.0;8;6.0;0.0;3.0;;7554
Waddinxveen-G0627;;16;5255;3216;3415;561;1047;505;618;907;964;80.0;62;21;18;6.0;3;8.0;0.0;3.0;;2908
Wageningen-G0289;;27;4282;6856;2937;1752;504;2825;1424;628;250;85.0;40;27;10;4.0;8;4.0;;0.0;;4064
Warmond-G0628;;3;1231;547;765;143;220;148;181;12;7;21.0;11;7;4;0.0;1;1.0;0.0;0.0;;540
Warnsveld-G0291;;7;1491;1928;1077;431;151;336;352;119;6;29.0;18;3;3;2.0;0;0.0;;0.0;;875
Wassenaar-G0629;;13;4661;1736;6193;365;960;436;724;82;29;67.0;34;6;16;1.0;3;5.0;0.0;0.0;;2494
Wateringen-G0630;;23;4156;1464;2363;296;944;309;383;84;17;46.0;50;13;15;1.0;5;5.0;0.0;0.0;1.0;1858
Waterland-G0852;;4;3254;2838;2620;601;810;602;606;106;10;73.0;45;12;11;0.0;6;;;1.0;;1475
Weert-G0988;;24;9289;6976;6131;1832;1595;970;843;86;15;130.0;118;20;22;11.0;12;6.0;;;;8679
Weesp-G0457;;10;2578;3131;2284;733;649;715;621;92;34;69.0;63;23;16;3.0;5;7.0;;1.0;;2526
Wehl-G0292;;1;2056;1123;450;153;152;105;69;7;6;24.0;13;9;2;1.0;0;0.0;;0.0;;965
Werkendam-G0870;;18;6749;3068;2336;615;894;360;313;574;1659;62.0;66;29;6;0.0;1;3.0;2.0;1.0;;2977
Wervershoof-G0459;;3;2363;930;1080;233;350;178;141;23;1;21.0;36;8;7;2.0;4;;;6.0;;864
West Maas en Waal-G0668;;14;4653;3007;2143;678;647;400;322;18;6;33.0;40;15;6;3.0;5;;;;;2071
Wester-Koggenland-G0558;;6;3568;1657;1988;365;436;355;318;23;8;50.0;48;6;3;1.0;5;;;2.0;;1366
Westerveld-G1701;;7;2852;4635;2946;580;565;581;446;128;20;51.0;47;19;7;4.0;0;1.0;;;;1956
Westervoort-G0293;;8;2512;3137;1587;752;471;527;353;102;8;40.0;33;13;18;1.0;2;1.0;;0.0;;2237
Weststellingwerf-G0098;;22;4307;6083;2465;1016;895;600;361;220;21;78.0;79;33;15;1.0;14;;;4.0;;3494
Westvoorne-G0614;;13;2145;1930;3198;359;837;235;396;47;47;63.0;47;8;13;0.0;0;6.0;0.0;1.0;2.0;1650
Wierden-G0189;;10;8660;2245;1943;377;490;367;285;827;369;;30;11;4;;2;1.0;;;;1748
Wieringen-G0462;;2;1069;1650;1303;302;381;183;171;37;5;28.0;35;15;6;0.0;2;;;0.0;;1299
Wieringermeer-G0463;;5;2782;1794;1565;404;519;260;258;157;35;44.0;65;17;14;1.0;4;;;1.0;;1556
Wijchen-G0296;;22;8356;6574;4376;1824;1053;1016;856;82;8;78.0;105;30;25;14.0;1;;;;;4954
Wijdemeren-G1696;;13;4840;2752;4421;656;873;663;785;190;78;105.0;38;9;16;0.0;2;8.0;;0.0;;2342
Wijk bij Duurstede-G0352;;15;4262;3423;3116;877;733;774;602;199;277;80.0;60;11;15;1.0;6;3.0;0.0;0.0;;2552
Winschoten-G0052;;2;1788;5716;1450;708;374;500;288;313;15;49.0;36;20;8;0.0;60;;;1.0;;3292
Winsum-G0053;;12;2581;3079;1027;592;239;547;319;592;40;34.0;22;8;4;1.0;0;;;0.0;;1185
Winterswijk-G0294;;12;4766;6482;3703;929;592;661;556;135;16;58.0;66;27;18;2.0;6;0.0;;1.0;;3952
Wisch-G0295;;13;4585;3477;1963;628;521;461;314;120;5;47.0;44;32;6;8.0;5;0.0;;1.0;;2795
Woensdrecht-G0873;;9;4053;2792;2711;660;916;395;358;37;9;63.0;62;34;7;2.0;3;11.0;3.0;5.0;;3645
Woerden-G0632;;29;10945;5553;5876;1408;1763;1337;1284;973;842;103.0;103;22;21;3.0;6;11.0;4.0;3.0;;4849
Wognum-G0466;;2;2285;816;985;228;259;187;226;21;4;26.0;32;7;0;0.0;1;;;1.0;;898
Wormerland-G0880;;7;2387;2875;2041;703;547;660;459;121;11;59.0;37;11;12;2.0;3;;;0.0;;1779
Woudenberg-G0351;;5;2611;983;1229;225;270;197;217;450;855;20.0;14;8;3;0.0;1;2.0;0.0;0.0;;973
Woudrichem-G0874;;9;4019;1674;1274;386;363;209;210;672;299;34.0;30;14;11;0.0;3;3.0;0.0;0.0;;1576
Wûnseradiel-G0710;;3;3106;1905;977;481;301;295;223;133;10;18.0;42;25;3;1.0;1;;;2.0;;1222
Wymbritseradiel-G0683;;3;4939;2054;1313;544;289;432;301;243;16;28.0;78;12;5;0.0;1;;;0.0;;1518
Zaanstad-G0479;;123;14874;27705;14973;6610;5770;5176;3630;952;176;563.0;489;136;80;114.0;89;;;10.0;;21922
Zaltbommel-G0297;;10;4674;3837;2577;675;631;556;519;624;1932;50.0;48;21;11;1.0;3;;;;;2685
Zandvoort-G0473;;16;2028;2308;3591;514;851;394;531;35;5;119.0;30;13;18;4.0;11;9.0;;4.0;;2757
Zederik-G0707;;3;3932;1528;1175;199;361;157;159;475;941;27.0;20;11;2;0.0;2;3.0;1.0;0.0;0.0;953
Zeevang-G0478;;3;805;959;1352;216;243;226;263;15;4;21.0;12;4;6;0.0;3;;;0.0;;596
Zeewolde-G0050;;4;3298;1774;2740;347;597;419;426;767;83;35.0;46;14;4;1.0;2;;;0.0;;1760
Zeist-G0355;;34;9489;8525;8682;2160;1722;2617;2068;937;747;220.0;148;30;24;22.0;9;9.0;2.0;8.0;;7934
Zelhem-G0298;;6;2804;2068;1180;260;329;204;172;93;101;28.0;18;11;5;1.0;1;1.0;;0.0;;1417
Zevenaar-G0299;;11;5632;4700;2609;1114;729;695;641;76;14;80.0;63;23;14;4.0;4;3.0;;5.0;;3831
Zevenhuizen-Moerkapelle-G1666;;9;2005;1217;1301;139;415;115;198;271;721;28.0;36;4;5;0.0;2;3.0;1.0;1.0;;870
Zijpe-G0476;;10;2104;1912;1713;336;405;293;278;33;4;54.0;34;11;7;5.0;3;;;1.0;;1383
Zoetermeer-G0637;;93;15079;18016;15412;4264;4991;3103;3607;1200;592;452.0;321;66;85;23.0;20;36.0;56.0;11.0;;15877
Zoeterwoude-G0638;;12;2095;968;1075;288;302;281;219;25;32;25.0;15;6;8;1.0;1;2.0;1.0;2.0;;950
Zuidhorn-G0056;;19;4016;2989;1256;564;296;608;362;1567;96;48.0;25;13;3;1.0;5;;;2.0;;1235
Zundert-G0879;;11;4939;2336;2187;685;702;328;305;34;2;28.0;66;31;11;1.0;0;1.0;0.0;3.0;;3516
