RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Brielle-G0501;;6;1110;1547;1767;289;248.0;242;75.0;228;21.0;;;;135.0;49.0;;;;;;;;;26.0;;;;;;3.0;;1.0;0.0;;;;3.0;1.0;0.0;1.0;0.0;6598
Brummen-G0213;;8;2085;2917;1697;412;383.0;290;88.0;225;38.0;;;;;;;;;127.0;;;;;;;;;;;;;;;;;13.0;;;;;;8029
Brunssum-G0899;;7;3307;2650;1365;304;1011.0;551;;239;;;;248.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13625
Bunnik-G0312;;7;1987;1254;1439;809;323.0;477;107.0;123;109.0;;;;;;;;;;;;;;;;;;52.0;;;;;;;17.0;;;;;;;3887
Bunschoten-G0313;;4;2539;460;537;97;74.0;36;3827.0;84;240.0;;;;;;;;;;;;;;;;;;51.0;;;;;;;26.0;;;;;;;5838
Buren-G0214;;5;2304;2612;2806;424;306.0;420;232.0;314;683.0;;;;;;;;;117.0;;;;;;;;;;;;;;;;;8.0;;;;;;9229
Bussum-G0381;;12;2600;2502;3912;1318;537.0;1096;;269;;272.0;;;;;;132.0;;;;;40.0;56.0;;;2.0;;;39.0;;17.0;;9.0;;;;;;;;;10861
Capelle aan den IJssel-G0502;;22;4039;5281;4550;909;979.0;1029;1053.0;1305;1873.0;;;;357.0;42.0;;;;;;;;;69.0;;;;;;18.0;;11.0;7.0;;;;2.0;6.0;3.0;;4.0;27874
Castricum-G0383;;9;3816;3384;3583;1803;655.0;973;;347;;107.0;;;;;;90.0;;;;;93.0;71.0;;;5.0;;;89.0;;12.0;;15.0;;;;;;;;;11702
Coevorden-G0109;;14;4107;5857;3287;753;;453;283.0;339;35.0;;;;;;;;;;;;;;;254.0;;378.0;;;;;;;;;;;;;;;11689
