RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SP;D66;CU;LPF;SGP;CU-SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;"Politieke Partij ""Alianza""";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;DG;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap;@abs
Haaren-G0788;;5;2346;758;1000;228;213.0;227;;83;;10.0;;;;28.0;35.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;5516
Haarlem-G0392;;64;8369;15662;9592;6057;4389.0;3645;;1269;;996.0;;;;;;638.0;;;;;232.0;296.0;;;60.0;;;204.0;;59.0;;54.0;;;;;;;;;60614
Haarlemmerliede en Spaarnwoude-G0393;;1;606;418;512;201;86.0;207;;57;;29.0;;;;;;14.0;;;;;18.0;12.0;;;2.0;;;3.0;;4.0;;1.0;;;;;;;;;1924
Haarlemmermeer-G0394;;42;9960;7832;11942;3077;1757.0;2062;;1438;;1479.0;;;;;;350.0;;;;;288.0;146.0;;;21.0;;;175.0;;49.0;;28.0;;;;;;;;;49294
Haelen-G0914;;7;1928;580;886;153;146.0;130;;76;;;;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3752
Halderberge-G1655;;9;3180;1669;1805;306;398.0;326;;320;;60.0;;;;42.0;866.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;13735
Hardenberg-G0160;;11;10908;4796;2530;583;706.0;491;3933.0;576;344.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17606
Harderwijk-G0243;;12;5493;2301;2504;897;515.0;463;1892.0;684;572.0;;;;;;;;;169.0;;;;;;;;;;;;;;;;;17.0;;;;;;14305
Hardinxveld-Giessendam-G0523;;2;1845;1309;806;93;126.0;96;1655.0;193;1867.0;;;;20.0;9.0;;;;;;;;;4.0;;;;;;0.0;;1.0;0.0;;;;0.0;1.0;0.0;7.0;0.0;5000
Haren-G0017;;4;2238;2407;2433;1216;275.0;646;605.0;145;;;;;;;;;227.0;;;;;;;;16.0;;;;;;;;;;;;;;;;4199
Harenkarspel-G0395;;5;1848;1176;1278;298;211.0;290;;130;;48.0;;;;;;40.0;;;;;46.0;17.0;;;1.0;;;26.0;;1.0;;9.0;;;;;;;;;6227
Harlingen-G0072;;5;1366;1931;782;421;352.0;165;;162;;285.0;327.0;;;;;;;;;120.0;;;;;10.0;;;;;;;;;;;;;;;;5695
Hattem-G0244;;4;1677;1405;793;166;143.0;146;1082.0;67;104.0;;;;;;;;;33.0;;;;;;;;;;;;;;;;;7.0;;;;;;3267
Heel-G1937;;7;1499;484;590;97;110.0;68;;47;;;;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3406
Heemskerk-G0396;;11;3279;3434;2187;1077;560.0;511;;409;;168.0;;;;;;153.0;;;;;86.0;43.0;;;5.0;;;54.0;;11.0;;7.0;;;;;;;;;14770
Heemstede-G0397;;9;2631;2075;4321;936;483.0;972;;248;;135.0;;;;;;73.0;;;;;43.0;53.0;;;3.0;;;15.0;;7.0;;3.0;;;;;;;;;7458
Heerde-G0246;;8;3072;1911;1057;220;160.0;178;1085.0;125;306.0;;;;;;;;;59.0;;;;;;;;;;;;;;;;;7.0;;;;;;5667
Heerenveen-G0074;;10;3402;6202;2616;1169;917.0;585;;254;;706.0;1607.0;;;;;;;;;136.0;;;;;34.0;;;;;;;;;;;;;;;;14572
Heerhugowaard-G0398;;16;3619;3938;3429;973;675.0;742;;392;;325.0;;;;;;215.0;;;;;118.0;65.0;;;24.0;;;102.0;;11.0;;22.0;;;;;;;;;19692
Heerlen-G0917;;31;8987;7054;3166;1297;4132.0;729;;823;;;;1432.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44715
Heeze-Leende-G1658;;8;2655;979;1266;193;239.0;271;;113;;13.0;;;;41.0;92.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;5792
Heiloo-G0399;;11;2535;2258;2784;749;346.0;675;;161;;90.0;;;;;;62.0;;;;;49.0;30.0;;;190.0;;;38.0;;3.0;;6.0;;;;;;;;;6946
Helden-G0918;;2;3829;959;993;292;207.0;112;;137;;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7826
Hellendoorn-G0163;;7;9246;2398;1543;513;398.0;323;806.0;304;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11965
Hellevoetsluis-G0530;;18;1670;3208;3030;603;614.0;433;181.0;659;79.0;;;;219.0;53.0;;;;;;;;;32.0;;;;;;12.0;;5.0;2.0;;;;20.0;6.0;1.0;2.0;1.0;18745
Helmond-G0794;;28;6484;5392;4228;815;2076.0;771;;714;;144.0;;;;394.0;184.0;;;;;;;;;;;;;;;;29.0;;;;;;;;;;40003
Hendrik-Ido-Ambacht-G0531;;14;1993;1555;1483;234;194.0;235;449.0;288;1693.0;;;;63.0;25.0;;;;;;;;;19.0;;;;;;4.0;;1.0;0.0;;;;0.0;0.0;0.0;1.0;0.0;7753
Hengelo-G0248;;1;1785;711;648;84;105.0;63;37.0;66;8.0;;;;;;;;;20.0;;;;;;;;;;;;;;;;;7.0;;;;;;2990
Hengelo-G0164;;46;8822;8014;4639;2061;2372.0;1323;907.0;673;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32051
Het Bildt-G0063;;3;1500;1327;507;168;251.0;59;;106;;150.0;581.0;;;;;;;;;83.0;;;;;5.0;;;;;;;;;;;;;;;;3225
Heumen-G0252;;16;2331;1396;1165;623;328.0;364;15.0;106;3.0;;;;;;;;;88.0;;;;;;;;;;;;;;;;;15.0;;;;;;5726
Heusden-G0797;;12;5077;2493;2583;562;802.0;620;;352;;128.0;;;;125.0;152.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;19074
Heythuysen-G0920;;4;2744;616;640;166;148.0;137;;83;;;;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4453
Hillegom-G0534;;8;2197;1312;2197;427;304.0;320;102.0;231;65.0;;;;39.0;29.0;;;;;;;;;27.0;;;;;;4.0;;16.0;2.0;;;;2.0;1.0;0.0;;0.0;8235
Hilvarenbeek-G0798;;10;2460;1262;971;224;257.0;164;;86;;7.0;;;;34.0;34.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;5623
Hilversum-G0402;;23;6340;7540;7453;3224;1788.0;2049;;672;;1059.0;;;;;;287.0;;;;;320.0;96.0;;;22.0;;;107.0;;22.0;;22.0;;;;;;;;;32459
Hof van Twente-G1735;;5;6076;3528;4071;548;535.0;488;173.0;305;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10963
Hoogeveen-G0118;;16;8160;6154;2521;1105;;511;1806.0;523;292.0;;;;;;;;;;;;;;;243.0;;236.0;;;;;;;;;;;;;;;19208
Hoogezand-Sappemeer-G0018;;14;1928;4896;2002;755;692.0;456;663.0;265;;;;;;;;;645.0;;;;;;;;86.0;;;;;;;;;;;;;;;;13226
Hoorn-G0405;;41;4307;6564;4804;1651;1785.0;1122;;642;;268.0;;;;;;451.0;;;;;253.0;100.0;;;36.0;;;142.0;;13.0;;30.0;;;;;;;;;27813
Horst aan de Maas-G1507;;6;5975;1337;1284;248;889.0;238;;166;;;;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11061
Houten-G0321;;11;3641;3117;2999;1452;741.0;1065;890.0;276;546.0;;;;;;;;;;;;;;;;;;103.0;;;;;;;26.0;;;;;;;13977
Huizen-G0406;;16;3783;3039;4244;1046;625.0;904;;305;;1631.0;;;;;;271.0;;;;;59.0;43.0;;;5.0;;;87.0;;19.0;;18.0;;;;;;;;;14762
Hulst-G0677;;14;2977;1885;971;236;332.0;161;52.0;226;35.0;;;;;;;;;;1634.0;;;;;;;;;;;;;;;;;;;;;;11454
Hummelo en Keppel-G0256;;0;770;555;574;72;83.0;111;15.0;40;13.0;;;;;;;;;21.0;;;;;;;;;;;;;;;;;2.0;;;;;;1273
Hunsel-G0925;;3;1482;301;284;78;88.0;32;;51;;;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2194
IJsselstein-G0353;;3;2678;2399;2552;643;499.0;598;283.0;313;261.0;;;;;;;;;;;;;;;;;;103.0;;;;;;;36.0;;;;;;;13546
Jacobswoude-G0645;;0;1731;611;1115;207;154.0;185;57.0;121;56.0;;;;25.0;11.0;;;;;;;;;30.0;;;;;;0.0;;3.0;1.0;;;;1.0;0.0;0.0;;0.0;3763
Kampen-G0166;;11;6727;3303;1903;953;676.0;353;3610.0;317;2539.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15123
Kapelle-G0678;;4;1679;828;686;322;108.0;126;288.0;126;709.0;;;;;;;;;;300.0;;;;;;;;;;;;;;;;;;;;;;3388
Katwijk-G0537;;10;5581;1344;2546;382;314.0;200;1382.0;342;2823.0;;;;144.0;34.0;;;;;;;;;34.0;;;;;;1.0;;12.0;6.0;;;;0.0;2.0;0.0;;0.0;15465
Kerkrade-G0928;;24;4988;4310;1365;829;1073.0;194;;397;;;;439.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22957
Kessel-G0929;;2;1095;211;255;36;29.0;23;;27;;;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1482
Kesteren-G0258;;3;2007;2069;1131;162;177.0;158;486.0;160;3015.0;;;;;;;;;50.0;;;;;;;;;;;;;;;;;14.0;;;;;;6238
Kollumerland en Nieuwkruisland-G0079;;9;2343;857;384;148;167.0;55;;79;;545.0;1315.0;;;;;;;;;41.0;;;;;7.0;;;;;;;;;;;;;;;;4010
Korendijk-G0588;;5;1004;714;837;176;129.0;126;156.0;162;1088.0;;;;58.0;1.0;;;;;;;;;18.0;;;;;;1.0;;5.0;3.0;;;;2.0;1.0;0.0;1.0;0.0;3678
Krimpen aan den IJssel-G0542;;10;2227;2640;2117;456;328.0;426;848.0;510;2159.0;;;;94.0;33.0;;;;;;;;;36.0;;;;;;5.0;;8.0;2.0;;;;3.0;0.0;0.0;;0.0;9976
Laarbeek-G1659;;12;3337;1456;1207;267;473.0;226;;207;;11.0;;;;80.0;210.0;;;;;;;;;;;;;;;;9.0;;;;;;;;;;8795
Landerd-G1685;;4;2828;883;866;132;469.0;123;;95;;4.0;;;;10.0;58.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;5489
Landgraaf-G0882;;11;4829;3043;1290;976;1118.0;357;;274;;;;343.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18359
Landsmeer-G0415;;3;562;1330;1090;329;239.0;293;;155;;34.0;;;;;;32.0;;;;;33.0;20.0;;;5.0;;;22.0;;9.0;;7.0;;;;;;;;;3744
Langedijk-G0416;;6;2706;1907;2110;756;380.0;510;;225;;348.0;;;;;;84.0;;;;;70.0;43.0;;;13.0;;;31.0;;3.0;;17.0;;;;;;;;;9156
Laren-G0417;;3;1161;815;2154;255;170.0;295;;100;;20.0;;;;;;41.0;;;;;9.0;17.0;;;0.0;;;11.0;;1.0;;2.0;;;;;;;;;3543
Leek-G0022;;5;2165;2527;1300;541;361.0;254;952.0;137;;;;;;;;;182.0;;;;;;;;15.0;;;;;;;;;;;;;;;;5757
Leerdam-G0545;;4;2037;1555;1225;225;258.0;175;546.0;218;798.0;;;;35.0;11.0;;;;;;;;;17.0;;;;;;32.0;;10.0;2.0;;;;0.0;0.0;0.0;2.0;1.0;8134
Leersum-G0326;;5;842;582;950;268;71.0;152;81.0;105;209.0;;;;;;;;;;;;;;;;;;16.0;;;;;;;6.0;;;;;;;2257
Leeuwarden-G0080;;32;6483;11664;3861;3173;3174.0;1604;;764;;1442.0;2477.0;;;;;;;;;414.0;;;;;62.0;;;;;;;;;;;;;;;;35810
Leeuwarderadeel-G0081;;8;1129;1345;460;266;225.0;98;;63;;159.0;821.0;;;;;;;;;718.0;;;;;3.0;;;;;;;;;;;;;;;;2506
Leiden-G0546;;132;5941;13312;8707;6752;3830.0;4313;814.0;1160;233.0;;;;322.0;204.0;;;;;;;;;371.0;;;;;;13.0;;42.0;7.0;;;;8.0;4.0;9.0;;2.0;42234
Leiderdorp-G0547;;9;2296;2214;2730;890;515.0;703;157.0;307;149.0;;;;55.0;66.0;;;;;;;;;60.0;;;;;;3.0;;9.0;4.0;;;;0.0;1.0;0.0;;0.0;9321
Leidschendam-Voorburg-G1916;;44;7600;5469;7993;1720;1574.0;1720;406.0;1165;121.0;;;;288.0;143.0;;;;;;;;;98.0;;;;;;27.0;;14.0;31.0;;;;0.0;4.0;7.0;;3.0;27685
Lelystad-G0995;;29;3342;5974;4830;1897;1397.0;1046;1030.0;1007;151.0;;;;;184.0;;;;;;;;;;;;;;;;;56.0;;299.0;;;;;;;;28783
Lemsterland-G0082;;6;1484;1244;802;163;163.0;147;;121;;250.0;342.0;;;;;;;;;176.0;;;;;412.0;;;;;;;;;;;;;;;;4496
Leusden-G0327;;4;3401;2282;3002;880;447.0;774;783.0;217;231.0;;;;;;;;;;;;;;;;;;67.0;;;;;;;24.0;;;;;;;9205
Lichtenvoorde-G0260;;6;4316;1206;1155;197;371.0;172;18.0;100;5.0;;;;;;;;;56.0;;;;;;;;;;;;;;;;;5.0;;;;;;6598
Liemeer-G1673;;2;1053;253;543;86;70.0;66;94.0;91;38.0;;;;18.0;7.0;;;;;;;;;10.0;;;;;;0.0;;0.0;0.0;;;;1.0;0.0;0.0;;0.0;2494
Liesveld-G0694;;3;1347;709;648;89;95.0;62;570.0;86;746.0;;;;26.0;5.0;;;;;;;;;15.0;;;;;;1.0;;1.0;0.0;;;;0.0;0.0;0.0;2.0;0.0;2566
Lingewaal-G0733;;2;1530;1082;818;124;103.0;119;280.0;123;283.0;;;;;;;;;34.0;;;;;;;;;;;;;;;;;5.0;;;;;;3455
Lingewaard-G1705;;3;5365;3243;2262;657;644.0;1078;78.0;319;31.0;;;;;;;;;230.0;;;;;;;;;;;;;;;;;17.0;;;;;;18514
Lisse-G0553;;1;3160;1262;1820;346;244.0;389;227.0;222;642.0;;;;35.0;19.0;;;;;;;;;37.0;;;;;;0.0;;20.0;2.0;;;;2.0;2.0;0.0;;0.0;8068
Lith-G0808;;7;1263;353;384;65;211.0;65;;87;;8.0;;;;6.0;53.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;2477
Littenseradiel-G0140;;1;1449;969;540;270;249.0;164;;57;;117.0;1478.0;;;;;;;;;34.0;;;;;5.0;;;;;;;;;;;;;;;;2575
Lochem-G0262;;5;2381;2466;2343;582;330.0;470;72.0;182;13.0;;;;;;;;;73.0;;;;;;;;;;;;;;;;;4.0;;;;;;6010
Loenen-G0329;;4;1070;654;1064;197;150.0;251;84.0;207;102.0;;;;;;;;;;;;;;;;;;27.0;;;;;;;14.0;;;;;;;2441
Loon op Zand-G0809;;5;2944;1327;1511;518;370.0;254;;175;;118.0;;;;44.0;62.0;;;;;;;;;;;;;;;;5.0;;;;;;;;;;10147
Lopik-G0331;;1;2342;650;782;128;143.0;100;549.0;212;590.0;;;;;;;;;;;;;;;;;;54.0;;;;;;;7.0;;;;;;;4349
Loppersum-G0024;;1;1869;1547;582;412;193.0;147;549.0;76;;;;;;;;;189.0;;;;;;;;17.0;;;;;;;;;;;;;;;;2714
Losser-G0168;;8;4035;1720;1013;248;262.0;225;56.0;184;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9230
Maarn-G0332;;1;763;713;858;147;81.0;164;44.0;92;120.0;;;;;;;;;;;;;;;;;;15.0;;;;;;;6.0;;;;;;;1416
Maarssen-G0333;;11;3270;3530;3416;1050;649.0;826;356.0;413;98.0;;;;;;;;;;;;;;;;;;133.0;;;;;;;45.0;;;;;;;16040
Maasbracht-G0933;;0;3179;970;700;184;155.0;72;;111;;;;179.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5169
Maasbree-G0934;;4;2163;636;743;168;104.0;99;;84;;;;817.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4777
Maasdonk-G1671;;0;2081;476;554;101;312.0;79;;91;;5.0;;;;11.0;107.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;4608
Maasdriel-G0263;;5;3695;1471;1576;322;260.0;277;109.0;183;271.0;;;;;;;;;68.0;;;;;;;;;;;;;;;;;16.0;;;;;;9560
Maasland-G0555;;5;1473;328;658;101;45.0;82;121.0;80;32.0;;;;19.0;11.0;;;;;;;;;11.0;;;;;;2.0;;1.0;0.0;;;;0.0;1.0;0.0;0.0;0.0;2014
Maassluis-G0556;;8;3015;2590;2514;388;475.0;392;449.0;636;121.0;;;;100.0;425.0;;;;;;;;;30.0;;;;;;5.0;;6.0;1.0;;;;1.0;1.0;6.0;2.0;1.0;13414
Maastricht-G0935;;50;11315;10943;4789;3868;2520.0;1920;;1110;;;;527.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57974
Margraten-G0936;;11;3010;1030;865;314;152.0;213;;140;;;;339.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4092
Marum-G0025;;7;1249;1235;751;201;136.0;107;288.0;122;;;;;;;;;118.0;;;;;;;;14.0;;;;;;;;;;;;;;;;3266
Medemblik-G0420;;0;639;519;570;178;102.0;67;;120;;70.0;;;;;;48.0;;;;;15.0;5.0;;;4.0;;;5.0;;4.0;;2.0;;;;;;;;;3493
Meerlo-Wanssum-G0993;;6;1671;500;381;136;126.0;82;;63;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2808
Meerssen-G0938;;4;3636;1367;1734;390;307.0;254;;146;;;;195.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7520
Meijel-G0941;;5;1126;368;317;40;67.0;28;;39;;;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2452
Menaldumadeel-G0083;;2;1592;1706;712;401;217.0;149;;94;;196.0;1454.0;;;;;;;;;353.0;;;;;6.0;;;;;;;;;;;;;;;;3647
Menterwolde-G1987;;2;772;2201;678;304;366.0;161;197.0;97;;;;;;;;;306.0;;;;;;;;37.0;;;;;;;;;;;;;;;;4655
Meppel-G0119;;11;2866;4420;2395;777;;426;729.0;227;44.0;;;;;;;;;;;;;;;205.0;;200.0;;;;;;;;;;;;;;;10740
Middelburg-G0687;;17;4496;4107;2150;1680;1077.0;716;1386.0;511;2047.0;;;;;;;;;;578.0;;;;;;;;;;;;;;;;;;;;;;15883
Middelharnis-G0559;;7;1494;1461;1123;137;309.0;149;712.0;171;1639.0;;;;30.0;19.0;;;;;;;;;14.0;;;;;;1.0;;3.0;1.0;;;;1.0;2.0;1.0;11.0;2.0;5927
Midden-Drenthe-G1731;;11;4294;5387;2544;925;;472;504.0;271;43.0;;;;;;;;;;;;;;;835.0;;203.0;;;;;;;;;;;;;;;9424
Mierlo-G0814;;3;1529;686;713;246;213.0;159;;80;;17.0;;;;38.0;55.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;3974
Mill en Sint Hubert-G0815;;6;2275;745;623;92;313.0;61;;63;;11.0;;;;13.0;20.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;4310
Millingen aan de Rijn-G0265;;1;507;633;225;68;109.0;136;8.0;24;2.0;;;;;;;;;10.0;;;;;;;;;;;;;;;;;1.0;;;;;;2697
Moerdijk-G1709;;8;3594;1957;2089;1501;1359.0;299;;260;;410.0;;;;52.0;893.0;;;;;;;;;;;;;;;;11.0;;;;;;;;;;15566
Monster-G0562;;7;3129;936;1527;198;155.0;222;304.0;372;348.0;;;;86.0;30.0;;;;;;;;;28.0;;;;;;2.0;;3.0;0.0;;;;4.0;3.0;0.0;1.0;0.0;7859
Montfoort-G0335;;3;1728;1018;1016;396;117.0;198;325.0;200;435.0;;;;;;;;;;;;;;;;;;69.0;;;;;;;7.0;;;;;;;4239
Mook en Middelaar-G0944;;2;977;586;629;363;154.0;222;;55;;;;271.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2755
Moordrecht-G0563;;0;593;490;530;328;180.0;166;91.0;115;216.0;;;;30.0;1.0;;;;;;;;;53.0;;;;;;5.0;;0.0;3.0;;;;3.0;0.0;0.0;;0.0;2939
Muiden-G0424;;5;631;757;793;189;100.0;298;;56;;30.0;;;;;;5.0;;;;;8.0;11.0;;;3.0;;;13.0;;2.0;;0.0;;;;;;;;;2042
Naaldwijk-G0565;;9;5044;1207;2445;234;209.0;227;247.0;690;155.0;;;;166.0;12.0;;;;;;;;;23.0;;;;;;4.0;;1.0;1.0;;;;0.0;6.0;2.0;3.0;0.0;10587
Naarden-G0425;;6;1369;1269;2894;589;261.0;672;;139;;149.0;;;;;;47.0;;;;;26.0;26.0;;;3.0;;;5.0;;6.0;;0.0;;;;;;;;;5003
Nederlek-G0643;;16;1311;1808;1356;209;228.0;244;186.0;263;611.0;;;;53.0;10.0;;;;;;;;;35.0;;;;;;4.0;;1.0;0.0;;;;4.0;0.0;1.0;;0.0;4940
Nederweert-G0946;;4;3279;946;986;128;181.0;127;;90;;;;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6471
Neede-G0266;;2;1569;1514;890;140;166.0;152;126.0;89;3.0;;;;;;;;;37.0;;;;;;;;;;;;;;;;;9.0;;;;;;3950
Neerijnen-G0304;;10;1328;1131;923;158;139.0;109;112.0;108;741.0;;;;;;;;;37.0;;;;;;;;;;;;;;;;;4.0;;;;;;3650
Niedorp-G0412;;6;939;1243;1035;207;187.0;166;;127;;18.0;;;;;;31.0;;;;;26.0;25.0;;;3.0;;;35.0;;2.0;;3.0;;;;;;;;;4521
Nieuwegein-G0356;;28;4525;5581;4044;1575;1199.0;1083;514.0;553;168.0;;;;;;;;;;;;;;;;;;283.0;;;;;;;49.0;;;;;;;27627
Nieuwerkerk aan den IJssel-G0567;;12;1884;1538;2166;407;306.0;424;601.0;343;456.0;;;;44.0;24.0;;;;;;;;;26.0;;;;;;0.0;;3.0;0.0;;;;1.0;1.0;0.0;;0.0;7985
Nieuwkoop-G0569;;6;1350;650;987;222;167.0;207;155.0;133;96.0;;;;15.0;10.0;;;;;;;;;13.0;;;;;;1.0;;2.0;2.0;;;;0.0;0.0;0.0;;0.0;4216
Nieuw-Lekkerland-G0571;;1;719;819;314;82;116.0;45;622.0;84;1257.0;;;;17.0;1.0;;;;;;;;;9.0;;;;;;2.0;;1.0;1.0;;;;0.0;1.0;0.0;2.0;0.0;2384
Nijefurd-G0104;;8;1850;947;586;306;194.0;119;;103;;167.0;1089.0;;;;;;;;;19.0;;;;;9.0;;;;;;;;;;;;;;;;2937
Nijkerk-G0267;;14;5396;2307;2516;510;354.0;390;1617.0;316;1520.0;;;;;;;;;185.0;;;;;;;;;;;;;;;;;17.0;;;;;;12639
Nijmegen-G0268;;82;10800;14974;5914;9515;7599.0;3323;504.0;953;82.0;;;;;;;;;536.0;;;;;;;;;;;;;;;;;66.0;;;;;;65794
Noord-Beveland-G1695;;3;982;638;587;136;142.0;58;80.0;157;233.0;;;;;;;;;;280.0;;;;;;;;;;;;;;;;;;;;;;2307
Noordenveld-G1699;;5;2671;5422;3300;1238;;685;565.0;325;41.0;;;;;;;;;;;;;;;385.0;;233.0;;;;;;;;;;;;;;;9426
Noorder-Koggenland-G0529;;6;964;946;1107;252;200.0;185;;146;;157.0;;;;;;65.0;;;;;36.0;22.0;;;2.0;;;26.0;;8.0;;2.0;;;;;;;;;3771
Noordoostpolder-G0171;;11;6893;3537;3422;649;512.0;633;1739.0;640;600.0;;;;;39.0;;;;;;;;;;;;;;;;;18.0;;142.0;;;;;;;;13331
Noordwijk-G0575;;16;2477;1426;2608;830;355.0;285;171.0;282;42.0;;;;65.0;30.0;;;;;;;;;31.0;;;;;;2.0;;258.0;0.0;;;;1.0;0.0;0.0;;0.0;9650
Noordwijkerhout-G0576;;4;1953;875;1665;340;190.0;194;33.0;163;11.0;;;;37.0;21.0;;;;;;;;;21.0;;;;;;2.0;;69.0;3.0;;;;0.0;0.0;1.0;;2.0;5576
Nuenen, Gerwen en Nederwetten-G0820;;9;3112;1627;2101;408;436.0;1055;;204;;62.0;;;;97.0;131.0;;;;;;;;;;;;;;;;10.0;;;;;;;;;;8302
Nunspeet-G0302;;7;3796;1007;1570;267;235.0;200;1742.0;253;3410.0;;;;;;;;;94.0;;;;;;;;;;;;;;;;;29.0;;;;;;6671
Nuth-G0951;;2;3479;1681;786;260;270.0;165;;172;;;;192.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5730
Obdam-G0429;;6;946;458;594;114;73.0;84;;62;;11.0;;;;;;37.0;;;;;26.0;3.0;;;3.0;;;14.0;;5.0;;2.0;;;;;;;;;2462
Oegstgeest-G0579;;9;1862;1632;3029;968;331.0;816;211.0;203;35.0;;;;81.0;35.0;;;;;;;;;58.0;;;;;;0.0;;8.0;1.0;;;;1.0;4.0;0.0;;0.0;5729
Oirschot-G0823;;18;3526;1077;1056;160;251.0;171;;124;;13.0;;;;22.0;50.0;;;;;;;;;;;;;;;;6.0;;;;;;;;;;6972
Oisterwijk-G0824;;6;3667;1722;2114;470;447.0;388;;178;;47.0;;;;58.0;51.0;;;;;;;;;;;;;;;;24.0;;;;;;;;;;10258
Oldebroek-G0269;;5;2910;1144;761;139;144.0;117;2169.0;132;1677.0;;;;;;;;;37.0;;;;;;;;;;;;;;;;;12.0;;;;;;7487
Oldenzaal-G0173;;12;4868;2623;1961;614;531.0;355;60.0;260;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12506
Olst-Wijhe-G1773;;3;2872;2218;1079;351;246.0;216;110.0;111;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5513
Ommen-G0175;;9;3904;1044;1020;205;190.0;366;1148.0;134;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4706
Onderbanken-G0881;;4;1311;958;347;102;138.0;61;;41;;;;273.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3148
Oosterhout-G0826;;13;4776;3738;3865;831;943.0;823;;434;;145.0;;;;95.0;205.0;;;;;;;;;;;;;;;;10.0;;;;;;;;;;24065
Oostflakkee-G0580;;3;1063;1044;559;109;142.0;87;306.0;119;508.0;;;;46.0;8.0;;;;;;;;;11.0;;;;;;1.0;;1.0;0.0;;;;0.0;2.0;0.0;0.0;0.0;3848
Ooststellingwerf-G0085;;28;2892;4016;1778;697;496.0;310;;238;;503.0;417.0;;;;;;;;;65.0;;;;;10.0;;;;;;;;;;;;;;;;8723
Oostzaan-G0431;;2;365;990;923;347;167.0;194;;144;;69.0;;;;;;30.0;;;;;15.0;19.0;;;7.0;;;18.0;;4.0;;3.0;;;;;;;;;3598
Opmeer-G0432;;5;1503;762;1033;173;128.0;140;;112;;24.0;;;;;;58.0;;;;;21.0;10.0;;;0.0;;;17.0;;0.0;;3.0;;;;;;;;;4269
Opsterland-G0086;;11;2812;3961;1602;770;677.0;394;;212;;1165.0;1600.0;;;;;;;;;215.0;;;;;52.0;;;;;;;;;;;;;;;;8234
Oss-G0828;;21;7273;4447;3976;961;4348.0;867;;440;;92.0;;;;101.0;162.0;;;;;;;;;;;;;;;;14.0;;;;;;;;;;34379
