RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Lith-G0808;0;0;1356;21;2;34;26;3;0;22;0;235.0
Lochem-G0262;0;0;220;1360;244;395;734;461;17;0;17;536.0
Loenen-G0329;0;0;206;117;148;257;65;16;75;25;0;123.0
Loenersloot-G1105;0;0;83;21;62;88;5;1;34;1;0;35.0
Loon op Zand-G0809;0;0;5301;76;82;95;4;18;147;33;12;659.0
Loosdrecht-G0330;0;0;133;413;476;528;114;154;206;68;0;360.0
Lopik-G0331;0;0;495;357;555;291;40;75;295;9;0;237.0
Loppersum-G0024;0;0;6;508;847;185;327;42;0;87;0;291.0
Losser-G0168;0;0;6817;761;77;765;163;490;5;0;14;789.0
Luyksgestel-G0810;0;0;589;11;3;1;0;3;1;6;1;85.0
Maarheeze-G0811;0;0;1421;7;4;12;1;3;0;132;4;221.0
Maarn-G0332;0;0;82;328;158;328;59;41;145;5;0;181.0
Maarssen-G0333;0;0;913;871;709;810;109;99;99;16;0;405.0
Maartensdijk-G0334;0;0;1255;1405;1163;952;751;156;361;81;0;1085.0
Maasbracht-G0933;0;0;1136;18;0;0;0;0;0;39;19;338.0
Maasbree-G0934;0;0;2503;5;0;0;0;2;0;7;30;280.0
Maasdam-G0554;0;0;2;316;168;185;169;6;92;1;1;51.0
Maasdriel-G0263;0;0;1782;68;59;153;11;0;29;0;6;336.0
Maasland-G0555;0;0;323;44;650;646;30;5;25;1;3;138.0
Maasniel-G1110;0;0;2396;89;0;0;0;0;0;124;30;391.0
Maassluis-G0556;0;0;400;1643;1771;1311;110;63;92;14;49;712.0
Maastricht-G0935;0;0;23414;5892;0;0;0;1340;0;3256;726;7122.0
Made en Drimmelen-G0812;0;0;2337;74;83;111;147;0;3;13;4;486.0
Margraten-G0936;0;0;721;3;0;0;0;2;0;4;4;69.0
Markelo-G0169;0;0;192;938;645;307;952;56;8;0;26;461.0
Marken-G0419;0;0;1;12;247;463;12;4;1;0;7;128.0
Marum-G0025;0;0;10;1204;1077;232;688;209;0;47;0;522.0
Maurik-G0264;0;0;150;924;215;605;232;30;75;0;74;378.0
