RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overige partijen met 1 of meer zetels;Overige partijen zonder zetels;@abs
Schiermonnikoog-G0088;0;0;18;130;122;45;35;3;1;1;16;110.0
Schijndel-G0844;0;0;4340;165;7;34;17;12;2;75;11;702.0
Schimmert-G0961;0;0;903;7;0;0;0;3;0;13;1;96.0
Schinnen-G0962;0;0;1756;47;0;0;0;20;0;26;4;305.0
Schinveld-G0963;0;0;1407;33;0;0;0;29;0;33;9;217.0
Schipluiden-G0607;0;0;1243;61;367;473;12;3;25;21;1;160.0
Schoondijke-G0706;0;0;205;307;200;115;222;3;26;0;0;133.0
Schoonebeek-G0129;0;0;741;481;406;463;183;16;0;0;2;234.0
Schoonhoven-G0608;0;0;436;836;619;307;206;30;177;11;4;309.0
Schoonrewoerd-G0609;0;0;6;71;178;81;29;0;158;1;2;88.0
Schoorl-G0444;0;0;470;523;66;33;306;172;1;0;4;219.0
Serooskerke (Schouwen)-G1175;0;0;3;43;15;21;19;0;3;19;0;26.0
Serooskerke (Walcheren)-G1176;0;0;0;30;528;232;5;2;95;19;0;82.0
Sevenum-G0964;0;0;1791;6;0;0;0;0;0;6;5;125.0
's-Graveland-G0390;0;0;143;131;174;256;66;25;39;0;8;160.0
's-Gravendeel-G0517;0;0;14;844;701;565;343;13;253;3;1;399.0
's-Gravenhage-G0518;0;0;57465;87460;47672;23701;38193;21720;3576;7413;2466;45234.0
's-Gravenmoer-G0787;0;0;26;26;343;167;93;0;5;2;0;184.0
's-Gravenpolder-G0666;0;0;68;71;93;206;9;1;269;17;0;89.0
's-Gravenzande-G0519;0;0;206;897;971;1191;499;14;299;21;9;296.0
's-Heer Abtskerke-G0669;0;0;32;23;18;109;27;0;16;3;0;21.0
's-Heer Arendskerke-G0670;0;0;458;213;554;787;123;5;131;86;0;261.0
's-Heerenhoek-G0671;0;0;620;10;13;21;1;1;1;6;0;73.0
's-Hertogenbosch-G0796;0;0;16592;3396;448;759;284;412;24;4078;248;3756.0
Sijbekarspel-G0447;0;0;329;195;12;10;172;25;0;0;2;43.0
Simpelveld-G0965;0;0;1340;37;0;0;0;38;0;348;5;376.0
Sint Annaland-G0708;0;0;11;230;84;125;110;0;674;12;0;376.0
Sint Geertruid-G0966;0;0;509;2;0;0;0;0;0;2;0;30.0
Sint Jansteen-G0709;0;0;1066;142;12;39;15;7;5;371;0;285.0
Sint Laurens-G1179;0;0;13;66;316;240;56;3;83;8;0;77.0
Sint Maarten-G0445;0;0;168;203;146;1;136;66;0;0;7;95.0
Sint Maartensdijk-G0711;0;0;7;504;69;118;98;0;476;51;0;334.0
Sint Odiliënberg-G0967;0;0;688;12;0;0;0;0;0;1;5;74.0
Sint Pancras-G0446;0;0;23;213;193;208;102;44;22;0;2;128.0
Sint Philipsland-G0712;0;0;1;98;159;196;39;0;583;19;0;219.0
Sint-Michielsgestel-G0845;0;0;2450;122;9;47;63;6;1;113;9;500.0
Sint-Oedenrode-G0846;0;0;3828;71;9;45;16;34;0;68;4;408.0
Sittard-G0968;0;0;7148;503;0;0;0;161;0;278;89;1818.0
Sleen-G0130;0;0;9;1061;504;356;789;273;0;0;5;483.0
Slenaken-G0969;0;0;261;6;0;0;0;0;0;9;4;40.0
Sliedrecht-G0610;0;0;60;2836;929;1074;687;227;1513;11;73;1558.0
Slochteren-G0040;0;0;72;2564;1287;1083;1115;416;0;246;0;1364.0
Sloten (F)-G0089;0;0;64;105;60;128;10;1;10;2;4;30.0
Sluis-G0713;0;0;625;219;39;101;94;12;3;0;0;184.0
Smallingerland-G0090;0;0;95;3331;3111;985;530;660;16;444;295;1037.0
Smilde-G0131;0;0;12;942;979;935;177;31;0;0;75;448.0
Sneek-G0091;0;0;1273;3004;2126;1595;836;535;19;136;91;1224.0
Snelrewaard-G0341;0;0;157;3;53;24;3;5;43;0;0;26.0
Soest-G0342;0;0;3416;2252;2288;953;1157;517;174;60;0;2038.0
Someren-G0847;0;0;3286;41;5;51;4;3;0;109;3;421.0
Sommelsdijk-G1184;0;0;24;593;507;78;236;11;507;12;3;318.0
Son en Breugel-G0848;0;0;1587;30;10;17;6;3;0;36;1;274.0
Spanbroek-G1186;0;0;791;108;8;5;46;10;0;0;10;71.0
Spaubeek-G0970;0;0;714;21;0;0;0;9;0;13;4;86.0
Spijkenisse-G0612;0;0;14;546;268;284;200;31;81;1;2;173.0
Sprang-Capelle-G0849;0;0;143;320;1102;581;150;0;444;31;7;547.0
Stad aan 't Haringvliet-G1188;0;0;6;124;206;69;125;3;115;0;1;121.0
Stad Delden-G0179;0;0;1174;372;126;111;129;14;0;0;3;176.0
Standdaarbuiten-G0850;0;0;886;7;14;23;8;0;1;19;6;99.0
Staphorst-G0180;0;0;33;489;1535;417;296;19;1141;0;252;620.0
Stavenisse-G0714;0;0;6;124;57;80;35;0;375;62;0;372.0
Stavoren-G0092;0;0;5;126;160;207;20;14;0;2;12;147.0
Stedum-G0041;0;0;2;285;505;302;110;36;0;44;0;103.0
Steenbergen-G0851;0;0;4238;166;47;151;125;22;39;169;12;834.0
Steenderen-G0280;0;0;900;300;276;367;162;3;7;0;0;252.0
Steenwijk-G0181;0;0;253;2051;668;870;348;195;24;0;42;587.0
Steenwijkerwold-G0182;0;0;603;1291;374;1027;131;61;22;0;67;496.0
Stein-G0971;0;0;2217;101;0;0;0;76;0;94;14;567.0
Stellendam-G1195;0;0;4;197;387;97;50;7;139;2;3;237.0
Stevensweert-G0972;0;0;583;6;0;0;0;0;0;15;7;92.0
Stiphout-G1196;0;0;641;25;0;3;2;2;0;33;0;73.0
Stolwijk-G0615;0;0;25;566;228;58;316;13;257;2;5;234.0
Stoutenburg-G0343;0;0;552;44;58;122;4;2;43;4;0;96.0
Stramproy-G0973;0;0;781;2;0;0;0;0;0;4;21;103.0
Streefkerk-G0616;0;0;5;230;211;152;108;10;215;1;0;158.0
Strijen-G0617;0;0;21;919;454;560;468;32;236;2;6;338.0
Susteren-G0974;0;0;2019;106;0;0;0;0;0;41;23;438.0
Swalmen-G0975;0;0;2404;45;0;0;0;0;0;49;24;475.0
't Zandt-G0054;0;0;4;631;488;304;313;34;0;8;0;198.0
Tegelen-G0976;0;0;5642;272;0;0;0;64;0;43;82;703.0
Ten Boer-G0009;0;0;10;875;1024;288;387;122;0;205;0;332.0
Ter Aar-G0480;0;0;1261;31;262;380;35;4;82;13;1;130.0
Terheijden-G0853;0;0;2078;69;5;47;32;0;1;35;9;274.0
Termunten-G0042;0;0;6;736;590;238;243;384;0;12;0;623.0
Terneuzen-G0715;0;0;1273;1893;687;1246;478;94;612;209;0;1186.0
Terschelling-G0093;0;0;13;941;157;368;289;12;8;0;45;517.0
Teteringen-G0854;0;0;897;25;7;5;18;3;0;1;6;114.0
Texel-G0448;0;0;1202;1812;609;316;745;146;10;0;15;714.0
Tholen-G0716;0;0;117;224;205;437;159;0;467;66;0;277.0
Thorn-G0977;0;0;899;7;0;0;0;0;0;3;24;110.0
Tiel-G0281;0;0;2065;3586;296;622;829;136;25;0;70;784.0
Tienhoven (Ut)-G1202;0;0;6;30;143;134;4;3;14;2;0;25.0
Tienhoven (ZH)-G0618;0;0;0;31;118;11;18;1;19;0;0;19.0
Tietjerksteradeel-G0094;0;0;52;2696;3137;2240;681;190;85;163;193;1015.0
Tilburg-G0855;0;0;43770;7718;519;541;454;1272;64;517;376;6961.0
Tubbergen-G0183;0;0;5234;135;26;412;18;6;3;0;5;367.0
Tull en 't Waal-G1205;0;0;127;12;18;73;0;0;5;0;0;23.0
Twisk-G0449;0;0;9;243;35;9;116;11;2;0;1;48.0
Ubach over Worms-G0978;0;0;2243;188;0;0;0;311;0;168;31;742.0
Ubbergen-G0282;0;0;2600;102;17;62;36;8;0;0;84;286.0
Uden-G0856;0;0;4155;101;22;19;19;0;0;44;14;579.0
Udenhout-G0857;0;0;1985;30;1;6;0;7;1;23;0;276.0
Uitgeest-G0450;0;0;1284;549;53;21;123;356;0;0;13;181.0
Uithoorn-G0451;0;0;1536;284;225;384;64;41;2;0;6;207.0
Uithuizen-G0043;0;0;339;639;576;353;340;229;0;61;0;230.0
Uithuizermeeden-G0044;0;0;18;600;818;812;280;34;0;292;0;217.0
Ulestraten-G0979;0;0;522;9;0;0;0;2;0;11;10;59.0
Ulrum-G0045;0;0;6;499;929;226;185;71;0;269;0;254.0
Urk-G0184;0;0;15;74;1242;153;12;18;323;0;121;388.0
Urmond-G0980;0;0;1139;46;0;0;0;8;0;40;4;167.0
Ursem-G0452;0;0;562;97;10;4;36;19;0;0;1;47.0
Usquert-G0046;0;0;22;653;64;76;166;29;0;3;0;110.0
Utingeradeel-G0095;0;0;21;1335;286;419;391;62;41;193;73;409.0
Utrecht-G0344;0;0;29752;30601;13046;8431;7664;5924;985;909;0;13685.0
Vaals-G0981;0;0;3076;84;0;0;0;530;0;125;41;859.0
Valburg-G0283;0;0;1319;691;315;811;96;26;327;0;6;452.0
Valkenburg (ZH)-G0619;0;0;27;34;153;303;16;3;41;2;27;56.0
Valkenburg-Houthem-G0982;0;0;3653;97;0;0;0;45;0;176;357;834.0
Valkenswaard-G0858;0;0;4690;624;41;65;68;18;3;160;13;955.0
Varik-G0284;0;0;131;197;20;209;54;2;16;0;6;83.0
Veen-G0859;0;0;1;77;110;140;4;0;126;5;1;152.0
Veendam-G0047;0;0;485;3770;795;670;1125;699;0;69;0;1474.0
Veenendaal-G0345;0;0;242;1383;2496;1862;101;74;532;20;0;862.0
Veere-G0717;0;0;29;134;167;146;48;1;56;19;0;59.0
Veghel-G0860;0;0;4517;111;23;34;15;15;0;135;8;462.0
Veldhoven-G0861;0;0;4075;99;30;43;15;8;3;79;3;497.0
Veldhuizen-G1207;0;0;262;43;44;67;9;3;11;1;0;24.0
Velsen-G0453;0;0;5479;7771;2745;2049;1727;2873;86;0;187;2939.0
Venhuizen-G0454;0;0;859;465;39;22;232;42;2;0;7;153.0
Venlo-G0983;0;0;16749;2246;0;0;0;367;0;375;266;3062.0
Venray-G0984;0;0;6362;64;0;0;0;0;0;28;29;810.0
Vessem, Wintelre en Knegsel-G0862;0;0;813;3;3;3;1;1;0;24;0;70.0
Vianen-G0620;0;0;453;561;277;390;124;17;154;18;7;247.0
Vierlingsbeek-G0863;0;0;2347;18;4;15;4;0;0;37;2;214.0
Vierpolders-G0621;0;0;1;189;32;57;150;48;4;1;0;87.0
Vinkeveen en Waverveen-G0346;0;0;1347;105;351;386;12;11;156;6;0;249.0
Vlaardingen-G0622;0;0;2279;9133;3725;4770;1113;894;1112;97;204;2780.0
Vlagtwedde-G0048;0;0;1236;2290;908;1637;761;691;0;65;0;1240.0
Vledder-G0132;0;0;81;628;156;109;240;48;0;0;9;260.0
Vleuten-G1211;0;0;1034;195;211;432;32;19;33;19;0;165.0
Vlieland-G0096;0;0;4;219;32;18;39;1;2;0;20;86.0
Vlijmen-G0864;0;0;3036;111;19;42;7;0;6;178;15;621.0
Vlissingen-G0718;0;0;1462;5390;1634;1501;1066;389;220;235;0;2069.0
Vlist-G0623;0;0;48;37;58;26;40;0;40;0;0;25.0
Vlodrop-G0985;0;0;685;11;0;0;0;0;0;8;4;111.0
Voerendaal-G0986;0;0;1911;74;0;0;0;43;0;60;21;335.0
Vogelwaarde-G0719;0;0;1685;81;21;52;23;0;5;58;0;304.0
Vollenhove-G0185;0;0;183;394;583;821;60;16;41;0;268;333.0
Voorburg-G0624;0;0;5190;3982;3081;1643;3221;368;135;741;165;2426.0
Voorhout-G0625;0;0;1403;48;57;157;21;6;3;36;2;151.0
Voorschoten-G0626;0;0;1380;764;800;810;399;41;99;77;25;522.0
Voorst-G0285;0;0;2307;2091;440;1475;1569;588;99;0;17;994.0
Vorden-G0286;0;0;444;622;390;805;452;15;12;0;11;404.0
Vreeland-G1213;0;0;62;105;116;114;52;20;44;2;0;76.0
Vreeswijk-G0348;0;0;598;335;196;297;24;8;73;5;0;269.0
Vries-G0133;0;0;20;1178;315;140;1058;118;0;0;61;622.0
Vriezenveen-G0186;0;0;360;726;503;2845;107;107;182;0;50;940.0
Vrouwenpolder-G1214;0;0;1;18;307;119;8;2;38;49;0;63.0
Vught-G0865;0;0;5546;588;110;127;295;41;3;353;39;1448.0
Vuren-G0287;0;0;8;352;219;283;98;7;20;0;0;113.0
Waalre-G0866;0;0;2180;224;22;45;112;16;4;92;2;545.0
Waalwijk-G0867;0;0;4949;407;222;548;89;0;32;105;18;668.0
Waarde-G0721;0;0;1;34;32;180;41;4;209;14;0;96.0
Waardenburg-G0288;0;0;11;267;43;249;24;3;227;0;2;125.0
Waarder-G1217;0;0;22;27;184;114;1;3;117;1;2;57.0
Waddinxveen-G0627;0;0;575;988;752;710;355;52;801;7;12;311.0
Wadenoijen-G1218;0;0;146;332;41;179;181;9;49;0;15;428.0
Wageningen-G0289;0;0;1570;2789;1172;1723;999;470;408;0;29;1391.0
Wamel-G0290;0;0;2857;99;4;178;12;0;15;0;38;489.0
Wanneperveen-G0187;0;0;6;229;136;421;31;10;5;0;24;111.0
Wanroij-G0868;0;0;1369;4;0;0;2;0;0;25;0;103.0
Wanssum-G0987;0;0;496;2;0;0;0;0;0;2;2;48.0
Warder-G0455;0;0;11;95;14;8;150;12;0;0;2;28.0
Warffum-G0049;0;0;3;679;382;71;199;12;0;22;0;138.0
Warmenhuizen-G0456;0;0;830;145;100;2;117;73;0;0;4;73.0
Warmond-G0628;0;0;1071;188;71;204;88;9;22;13;1;186.0
Warnsveld-G0291;0;0;286;756;303;587;411;24;7;0;24;836.0
Waspik-G0869;0;0;1189;33;86;131;6;0;12;14;3;346.0
Wassenaar-G0629;0;0;3723;1707;1815;1461;2653;120;131;457;31;1757.0
Wateringen-G0630;0;0;2023;109;174;389;33;10;9;61;5;198.0
Waterlandkerkje-G0722;0;0;111;49;22;42;30;0;21;0;0;31.0
Wedde-G1220;0;0;14;989;132;275;319;342;0;9;0;325.0
Weerselo-G0188;0;0;3573;83;10;129;25;3;0;0;1;215.0
Weert-G0988;0;0;7024;240;0;0;0;0;0;108;1425;1256.0
Weesp-G0457;0;0;858;1385;590;869;193;264;14;0;31;416.0
Weesperkarspel-G1221;0;0;566;248;266;652;27;67;4;0;14;239.0
Wehl-G0292;0;0;1570;36;4;87;10;1;1;0;3;224.0
Wemeldinge-G0723;0;0;14;240;246;421;137;3;101;94;0;256.0
Werkendam-G0870;0;0;21;401;370;401;47;0;174;9;1;822.0
Werkhoven-G1223;0;0;393;35;54;42;3;0;32;0;0;34.0
Wervershoof-G0459;0;0;1781;62;16;2;23;13;1;0;5;112.0
Wessem-G0989;0;0;569;7;0;0;0;0;0;5;50;105.0
Westbroek-G1224;0;0;78;92;194;216;6;6;35;2;0;66.0
Westdongeradeel-G0097;0;0;21;848;1423;1179;356;130;29;12;66;390.0
Westdorpe-G0724;0;0;703;221;10;38;54;12;3;17;0;206.0
Westerbork-G0134;0;0;16;1269;572;265;638;25;0;0;6;341.0
Westerhoven-G0871;0;0;396;1;0;0;1;0;0;0;0;40.0
Westervoort-G0293;0;0;889;63;82;160;17;3;9;0;2;159.0
Westkapelle-G0726;0;0;15;419;110;313;103;10;208;9;0;176.0
Westmaas-G0631;0;0;3;101;165;134;91;2;25;0;1;41.0
Weststellingwerf-G0098;0;0;1115;4234;778;1414;1300;630;6;456;137;1770.0
Westwoud-G0460;0;0;462;127;7;14;89;8;0;0;4;52.0
Westzaan-G0461;0;0;69;602;281;78;159;552;44;0;7;262.0
Wierden-G0189;0;0;2043;764;1418;2485;141;66;378;0;14;734.0
Wieringen-G0462;0;0;278;1333;295;156;683;547;4;0;11;604.0
Wieringermeer-G0463;0;0;637;662;669;395;315;52;5;0;18;268.0
Wieringerwaard-G0464;0;0;28;307;23;18;229;79;2;0;2;111.0
Wijchen-G0296;0;0;3704;60;2;40;15;0;3;0;52;436.0
Wijdenes-G0469;0;0;15;281;13;15;223;20;0;0;2;70.0
Wijdewormer-G0470;0;0;168;79;24;29;77;35;0;0;2;44.0
Wijhe-G0190;0;0;827;823;249;815;202;22;23;0;0;273.0
Wijk bij Duurstede-G0352;0;0;1091;273;66;387;35;12;18;0;0;166.0
Wijk en Aalburg-G0876;0;0;13;216;384;138;57;0;431;5;1;330.0
Wijlre-G0991;0;0;1091;12;0;0;0;6;0;19;12;141.0
Wijnandsrade-G0992;0;0;338;7;0;0;0;4;0;3;1;59.0
Wijngaarden-G0634;0;0;2;6;91;3;9;0;100;0;0;24.0
Wildervank-G1225;0;0;192;2306;935;581;813;368;0;59;0;816.0
Willemstad-G0872;0;0;97;111;241;444;42;0;18;9;3;151.0
Willeskop-G0349;0;0;251;46;42;97;3;5;14;1;0;25.0
Wilnis-G0350;0;0;501;20;358;279;9;5;78;6;0;105.0
Winkel-G0465;0;0;46;514;52;14;270;232;3;0;8;178.0
Winschoten-G0052;0;0;313;3399;1169;785;1227;1221;0;38;0;1177.0
Winsum-G0053;0;0;2;489;762;133;239;7;0;39;0;148.0
Winterswijk-G0294;0;0;1484;5228;992;651;2706;128;9;0;50;1150.0
Wisch-G0295;0;0;2062;1256;1025;1034;740;24;12;0;5;916.0
Wissenkerke-G0727;0;0;10;275;598;743;78;0;178;41;0;279.0
Wittem-G0990;0;0;2254;21;0;0;0;20;0;58;8;355.0
Woensdrecht-G0873;0;0;1801;78;36;25;25;3;4;61;3;344.0
Woerden-G0632;0;0;1501;824;783;1304;307;50;388;77;5;571.0
Wognum-G0466;0;0;895;142;9;15;98;28;0;0;0;62.0
Wolphaartsdijk-G0728;0;0;52;124;267;568;89;1;232;36;0;185.0
Wonseradeel-G0099;0;0;601;1519;1815;2037;446;168;27;0;71;827.0
Workum-G0100;0;0;487;416;429;689;54;12;1;9;12;206.0
Wormer-G0467;0;0;869;862;320;56;181;541;6;0;85;212.0
Wormerveer-G0468;0;0;914;2049;592;84;541;1860;6;0;46;617.0
Woubrugge-G0633;0;0;573;63;198;300;74;14;85;4;0;110.0
Woudenberg-G0351;0;0;37;539;366;632;103;24;310;15;0;327.0
Woudrichem-G0874;0;0;9;477;65;476;32;0;22;13;0;146.0
Wouw-G0875;0;0;2388;56;13;23;12;11;2;179;2;375.0
Wymbritseradeel-G0101;0;0;768;610;1465;2861;147;24;8;21;22;583.0
Yerseke-G0729;0;0;107;481;427;579;179;45;562;77;0;440.0
Zaamslag-G0731;0;0;36;362;545;624;77;3;140;182;0;243.0
Zaandam-G0471;0;0;3239;8619;3138;1092;1552;5373;118;0;175;2447.0
Zaandijk-G0472;0;0;180;985;289;60;279;618;3;0;12;304.0
Zaltbommel-G0297;0;0;469;1163;244;288;288;0;69;0;16;355.0
Zandvoort-G0473;0;0;921;1622;402;682;776;300;5;0;25;951.0
Zeeland-G0877;0;0;1386;8;1;2;3;0;0;22;1;289.0
Zegveld-G0354;0;0;117;5;218;206;0;3;81;1;0;54.0
Zeist-G0355;0;0;2864;5038;4969;3621;2389;498;731;219;0;3504.0
Zelhem-G0298;0;0;395;790;941;783;331;10;136;0;16;641.0
Zevenaar-G0299;0;0;3245;201;49;152;76;7;13;0;11;563.0
Zevenbergen-G0878;0;0;2929;82;156;685;32;0;5;248;13;648.0
Zevenhoven-G0635;0;0;279;36;75;93;16;0;11;12;0;63.0
Zevenhuizen-G0636;0;0;32;579;161;422;223;7;171;2;4;199.0
Zierikzee-G0732;0;0;398;1204;792;390;400;0;115;332;0;535.0
Zijpe-G0476;0;0;910;1119;137;38;643;178;2;0;13;368.0
Zoelen-G0300;0;0;18;700;52;309;167;6;18;0;29;246.0
Zoetermeer-G0637;0;0;912;453;359;469;166;27;421;31;16;377.0
Zoeterwoude-G0638;0;0;1767;108;142;280;55;9;36;24;2;203.0
Zonnemaire-G1236;0;0;2;213;95;45;102;0;5;12;0;47.0
Zoutelande-G1237;0;0;5;40;103;196;24;2;122;7;0;56.0
Zuid- en Noord-Schermer-G0474;0;0;61;227;31;10;102;58;18;0;3;74.0
Zuid-Beijerland-G0639;0;0;4;298;293;307;167;9;244;3;4;190.0
Zuidbroek-G1240;0;0;13;667;147;61;233;224;0;61;0;295.0
Zuiddorpe-G0734;0;0;358;60;3;13;7;1;1;13;0;56.0
Zuidhorn-G0056;0;0;34;664;418;199;377;36;0;315;0;191.0
Zuidland-G0640;0;0;4;132;638;123;131;4;29;0;0;114.0
Zuidlaren-G0136;0;0;10;991;589;121;741;43;0;0;73;363.0
Zuidwolde-G0137;0;0;42;938;825;733;588;22;0;0;59;402.0
Zuidzande-G0735;0;0;14;191;38;51;194;13;10;0;0;63.0
Zuilen-G1242;0;0;3079;4556;1393;1059;165;957;145;81;0;1358.0
Zuilichem-G1243;0;0;2;150;138;34;3;0;205;0;0;133.0
Zundert-G0879;0;0;3449;82;47;79;32;19;0;53;21;716.0
Zutphen-G0301;0;0;1575;5114;948;1417;1554;1018;46;0;138;1825.0
Zwaag-G0475;0;0;741;214;9;7;103;7;0;0;1;70.0
Zwammerdam-G1244;0;0;385;157;283;283;93;7;95;7;2;155.0
Zwartewaal-G0641;0;0;2;127;73;17;67;4;9;0;0;37.0
Zwartsluis-G0192;0;0;21;218;786;470;55;26;51;0;44;324.0
Zweeloo-G0138;0;0;5;425;291;64;391;10;0;0;2;113.0
Zwijndrecht-G0642;0;0;319;1754;2084;1707;389;296;564;13;84;1073.0
Zwolle-G0193;0;0;4761;9323;3275;3291;2317;1260;340;0;544;3436.0
Zwollerkerspel-G1245;0;0;769;871;905;1434;360;50;251;0;288;616.0
