RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Roermond-G0957;69;0;4421;3410;1625;845;996.0;;;;243.0;;360.0;247.0;;403.0;1118.0;;;;;95.0;;;;173.0;;;;;;;;;;;;;113.0;;17240
Roggel en Neer-G1670;15;0;742;1209;323;164;153.0;;;;29.0;;83.0;8.0;;63.0;278.0;;;;;9.0;;;;26.0;;;;;;;;;;;;;13.0;;3004
Rolde-G0126;3;0;1260;247;864;335;151.0;104.0;1.0;;18.0;;;;22.0;;;;8.0;;;;;;;;;;;105.0;;;;;;;;;;;1828
Roosendaal en Nispen-G0838;33;0;5715;5140;2658;1617;744.0;1262.0;;;527.0;;;292.0;;;;84.0;;;;;84.0;;188.0;;;;;;;;;104.0;;107.0;539.0;;;;27538
Rosmalen-G0839;77;0;2593;2111;1069;817;364.0;495.0;;;1245.0;;;73.0;;;;46.0;;;;;91.0;;62.0;;;;;;;;;50.0;;9.0;0.0;;;;11345
Rossum-G0276;3;0;392;419;228;96;98.0;26.0;5.0;3.0;13.0;;;8.0;;;;8.0;;;;2.0;;70.0;;1.0;10.0;;;;;;;;;;;;;;1048
Rotterdam-G0599;935;0;45634;20955;38952;16127;;14391.0;3081.0;4195.0;6727.0;10100.0;;4749.0;;;;;;;;782.0;;;;;1930.0;;;;;;;;;;;247.0;;;259092
Rozenburg-G0600;13;0;1398;915;787;418;;295.0;47.0;198.0;56.0;153.0;;94.0;;;;;;;;11.0;;;;;18.0;;;;;;;;;;;4.0;;;6065
Rozendaal-G0277;2;0;400;114;62;121;42.0;36.0;1.0;7.0;4.0;;;1.0;;;;5.0;;;;4.0;;1.0;;4.0;0.0;;;;;;;;;;;;;;163
Rucphen-G0840;30;0;1358;2257;1018;286;101.0;267.0;;;48.0;;;231.0;;;;4.0;;;;;16.0;;22.0;;;;;;;;;143.0;;36.0;17.0;;;;11770
Ruinen-G0127;8;0;1220;534;720;209;84.0;75.0;4.0;;22.0;;;;24.0;;;;49.0;;;;;;;;;;;541.0;;;;;;;;;;;2046
Ruinerwold-G0128;3;0;539;353;288;98;49.0;31.0;2.0;;3.0;;;;81.0;;;;24.0;;;;;;;;;;;422.0;;;;;;;;;;;879
Ruurlo-G0278;7;0;1427;836;671;257;56.0;119.0;4.0;26.0;25.0;;;8.0;;;;7.0;;;;0.0;;14.0;;11.0;5.0;;;;;;;;;;;;;;2754
Sas van Gent-G0704;9;0;678;623;406;301;93.0;;27.0;20.0;;;131.0;44.0;;84.0;;;;;;;;;;29.0;;277.0;;;;;;;66.0;;17.0;;;;3299
Sassenheim-G0604;14;0;2195;1733;598;623;;258.0;32.0;86.0;82.0;214.0;;23.0;;;;;;;;6.0;;;;;51.0;;;;;;;;;;;0.0;;;4882
Schagen-G0441;21;0;2272;959;1235;739;371.0;304.0;4.0;78.0;121.0;;;51.0;;;;47.0;;;;;;;;17.0;;;10.0;;65.0;;;;;;;;;;6876
Scheemda-G0039;26;0;962;1432;2317;309;247.0;;;;150.0;;178.0;40.0;73.0;81.0;;76.0;;;328.0;;;;;;;;283.0;;;;;;;;;;;;4268
Schermer-G0458;0;0;681;644;371;156;96.0;64.0;4.0;14.0;15.0;;;21.0;;;;16.0;;;;;;;;10.0;;;1.0;;24.0;;;;;;;;;;1594
Scherpenzeel-G0279;16;0;1255;938;505;200;62.0;93.0;741.0;481.0;14.0;;;24.0;;;;9.0;;;;11.0;;12.0;;8.0;6.0;;;;;;;;;;;;;;2178
Schiedam-G0606;43;0;6320;3754;4815;2250;;1872.0;240.0;527.0;641.0;1508.0;;404.0;;;;;;;;121.0;;;;;173.0;;;;;;;;;;;93.0;;;31673
Schiermonnikoog-G0088;2;0;164;121;100;60;25.0;;;;4.0;;7.0;1.0;10.0;;;;;1.0;1.0;0.0;;;;;;;0.0;;;3.0;;;;;;;;;351
Schijndel-G0844;0;0;1671;2385;1124;532;192.0;372.0;;;977.0;;;81.0;;;;20.0;;;;;55.0;;18.0;;;;;;;;;32.0;;3.0;0.0;;;;9611
Schinnen-G0962;26;0;1078;2833;612;494;314.0;;;;132.0;;220.0;39.0;;178.0;684.0;;;;;18.0;;;;98.0;;;;;;;;;;;;;8.0;;4059
Schipluiden-G0607;11;0;1449;1618;299;296;;86.0;50.0;113.0;29.0;154.0;;13.0;;;;;;;;9.0;;;;;10.0;;;;;;;;;;;3.0;;;2611
Schoonebeek-G0129;7;0;423;1230;575;209;44.0;110.0;6.0;;24.0;;;;23.0;;;;15.0;;;;;;;;;;;137.0;;;;;;;;;;;3165
Schoonhoven-G0608;17;0;1465;1076;666;556;;181.0;361.0;273.0;34.0;317.0;;42.0;;;;;;;;14.0;;;;;16.0;;;;;;;;;;;4.0;;;3779
Schoorl-G0444;6;0;966;544;529;368;145.0;120.0;2.0;17.0;62.0;;;43.0;;;;45.0;;;;;;;;9.0;;;4.0;;100.0;;;;;;;;;;2280
Sevenum-G0964;6;0;487;1458;227;195;44.0;;;;89.0;;52.0;4.0;;48.0;111.0;;;;;5.0;;;;11.0;;;;;;;;;;;;;3.0;;2593
's-Graveland-G0390;10;0;1546;852;477;381;195.0;212.0;49.0;111.0;31.0;;;33.0;;;;50.0;;;;;;;;17.0;;;2.0;;150.0;;;;;;;;;;3111
's-Gravendeel-G0517;17;0;920;844;744;245;;78.0;367.0;177.0;24.0;92.0;;27.0;;;;;;;;5.0;;;;;8.0;;;;;;;;;;;9.0;;;3052
's-Gravenhage-G0518;386;0;48957;17631;22298;13049;;8282.0;1388.0;2712.0;3004.0;9173.0;;2879.0;;;;;;;;464.0;;;;;561.0;;;;;;;;;;;88.0;;;189475
's-Gravenmoer-G0787;0;0;225;320;75;77;19.0;17.0;;;27.0;;;10.0;;;;3.0;;;;;1.0;;139.0;;;;;;;;;7.0;;0.0;0.0;;;;764
's-Gravenzande-G0519;8;0;2886;2366;586;344;;168.0;401.0;369.0;29.0;162.0;;62.0;;;;;;;;20.0;;;;;22.0;;;;;;;;;;;1.0;;;6526
's-Hertogenbosch-G0796;46;0;7133;6283;4689;3100;2494.0;2171.0;;;1341.0;;;481.0;;;;210.0;;;;;83.0;;308.0;;;;;;;;;200.0;;15.0;0.0;;;;44859
Simpelveld-G0965;2;0;555;1969;704;194;115.0;;;;110.0;;99.0;46.0;;218.0;190.0;;;;;40.0;;;;170.0;;;;;;;;;;;;;7.0;;4410
Sint-Michielsgestel-G0845;20;0;1181;1434;833;531;132.0;321.0;;;104.0;;;31.0;;;;12.0;;;;;12.0;;24.0;;;;;;;;;43.0;;2.0;0.0;;;;4813
Sint-Oedenrode-G0846;26;0;1490;2388;905;547;154.0;437.0;;;145.0;;;37.0;;;;18.0;;;;;46.0;;12.0;;;;;;;;;21.0;;3.0;0.0;;;;6577
Sittard-G0968;112;0;3363;5171;1820;1205;1352.0;;;;361.0;;1279.0;183.0;;480.0;2151.0;;;;;148.0;;;;188.0;;;;;;;;;;;;;33.0;;18467
Skarsterlân-G0051;11;0;2239;3743;2290;764;273.0;;;;44.0;;303.0;36.0;62.0;;;;;1350.0;278.0;45.0;;;;;;;43.0;;;61.0;;;;;;;;;7568
Sleen-G0130;12;0;962;721;1356;316;94.0;175.0;7.0;;47.0;;;;50.0;;;;77.0;;;;;;;;;;;74.0;;;;;;;;;;;2966
Sliedrecht-G0610;27;0;2094;1327;1638;615;;257.0;1991.0;915.0;92.0;249.0;;91.0;;;;;;;;24.0;;;;;34.0;;;;;;;;;;;61.0;;;8513
Slochteren-G0040;9;0;1213;920;1508;462;200.0;;;;108.0;;122.0;19.0;821.0;273.0;;106.0;;;119.0;;;;;;;;19.0;;;;;;;;;;;;4957
Sluis-G0713;5;0;791;504;374;114;28.0;;9.0;16.0;;;103.0;11.0;;40.0;;;;;;;;;;2.0;;598.0;;;;;;;35.0;;3.0;;;;1993
Smallingerland-G0090;67;0;3483;6465;5794;1387;1081.0;;;;358.0;;759.0;92.0;1085.0;;;;;1055.0;1228.0;126.0;;;;;;;108.0;;;237.0;;;;;;;;;14787
Smilde-G0131;20;0;691;1404;966;286;196.0;117.0;5.0;;48.0;;;;132.0;;;;75.0;;;;;;;;;;;468.0;;;;;;;;;;;2714
Sneek-G0091;20;0;2218;3215;2803;875;485.0;;;;98.0;;420.0;62.0;74.0;;;;;731.0;325.0;52.0;;;;;;;53.0;;;51.0;;;;;;;;;11186
Soest-G0342;55;0;7754;3533;2086;1839;857.0;;179.0;854.0;149.0;;416.0;112.0;;313.0;;95.0;;;;53.0;;;;;52.0;;;;;;;;;;;;;13.0;13571
Someren-G0847;30;0;1487;2915;566;375;145.0;378.0;;;70.0;;;101.0;;;;10.0;;;;;36.0;;20.0;;;;;;;;;8.0;;5.0;0.0;;;;7131
Son en Breugel-G0848;19;0;2282;1614;717;578;161.0;394.0;;;64.0;;;45.0;;;;31.0;;;;;37.0;;44.0;;;;;;;;;28.0;;1.0;0.0;;;;5227
Spijkenisse-G0612;52;0;7033;2160;4095;2193;;1409.0;251.0;560.0;538.0;769.0;;307.0;;;;;;;;63.0;;;;;171.0;;;;;;;;;;;19.0;;;31588
Sprang-Capelle-G0849;13;0;1069;619;298;188;68.0;143.0;;;49.0;;;64.0;;;;10.0;;;;;16.0;;1063.0;;;;;;;;;31.0;;0.0;0.0;;;;3811
St.Anthonis-G1691;27;0;761;2714;486;251;192.0;233.0;;;52.0;;;30.0;;;;15.0;;;;;247.0;;4.0;;;;;;;;;10.0;;3.0;0.0;;;;3284
Stad Delden-G0179;10;0;1286;1307;478;285;68.0;;1.0;;27.0;;106.0;16.0;11.0;44.0;;22.0;20.0;;;;;;;;;;3.0;;;;25.0;;;;;;;;2074
Stadskanaal-G0037;34;0;1903;3911;3147;599;270.0;;;;356.0;;303.0;91.0;694.0;145.0;;82.0;;;1175.0;;;;;;;;48.0;;;;;;;;;;;;13069
Standdaarbuiten-G0850;0;0;280;321;150;80;27.0;38.0;;;10.0;;;7.0;;;;3.0;;;;;8.0;;7.0;;;;;;;;;13.0;;4.0;2.0;;;;1235
Staphorst-G0180;4;0;935;1097;418;204;46.0;;2728.0;;10.0;;52.0;22.0;726.0;22.0;;21.0;895.0;;;;;;;;;;2.0;;;;28.0;;;;;;;;2661
Stede Broec-G0532;22;0;1895;1601;931;643;316.0;358.0;16.0;95.0;72.0;;;81.0;;;;39.0;;;;;;;;0.0;;;14.0;;283.0;;;;;;;;;;8045
Steenbergen-G0851;29;0;1720;1086;829;598;116.0;100.0;;;70.0;;;78.0;;;;8.0;;;;;38.0;;18.0;;;;;;;;;16.0;;22.0;7.0;;;;6676
Steenderen-G0280;4;0;542;1144;377;161;47.0;52.0;9.0;25.0;14.0;;;8.0;;;;6.0;;;;1.0;;6.0;;9.0;4.0;;;;;;;;;;;;;;1180
Steenwijk-G0181;26;0;2010;2381;2172;797;434.0;;28.0;;65.0;;308.0;64.0;230.0;63.0;;22.0;414.0;;;;;;;;;;9.0;;;;150.0;;;;;;;;7225
Stein-G0971;72;0;1853;3492;1387;894;452.0;;;;210.0;;330.0;190.0;;361.0;998.0;;;;;73.0;;;;89.0;;;;;;;;;;;;;10.0;;10543
Stramproy-G0973;11;0;341;1054;299;102;45.0;;;;20.0;;44.0;22.0;;38.0;35.0;;;;;13.0;;;;16.0;;;;;;;;;;;;;3.0;;1738
Strijen-G0617;22;0;1349;677;620;224;;173.0;263.0;163.0;34.0;163.0;;122.0;;;;;;;;47.0;;;;;16.0;;;;;;;;;;;32.0;;;2843
Susteren-G0974;64;0;696;2100;456;308;171.0;;;;47.0;;118.0;54.0;;545.0;1387.0;;;;;29.0;;;;75.0;;;;;;;;;;;;;10.0;;4168
Swalmen-G0975;24;0;597;1216;580;140;151.0;;;;22.0;;93.0;21.0;;63.0;211.0;;;;;12.0;;;;37.0;;;;;;;;;;;;;6.0;;3346
Tegelen-G0976;8;0;1492;2178;971;442;202.0;;;;61.0;;280.0;278.0;;134.0;230.0;;;;;66.0;;;;51.0;;;;;;;;;;;;;12.0;;7187
Ten Boer-G0009;0;0;499;901;749;268;105.0;;;;49.0;;53.0;11.0;516.0;28.0;;38.0;;;125.0;;;;;;;;22.0;;;;;;;;;;;;1660
Ter Aar-G0480;12;0;1189;1331;256;253;;124.0;72.0;77.0;37.0;225.0;;27.0;;;;;;;;10.0;;;;;8.0;;;;;;;;;;;0.0;;;3048
Terheijden-G0853;14;0;891;911;549;419;133.0;149.0;;;42.0;;;40.0;;;;7.0;;;;;22.0;;23.0;;;;;;;;;29.0;;1.0;5.0;;;;3285
Terneuzen-G0715;51;0;3089;2419;1904;913;418.0;;1083.0;995.0;;;426.0;190.0;;386.0;;;;;;;;;;68.0;;928.0;;;;;;;250.0;;77.0;;;;12923
Terschelling-G0093;7;0;722;328;532;173;85.0;;;;9.0;;61.0;25.0;7.0;;;;;39.0;25.0;0.0;;;;;;;1.0;;;98.0;;;;;;;;;1742
Teteringen-G0854;4;0;825;831;222;243;73.0;79.0;;;19.0;;;13.0;;;;9.0;;;;;220.0;;15.0;;;;;;;;;21.0;;2.0;1.0;;;;1744
Texel-G0448;9;0;1902;1387;1020;393;510.0;175.0;27.0;109.0;53.0;;;35.0;;;;36.0;;;;;;;;16.0;;;9.0;;5.0;;;;;;;;;;4224
Tholen-G0716;0;0;1774;1295;1473;483;131.0;;2958.0;762.0;;;296.0;70.0;;31.0;;;;;;;;;;13.0;;4.0;;;;;;;30.0;;5.0;;;;7225
Thorn-G0977;23;0;149;385;162;54;32.0;;;;11.0;;14.0;8.0;;44.0;345.0;;;;;1.0;;;;7.0;;;;;;;;;;;;;7.0;;830
Tiel-G0281;18;0;3895;1776;2282;1587;583.0;438.0;122.0;198.0;159.0;;;93.0;;;;31.0;;;;22.0;;52.0;;22.0;53.0;;;;;;;;;;;;;;13101
Tilburg-G0855;121;0;10007;12670;6853;4978;3867.0;4432.0;;;2764.0;;;603.0;;;;256.0;;;;;94.0;;313.0;;;;;;;;;245.0;;199.0;100.0;;;;77533
Tubbergen-G0183;26;0;1302;6039;529;372;98.0;;13.0;;23.0;;139.0;56.0;11.0;51.0;;30.0;15.0;;;;;;;;;;3.0;;;;624.0;;;;;;;;4798
Tytsjerksteradiel-G0737;31;0;2339;5063;2646;818;489.0;;;;106.0;;315.0;38.0;343.0;;;;;1307.0;608.0;80.0;;;;;;;17.0;;;277.0;;;;;;;;;8770
Ubbergen-G0282;9;0;949;901;554;382;243.0;101.0;2.0;14.0;43.0;;;5.0;;;;58.0;;;;4.0;;937.0;;17.0;3.0;;;;;;;;;;;;;;3202
Uden-G0856;11;0;3793;4002;1310;1077;254.0;596.0;;;1476.0;;;97.0;;;;39.0;;;;;36.0;;58.0;;;;;;;;;29.0;;5.0;0.0;;;;15092
Udenhout-G0857;0;0;702;1353;378;223;103.0;134.0;;;23.0;;;19.0;;;;4.0;;;;;170.0;;7.0;;;;;;;;;13.0;;0.0;5.0;;;;3575
Uitgeest-G0450;4;0;1306;853;704;455;282.0;257.0;2.0;21.0;46.0;;;37.0;;;;53.0;;;;;;;;13.0;;;10.0;;31.0;;;;;;;;;;3595
Uithoorn-G0451;8;0;4279;1857;1315;944;593.0;487.0;21.0;121.0;70.0;;;56.0;;;;84.0;;;;;;;;20.0;;;0.0;;34.0;;;;;;;;;;8936
Urk-G0184;3;0;82;1484;15;10;3.0;22.0;1962.0;;;;;24.0;400.0;;;;1518.0;;;;;;;6.0;;;;;;;;;;;0.0;;;;2899
Utrecht-G0344;291;0;19654;10473;16545;11528;13544.0;;487.0;1767.0;3475.0;;3243.0;753.0;;1724.0;;1003.0;;;;1927.0;;;;;259.0;;;;;;;;;;;;;223.0;88980
Vaals-G0981;11;0;504;1414;712;145;74.0;;;;51.0;;108.0;23.0;;67.0;49.0;;;;;15.0;;;;24.0;;;;;;;;;;;;;5.0;;3050
Valburg-G0283;10;0;1419;1460;609;694;248.0;164.0;351.0;197.0;67.0;;;29.0;;;;56.0;;;;11.0;;119.0;;15.0;9.0;;;;;;;;;;;;;;4339
Valkenburg (ZH)-G0619;4;0;390;413;125;66;;47.0;42.0;225.0;10.0;39.0;;11.0;;;;;;;;4.0;;;;;0.0;;;;;;;;;;;1.0;;;1090
Valkenburg aan de Geul-G0994;42;0;1306;3484;571;295;213.0;;;;243.0;;150.0;42.0;;132.0;1819.0;;;;;46.0;;;;69.0;;;;;;;;;;;;;6.0;;5729
Valkenisse-G0720;3;0;855;863;353;221;109.0;;165.0;129.0;;;102.0;20.0;;33.0;;;;;;;;;;12.0;;2.0;;;;;;;99.0;;10.0;;;;1836
Valkenswaard-G0858;14;0;2658;3567;1463;894;329.0;885.0;;;346.0;;;137.0;;;;33.0;;;;;22.0;;62.0;;;;;;;;;45.0;;2.0;0.0;;;;13043
Veendam-G0047;26;0;2398;1570;3428;932;242.0;;;;350.0;;407.0;126.0;159.0;118.0;;89.0;;;234.0;;;;;;;;55.0;;;;;;;;;;;;11570
Veenendaal-G0345;0;0;5261;4050;1985;1437;757.0;;2513.0;4152.0;102.0;;390.0;93.0;;193.0;;39.0;;;;248.0;;;;;32.0;;;;;;;;;;;;;6.0;16626
Veere-G0717;6;0;587;902;157;184;130.0;;216.0;262.0;;;59.0;14.0;;25.0;;;;;;;;;;3.0;;3.0;;;;;;;67.0;;4.0;;;;1191
Veghel-G0860;36;0;3162;5071;1353;888;242.0;629.0;;;402.0;;;89.0;;;;59.0;;;;;102.0;;60.0;;;;;;;;;41.0;;5.0;0.0;;;;12591
Veldhoven-G0861;49;0;3805;4062;1873;1417;427.0;1266.0;;;552.0;;;185.0;;;;69.0;;;;;124.0;;138.0;;;;;;;;;60.0;;9.0;0.0;;;;15879
Velsen-G0453;43;0;7977;3706;4302;2190;1336.0;2233.0;74.0;704.0;299.0;;;397.0;;;;294.0;;;;;;;;82.0;;;58.0;;36.0;;;;;;;;;;25758
Venhuizen-G0454;7;0;1193;762;412;247;119.0;120.0;2.0;23.0;23.0;;;52.0;;;;28.0;;;;;;;;0.0;;;11.0;;92.0;;;;;;;;;;2368
Venlo-G0983;24;0;5188;6654;2593;1521;1305.0;;;;409.0;;691.0;336.0;;603.0;185.0;;;;;124.0;;;;152.0;;;;;;;;;;;;;39.0;;27701
Venray-G0984;28;0;2338;5268;1401;1058;448.0;;;;201.0;;420.0;67.0;;197.0;559.0;;;;;39.0;;;;91.0;;;;;;;;;;;;;23.0;;14441
Vessem, Wintelre en Knegsel-G0862;5;0;459;1076;161;113;50.0;88.0;;;27.0;;;19.0;;;;4.0;;;;;16.0;;0.0;;;;;;;;;5.0;;1.0;0.0;;;;1861
Vianen-G0620;39;0;2209;1542;1126;730;;270.0;448.0;242.0;92.0;297.0;;61.0;;;;;;;;23.0;;;;;20.0;;;;;;;;;;;1.0;;;7075
Vierlingsbeek-G0863;21;0;609;1277;316;246;114.0;91.0;;;25.0;;;27.0;;;;9.0;;;;;33.0;;5.0;;;;;;;;;2.0;;0.0;0.0;;;;2871
Vlaardingen-G0622;40;0;7667;3951;5014;2171;;1471.0;874.0;1186.0;1724.0;1489.0;;303.0;;;;;;;;76.0;;;;;142.0;;;;;;;;;;;21.0;;;30855
Vlagtwedde-G0048;14;0;1321;1725;1677;284;136.0;;;;125.0;;151.0;52.0;44.0;65.0;;70.0;;;235.0;;;;;;;;32.0;;;;;;;;;;;;6745
Vledder-G0132;2;0;531;277;481;158;68.0;64.0;3.0;;5.0;;;;15.0;;;;17.0;;;;;;;;;;;80.0;;;;;;;;;;;1409
Vleuten-De Meern-G0347;7;0;2816;1949;664;609;291.0;;82.0;179.0;64.0;;297.0;38.0;;121.0;;31.0;;;;81.0;;;;;15.0;;;;;;;;;;;;;1.0;5334
Vlieland-G0096;0;0;202;53;110;49;25.0;;;;0.0;;20.0;0.0;1.0;;;;;7.0;2.0;0.0;;;;;;;0.0;;;41.0;;;;;;;;;290
Vlijmen-G0864;20;0;1476;1437;672;544;160.0;244.0;;;139.0;;;95.0;;;;14.0;;;;;507.0;;20.0;;;;;;;;;32.0;;2.0;0.0;;;;6878
Vlissingen-G0718;67;0;4284;2576;3464;1427;800.0;;554.0;549.0;;;801.0;211.0;;385.0;;;;;;;;;;65.0;;39.0;;;;;;;451.0;;183.0;;;;17576
Vlist-G0623;7;0;1285;1033;563;335;;128.0;547.0;241.0;52.0;102.0;;27.0;;;;;;;;14.0;;;;;7.0;;;;;;;;;;;0.0;;;2931
Voerendaal-G0986;13;0;1108;2165;822;331;167.0;;;;137.0;;138.0;53.0;;107.0;373.0;;;;;31.0;;;;144.0;;;;;;;;;;;;;5.0;;4646
Voorburg-G0624;37;0;7214;3099;2376;2046;;1165.0;93.0;377.0;203.0;871.0;;180.0;;;;;;;;67.0;;;;;51.0;;;;;;;;;;;0.0;;;13731
Voorhout-G0625;10;0;1805;1230;429;459;;133.0;12.0;55.0;38.0;181.0;;17.0;;;;;;;;5.0;;;;;10.0;;;;;;;;;;;0.0;;;3523
Voorschoten-G0626;22;0;3996;2010;1116;1286;;405.0;68.0;145.0;93.0;636.0;;42.0;;;;;;;;19.0;;;;;12.0;;;;;;;;;;;0.0;;;6765
Voorst-G0285;29;0;2752;3283;1709;995;240.0;342.0;248.0;128.0;40.0;;;30.0;;;;28.0;;;;11.0;;60.0;;42.0;12.0;;;;;;;;;;;;;;7821
Vorden-G0286;5;0;1395;1423;654;294;97.0;71.0;24.0;76.0;20.0;;;9.0;;;;20.0;;;;1.0;;9.0;;16.0;1.0;;;;;;;;;;;;;;2497
Vries-G0133;9;0;1643;493;995;578;260.0;242.0;4.0;;40.0;;;;108.0;;;;64.0;;;;;;;;;;;219.0;;;;;;;;;;;2659
Vriezenveen-G0186;36;0;1264;2951;1211;365;78.0;;465.0;;34.0;;74.0;59.0;73.0;64.0;;15.0;1092.0;;;;;;;;;;0.0;;;;41.0;;;;;;;;6231
Vught-G0865;14;0;2963;2330;1187;932;443.0;559.0;;;209.0;;;83.0;;;;61.0;;;;;38.0;;50.0;;;;;;;;;53.0;;2.0;0.0;;;;9866
Waalre-G0866;9;0;2347;1676;761;758;176.0;438.0;;;84.0;;;40.0;;;;33.0;;;;;118.0;;31.0;;;;;;;;;30.0;;1.0;0.0;;;;5418
Waalwijk-G0867;15;0;2815;2523;1167;816;395.0;800.0;;;212.0;;;155.0;;;;35.0;;;;;99.0;;238.0;;;;;;;;;40.0;;6.0;8.0;;;;12832
Waddinxveen-G0627;7;0;3228;1929;1241;994;;452.0;1056.0;976.0;87.0;289.0;;67.0;;;;;;;;37.0;;;;;25.0;;;;;;;;;;;3.0;;;8290
Wageningen-G0289;0;0;3045;2365;2865;2198;2570.0;370.0;300.0;552.0;262.0;;;36.0;;;;371.0;;;;7.0;;39.0;;35.0;14.0;;;;;;;;;;;;;;10963
Warmond-G0628;1;0;769;683;257;201;;99.0;16.0;16.0;23.0;101.0;;14.0;;;;;;;;4.0;;;;;2.0;;;;;;;;;;;2.0;;;1759
Warnsveld-G0291;14;0;1216;827;794;579;179.0;165.0;18.0;109.0;78.0;;;9.0;;;;34.0;;;;1.0;;8.0;;21.0;1.0;;;;;;;;;;;;;;2679
Waspik-G0869;0;0;439;658;285;161;32.0;138.0;;;45.0;;;41.0;;;;0.0;;;;;6.0;;46.0;;;;;;;;;17.0;;0.0;1.0;;;;1837
Wassenaar-G0629;12;0;6466;2149;818;785;;411.0;49.0;111.0;40.0;272.0;;63.0;;;;;;;;15.0;;;;;14.0;;;;;;;;;;;5.0;;;7309
Wateringen-G0630;14;0;2205;1879;434;482;;214.0;12.0;105.0;36.0;150.0;;65.0;;;;;;;;18.0;;;;;24.0;;;;;;;;;;;1.0;;;5435
Waterland-G0852;11;0;2785;1487;1411;683;456.0;245.0;13.0;99.0;71.0;;;56.0;;;;84.0;;;;;;;;12.0;;;9.0;;92.0;;;;;;;;;;6086
Weerselo-G0188;10;0;788;2882;309;164;54.0;;3.0;;8.0;;97.0;39.0;9.0;45.0;;24.0;5.0;;;;;;;;;;1.0;;;;32.0;;;;;;;;2289
Weert-G0988;73;0;4262;4232;2359;843;342.0;;;;346.0;;616.0;316.0;;269.0;691.0;;;;;87.0;;;;87.0;;;;;;;;;;;;;10.0;;16735
Weesp-G0457;23;0;2272;1105;1108;814;462.0;639.0;39.0;124.0;67.0;;;120.0;;;;115.0;;;;;;;;23.0;;;13.0;;8.0;;;;;;;;;;6629
Wehl-G0292;13;0;458;1178;407;194;51.0;77.0;2.0;8.0;7.0;;;22.0;;;;6.0;;;;6.0;;53.0;;4.0;3.0;;;;;;;;;;;;;;2706
Werkendam-G0870;8;0;1415;2365;859;319;144.0;146.0;;;44.0;;;38.0;;;;9.0;;;;;6.0;;1730.0;;;;;;;;;17.0;;2.0;1.0;;;;6799
Wervershoof-G0459;4;0;794;1230;314;175;90.0;117.0;3.0;11.0;14.0;;;30.0;;;;9.0;;;;;;;;0.0;;;1.0;;34.0;;;;;;;;;;2938
West Maas en Waal-G0668;52;0;1497;2357;877;368;124.0;112.0;18.0;17.0;52.0;;;35.0;;;;20.0;;;;9.0;;1688.0;;8.0;10.0;;;;;;;;;;;;;;6386
Westerbork-G0134;7;0;1117;859;1147;374;154.0;90.0;49.0;;28.0;;;;47.0;;;;65.0;;;;;;;;;;;90.0;;;;;;;;;;;2037
Westerhoven-G0871;5;0;138;371;77;48;11.0;47.0;;;6.0;;;8.0;;;;3.0;;;;;5.0;;2.0;;;;;;;;;2.0;;0.0;0.0;;;;634
Wester-Koggenland-G0558;17;0;1635;1732;791;361;195.0;171.0;4.0;16.0;50.0;;;36.0;;;;35.0;;;;;;;;0.0;;;6.0;;214.0;;;;;;;;;;4426
Westerschouwen-G0725;11;0;1044;621;479;209;77.0;;127.0;127.0;;;140.0;37.0;;23.0;;;;;;;;;;27.0;;2.0;;;;;;;36.0;;12.0;;;;1955
Westervoort-G0293;3;0;1300;1036;1029;685;306.0;227.0;5.0;125.0;97.0;;;24.0;;;;44.0;;;;7.0;;24.0;;18.0;11.0;;;;;;;;;;;;;;6118
Westkapelle-G0726;1;0;310;313;303;64;35.0;;242.0;40.0;;;37.0;5.0;;24.0;;;;;;;;;;2.0;;4.0;;;;;;;16.0;;1.0;;;;668
Weststellingwerf-G0098;31;0;2510;2232;2725;591;464.0;;;;126.0;;354.0;43.0;54.0;;;;;110.0;241.0;181.0;;;;;;;31.0;;;52.0;;;;;;;;;9246
Westvoorne-G0614;35;0;2901;791;895;422;;266.0;45.0;64.0;95.0;174.0;;41.0;;;;;;;;2.0;;;;;19.0;;;;;;;;;;;0.0;;;4957
Wierden-G0189;23;0;2395;4923;1069;597;166.0;;392.0;;37.0;;119.0;68.0;47.0;103.0;;45.0;1379.0;;;;;;;;;;5.0;;;;22.0;;;;;;;;5451
Wieringen-G0462;11;0;1267;400;762;201;91.0;253.0;2.0;23.0;33.0;;;26.0;;;;26.0;;;;;;;;6.0;;;12.0;;46.0;;;;;;;;;;3369
Wieringermeer-G0463;12;0;1241;1714;701;297;111.0;267.0;31.0;168.0;65.0;;;44.0;;;;29.0;;;;;;;;11.0;;;9.0;;79.0;;;;;;;;;;4313
Wijchen-G0296;16;0;3160;3221;1965;1311;413.0;457.0;11.0;64.0;217.0;;;58.0;;;;50.0;;;;31.0;;1204.0;;57.0;24.0;;;;;;;;;;;;;;14565
