RegioNaam;@invalid;@blank;VVD;CDA;PvdA;D66;GL;AOV/Unie55+;SGP;GPV/RPF;SP;GL/DG;Algemeen Ouderen Verbond (AOV);Centrumdemocraten;Gereformeerd Politiek Verbond (GPV);U55;PNL;DG;Reformatorische Politieke Federatie (RPF);FNP;RPF/SGP;NB;BOF;PNG;SGP-GPV-RPF;Natuurwetpartij (NWP);Centrumpartij;ZVV;Nieuwe Communistische Partij (NCPN);OPD;BWGB;FGF;LOGO;GB;DA;LINS;BPN;PDA;KANS;SAP;@abs
Meppel-G0119;26;0;2460;1835;2578;1070;378.0;491.0;21.0;;119.0;;;;510.0;;;;244.0;;;;;;;;;;;200.0;;;;;;;;;;;8987
Middelburg-G0687;57;0;3764;3071;3164;1666;1320.0;;1427.0;1177.0;;;797.0;124.0;;301.0;;;;;;;;;;41.0;;46.0;;;;;;;496.0;;77.0;;;;12803
Middelharnis-G0559;8;0;1469;914;1048;355;;190.0;1611.0;773.0;54.0;116.0;;53.0;;;;;;;;7.0;;;;;18.0;;;;;;;;;;;3.0;;;5963
Middenschouwen-G0688;8;0;328;326;197;53;17.0;;117.0;87.0;;;58.0;9.0;;8.0;;;;;;;;;;5.0;;1.0;;;;;;;18.0;;1.0;;;;835
Mierlo-G0814;1350;0;650;751;230;264;156.0;266.0;;;52.0;;;28.0;;;;10.0;;;;;503.0;;13.0;;;;;;;;;6.0;;1.0;0.0;;;;3164
Mill en Sint Hubert-G0815;12;0;841;2194;635;243;104.0;179.0;;;83.0;;;36.0;;;;12.0;;;;;50.0;;6.0;;;;;;;;;9.0;;2.0;0.0;;;;3894
Millingen aan de Rijn-G0265;7;0;329;456;499;136;41.0;17.0;0.0;9.0;31.0;;;5.0;;;;4.0;;;;3.0;;222.0;;5.0;2.0;;;;;;;;;;;;;;2734
Moergestel-G0816;0;0;546;1150;252;139;60.0;72.0;;;38.0;;;18.0;;;;10.0;;;;;16.0;;8.0;;;;;;;;;4.0;;6.0;2.0;;;;2150
Monster-G0562;13;0;2705;2483;523;428;;268.0;407.0;397.0;40.0;189.0;;95.0;;;;;;;;35.0;;;;;12.0;;;;;;;;;;;6.0;;;7174
Montfoort-G0335;19;0;1760;1501;565;480;349.0;;481.0;286.0;27.0;;145.0;24.0;;45.0;;20.0;;;;69.0;;;;;10.0;;;;;;;;;;;;;2.0;3776
Mook en Middelaar-G0944;9;0;923;748;438;324;204.0;;;;37.0;;63.0;8.0;;47.0;161.0;;;;;4.0;;;;9.0;;;;;;;;;;;;;5.0;;2676
Moordrecht-G0563;9;0;905;516;470;315;;125.0;215.0;114.0;43.0;113.0;;34.0;;;;;;;;13.0;;;;;14.0;;;;;;;;;;;1.0;;;2427
Muiden-G0424;9;0;1252;512;498;447;160.0;131.0;16.0;32.0;18.0;;;30.0;;;;52.0;;;;;;;;16.0;;;4.0;;2.0;;;;;;;;;;2028
Naaldwijk-G0565;17;0;4399;4258;836;623;;313.0;151.0;358.0;81.0;214.0;;82.0;;;;;;;;53.0;;;;;28.0;;;;;;;;;;;2.0;;;9408
Naarden-G0425;0;0;3729;1056;909;880;308.0;365.0;63.0;122.0;33.0;;;48.0;;;;42.0;;;;;;;;22.0;;;7.0;;31.0;;;;;;;;;;5076
Nederhorst den Berg-G0426;5;0;936;633;296;268;120.0;74.0;6.0;31.0;45.0;;;23.0;;;;21.0;;;;;;;;5.0;;;2.0;;5.0;;;;;;;;;;1612
Nederlek-G0643;25;0;2061;981;1557;649;;306.0;651.0;193.0;65.0;195.0;;58.0;;;;;;;;16.0;;;;;32.0;;;;;;;;;;;1.0;;;4306
Nederweert-G0946;57;0;1322;2862;1207;214;82.0;;;;52.0;;165.0;53.0;;91.0;216.0;;;;;26.0;;;;17.0;;;;;;;;;;;;;5.0;;5641
Neede-G0266;6;0;1168;1456;1337;413;113.0;142.0;10.0;128.0;43.0;;;21.0;;;;12.0;;;;5.0;;21.0;;14.0;5.0;;;;;;;;;;;;;;3632
Neerijnen-G0304;36;0;1497;881;1003;325;114.0;82.0;699.0;163.0;23.0;;;45.0;;;;15.0;;;;6.0;;34.0;;3.0;8.0;;;;;;;;;;;;;;3193
