RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Heerenveen-G0074;86;;5619;12250;3156;1802;937;37.0;348.0;207.0;56.0;23.0;76.0;33.0;;34.0;27.0;6.0;1.0;;6.0;;;;;;;4226.0
Heerewaarden-G0247;3;;154;405;162;28;19;4.0;2.0;;2.0;1.0;2.0;;;;2.0;;;;;;;;;;;97.0
Heerhugowaard-G0398;41;;7564;5003;3703;1943;848;17.0;69.0;131.0;62.0;22.0;72.0;36.0;12.0;15.0;17.0;10.0;6.0;9.0;2.0;;;;;;;5009.0
Heerjansdam-G0526;5;;800;614;398;190;60;55.0;20.0;40.0;22.0;4.0;3.0;3.0;2.0;;2.0;3.0;1.0;;;;;;;;;403.0
Heerlen-G0917;186;;18912;21851;3985;2864;1752;70.0;205.0;114.0;458.0;1340.0;176.0;116.0;192.0;55.0;51.0;33.0;25.0;;17.0;;;;;;;20164.0
Heesch-G0791;22;;3325;1724;697;444;123;2.0;1.0;7.0;7.0;433.0;6.0;4.0;3.0;;1.0;3.0;1.0;;3.0;;;;;;;1486.0
Heeswijk-Dinther-G0792;21;;3341;996;382;276;193;2.0;2.0;3.0;9.0;33.0;12.0;8.0;;;1.0;3.0;5.0;;3.0;;;;;;;861.0
Heeze-G0793;15;;3196;1341;811;453;149;1.0;9.0;5.0;10.0;9.0;12.0;12.0;7.0;1.0;;2.0;1.0;;1.0;;;;;;;983.0
Hefshuizen-G0019;22;;2607;2517;661;211;159;25.0;761.0;48.0;5.0;8.0;8.0;5.0;;3.0;36.0;2.0;5.0;;;;;;;;;935.0
Heiloo-G0399;46;;5227;2985;3451;1255;482;14.0;50.0;61.0;59.0;9.0;73.0;17.0;11.0;7.0;9.0;2.0;2.0;1.0;;;;;;;;2149.0
Heino-G0162;9;;2661;991;528;275;105;8.0;135.0;64.0;7.0;1.0;8.0;1.0;;;;;2.0;1.0;;;;;;;;521.0
Helden-G0918;20;;6621;1988;797;493;237;4.0;11.0;9.0;25.0;13.0;29.0;13.0;10.0;1.0;1.0;2.0;;;;;;;;;;2762.0
Hellendoorn-G0163;47;;13751;4715;1594;926;412;149.0;476.0;433.0;34.0;10.0;15.0;19.0;11.0;1.0;6.0;1.0;7.0;9.0;;;;;;;;2739.0
Hellevoetsluis-G0530;62;;3804;6865;3961;1976;831;122.0;111.0;110.0;260.0;42.0;65.0;30.0;28.0;7.0;12.0;14.0;9.0;;2.0;;;;;;;5800.0
Helmond-G0794;87;;14262;13737;3800;2327;1105;31.0;80.0;47.0;232.0;478.0;68.0;42.0;33.0;62.0;23.0;16.0;5.0;;11.0;;;;;;;13169.0
Helvoirt-G0795;16;;1569;619;444;229;73;5.0;8.0;2.0;9.0;8.0;4.0;7.0;;1.0;;;;;;;;;;;;456.0
Hendrik-Ido-Ambacht-G0531;3;;3809;2750;2208;958;217;1379.0;183.0;189.0;64.0;9.0;25.0;9.0;6.0;4.0;2.0;2.0;1.0;;;;;;;;;2272.0
Hengelo-G0248;20;;3007;1475;638;221;90;22.0;12.0;20.0;12.0;3.0;10.0;5.0;;;3.0;4.0;7.0;2.0;;;;;;;;829.0
Hengelo-G0164;117;;18124;16523;5414;4026;1962;76.0;548.0;452.0;257.0;530.0;118.0;56.0;40.0;27.0;22.0;29.0;17.0;131.0;5.0;;;;;;;8553.0
Herten-G0919;6;;1203;555;282;147;68;4.0;2.0;;11.0;4.0;1.0;4.0;5.0;;;;;;1.0;;;;;;;475.0
Het Bildt-G0063;29;;2621;2402;624;297;221;16.0;54.0;70.0;20.0;5.0;17.0;12.0;;8.0;8.0;4.0;1.0;;1.0;;;;;;;1031.0
Heteren-G0251;19;;2452;1424;654;368;119;161.0;51.0;39.0;19.0;8.0;14.0;6.0;;1.0;1.0;;;1.0;;;;;;;;966.0
Heumen-G0252;3;;4175;2039;1101;742;291;3.0;15.0;7.0;15.0;15.0;25.0;12.0;;;4.0;1.0;;2.0;1.0;;;;;;;1501.0
Heusden-G0797;14;;1375;905;400;251;104;48.0;6.0;18.0;38.0;19.0;13.0;4.0;;;1.0;3.0;;;2.0;;;;;;;828.0
Heythuysen-G0920;10;;2163;743;362;215;83;6.0;5.0;5.0;5.0;1.0;4.0;3.0;3.0;;1.0;2.0;1.0;;1.0;;;;;;;838.0
Hillegom-G0534;26;;5688;2517;2351;933;395;59.0;54.0;49.0;55.0;14.0;41.0;18.0;8.0;1.0;1.0;1.0;4.0;;1.0;;1.0;;;;;2725.0
Hilvarenbeek-G0798;35;;3117;1576;767;455;206;1.0;12.0;7.0;18.0;6.0;13.0;4.0;;4.0;1.0;6.0;;;1.0;;;;;;;1159.0
Hilversum-G0402;149;;15498;16386;10621;5000;2302;484.0;601.0;442.0;482.0;304.0;287.0;67.0;138.0;43.0;30.0;27.0;19.0;30.0;10.0;;7.0;;;;;13818.0
Hoevelaken-G0253;7;;2058;983;1148;452;123;366.0;130.0;53.0;14.0;1.0;13.0;5.0;3.0;;1.0;1.0;;;;;;;;;;746.0
Hoeven-G0799;18;;2248;1395;772;321;75;3.0;12.0;13.0;26.0;8.0;13.0;5.0;;1.0;;4.0;;;2.0;;;;;;;1344.0
Holten-G0165;23;;2697;1739;1290;418;80;31.0;37.0;44.0;23.0;1.0;7.0;3.0;2.0;;5.0;1.0;3.0;3.0;;;;;;;;421.0
Hontenisse-G0675;11;;2376;1623;548;205;99;5.0;6.0;20.0;14.0;2.0;11.0;11.0;;1.0;5.0;2.0;2.0;;;;;;;;;949.0
Hooge en Lage Mierde-G0801;2;;1718;384;187;91;50;1.0;3.0;1.0;;7.0;8.0;3.0;1.0;;;1.0;1.0;;;;;;;;;283.0
Hooge en Lage Zwaluwe-G0802;10;;1591;1124;577;205;112;23.0;7.0;36.0;27.0;3.0;12.0;5.0;;;4.0;4.0;2.0;;;;;;;;;842.0
Hoogeloon, Hapert en Casteren-G0800;13;;3192;970;536;281;115;2.0;5.0;6.0;15.0;6.0;14.0;3.0;1.0;;5.0;2.0;;;1.0;;;;;;;881.0
Hoogeveen-G0118;84;;11469;10012;2534;1518;720;296.0;851.0;830.0;98.0;37.0;30.0;28.0;;21.0;31.0;10.0;6.0;;5.0;;;;;;;4841.0
Hoogezand-Sappemeer-G0018;46;;3481;11464;2654;1347;847;26.0;498.0;146.0;88.0;65.0;41.0;29.0;;34.0;65.0;16.0;7.0;;8.0;;;;;;;4959.0
Hoorn-G0405;73;;8511;11189;6270;3292;1832;28.0;116.0;172.0;322.0;36.0;188.0;77.0;39.0;53.0;17.0;14.0;13.0;22.0;7.0;;;;;;;8115.0
Horn-G0922;8;;1173;537;320;117;72;2.0;1.0;3.0;6.0;1.0;2.0;2.0;2.0;;1.0;;1.0;;;;;;;;;649.0
Horst-G0923;18;;7278;2170;789;473;214;11.0;20.0;8.0;28.0;74.0;13.0;13.0;5.0;;3.0;2.0;3.0;;1.0;;;;;;;2354.0
Houten-G0321;25;;5751;3047;2389;1477;668;472.0;317.0;232.0;95.0;44.0;28.0;17.0;7.0;5.0;3.0;2.0;1.0;;2.0;1.0;1.0;2.0;;;;2398.0
Huijbergen-G0803;3;;649;254;212;93;33;1.0;4.0;3.0;5.0;2.0;2.0;1.0;;;1.0;1.0;;;;;;;;;;271.0
Huissen-G0255;31;;4286;2677;1346;762;237;11.0;23.0;19.0;30.0;10.0;11.0;7.0;;3.0;6.0;6.0;1.0;7.0;1.0;;;;;;;1794.0
Huizen-G0406;23;;8602;4865;5302;2361;872;765.0;414.0;676.0;118.0;38.0;69.0;22.0;28.0;20.0;9.0;7.0;4.0;6.0;2.0;;1.0;;;;;5468.0
Hulst-G0677;51;;4038;3577;1328;577;237;9.0;17.0;28.0;63.0;3.0;32.0;12.0;;3.0;3.0;1.0;3.0;;1.0;;;;;;;3222.0
Hummelo en Keppel-G0256;9;;1163;873;694;237;51;10.0;6.0;3.0;9.0;7.0;2.0;5.0;;;1.0;1.0;1.0;;;;;;;;;404.0
Hunsel-G0925;11;;2169;685;270;149;79;1.0;1.0;;21.0;9.0;10.0;7.0;;;;;;;;;;;;;;726.0
IJsselham-G0195;7;;1557;1073;512;181;84;6.0;61.0;66.0;7.0;2.0;13.0;6.0;;;3.0;2.0;;3.0;;;;;;;;303.0
IJsselmuiden-G0191;20;;3701;1035;448;207;83;1571.0;242.0;723.0;11.0;3.0;9.0;3.0;1.0;;7.0;;1.0;;;;;;;;;824.0
IJsselstein-G0353;30;;4655;2928;2031;1253;396;322.0;57.0;79.0;76.0;18.0;23.0;11.0;10.0;4.0;2.0;3.0;;;;1.0;1.0;3.0;;;;2638.0
Ilpendam-G0407;6;;721;516;552;143;100;4.0;12.0;14.0;27.0;;12.0;5.0;1.0;19.0;1.0;2.0;;;1.0;;;;;;;335.0
Jisp-G0408;1;;173;238;143;63;35;;;2.0;1.0;;2.0;2.0;;;;;;1.0;;;;;;;;105.0
Kampen-G0166;48;;7488;6087;1489;1105;937;1112.0;1001.0;1269.0;115.0;15.0;34.0;15.0;12.0;7.0;11.0;6.0;3.0;3.0;2.0;;;;;;;3132.0
Kantens-G0020;2;;246;474;132;42;50;6.0;134.0;10.0;2.0;2.0;4.0;5.0;;3.0;6.0;1.0;;;;;;;;;;172.0
Kapelle-G0678;25;;2617;1512;908;444;140;530.0;101.0;121.0;62.0;1.0;19.0;9.0;;1.0;4.0;;;;;;;;;;;1139.0
Katwijk-G0537;32;;10596;3444;2128;1046;383;3132.0;332.0;1014.0;111.0;16.0;41.0;11.0;15.0;10.0;17.0;5.0;3.0;;;;2.0;;;;;6115.0
Katwoude-G0409;0;;67;22;51;11;4;;1.0;1.0;;;1.0;;;;;;;;;;;;;;;16.0
Kerkrade-G0928;154;;9981;14390;1722;1021;636;25.0;83.0;17.0;144.0;342.0;71.0;57.0;97.0;17.0;18.0;21.0;16.0;;9.0;;;;;;;11031.0
Kerkwijk-G0257;13;;1399;661;364;141;54;995.0;47.0;65.0;7.0;6.0;7.0;2.0;;;;2.0;;;;;;;;;;602.0
Kessel-G0929;7;;1558;541;201;125;41;1.0;7.0;2.0;5.0;;3.0;;;;;;1.0;;;;;;;;;448.0
Kesteren-G0258;6;;1453;1464;475;196;87;1656.0;37.0;67.0;20.0;2.0;4.0;3.0;;;1.0;1.0;1.0;;2.0;;;;;;;978.0
Kloosterburen-G0021;3;;482;391;113;52;47;2.0;10.0;8.0;4.0;4.0;1.0;;;1.0;4.0;;;;1.0;;;;;;;173.0
Klundert-G0804;11;;1960;915;540;230;84;96.0;53.0;135.0;30.0;1.0;7.0;3.0;;;2.0;1.0;;;;;;;;;;826.0
Kollumerland en Nieuwkruisland-G0079;30;;4059;2145;516;271;155;143.0;186.0;173.0;18.0;6.0;12.0;7.0;;2.0;;5.0;3.0;;;;;;;;;1225.0
Korendijk-G0588;19;;1676;1577;1097;414;138;1030.0;51.0;60.0;48.0;3.0;21.0;7.0;2.0;2.0;3.0;3.0;2.0;;1.0;;;;;;;1149.0
Kortgene-G0682;1;;776;850;452;159;62;128.0;12.0;25.0;12.0;1.0;7.0;;;;;;;;1.0;;;;;;;318.0
Koudekerk aan den Rijn-G0540;8;;1252;600;533;236;97;38.0;13.0;20.0;32.0;7.0;6.0;9.0;2.0;;;1.0;;;;;;;;;;491.0
Krimpen aan den IJssel-G0542;49;;4305;5037;2977;1476;453;2041.0;316.0;158.0;156.0;24.0;45.0;15.0;13.0;5.0;17.0;5.0;3.0;;;;;;;;;3375.0
Landgraaf-G0882;130;;8109;10743;1787;1232;567;18.0;50.0;34.0;193.0;290.0;63.0;59.0;73.0;23.0;11.0;20.0;16.0;;8.0;;;;;;;6970.0
Landsmeer-G0415;18;;1105;2212;1418;750;391;12.0;15.0;29.0;56.0;6.0;16.0;9.0;1.0;12.0;3.0;3.0;4.0;1.0;;;;;;;;1007.0
Langbroek-G0325;6;;529;253;153;55;40;208.0;26.0;40.0;3.0;3.0;3.0;1.0;;;;1.0;;;;;;;;;;145.0
Langedijk-G0416;21;;4065;1973;1779;753;405;22.0;88.0;121.0;58.0;8.0;52.0;8.0;14.0;13.0;1.0;5.0;3.0;2.0;3.0;;;;;;;1735.0
Laren-G0417;3;;2784;1384;2625;690;285;15.0;44.0;22.0;27.0;;27.0;11.0;15.0;7.0;3.0;3.0;3.0;1.0;1.0;;;;;;;1592.0
Leek-G0022;26;;3199;4148;1502;812;377;35.0;760.0;98.0;35.0;7.0;31.0;10.0;;9.0;28.0;3.0;1.0;;3.0;;;;;;;1819.0
Leende-G0805;8;;1794;357;347;162;46;5.0;2.0;1.0;4.0;5.0;7.0;2.0;1.0;;1.0;2.0;;;;;;;;;;375.0
Leens-G0023;6;;696;801;228;82;115;5.0;292.0;20.0;4.0;4.0;4.0;5.0;;3.0;10.0;;2.0;;;;;;;;;341.0
Leerdam-G0545;45;;3393;3499;1654;644;228;820.0;211.0;347.0;125.0;12.0;16.0;9.0;8.0;4.0;2.0;6.0;3.0;;;;;;;;;2150.0
Leersum-G0326;12;;1432;992;1176;365;130;262.0;57.0;44.0;34.0;7.0;14.0;3.0;3.0;3.0;2.0;;4.0;;;1.0;;;;;;640.0
Leeuwarden-G0080;188;;12803;27087;6085;4634;2776;122.0;805.0;532.0;221.0;137.0;184.0;89.0;;38.0;34.0;35.0;11.0;;9.0;;;;;;;11042.0
Leeuwarderadeel-G0081;13;;1973;2432;710;489;182;14.0;81.0;50.0;8.0;20.0;20.0;7.0;;3.0;1.0;;2.0;;1.0;;;;;;;729.0
Leiden-G0546;211;;14697;25276;10700;7651;4585;311.0;478.0;254.0;666.0;955.0;349.0;99.0;287.0;63.0;18.0;65.0;18.0;;15.0;;7.0;;;;;18459.0
Leiderdorp-G0547;37;;4720;3271;3316;1743;481;162.0;102.0;64.0;96.0;36.0;55.0;10.0;23.0;2.0;6.0;6.0;2.0;;;;;;;;;2687.0
Leidschendam-G0548;70;;8338;4394;4276;2360;684;66.0;137.0;79.0;236.0;72.0;69.0;38.0;40.0;1.0;21.0;7.0;2.0;;7.0;;2.0;;;;;4334.0
Leimuiden-G0549;19;;1606;399;604;162;82;15.0;10.0;19.0;14.0;2.0;8.0;3.0;1.0;1.0;;1.0;1.0;;;;;;;;;566.0
Lelystad-G0995;88;;5990;11915;5256;3268;1452;141.0;323.0;242.0;579.0;102.0;181.0;83.0;;51.0;40.0;24.0;18.0;;8.0;;;;;;;9229.0
Lemsterland-G0082;21;;2605;2863;717;405;168;61.0;43.0;158.0;13.0;3.0;14.0;6.0;;100.0;7.0;3.0;3.0;;2.0;;;;;;;1199.0
Leusden-G0327;48;;6537;3030;3847;1689;563;278.0;660.0;118.0;55.0;13.0;34.0;14.0;8.0;4.0;9.0;3.0;1.0;;1.0;1.0;1.0;1.0;;;;2494.0
Lichtenvoorde-G0260;33;;7360;2290;948;541;335;5.0;19.0;5.0;23.0;5.0;21.0;13.0;;;2.0;10.0;1.0;6.0;;;;;;;;1710.0
Liempde-G0806;9;;1664;678;187;135;44;3.0;4.0;2.0;6.0;10.0;2.0;3.0;;;1.0;1.0;3.0;;;;;;;;;425.0
Lienden-G0261;22;;1235;1661;646;172;55;362.0;30.0;64.0;12.0;6.0;18.0;4.0;;1.0;;1.0;;;;;;;;;;734.0
Lieshout-G0807;7;;2126;879;348;188;99;1.0;2.0;3.0;15.0;21.0;14.0;4.0;3.0;;;1.0;;;1.0;;;;;;;673.0
Liesveld-G0694;24;;2015;1133;781;253;97;814.0;199.0;253.0;32.0;2.0;13.0;4.0;;1.0;4.0;5.0;2.0;;1.0;;;;;;;756.0
Limmen-G0418;20;;1830;593;628;285;122;2.0;6.0;5.0;9.0;1.0;10.0;2.0;2.0;3.0;2.0;1.0;1.0;1.0;1.0;;;;;;;541.0
Lingewaal-G0733;9;;2423;1951;972;345;110;292.0;81.0;131.0;33.0;8.0;17.0;6.0;;2.0;1.0;3.0;2.0;5.0;;;;;;;;1056.0
Linne-G0932;7;;1205;758;286;115;56;2.0;7.0;2.0;11.0;;;4.0;1.0;;2.0;;1.0;;;;;;;;;530.0
Lisse-G0553;19;;6044;2155;2540;968;396;682.0;120.0;122.0;46.0;13.0;37.0;23.0;17.0;5.0;4.0;4.0;2.0;;1.0;;;;;;;2304.0
Lith-G0808;8;;2120;915;327;189;62;1.0;3.0;2.0;10.0;113.0;4.0;2.0;4.0;;1.0;3.0;;;;;;;;;;687.0
Littenseradiel-G0140;7;;2644;1979;926;455;256;13.0;50.0;48.0;14.0;10.0;34.0;15.0;;2.0;5.0;2.0;3.0;;2.0;;;;;;;824.0
Lochem-G0262;38;;3800;3972;2481;1024;419;7.0;45.0;49.0;37.0;13.0;32.0;19.0;13.0;4.0;8.0;1.0;3.0;;1.0;;;;;;;2057.0
Loenen-G0329;9;;2024;1087;1327;498;163;117.0;80.0;60.0;33.0;2.0;17.0;5.0;8.0;1.0;3.0;1.0;;;;1.0;;;;;;830.0
Loon op Zand-G0809;41;;6511;3456;1701;746;330;97.0;30.0;7.0;70.0;47.0;32.0;17.0;;1.0;;7.0;4.0;;3.0;;;;;;;3022.0
Loosdrecht-G0330;12;;2036;930;1852;481;113;80.0;48.0;39.0;35.0;3.0;12.0;3.0;9.0;;2.0;1.0;;;;;;2.0;;;;1057.0
Lopik-G0331;17;;3994;1242;859;363;113;760.0;67.0;178.0;42.0;8.0;15.0;5.0;;;4.0;2.0;1.0;;1.0;;1.0;;;;;1241.0
Loppersum-G0024;6;;920;861;268;140;112;12.0;171.0;28.0;2.0;3.0;10.0;2.0;;;9.0;;1.0;;;;;;;;;290.0
Losser-G0168;37;;7757;4256;1038;715;370;11.0;25.0;37.0;34.0;7.0;23.0;6.0;7.0;4.0;3.0;3.0;6.0;25.0;3.0;;;;;;;2455.0
Luyksgestel-G0810;5;;1145;357;169;97;46;8.0;8.0;2.0;5.0;;7.0;1.0;1.0;;;1.0;;;;;;;;;;197.0
Maarheeze-G0811;13;;3198;1050;768;288;103;8.0;4.0;4.0;20.0;7.0;6.0;12.0;1.0;4.0;3.0;8.0;1.0;;1.0;;;;;;;1128.0
Maarn-G0332;2;;1293;697;1183;380;103;157.0;45.0;15.0;27.0;6.0;10.0;;1.0;;3.0;3.0;;;;;;;;;;414.0
Maarssen-G0333;85;;7242;5768;4858;2431;796;151.0;161.0;275.0;190.0;63.0;56.0;26.0;22.0;7.0;13.0;3.0;4.0;;10.0;6.0;2.0;6.0;;;;5170.0
Maartensdijk-G0334;14;;2082;1049;1254;526;189;573.0;58.0;144.0;35.0;3.0;18.0;5.0;4.0;1.0;2.0;1.0;1.0;;;;2.0;1.0;;;;936.0
Maasbracht-G0933;26;;2476;1331;472;253;98;6.0;9.0;37.0;34.0;7.0;7.0;10.0;11.0;;2.0;1.0;1.0;;1.0;;;;;;;1560.0
Maasbree-G0934;11;;4551;1091;665;370;182;4.0;13.0;3.0;23.0;6.0;16.0;6.0;6.0;;1.0;2.0;2.0;;1.0;;;;;;;1593.0
Maasdriel-G0263;23;;2897;1373;670;225;75;11.0;6.0;8.0;24.0;23.0;9.0;;;4.0;;4.0;;3.0;;;;;;;;1065.0
Maasland-G0555;6;;2499;403;650;279;75;50.0;61.0;45.0;30.0;3.0;7.0;3.0;;;2.0;2.0;;;1.0;;;;;;;447.0
Maassluis-G0556;71;;6347;5430;3310;1891;617;204.0;270.0;258.0;309.0;80.0;49.0;23.0;28.0;5.0;13.0;8.0;5.0;;3.0;;;;;;;4960.0
Maastricht-G0935;223;;23103;28005;5833;4627;3313;38.0;177.0;61.0;406.0;183.0;231.0;116.0;112.0;26.0;24.0;29.0;14.0;;9.0;;;;;;;25880.0
Made en Drimmelen-G0812;14;;3398;2507;817;543;146;13.0;10.0;11.0;50.0;19.0;15.0;19.0;;3.0;3.0;5.0;2.0;;3.0;;;;;;;1661.0
Margraten-G0936;24;;4654;2196;863;547;260;5.0;32.0;5.0;16.0;8.0;21.0;12.0;8.0;;3.0;6.0;;;;;;;;;;1370.0
Mariekerke-G0686;3;;881;163;179;73;46;821.0;41.0;65.0;2.0;;2.0;;;;1.0;;;;1.0;;;;;;;171.0
Markelo-G0169;12;;1680;1511;1242;267;76;20.0;11.0;26.0;16.0;4.0;4.0;4.0;2.0;1.0;2.0;2.0;1.0;;1.0;;;;;;;559.0
Marken-G0419;5;;878;240;142;106;30;2.0;13.0;15.0;9.0;;5.0;;;2.0;1.0;1.0;;1.0;;;;;;;;154.0
Marum-G0025;12;;1693;2176;844;302;147;23.0;170.0;81.0;9.0;8.0;8.0;10.0;;;11.0;4.0;1.0;;;;;;;;;897.0
Maurik-G0264;10;;1203;1601;637;155;67;47.0;20.0;13.0;24.0;1.0;5.0;6.0;;1.0;3.0;4.0;1.0;;1.0;;;;;;;615.0
Medemblik-G0420;17;;1514;1203;634;294;118;11.0;18.0;38.0;26.0;4.0;14.0;6.0;3.0;11.0;3.0;;1.0;2.0;3.0;;;;;;;1061.0
Meeden-G0026;8;;238;698;95;71;64;2.0;26.0;14.0;6.0;3.0;2.0;;;1.0;9.0;;1.0;;2.0;;;;;;;125.0
Meerlo-Wanssum-G0993;12;;2787;818;315;227;97;;6.0;;6.0;1.0;11.0;6.0;1.0;;3.0;;;;;;;;;;;926.0
Meerssen-G0938;32;;6322;3825;1474;803;388;10.0;26.0;3.0;60.0;22.0;33.0;26.0;11.0;2.0;5.0;1.0;;;2.0;;;;;;;3051.0
Megen, Haren en Macharen-G0813;5;;1126;419;131;82;47;3.0;;;5.0;93.0;6.0;1.0;;2.0;1.0;1.0;5.0;;;;;;;;;282.0
Meijel-G0941;8;;2128;649;226;118;58;;;3.0;5.0;;3.0;1.0;3.0;;1.0;;1.0;;;;;;;;;815.0
Melick en Herkenbosch-G0939;14;;2340;1279;602;297;110;3.0;4.0;4.0;12.0;;5.0;12.0;;3.0;2.0;1.0;2.0;;;;;;;;;1049.0
Menaldumadeel-G0083;33;;3003;3295;1196;591;266;12.0;93.0;57.0;6.0;8.0;17.0;2.0;;3.0;7.0;3.0;4.0;;;;;;;;;1116.0
Meppel-G0119;58;;3960;6376;2115;1123;478;37.0;440.0;184.0;41.0;19.0;55.0;13.0;;4.0;12.0;7.0;4.0;;1.0;;;;;;;2812.0
Middelburg-G0687;81;;7098;7296;2877;2316;1206;1517.0;448.0;469.0;142.0;43.0;97.0;46.0;;18.0;20.0;11.0;6.0;;;;;;;;;5762.0
Middelharnis-G0559;20;;2505;2792;1188;499;182;1880.0;121.0;324.0;37.0;5.0;8.0;6.0;2.0;1.0;1.0;2.0;1.0;;2.0;;;;;;;2307.0
Middelstum-G0027;6;;777;589;120;81;60;5.0;135.0;68.0;;;6.0;2.0;;1.0;11.0;2.0;1.0;;;;;;;;;205.0
Middenschouwen-G0688;5;;605;394;310;77;22;136.0;35.0;50.0;3.0;;2.0;;;;;1.0;1.0;;1.0;;;;;;;283.0
Midwolda-G0028;9;;938;1267;164;86;75;3.0;38.0;90.0;4.0;1.0;3.0;3.0;;27.0;10.0;1.0;1.0;;1.0;;;;;;;321.0
Mierlo-G0814;17;;3116;1451;885;497;186;7.0;2.0;2.0;15.0;29.0;10.0;7.0;5.0;1.0;;3.0;4.0;;2.0;;;;;;;1061.0
Mill en Sint Hubert-G0815;15;;4026;1705;532;243;137;4.0;4.0;2.0;8.0;31.0;35.0;11.0;1.0;;1.0;2.0;2.0;;1.0;;;;;;;1148.0
Millingen aan de Rijn-G0265;8;;1234;1489;229;194;77;;1.0;8.0;4.0;;8.0;1.0;;;;2.0;;;1.0;;;;;;;752.0
Moergestel-G0816;15;;2241;788;462;198;97;;1.0;2.0;13.0;9.0;7.0;4.0;;;1.0;1.0;;;;;;;;;;638.0
Moerkapelle-G0560;11;;609;312;293;114;36;553.0;20.0;97.0;9.0;2.0;8.0;;1.0;;3.0;2.0;1.0;;;;;;;;;224.0
Monnickendam-G0423;20;;1863;1733;1325;748;297;5.0;33.0;22.0;54.0;7.0;19.0;9.0;5.0;11.0;5.0;2.0;1.0;1.0;1.0;;;;;;;1289.0
Monster-G0562;37;;6290;1867;1627;667;224;494.0;204.0;111.0;147.0;11.0;30.0;20.0;11.0;2.0;6.0;9.0;1.0;;1.0;;;;;;;2836.0
Montfoort-G0335;18;;3632;1176;1258;549;224;428.0;55.0;70.0;43.0;7.0;10.0;13.0;3.0;;2.0;3.0;1.0;;;;;;;;;1220.0
Montfort-G0943;12;;1063;506;192;74;31;;2.0;2.0;6.0;1.0;1.0;2.0;;;1.0;;;;;;;;;;;494.0
Mook en Middelaar-G0944;14;;1924;1131;737;448;179;5.0;12.0;3.0;12.0;17.0;11.0;4.0;6.0;1.0;1.0;;;;;;;;;;;869.0
Moordrecht-G0563;21;;1251;1161;692;411;115;215.0;35.0;46.0;51.0;8.0;10.0;4.0;;2.0;;2.0;;;;;1.0;;;;;1088.0
Muiden-G0424;10;;1341;1106;1060;593;161;25.0;30.0;10.0;26.0;4.0;26.0;3.0;1.0;2.0;2.0;;;1.0;;;;;;;;708.0
Muntendam-G0029;17;;340;2250;239;139;138;7.0;31.0;29.0;4.0;17.0;7.0;5.0;;6.0;10.0;5.0;;;;;;;;;;494.0
Naaldwijk-G0565;53;;10152;2305;2636;953;284;184.0;126.0;148.0;145.0;12.0;53.0;14.0;7.0;2.0;6.0;11.0;2.0;;6.0;;;;;;;3044.0
Naarden-G0425;7;;3078;1953;3693;1144;310;82.0;90.0;53.0;64.0;6.0;37.0;9.0;25.0;5.0;1.0;2.0;2.0;2.0;;;;;;;;2070.0
Nederhorst den Berg-G0426;7;;1320;737;741;249;128;17.0;28.0;11.0;24.0;25.0;17.0;;2.0;1.0;;;;1.0;1.0;;;;;;;541.0
Nederlek-G0643;31;;2238;3232;1767;834;235;684.0;74.0;77.0;73.0;15.0;21.0;7.0;8.0;1.0;6.0;5.0;3.0;;1.0;;1.0;;;;;1632.0
Nederweert-G0946;37;;5640;2418;703;321;132;2.0;9.0;5.0;26.0;8.0;10.0;11.0;3.0;1.0;;;1.0;;;;;;;;;2213.0
Neede-G0266;26;;2811;2903;941;383;143;12.0;102.0;45.0;22.0;3.0;8.0;7.0;;3.0;1.0;3.0;2.0;11.0;2.0;;;;;;;1015.0
Neer-G0947;7;;1221;460;163;71;94;1.0;4.0;1.0;8.0;1.0;3.0;2.0;;1.0;;1.0;;;;;;;;;;590.0
Neerijnen-G0304;33;;2177;2196;1020;311;125;689.0;54.0;42.0;45.0;2.0;12.0;3.0;;1.0;1.0;3.0;;5.0;1.0;;;;;;;1079.0
Niedorp-G0412;20;;1789;1533;821;383;235;3.0;6.0;4.0;10.0;10.0;25.0;2.0;3.0;7.0;1.0;;2.0;2.0;;;;;;;;1032.0
Nieuwe Pekela-G0030;13;;838;1642;302;116;144;23.0;32.0;72.0;8.0;2.0;5.0;3.0;;17.0;13.0;1.0;1.0;;1.0;;;;;;;581.0
Nieuwegein-G0356;22;;10762;9422;5898;3566;1317;260.0;308.0;187.0;335.0;148.0;73.0;42.0;28.0;13.0;10.0;2.0;3.0;;9.0;1.0;6.0;5.0;;;;9217.0
Nieuwerkerk aan den IJssel-G0567;24;;3396;2736;2564;1145;278;494.0;188.0;135.0;103.0;16.0;28.0;14.0;10.0;3.0;5.0;2.0;6.0;;1.0;;;;;;;2156.0
Nieuweschans-G0031;4;;84;828;85;37;56;1.0;;2.0;6.0;;2.0;;;33.0;1.0;1.0;2.0;;;;;;;;;173.0
