RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP;DG;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie;@abs
Diessen-G0763;9;;1784;347;186;105;86;2.0;3.0;4.0;3.0;3.0;4.0;4.0;;1.0;1.0;1.0;;;;;;;;;;368.0
Diever-G0111;5;;706;1023;490;157;77;1.0;34.0;7.0;7.0;2.0;9.0;;;1.0;2.0;1.0;;;;;;;;;;210.0
Dinteloord en Prinsenland-G0764;22;;1259;1137;503;145;78;237.0;11.0;68.0;34.0;5.0;5.0;8.0;;;3.0;1.0;1.0;;;;;;;;;703.0
Dinxperlo-G0219;24;;2641;1260;387;157;84;2.0;22.0;61.0;16.0;4.0;13.0;4.0;;;;1.0;3.0;4.0;2.0;;;;;;;1104.0
Dirksland-G0504;15;;1294;1165;544;211;93;1147.0;38.0;117.0;16.0;5.0;12.0;5.0;;;;3.0;;;;;;;;;;833.0
Dodewaard-G0220;6;;864;933;277;94;35;257.0;18.0;43.0;3.0;1.0;1.0;3.0;;;1.0;1.0;;;;;;;;;;392.0
Doesburg-G0221;20;;1933;2635;755;417;178;14.0;59.0;18.0;34.0;163.0;15.0;8.0;;2.0;2.0;1.0;3.0;2.0;;;;;;;;1445.0
Doetinchem-G0222;78;;8916;9849;3177;1856;876;200.0;113.0;139.0;99.0;28.0;54.0;30.0;;4.0;10.0;5.0;51.0;22.0;2.0;;;;;;;5535.0
Domburg-G0660;8;;1092;630;550;194;91;295.0;51.0;70.0;12.0;1.0;20.0;2.0;;1.0;3.0;1.0;1.0;;;;;;;;;
Dongen-G0766;4;;5677;3514;1442;1001;337;35.0;13.0;14.0;45.0;516.0;27.0;11.0;;6.0;13.0;13.0;4.0;;2.0;;;;;;;3107.0
Dongeradeel-G0058;37;;8574;3924;1111;649;374;183.0;450.0;339.0;24.0;10.0;37.0;6.0;;6.0;9.0;12.0;2.0;;1.0;;;;;;;2140.0
Doorn-G0315;16;;2296;1268;1993;611;205;222.0;86.0;86.0;25.0;;27.0;6.0;6.0;1.0;6.0;2.0;1.0;;1.0;;1.0;;;;;1304.0
Dordrecht-G0505;209;;15449;22755;8721;4993;2663;1676.0;739.0;756.0;954.0;153.0;235.0;62.0;52.0;42.0;46.0;17.0;13.0;;26.0;;;;;;;20709.0
Drechterland-G0498;11;;2691;1011;873;348;204;7.0;17.0;21.0;25.0;3.0;11.0;3.0;3.0;;4.0;;2.0;3.0;;;;;;;;906.0
Driebergen-Rijsenburg-G0316;20;;4008;2507;2617;1105;473;477.0;215.0;155.0;77.0;14.0;109.0;20.0;9.0;2.0;1.0;1.0;1.0;;1.0;1.0;;;;;;2093.0
Dronten-G0303;43;;5776;3346;2668;988;447;141.0;506.0;276.0;99.0;8.0;26.0;25.0;;9.0;13.0;5.0;3.0;;1.0;;;;;;;2584.0
Drunen-G0767;37;;5241;2578;1336;738;276;17.0;21.0;12.0;60.0;71.0;22.0;14.0;14.0;1.0;1.0;5.0;7.0;;3.0;;;;;;;2202.0
Druten-G0225;20;;3847;3217;770;472;219;10.0;6.0;2.0;31.0;11.0;15.0;7.0;;2.0;3.0;5.0;3.0;3.0;;;;;;;;2184.0
Duiveland-G0662;9;;868;836;510;152;41;914.0;31.0;68.0;4.0;;6.0;2.0;;2.0;1.0;1.0;;;;;;;;;;466.0
Duiven-G0226;33;;4112;2424;1192;761;226;4.0;40.0;15.0;41.0;12.0;14.0;17.0;;5.0;7.0;3.0;3.0;3.0;1.0;;;;;;;1625.0
Dussen-G0769;4;;1899;968;451;192;86;112.0;18.0;50.0;25.0;2.0;12.0;2.0;4.0;;2.0;1.0;1.0;;1.0;;;;;;;700.0
Dwingeloo-G0112;11;;744;1139;611;190;76;9.0;19.0;8.0;3.0;4.0;7.0;1.0;;3.0;3.0;;1.0;;;;;;;;;89.0
Echt-G0902;64;;4972;3733;899;416;277;9.0;20.0;6.0;31.0;5.0;19.0;9.0;9.0;4.0;6.0;8.0;5.0;;1.0;;;;;;;2970.0
Echteld-G0227;14;;1111;1596;599;168;50;542.0;34.0;77.0;14.0;5.0;8.0;1.0;;;;;;3.0;;;;;;;;562.0
Edam-Volendam-G0385;39;;8813;2619;2198;821;360;17.0;49.0;21.0;78.0;6.0;37.0;29.0;13.0;4.0;8.0;3.0;2.0;3.0;3.0;;;;;;;2712.0
Ede-G0228;128;;22328;10157;9108;3550;1412;6231.0;988.0;1597.0;305.0;188.0;137.0;46.0;20.0;14.0;50.0;12.0;8.0;;4.0;;;;;;;10530.0
Eelde-G0113;26;;1370;2615;1918;893;198;6.0;30.0;24.0;21.0;10.0;19.0;7.0;;6.0;18.0;1.0;1.0;;;;;;;;;995.0
Eemnes-G0317;8;;1794;893;1062;448;149;74.0;29.0;53.0;15.0;3.0;19.0;9.0;3.0;3.0;3.0;2.0;;;;;1.0;;;;;795.0
Eenrum-G0011;3;;166;953;249;78;93;1.0;50.0;6.0;4.0;2.0;6.0;2.0;;;7.0;;1.0;;1.0;;;;;;;194.0
Eersel-G0770;11;;4429;1364;878;550;255;14.0;11.0;23.0;17.0;10.0;26.0;8.0;7.0;;4.0;1.0;2.0;;1.0;;;;;;;1388.0
Egmond-G0357;34;;2947;2160;1297;517;319;6.0;18.0;19.0;51.0;6.0;24.0;9.0;8.0;3.0;4.0;;;2.0;1.0;;;;;;;1367.0
Eibergen-G0229;34;;5882;2884;951;556;318;7.0;33.0;19.0;15.0;26.0;21.0;7.0;;1.0;3.0;4.0;2.0;34.0;1.0;;;;;;;1464.0
Eijsden-G0905;20;;3484;1979;819;364;194;5.0;13.0;6.0;9.0;;14.0;5.0;1.0;3.0;;;;;1.0;;;;;;;1576.0
Eindhoven-G0772;222;;41212;34699;13380;9817;5433;203.0;604.0;395.0;737.0;867.0;406.0;223.0;162.0;46.0;75.0;76.0;21.0;;24.0;;;;;;;39381.0
Elburg-G0230;32;;5082;1856;1620;477;186;2132.0;362.0;798.0;39.0;9.0;13.0;5.0;8.0;2.0;5.0;5.0;1.0;;1.0;;;;;;;1910.0
Elst-G0231;1;;5101;3009;1336;851;294;38.0;31.0;18.0;32.0;28.0;16.0;6.0;;1.0;2.0;1.0;4.0;1.0;;;;;;;;2747.0
Emmen-G0114;202;;17265;32119;4888;2989;1506;72.0;605.0;589.0;145.0;253.0;109.0;41.0;;31.0;39.0;28.0;18.0;;4.0;;;;;;;9714.0
