RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij;Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Katholiek Democratische Partij;Revolutionair Socialistische Arbeiderspartij;Hervormd Gereformeerde Staatspartij;Overige partij(en) zonder zetel(s);Overige partij(en) met zetel(s);Plattelandersbond;@abs
Baflo-G0004;11;9;;242.0;551.0;44.0;37.0;118.0;77.0;12.0;;278.0;;;1.0;;9.0;;106.0
Bakel en Milheeze-G0745;22;11;1242.0;5.0;10.0;10.0;11.0;16.0;;2.0;;;8.0;;;;;;62.0
Barendrecht-G0489;43;57;13.0;241.0;907.0;368.0;238.0;144.0;22.0;26.0;287.0;9.0;9.0;9.0;19.0;;;;207.0
Barneveld-G0203;52;117;348.0;531.0;1360.0;2121.0;473.0;136.0;13.0;7.0;864.0;19.0;19.0;7.0;99.0;;;13.0;748.0
Barradeel-G0062;36;51;29.0;845.0;1028.0;1064.0;85.0;96.0;227.0;26.0;5.0;269.0;;36.0;4.0;;;;319.0
Barsingerhorn-G0369;7;31;24.0;435.0;30.0;15.0;100.0;94.0;205.0;36.0;2.0;1.0;2.0;23.0;;1.0;;;150.0
Barwoutswaarder-G1017;4;5;50.0;12.0;84.0;79.0;24.0;5.0;2.0;2.0;55.0;1.0;1.0;;3.0;;;1.0;28.0
Batenburg-G0204;2;5;173.0;1.0;6.0;27.0;5.0;6.0;;;;;;;4.0;;;1.0;19.0
Bathmen-G0144;15;28;24.0;215.0;12.0;348.0;70.0;56.0;176.0;1.0;1.0;3.0;13.0;3.0;;;;32.0;76.0
Bedum-G0005;32;33;135.0;403.0;1490.0;73.0;145.0;200.0;192.0;14.0;;243.0;;3.0;12.0;;14.0;;149.0
Beegden-G0887;1;3;369.0;;2.0;;26.0;;;;;;1.0;;;7.0;;;6.0
Beek-G0888;58;66;1877.0;37.0;90.0;;278.0;;25.0;1.0;;;15.0;;;43.0;;;120.0
Beek en Donk-G0746;17;29;1226.0;10.0;2.0;5.0;16.0;4.0;3.0;3.0;;;19.0;;;;;;99.0
Beemster-G0370;31;44;619.0;323.0;127.0;31.0;363.0;258.0;753.0;59.0;17.0;15.0;14.0;114.0;;;;;202.0
Beers-G0747;0;5;403.0;2.0;1.0;;8.0;;;1.0;;;;;;;;;13.0
Beerta-G0006;43;152;2.0;343.0;52.0;76.0;119.0;297.0;155.0;526.0;;28.0;;41.0;4.0;;18.0;;177.0
Beesd-G0205;11;30;505.0;100.0;38.0;413.0;26.0;13.0;3.0;6.0;42.0;1.0;1.0;1.0;9.0;;;30.0;93.0
Beesel-G0889;10;9;1673.0;6.0;7.0;;102.0;;1.0;;;;7.0;;;13.0;;;81.0
Beets-G0371;2;4;;76.0;4.0;2.0;43.0;12.0;87.0;1.0;1.0;3.0;1.0;16.0;;;;;33.0
Beilen-G0107;61;65;21.0;826.0;808.0;764.0;187.0;147.0;203.0;;3.0;41.0;;6.0;;;506.0;13.0;436.0
Belfeld-G0890;7;11;744.0;11.0;3.0;;33.0;;2.0;6.0;;;2.0;;;4.0;;;31.0
Bellingwolde-G1019;48;86;8.0;1167.0;238.0;149.0;296.0;179.0;195.0;340.0;;154.0;;30.0;11.0;;12.0;;216.0
Bemelen-G0891;4;6;110.0;;1.0;;10.0;;;;;;;;;2.0;;;7.0
Bemmel-G0206;42;36;2572.0;40.0;18.0;161.0;207.0;50.0;17.0;;15.0;5.0;38.0;;19.0;;;9.0;261.0
Bennebroek-G0372;22;28;405.0;45.0;135.0;92.0;90.0;52.0;64.0;14.0;7.0;60.0;18.0;9.0;;1.0;;;67.0
Benschop-G0309;0;15;289.0;19.0;200.0;66.0;69.0;42.0;29.0;2.0;178.0;;1.0;2.0;;;;2.0;56.0
Benthuizen-G0490;0;10;6.0;18.0;39.0;49.0;48.0;13.0;2.0;6.0;177.0;;;;30.0;;;;80.0
Berg en Terblijt-G0892;10;12;767.0;2.0;;;141.0;;4.0;2.0;;;;;;10.0;;;36.0
Bergambacht-G0491;16;66;10.0;413.0;380.0;59.0;209.0;159.0;66.0;8.0;421.0;5.0;;;9.0;;;6.0;204.0
Bergen-G0373;34;93;1006.0;532.0;118.0;129.0;325.0;361.0;379.0;26.0;1.0;12.0;29.0;60.0;;1.0;;;251.0
Bergen-G0893;66;43;2239.0;53.0;13.0;;291.0;;7.0;;;;51.0;;;43.0;;;150.0
Bergen op Zoom-G0748;157;432;6578.0;1449.0;327.0;247.0;434.0;335.0;46.0;;8.0;;138.0;;;38.0;;;841.0
Bergeyk-G0749;5;11;1218.0;9.0;3.0;34.0;6.0;1.0;3.0;3.0;;;14.0;;;;;;81.0
Bergh-G0207;60;114;3514.0;309.0;18.0;48.0;392.0;54.0;38.0;;8.0;4.0;43.0;;35.0;;;15.0;185.0
Bergharen-G0208;2;0;708.0;2.0;;81.0;16.0;29.0;;;;;;;2.0;;;;45.0
Berghem-G0750;8;21;838.0;76.0;9.0;2.0;2.0;5.0;1.0;4.0;;;70.0;;;;;;129.0
Bergschenhoek-G0492;18;48;261.0;105.0;166.0;383.0;62.0;23.0;9.0;12.0;81.0;1.0;8.0;2.0;31.0;1.0;;2.0;69.0
Berkel en Rodenrijs-G0493;12;23;854.0;30.0;398.0;373.0;41.0;23.0;7.0;1.0;40.0;3.0;9.0;1.0;46.0;1.0;;4.0;94.0
Berkel-Enschot-G0751;9;11;941.0;7.0;8.0;2.0;;3.0;1.0;2.0;;;21.0;;;19.0;;;57.0
Berkenwoude-G0494;3;13;1.0;11.0;31.0;4.0;76.0;150.0;6.0;1.0;102.0;;1.0;;;1.0;;;42.0
Berkhout-G0374;11;19;620.0;217.0;29.0;15.0;91.0;137.0;243.0;3.0;4.0;17.0;9.0;6.0;;;;;106.0
Berlicum-G0752;19;24;1419.0;16.0;15.0;19.0;25.0;5.0;6.0;2.0;;;11.0;;;;;;174.0
Best-G0753;21;28;1785.0;74.0;1.0;7.0;8.0;7.0;6.0;12.0;;;18.0;;;1.0;;;109.0
Beugen en Rijkevoort-G1021;6;9;960.0;6.0;4.0;2.0;1.0;;;;2.0;;2.0;;;;;;42.0
Beuningen-G0209;17;28;1279.0;25.0;3.0;11.0;99.0;10.0;3.0;;5.0;;6.0;1.0;6.0;;;14.0;73.0
Beusichem-G0210;10;29;28.0;175.0;57.0;49.0;85.0;85.0;29.0;13.0;51.0;171.0;2.0;6.0;;;;19.0;81.0
Beverwijk-G0375;152;216;1854.0;828.0;171.0;207.0;360.0;93.0;425.0;244.0;27.0;53.0;145.0;111.0;;14.0;;;316.0
Bierum-G0008;5;38;1.0;127.0;770.0;459.0;107.0;87.0;63.0;25.0;;303.0;;3.0;97.0;;4.0;;211.0
Biervliet-G0652;31;46;295.0;251.0;50.0;73.0;81.0;137.0;31.0;;31.0;;;;;;35.0;;99.0
Biggekerke-G1022;9;6;1.0;14.0;171.0;152.0;4.0;7.0;8.0;;77.0;;;;;;;;55.0
Bingelrade-G0894;1;7;225.0;1.0;1.0;;12.0;;;;;;;;;12.0;;;13.0
Bladel en Netersel-G0754;3;8;1021.0;1.0;3.0;47.0;4.0;;3.0;;;;3.0;;;2.0;;;50.0
Blankenham-G0145;3;4;13.0;26.0;7.0;57.0;3.0;69.0;26.0;;1.0;15.0;;;1.0;;;;39.0
Blaricum-G0376;15;58;602.0;103.0;69.0;83.0;135.0;221.0;92.0;74.0;15.0;45.0;33.0;22.0;;2.0;;;164.0
Bleiswijk-G0495;6;15;253.0;42.0;177.0;201.0;53.0;86.0;5.0;7.0;97.0;;;;5.0;2.0;;2.0;82.0
Bleskensgraaf en Hofwegen-G0496;9;5;;35.0;183.0;15.0;14.0;47.0;6.0;1.0;158.0;1.0;;;;;;8.0;131.0
Bloemendaal-G0377;82;198;1574.0;851.0;603.0;632.0;1020.0;1251.0;527.0;57.0;4.0;131.0;35.0;24.0;;2.0;;;605.0
Blokker-G0378;3;15;754.0;71.0;12.0;6.0;82.0;92.0;148.0;7.0;3.0;6.0;18.0;5.0;;;;;57.0
Blokzijl-G0146;9;9;1.0;105.0;103.0;100.0;29.0;41.0;44.0;1.0;14.0;19.0;2.0;1.0;;;;;43.0
Bocholtz-G0895;60;57;846.0;35.0;14.0;;241.0;;1.0;3.0;;;12.0;;;28.0;;;38.0
Bodegraven-G0497;22;63;570.0;132.0;994.0;383.0;282.0;171.0;13.0;33.0;275.0;10.0;15.0;1.0;26.0;19.0;;19.0;209.0
Boekel-G0755;9;30;1368.0;11.0;1.0;2.0;3.0;3.0;;2.0;;;11.0;;;;;;201.0
Bolsward-G0064;30;134;1092.0;592.0;463.0;456.0;72.0;167.0;308.0;31.0;10.0;47.0;;5.0;9.0;;;;282.0
Borculo-G0211;27;74;272.0;568.0;362.0;232.0;282.0;686.0;266.0;14.0;5.0;15.0;3.0;22.0;;;;7.0;208.0
Borger-G0108;87;121;104.0;1562.0;658.0;531.0;734.0;159.0;309.0;27.0;;62.0;2.0;15.0;;;81.0;15.0;170.0
Borgharen-G0896;6;28;320.0;9.0;1.0;;124.0;;;;;;6.0;;;4.0;;;13.0
Born-G0897;13;25;1027.0;9.0;14.0;;149.0;;7.0;;;;1.0;;;11.0;;;73.0
Borne-G0147;83;95;2364.0;420.0;105.0;250.0;151.0;136.0;93.0;118.0;20.0;526.0;89.0;11.0;;;;12.0;232.0
Borssele-G1254;6;11;101.0;43.0;81.0;126.0;28.0;73.0;20.0;;139.0;;;;;;;;105.0
Boschkapelle-G1027;22;11;316.0;3.0;15.0;19.0;12.0;6.0;1.0;;5.0;;;;;;121.0;;69.0
Boskoop-G0499;40;104;733.0;355.0;813.0;531.0;141.0;504.0;126.0;16.0;245.0;23.0;14.0;9.0;13.0;3.0;;5.0;232.0
Bovenkarspel-G0379;12;18;910.0;105.0;18.0;10.0;20.0;31.0;127.0;4.0;3.0;4.0;62.0;5.0;;;;;90.0
Boxmeer-G0756;15;35;1446.0;23.0;7.0;28.0;41.0;3.0;15.0;45.0;2.0;;12.0;;;;;;81.0
Boxtel-G0757;111;205;3387.0;399.0;13.0;82.0;33.0;24.0;33.0;11.0;3.0;;251.0;;;71.0;;;371.0
Brakel-G0212;8;36;5.0;175.0;36.0;312.0;47.0;15.0;4.0;;132.0;1.0;1.0;;;;;23.0;117.0
Brandwijk-G0500;9;15;;24.0;168.0;33.0;7.0;66.0;;1.0;97.0;;;;1.0;;;2.0;46.0
Breda-G0758;512;1132;12902.0;3746.0;588.0;545.0;1282.0;955.0;269.0;125.0;40.0;;909.0;;;138.0;;;1312.0
Breskens-G0655;28;89;61.0;402.0;94.0;260.0;94.0;431.0;111.0;;18.0;;;;;;10.0;;163.0
Breukelen-Nijenrode-G1028;9;20;377.0;69.0;269.0;422.0;113.0;59.0;13.0;3.0;117.0;5.0;11.0;1.0;;;;3.0;79.0
Breukelen-Sint Pieters-G1029;16;8;72.0;52.0;90.0;119.0;31.0;16.0;4.0;1.0;13.0;3.0;1.0;;;;;2.0;34.0
Brielle-G0501;33;43;113.0;422.0;150.0;361.0;111.0;468.0;49.0;15.0;19.0;4.0;5.0;4.0;15.0;;;;197.0
Broek in Waterland-G0380;22;12;11.0;173.0;76.0;136.0;63.0;59.0;254.0;12.0;9.0;21.0;14.0;14.0;;;;;69.0
Broek op Langendijk-G1031;8;20;10.0;145.0;477.0;234.0;62.0;50.0;44.0;5.0;23.0;10.0;1.0;25.0;;;;;86.0
Broekhuizen-G0898;1;1;414.0;1.0;;;5.0;;1.0;;;;4.0;;;;;;18.0
Broeksittard-G1032;4;14;264.0;4.0;;;66.0;;2.0;;;;2.0;;;;;;9.0
Brouwershaven-G0656;9;20;;230.0;156.0;17.0;37.0;173.0;29.0;;10.0;;;;;;;;64.0
Bruinisse-G0657;15;47;3.0;137.0;272.0;147.0;70.0;226.0;18.0;;260.0;;;;;;;;245.0
Brummen-G0213;95;195;302.0;1582.0;336.0;791.0;332.0;842.0;60.0;24.0;7.0;31.0;11.0;28.0;13.0;;;121.0;386.0
Brunssum-G0899;147;245;2433.0;764.0;374.0;;598.0;;19.0;84.0;;;43.0;36.0;;292.0;;;184.0
Budel-G0759;18;31;1684.0;25.0;3.0;17.0;42.0;12.0;6.0;2.0;;;44.0;;;;;;117.0
Buggenum-G1033;11;12;340.0;;;;24.0;;;;;;2.0;;;6.0;;;16.0
Bunde-G0900;27;23;461.0;3.0;13.0;;108.0;;3.0;2.0;;;2.0;1.0;;3.0;;;40.0
Bunnik-G0312;9;26;395.0;72.0;70.0;81.0;77.0;28.0;12.0;;38.0;7.0;2.0;;;;;5.0;88.0
Bunschoten-G0313;38;28;6.0;16.0;1946.0;35.0;90.0;5.0;;;48.0;13.0;1.0;;;;;2.0;110.0
Buren-G0214;19;38;64.0;129.0;34.0;145.0;63.0;115.0;14.0;6.0;67.0;210.0;4.0;6.0;4.0;;;3.0;82.0
Burgh-G1035;8;5;2.0;67.0;22.0;83.0;19.0;99.0;10.0;;12.0;;;;;;;;25.0
Bussum-G0381;233;526;3209.0;1701.0;1215.0;1491.0;1525.0;1619.0;500.0;243.0;97.0;348.0;385.0;264.0;;6.0;;;968.0
