RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Vlissingen-G0718;353;;7644;1898.0;1515.0;1278.0;1677.0;354.0;276.0;37.0;58.0;52.0;961.0
Vlist-G0623;2;;49;52.0;59.0;48.0;14.0;1.0;51.0;;;;11.0
Vlodrop-G0985;21;;60;735.0;3.0;;5.0;3.0;;;;;
Voerendaal-G0986;40;;238;2518.0;17.0;17.0;11.0;6.0;;1.0;4.0;2.0;42.0
Vogelwaarde-G0719;28;;88;1835.0;23.0;5.0;48.0;1.0;5.0;;1.0;2.0;87.0
Vollenhove-G0185;23;;620;162.0;657.0;93.0;680.0;18.0;57.0;246.0;2.0;2.0;107.0
Voorburg-G0624;311;;5501;6124.0;2713.0;4609.0;1604.0;239.0;106.0;90.0;418.0;120.0;1541.0
Voorhout-G0625;14;;102;1649.0;63.0;65.0;133.0;2.0;3.0;;13.0;2.0;89.0
Voorschoten-G0626;87;;1318;1870.0;883.0;715.0;756.0;46.0;98.0;34.0;55.0;9.0;284.0
Voorst-G0285;117;;3253;2756.0;408.0;1350.0;1495.0;335.0;148.0;17.0;6.0;33.0;411.0
Vorden-G0286;26;;1075;504.0;460.0;416.0;702.0;10.0;14.0;3.0;14.0;20.0;120.0
Vreeland-G1213;17;;172;58.0;102.0;73.0;117.0;12.0;49.0;;2.0;;25.0
Vreeswijk-G0348;26;;430;713.0;223.0;38.0;264.0;3.0;73.0;;3.0;1.0;137.0
Vries-G0133;148;;1802;43.0;221.0;908.0;111.0;131.0;4.0;54.0;8.0;77.0;157.0
Vriezenveen-G0186;96;;1833;353.0;615.0;191.0;2417.0;50.0;551.0;35.0;11.0;9.0;318.0
Vrouwenpolder-G1214;7;;41;8.0;309.0;11.0;113.0;1.0;22.0;54.0;1.0;;7.0
Vught-G0865;151;;1308;7205.0;193.0;389.0;137.0;30.0;8.0;14.0;79.0;16.0;1215.0
Vuren-G0287;16;;488;14.0;218.0;81.0;243.0;2.0;43.0;1.0;2.0;4.0;37.0
Waalre-G0866;63;;572;2833.0;74.0;221.0;63.0;14.0;3.0;;2.0;10.0;99.0
Waalwijk-G0867;99;;1043;5919.0;232.0;151.0;492.0;18.0;25.0;1.0;8.0;5.0;145.0
Waarde-G0721;4;;85;5.0;27.0;40.0;170.0;1.0;208.0;;;1.0;56.0
Waardenburg-G0288;17;;347;20.0;52.0;58.0;215.0;3.0;254.0;;5.0;2.0;35.0
Waarder-G1217;5;;69;16.0;188.0;11.0;111.0;4.0;105.0;;;;32.0
Waddinxveen-G0627;82;;1389;674.0;882.0;367.0;709.0;37.0;814.0;12.0;3.0;9.0;207.0
Wadenoijen-G1218;32;;570;177.0;57.0;279.0;180.0;2.0;87.0;1.0;9.0;3.0;57.0
Wageningen-G0289;192;;4350;1920.0;1222.0;1341.0;1625.0;333.0;456.0;25.0;50.0;64.0;547.0
Wamel-G0290;22;;257;3413.0;16.0;18.0;114.0;10.0;11.0;;3.0;2.0;118.0
Wanneperveen-G0187;9;;304;3.0;125.0;55.0;416.0;5.0;15.0;14.0;1.0;;44.0
Wanroij-G0868;4;;7;1578.0;;;;;;;;;30.0
Wanssum-G0987;1;;5;583.0;;;;;;;;;6.0
Warder-G0455;4;;175;17.0;;81.0;5.0;13.0;2.0;;;2.0;14.0
Warffum-G0049;18;;731;5.0;373.0;215.0;53.0;9.0;2.0;21.0;1.0;9.0;46.0
Warmenhuizen-G0456;8;;182;924.0;80.0;90.0;5.0;38.0;;;;;31.0
Warmond-G0628;14;;262;1328.0;79.0;149.0;162.0;8.0;25.0;3.0;8.0;5.0;61.0
Warnsveld-G0291;51;;1038;320.0;371.0;406.0;634.0;20.0;11.0;4.0;5.0;27.0;664.0
Waspik-G0869;24;;109;1351.0;105.0;5.0;104.0;2.0;21.0;1.0;;1.0;80.0
Wassenaar-G0629;139;;2332;4539.0;1369.0;3381.0;1162.0;102.0;130.0;19.0;211.0;49.0;996.0
Wateringen-G0630;22;;244;2566.0;175.0;69.0;374.0;6.0;19.0;1.0;8.0;11.0;23.0
Waterlandkerkje-G0722;5;;73;113.0;13.0;31.0;30.0;;17.0;;1.0;;9.0
Wedde-G1220;61;;1255;18.0;142.0;314.0;192.0;299.0;3.0;1.0;3.0;9.0;96.0
Weerselo-G0188;29;;86;4126.0;10.0;22.0;75.0;4.0;1.0;;;4.0;43.0
Weert-G0988;249;;1151;10033.0;148.0;90.0;56.0;19.0;10.0;6.0;51.0;27.0;177.0
Weesp-G0457;118;;2295;1095.0;651.0;312.0;835.0;217.0;61.0;8.0;9.0;25.0;140.0
Weesperkarspel-G1221;52;;503;613.0;265.0;67.0;488.0;76.0;66.0;12.0;7.0;;68.0
Wehl-G0292;27;;118;1821.0;11.0;3.0;58.0;1.0;;;4.0;4.0;33.0
Wemeldinge-G0723;27;;427;16.0;230.0;156.0;428.0;;101.0;2.0;3.0;4.0;145.0
Werkendam-G0870;41;;1265;33.0;1481.0;125.0;720.0;12.0;562.0;17.0;1.0;4.0;651.0
Werkhoven-G1223;0;;59;462.0;18.0;3.0;63.0;1.0;39.0;;;2.0;17.0
Wervershoof-G0459;6;;82;1949.0;12.0;16.0;;3.0;2.0;;1.0;;22.0
Wessem-G0989;7;;43;764.0;4.0;2.0;3.0;1.0;;;;;42.0
Westbroek-G1224;30;;158;94.0;274.0;20.0;254.0;12.0;93.0;;1.0;1.0;42.0
Westdongeradeel-G0097;40;;1084;20.0;1438.0;291.0;1070.0;73.0;26.0;50.0;5.0;12.0;127.0
Westdorpe-G0724;45;;263;908.0;9.0;29.0;20.0;3.0;2.0;2.0;3.0;;25.0
Westerbork-G0134;103;;1593;36.0;560.0;621.0;285.0;31.0;23.0;7.0;4.0;14.0;97.0
Westerhoven-G0871;2;;13;504.0;;;;;;1.0;;;7.0
Westervoort-G0293;13;;214;1042.0;67.0;29.0;92.0;4.0;2.0;1.0;;;58.0
Westkapelle-G0726;20;;575;11.0;143.0;90.0;321.0;5.0;205.0;2.0;1.0;2.0;112.0
Westmaas-G0631;9;;153;4.0;162.0;68.0;138.0;1.0;46.0;1.0;1.0;3.0;26.0
Weststellingwerf-G0098;278;;6230;1179.0;788.0;1356.0;1298.0;549.0;14.0;13.0;15.0;11.0;511.0
Westwoud-G0460;3;;134;535.0;4.0;71.0;16.0;3.0;;;;;12.0
Westzaan-G0461;64;;858;73.0;254.0;198.0;83.0;454.0;60.0;4.0;9.0;3.0;115.0
Wierden-G0189;49;;1010;2190.0;1426.0;211.0;1806.0;11.0;560.0;16.0;4.0;12.0;153.0
Wieringen-G0462;110;;1795;312.0;246.0;563.0;161.0;429.0;15.0;;3.0;6.0;286.0
Wieringermeer-G0463;31;;1021;902.0;818.0;421.0;483.0;45.0;19.0;49.0;1.0;1.0;53.0
Wieringerwaard-G0464;6;;413;29.0;30.0;194.0;17.0;24.0;3.0;;2.0;1.0;43.0
Wijchen-G0296;60;;379;4565.0;17.0;19.0;27.0;6.0;1.0;1.0;3.0;6.0;88.0
Wijdenes-G0469;8;;372;42.0;12.0;138.0;16.0;13.0;;;;2.0;27.0
Wijdewormer-G0470;5;;123;180.0;19.0;64.0;47.0;15.0;1.0;;;1.0;18.0
Wijhe-G0190;15;;1065;904.0;268.0;268.0;746.0;5.0;28.0;11.0;;7.0;78.0
Wijk bij Duurstede-G0352;35;;410;1206.0;92.0;69.0;265.0;9.0;25.0;;;10.0;79.0
Wijk en Aalburg-G0876;23;;374;4.0;274.0;66.0;97.0;1.0;681.0;2.0;;1.0;159.0
Wijlre-G0991;28;;72;1321.0;10.0;8.0;6.0;3.0;1.0;1.0;12.0;3.0;
Wijnandsrade-G0992;5;;25;424.0;;;2.0;;;;;1.0;6.0
Wijngaarden-G0634;2;;22;1.0;99.0;13.0;8.0;;106.0;1.0;;;5.0
Wildervank-G1225;173;;2787;218.0;852.0;757.0;493.0;263.0;8.0;57.0;12.0;19.0;311.0
Willemstad-G0872;12;;288;107.0;246.0;33.0;428.0;1.0;20.0;1.0;1.0;1.0;19.0
Willeskop-G0349;1;;75;288.0;32.0;7.0;72.0;;26.0;1.0;;;18.0
Wilnis-G0350;11;;58;548.0;397.0;21.0;233.0;2.0;109.0;8.0;2.0;11.0;54.0
Winkel-G0465;17;;743;51.0;29.0;182.0;19.0;133.0;3.0;;1.0;2.0;69.0
Winschoten-G0052;200;;4352;342.0;1048.0;1279.0;645.0;1012.0;16.0;51.0;26.0;22.0;515.0
Winsum-G0053;13;;629;8.0;747.0;221.0;124.0;7.0;1.0;44.0;1.0;6.0;43.0
Winterswijk-G0294;239;;6596;1808.0;1040.0;2302.0;753.0;92.0;8.0;23.0;16.0;90.0;395.0
Wisch-G0295;189;;2053;2357.0;801.0;728.0;1170.0;30.0;8.0;1.0;11.0;16.0;273.0
Wissenkerke-G0727;18;;409;4.0;596.0;100.0;654.0;5.0;182.0;2.0;3.0;1.0;120.0
Wittem-G0990;55;;191;2733.0;19.0;35.0;20.0;8.0;1.0;;3.0;5.0;
Woensdrecht-G0873;97;;370;2112.0;66.0;58.0;35.0;7.0;7.0;2.0;7.0;8.0;64.0
Woerden-G0632;70;;1397;1771.0;904.0;375.0;1100.0;41.0;353.0;3.0;8.0;18.0;276.0
Wognum-G0466;1;;185;953.0;9.0;75.0;7.0;10.0;;;;;14.0
Wolphaartsdijk-G0728;23;;308;53.0;266.0;73.0;486.0;;244.0;11.0;2.0;;63.0
Wonseradeel-G0099;58;;1943;595.0;1759.0;465.0;1855.0;117.0;49.0;39.0;10.0;21.0;275.0
Workum-G0100;28;;529;509.0;413.0;82.0;647.0;9.0;4.0;5.0;;7.0;49.0
Wormer-G0467;42;;1195;1054.0;320.0;209.0;59.0;468.0;24.0;66.0;3.0;6.0;119.0
Wormerveer-G0468;120;;2773;1084.0;649.0;642.0;155.0;1457.0;27.0;39.0;6.0;13.0;352.0
Woubrugge-G0633;14;;146;641.0;210.0;69.0;284.0;7.0;63.0;1.0;3.0;4.0;43.0
Woudenberg-G0351;50;;697;32.0;286.0;219.0;753.0;16.0;310.0;5.0;3.0;19.0;141.0
Woudrichem-G0874;21;;572;10.0;195.0;67.0;213.0;3.0;60.0;3.0;;1.0;43.0
Wouw-G0875;85;;294;2678.0;18.0;16.0;14.0;17.0;2.0;;2.0;13.0;86.0
Wymbritseradeel-G0101;32;;828;810.0;1486.0;160.0;2630.0;11.0;13.0;3.0;2.0;12.0;269.0
Yerseke-G0729;46;;817;112.0;439.0;203.0;549.0;21.0;645.0;;5.0;7.0;185.0
Zaamslag-G0731;24;;462;37.0;544.0;85.0;544.0;3.0;128.0;187.0;;1.0;85.0
Zaandam-G0471;503;;11185;3783.0;2985.0;2168.0;1005.0;4574.0;235.0;95.0;54.0;44.0;1360.0
Zaandijk-G0472;48;;1182;214.0;280.0;405.0;62.0;516.0;4.0;13.0;7.0;5.0;131.0
Zaltbommel-G0297;40;;1549;531.0;252.0;311.0;285.0;16.0;85.0;19.0;2.0;3.0;144.0
Zandvoort-G0473;186;;3187;1280.0;530.0;1552.0;532.0;339.0;18.0;10.0;88.0;84.0;
Zeeland-G0877;3;;14;1690.0;;2.0;2.0;;;;;;51.0
Zegveld-G0354;6;;31;121.0;236.0;6.0;211.0;2.0;102.0;1.0;;;25.0
Zeist-G0355;522;;8381;3808.0;4441.0;3873.0;3663.0;276.0;846.0;99.0;343.0;167.0;2123.0
Zelhem-G0298;121;;1489;436.0;848.0;321.0;832.0;9.0;109.0;7.0;7.0;63.0;255.0
Zevenaar-G0299;75;;463;3954.0;27.0;77.0;118.0;11.0;4.0;1.0;5.0;4.0;64.0
Zevenbergen-G0878;98;;426;3616.0;128.0;94.0;541.0;21.0;5.0;50.0;10.0;8.0;158.0
Zevenhoven-G0635;8;;59;340.0;80.0;13.0;92.0;4.0;11.0;;;;7.0
Zevenhuizen-G0636;13;;733;24.0;167.0;246.0;439.0;11.0;169.0;2.0;4.0;11.0;71.0
Zierikzee-G0732;48;;1616;513.0;801.0;531.0;481.0;27.0;165.0;10.0;4.0;4.0;243.0
Zijpe-G0476;42;;1511;1039.0;84.0;621.0;49.0;97.0;2.0;2.0;3.0;9.0;75.0
Zoelen-G0300;35;;955;22.0;97.0;179.0;204.0;5.0;15.0;1.0;9.0;2.0;58.0
Zoetermeer-G0637;21;;770;1110.0;405.0;187.0;483.0;13.0;448.0;21.0;;8.0;148.0
Zoeterwoude-G0638;22;;207;1962.0;150.0;87.0;249.0;19.0;47.0;;4.0;2.0;49.0
Zonnemaire-G1236;8;;232;8.0;89.0;99.0;44.0;2.0;5.0;1.0;;;26.0
Zoutelande-G1237;8;;88;30.0;123.0;53.0;212.0;2.0;97.0;16.0;2.0;;
Zuid- en Noord-Schermer-G0474;5;;312;66.0;27.0;61.0;15.0;28.0;19.0;1.0;;6.0;17.0
Zuid-Beijerland-G0639;13;;381;2.0;302.0;159.0;285.0;5.0;223.0;2.0;2.0;1.0;85.0
Zuidbroek-G1240;75;;882;16.0;130.0;241.0;48.0;130.0;2.0;65.0;6.0;14.0;104.0
Zuiddorpe-G0734;19;;83;373.0;;2.0;4.0;;;;;4.0;15.0
Zuidelijke IJsselmeerpolders-G0996;2;;125;18.0;28.0;10.0;29.0;32.0;9.0;;2.0;;
Zuidhorn-G0056;18;;710;44.0;460.0;373.0;146.0;29.0;2.0;338.0;3.0;10.0;76.0
Zuidland-G0640;12;;220;2.0;698.0;120.0;128.0;3.0;40.0;1.0;;1.0;44.0
Zuidlaren-G0136;88;;1371;42.0;614.0;687.0;139.0;66.0;5.0;130.0;13.0;39.0;81.0
Zuidwolde-G0137;92;;1219;49.0;792.0;596.0;769.0;28.0;16.0;54.0;4.0;13.0;123.0
Zuidzande-G0735;18;;221;19.0;25.0;158.0;45.0;;6.0;;;3.0;32.0
Zundert-G0879;189;;271;4361.0;40.0;44.0;70.0;11.0;5.0;3.0;2.0;8.0;127.0
Zutphen-G0301;262;;6767;1779.0;1070.0;1666.0;1289.0;833.0;52.0;29.0;33.0;40.0;628.0
Zwaag-G0475;3;;262;830.0;3.0;86.0;5.0;4.0;;;;;13.0
Zwammerdam-G1244;10;;298;393.0;301.0;89.0;243.0;4.0;100.0;;5.0;3.0;62.0
Zwartewaal-G0641;11;;171;1.0;84.0;64.0;7.0;5.0;7.0;2.0;;;
Zwartsluis-G0192;18;;369;13.0;858.0;75.0;425.0;22.0;59.0;40.0;1.0;;121.0
Zweeloo-G0138;24;;559;15.0;276.0;357.0;77.0;4.0;;7.0;2.0;4.0;46.0
Zwijndrecht-G0642;173;;3184;384.0;2153.0;565.0;1690.0;239.0;595.0;186.0;16.0;19.0;537.0
Zwolle-G0193;512;;12560;5313.0;3483.0;2858.0;2953.0;955.0;382.0;502.0;55.0;60.0;1551.0
Zwollerkerspel-G1245;49;;1257;885.0;909.0;410.0;1477.0;33.0;244.0;312.0;4.0;4.0;262.0
