RegioNaam;@invalid;@blank;PvdA;KVP;ARP;VVD;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie;@abs
Rijnsaterwoude-G0601;4;;50;158.0;66.0;11.0;61.0;2.0;40.0;;;;19.0
Rijnsburg-G0602;14;;357;102.0;1406.0;24.0;935.0;3.0;120.0;102.0;1.0;1.0;49.0
Rijsbergen-G0841;19;;72;1659.0;15.0;4.0;12.0;2.0;;1.0;;3.0;35.0
Rijssen-G0178;59;;1465;770.0;982.0;172.0;517.0;18.0;3080.0;10.0;6.0;9.0;428.0
Rijswijk-G0603;228;;4105;4526.0;1945.0;2533.0;1301.0;231.0;167.0;45.0;272.0;77.0;910.0
Rijswijk (NB)-G0842;2;;102;2.0;121.0;6.0;181.0;;25.0;;;;21.0
Rilland-Bath-G0702;19;;366;129.0;106.0;110.0;327.0;;190.0;3.0;;;51.0
Ritthem-G1163;3;;60;2.0;47.0;9.0;149.0;;29.0;2.0;;;7.0
Rockanje-G0598;86;;863;47.0;304.0;534.0;97.0;155.0;9.0;1.0;3.0;18.0;
Roden-G0125;146;;1949;31.0;576.0;629.0;319.0;128.0;4.0;57.0;6.0;9.0;145.0
Roermond-G0957;328;;3096;8821.0;174.0;243.0;69.0;33.0;6.0;4.0;62.0;41.0;337.0
Roggel-G0958;12;;19;1353.0;1.0;;1.0;1.0;;2.0;;1.0;6.0
Rolde-G0126;71;;1141;28.0;46.0;715.0;57.0;14.0;2.0;6.0;3.0;20.0;92.0
Roosendaal en Nispen-G0838;604;;3645;13216.0;315.0;205.0;225.0;67.0;19.0;7.0;115.0;437.0;585.0
Roosteren-G0959;13;;28;593.0;5.0;1.0;1.0;1.0;;;;1.0;9.0
Rosmalen-G0839;77;;303;3425.0;15.0;25.0;18.0;5.0;;;3.0;6.0;72.0
Rossum-G0276;16;;453;395.0;75.0;44.0;238.0;1.0;17.0;;;1.0;39.0
Rotterdam-G0599;12248;;188440;57675.0;37010.0;44450.0;25435.0;33575.0;8594.0;1788.0;1111.0;1106.0;30854.0
Rozenburg-G0600;19;;304;3.0;510.0;152.0;673.0;2.0;28.0;48.0;4.0;;60.0
Rozendaal-G0277;7;;139;38.0;41.0;78.0;68.0;1.0;2.0;2.0;4.0;;25.0
