RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Wedde-G1220;68;;21.0;1044;357;124.0;217.0;110;26.0;363.0;65.0;5.0;7.0;19.0;5.0;7.0;10.0;5.0;;;;;;;;78.0
Weerselo-G0188;44;;3916.0;80;52;39.0;68.0;361;30.0;7.0;19.0;;1.0;12.0;8.0;15.0;3.0;3.0;1.0;;;;;;;73.0
Weert-G0988;932;;11311.0;931;763;274.0;130.0;1336;617.0;202.0;161.0;12.0;14.0;197.0;221.0;97.0;36.0;29.0;25.0;12.0;;18.0;;;;682.0
Weesp-G0457;292;;1477.0;2306;931;950.0;964.0;346;720.0;242.0;371.0;66.0;41.0;50.0;124.0;56.0;14.0;8.0;9.0;;;;;;;333.0
Wehl-G0292;69;;1784.0;107;41;25.0;74.0;474;38.0;8.0;13.0;3.0;1.0;27.0;9.0;10.0;5.0;2.0;2.0;;;;;;;84.0
Wemeldinge-G0723;40;;27.0;375;163;257.0;388.0;72;22.0;3.0;14.0;100.0;1.0;6.0;7.0;9.0;1.0;;;;;;;;;116.0
Werkendam-G0870;133;;70.0;1464;213;1729.0;894.0;104;56.0;50.0;71.0;825.0;44.0;25.0;22.0;25.0;4.0;3.0;5.0;;;;;;;551.0
Wervershoof-G0459;23;;1984.0;55;58;17.0;6.0;95;36.0;6.0;22.0;1.0;1.0;9.0;6.0;14.0;1.0;;2.0;;;;;;;66.0
Wessem-G0989;51;;772.0;53;23;15.0;15.0;60;14.0;6.0;1.0;;;5.0;4.0;4.0;1.0;;6.0;1.0;;1.0;;;;110.0
Westdongeradeel-G0097;68;;15.0;719;274;1433.0;1051.0;78;30.0;55.0;80.0;34.0;61.0;6.0;14.0;7.0;3.0;1.0;2.0;;9.0;;;;;105.0
Westdorpe-G0724;100;;790.0;167;84;26.0;26.0;59;23.0;8.0;16.0;2.0;6.0;19.0;6.0;6.0;;4.0;3.0;;;;;;;85.0
Westerbork-G0134;79;;26.0;1512;709;597.0;290.0;264;51.0;25.0;38.0;38.0;29.0;9.0;12.0;5.0;3.0;6.0;;;;;;;;91.0
Westerhoven-G0871;22;;536.0;29;22;6.0;1.0;47;20.0;;13.0;;;4.0;2.0;;1.0;1.0;;;;;;;;11.0
Westerschouwen-G0725;88;;45.0;711;622;350.0;445.0;63;64.0;10.0;28.0;120.0;2.0;14.0;8.0;10.0;3.0;2.0;6.0;;;;;;;276.0
Westervoort-G0293;38;;1183.0;260;66;129.0;103.0;62;74.0;14.0;18.0;4.0;3.0;10.0;9.0;5.0;4.0;8.0;2.0;;;;;;;99.0
Westkapelle-G0726;40;;12.0;477;132;146.0;343.0;51;10.0;4.0;12.0;209.0;8.0;6.0;4.0;6.0;1.0;7.0;1.0;;;;;;;75.0
Westmaas-G0631;14;;8.0;151;90;180.0;161.0;17;14.0;;4.0;47.0;2.0;4.0;2.0;;;;;;;;;;;16.0
Weststellingwerf-G0098;396;;1362.0;4842;1312;1041.0;1388.0;851;210.0;580.0;365.0;25.0;41.0;72.0;25.0;42.0;23.0;13.0;6.0;;5.0;;;;;793.0
Westwoud-G0460;10;;510.0;87;61;15.0;14.0;29;8.0;6.0;23.0;;;3.0;2.0;3.0;;;;;;;;;;38.0
Westzaan-G0461;65;;141.0;774;282;322.0;101.0;115;135.0;363.0;221.0;54.0;4.0;21.0;14.0;20.0;17.0;11.0;3.0;;;;;;;127.0
Wierden-G0189;74;;2637.0;850;344;1619.0;2037.0;500;101.0;42.0;47.0;600.0;40.0;17.0;44.0;8.0;12.0;11.0;4.0;;;;;;;263.0
Wieringen-G0462;97;;337.0;1380;641;371.0;239.0;321;128.0;327.0;325.0;11.0;9.0;29.0;21.0;31.0;16.0;8.0;2.0;;;;;;;286.0
Wieringermeer-G0463;57;;1034.0;1018;549;1045.0;608.0;134;120.0;63.0;105.0;16.0;60.0;15.0;32.0;;2.0;6.0;1.0;;;;;16.0;;157.0
Wieringerwaard-G0464;8;;41.0;357;195;41.0;20.0;37;19.0;28.0;22.0;;2.0;;1.0;4.0;2.0;2.0;;;;;;;;52.0
Wijchen-G0296;247;;5034.0;382;259;174.0;79.0;782;343.0;46.0;53.0;6.0;9.0;91.0;20.0;34.0;17.0;14.0;5.0;;;;;;;193.0
Wijdenes-G0469;15;;87.0;207;123;28.0;14.0;33;19.0;25.0;28.0;1.0;;2.0;3.0;5.0;3.0;4.0;;;;;;;;22.0
Wijdewormer-G0470;12;;181.0;178;60;51.0;47.0;60;24.0;24.0;28.0;1.0;3.0;9.0;6.0;4.0;2.0;;;;;;;;;26.0
Wijhe-G0190;39;;955.0;924;262;277.0;700.0;220;36.0;9.0;24.0;37.0;23.0;7.0;12.0;16.0;4.0;;1.0;;;;;;;64.0
Wijk bij Duurstede-G0352;56;;1081.0;398;182;89.0;221.0;111;53.0;28.0;16.0;28.0;6.0;10.0;9.0;20.0;4.0;2.0;;;1.0;;;;;9.0
Wijk en Aalburg-G0876;43;;5.0;302;86;379.0;154.0;133;17.0;2.0;10.0;626.0;3.0;4.0;11.0;10.0;20.0;1.0;1.0;;;;;;;146.0
Wijlre-G0991;63;;1172.0;87;42;17.0;7.0;235;22.0;9.0;9.0;6.0;;13.0;6.0;10.0;10.0;1.0;1.0;;;8.0;;;;53.0
Wijnandsrade-G0992;30;;468.0;50;14;9.0;6.0;47;15.0;5.0;11.0;;1.0;8.0;2.0;;;2.0;;5.0;;;;;;12.0
Wijngaarden-G0634;3;;;16;10;97.0;15.0;25;3.0;;;107.0;1.0;;1.0;1.0;;;;;;;;;;9.0
Wildervank-G1225;260;;182.0;2263;695;749.0;511.0;290;73.0;264.0;242.0;10.0;66.0;39.0;22.0;25.0;4.0;8.0;;;;;;;;325.0
Willemstad-G0872;20;;110.0;302;94;214.0;414.0;27;18.0;12.0;12.0;26.0;1.0;10.0;5.0;3.0;2.0;;;;;;;;;44.0
Willeskop-G0349;18;;280.0;52;25;39.0;69.0;23;2.0;3.0;1.0;24.0;;5.0;;;;;1.0;;;;;;;16.0
Wilnis-G0350;31;;579.0;52;89;473.0;296.0;134;34.0;10.0;13.0;82.0;7.0;10.0;17.0;9.0;4.0;;;;1.0;;;;;67.0
Winkel-G0465;16;;85.0;626;210;49.0;39.0;57;42.0;76.0;118.0;3.0;1.0;8.0;1.0;5.0;11.0;5.0;;;;;;;;70.0
