RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Boeren Partij;D66;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);SGP;Gereformeerd Politiek Verbond (GPV);Noodraad;Christen-Democratische Unie;Partij voor Ongehuwden;Landsbelangen;Liberale Volkspartij;Lijst Voogd;Lijst van Breukelen-Grein;Lijst-Machiela;Lijst-Germeaux;Partij van het Recht;CNVP;Lijst-Rodemond;@abs
Ameide-G0485;14;;17.0;377;75;429.0;151.0;46;22.0;2.0;7.0;93.0;;1.0;1.0;;3.0;;;;;;;;;48.0
Ameland-G0060;14;;474.0;391;154;181.0;199.0;48;19.0;11.0;34.0;4.0;5.0;9.0;4.0;11.0;3.0;;1.0;;2.0;;;;;81.0
Amerongen-G0306;73;;102.0;759;300;357.0;782.0;134;81.0;24.0;47.0;308.0;12.0;17.0;11.0;6.0;7.0;2.0;1.0;;1.0;;;;;147.0
Amersfoort-G0307;1311;;8441.0;10901;5694;4147.0;4410.0;1338;1972.0;1066.0;1187.0;602.0;1014.0;223.0;387.0;256.0;86.0;84.0;33.0;;36.0;;;;;1944.0
Ammerstol-G0486;13;;12.0;476;65;19.0;22.0;6;12.0;83.0;20.0;16.0;1.0;1.0;;3.0;1.0;;;;;;;;;31.0
Ammerzoden-G0198;35;;1208.0;162;40;125.0;175.0;25;31.0;3.0;4.0;66.0;2.0;8.0;5.0;7.0;1.0;;;;;;;;;75.0
Amstelveen-G0362;513;;6148.0;5716;7634;4051.0;2426.0;876;3508.0;579.0;1090.0;135.0;173.0;107.0;350.0;203.0;57.0;78.0;19.0;;;;;;;1725.0
Amstenrade-G0884;82;;1143.0;259;114;48.0;18.0;84;59.0;26.0;26.0;3.0;4.0;14.0;2.0;4.0;3.0;4.0;1.0;20.0;;;;;;73.0
Amsterdam-G0363;13912;;66633.0;142481;59481;34860.0;19755.0;23808;43316.0;76268.0;33136.0;1257.0;1702.0;3063.0;3663.0;6633.0;1363.0;1183.0;412.0;;;;;475.0;916.0;39631.0
Andel-G0742;8;;2.0;95;10;308.0;274.0;23;10.0;4.0;4.0;122.0;2.0;2.0;2.0;;6.0;;1.0;;;;;;;43.0
Andijk-G0364;38;;423.0;436;79;792.0;57.0;227;42.0;151.0;92.0;48.0;16.0;4.0;25.0;10.0;;;1.0;;;;;;;76.0
Angerlo-G0199;27;;954.0;233;53;99.0;295.0;113;26.0;5.0;7.0;3.0;1.0;23.0;15.0;5.0;2.0;1.0;1.0;;;;;;;58.0
Anloo-G0105;144;;45.0;1613;830;171.0;107.0;415;50.0;78.0;64.0;3.0;18.0;15.0;8.0;10.0;20.0;3.0;;;;;;;;143.0
Anna Paulowna-G0366;52;;1429.0;928;563;325.0;155.0;122;85.0;113.0;79.0;18.0;36.0;20.0;14.0;16.0;8.0;4.0;1.0;;;;;;;156.0
Apeldoorn-G0200;1604;;8301.0;17066;7864;7343.0;10811.0;5241;2125.0;1013.0;1421.0;1440.0;378.0;353.0;552.0;278.0;106.0;95.0;49.0;;;;;;;3932.0
Appeltern-G0201;44;;1609.0;44;25;35.0;120.0;128;18.0;7.0;12.0;2.0;;12.0;1.0;6.0;4.0;1.0;;;;;;;;77.0
Appingedam-G0003;186;;110.0;2085;564;979.0;855.0;157;107.0;307.0;189.0;8.0;63.0;28.0;26.0;35.0;15.0;3.0;;;;;;;;297.0
Arcen en Velden-G0885;85;;2534.0;132;145;30.0;15.0;140;45.0;14.0;26.0;;;20.0;4.0;17.0;7.0;4.0;;;;1.0;;;;74.0
Arkel-G0487;28;;45.0;734;261;189.0;96.0;25;28.0;12.0;16.0;32.0;3.0;3.0;6.0;3.0;3.0;3.0;;;;;;;;28.0
Arnemuiden-G0649;46;;23.0;305;47;256.0;289.0;35;11.0;6.0;19.0;520.0;17.0;8.0;5.0;6.0;3.0;;1.0;;;;;;;123.0
Arnhem-G0202;2137;;19481.0;24407;9377;5795.0;5441.0;3022;3948.0;1568.0;1692.0;270.0;393.0;462.0;590.0;549.0;113.0;151.0;47.0;;;;;;;2782.0
Asperen-G0488;19;;18.0;286;130;276.0;181.0;14;20.0;7.0;21.0;150.0;11.0;7.0;6.0;1.0;;;;;;;;;;65.0
Assen-G0106;531;;716.0;7616;2589;2642.0;1675.0;631;547.0;493.0;328.0;46.0;813.0;84.0;113.0;88.0;26.0;26.0;;;;;;;;1216.0
Assendelft-G0367;87;;1446.0;943;316;178.0;93.0;85;196.0;571.0;188.0;33.0;18.0;18.0;27.0;31.0;6.0;6.0;2.0;;;;;;;126.0
Asten-G0743;168;;4168.0;234;236;97.0;32.0;349;95.0;25.0;29.0;2.0;7.0;56.0;22.0;33.0;12.0;10.0;1.0;;;;;;;119.0
Avenhorn-G0368;11;;513.0;173;78;29.0;13.0;38;11.0;7.0;41.0;;;3.0;3.0;4.0;;;;;;;;;;28.0
Avereest-G0143;129;;609.0;1291;576;1273.0;1815.0;496;99.0;27.0;62.0;39.0;69.0;23.0;33.0;20.0;13.0;6.0;7.0;;;;;;;519.0
Axel-G0650;163;;918.0;937;380;729.0;694.0;125;127.0;49.0;58.0;156.0;521.0;22.0;22.0;23.0;;4.0;4.0;;;;;;;220.0
Baarderadeel-G0061;40;;129.0;1166;457;436.0;343.0;75;103.0;14.0;97.0;4.0;8.0;4.0;6.0;15.0;7.0;2.0;;;;;;;;158.0
Baarland-G0651;9;;97.0;53;18;77.0;108.0;13;4.0;8.0;4.0;38.0;;;6.0;2.0;;;;;;;;;;23.0
Baarle-Nassau-G0744;64;;1821.0;87;89;33.0;13.0;234;24.0;11.0;11.0;;1.0;21.0;8.0;7.0;1.0;2.0;11.0;;;;;;;167.0
Baarn-G0308;308;;1892.0;2833;2516;2261.0;1244.0;543;596.0;180.0;380.0;249.0;96.0;54.0;90.0;61.0;25.0;19.0;3.0;;26.0;;;;;852.0
Baexem-G0886;19;;692.0;10;19;5.0;1.0;30;5.0;4.0;3.0;;;2.0;;1.0;;2.0;2.0;1.0;;;;;;21.0
Baflo-G0004;23;;13.0;455;192;763.0;117.0;57;12.0;18.0;19.0;2.0;59.0;3.0;6.0;3.0;2.0;4.0;;;;;;;;36.0
Bakel en Milheeze-G0745;78;;2479.0;144;85;40.0;17.0;196;44.0;8.0;9.0;;1.0;22.0;13.0;13.0;5.0;1.0;;;;;;;;35.0
Barendrecht-G0489;66;;223.0;1250;797;1930.0;800.0;101;222.0;30.0;89.0;473.0;86.0;21.0;34.0;16.0;7.0;5.0;2.0;;;;;;;352.0
Barneveld-G0203;217;;698.0;1534;948;2608.0;3742.0;1855;276.0;46.0;128.0;2390.0;149.0;42.0;97.0;42.0;8.0;9.0;14.0;;;;;;;175.0
Barradeel-G0062;70;;44.0;910;231;1148.0;1146.0;87;47.0;23.0;84.0;8.0;48.0;19.0;14.0;14.0;3.0;5.0;4.0;;2.0;;;;;98.0
Barsingerhorn-G0369;42;;81.0;450;194;68.0;36.0;39;20.0;74.0;82.0;2.0;;9.0;5.0;2.0;3.0;;3.0;;;;;;;58.0
Batenburg-G0204;6;;207.0;9;3;12.0;30.0;46;3.0;1.0;5.0;;;6.0;1.0;;;1.0;;;;;;;;17.0
Bathmen-G0144;22;;38.0;404;405;92.0;375.0;196;43.0;10.0;22.0;;3.0;9.0;4.0;7.0;6.0;3.0;;;;;;;;0.0
Bedum-G0005;54;;209.0;1023;363;1905.0;230.0;160;72.0;21.0;46.0;11.0;531.0;17.0;11.0;10.0;8.0;3.0;;;;;;;;127.0
Beegden-G0887;34;;541.0;19;16;13.0;8.0;35;7.0;1.0;6.0;;;10.0;1.0;1.0;;;2.0;;;1.0;;;;28.0
Beek-G0888;291;;3947.0;637;333;158.0;74.0;347;241.0;56.0;62.0;2.0;3.0;52.0;22.0;26.0;34.0;20.0;9.0;9.0;;5.0;;;;232.0
Beek en Donk-G0746;131;;2243.0;219;134;39.0;15.0;196;89.0;33.0;18.0;2.0;3.0;26.0;10.0;19.0;12.0;1.0;5.0;;;;;;;104.0
Beemster-G0370;60;;1047.0;1097;725;262.0;132.0;188;156.0;99.0;125.0;5.0;2.0;19.0;20.0;25.0;7.0;7.0;1.0;;;;;;;175.0
Beers-G0747;15;;1101.0;29;22;8.0;2.0;52;24.0;2.0;2.0;;1.0;1.0;6.0;3.0;4.0;2.0;;;;;;;;30.0
Beerta-G0006;67;;25.0;585;232;46.0;96.0;42;8.0;1008.0;51.0;6.0;4.0;10.0;5.0;5.0;3.0;1.0;;;;;;;;111.0
Beesd-G0205;38;;684.0;374;105;96.0;278.0;99;26.0;14.0;10.0;68.0;9.0;8.0;7.0;9.0;8.0;;2.0;;;;;;;43.0
Beesel-G0889;226;;3610.0;251;150;94.0;11.0;267;84.0;36.0;32.0;4.0;3.0;61.0;14.0;21.0;29.0;6.0;5.0;4.0;;6.0;;;;142.0
Beets-G0371;8;;12.0;122;70;27.0;16.0;20;8.0;3.0;12.0;2.0;;;2.0;4.0;2.0;;;;;;;;;8.0
Beilen-G0107;153;;118.0;2344;853;1324.0;1109.0;369;133.0;51.0;76.0;21.0;151.0;25.0;16.0;27.0;13.0;6.0;;;;;;;;285.0
Belfeld-G0890;79;;1613.0;121;59;12.0;12.0;63;22.0;8.0;8.0;3.0;1.0;23.0;6.0;7.0;6.0;2.0;1.0;4.0;;;;;;67.0
Bellingwolde-G1019;81;;51.0;1562;353;153.0;255.0;170;40.0;521.0;158.0;4.0;18.0;19.0;9.0;17.0;2.0;3.0;;;;;;;;139.0
Bemelen-G0891;5;;129.0;9;9;2.0;;26;8.0;1.0;;;;;1.0;2.0;;;;;;2.0;;;;1.0
Bemmel-G0206;148;;4609.0;262;136;110.0;190.0;522;147.0;29.0;37.0;7.0;7.0;50.0;11.0;26.0;7.0;9.0;4.0;;;;;;;247.0
Bennebroek-G0372;63;;735.0;286;582;375.0;238.0;78;172.0;20.0;45.0;17.0;30.0;5.0;19.0;15.0;7.0;3.0;3.0;;;;;;;490.0
Benschop-G0309;12;;407.0;84;62;251.0;216.0;58;13.0;;5.0;132.0;;1.0;6.0;4.0;1.0;;1.0;;;;;;;51.0
Benthuizen-G0490;14;;20.0;141;63;120.0;92.0;22;14.0;1.0;6.0;302.0;;3.0;1.0;2.0;;1.0;1.0;;;;;;;39.0
Berg en Terblijt-G0892;88;;1086.0;97;57;26.0;13.0;149;27.0;14.0;16.0;1.0;;19.0;3.0;6.0;5.0;1.0;2.0;3.0;;15.0;;;;44.0
Bergambacht-G0491;59;;36.0;847;343;417.0;219.0;139;57.0;41.0;17.0;439.0;3.0;6.0;7.0;10.0;2.0;4.0;26.0;2.0;;;;;;114.0
Bergen-G0373;117;;1921.0;1273;1425;387.0;188.0;306;355.0;110.0;329.0;8.0;9.0;31.0;40.0;71.0;21.0;6.0;4.0;;;;;;;409.0
Bergen-G0893;279;;4537.0;239;173;47.0;39.0;354;69.0;20.0;29.0;4.0;5.0;43.0;23.0;31.0;14.0;9.0;3.0;3.0;;1.0;;;;204.0
Bergen op Zoom-G0748;813;;9592.0;2593;2069;872.0;473.0;1384;941.0;303.0;192.0;38.0;38.0;248.0;1182.0;185.0;75.0;34.0;19.0;;45.0;;;;;1007.0
Bergeyk-G0749;91;;2681.0;193;185;76.0;41.0;255;113.0;25.0;47.0;;2.0;24.0;12.0;8.0;7.0;5.0;4.0;;;;;;;92.0
Bergh-G0207;305;;6189.0;546;254;134.0;129.0;950;123.0;82.0;42.0;21.0;15.0;94.0;21.0;42.0;7.0;11.0;8.0;;;;;;;321.0
Bergharen-G0208;15;;811.0;48;14;21.0;81.0;83;30.0;4.0;5.0;1.0;3.0;6.0;2.0;4.0;2.0;;2.0;;;;;;;31.0
Berghem-G0750;76;;1329.0;238;84;45.0;22.0;201;77.0;18.0;21.0;1.0;2.0;25.0;7.0;11.0;5.0;11.0;4.0;;;;;;;74.0
Bergschenhoek-G0492;48;;560.0;348;186;259.0;641.0;80;60.0;23.0;24.0;102.0;57.0;19.0;16.0;9.0;2.0;4.0;;1.0;;;;;;101.0
Berkel en Rodenrijs-G0493;54;;1954.0;286;404;573.0;780.0;91;181.0;15.0;30.0;44.0;403.0;16.0;14.0;18.0;3.0;3.0;;2.0;;;;;;168.0
Berkel-Enschot-G0751;52;;1692.0;108;222;44.0;14.0;100;84.0;9.0;25.0;3.0;1.0;22.0;18.0;6.0;11.0;1.0;1.0;;1.0;;;;;58.0
Berkenwoude-G0494;7;;8.0;129;173;85.0;32.0;30;8.0;1.0;16.0;111.0;3.0;;;;;1.0;;1.0;;;;;;19.0
Berkhout-G0374;14;;1078.0;424;192;56.0;29.0;78;36.0;23.0;67.0;2.0;;8.0;4.0;4.0;2.0;1.0;;;;;;;;52.0
Berlicum-G0752;101;;2119.0;237;102;63.0;26.0;174;61.0;11.0;14.0;1.0;5.0;32.0;5.0;28.0;19.0;7.0;3.0;;;;;;;105.0
Best-G0753;280;;4379.0;707;528;206.0;103.0;429;442.0;70.0;125.0;5.0;10.0;100.0;65.0;40.0;101.0;8.0;4.0;;;;;;;279.0
Beuningen-G0209;113;;1954.0;310;139;66.0;83.0;212;115.0;25.0;26.0;2.0;2.0;28.0;12.0;10.0;13.0;4.0;3.0;;;;;;;144.0
Beusichem-G0210;14;;61.0;525;178;115.0;108.0;101;21.0;10.0;16.0;64.0;10.0;3.0;3.0;2.0;5.0;;1.0;;;;;;;45.0
Beverwijk-G0375;578;;7369.0;5017;2217;1459.0;983.0;940;1261.0;1349.0;989.0;45.0;70.0;154.0;233.0;194.0;54.0;42.0;28.0;;;;;;;1065.0
Bierum-G0008;50;;18.0;402;185;760.0;679.0;77;9.0;32.0;31.0;8.0;20.0;9.0;7.0;7.0;4.0;1.0;;;;;;;;121.0
Biervliet-G0652;46;;345.0;321;144;40.0;106.0;49;21.0;6.0;12.0;28.0;5.0;6.0;6.0;6.0;1.0;3.0;1.0;;;;;;;64.0
Bingelrade-G0894;29;;313.0;29;8;4.0;;11;2.0;4.0;5.0;;;6.0;;2.0;7.0;;1.0;3.0;;;;;;5.0
Bladel en Netersel-G0754;72;;2397.0;124;122;54.0;49.0;156;135.0;8.0;40.0;;2.0;27.0;13.0;18.0;4.0;3.0;1.0;;;;;;;104.0
Blankenham-G0145;3;;18.0;67;52;18.0;78.0;14;2.0;;;1.0;;;1.0;;;;;;;;;;;11.0
Blaricum-G0376;80;;911.0;421;962;197.0;134.0;220;215.0;51.0;198.0;18.0;5.0;11.0;23.0;20.0;5.0;10.0;1.0;;;;;;;418.0
Bleiswijk-G0495;27;;628.0;253;168;319.0;410.0;82;48.0;8.0;7.0;180.0;6.0;8.0;6.0;6.0;3.0;3.0;1.0;;;;;;;64.0
Bleskensgraaf en Hofwegen-G0496;17;;4.0;103;53;242.0;96.0;31;7.0;5.0;4.0;214.0;7.0;;1.0;;1.0;2.0;;;;;;;;57.0
Bloemendaal-G0377;168;;2395.0;1710;3731;907.0;819.0;272;813.0;92.0;285.0;37.0;41.0;28.0;126.0;93.0;15.0;26.0;2.0;;;;;;;1576.0
Blokker-G0378;18;;1063.0;138;148;31.0;11.0;68;37.0;6.0;21.0;2.0;1.0;8.0;5.0;10.0;2.0;7.0;1.0;;;;;;;50.0
Blokzijl-G0146;15;;5.0;283;65;164.0;137.0;39;4.0;3.0;21.0;8.0;27.0;2.0;1.0;2.0;;1.0;;;;;;;;29.0
Bocholtz-G0895;173;;1686.0;263;76;29.0;21.0;119;36.0;62.0;33.0;4.0;2.0;29.0;13.0;25.0;8.0;12.0;4.0;2.0;;9.0;;;;129.0
Bodegraven-G0497;121;;1447.0;921;645;1536.0;1100.0;251;243.0;67.0;86.0;371.0;65.0;30.0;60.0;27.0;4.0;2.0;3.0;5.0;;;;;;318.0
Boekel-G0755;82;;2484.0;125;71;43.0;16.0;217;41.0;18.0;10.0;1.0;3.0;19.0;5.0;16.0;10.0;6.0;;;;;;;;374.0
Bolsward-G0064;125;;1371.0;1178;281;762.0;701.0;54;143.0;55.0;111.0;7.0;4.0;23.0;19.0;15.0;4.0;4.0;1.0;;3.0;;;;;278.0
Borculo-G0211;65;;689.0;1557;953;410.0;438.0;372;90.0;17.0;49.0;4.0;11.0;14.0;10.0;9.0;4.0;7.0;;;;;;;;141.0
Borger-G0108;180;;144.0;2867;847;725.0;742.0;515;80.0;162.0;78.0;9.0;42.0;27.0;14.0;18.0;5.0;4.0;;;;;;;;232.0
Borgharen-G0896;57;;461.0;128;51;22.0;10.0;65;14.0;19.0;14.0;;;4.0;6.0;4.0;4.0;1.0;1.0;5.0;;13.0;;;;30.0
Born-G0897;156;;1987.0;217;90;23.0;13.0;153;66.0;35.0;32.0;1.0;2.0;44.0;10.0;17.0;18.0;3.0;2.0;7.0;;2.0;;;;111.0
Borne-G0147;125;;4218.0;1548;338;339.0;552.0;424;172.0;169.0;116.0;23.0;12.0;34.0;33.0;17.0;7.0;5.0;3.0;;;;;;;160.0
Borsele-G0654;23;;92.0;130;72;83.0;163.0;42;7.0;2.0;3.0;270.0;5.0;1.0;2.0;3.0;2.0;2.0;;;;;;;;38.0
Boskoop-G0499;107;;1265.0;898;762;1198.0;846.0;270;181.0;60.0;72.0;232.0;13.0;26.0;39.0;21.0;3.0;9.0;4.0;3.0;;;;;;242.0
Bovenkarspel-G0379;32;;1207.0;199;93;34.0;23.0;118;55.0;21.0;39.0;;;14.0;11.0;17.0;1.0;1.0;2.0;;;;;;;95.0
Boxmeer-G0756;132;;3860.0;333;198;110.0;74.0;326;143.0;31.0;48.0;3.0;4.0;60.0;14.0;39.0;11.0;5.0;3.0;;;;;;;260.0
Boxtel-G0757;452;;5436.0;817;480;212.0;74.0;775;473.0;103.0;118.0;15.0;15.0;142.0;94.0;53.0;70.0;15.0;8.0;;10.0;;;;;395.0
Brakel-G0212;72;;11.0;866;59;509.0;305.0;131;17.0;21.0;22.0;803.0;7.0;6.0;5.0;7.0;3.0;1.0;5.0;;;;;;;308.0
Brandwijk-G0500;7;;1.0;72;60;217.0;54.0;31;5.0;3.0;1.0;112.0;2.0;1.0;3.0;3.0;1.0;;1.0;;;;;;;24.0
Breda-G0758;2347;;29561.0;9577;7606;2824.0;1794.0;4239;4824.0;1053.0;941.0;184.0;142.0;1075.0;576.0;539.0;318.0;127.0;58.0;;94.0;;;;;2578.0
Breskens-G0655;114;;238.0;958;416;123.0;281.0;79;35.0;42.0;39.0;18.0;8.0;11.0;10.0;14.0;3.0;3.0;;;;;;;;162.0
Breukelen-G0311;90;;800.0;608;540;700.0;841.0;189;217.0;52.0;72.0;269.0;71.0;22.0;26.0;25.0;6.0;8.0;1.0;;1.0;;;;;182.0
Brielle-G0501;80;;324.0;1219;780;400.0;440.0;74;265.0;53.0;93.0;30.0;13.0;15.0;24.0;19.0;6.0;4.0;1.0;;;;;;;202.0
Broek in Waterland-G0380;39;;51.0;309;237;111.0;176.0;118;73.0;21.0;49.0;2.0;1.0;9.0;21.0;2.0;9.0;6.0;;;;;;;;55.0
Broekhuizen-G0898;16;;593.0;30;13;7.0;;35;5.0;1.0;3.0;;;1.0;1.0;5.0;;;;;;;;;;26.0
Brouwershaven-G0656;69;;38.0;857;427;317.0;196.0;54;27.0;16.0;35.0;60.0;42.0;6.0;2.0;11.0;1.0;3.0;;;;;;;;99.0
Bruinisse-G0657;44;;13.0;328;231;182.0;249.0;21;12.0;8.0;11.0;302.0;4.0;2.0;3.0;2.0;;1.0;3.0;;;;;;;92.0
Brummen-G0213;186;;730.0;4362;1064;700.0;1436.0;566;250.0;137.0;147.0;30.0;25.0;31.0;43.0;23.0;17.0;4.0;7.0;;;;;;;354.0
Brunssum-G0899;658;;7161.0;2913;441;433.0;308.0;615;286.0;614.0;164.0;5.0;51.0;137.0;53.0;60.0;48.0;11.0;14.0;121.0;;19.0;;;;495.0
Budel-G0759;189;;3192.0;355;148;54.0;25.0;389;97.0;30.0;26.0;2.0;8.0;56.0;18.0;37.0;12.0;4.0;5.0;;;;;;;163.0
Bunde-G0900;75;;1212.0;171;126;32.0;14.0;97;66.0;16.0;28.0;1.0;2.0;12.0;10.0;13.0;5.0;12.0;2.0;2.0;;6.0;;;;69.0
Bunnik-G0312;76;;2108.0;558;545;423.0;418.0;111;184.0;20.0;66.0;115.0;8.0;20.0;32.0;13.0;4.0;4.0;3.0;;3.0;;;;;95.0
Bunschoten-G0313;63;;38.0;215;112;2142.0;157.0;111;38.0;15.0;18.0;139.0;2035.0;4.0;14.0;14.0;3.0;9.0;2.0;;1.0;;;;;179.0
Buren-G0214;36;;59.0;588;114;98.0;260.0;96;28.0;9.0;20.0;86.0;5.0;4.0;12.0;4.0;7.0;1.0;1.0;;;;;;;53.0
Bussum-G0381;633;;5162.0;4030;5438;2434.0;1717.0;1094;1536.0;547.0;742.0;221.0;149.0;133.0;500.0;211.0;51.0;52.0;14.0;;;;;;;1494.0
Buurmalsen-G0215;29;;49.0;481;123;129.0;301.0;89;28.0;2.0;27.0;127.0;4.0;6.0;10.0;5.0;;;;;;;;;;77.0
Cadier en Keer-G0901;43;;559.0;58;22;15.0;5.0;68;15.0;7.0;2.0;2.0;3.0;1.0;2.0;4.0;5.0;1.0;;4.0;;188.0;;;;51.0
Cadzand-G0658;33;;20.0;249;185;43.0;98.0;23;12.0;4.0;14.0;4.0;;3.0;3.0;1.0;1.0;2.0;;;;;;;;26.0
Callantsoog-G0382;21;;115.0;313;173;40.0;23.0;55;29.0;27.0;33.0;4.0;3.0;;1.0;3.0;2.0;1.0;;;;;;;;48.0
Capelle aan den IJssel-G0502;211;;588.0;2938;1179;1065.0;1230.0;216;501.0;126.0;249.0;1216.0;220.0;25.0;40.0;30.0;8.0;17.0;3.0;;;;;;;573.0
Castricum-G0383;99;;3307.0;1530;1226;575.0;310.0;338;549.0;145.0;228.0;18.0;18.0;26.0;49.0;50.0;10.0;8.0;5.0;;;;;;;931.0
Chaam-G0760;34;;1007.0;66;68;35.0;44.0;189;28.0;6.0;10.0;2.0;3.0;8.0;3.0;2.0;4.0;2.0;3.0;;1.0;;;;;60.0
Clinge-G0659;122;;1018.0;154;49;28.0;6.0;345;40.0;15.0;16.0;3.0;3.0;13.0;6.0;21.0;6.0;12.0;3.0;;;;;;;99.0
Coevorden-G0109;152;;1692.0;2044;642;835.0;750.0;269;151.0;62.0;69.0;14.0;25.0;26.0;47.0;15.0;3.0;9.0;;;;;;;;323.0
Cothen-G0314;11;;627.0;39;38;27.0;66.0;16;10.0;4.0;8.0;13.0;;3.0;2.0;2.0;;;;;1.0;;;;;21.0
Cuijk en Sint Agatha-G0761;201;;3496.0;472;282;116.0;41.0;332;324.0;29.0;91.0;2.0;6.0;71.0;18.0;30.0;18.0;10.0;3.0;;;;;;;91.0
Culemborg-G0216;177;;2441.0;2413;830;447.0;372.0;345;235.0;144.0;198.0;172.0;56.0;35.0;40.0;27.0;8.0;8.0;3.0;;;;;;;293.0
Dalen-G0110;79;;230.0;957;683;148.0;211.0;224;39.0;28.0;25.0;5.0;3.0;13.0;4.0;17.0;13.0;5.0;;;;;;;;128.0
Dalfsen-G0148;56;;1855.0;611;280;469.0;1890.0;547;56.0;11.0;29.0;48.0;397.0;14.0;31.0;7.0;14.0;5.0;;;;;;;;185.0
Dantumadeel-G0065;223;;67.0;2014;396;2743.0;1665.0;435;79.0;128.0;172.0;549.0;248.0;21.0;33.0;11.0;8.0;8.0;5.0;;46.0;;;;;390.0
De Bilt-G0310;315;;2307.0;3289;4168;2043.0;1574.0;349;966.0;112.0;535.0;302.0;237.0;48.0;106.0;87.0;13.0;27.0;7.0;;12.0;;;;;945.0
De Lier-G0552;36;;565.0;280;209;944.0;845.0;133;60.0;10.0;20.0;39.0;51.0;10.0;17.0;2.0;4.0;2.0;2.0;;;;;;;29.0
De Rijp-G0440;16;;454.0;165;115;30.0;8.0;25;27.0;58.0;37.0;5.0;;8.0;4.0;5.0;4.0;2.0;;;;;;;;31.0
De Wijk-G0135;53;;16.0;758;518;385.0;288.0;202;44.0;15.0;16.0;9.0;28.0;9.0;9.0;11.0;9.0;3.0;;;;;;;;156.0
Deil-G0217;46;;268.0;474;149;116.0;286.0;122;26.0;10.0;14.0;62.0;;8.0;6.0;7.0;1.0;1.0;;;;;;;;85.0
Delft-G0503;1104;;10148.0;12107;5497;4467.0;3072.0;1229;3038.0;1689.0;1717.0;897.0;245.0;262.0;262.0;262.0;100.0;54.0;20.0;;;;;;;2791.0
Delfzijl-G0010;392;;367.0;4060;1298;1491.0;1207.0;346;327.0;690.0;413.0;14.0;183.0;73.0;72.0;41.0;35.0;13.0;;;;;;;;864.0
Den Dungen-G0768;41;;1265.0;145;39;42.0;8.0;120;46.0;5.0;6.0;1.0;1.0;14.0;3.0;5.0;7.0;2.0;;;;;;;;58.0
Den Ham-G0159;106;;414.0;887;159;1589.0;2062.0;520;62.0;45.0;61.0;47.0;176.0;17.0;29.0;11.0;7.0;7.0;2.0;;;;;;;239.0
Den Helder-G0400;619;;4451.0;8985;4733;3442.0;1645.0;784;1731.0;391.0;901.0;202.0;307.0;150.0;312.0;180.0;56.0;37.0;26.0;;;;;;;2398.0
Denekamp-G0149;76;;3938.0;257;147;89.0;304.0;394;70.0;41.0;42.0;3.0;14.0;22.0;22.0;21.0;4.0;7.0;4.0;;;;;;;191.0
Deurne-G0762;503;;7885.0;641;344;215.0;204.0;749;273.0;108.0;93.0;4.0;21.0;106.0;32.0;67.0;30.0;5.0;10.0;;;;;;;345.0
Deventer-G0150;787;;6527.0;12708;4202;1978.0;1856.0;1373;1709.0;2035.0;1530.0;161.0;176.0;183.0;266.0;178.0;51.0;49.0;19.0;;;;;;;1970.0
Didam-G0218;156;;3969.0;239;93;100.0;96.0;946;121.0;35.0;34.0;6.0;6.0;54.0;20.0;23.0;19.0;9.0;8.0;;;;;;;195.0
Diemen-G0384;101;;1091.0;1051;806;536.0;467.0;206;465.0;226.0;257.0;24.0;13.0;17.0;47.0;57.0;10.0;4.0;4.0;;;;;;;211.0
Diepenheim-G0151;34;;126.0;584;284;81.0;117.0;120;22.0;8.0;18.0;2.0;3.0;11.0;4.0;7.0;1.0;4.0;;;;;;;;82.0
Diepenveen-G0152;91;;1657.0;1066;912;313.0;610.0;411;171.0;43.0;67.0;9.0;11.0;14.0;32.0;18.0;4.0;4.0;3.0;;;;;;;188.0
Diessen-G0763;22;;1217.0;34;31;20.0;9.0;43;9.0;;6.0;;1.0;15.0;3.0;7.0;4.0;;;;1.0;;;;;39.0
Diever-G0111;45;;23.0;736;369;366.0;77.0;114;34.0;7.0;27.0;4.0;23.0;7.0;4.0;10.0;5.0;3.0;;;;;;;;48.0
Dinteloord en Prinsenland-G0764;55;;807.0;452;152;289.0;393.0;63;20.0;34.0;18.0;214.0;14.0;27.0;9.0;13.0;5.0;3.0;1.0;;9.0;;;;;141.0
Dinther-G1044;27;;1362.0;55;55;27.0;20.0;63;24.0;3.0;5.0;;;12.0;3.0;5.0;8.0;1.0;2.0;;;;;;;37.0
Dinxperlo-G0219;122;;593.0;478;205;410.0;1095.0;166;41.0;25.0;12.0;5.0;4.0;2.0;14.0;3.0;2.0;1.0;;;;;;;;113.0
Dirksland-G0504;90;;35.0;875;263;739.0;255.0;114;31.0;22.0;30.0;1111.0;13.0;9.0;4.0;11.0;3.0;2.0;3.0;;;;;;;286.0
Dodewaard-G0220;33;;52.0;655;94;252.0;261.0;105;17.0;10.0;17.0;184.0;4.0;11.0;3.0;3.0;9.0;2.0;;;;;;;;63.0
Doesburg-G0221;138;;1468.0;1414;369;277.0;451.0;229;116.0;93.0;48.0;21.0;16.0;38.0;15.0;15.0;5.0;9.0;1.0;;;;;;;167.0
Doetinchem-G0222;441;;4937.0;4374;1569;1041.0;1473.0;1089;449.0;192.0;174.0;138.0;31.0;109.0;65.0;58.0;22.0;21.0;5.0;;;;;;;755.0
