RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Egmond-Binnen-G0387;19;;630;1515;710;186;2.0;28.0;65.0;1.0;32.0;27.0;30.0;4.0;5.0;33.0;1.0;;1.0;3.0;2.0;;;;;;308.0
Eibergen-G0229;32;;2671;5141;1106;321;7.0;19.0;133.0;18.0;62.0;110.0;23.0;26.0;10.0;82.0;23.0;;4.0;;1.0;;;;;;612.0
Eijgelshoven-G0904;59;;1379;1105;440;95;1.0;56.0;70.0;1.0;30.0;43.0;22.0;1.0;9.0;12.0;20.0;;3.0;2.0;3.0;;;;;;645.0
Eijsden-G0905;37;;1053;2026;718;114;1.0;18.0;62.0;;45.0;39.0;14.0;2.0;4.0;55.0;7.0;;7.0;2.0;;;;;;;634.0
Eindhoven-G0772;557;;36230;40362;17532;7300;165.0;992.0;2561.0;314.0;1436.0;823.0;813.0;177.0;309.0;586.0;890.0;86.0;60.0;56.0;32.0;;;;;;23266.0
Elburg-G0230;53;;1690;3327;2017;358;2191.0;36.0;88.0;210.0;47.0;247.0;52.0;604.0;12.0;6.0;5.0;;1.0;;2.0;;1.0;;;;807.0
Elsloo-G0903;43;;1442;2125;580;190;;71.0;88.0;1.0;27.0;37.0;11.0;;5.0;54.0;5.0;;12.0;;1.0;;;;;;747.0
Elst-G0231;84;;2363;4641;1639;371;35.0;21.0;230.0;22.0;68.0;32.0;48.0;17.0;13.0;21.0;32.0;;2.0;1.0;6.0;;;;;;1312.0
Emmen-G0114;287;;25122;16017;5172;1764;124.0;1111.0;557.0;420.0;286.0;300.0;210.0;390.0;93.0;154.0;137.0;;26.0;28.0;42.0;;;;;;6512.0
Enkhuizen-G0388;46;;3147;2384;1414;550;187.0;191.0;133.0;80.0;77.0;55.0;65.0;94.0;18.0;14.0;4.0;;3.0;3.0;2.0;1.0;;;;;894.0
Enschede-G0153;354;;37966;20667;12806;4251;305.0;2742.0;1402.0;2051.0;694.0;694.0;412.0;719.0;240.0;288.0;482.0;;33.0;26.0;13.0;;;;;;10830.0
Epe-G0232;88;;6792;5608;4396;1047;723.0;100.0;224.0;101.0;105.0;442.0;125.0;220.0;50.0;41.0;7.0;;4.0;2.0;5.0;;;;;;1735.0
Ermelo-G0233;45;;1662;6502;3140;586;844.0;52.0;282.0;466.0;74.0;184.0;109.0;328.0;25.0;12.0;12.0;;3.0;;2.0;;2.0;;;;1947.0
Erp-G0775;18;;363;2435;244;60;;4.0;10.0;1.0;24.0;32.0;3.0;;4.0;8.0;8.0;3.0;1.0;3.0;;;;;;;231.0
Esch-G0776;12;;206;681;95;30;1.0;3.0;15.0;;7.0;6.0;2.0;;;7.0;2.0;1.0;;;;;;;;;80.0
Est en Opijnen-G0234;2;;343;140;151;27;71.0;2.0;9.0;4.0;7.0;6.0;5.0;;1.0;;1.0;;;;;;;;;;63.0
Etten-Leur-G0777;73;;4931;5916;2332;746;7.0;64.0;198.0;7.0;75.0;196.0;55.0;12.0;26.0;49.0;12.0;10.0;1.0;4.0;2.0;;;;;;2524.0
Everdingen-G0508;5;;198;382;237;43;142.0;;10.0;8.0;8.0;34.0;2.0;5.0;4.0;3.0;;;;;;;;;;;115.0
Ewijk-G0235;11;;619;1638;268;114;1.0;3.0;37.0;2.0;9.0;53.0;4.0;1.0;1.0;17.0;11.0;;;;;;;;;;266.0
Ezinge-G0012;5;;460;356;198;33;2.0;16.0;40.0;18.0;15.0;7.0;4.0;12.0;2.0;1.0;;;;;;;;;;;55.0
Ferwerderadeel-G0068;34;;1059;2923;532;136;19.0;9.0;32.0;201.0;48.0;18.0;18.0;54.0;8.0;3.0;3.0;4.0;1.0;;1.0;;;;;;385.0
Fijnaart en Heijningen-G0778;21;;1312;1615;552;157;43.0;15.0;34.0;18.0;11.0;24.0;13.0;19.0;5.0;10.0;;1.0;1.0;1.0;1.0;;;;;;369.0
Finsterwolde-G0013;21;;541;87;172;20;2.0;952.0;14.0;3.0;8.0;7.0;11.0;18.0;3.0;1.0;;;1.0;1.0;;;;;;;172.0
Franeker-G0069;52;;2650;2715;931;356;41.0;58.0;92.0;48.0;45.0;28.0;32.0;137.0;16.0;16.0;2.0;2.0;1.0;3.0;1.0;;;;;;916.0
Franekeradeel-G0070;22;;816;1060;306;89;11.0;11.0;41.0;13.0;16.0;13.0;3.0;21.0;3.0;3.0;2.0;;;;;;;;;;216.0
Gaasterland-G0071;20;;789;2647;409;144;184.0;17.0;54.0;27.0;32.0;37.0;31.0;39.0;7.0;12.0;1.0;4.0;1.0;;;;;;;;375.0
Gasselte-G0115;16;;1394;419;509;114;9.0;84.0;35.0;8.0;8.0;15.0;7.0;5.0;1.0;;2.0;;4.0;2.0;1.0;;;;;;227.0
Geertruidenberg-G0779;26;;1437;1231;441;172;11.0;28.0;50.0;4.0;14.0;45.0;17.0;1.0;3.0;19.0;6.0;12.0;;1.0;1.0;;;;;;639.0
Geervliet-G0509;11;;690;253;346;92;34.0;10.0;16.0;3.0;12.0;7.0;6.0;3.0;5.0;;;;;;1.0;;;;;;179.0
Geffen-G0780;21;;555;1317;247;75;1.0;4.0;28.0;1.0;2.0;48.0;11.0;1.0;2.0;14.0;50.0;2.0;2.0;;;;;;;;384.0
Geldermalsen-G0236;21;;2295;1276;1050;230;608.0;29.0;78.0;25.0;22.0;40.0;30.0;23.0;16.0;4.0;1.0;;1.0;;;;;;;;509.0
Geldrop-G0781;51;;3918;6083;2659;1008;10.0;72.0;388.0;32.0;84.0;103.0;95.0;31.0;45.0;29.0;27.0;10.0;7.0;7.0;6.0;;;;;;2577.0
Geleen-G0906;234;;7279;8180;3053;779;13.0;139.0;383.0;14.0;162.0;154.0;99.0;15.0;60.0;139.0;28.0;;41.0;14.0;10.0;;;;;;3829.0
Gemert-G0782;60;;2404;4532;1013;315;1.0;63.0;117.0;4.0;88.0;116.0;46.0;4.0;16.0;47.0;32.0;10.0;8.0;2.0;;;;;;;1534.0
Gendringen-G0237;46;;2457;6550;894;262;20.0;48.0;146.0;25.0;76.0;123.0;24.0;12.0;6.0;103.0;18.0;;2.0;6.0;3.0;;;;;;1232.0
Gendt-G0238;9;;1143;2059;421;167;5.0;4.0;65.0;3.0;12.0;32.0;9.0;;4.0;18.0;6.0;;;;;;;;;;458.0
Genemuiden-G0154;9;;615;1041;290;68;1040.0;4.0;21.0;72.0;3.0;44.0;11.0;248.0;3.0;2.0;;;1.0;;;;;;;;321.0
Gennep-G0907;61;;1949;3879;996;497;1.0;27.0;172.0;3.0;101.0;84.0;22.0;1.0;18.0;34.0;37.0;;5.0;1.0;1.0;;;;;;1937.0
Geulle-G0908;19;;406;794;242;60;;12.0;42.0;;9.0;16.0;6.0;;3.0;40.0;2.0;;6.0;;;;;;;;315.0
Giessenburg-G0510;14;;622;913;481;96;264.0;4.0;18.0;40.0;7.0;46.0;8.0;69.0;3.0;;;1.0;;;;;;;;;183.0
Gieten-G0116;19;;1950;455;942;141;3.0;30.0;27.0;12.0;10.0;26.0;36.0;3.0;6.0;4.0;4.0;;2.0;1.0;1.0;;;;;;294.0
Gilze en Rijen-G0784;53;;3351;5388;1786;563;11.0;38.0;143.0;4.0;69.0;155.0;54.0;6.0;23.0;31.0;19.0;10.0;4.0;3.0;;;;;;;1345.0
Goedereede-G0511;82;;1448;1108;805;150;2312.0;15.0;28.0;65.0;7.0;79.0;25.0;45.0;11.0;;1.0;;;;;;1.0;;;;314.0
Goes-G0664;57;;5924;5520;2974;931;1315.0;78.0;291.0;179.0;77.0;130.0;108.0;209.0;49.0;67.0;16.0;;1.0;1.0;4.0;;;;;;2520.0
Goirle-G0785;43;;2399;3346;1266;431;3.0;47.0;209.0;4.0;93.0;62.0;40.0;5.0;18.0;19.0;21.0;38.0;2.0;3.0;;;;;;;1245.0
Goor-G0156;26;;3142;2082;1194;375;10.0;38.0;101.0;50.0;19.0;62.0;46.0;18.0;10.0;26.0;24.0;;1.0;;;;;;;;576.0
Gorinchem-G0512;94;;7994;3575;2615;795;447.0;200.0;260.0;121.0;85.0;64.0;160.0;169.0;70.0;8.0;9.0;9.0;7.0;1.0;2.0;;2.0;;;;2337.0
Gorssel-G0239;40;;2661;2887;2882;678;24.0;27.0;149.0;40.0;49.0;129.0;79.0;39.0;20.0;19.0;5.0;;4.0;1.0;;;1.0;;;;743.0
Gouda-G0513;258;;13580;8110;6744;2408;1485.0;415.0;605.0;366.0;350.0;147.0;301.0;208.0;125.0;88.0;25.0;22.0;14.0;13.0;9.0;;;;;;4677.0
Gouderak-G0514;13;;500;350;355;85;200.0;8.0;12.0;19.0;10.0;12.0;3.0;18.0;4.0;1.0;2.0;1.0;;1.0;;;;;;;170.0
Goudriaan-G0515;6;;71;177;89;21;91.0;1.0;2.0;7.0;;10.0;1.0;5.0;;;;;;1.0;;;;;;;24.0
Goudswaard-G0516;8;;286;133;133;12;320.0;;9.0;5.0;3.0;4.0;3.0;7.0;;;4.0;1.0;;;;;;;;;135.0
Graft-De Rijp-G0365;19;;984;815;743;206;8.0;78.0;40.0;2.0;59.0;29.0;31.0;1.0;2.0;11.0;2.0;;2.0;1.0;1.0;1.0;;;;;270.0
Gramsbergen-G0157;20;;1188;1767;306;63;4.0;4.0;21.0;105.0;6.0;69.0;12.0;40.0;;;;;4.0;1.0;;;;;;;218.0
Grathem-G0909;13;;200;990;224;31;;4.0;16.0;;18.0;23.0;5.0;1.0;;21.0;;;8.0;;;;;;;;198.0
Grave-G0786;29;;1310;2612;959;314;1.0;9.0;123.0;6.0;34.0;40.0;22.0;3.0;4.0;25.0;40.0;;3.0;;;;;;;;742.0
Grevenbicht-G0910;21;;545;783;194;57;;12.0;18.0;;10.0;15.0;8.0;4.0;1.0;8.0;1.0;;1.0;1.0;;;;;;;196.0
Grijpskerk-G0016;14;;402;1466;275;62;10.0;11.0;36.0;169.0;22.0;16.0;15.0;6.0;3.0;;3.0;;;;1.0;;;;;;170.0
Groenlo-G0240;2;;992;2820;571;133;6.0;17.0;166.0;11.0;30.0;44.0;28.0;2.0;4.0;80.0;4.0;;2.0;;17.0;;;;;;566.0
Groesbeek-G0241;58;;3769;5137;992;435;9.0;49.0;270.0;13.0;106.0;52.0;32.0;10.0;17.0;71.0;33.0;;3.0;1.0;;;;;;;1602.0
Groningen-G0014;505;;46843;19121;15449;7095;233.0;4989.0;3554.0;4906.0;2643.0;371.0;768.0;571.0;333.0;173.0;726.0;;32.0;39.0;36.0;;;;;;15146.0
Gronsveld-G0911;5;;436;1161;411;65;;12.0;29.0;;10.0;33.0;6.0;1.0;2.0;25.0;3.0;;3.0;;;;;;;;223.0
Groot-Ammers-G0520;20;;407;516;331;77;300.0;4.0;8.0;25.0;3.0;27.0;5.0;25.0;3.0;;;1.0;1.0;;;;;;;;111.0
Grootebroek-G0391;32;;1251;2008;825;297;1.0;62.0;110.0;4.0;36.0;47.0;40.0;3.0;24.0;79.0;2.0;;2.0;;;;;;;;605.0
Grootegast-G0015;30;;1100;2783;459;95;24.0;34.0;44.0;291.0;22.0;157.0;13.0;77.0;17.0;2.0;2.0;;1.0;1.0;;;;;;;480.0
Grubbenvorst-G0912;26;;648;2072;605;135;;5.0;47.0;3.0;22.0;25.0;13.0;2.0;1.0;21.0;1.0;;2.0;;;;;;;;450.0
Gulpen-G0913;27;;803;1319;365;80;5.0;17.0;46.0;;18.0;41.0;15.0;1.0;1.0;58.0;2.0;;7.0;;;;;;;;286.0
Haaften-G0242;10;;1009;608;369;70;192.0;5.0;24.0;19.0;8.0;22.0;4.0;15.0;3.0;;;;1.0;;1.0;;;;;;186.0
Haaksbergen-G0158;52;;2945;6493;1739;535;5.0;46.0;194.0;16.0;51.0;229.0;47.0;18.0;18.0;101.0;15.0;;2.0;4.0;2.0;;;;;;1002.0
Haaren-G0788;14;;444;1716;358;102;1.0;13.0;32.0;;24.0;27.0;8.0;;1.0;12.0;8.0;1.0;;;;;;;;;373.0
Haarlem-G0392;711;;38706;24499;20763;7812;373.0;2600.0;2200.0;455.0;1428.0;777.0;1253.0;344.0;425.0;729.0;130.0;;61.0;43.0;42.0;;;;;;15324.0
Haarlemmerliede en Spaarnwoude-G0393;32;;645;1177;604;151;17.0;57.0;50.0;16.0;26.0;19.0;30.0;3.0;13.0;25.0;6.0;;2.0;;;;;;;;227.0
Haarlemmermeer-G0394;326;;11081;13829;11852;3218;592.0;714.0;691.0;278.0;272.0;275.0;416.0;359.0;151.0;149.0;28.0;;15.0;12.0;13.0;;;;;;5418.0
Haastrecht-G0521;19;;592;1089;537;153;108.0;8.0;66.0;23.0;30.0;27.0;9.0;17.0;3.0;13.0;1.0;;1.0;1.0;;;;;;;178.0
Haelen-G0914;23;;607;1623;533;119;1.0;7.0;44.0;2.0;22.0;61.0;17.0;4.0;4.0;121.0;1.0;;13.0;;1.0;;;;;;559.0
Hagestein-G0522;4;;147;299;144;30;120.0;2.0;7.0;2.0;2.0;6.0;2.0;3.0;1.0;1.0;;;;;;;;;;;49.0
Halsteren-G0789;65;;2423;2381;1284;337;32.0;32.0;73.0;16.0;47.0;109.0;45.0;4.0;23.0;39.0;2.0;13.0;3.0;3.0;;;;;;;1278.0
Haps-G0790;10;;246;1103;145;46;;1.0;11.0;;12.0;20.0;2.0;;1.0;5.0;2.0;;1.0;;;;;;;;71.0
Hardenberg-G0160;65;;3886;8677;1310;334;41.0;31.0;138.0;2241.0;49.0;281.0;42.0;186.0;24.0;31.0;17.0;;2.0;;;;;;;;929.0
Harderwijk-G0243;57;;2721;7246;3579;733;1206.0;90.0;259.0;383.0;55.0;293.0;123.0;451.0;34.0;38.0;19.0;;6.0;1.0;;;;;;;1681.0
Hardinxveld-Giessendam-G0523;60;;2940;1979;1185;294;2050.0;48.0;62.0;435.0;16.0;112.0;34.0;241.0;19.0;4.0;1.0;1.0;2.0;1.0;3.0;;1.0;;;;958.0
Haren-G0017;35;;3295;3295;3832;989;13.0;67.0;188.0;385.0;97.0;78.0;134.0;102.0;31.0;11.0;4.0;;;1.0;6.0;;;;;;971.0
Harenkarspel-G0395;31;;791;1493;525;161;1.0;37.0;49.0;10.0;24.0;32.0;20.0;5.0;5.0;27.0;1.0;;;;;2.0;;;;;344.0
Harlingen-G0072;62;;4080;2427;1148;509;34.0;96.0;122.0;312.0;35.0;34.0;48.0;43.0;17.0;24.0;7.0;5.0;4.0;1.0;3.0;;;;;;970.0
Harmelen-G0318;21;;601;1678;1011;279;121.0;12.0;53.0;11.0;20.0;41.0;13.0;19.0;8.0;20.0;6.0;1.0;;;;;;;;;457.0
Haskerland-G0073;37;;3266;3621;1040;378;53.0;56.0;123.0;49.0;34.0;74.0;40.0;37.0;12.0;19.0;;;;1.0;1.0;;;;;;960.0
Hasselt-G0161;8;;705;1398;362;145;276.0;4.0;12.0;309.0;13.0;47.0;15.0;205.0;2.0;10.0;;;3.0;;;;;;;;289.0
Hattem-G0244;33;;2307;2245;1012;319;101.0;48.0;46.0;634.0;10.0;62.0;28.0;248.0;13.0;6.0;;;2.0;;2.0;;1.0;;;;418.0
Havelte-G0117;16;;1835;385;1104;184;17.0;15.0;54.0;16.0;23.0;50.0;42.0;12.0;8.0;;7.0;;2.0;3.0;4.0;;;;;;244.0
Hazerswoude-G0524;49;;966;2601;1218;316;248.0;33.0;117.0;27.0;42.0;31.0;31.0;125.0;11.0;19.0;8.0;1.0;;;1.0;;;;;;486.0
Hedel-G0245;4;;471;883;289;88;233.0;9.0;9.0;23.0;5.0;14.0;8.0;2.0;10.0;5.0;4.0;;;1.0;;;;;;;188.0
Heel en Panheel-G0915;16;;461;1182;305;105;3.0;4.0;72.0;4.0;14.0;15.0;8.0;3.0;;20.0;3.0;;11.0;3.0;;;;;;;945.0
Heemskerk-G0396;103;;5904;5592;2914;1382;42.0;263.0;473.0;69.0;157.0;97.0;163.0;49.0;47.0;68.0;16.0;;4.0;;3.0;;;;;;2023.0
Heemstede-G0397;123;;3106;5293;6677;1391;50.0;103.0;387.0;82.0;140.0;74.0;205.0;76.0;40.0;118.0;7.0;;7.0;2.0;4.0;;;;;;1796.0
Heenvliet-G0525;8;;834;231;491;144;23.0;49.0;36.0;10.0;16.0;12.0;10.0;6.0;12.0;;1.0;;;;;;;;;;203.0
Heerde-G0246;34;;3513;3558;1343;334;471.0;27.0;79.0;234.0;40.0;350.0;50.0;638.0;8.0;3.0;3.0;;2.0;2.0;;;1.0;;;;879.0
Heerenveen-G0074;132;;9916;4783;3249;1181;64.0;1213.0;342.0;189.0;179.0;192.0;185.0;146.0;38.0;21.0;18.0;14.0;3.0;13.0;1.0;;;;;;2677.0
Heerewaarden-G0247;3;;428;88;156;30;4.0;6.0;9.0;;5.0;5.0;2.0;;4.0;;;;;;;;;;;;40.0
Heerhugowaard-G0398;54;;4074;4950;3218;1141;6.0;152.0;274.0;35.0;144.0;43.0;107.0;58.0;24.0;70.0;2.0;;4.0;2.0;5.0;2.0;;;;;1629.0
Heerjansdam-G0526;19;;728;610;448;120;92.0;4.0;18.0;9.0;15.0;3.0;20.0;14.0;5.0;1.0;;;;1.0;;;;;;;225.0
Heerlen-G0917;347;;14154;14966;5463;1422;32.0;1616.0;796.0;77.0;324.0;275.0;233.0;41.0;141.0;367.0;290.0;;73.0;25.0;15.0;;;;;;9277.0
Heesch-G0791;38;;1300;2643;572;136;;8.0;48.0;1.0;10.0;54.0;15.0;4.0;6.0;15.0;126.0;;2.0;;1.0;;;;;;592.0
Heeswijk-Dinther-G0792;24;;622;2946;412;166;;5.0;54.0;1.0;14.0;36.0;12.0;1.0;3.0;17.0;9.0;7.0;1.0;2.0;2.0;;;;;;401.0
Heeze-G0793;17;;906;2462;900;276;4.0;20.0;98.0;1.0;25.0;65.0;15.0;;3.0;28.0;4.0;;3.0;1.0;1.0;;;;;;587.0
Hei- en Boeicop-G0527;6;;83;262;67;15;109.0;;6.0;1.0;3.0;31.0;2.0;7.0;;;;;;;;;;;;;24.0
Heiloo-G0399;70;;2890;4031;4044;1022;12.0;116.0;268.0;36.0;127.0;58.0;120.0;15.0;33.0;68.0;2.0;;5.0;;6.0;4.0;;;;;1033.0
Heinenoord-G0528;12;;755;491;348;103;139.0;5.0;20.0;29.0;7.0;27.0;16.0;29.0;13.0;;1.0;;;1.0;;;;;;;163.0
Heino-G0162;9;;751;2152;491;175;11.0;8.0;50.0;82.0;19.0;47.0;14.0;71.0;5.0;14.0;1.0;;;;1.0;;;;;;252.0
Helden-G0918;51;;1415;5503;831;210;1.0;18.0;113.0;3.0;37.0;84.0;16.0;2.0;11.0;82.0;9.0;;9.0;1.0;;;;;;;1570.0
Hellendoorn-G0163;61;;4100;12018;1504;580;226.0;38.0;173.0;425.0;31.0;371.0;31.0;242.0;21.0;48.0;17.0;;5.0;1.0;;;;;;;1370.0
Hellevoetsluis-G0530;44;;4530;1088;1809;740;103.0;112.0;115.0;35.0;56.0;53.0;85.0;18.0;41.0;6.0;11.0;2.0;2.0;2.0;1.0;;;;;;944.0
Helmond-G0794;196;;12510;11298;4502;1495;18.0;666.0;500.0;13.0;176.0;225.0;130.0;10.0;98.0;143.0;196.0;17.0;29.0;10.0;9.0;;;;;;6670.0
Helvoirt-G0795;19;;441;1313;467;157;3.0;7.0;25.0;3.0;7.0;26.0;12.0;1.0;3.0;16.0;;2.0;3.0;;;;;;;;255.0
Hemelumer Oldeferd-G0075;15;;506;1850;297;120;40.0;9.0;29.0;49.0;14.0;36.0;10.0;24.0;2.0;2.0;2.0;1.0;1.0;;;;;;;;0.0
Hendrik-Ido-Ambacht-G0531;0;;2467;2262;1995;490;1081.0;32.0;154.0;121.0;32.0;95.0;77.0;109.0;23.0;3.0;3.0;5.0;5.0;;3.0;;;;;;981.0
Hengelo-G0164;131;;17038;16154;6171;2613;93.0;431.0;758.0;410.0;372.0;364.0;222.0;237.0;120.0;198.0;317.0;;20.0;10.0;7.0;;;;;;4111.0
Hengelo-G0248;20;;1205;2472;716;183;44.0;4.0;44.0;13.0;17.0;132.0;24.0;6.0;8.0;24.0;5.0;;2.0;;1.0;;;;;;530.0
Hennaarderadeel-G0076;12;;585;1598;347;99;16.0;11.0;35.0;15.0;30.0;21.0;10.0;16.0;3.0;5.0;;1.0;;;;;;;;;191.0
Hensbroek-G0401;13;;184;402;186;30;;9.0;13.0;;7.0;8.0;2.0;;3.0;8.0;;;;;;;;;;;90.0
Herten-G0919;13;;434;999;344;94;;4.0;48.0;;13.0;24.0;7.0;3.0;5.0;21.0;;;1.0;;;;;;;;247.0
Herwen en Aerdt-G0249;23;;1498;2031;502;138;7.0;11.0;53.0;1.0;8.0;59.0;14.0;3.0;18.0;43.0;26.0;;2.0;1.0;;;;;;;892.0
Herwijnen-G0250;5;;564;538;182;32;73.0;3.0;12.0;14.0;9.0;7.0;12.0;18.0;;2.0;2.0;;1.0;1.0;;;;;;;80.0
Het Bildt-G0063;32;;1893;2212;674;157;14.0;72.0;58.0;27.0;47.0;27.0;27.0;38.0;9.0;2.0;7.0;2.0;2.0;;;;;;;;447.0
Heteren-G0251;15;;1129;2370;586;219;245.0;23.0;63.0;32.0;30.0;44.0;24.0;23.0;8.0;13.0;5.0;;1.0;;;;;;;;483.0
Heukelum-G0533;19;;700;411;296;77;63.0;5.0;11.0;12.0;3.0;14.0;10.0;8.0;3.0;;;2.0;;;;;;;;;152.0
Heumen-G0252;6;;973;2259;746;267;5.0;19.0;103.0;4.0;43.0;28.0;10.0;2.0;2.0;24.0;19.0;;;;;;;;;;415.0
Heusden-G0797;19;;793;1265;445;147;54.0;11.0;40.0;9.0;13.0;41.0;25.0;14.0;8.0;16.0;6.0;2.0;;1.0;1.0;;;;;;517.0
Heythuysen-G0920;21;;442;1725;407;101;1.0;14.0;63.0;3.0;8.0;67.0;7.0;;1.0;56.0;2.0;;4.0;1.0;2.0;;;;;;520.0
Hillegom-G0534;78;;2560;4547;2200;579;76.0;36.0;207.0;26.0;106.0;35.0;48.0;32.0;29.0;78.0;5.0;4.0;3.0;;6.0;;;;;;1287.0
Hilvarenbeek-G0798;41;;1127;2713;745;199;4.0;17.0;107.0;1.0;24.0;57.0;13.0;3.0;5.0;19.0;14.0;6.0;2.0;1.0;;;;;;;377.0
Hilversum-G0402;531;;19612;14803;14650;4731;787.0;985.0;1136.0;385.0;698.0;280.0;522.0;475.0;267.0;286.0;297.0;;51.0;14.0;10.0;;;;;;8520.0
Hindeloopen-G0077;4;;214;189;66;15;2.0;9.0;23.0;1.0;4.0;3.0;2.0;;;;;;;;;;;;;;33.0
Hoensbroek-G0921;108;;5537;3813;1682;373;9.0;365.0;274.0;23.0;87.0;100.0;55.0;10.0;28.0;158.0;58.0;;21.0;10.0;2.0;;;;;;2742.0
Hoevelaken-G0253;10;;833;1317;1015;313;338.0;10.0;49.0;65.0;17.0;38.0;21.0;31.0;10.0;3.0;2.0;;1.0;;;;;;;;346.0
Hoeven-G0799;38;;1142;1890;648;143;2.0;7.0;33.0;4.0;27.0;80.0;9.0;1.0;16.0;15.0;;5.0;4.0;2.0;1.0;;;;;;740.0
Holten-G0165;19;;1554;2102;1377;307;41.0;10.0;59.0;23.0;12.0;200.0;33.0;24.0;19.0;2.0;3.0;;1.0;1.0;1.0;;;;;;224.0
Hontenisse-G0675;28;;1319;2491;608;112;5.0;6.0;58.0;11.0;22.0;67.0;10.0;6.0;10.0;66.0;2.0;;4.0;2.0;;;;;;;594.0
Hoogblokland-G0535;4;;240;268;208;27;53.0;2.0;8.0;5.0;;11.0;;18.0;4.0;;;;;1.0;1.0;;;;;;55.0
Hooge en Lage Mierde-G0801;12;;219;1457;138;56;1.0;5.0;26.0;4.0;9.0;16.0;3.0;2.0;;12.0;3.0;2.0;5.0;1.0;;;;;;;117.0
Hooge en Lage Zwaluwe-G0802;23;;1153;1463;554;135;37.0;11.0;34.0;5.0;13.0;38.0;10.0;2.0;8.0;9.0;1.0;4.0;3.0;;;;;;;;316.0
Hoogeloon, Hapert en Casteren-G0800;16;;663;2618;643;208;3.0;8.0;69.0;;28.0;44.0;11.0;3.0;9.0;18.0;3.0;1.0;1.0;3.0;;;;;;;258.0
Hoogeveen-G0118;142;;7485;10451;2566;902;338.0;378.0;311.0;725.0;107.0;572.0;104.0;492.0;75.0;26.0;23.0;;15.0;12.0;9.0;;;;;;2847.0
Hoogezand-Sappemeer-G0018;95;;10800;3235;3246;882;44.0;944.0;266.0;413.0;231.0;136.0;133.0;50.0;65.0;44.0;23.0;;7.0;7.0;12.0;;;;;;3169.0
Hoogkarspel-G0403;15;;620;1362;506;205;1.0;21.0;74.0;;22.0;28.0;12.0;3.0;3.0;42.0;2.0;;;;;;;;;;344.0
Hoogwoud-G0404;15;;668;900;619;171;5.0;24.0;38.0;6.0;38.0;16.0;18.0;4.0;10.0;56.0;;;;1.0;;1.0;;;;;255.0
Hoorn-G0405;110;;6498;3793;3350;1288;30.0;396.0;446.0;33.0;231.0;90.0;179.0;47.0;59.0;124.0;22.0;;2.0;3.0;7.0;2.0;;;;;1963.0
Hoornaar-G0536;3;;235;280;210;38;39.0;1.0;2.0;2.0;2.0;10.0;5.0;27.0;1.0;;;;1.0;;;;;;;;54.0
Horn-G0922;15;;401;1178;384;101;4.0;3.0;62.0;2.0;12.0;29.0;11.0;2.0;4.0;18.0;1.0;;6.0;;;;;;;;440.0
Horssen-G0254;3;;124;581;63;24;1.0;;8.0;;3.0;12.0;1.0;;2.0;4.0;6.0;;;1.0;;;;;;;48.0
Horst-G0923;69;;1638;6137;1043;235;7.0;33.0;116.0;5.0;75.0;63.0;20.0;1.0;24.0;46.0;47.0;;7.0;;1.0;;;;;;1194.0
Houten-G0321;26;;605;2570;873;207;211.0;12.0;71.0;14.0;34.0;32.0;12.0;20.0;5.0;30.0;1.0;2.0;2.0;;2.0;;;;;;283.0
Huijbergen-G0803;12;;229;605;256;45;1.0;10.0;5.0;;1.0;17.0;5.0;;;18.0;;;2.0;;;;;;;;124.0
Huissen-G0255;23;;1736;3655;1188;377;6.0;29.0;104.0;6.0;47.0;62.0;15.0;5.0;12.0;42.0;9.0;;;;2.0;;;;;;650.0
Huizen-G0406;165;;3511;5175;3915;1256;1064.0;151.0;241.0;135.0;131.0;84.0;123.0;444.0;54.0;21.0;8.0;;7.0;1.0;2.0;;;;;;1696.0
Hulsberg-G0924;24;;694;1238;565;82;;2.0;35.0;;15.0;32.0;13.0;1.0;5.0;33.0;;;5.0;1.0;1.0;;;;;;344.0
Hulst-G0677;60;;3205;3891;1552;326;8.0;36.0;169.0;12.0;50.0;154.0;26.0;12.0;34.0;69.0;5.0;;8.0;12.0;3.0;;;;;;1893.0
Hummelo en Keppel-G0256;8;;853;826;714;129;7.0;4.0;35.0;6.0;11.0;36.0;10.0;4.0;2.0;10.0;1.0;;1.0;;;;;;;;245.0
Hunsel-G0925;9;;473;1858;309;50;5.0;4.0;23.0;1.0;26.0;38.0;4.0;1.0;2.0;26.0;2.0;;10.0;2.0;;;;;;;404.0
Idaarderadeel-G0078;23;;3214;805;927;344;5.0;63.0;112.0;7.0;37.0;17.0;36.0;7.0;5.0;3.0;2.0;;;;;;;;;;370.0
IJlst-G0102;6;;402;719;138;83;5.0;2.0;13.0;16.0;6.0;5.0;14.0;8.0;5.0;1.0;1.0;1.0;;;;;;;;;112.0
