RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP;Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek;@abs
Bierum-G0008;18;;767;1240;304;68;7.0;16.0;39.0;41.0;6.0;12.0;1.0;14.0;3.0;;1.0;;3.0;;;;;;;;249.0
Bingelrade-G0894;5;;121;332;37;16;;4.0;9.0;;7.0;13.0;2.0;;2.0;;;;1.0;;2.0;;;;;;42.0
Bladel en Netersel-G0754;21;;902;2889;677;197;2.0;25.0;61.0;6.0;42.0;39.0;19.0;2.0;6.0;17.0;7.0;1.0;2.0;;;;;;;;705.0
Blaricum-G0376;48;;1194;1472;2118;493;23.0;46.0;114.0;19.0;75.0;59.0;83.0;21.0;19.0;27.0;5.0;;6.0;;;;;;;;516.0
Bleiswijk-G0495;16;;733;1685;1138;297;225.0;5.0;35.0;35.0;5.0;19.0;36.0;21.0;4.0;8.0;1.0;3.0;1.0;;;;;;;;312.0
Bleskensgraaf en Hofwegen-G0496;22;;248;417;155;54;344.0;7.0;11.0;21.0;6.0;14.0;6.0;17.0;3.0;1.0;;;;;;;;;;;101.0
Bloemendaal-G0377;96;;1916;3133;5220;937;44.0;57.0;168.0;72.0;112.0;46.0;203.0;33.0;29.0;71.0;6.0;;7.0;3.0;1.0;;;;;;1316.0
Blokker-G0378;18;;380;1013;418;110;2.0;6.0;43.0;2.0;16.0;21.0;9.0;2.0;3.0;80.0;1.0;;;;;;;;;;171.0
Bocholtz-G0895;40;;1093;1492;272;76;2.0;55.0;40.0;2.0;12.0;23.0;9.0;;5.0;23.0;5.0;;9.0;2.0;;;;;;;367.0
Bodegraven-G0497;61;;1869;3840;1724;480;535.0;36.0;99.0;121.0;55.0;59.0;38.0;122.0;9.0;18.0;11.0;1.0;1.0;1.0;3.0;;;;;;1009.0
Boekel-G0755;26;;686;2905;476;106;2.0;9.0;34.0;1.0;23.0;32.0;20.0;2.0;14.0;20.0;11.0;4.0;1.0;;1.0;;;;;;549.0
Bolsward-G0064;31;;1771;2992;536;256;25.0;28.0;99.0;33.0;32.0;19.0;16.0;22.0;7.0;21.0;4.0;;2.0;;1.0;;;;;;659.0
Borculo-G0211;23;;2367;1706;1459;347;10.0;20.0;69.0;29.0;28.0;89.0;28.0;13.0;12.0;8.0;5.0;;1.0;1.0;1.0;;;;;;471.0
