RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Urk-G0184;2;;942;25;25;13;2505.0;4;4;4.0;20.0;6.0;;4742
Utrecht-G0344;318;;11887;17998;8994;9670;2001.0;8217;2594;1334.0;1014.0;149.0;116.0;113369
Vaals-G0981;9;;1232;839;279;324;28.0;112;147;45.0;29.0;12.0;4.0;5700
Valburg-G0283;10;;1211;624;665;460;420.0;112;101;17.0;15.0;14.0;3.0;6148
Valkenburg (ZH)-G0619;1;;332;129;161;72;238.0;15;19;4.0;9.0;1.0;;1472
Valkenburg aan de Geul-G0994;37;;2803;815;697;721;34.0;149;54;89.0;47.0;18.0;44.0;8928
Valkenisse-G0720;4;;593;240;409;228;236.0;23;44;5.0;5.0;4.0;1.0;2984
Valkenswaard-G0858;4;;3129;1701;1276;987;74.0;152;93;122.0;68.0;11.0;18.0;16392
Veendam-G0047;20;;1392;2524;1122;746;267.0;101;264;78.0;57.0;14.0;15.0;15037
Veenendaal-G0345;24;;3984;1861;1935;1145;4491.0;301;174;68.0;100.0;17.0;11.0;23468
Veere-G0717;2;;604;135;289;189;373.0;43;60;6.0;5.0;1.0;1.0;2123
Veghel-G0860;37;;4644;1475;1264;846;50.0;121;95;178.0;53.0;23.0;12.0;15867
Veldhoven-G0861;27;;4030;1888;1799;1365;141.0;234;164;210.0;95.0;37.0;28.0;20071
Velsen-G0453;22;;4017;4534;3497;1992;692.0;509;380;151.0;182.0;45.0;23.0;33780
Venhuizen-G0454;10;;779;456;637;220;24.0;51;60;16.0;14.0;8.0;6.0;3190
Venlo-G0983;16;;6806;2420;2168;1588;136.0;572;274;192.0;222.0;33.0;27.0;34835
Venray-G0984;6;;4519;1421;907;868;48.0;179;125;85.0;54.0;15.0;8.0;18096
Vessem, Wintelre en Knegsel-G0862;4;;988;169;255;131;3.0;24;15;10.0;12.0;4.0;9.0;2303
Vianen-G0620;18;;1450;1184;884;642;655.0;129;99;36.0;55.0;11.0;6.0;9066
Vierlingsbeek-G0863;12;;1171;328;276;227;9.0;65;28;12.0;17.0;2.0;2.0;3485
Vlaardingen-G0622;33;;4345;4766;2901;2024;1756.0;536;323;794.0;283.0;72.0;17.0;39678
Vlagtwedde-G0048;7;;1292;1192;542;245;206.0;42;258;34.0;26.0;5.0;5.0;8885
Vledder-G0132;4;;265;446;292;148;44.0;27;43;1.0;10.0;1.0;2.0;1761
Vleuten-De Meern-G0347;9;;2261;722;1233;597;269.0;123;129;40.0;56.0;18.0;4.0;7777
Vlieland-G0096;5;;74;133;187;53;19.0;19;13;3.0;;;;396
Vlijmen-G0864;17;;1623;759;638;496;27.0;71;59;67.0;51.0;15.0;3.0;8356
Vlissingen-G0718;46;;2286;2404;1729;1482;893.0;284;191;127.0;168.0;24.0;18.0;24571
Vlist-G0623;7;;952;532;652;331;695.0;37;49;19.0;28.0;6.0;3.0;3966
Voerendaal-G0986;4;;2006;591;450;514;20.0;129;34;63.0;26.0;4.0;4.0;6516
Voorburg-G0624;48;;3539;2602;3988;1751;496.0;404;271;108.0;162.0;176.0;20.0;18866
Voorhout-G0625;9;;1243;457;872;427;67.0;66;47;9.0;18.0;15.0;2.0;4849
Voorschoten-G0626;24;;2155;1233;2443;1197;214.0;248;196;52.0;36.0;35.0;11.0;9369
Voorst-G0285;19;;2942;1658;1583;771;328.0;124;134;14.0;41.0;18.0;26.0;10182
Vorden-G0286;3;;1230;589;784;311;85.0;33;112;8.0;7.0;2.0;5.0;3480
Vries-G0133;11;;515;945;1008;396;129.0;87;147;9.0;29.0;11.0;4.0;4198
Vriezenveen-G0186;8;;2490;891;453;276;1207.0;27;36;13.0;20.0;4.0;12.0;8466
Vught-G0865;14;;2542;1306;1352;872;66.0;176;147;56.0;44.0;17.0;9.0;12423
Waalre-G0866;11;;1880;801;1314;702;38.0;110;102;36.0;35.0;13.0;17.0;7018
Waalwijk-G0867;20;;2680;1252;1210;778;227.0;184;77;79.0;93.0;32.0;11.0;15540
Waddinxveen-G0627;11;;1867;1268;1558;897;1799.0;87;92;41.0;62.0;17.0;8.0;11035
Wageningen-G0289;41;;2418;2961;1771;1747;723.0;1754;658;104.0;31.0;25.0;17.0;13826
Warmond-G0628;2;;690;297;408;172;28.0;44;35;14.0;5.0;13.0;1.0;2301
Warnsveld-G0291;4;;779;765;657;441;97.0;99;111;16.0;9.0;6.0;6.0;3637
Waspik-G0869;0;;615;255;198;133;47.0;18;25;19.0;14.0;6.0;1.0;2380
Wassenaar-G0629;19;;2524;887;3947;826;213.0;119;127;26.0;54.0;29.0;19.0;10637
Wateringen-G0630;12;;1848;453;973;407;113.0;52;71;10.0;61.0;28.0;4.0;7090
Waterland-G0852;17;;1460;1369;1261;650;149.0;191;153;34.0;49.0;19.0;2.0;8402
Weerselo-G0188;9;;2550;246;253;132;22.0;26;46;7.0;18.0;2.0;25.0;3404
Weert-G0988;52;;4571;2018;2150;1069;81.0;218;83;149.0;266.0;26.0;18.0;20835
Weesp-G0457;17;;1120;1382;1000;709;185.0;198;142;47.0;101.0;27.0;4.0;8618
Wehl-G0292;7;;961;323;147;147;9.0;21;18;2.0;11.0;2.0;7.0;3513
Werkendam-G0870;11;;1705;745;618;276;1393.0;68;44;19.0;24.0;6.0;5.0;8873
Wervershoof-G0459;5;;1149;295;336;161;16.0;51;58;;18.0;6.0;1.0;3541
West Maas en Waal-G0668;24;;2347;986;706;367;29.0;65;55;39.0;20.0;8.0;1.0;8955
Westerbork-G0134;4;;805;1065;638;313;119.0;55;102;16.0;21.0;6.0;2.0;2927
Westerhoven-G0871;1;;335;75;89;33;5.0;14;9;4.0;2.0;;2.0;817
Wester-Koggenland-G0558;7;;1654;774;823;351;13.0;102;86;17.0;32.0;13.0;3.0;5740
Westerschouwen-G0725;7;;558;422;653;207;204.0;33;43;8.0;26.0;4.0;5.0;2663
Westervoort-G0293;2;;973;1005;577;556;115.0;133;92;35.0;24.0;3.0;2.0;7547
Westkapelle-G0726;0;;257;229;179;53;230.0;9;23;;7.0;1.0;;1097
Weststellingwerf-G0098;22;;2005;2125;1193;520;211.0;175;168;64.0;73.0;18.0;18.0;12410
Westvoorne-G0614;18;;847;850;1564;420;113.0;75;86;35.0;53.0;18.0;1.0;6770
Wierden-G0189;19;;4600;875;969;505;1415.0;58;92;21.0;29.0;9.0;115.0;8266
Wieringen-G0462;4;;372;667;621;211;25.0;45;59;20.0;19.0;8.0;;4485
Wieringermeer-G0463;17;;1264;737;714;314;202.0;59;125;26.0;32.0;9.0;2.0;5466
Wijchen-G0296;7;;3575;1881;1319;1140;79.0;254;145;88.0;63.0;30.0;23.0;18193
Wijhe-G0190;4;;986;618;282;163;97.0;45;67;2.0;5.0;;3.0;3362
Wijk bij Duurstede-G0352;5;;1029;996;936;706;146.0;253;112;17.0;34.0;11.0;6.0;7752
Willemstad-G0872;0;;349;206;284;99;48.0;16;46;13.0;7.0;4.0;1.0;1530
Winschoten-G0052;13;;991;2204;743;406;208.0;208;185;59.0;25.0;10.0;21.0;10081
Winsum-G0053;7;;1408;1291;569;378;507.0;204;317;30.0;3.0;;1.0;4968
Winterswijk-G0294;9;;2407;2707;1968;850;155.0;193;230;75.0;40.0;18.0;41.0;12718
Wisch-G0295;13;;2173;1124;904;531;111.0;102;86;23.0;24.0;8.0;14.0;10103
Wissenkerke-G0727;1;;431;197;210;108;141.0;17;22;8.0;4.0;2.0;;1500
Wittem-G0990;17;;1531;511;294;343;23.0;110;38;23.0;23.0;9.0;4.0;3262
Woensdrecht-G0873;9;;732;526;492;259;22.0;27;39;23.0;61.0;13.0;3.0;5737
Woerden-G0632;19;;3851;1657;1996;1266;1565.0;334;171;82.0;112.0;30.0;19.0;15380
Wognum-G0466;2;;1070;301;377;239;12.0;52;40;13.0;13.0;5.0;;3261
Wormerland-G0880;10;;1056;1157;773;538;121.0;268;100;33.0;31.0;10.0;3.0;7075
Woudenberg-G0351;7;;940;427;684;266;1151.0;60;59;20.0;22.0;5.0;2.0;4021
Woudrichem-G0874;6;;1437;576;469;247;982.0;62;51;35.0;15.0;5.0;4.0;6419
Wouw-G0875;5;;797;360;432;202;18.0;39;45;12.0;21.0;6.0;1.0;4587
Wûnseradiel-G0710;8;;1502;851;385;226;148.0;75;114;20.0;8.0;14.0;10.0;5059
Wymbritseradiel-G0683;5;;2174;684;486;301;172.0;84;159;7.0;12.0;4.0;9.0;6739
Zaanstad-G0479;80;;6110;9750;5501;4156;1096.0;2077;847;369.0;436.0;101.0;67.0;69070
Zaltbommel-G0297;16;;702;841;484;364;217.0;151;56;34.0;27.0;11.0;;4710
Zandvoort-G0473;10;;802;1049;1570;494;73.0;86;94;23.0;52.0;30.0;7.0;8765
Zederik-G0707;16;;1816;861;643;272;1552.0;57;39;10.0;34.0;16.0;4.0;3444
Zeevang-G0478;10;;197;521;695;234;17.0;85;35;17.0;19.0;11.0;;2727
Zeewolde-G0050;5;;878;508;962;406;411.0;64;124;19.0;20.0;10.0;3.0;4831
Zeist-G0355;38;;4258;3302;4438;2317;2015.0;769;616;121.0;181.0;36.0;40.0;27275
Zelhem-G0298;14;;1306;795;561;273;238.0;35;34;12.0;17.0;1.0;7.0;5546
Zevenaar-G0299;23;;2518;1754;1224;1098;117.0;205;120;58.0;51.0;22.0;16.0;13523
Zevenbergen-G0878;13;;1439;758;784;483;149.0;83;96;28.0;52.0;14.0;1.0;8566
Zevenhuizen-Moerkapelle-G1666;8;;783;531;786;327;1080.0;33;38;15.0;29.0;17.0;1.0;3827
Zierikzee-G0732;11;;772;694;516;324;427.0;70;54;17.0;20.0;6.0;4.0;4999
Zijpe-G0476;11;;952;853;867;340;51.0;78;67;29.0;29.0;8.0;5.0;5145
Zoetermeer-G0637;49;;5327;6097;6192;4593;1783.0;721;449;1319.0;276.0;160.0;45.0;48165
Zoeterwoude-G0638;7;;892;406;558;380;53.0;69;78;14.0;18.0;10.0;;3844
Zuidhorn-G0056;16;;1939;1271;731;504;1688.0;155;327;30.0;16.0;11.0;;5910
Zuidlaren-G0136;12;;842;927;885;369;431.0;127;128;17.0;20.0;3.0;4.0;4803
Zuidwolde-G0137;7;;1094;632;745;248;254.0;57;83;9.0;14.0;8.0;4.0;4298
Zundert-G0879;16;;1361;492;562;321;18.0;61;56;17.0;43.0;11.0;3.0;7927
Zutphen-G0301;25;;1957;2976;1376;1324;283.0;522;333;229.0;50.0;24.0;30.0;15039
Zwartsluis-G0192;2;;629;283;185;68;299.0;18;24;9.0;4.0;1.0;2.0;1819
Zweeloo-G0138;1;;278;379;306;96;44.0;22;28;2.0;2.0;3.0;1.0;1110
Zwijndrecht-G0642;19;;2989;2182;2219;1439;1953.0;184;156;43.0;160.0;25.0;14.0;20794
Zwolle-G0193;53;;7879;7344;4194;3555;3980.0;1340;1050;207.0;158.0;35.0;49.0;46626
