RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP-GPV-RPF;GL;DG;SP;Centrumdemocraten;Een Betere Toekomst;Lijst de Groen;@abs
Maassluis-G0556;29;;2388;1618;1766;998;579.0;172;119;63.0;108.0;24.0;8.0;16380
Maastricht-G0935;90;;9427;6957;3141;6367;256.0;1676;482;468.0;410.0;139.0;43.0;65962
Made en Drimmelen-G0812;0;;1184;545;506;650;26.0;35;37;10.0;38.0;10.0;5.0;6416
Margraten-G0936;12;;2228;633;454;692;28.0;154;50;30.0;38.0;12.0;2.0;6394
Mariekerke-G0686;2;;414;73;117;83;910.0;13;16;5.0;9.0;;;1049
Markelo-G0169;13;;747;535;887;240;66.0;23;42;6.0;18.0;4.0;13.0;2997
Marum-G0025;5;;842;689;485;173;285.0;55;60;15.0;17.0;1.0;15.0;4410
Maurik-G0264;4;;390;576;465;203;79.0;31;16;9.0;24.0;2.0;2.0;3100
Medemblik-G0420;6;;603;371;325;160;61.0;52;22;7.0;17.0;6.0;2.0;3735
Meerlo-Wanssum-G0993;6;;1118;265;202;188;4.0;55;19;4.0;11.0;4.0;;3466
Meerssen-G0938;45;;2788;1012;842;1038;46.0;258;63;52.0;71.0;17.0;12.0;10255
Meijel-G0941;5;;791;173;144;112;11.0;29;12;5.0;3.0;5.0;;2975
Menaldumadeel-G0083;10;;1456;1327;579;369;144.0;87;185;22.0;5.0;8.0;4.0;5737
Menterwolde-G1987;14;;411;1406;378;236;166.0;89;198;95.0;26.0;8.0;5.0;6379
Meppel-G0119;24;;1666;2238;1210;843;649.0;169;148;38.0;26.0;11.0;4.0;11569
Middelburg-G0687;33;;2629;2423;1693;1506;2099.0;469;339;117.0;66.0;15.0;16.0;19345
Middelharnis-G0559;9;;811;835;732;334;1972.0;62;53;21.0;27.0;14.0;3.0;7617
Middenschouwen-G0688;0;;222;143;173;63;184.0;9;12;9.0;11.0;1.0;1.0;1233
Mierlo-G0814;6;;1438;505;507;476;23.0;83;34;40.0;30.0;6.0;4.0;4488
Mill en Sint Hubert-G0815;18;;1779;646;394;237;21.0;47;26;27.0;23.0;9.0;7.0;5042
Millingen aan de Rijn-G0265;3;;469;479;120;128;5.0;26;21;10.0;3.0;1.0;;2997
Moergestel-G0816;2;;1084;239;254;144;3.0;32;12;13.0;7.0;4.0;2.0;2715
Monster-G0562;25;;2413;595;1176;373;759.0;66;74;22.0;79.0;16.0;1.0;9204
Montfoort-G0335;8;;1402;555;735;443;586.0;130;77;20.0;22.0;5.0;7.0;5459
Mook en Middelaar-G0944;4;;823;496;478;293;29.0;92;74;15.0;4.0;4.0;2.0;3420
Moordrecht-G0563;4;;485;476;430;240;259.0;47;27;15.0;28.0;6.0;3.0;3301
Muiden-G0424;11;;551;626;596;307;67.0;71;61;4.0;20.0;5.0;4.0;2953
Naaldwijk-G0565;13;;3934;863;1982;542;453.0;90;116;17.0;74.0;25.0;1.0;12665
Naarden-G0425;3;;1196;987;2264;687;174.0;125;134;19.0;38.0;13.0;14.0;7283
