RegioNaam;@invalid;@blank;Tegen;Voor;Blanco;@abs
Haarlemmermeer-G0394;105;;18573;15497;267;73235
Halderberge-G1655;36;;4662;5976;451;12223
Hardenberg-G0160;93;;10780;14374;1230;19817
Harderwijk-G0243;36;;9136;10258;777;14776
Hardinxveld-Giessendam-G0523;20;;3208;4636;336;5440
Haren-G0017;19;;3555;2598;94;9015
Harlingen-G0072;49;;3463;2881;233;5678
Hattem-G0244;11;;2497;3069;333;3457
Heemskerk-G0396;36;;7424;7184;529;15326
Heemstede-G0397;35;;5739;6681;385;7603
Heerde-G0246;20;;3656;4419;391;6222
Heerenveen-G0074;77;;10052;9887;803;18364
Heerhugowaard-G0398;44;;10136;9654;695;22242
Heerlen-G0917;96;;16761;12174;1001;38946
Heeze-Leende-G1658;19;;2868;3896;395;5466
Heiloo-G0399;27;;5291;5542;471;6924
Hellendoorn-G0163;60;;6927;9008;819;11249
Hellevoetsluis-G0530;38;;7147;7108;442;16655
Helmond-G0794;115;;13441;13006;1064;38289
Hendrik-Ido-Ambacht-G0531;56;;5269;7066;349;10016
Hengelo-G0164;112;;18019;14710;995;28560
Heumen-G0252;26;;3723;3745;402;5040
Heusden-G0797;63;;7377;9093;664;16563
Hillegom-G0534;26;;4189;4504;325;7450
Hilvarenbeek-G0798;30;;2703;4087;451;4911
Hilversum-G0402;82;;19875;15114;1112;28972
Hof van Twente-G1735;52;;6561;8998;824;11256
Hollands Kroon-G1911;42;;8517;8845;616;18581
Hoogeveen-G0118;82;;10029;10509;864;21415
Hoorn-G0405;72;;14526;12566;887;26779
Horst aan de Maas-G1507;84;;7204;9465;947;14809
Houten-G0321;60;;10516;10664;898;14466
Huizen-G0406;50;;8444;9364;548;13655
Hulst-G0677;59;;4951;5747;478;8788
IJsselstein-G0353;28;;6167;6538;463;12619
Kaag en Braassem-G1884;42;;5080;5973;451;9115
Kampen-G0166;70;;11205;13025;1110;14125
Kapelle-G0678;18;;2378;3627;231;3308
Katwijk-G0537;85;;12293;15220;1009;19757
Kerkrade-G0928;44;;8344;7242;703;18566
Koggenland-G1598;29;;4182;5386;343;7511
Kollumerland en Nieuwkruisland-G0079;5;;1646;1181;42;7137
Korendijk-G0588;8;;1175;1194;13;6243
Krimpen aan den IJssel-G0542;63;;6075;7753;492;8076
