RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Hilversum-G0402;125;99;11339;11147;4639;3358;2736;2942;3603;2163;2741;1413;1812;1037;255;1141;497;109.0;440;143;181;194.0;153;65.0;66.0;50.0;80.0;;42;17.0;;31.0;3.0;19.0;;4.0;;;;12646.0
Hoeksche Waard-G1963;57;58;13773;6232;6628;5693;3011;2720;1445;3409;1812;2872;660;2477;4771;78;654;334.0;86;247;23;153.0;92;75.0;;49.0;41.0;40.0;13;18.0;17.0;;;;;12.0;;6.0;;12228.0
Hof van Twente-G1735;29;37;6058;2755;2325;5021;1150;1318;556;1034;434;339;312;604;118;105;196;1117.0;29;50;8;52.0;28;21.0;37.0;7.0;16.0;14.0;6;5.0;12.0;;1.0;;0.0;1.0;;;;4389.0
Hollands Kroon-G1911;35;46;7740;3250;3797;3474;1806;1479;842;2091;870;541;460;1017;143;36;373;863.0;54;186;9;96.0;55;59.0;91.0;89.0;41.0;35.0;17;21.0;12.0;27.0;1.0;;;3.0;;;;7551.0
Hoogeveen-G0118;70;44;5814;2715;5587;4917;2398;2064;848;2600;689;2430;280;754;700;119;369;665.0;48;142;16;83.0;49;234.0;127.0;33.0;14.0;36.0;22;94.0;53.0;;;;;;;3.0;;9410.0
Hoorn-G0405;102;69;9787;7127;4243;2999;2829;2689;2301;2725;1991;643;935;1129;105;693;578;146.0;393;190;87;176.0;122;83.0;103.0;57.0;51.0;53.0;17;17.0;17.0;39.0;11.0;;;11.0;;;;13218.0
Horst aan de Maas-G1507;32;60;6453;3547;3244;4691;1976;1259;951;1156;693;154;440;654;27;33;373;539.0;38;58;5;43.0;40;51.0;37.0;17.0;17.0;22.0;25;11.0;;13.0;;;0.0;0.0;;;;6404.0
Houten-G0321;58;66;7999;6080;2420;2701;1310;1578;2081;933;1032;1951;866;769;671;162;320;96.0;144;68;30;92.0;51;36.0;37.0;23.0;18.0;;12;10.0;16.0;8.0;1.0;3.0;;;;;;5897.0
Huizen-G0406;38;40;6711;4037;2469;2689;1175;1131;950;1229;1002;1531;552;741;495;402;270;85.0;90;64;110;80.0;53;35.0;49.0;27.0;35.0;;21;13.0;;12.0;1.0;12.0;;2.0;;;;6076.0
Hulst-G0677;26;15;3997;1581;2094;2003;1051;883;422;872;423;152;147;440;28;18;302;349.0;11;56;8;48.0;29;11.0;;13.0;17.0;56.0;9;5.0;10.0;;;;2.0;;;;;4886.0
IJsselstein-G0353;34;32;5938;3428;2150;1909;1010;1009;870;843;650;513;359;630;175;451;282;76.0;85;65;79;62.0;27;36.0;31.0;11.0;12.0;;13;5.0;11.0;11.0;2.0;4.0;;;;;;5164.0
Kaag en Braassem-G1884;18;19;5509;2642;1945;2157;778;626;610;884;547;291;350;771;63;47;260;268.0;38;90;17;58.0;36;40.0;;13.0;21.0;22.0;14;6.0;3.0;;1.0;;;;;1.0;;3335.0
Kampen-G0166;47;40;5155;2685;3660;4983;1569;1333;1148;2113;689;4803;415;688;3651;361;223;372.0;73;107;19;81.0;57;32.0;51.0;27.0;22.0;15.0;11;21.0;23.0;;2.0;;5.0;2.0;;;;6446.0
Kapelle-G0678;11;3;1940;808;649;1094;360;435;178;362;213;601;92;247;1126;11;100;105.0;17;28;1;16.0;13;7.0;;7.0;2.0;3.0;6;3.0;10.0;;;;1.0;;;;;1391.0
Katwijk-G0537;51;39;8861;3151;5214;5874;1240;1042;771;3029;1113;4077;515;1317;3561;235;423;132.0;73;172;55;89.0;57;50.0;;35.0;33.0;30.0;14;10.0;57.0;;0.0;;;;;0.0;;8213.0
Kerkrade-G0928;53;34;3979;1614;5958;1967;2192;1945;744;2400;818;118;213;365;27;155;402;49.0;64;68;26;61.0;48;18.0;63.0;28.0;22.0;41.0;7;10.0;;29.0;;;0.0;4.0;;;;11013.0
Koggenland-G1598;17;23;4674;2003;1464;1999;723;657;496;841;478;130;216;447;22;15;178;462.0;45;72;3;29.0;33;28.0;51.0;8.0;14.0;13.0;5;3.0;2.0;13.0;0.0;;;1.0;;;;2876.0
Krimpen aan den IJssel-G0542;27;26;3562;2005;1996;1391;968;933;551;967;531;1312;228;740;2564;154;203;35.0;70;91;41;56.0;38;22.0;;17.0;22.0;18.0;10;27.0;11.0;;8.0;;;;;2.0;;4059.0
Krimpenerwaard-G1931;78;46;8949;4041;3548;3699;1587;1791;996;1872;1139;2389;463;1407;3271;333;354;470.0;60;153;40;75.0;46;43.0;;32.0;44.0;30.0;11;23.0;16.0;;4.0;;;;;1.0;;6951.0
Laarbeek-G1659;26;18;4247;1707;1830;1914;1303;596;441;684;358;95;241;346;12;13;177;179.0;10;51;4;43.0;25;27.0;35.0;11.0;6.0;6.0;8;7.0;2.0;17.0;;;1.0;;;;;3591.0
Landerd-G1685;8;16;3282;1322;1151;1435;1120;386;258;354;230;73;169;238;11;6;119;167.0;8;17;0;19.0;17;27.0;21.0;5.0;10.0;9.0;6;1.0;5.0;11.0;;;0.0;;;;;1987.0
Landgraaf-G0882;40;76;4234;1992;5290;1778;2295;1627;706;2117;802;172;195;358;18;83;317;71.0;41;69;23;54.0;37;26.0;54.0;29.0;12.0;34.0;9;11.0;;21.0;;;3.0;2.0;;;;7360.0
Landsmeer-G0415;33;7;1764;1252;961;440;416;517;416;384;411;76;173;237;22;44;74;36.0;65;38;19;26.0;15;10.0;20.0;8.0;6.0;52.0;4;1.0;0.0;5.0;2.0;;;0.0;;;;1284.0
Langedijk-G0416;36;28;4935;2757;1789;1897;957;925;785;1250;730;522;327;529;67;82;206;171.0;39;120;23;80.0;40;35.0;58.0;22.0;19.0;19.0;10;5.0;10.0;14.0;2.0;;;3.0;;;;3609.0
Lansingerland-G1621;60;44;11741;6012;3834;3803;1216;1234;1280;1764;1096;1983;733;1531;392;478;342;174.0;159;175;131;105.0;62;52.0;;20.0;28.0;39.0;22;12.0;7.0;;1.0;;;;;1.0;;7386.0
Laren-G0417;6;5;2976;1307;534;750;223;268;196;275;328;88;249;193;12;22;38;12.0;15;10;7;14.0;7;3.0;6.0;5.0;9.0;;3;0.0;;1.0;0.0;4.0;;0.0;;;;1223.0
Leeuwarden-G0080;104;125;12277;12398;7478;6835;5804;8140;5094;5115;3975;2606;1969;1430;299;452;580;644.0;432;236;121;375.0;287;140.0;164.0;57.0;107.0;;48;36.0;49.0;;;24.0;;;25.0;;5.0;19966.0
Leiden-G0546;189;148;11423;17530;5810;3636;3671;5445;8184;2536;4540;1594;4827;1334;198;1430;481;129.0;1127;191;398;226.0;206;115.0;;48.0;74.0;130.0;72;15.0;21.0;;12.0;;;;;2.0;;17304.0
Leiderdorp-G0547;42;40;4381;3310;1622;1497;835;1129;1000;609;687;455;533;487;126;223;184;36.0;63;63;70;70.0;31;16.0;;5.0;25.0;26.0;9;7.0;6.0;;4.0;;;;;1.0;;3512.0
Leidschendam-Voorburg-G1916;94;72;12294;8559;4323;3589;2022;2359;2176;1716;1934;914;1286;1124;194;557;456;210.0;262;381;139;137.0;78;68.0;;34.0;33.0;76.0;31;12.0;23.0;;6.0;;;;;7.0;;10872.0
Lelystad-G0995;109;104;8881;4910;5997;2664;2865;2484;1802;3227;1740;1367;573;1057;323;1381;552;192.0;501;231;214;186.0;178;74.0;;53.0;52.0;;28;55.0;49.0;;26.0;;19.0;;;;;16037.0
Leudal-G1640;23;41;5244;3700;3343;2913;1343;1105;641;1098;577;157;282;539;35;18;300;600.0;15;64;5;62.0;24;27.0;48.0;22.0;16.0;25.0;10;5.0;;18.0;;;1.0;1.0;;;;6479.0
Leusden-G0327;18;34;5237;3782;1384;2243;994;969;1022;726;826;1246;580;529;345;85;163;150.0;72;50;17;75.0;36;29.0;28.0;17.0;18.0;;14;4.0;8.0;9.0;3.0;4.0;;;;;;3129.0
Lingewaard-G1705;31;55;9061;4959;3381;3288;2195;1598;1256;1271;897;270;461;671;28;65;323;173.0;48;93;13;80.0;56;49.0;48.0;17.0;16.0;16.0;18;5.0;9.0;;0.0;;;;;;;5902.0
Lisse-G0553;9;13;4106;2297;1568;1620;649;568;453;759;480;508;267;514;659;40;199;55.0;38;71;11;39.0;34;23.0;;15.0;10.0;14.0;4;5.0;5.0;;3.0;;;;;2.0;;2723.0
Lochem-G0262;26;29;5966;4107;1282;2748;1177;1678;1109;860;923;470;555;464;44;129;177;1414.0;42;65;34;61.0;36;33.0;28.0;19.0;17.0;25.0;8;5.0;2.0;;2.0;;;;;;;4034.0
Loon op Zand-G0809;27;32;4447;1856;2123;1581;1066;664;498;659;384;138;177;354;71;68;213;108.0;28;63;6;36.0;17;24.0;;18.0;12.0;14.0;2;4.0;1.0;19.0;0.0;;0.0;;;;;3842.0
Lopik-G0331;13;12;2316;756;1106;1396;319;242;164;558;199;680;102;316;655;69;102;224.0;15;33;21;22.0;8;11.0;21.0;0.0;1.0;;1;2.0;8.0;14.0;0.0;0.0;;;;;;1863.0
Losser-G0168;25;18;3319;1499;2266;3231;851;645;288;807;289;115;169;351;18;32;153;389.0;10;46;2;26.0;13;13.0;30.0;4.0;9.0;8.0;5;3.0;4.0;;2.0;;0.0;3.0;;;;3637.0
Maasdriel-G0263;22;24;4664;1667;2755;1720;931;526;337;845;342;208;214;464;286;51;181;130.0;11;55;6;26.0;24;26.0;29.0;11.0;8.0;14.0;3;1.0;3.0;13.0;;;;;;;;3320.0
Maasgouw-G1641;21;27;3589;1918;2631;1809;1004;902;364;866;542;93;185;337;15;31;228;127.0;18;44;0;41.0;20;10.0;19.0;18.0;7.0;25.0;6;10.0;;7.0;;;2.0;1.0;;;;4917.0
Maassluis-G0556;62;33;4828;2316;2329;1885;1029;1051;587;1042;566;760;267;734;180;1234;255;36.0;81;107;122;86.0;33;37.0;;18.0;14.0;8.0;12;5.0;12.0;;;;;4.0;;3.0;;5670.0
Maastricht-G0935;186;119;11497;11025;10098;4491;4261;6312;4072;3482;2848;510;2074;1041;67;667;892;83.0;480;136;137;181.0;127;123.0;126.0;50.0;62.0;65.0;52;19.0;;46.0;;;8.0;5.0;;;;21338.0
Medemblik-G0420;46;64;7454;3801;3243;3366;1480;1141;863;1787;944;703;425;892;217;133;345;412.0;63;126;6;109.0;53;39.0;72.0;32.0;33.0;26.0;15;13.0;8.0;14.0;1.0;;;2.0;;;;6355.0
Meerssen-G0938;20;22;3042;1748;1788;1365;819;1078;476;659;460;103;154;214;23;7;177;60.0;23;34;0;17.0;21;5.0;23.0;19.0;4.0;22.0;5;2.0;;9.0;;;1.0;0.0;;;;2777.0
Meierijstad-G1948;73;63;14895;7010;5801;6481;4284;2042;1617;2281;1142;288;807;1151;37;689;554;559.0;84;133;116;106.0;81;93.0;92.0;35.0;36.0;35.0;14;19.0;10.0;54.0;;;3.0;;;;;12421.0
Meppel-G0119;31;33;4764;3197;2141;2363;1634;1580;984;1099;834;1219;401;496;135;161;211;269.0;65;80;49;91.0;28;41.0;48.0;14.0;22.0;45.0;6;25.0;13.0;;;;;;;1.0;;4714.0
Middelburg-G0687;61;54;5489;4175;2230;2626;1688;2442;1536;1512;1422;1904;555;563;2432;330;342;133.0;127;93;20;69.0;55;35.0;;29.0;26.0;50.0;17;52.0;25.0;;;;4.0;;;;;7554.0
Midden-Delfland-G1842;14;14;3977;2172;1021;1843;401;430;495;462;347;499;299;532;74;64;85;118.0;25;59;16;43.0;19;10.0;;4.0;12.0;12.0;5;3.0;5.0;;;;;0.0;;0.0;;1856.0
Midden-Drenthe-G1731;39;33;4561;2617;2333;2992;1456;2120;761;1264;669;899;256;463;251;23;263;1054.0;29;72;5;57.0;26;53.0;68.0;17.0;17.0;26.0;6;26.0;4.0;;;;;;;3.0;;4608.0
Midden-Groningen-G1952;68;62;6081;3966;4819;2631;4270;3664;1466;2054;1141;1837;372;582;266;419;470;725.0;87;118;73;95.0;78;51.0;81.0;24.0;39.0;;9;30.0;24.0;35.0;5.0;11.0;;;;;;12949.0
Mill en Sint Hubert-G0815;10;12;2126;776;910;1287;716;225;157;257;159;36;97;149;8;8;103;223.0;7;17;1;19.0;8;6.0;18.0;1.0;4.0;7.0;1;0.0;3.0;5.0;;;0.0;;;;;1553.0
Moerdijk-G1709;36;26;6244;2460;3361;2392;1789;1024;628;1247;615;605;264;683;136;128;301;281.0;27;110;10;71.0;31;34.0;;29.0;26.0;24.0;5;19.0;9.0;24.0;2.0;;2.0;;;;;6720.0
Molenlanden-G1978;23;16;5760;1903;2360;3979;1006;1058;472;1370;563;3824;232;742;4816;46;206;269.0;43;75;5;46.0;29;34.0;;15.0;21.0;23.0;8;18.0;60.0;;;;;2.0;;2.0;;4477.0
Montferland-G1955;28;28;6239;2649;3591;3050;1569;1083;619;1237;592;202;247;609;35;100;313;655.0;27;71;8;43.0;25;39.0;54.0;17.0;14.0;20.0;5;11.0;3.0;;0.0;;;;;;;6093.0
Montfoort-G0335;18;15;2674;1189;880;1156;335;289;272;344;196;474;170;302;518;88;92;182.0;21;21;8;28.0;11;10.0;9.0;3.0;8.0;;1;5.0;7.0;7.0;0.0;2.0;;;;;;1340.0
Mook en Middelaar-G0944;5;7;1357;1164;513;503;345;355;391;168;266;55;151;96;7;5;44;33.0;21;9;0;17.0;6;4.0;6.0;6.0;3.0;7.0;4;1.0;;4.0;;;0.0;0.0;;;;894.0
Neder-Betuwe-G1740;23;5;2381;758;1722;1236;474;681;189;777;187;742;86;285;4786;33;109;106.0;14;28;13;17.0;13;11.0;25.0;4.0;8.0;2.0;3;20.0;16.0;8.0;;;;;;;;3012.0
Nederweert-G0946;6;17;2761;1278;1515;1704;741;526;320;543;260;70;129;301;10;13;137;295.0;12;50;2;16.0;20;26.0;23.0;11.0;10.0;11.0;2;3.0;;11.0;;;0.0;0.0;;;;3043.0
Nieuwegein-G0356;72;72;9078;5376;4551;2900;2457;2298;1891;1731;1408;995;750;924;208;856;575;94.0;352;132;157;123.0;109;72.0;73.0;41.0;31.0;;27;19.0;23.0;21.0;10.0;12.0;;;;;;11868.0
Nieuwkoop-G0569;15;18;5803;2280;1945;2511;656;540;515;975;473;507;275;768;314;85;220;395.0;37;80;11;62.0;31;42.0;;13.0;27.0;27.0;15;5.0;6.0;;0.0;;;;;1.0;;4050.0
Nijkerk-G0267;32;38;6648;2751;2895;3700;882;929;714;1424;576;2990;309;684;1735;283;185;331.0;53;73;94;45.0;45;32.0;52.0;15.0;7.0;79.0;12;10.0;23.0;;0.0;;;;;;;6086.0
Nijmegen-G0268;174;239;15731;25762;8503;5342;7684;7310;14744;3576;6752;1352;5629;1385;167;1962;773;159.0;1497;243;383;376.0;347;182.0;108.0;51.0;95.0;177.0;74;32.0;24.0;51.0;;;;;;;;27458.0
Nissewaard-G1930;90;95;10799;4729;8494;3090;3876;2959;1432;3868;1652;1121;489;2193;343;572;794;207.0;423;409;111;141.0;106;80.0;;78.0;51.0;43.0;23;32.0;38.0;;;;;25.0;;4.0;;18002.0
Noardeast-Fryslân-G1970;50;28;3903;2219;3328;6185;1771;1510;707;2450;797;2192;260;544;442;19;204;958.0;35;84;8;71.0;60;20.0;40.0;13.0;40.0;;7;4.0;27.0;;;7.0;;;6.0;;2.0;7743.0
Noord-Beveland-G1695;12;8;1293;495;601;545;269;292;124;298;249;181;55;174;191;2;75;84.0;11;19;0;13.0;11;6.0;;4.0;3.0;2.0;0;4.0;6.0;;;;1.0;;;;;1138.0
Noordenveld-G1699;26;38;4438;3354;2049;1911;1500;2172;1167;884;833;924;316;411;110;10;200;415.0;27;74;3;62.0;42;16.0;37.0;10.0;16.0;26.0;5;5.0;4.0;;;;;;;1.0;;4221.0
Noordoostpolder-G0171;31;47;5861;2618;3084;4581;1446;1232;715;2009;578;2070;313;754;1224;227;219;768.0;49;84;44;61.0;39;49.0;;32.0;16.0;;14;9.0;58.0;;2.0;;1.0;;;;;6069.0
Noordwijk-G0575;50;39;8795;3992;3359;2976;1228;1021;1013;1434;1013;456;596;1096;71;96;308;102.0;61;142;40;85.0;31;44.0;;23.0;27.0;35.0;21;5.0;10.0;;8.0;;;;;3.0;;5380.0
Nuenen, Gerwen en Nederwetten-G0820;22;24;4689;3121;1334;1788;974;774;755;575;510;188;472;273;18;38;201;63.0;29;39;10;46.0;29;17.0;13.0;36.0;10.0;18.0;6;5.0;2.0;16.0;;;0.0;;;;;2466.0
Nunspeet-G0302;21;14;3045;1106;1764;2252;460;394;309;850;330;2491;131;368;4427;49;102;199.0;29;25;3;29.0;21;18.0;15.0;10.0;8.0;13.0;5;3.0;16.0;;1.0;;;;;;;2989.0
Oegstgeest-G0579;9;13;4061;3902;866;1301;479;858;976;492;710;466;709;357;56;55;84;29.0;58;38;26;49.0;16;20.0;;6.0;12.0;10.0;15;4.0;5.0;;1.0;;;;;1.0;;2096.0
Oirschot-G0823;21;22;3990;1661;1366;1811;873;459;350;453;316;74;236;286;14;7;145;263.0;9;28;0;19.0;22;24.0;21.0;11.0;11.0;8.0;4;8.0;1.0;12.0;;;0.0;;;;;2587.0
Oisterwijk-G0824;27;22;6643;3610;1894;2537;1371;804;801;742;678;177;413;486;24;59;231;163.0;35;48;9;47.0;28;23.0;;25.0;21.0;17.0;15;7.0;3.0;23.0;0.0;;0.0;;;;;4785.0
Oldambt-G1895;38;50;3843;2110;3736;1750;3077;2532;719;1503;784;838;204;365;108;31;271;377.0;28;82;11;60.0;46;23.0;64.0;22.0;30.0;;7;13.0;8.0;25.0;1.0;4.0;;;;;;8438.0
Oldebroek-G0269;15;9;2153;774;1684;2121;487;466;275;691;232;2914;107;262;2183;14;83;198.0;19;30;1;20.0;10;15.0;18.0;5.0;5.0;4.0;3;2.0;32.0;;0.0;;;;;;;3345.0
Oldenzaal-G0173;34;37;5182;2883;2347;3951;1181;1027;660;1010;461;172;386;451;25;232;177;180.0;21;64;13;49.0;29;26.0;27.0;16.0;15.0;13.0;9;6.0;4.0;;1.0;;2.0;5.0;;;;4330.0
Olst-Wijhe-G1773;12;19;2751;1642;1032;1777;731;963;540;430;392;310;201;230;45;52;112;762.0;23;38;0;27.0;22;9.0;16.0;14.0;6.0;8.0;6;7.0;0.0;;0.0;;0.0;1.0;;;;2500.0
Ommen-G0175;14;15;2462;1194;1026;2572;500;454;302;533;276;1323;118;204;228;10;80;696.0;23;57;0;27.0;8;14.0;10.0;6.0;5.0;9.0;0;3.0;18.0;;0.0;;1.0;3.0;;;;2004.0
Oost Gelre-G1586;31;17;5151;2602;1761;3787;1176;829;528;829;387;103;254;583;23;61;237;1341.0;13;55;3;49.0;29;28.0;30.0;18.0;12.0;15.0;5;4.0;4.0;;0.0;;;;;;;3780.0
Oosterhout-G0826;56;45;9281;4902;4242;2920;2296;1719;1233;1667;941;355;590;767;57;872;417;198.0;98;105;94;115.0;52;62.0;;45.0;26.0;21.0;15;26.0;8.0;32.0;2.0;;24.0;;;;;10560.0
Ooststellingwerf-G0085;28;33;2916;1690;2037;2044;1344;1391;526;1194;630;629;182;346;159;17;182;627.0;26;52;1;42.0;28;28.0;52.0;7.0;11.0;;7;20.0;10.0;;;8.0;;;3.0;;1.0;4401.0
Oostzaan-G0431;15;30;1665;807;952;355;348;412;293;416;280;108;103;223;26;34;77;49.0;39;43;2;18.0;16;7.0;24.0;7.0;4.0;36.0;7;2.0;0.0;9.0;0.0;;;0.0;;;;1164.0
Opmeer-G0432;9;14;2066;1068;812;1072;377;304;218;499;226;79;114;260;10;8;103;212.0;17;58;2;24.0;18;10.0;36.0;5.0;10.0;10.0;4;5.0;2.0;3.0;0.0;;;2.0;;;;1683.0
Opsterland-G0086;17;39;3218;2311;1806;2493;1501;1845;696;1234;610;1335;233;377;295;14;150;678.0;22;47;1;52.0;28;33.0;38.0;9.0;17.0;;4;2.0;16.0;;;1.0;;;1.0;;2.0;4561.0
Oss-G0828;72;98;13573;6714;7595;5352;7500;2133;1912;2809;1317;329;831;1155;56;1278;552;429.0;159;145;60;141.0;83;82.0;101.0;43.0;25.0;15.0;28;34.0;15.0;48.0;;;2.0;;;;;16308.0
Oude IJsselstreek-G1509;25;33;6172;3149;2648;3611;1993;1450;871;1034;625;403;260;560;54;444;316;948.0;45;66;31;58.0;44;47.0;56.0;18.0;19.0;21.0;14;7.0;3.0;;0.0;;;;;;;6647.0
Ouder-Amstel-G0437;27;10;2078;1896;607;686;357;573;580;259;415;157;342;248;62;73;107;53.0;166;21;22;12.0;26;12.0;14.0;5.0;1.0;;9;3.0;;1.0;4.0;11.0;;1.0;;;;1574.0
Oudewater-G0589;10;6;1848;836;582;1070;217;214;136;317;115;357;93;195;251;21;54;239.0;10;113;4;14.0;9;11.0;11.0;1.0;4.0;;2;5.0;8.0;2.0;0.0;0.0;;;;;;1139.0
Overbetuwe-G1734;43;34;8236;4906;3347;3373;1668;1553;1442;1324;928;900;517;646;482;138;292;377.0;61;100;10;68.0;43;36.0;42.0;17.0;28.0;23.0;9;31.0;14.0;;3.0;;;;;;;6464.0
Papendrecht-G0590;33;31;5021;2262;2239;1804;1066;1036;569;1120;591;1426;214;592;843;214;282;39.0;59;121;33;49.0;28;29.0;;22.0;13.0;13.0;15;3.0;10.0;;;;;1.0;;1.0;;5393.0
Peel en Maas-G1894;28;54;6570;3053;4151;4854;1614;1225;761;1387;551;117;333;753;21;111;355;722.0;30;81;50;55.0;26;42.0;50.0;29.0;18.0;35.0;15;15.0;;20.0;;;0.0;2.0;;;;7508.0
Pekela-G0765;9;14;924;429;1569;557;1059;721;177;525;201;202;43;96;73;8;64;147.0;12;40;1;13.0;19;12.0;23.0;13.0;6.0;;0;4.0;8.0;6.0;0.0;3.0;;;;;;2866.0
Pijnacker-Nootdorp-G1926;46;42;9975;5702;3591;3228;1296;1365;1471;1431;1117;1057;819;1278;245;333;325;134.0;133;240;86;107.0;71;57.0;;35.0;34.0;40.0;22;17.0;11.0;;2.0;;;;;3.0;;6175.0
Purmerend-G0439;130;95;10924;6104;7360;2891;3319;2942;2108;3122;1939;604;728;1515;100;667;783;143.0;682;232;141;177.0;160;104.0;134.0;95.0;49.0;61.0;30;10.0;28.0;55.0;16.0;;;4.0;;;;16231.0
Putten-G0273;80;18;3637;1100;1587;2494;342;330;264;834;306;2147;125;364;1893;30;103;254.0;17;28;2;21.0;11;24.0;31.0;10.0;3.0;9.0;6;7.0;11.0;;0.0;;;;;;;2749.0
Raalte-G0177;40;29;6874;3302;1662;5002;1329;1076;760;761;477;483;293;603;68;102;240;1587.0;36;55;8;55.0;21;26.0;47.0;13.0;13.0;18.0;10;7.0;1.0;;0.0;;0.0;1.0;;;;5202.0
Reimerswaal-G0703;20;8;1990;557;1364;1177;441;462;155;692;186;629;75;270;4603;54;132;134.0;5;35;6;24.0;22;16.0;;5.0;8.0;7.0;4;1.0;29.0;;;;0.0;;;;;2694.0
Renkum-G0274;21;20;4717;4213;1565;1859;1055;1508;1580;675;1320;664;682;406;106;96;160;80.0;76;56;7;66.0;38;20.0;15.0;11.0;15.0;33.0;15;9.0;10.0;;1.0;;;;;;;4143.0
Renswoude-G0339;7;2;766;170;337;519;63;51;39;211;41;277;41;109;758;8;14;109.0;5;10;5;5.0;4;3.0;1.0;0.0;0.0;;0;1.0;7.0;0.0;0.0;0.0;;;;;;492.0
Reusel-De Mierden-G1667;17;6;2581;899;893;1274;626;345;187;301;193;40;116;149;4;3;123;168.0;10;37;1;20.0;13;18.0;13.0;14.0;4.0;7.0;0;1.0;4.0;6.0;;;0.0;;;;;2145.0
Rheden-G0275;38;41;5817;4703;2915;2352;2133;2084;1746;1129;1413;787;674;542;107;324;253;115.0;86;76;18;89.0;68;35.0;37.0;17.0;25.0;41.0;12;14.0;9.0;;1.0;;;;;;;7180.0
Rhenen-G0340;20;11;2630;1412;1369;1187;460;547;441;569;346;771;177;315;2014;126;75;57.0;25;34;27;30.0;17;16.0;14.0;5.0;7.0;;6;4.0;4.0;4.0;0.0;3.0;;;;;;2775.0
Ridderkerk-G0597;48;37;5917;2649;3932;2259;1682;1443;679;1748;832;1799;256;1169;2410;469;370;59.0;140;128;111;72.0;30;42.0;;38.0;27.0;13.0;6;30.0;13.0;;;;;6.0;;1.0;;8355.0
Rijssen-Holten-G1742;32;23;3881;1433;2085;3931;647;750;355;1099;290;2755;173;459;5884;112;124;953.0;29;43;4;37.0;20;17.0;32.0;8.0;4.0;6.0;5;4.0;31.0;;0.0;;0.0;7.0;;;;3418.0
Rijswijk-G0603;127;59;7289;5060;4076;2087;1506;1565;1621;1485;1363;659;772;846;137;916;368;56.0;219;365;119;105.0;71;33.0;;40.0;28.0;70.0;35;7.0;14.0;;;;;6.0;;3.0;;9090.0
Roerdalen-G1669;18;20;2622;1351;2671;1572;887;849;359;734;437;103;149;221;11;49;158;154.0;16;55;1;26.0;15;14.0;30.0;14.0;7.0;10.0;9;6.0;;5.0;;;1.0;0.0;;;;3808.0
Roermond-G0957;69;67;6791;4621;5499;2834;2139;1936;1490;1829;1309;256;503;726;29;997;394;136.0;100;142;223;81.0;71;43.0;65.0;23.0;24.0;34.0;12;26.0;;36.0;;;10.0;6.0;;;;12535.0
Roosendaal-G1674;87;65;11880;5201;5721;4039;2973;2094;1681;2372;1276;409;583;1133;68;1557;563;246.0;102;145;308;147.0;69;84.0;;56.0;39.0;33.0;10;23.0;15.0;34.0;6.0;;7.0;;;;;15552.0
Rotterdam-G0599;1589;604;49215;51569;31397;12377;18167;18174;21058;14132;14192;6873;10311;10444;2018;25540;2925;356.0;9526;1408;5524;926.0;963;371.0;;279.0;222.0;450.0;218;146.0;287.0;;288.0;;;57.0;;58.0;;148607.0
Rozendaal-G0277;2;3;455;285;51;108;22;60;66;25;47;31;47;24;4;0;6;1.0;3;3;0;0.0;1;2.0;1.0;1.0;0.0;1.0;0;0.0;0.0;;0.0;;;;;;;54.0
Rucphen-G0840;13;7;3310;860;4086;1170;896;424;245;899;302;69;94;358;18;29;176;137.0;8;59;0;24.0;6;13.0;;9.0;10.0;3.0;2;3.0;2.0;12.0;1.0;;1.0;;;;;5498.0
Saba-O9003;3;1;28;42;12;192;5;7;19;9;8;4;3;1;0;1;0;;113;0;0;;0;;;;;;0;;;;2.0;;;;;;;457.0
Schagen-G0441;37;42;7994;4240;2867;4276;1806;1675;1116;1792;1231;362;473;803;61;31;369;447.0;58;127;6;99.0;67;53.0;77.0;21.0;44.0;46.0;23;11.0;9.0;24.0;0.0;;;4.0;;;;6753.0
Scherpenzeel-G0279;13;9;1486;457;667;851;185;176;91;327;91;551;48;179;1338;8;47;75.0;3;17;1;11.0;14;8.0;12.0;3.0;2.0;20.0;0;2.0;3.0;;0.0;;;;;;;958.0
Schiedam-G0606;173;125;7550;5072;5658;2160;2517;2334;1884;2311;1517;675;793;1401;214;3382;611;67.0;487;238;451;148.0;112;58.0;;55.0;39.0;64.0;30;17.0;27.0;;;;;20.0;;10.0;;15601.0
Schiermonnikoog-G0088;1;2;158;167;51;90;43;96;78;21;56;41;40;12;8;0;9;14.0;13;1;0;0.0;4;0.0;0.0;0.0;1.0;;1;0.0;0.0;;;0.0;;;0.0;;0.0;
Schouwen-Duiveland-G1676;34;23;5739;2474;2168;2434;1170;1223;585;1165;870;1088;235;697;2108;21;253;388.0;30;83;9;64.0;31;17.0;;11.0;21.0;23.0;11;4.0;10.0;;;;0.0;;;;;4573.0
's-Gravenhage-G0518;1423;530;65047;56715;32209;16433;12527;17959;27504;12922;15950;6176;10440;5442;1544;18810;2455;363.0;4541;4329;2687;936.0;846;372.0;331.0;265.0;256.0;;215;175.0;;;87.0;139.0;96.0;;;;;129529.0
