RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Castricum-G0383;24;45;6406;4919;1871;2521;1172;1464;1532;1111;1397;322;715;697;37;52;251;191.0;91;89;1;86.0;49;52.0;41.0;22.0;34.0;37.0;14;8.0;13.0;14.0;0.0;;;1.0;;;;1840.0
Coevorden-G0109;34;34;5087;2499;3103;2915;1577;1941;625;1244;611;574;246;543;150;37;229;736.0;30;76;7;52.0;26;29.0;48.0;26.0;16.0;15.0;6;11.0;14.0;;;;;;;2.0;;5855.0
Cranendonck-G1706;21;19;3486;1380;2040;1792;928;500;320;675;314;82;192;402;16;18;161;178.0;31;41;3;27.0;23;24.0;33.0;18.0;9.0;11.0;2;4.0;8.0;13.0;;;0.0;;;;;3407.0
Cuijk-G1684;30;20;3926;2279;1807;1758;1587;728;637;720;494;111;229;368;17;429;168;177.0;48;42;29;44.0;33;25.0;40.0;16.0;13.0;9.0;8;16.0;4.0;15.0;;;3.0;;;;;4275.0
Culemborg-G0216;33;35;3821;3057;1668;1334;897;1116;1410;724;850;514;490;384;150;769;173;53.0;114;46;124;63.0;40;25.0;40.0;20.0;13.0;28.0;12;51.0;5.0;5.0;;;;;;;;4146.0
Dalfsen-G0148;20;21;4210;2217;1519;4014;827;812;499;750;353;1744;215;427;433;4;150;984.0;16;30;1;24.0;28;24.0;29.0;17.0;11.0;17.0;6;6.0;10.0;;2.0;;1.0;0.0;;;;3104.0
Dantumadiel-G1891;15;9;1316;733;1779;2262;797;754;235;1022;232;1268;101;217;632;3;52;259.0;16;44;2;26.0;20;22.0;28.0;4.0;5.0;;2;4.0;23.0;;;0.0;;;1.0;;1.0;3154.0
De Bilt-G0310;40;55;6859;5898;1806;2271;1147;1594;1973;876;1514;1020;967;553;773;305;203;90.0;155;43;65;79.0;49;22.0;28.0;22.0;23.0;;12;9.0;6.0;11.0;2.0;16.0;;;;;;4617.0
De Fryske Marren-G1940;36;53;6859;3906;3495;6034;1960;2538;961;2675;913;1105;365;772;317;47;233;1067.0;31;103;7;81.0;28;52.0;78.0;29.0;24.0;;12;15.0;12.0;;;11.0;;;4.0;;2.0;7020.0
De Ronde Venen-G0736;61;43;8695;4546;2990;3282;957;1067;1022;1430;942;916;693;948;383;267;340;321.0;132;107;54;69.0;47;36.0;42.0;23.0;41.0;;17;7.0;13.0;18.0;2.0;15.0;;;;;;5231.0
De Wolden-G1690;32;8;4186;1848;1734;2431;786;1047;499;880;511;664;182;454;142;4;165;877.0;22;64;2;33.0;18;28.0;42.0;14.0;17.0;29.0;6;5.0;3.0;;;;;;;0.0;;2922.0
Delft-G0503;127;116;9822;12752;4877;3248;3185;3476;5237;2139;2854;1724;4416;1290;261;1115;433;112.0;584;318;179;194.0;190;99.0;;47.0;34.0;87.0;63;21.0;33.0;;;;;6.0;;7.0;;15202.0
Den Helder-G0400;67;70;7725;3336;5328;3075;2077;1709;976;2732;1139;932;409;868;218;117;520;180.0;130;253;20;126.0;83;59.0;112.0;51.0;44.0;44.0;9;39.0;19.0;31.0;1.0;;;2.0;;;;12276.0
Deurne-G0762;26;37;5773;2298;2415;2938;1611;732;626;911;466;138;256;545;20;79;284;503.0;28;77;5;47.0;48;36.0;40.0;13.0;12.0;20.0;13;3.0;3.0;25.0;;;1.0;;;;;5516.0
