RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Krimpen aan den IJssel-G0542;93;;2623;4845;3922;2085;240.0;187.0;1898.0;223;228.0;181.0;107.0;58.0;45.0;12.0;11.0;;;11.0;3.0;;;;;;;;;;1941.0
Landsmeer-G0415;34;;739;1678;1408;783;157.0;438.0;17.0;120;36.0;1.0;32.0;34.0;6.0;1.0;6.0;14.0;;3.0;1.0;1.0;;;2.0;;;;;;524.0
Langbroek-G0325;10;;486;209;222;93;12.0;6.0;211.0;19;21.0;10.0;7.0;5.0;1.0;3.0;2.0;1.0;;1.0;;;;;;;0.0;;;;74.0
Langedijk-G0416;89;;2824;1493;1550;1020;195.0;216.0;11.0;169;136.0;46.0;19.0;40.0;10.0;16.0;14.0;25.0;;12.0;4.0;2.0;4.0;;1.0;;;;;;881.0
Langerak-G0543;7;;281;244;156;90;5.0;2.0;133.0;2;91.0;65.0;;10.0;2.0;;;;;;;;;;;;;;;;92.0
Laren-G0417;3;;2270;1289;3120;988;201.0;111.0;76.0;223;33.0;27.0;48.0;19.0;15.0;57.0;31.0;;;6.0;4.0;5.0;2.0;;;4.0;1.0;;4.0;2.0;1084.0
Leek-G0022;43;;2661;3475;1615;1011;159.0;90.0;33.0;155;138.0;577.0;38.0;105.0;15.0;12.0;57.0;3.0;11.0;3.0;1.0;;2.0;;;;;;;;949.0
Leende-G0805;14;;1654;177;447;178;23.0;2.0;;27;3.0;4.0;9.0;1.0;4.0;16.0;4.0;2.0;4.0;1.0;8.0;;;;0.0;;;;;;158.0
Leens-G0023;8;;710;721;286;133;67.0;37.0;6.0;46;30.0;291.0;6.0;25.0;3.0;2.0;3.0;;1.0;6.0;;;1.0;;;;;;;;189.0
Leerbroek-G0544;10;;229;54;78;45;1.0;4.0;266.0;3;33.0;9.0;;1.0;;;2.0;;;3.0;;;;;;;;;;;60.0
Leerdam-G0545;57;;2206;2943;1417;912;55.0;110.0;761.0;74;379.0;145.0;39.0;54.0;7.0;3.0;21.0;;;5.0;3.0;;2.0;;;;;;;;1105.0
Leersum-G0326;19;;1005;819;1356;417;37.0;26.0;271.0;69;86.0;34.0;14.0;24.0;2.0;1.0;4.0;4.0;5.0;;1.0;1.0;;;;;0.0;;;;285.0
Leeuwarden-G0080;290;;13040;23581;6968;5695;1647.0;871.0;181.0;1216;739.0;570.0;273.0;477.0;151.0;49.0;29.0;38.0;128.0;16.0;6.0;18.0;7.0;;;;;;;;6643.0
Leeuwarderadeel-G0081;21;;1593;1957;709;634;107.0;39.0;12.0;87;77.0;32.0;29.0;57.0;1.0;1.0;2.0;1.0;2.0;;1.0;3.0;1.0;;;;;;;;400.0
Leiden-G0546;499;;12816;23436;12242;8485;2574.0;1966.0;446.0;2114;463.0;263.0;427.0;317.0;481.0;100.0;80.0;;;53.0;16.0;;25.0;;;;;;;;10840.0
Leiderdorp-G0547;76;;3481;2411;3785;1863;322.0;107.0;110.0;390;104.0;65.0;81.0;131.0;50.0;9.0;19.0;;;9.0;3.0;;;;;;;;;;1566.0
Leidschendam-G0548;106;;6744;3261;4807;2650;347.0;142.0;58.0;391;73.0;97.0;186.0;84.0;158.0;81.0;23.0;;;25.0;9.0;;6.0;;;;;;;;2461.0
Leimuiden-G0549;24;;1244;324;593;252;30.0;16.0;21.0;39;19.0;1.0;4.0;30.0;;4.0;7.0;;;6.0;;;;;;;;;;;304.0
Lekkerkerk-G0550;41;;658;1607;1143;593;63.0;39.0;396.0;43;56.0;8.0;24.0;21.0;3.0;;9.0;;;2.0;;;;;;;;;;;414.0
Lelystad-G0995;71;;3965;8197;4178;3658;399.0;1408.0;104.0;625;211.0;169.0;197.0;172.0;52.0;26.0;43.0;71.0;164.0;55.0;;;7.0;;;;;;;;4336.0
Lemsterland-G0082;34;;2106;2030;754;717;63.0;289.0;81.0;88;140.0;24.0;21.0;66.0;2.0;4.0;11.0;3.0;7.0;3.0;1.0;2.0;3.0;;;;;;;;733.0
Leusden-G0327;49;;4430;1673;3484;1592;205.0;84.0;283.0;379;160.0;338.0;68.0;100.0;16.0;38.0;10.0;9.0;21.0;8.0;;8.0;1.0;;;;1.0;;;;1054.0
Lexmond-G0551;6;;592;349;263;88;15.0;12.0;226.0;17;50.0;13.0;3.0;2.0;;;3.0;;;;;;;;;;;;;;104.0
Lichtenvoorde-G0260;65;;6610;1384;1094;951;168.0;24.0;2.0;201;13.0;2.0;27.0;30.0;9.0;42.0;35.0;5.0;8.0;2.0;;2.0;2.0;2.0;0.0;;;;;;886.0
Liempde-G0806;13;;1492;432;218;232;33.0;7.0;1.0;29;1.0;2.0;2.0;3.0;4.0;16.0;12.0;;2.0;1.0;;;;;2.0;;;;;;231.0
Lienden-G0261;31;;832;1620;787;289;37.0;13.0;311.0;30;58.0;6.0;5.0;10.0;;2.0;22.0;1.0;2.0;;;1.0;;1.0;0.0;;;;;;353.0
Lieshout-G0807;12;;1907;575;366;259;38.0;27.0;22.0;42;1.0;;3.0;3.0;8.0;7.0;19.0;2.0;9.0;7.0;3.0;;1.0;;0.0;;;;;;382.0
Limbricht-G0931;28;;1671;642;458;449;36.0;16.0;;65;;;5.0;1.0;6.0;18.0;10.0;3.0;2.0;1.0;1.0;;;3.0;1.0;;;;;;377.0
Limmen-G0418;24;;1349;457;615;336;68.0;69.0;2.0;57;7.0;2.0;8.0;15.0;2.0;16.0;27.0;1.0;;5.0;;;;;0.0;;;;;;336.0
Linne-G0932;17;;1137;489;348;285;18.0;18.0;1.0;35;2.0;;1.0;3.0;3.0;29.0;4.0;1.0;3.0;1.0;2.0;;1.0;1.0;0.0;;;;;;317.0
Linschoten-G0328;11;;936;249;550;244;27.0;12.0;254.0;55;67.0;4.0;8.0;18.0;5.0;3.0;5.0;4.0;5.0;1.0;;;1.0;;;;0.0;;;;136.0
Lisse-G0553;75;;4779;1630;2707;1294;201.0;99.0;603.0;249;230.0;51.0;56.0;31.0;11.0;46.0;19.0;;;13.0;7.0;;2.0;;;;;;;;1214.0
Lith-G0808;22;;1832;597;460;330;34.0;6.0;1.0;29;1.0;3.0;12.0;4.0;69.0;24.0;24.0;1.0;6.0;2.0;;;1.0;;2.0;;;;;;444.0
Lochem-G0262;52;;2908;3420;2961;1534;207.0;78.0;16.0;219;73.0;17.0;62.0;87.0;27.0;20.0;47.0;15.0;19.0;5.0;;;1.0;;;;;;;;1037.0
Loenen-G0329;25;;1427;745;1230;490;84.0;58.0;122.0;103;94.0;32.0;24.0;10.0;5.0;9.0;6.0;6.0;8.0;3.0;;1.0;1.0;;;;0.0;;;;415.0
Loon op Zand-G0809;79;;5625;2542;1861;1124;156.0;67.0;100.0;144;12.0;6.0;29.0;12.0;9.0;35.0;47.0;6.0;18.0;11.0;4.0;1.0;1.0;;4.0;;;;;;1568.0
Loosdrecht-G0330;38;;1538;720;2082;639;105.0;46.0;89.0;64;64.0;33.0;46.0;27.0;2.0;4.0;8.0;1.0;8.0;4.0;;2.0;;;;;1.0;;;;572.0
Lopik-G0331;22;;1979;880;658;431;46.0;25.0;404.0;43;103.0;25.0;12.0;33.0;3.0;4.0;7.0;3.0;11.0;7.0;1.0;1.0;;;;;0.0;;;;423.0
Loppersum-G0024;7;;827;740;299;180;61.0;23.0;10.0;33;69.0;140.0;9.0;71.0;1.0;;3.0;4.0;2.0;1.0;;;;;;;;;;;198.0
Losser-G0168;58;;6932;3159;1368;1221;89.0;178.0;16.0;242;37.0;11.0;43.0;19.0;15.0;28.0;22.0;10.0;22.0;7.0;3.0;1.0;1.0;;;;;;;;1561.0
Luyksgestel-G0810;10;;1006;178;176;157;19.0;3.0;4.0;13;;;3.0;2.0;1.0;8.0;5.0;1.0;3.0;1.0;8.0;;;;0.0;;;;;;109.0
Maarheeze-G0811;28;;2922;578;941;471;57.0;32.0;3.0;70;12.0;4.0;12.0;3.0;6.0;15.0;12.0;2.0;9.0;1.0;1.0;;2.0;;2.0;;;;;;633.0
Maarn-G0332;26;;1074;605;1371;485;32.0;25.0;176.0;72;27.0;19.0;37.0;24.0;2.0;4.0;4.0;1.0;8.0;1.0;;1.0;1.0;;;;0.0;;;;216.0
Maarssen-G0333;99;;4583;4265;4257;2567;304.0;168.0;197.0;408;286.0;55.0;103.0;94.0;62.0;16.0;18.0;30.0;49.0;11.0;4.0;7.0;1.0;;;;6.0;;;;2244.0
Maartensdijk-G0334;30;;1577;889;1488;698;79.0;36.0;607.0;103;207.0;34.0;34.0;39.0;7.0;1.0;12.0;5.0;8.0;6.0;2.0;3.0;;;;;1.0;;;;550.0
Maasbracht-G0933;48;;2088;993;669;484;57.0;19.0;6.0;55;35.0;5.0;11.0;3.0;9.0;25.0;24.0;2.0;8.0;13.0;2.0;3.0;1.0;7.0;1.0;;;;;;1080.0
Maasbree-G0934;32;;3870;598;860;646;99.0;26.0;8.0;98;3.0;1.0;13.0;1.0;13.0;36.0;11.0;;9.0;6.0;1.0;2.0;1.0;1.0;3.0;;;;;;962.0
Maasdam-G0554;17;;389;541;555;223;13.0;17.0;193.0;9;23.0;10.0;7.0;4.0;3.0;;6.0;;;1.0;;;;;;;;;;;179.0
Maasdriel-G0263;34;;2853;826;692;403;42.0;23.0;16.0;30;6.0;2.0;5.0;5.0;47.0;13.0;9.0;1.0;4.0;1.0;;;;1.0;1.0;;;;;;613.0
Maasland-G0555;17;;1799;337;907;323;18.0;11.0;57.0;44;97.0;23.0;12.0;46.0;3.0;2.0;4.0;;;3.0;;;1.0;;;;;;;;231.0
Maassluis-G0556;83;;4764;5604;4009;2765;213.0;279.0;247.0;311;388.0;134.0;138.0;161.0;53.0;11.0;25.0;;;29.0;5.0;;3.0;;;;;;;;2873.0
Maastricht-G0935;571;;20207;24672;8290;6882;1346.0;897.0;44.0;1295;98.0;38.0;202.0;64.0;112.0;655.0;94.0;38.0;174.0;114.0;65.0;17.0;10.0;65.0;20.0;;;;;;16097.0
Made en Drimmelen-G0812;48;;2985;2069;809;887;71.0;49.0;8.0;87;10.0;6.0;25.0;6.0;12.0;20.0;29.0;1.0;7.0;16.0;4.0;1.0;;;5.0;;;;;;1011.0
Margraten-G0936;24;;992;382;343;252;38.0;9.0;2.0;38;;2.0;8.0;3.0;1.0;37.0;4.0;;2.0;9.0;3.0;;;7.0;1.0;;;;;;262.0
Mariekerke-G0686;7;;710;125;218;103;10.0;3.0;718.0;20;75.0;25.0;9.0;31.0;1.0;;3.0;;;1.0;;1.0;;;;;;;;;92.0
Markelo-G0169;19;;1180;1377;1403;514;33.0;8.0;33.0;45;41.0;3.0;21.0;7.0;10.0;3.0;50.0;;6.0;;1.0;;;;;;;;;;363.0
Marken-G0419;5;;677;277;188;123;4.0;4.0;3.0;12;22.0;2.0;5.0;67.0;;;;;;;;;;;0.0;;;;;;94.0
Marum-G0025;24;;1513;1829;870;455;76.0;80.0;15.0;77;98.0;109.0;27.0;54.0;6.0;1.0;60.0;1.0;13.0;3.0;4.0;2.0;2.0;;;;;;;;567.0
Maurik-G0264;19;;926;1675;720;245;31.0;13.0;81.0;41;20.0;7.0;1.0;9.0;1.0;1.0;11.0;1.0;2.0;1.0;;;;0.0;0.0;;;;;;304.0
Medemblik-G0420;31;;1320;1071;595;443;56.0;191.0;8.0;65;97.0;9.0;20.0;14.0;4.0;10.0;14.0;4.0;;3.0;5.0;1.0;;;5.0;;;;;;577.0
Meeden-G0026;8;;229;619;125;79;21.0;30.0;5.0;17;27.0;27.0;4.0;15.0;1.0;1.0;2.0;;3.0;;1.0;;1.0;;;;;;;;89.0
Meerkerk-G0557;12;;594;401;416;173;18.0;11.0;170.0;16;68.0;5.0;5.0;16.0;1.0;1.0;9.0;;;;;;;;;;;;;;157.0
Meerlo-Wanssum-G0993;24;;2604;503;491;415;57.0;9.0;5.0;70;;;7.0;4.0;8.0;29.0;10.0;1.0;6.0;6.0;3.0;;1.0;2.0;0.0;;;;;;474.0
Meerssen-G0938;45;;2372;1400;701;534;65.0;44.0;4.0;85;6.0;9.0;12.0;7.0;7.0;75.0;7.0;1.0;3.0;17.0;2.0;;;10.0;0.0;;;;;;914.0
Megen, Haren en Macharen-G0813;8;;1065;288;154;157;31.0;1.0;;34;1.0;2.0;3.0;1.0;51.0;12.0;5.0;;2.0;;;;;;5.0;;;;;;176.0
Meijel-G0941;15;;1968;366;215;268;33.0;10.0;3.0;40;4.0;1.0;5.0;1.0;2.0;13.0;18.0;1.0;4.0;;;3.0;;1.0;0.0;;;;;;622.0
Melick en Herkenbosch-G0939;20;;1849;887;744;538;39.0;19.0;2.0;75;;2.0;19.0;4.0;3.0;14.0;12.0;1.0;;4.0;4.0;;1.0;1.0;0.0;;;;;;560.0
Menaldumadeel-G0083;54;;2806;2833;1268;769;109.0;45.0;32.0;125;112.0;19.0;28.0;64.0;3.0;5.0;17.0;1.0;10.0;3.0;;;;;;;;;;;610.0
Meppel-G0119;53;;3607;5389;2572;1553;202.0;102.0;42.0;221;228.0;277.0;59.0;113.0;48.0;10.0;25.0;9.0;;5.0;1.0;1.0;2.0;;;;;;;;1581.0
Merkelbeek-G0940;16;;561;313;129;110;29.0;8.0;2.0;22;;4.0;3.0;3.0;2.0;16.0;2.0;1.0;1.0;6.0;3.0;;;1.0;4.0;;;;;;138.0
Mheer-G0942;6;;618;172;161;131;6.0;5.0;;18;;1.0;2.0;;;26.0;7.0;;;1.0;;;;0.0;0.0;;;;;;108.0
Middelburg-G0687;73;;6177;6367;3612;2485;513.0;201.0;1619.0;821;604.0;312.0;113.0;211.0;12.0;14.0;24.0;23.0;;12.0;4.0;14.0;6.0;;;;;;;;3539.0
Middelharnis-G0559;67;;1709;2781;1326;865;96.0;39.0;1935.0;105;360.0;59.0;45.0;46.0;9.0;6.0;19.0;;;3.0;4.0;;;;;;;;;;1263.0
Middelstum-G0027;12;;794;485;157;105;37.0;12.0;1.0;34;95.0;117.0;9.0;28.0;3.0;;2.0;;1.0;;;;;;;;;;;;123.0
Middenschouwen-G0688;4;;514;364;359;111;6.0;3.0;122.0;20;86.0;24.0;9.0;10.0;1.0;;4.0;;;1.0;;1.0;;;;;;;;;106.0
Midwolda-G0028;16;;910;986;182;155;24.0;153.0;3.0;32;157.0;11.0;1.0;40.0;5.0;;3.0;1.0;3.0;1.0;2.0;1.0;1.0;;;;;;;;257.0
Mierlo-G0814;24;;2795;1105;999;603;60.0;29.0;9.0;100;1.0;;16.0;2.0;9.0;17.0;11.0;;5.0;2.0;5.0;;2.0;;3.0;;;;;;617.0
Mijdrecht-G0336;57;;3168;1023;1959;833;93.0;33.0;119.0;165;169.0;44.0;23.0;45.0;5.0;16.0;11.0;11.0;22.0;11.0;1.0;2.0;1.0;;;;1.0;;;;843.0
Mijnsheerenland-G0564;14;;670;494;941;284;40.0;6.0;91.0;19;32.0;11.0;13.0;18.0;2.0;;;;;;;;;;;;;;;;205.0
Mill en Sint Hubert-G0815;24;;3776;1057;575;589;79.0;34.0;2.0;95;2.0;;10.0;11.0;19.0;33.0;19.0;3.0;5.0;8.0;;;;;3.0;;;;;;680.0
Millingen aan de Rijn-G0265;22;;1178;1129;219;397;34.0;23.0;1.0;90;;;9.0;3.0;7.0;12.0;8.0;1.0;5.0;1.0;;;1.0;2.0;0.0;;;;;;437.0
Moergestel-G0816;25;;1828;549;494;257;31.0;10.0;2.0;58;;;11.0;1.0;5.0;3.0;8.0;1.0;3.0;4.0;1.0;;1.0;;1.0;;;;;;324.0
Moerkapelle-G0560;9;;364;263;271;161;14.0;6.0;458.0;10;59.0;7.0;2.0;5.0;6.0;;;;;;;;2.0;;;;;;;;170.0
Molenaarsgraaf-G0561;6;;198;84;86;52;5.0;2.0;124.0;2;17.0;4.0;;;;;1.0;;;1.0;;;;;;;;;;;43.0
Monnickendam-G0423;38;;1367;1535;1285;824;142.0;219.0;3.0;138;23.0;9.0;53.0;54.0;3.0;10.0;10.0;19.0;;8.0;3.0;4.0;1.0;;1.0;;;;;;659.0
Monster-G0562;83;;5165;1642;2422;857;100.0;45.0;591.0;121;155.0;171.0;69.0;58.0;4.0;46.0;21.0;;;13.0;6.0;;2.0;;;;;;;;1706.0
Montfoort-G0335;6;;1584;480;803;414;36.0;20.0;148.0;106;30.0;8.0;10.0;20.0;5.0;17.0;9.0;7.0;8.0;3.0;1.0;2.0;;;;;1.0;;;;324.0
Montfort-G0943;23;;868;405;218;178;12.0;13.0;2.0;17;1.0;;5.0;;6.0;15.0;14.0;;6.0;4.0;;;;2.0;0.0;;;;;;343.0
Mook en Middelaar-G0944;29;;1624;640;819;489;115.0;25.0;1.0;112;6.0;3.0;10.0;6.0;32.0;12.0;7.0;2.0;3.0;2.0;5.0;1.0;;1.0;0.0;;;;;;409.0
Moordrecht-G0563;66;;772;967;671;509;49.0;38.0;221.0;70;47.0;12.0;24.0;40.0;5.0;2.0;5.0;;;;4.0;;;;;;;;;;683.0
Muiden-G0424;32;;1173;1037;1164;746;98.0;66.0;34.0;97;24.0;14.0;39.0;29.0;2.0;5.0;8.0;;;;;3.0;1.0;;;6.0;1.0;;1.0;0.0;415.0
Munstergeleen-G0945;20;;1329;727;457;429;36.0;21.0;1.0;74;2.0;1.0;10.0;1.0;1.0;9.0;9.0;;8.0;4.0;;2.0;;9.0;1.0;;;;;;331.0
Muntendam-G0029;16;;232;1903;228;234;31.0;212.0;1.0;29;87.0;15.0;6.0;17.0;5.0;;3.0;;3.0;4.0;1.0;1.0;3.0;;;;;;;;373.0
Naaldwijk-G0565;87;;7609;2073;3571;1283;143.0;47.0;190.0;157;163.0;70.0;71.0;69.0;16.0;72.0;30.0;;;16.0;6.0;;1.0;;;;;;;;1728.0
Naarden-G0425;5;;2420;1802;4192;1479;233.0;120.0;212.0;187;88.0;57.0;125.0;36.0;9.0;31.0;24.0;;;5.0;7.0;13.0;2.0;;;7.0;4.0;;2.0;0.0;1185.0
Nederhorst den Berg-G0426;38;;988;603;762;334;33.0;50.0;20.0;89;16.0;23.0;15.0;18.0;1.0;7.0;5.0;;;;;;1.0;;;1.0;0.0;;1.0;1.0;297.0
Nederweert-G0946;75;;4998;1767;831;770;68.0;29.0;4.0;100;4.0;2.0;21.0;7.0;11.0;46.0;35.0;4.0;2.0;5.0;6.0;;1.0;3.0;1.0;;;;;;1276.0
Neede-G0266;29;;2376;2566;1088;676;77.0;30.0;12.0;96;57.0;75.0;40.0;13.0;16.0;7.0;14.0;4.0;9.0;2.0;;1.0;1.0;0.0;0.0;;;;;;615.0
Neer-G0947;15;;1235;300;227;213;23.0;10.0;2.0;39;2.0;;5.0;3.0;;21.0;7.0;;;;14.0;;;2.0;0.0;;;;;;389.0
Neerijnen-G0304;42;;1619;2102;1076;505;67.0;32.0;693.0;71;56.0;34.0;17.0;33.0;2.0;3.0;27.0;1.0;14.0;;4.0;;1.0;0.0;2.0;;;;;;648.0
Niedorp-G0412;37;;1411;1392;911;658;155.0;104.0;4.0;98;7.0;6.0;19.0;8.0;6.0;14.0;6.0;3.0;;;2.0;;1.0;;2.0;;;;;;503.0
Nieuw-Beijerland-G0566;8;;232;430;438;206;12.0;9.0;360.0;23;57.0;10.0;7.0;10.0;1.0;1.0;2.0;;;1.0;1.0;;;;;;;;;;167.0
Nieuwe Pekela-G0030;14;;872;1359;390;208;34.0;213.0;25.0;40;130.0;14.0;4.0;26.0;10.0;13.0;4.0;1.0;5.0;3.0;2.0;;;;;;;;;;423.0
Nieuwegein-G0356;21;;6493;6223;5153;3893;464.0;339.0;497.0;566;178.0;157.0;119.0;129.0;103.0;58.0;45.0;56.0;53.0;16.0;14.0;21.0;4.0;;;;16.0;;;;3876.0
Nieuwenhagen-G0948;66;;1999;1791;781;705;82.0;136.0;8.0;118;9.0;5.0;17.0;3.0;45.0;31.0;25.0;6.0;16.0;111.0;;3.0;1.0;9.0;2.0;;;;;;1211.0
Nieuwerkerk aan den IJssel-G0567;48;;1764;2179;2125;1101;112.0;70.0;601.0;101;199.0;61.0;58.0;38.0;16.0;7.0;16.0;;;3.0;3.0;;4.0;;;;;;;;1101.0
Nieuweschans-G0031;15;;90;643;93;88;24.0;286.0;;22;;2.0;;1.0;;;3.0;;1.0;4.0;;1.0;3.0;;;;;;;;121.0
Nieuw-Ginneken-G0817;41;;3111;1103;1447;739;69.0;25.0;8.0;91;5.0;4.0;23.0;4.0;;21.0;38.0;;8.0;7.0;9.0;2.0;2.0;;3.0;;;;;;708.0
Nieuwkoop-G0569;42;;2078;893;1313;611;94.0;50.0;123.0;135;91.0;10.0;27.0;46.0;10.0;16.0;14.0;;;2.0;3.0;;;;;;;;;;675.0
Nieuwland-G0570;1;;141;84;73;25;7.0;3.0;89.0;4;51.0;8.0;3.0;2.0;;;3.0;;;;;;;;;;;;;;30.0
Nieuw-Lekkerland-G0571;23;;801;1365;386;444;52.0;39.0;1120.0;59;155.0;74.0;10.0;33.0;5.0;;5.0;;;;2.0;;;;;;;;;;499.0
Nieuwleusen-G0170;9;;2127;829;622;382;22.0;10.0;149.0;33;92.0;176.0;10.0;26.0;1.0;2.0;51.0;1.0;5.0;14.0;3.0;1.0;;;;;;;;;520.0
Nieuwolda-G0032;2;;236;504;162;58;24.0;25.0;3.0;14;11.0;7.0;13.0;7.0;3.0;2.0;;;2.0;;;;1.0;;;;;;;;89.0
Nieuwpoort-G0572;4;;183;151;112;67;8.0;1.0;119.0;4;60.0;17.0;2.0;4.0;;;3.0;;;;;;;;;;;;;;54.0
Nieuwstadt-G0949;24;;873;526;234;272;34.0;12.0;;55;;;4.0;3.0;4.0;10.0;9.0;;6.0;11.0;;1.0;2.0;4.0;1.0;;;;;;248.0
Nieuwveen-G0573;9;;812;209;340;158;22.0;5.0;43.0;37;9.0;4.0;13.0;11.0;1.0;4.0;;;;;;;;;;;;;;;463.0
Nieuw-Vossemeer-G0818;7;;546;571;172;121;21.0;4.0;2.0;23;2.0;2.0;16.0;;4.0;5.0;4.0;;1.0;2.0;;;;;1.0;;;;;;54.0
Nigtevecht-G0337;6;;248;165;193;115;3.0;11.0;4.0;13;2.0;1.0;4.0;5.0;;;1.0;4.0;4.0;;;;;;;;0.0;;;;120.0
Nijeveen-G0121;6;;786;404;351;178;11.0;4.0;2.0;20;26.0;15.0;1.0;12.0;2.0;;3.0;1.0;;;;;;;;;;;;;89.0
Nijkerk-G0267;45;;5952;2671;2141;1143;76.0;40.0;1011.0;184;635.0;192.0;62.0;117.0;9.0;8.0;36.0;5.0;16.0;3.0;;;2.0;;;;;;;;1481.0
Nijmegen-G0268;537;;27537;27817;9841;10300;7223.0;1796.0;65.0;4119;164.0;102.0;258.0;262.0;1746.0;234.0;91.0;57.0;197.0;60.0;48.0;37.0;47.0;38.0;19.0;;;;;;16819.0
Nistelrode-G0819;25;;2299;640;299;358;51.0;11.0;1.0;49;2.0;3.0;5.0;2.0;62.0;3.0;11.0;2.0;2.0;2.0;1.0;;;;2.0;;;;;;538.0
Noorbeek-G0950;3;;422;110;101;68;7.0;5.0;1.0;3;5.0;;2.0;;;23.0;1.0;;;2.0;5.0;;;0.0;1.0;;;;;;
Noordeloos-G0574;3;;277;125;183;70;2.0;3.0;158.0;7;126.0;4.0;1.0;9.0;;;1.0;;;;;;;;;;;;;;60.0
Noorder-Koggenland-G0529;35;;1294;1386;1392;728;129.0;84.0;103.0;122;119.0;4.0;49.0;8.0;15.0;6.0;19.0;11.0;;1.0;1.0;2.0;;;0.0;;;;;;788.0
Noordoostpolder-G0171;81;;8923;4818;3886;2346;285.0;221.0;413.0;329;804.0;468.0;78.0;257.0;16.0;21.0;29.0;19.0;31.0;19.0;5.0;3.0;1.0;;;;;;;;2346.0
Noordwijk-G0575;132;;5100;2302;3476;1474;345.0;139.0;125.0;593;118.0;55.0;54.0;111.0;26.0;39.0;17.0;;;17.0;4.0;;6.0;;;;;;;;2696.0
Noordwijkerhout-G0576;78;;3829;1021;2079;950;240.0;127.0;18.0;235;20.0;12.0;30.0;17.0;9.0;94.0;9.0;;;8.0;6.0;;2.0;;;;;;;;1082.0
Nootdorp-G0577;46;;1714;429;901;390;61.0;22.0;20.0;65;26.0;11.0;18.0;9.0;7.0;11.0;8.0;;;4.0;2.0;;;;;;;;;;486.0
Norg-G0120;8;;666;1341;1274;413;48.0;24.0;7.0;122;32.0;41.0;14.0;23.0;3.0;;23.0;4.0;;1.0;;3.0;;;;;;;;;331.0
Nuenen, Gerwen en Nederwetten-G0820;26;;4622;1607;2067;1365;167.0;52.0;5.0;268;30.0;16.0;45.0;16.0;7.0;21.0;11.0;2.0;16.0;12.0;2.0;;2.0;;2.0;;;;;;963.0
Nuland-G0821;20;;1501;338;185;211;22.0;7.0;1.0;25;1.0;1.0;2.0;;65.0;5.0;4.0;;4.0;2.0;;;;;1.0;;;;;;280.0
Numansdorp-G0578;26;;936;1894;938;573;36.0;28.0;298.0;58;52.0;19.0;22.0;26.0;4.0;2.0;7.0;;;;2.0;;;;;;;;;;484.0
Nunspeet-G0302;57;;4641;1613;2470;929;65.0;55.0;2678.0;148;1377.0;94.0;64.0;146.0;15.0;11.0;59.0;5.0;11.0;6.0;;;;;;;;;;;710.0
Nuth-G0951;48;;2088;1282;497;502;95.0;34.0;5.0;168;3.0;3.0;16.0;2.0;11.0;57.0;20.0;4.0;6.0;19.0;;1.0;1.0;7.0;2.0;;;;;;604.0
Obbicht en Papenhoven-G0952;8;;795;431;153;237;21.0;29.0;1.0;24;1.0;;3.0;1.0;;5.0;5.0;5.0;4.0;1.0;8.0;2.0;;4.0;0.0;;;;;;221.0
Obdam-G0429;25;;1591;497;643;354;61.0;51.0;1.0;96;8.0;1.0;18.0;6.0;4.0;19.0;7.0;2.0;;6.0;4.0;1.0;;;1.0;;;;;;327.0
Odoorn-G0122;39;;1479;3958;1565;588;95.0;142.0;11.0;93;186.0;87.0;16.0;39.0;3.0;7.0;26.0;2.0;;3.0;1.0;1.0;1.0;;;;;;;;677.0
Oeffelt-G0822;7;;813;209;134;179;24.0;5.0;1.0;22;;;4.0;2.0;1.0;14.0;6.0;;2.0;;;;;;0.0;;;;;;103.0
Oegstgeest-G0579;68;;2824;1340;3386;1201;218.0;66.0;59.0;304;81.0;103.0;81.0;72.0;6.0;20.0;14.0;;;9.0;3.0;;1.0;;;;;;;;1092.0
Ohé en Laak-G0953;7;;354;50;75;52;11.0;;1.0;9;;1.0;6.0;;1.0;6.0;3.0;;;;;;;0.0;0.0;;;;;;59.0
Oirsbeek-G0954;19;;1541;567;413;369;33.0;17.0;;71;;2.0;12.0;2.0;6.0;19.0;6.0;;3.0;16.0;1.0;;;0.0;1.0;;;;;;248.0
Oirschot-G0823;34;;3813;1079;692;586;69.0;37.0;4.0;107;8.0;4.0;14.0;3.0;15.0;29.0;27.0;4.0;5.0;7.0;6.0;;;;0.0;;;;;;932.0
Oisterwijk-G0824;55;;3854;2428;2074;1219;151.0;100.0;8.0;156;25.0;2.0;26.0;20.0;11.0;37.0;32.0;5.0;20.0;4.0;2.0;4.0;1.0;;4.0;;;;;;1090.0
Oldebroek-G0269;50;;3512;2284;1074;668;42.0;14.0;2057.0;84;1676.0;177.0;32.0;112.0;13.0;6.0;42.0;5.0;4.0;2.0;;;1.0;;;;;;;;1373.0
