RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Evangelische Volkspartij;SP;Rooms Katholieke Partij Nederland;Rechtse Volkspartij;CP;Nederlandse Volks Unie (NVU);Leefbaar Nederland;Samen Overleven of Sterven;Realisten 81;Internationale Kommunistenbond;God Met Ons;Wereld Welzijns Bewustwording;Partij tot Likwidatie van Nederland;De Vrede Partij;Partij van Rijksgenoten;Kleine Partij;Nederlandse Evolutie Partij;@abs
Harlingen-G0072;56;;2300;3650;1406;1100;129.0;133.0;21.0;132;138.0;302.0;40.0;95.0;13.0;19.0;5.0;10.0;25.0;1.0;3.0;5.0;;;;;;;;;1181.0
Harmelen-G0318;26;;1820;518;1114;564;52.0;25.0;117.0;107;37.0;6.0;12.0;23.0;5.0;10.0;9.0;3.0;6.0;7.0;;;;;;;2.0;;;;516.0
Haskerland-G0073;43;;3654;3153;1131;1059;85.0;115.0;50.0;156;104.0;30.0;32.0;107.0;9.0;5.0;20.0;1.0;7.0;6.0;2.0;2.0;3.0;;;;;;;;972.0
Hasselt-G0161;8;;1365;715;388;288;16.0;9.0;227.0;26;410.0;330.0;6.0;37.0;6.0;3.0;9.0;;1.0;2.0;2.0;;;;;;;;;;293.0
Hattem-G0244;30;;2227;2136;1080;583;41.0;51.0;91.0;90;423.0;634.0;36.0;73.0;7.0;3.0;6.0;2.0;10.0;7.0;;;;;;;;;;;410.0
Havelte-G0117;7;;503;1676;1149;393;39.0;20.0;5.0;56;27.0;7.0;12.0;8.0;;3.0;12.0;1.0;;1.0;;1.0;;;;;;;;;304.0
Hazerswoude-G0524;39;;2618;898;1347;722;118.0;46.0;234.0;193;185.0;21.0;33.0;30.0;5.0;12.0;3.0;;;1.0;2.0;;1.0;;;;;;;;603.0
Hedel-G0245;8;;879;435;327;210;28.0;11.0;232.0;12;10.0;17.0;8.0;4.0;2.0;7.0;2.0;3.0;4.0;;;;;0.0;0.0;;;;;;236.0
Heel en Panheel-G0915;21;;1105;397;343;330;39.0;5.0;7.0;79;1.0;2.0;6.0;;;7.0;10.0;1.0;4.0;5.0;;;;2.0;0.0;;;;;;1029.0
Heemskerk-G0396;168;;5562;5064;2882;2628;558.0;456.0;35.0;528;100.0;62.0;130.0;74.0;34.0;50.0;33.0;;;16.0;5.0;9.0;1.0;;;11.0;6.0;;10.0;6.0;2863.0
Heemstede-G0397;203;;5240;2351;6694;1961;298.0;165.0;50.0;442;143.0;39.0;179.0;80.0;9.0;60.0;9.0;;;13.0;8.0;4.0;2.0;;;10.0;1.0;;2.0;1.0;1963.0
Heerde-G0246;44;;3760;3374;1447;817;88.0;33.0;451.0;120;888.0;208.0;34.0;82.0;12.0;4.0;94.0;3.0;8.0;6.0;;;2.0;;;;;;;;862.0
Heerenveen-G0074;114;;4809;9829;3376;2756;390.0;1171.0;48.0;449;270.0;192.0;84.0;190.0;23.0;9.0;35.0;4.0;31.0;6.0;5.0;7.0;7.0;;;;;;;;2741.0
Heerewaarden-G0247;4;;92;406;187;64;11.0;3.0;3.0;8;1.0;;2.0;;2.0;;2.0;;;2.0;;;;0.0;0.0;;;;;;47.0
Heerhugowaard-G0398;96;;5541;3805;3639;2649;501.0;371.0;20.0;398;118.0;46.0;103.0;89.0;15.0;21.0;30.0;45.0;;11.0;8.0;3.0;3.0;;2.0;;;;;;2503.0
Heerjansdam-G0526;9;;614;580;469;277;35.0;9.0;77.0;25;54.0;8.0;9.0;18.0;1.0;1.0;;;;3.0;;;1.0;;;;;;;;220.0
Heerlen-G0917;270;;15356;11894;4836;4850;689.0;1184.0;32.0;1039;100.0;68.0;173.0;70.0;530.0;284.0;123.0;39.0;166.0;227.0;54.0;10.0;11.0;119.0;15.0;;;;;;10653.0
Heesch-G0791;38;;2953;1148;606;501;53.0;16.0;3.0;83;1.0;;12.0;4.0;183.0;13.0;21.0;3.0;11.0;4.0;1.0;;1.0;;8.0;;;;;;772.0
Heeswijk-Dinther-G0792;29;;3028;588;465;374;83.0;18.0;;99;4.0;;7.0;6.0;25.0;11.0;13.0;1.0;3.0;5.0;4.0;;;;1.0;;;;;;439.0
Heeze-G0793;14;;2665;758;928;539;76.0;18.0;2.0;130;7.0;;14.0;11.0;4.0;22.0;13.0;1.0;5.0;3.0;2.0;;2.0;;4.0;;;;;;612.0
Hefshuizen-G0019;27;;2555;2204;769;450;64.0;113.0;21.0;79;81.0;722.0;20.0;65.0;2.0;14.0;11.0;1.0;6.0;3.0;;1.0;;;;;;;;;589.0
Hei- en Boeicop-G0527;4;;255;76;84;24;8.0;;109.0;7;37.0;1.0;6.0;4.0;;;3.0;;;;;;;;;;;;;;24.0
Heiloo-G0399;96;;4289;2269;4136;1606;304.0;203.0;12.0;326;73.0;34.0;85.0;62.0;10.0;34.0;21.0;38.0;;9.0;3.0;3.0;;;4.0;;;;;;1188.0
Heinenoord-G0528;27;;489;656;410;235;21.0;12.0;161.0;32;41.0;9.0;10.0;14.0;3.0;;7.0;;;2.0;2.0;;;;;;;;;;211.0
Heino-G0162;6;;2233;635;533;358;37.0;16.0;19.0;62;78.0;94.0;8.0;18.0;;10.0;9.0;3.0;1.0;4.0;1.0;1.0;;;;;;;;;231.0
Helden-G0918;50;;6028;1144;940;884;116.0;16.0;4.0;150;2.0;3.0;11.0;2.0;17.0;39.0;19.0;2.0;4.0;6.0;7.0;1.0;1.0;4.0;4.0;;;;;;1666.0
Hellendoorn-G0163;48;;12181;3596;1761;1678;124.0;58.0;191.0;268;564.0;359.0;48.0;135.0;14.0;40.0;73.0;4.0;16.0;3.0;6.0;1.0;2.0;;;;;;;;1551.0
Hellevoetsluis-G0530;54;;1539;5142;2930;2230;238.0;276.0;114.0;195;106.0;45.0;91.0;68.0;71.0;8.0;18.0;;;9.0;4.0;;1.0;;;;;;;;1917.0
Helmond-G0794;185;;12103;11742;3800;3561;420.0;842.0;15.0;523;38.0;10.0;82.0;21.0;254.0;113.0;55.0;28.0;77.0;44.0;17.0;;6.0;;11.0;;;;;;6098.0
Helvoirt-G0795;26;;1469;400;485;287;28.0;23.0;5.0;45;2.0;2.0;6.0;6.0;3.0;10.0;11.0;;7.0;2.0;4.0;;1.0;;0.0;;;;;;267.0
Hemelumer Oldeferd-G0075;17;;1773;448;384;278;35.0;6.0;23.0;47;76.0;32.0;9.0;34.0;5.0;2.0;10.0;2.0;3.0;2.0;1.0;;;;;;;;;;242.0
Hendrik-Ido-Ambacht-G0531;6;;2294;2440;2246;1164;77.0;58.0;1223.0;143;207.0;118.0;45.0;63.0;10.0;12.0;11.0;;;8.0;3.0;;10.0;;;;;;;;1197.0
Hengelo-G0164;141;;15884;14853;6895;5520;984.0;671.0;83.0;991;496.0;324.0;198.0;264.0;306.0;139.0;71.0;28.0;132.0;25.0;6.0;2.0;9.0;;;;;;;;3959.0
Hengelo-G0248;20;;2645;1075;696;473;33.0;13.0;29.0;55;16.0;10.0;21.0;10.0;3.0;8.0;17.0;1.0;4.0;4.0;2.0;;;0.0;1.0;;;;;;535.0
Hennaarderadeel-G0076;11;;1556;477;390;230;54.0;25.0;6.0;79;51.0;17.0;9.0;45.0;6.0;3.0;7.0;1.0;2.0;2.0;2.0;;;;;;;;;;250.0
Herten-G0919;30;;1076;358;337;260;26.0;5.0;4.0;31;3.0;1.0;4.0;4.0;3.0;17.0;2.0;1.0;4.0;4.0;3.0;;;3.0;0.0;;;;;;279.0
Herwen en Aerdt-G0249;22;;1973;1557;498;538;42.0;23.0;6.0;60;6.0;3.0;4.0;7.0;17.0;11.0;15.0;2.0;8.0;2.0;1.0;1.0;;3.0;0.0;;;;;;843.0
Herwijnen-G0250;14;;566;546;163;81;24.0;6.0;48.0;13;74.0;5.0;2.0;6.0;;;3.0;;2.0;;;;;0.0;0.0;;;;;;81.0
Het Bildt-G0063;17;;2047;1795;735;430;90.0;95.0;9.0;94;81.0;22.0;24.0;40.0;8.0;1.0;8.0;1.0;7.0;2.0;1.0;11.0;3.0;;;;;;;;521.0
Heteren-G0251;30;;2233;1077;712;496;55.0;38.0;214.0;79;47.0;19.0;3.0;23.0;6.0;3.0;4.0;;6.0;2.0;;;1.0;2.0;1.0;;;;;;545.0
Heukelum-G0533;5;;412;629;308;197;7.0;13.0;52.0;13;39.0;12.0;6.0;11.0;;;4.0;;;2.0;;;;;;;;;;;151.0
Heumen-G0252;5;;3387;1070;1211;812;123.0;41.0;25.0;209;9.0;3.0;18.0;7.0;26.0;15.0;11.0;;5.0;7.0;;1.0;;3.0;3.0;;;;;;706.0
Heusden-G0797;20;;1279;717;428;380;49.0;36.0;69.0;58;34.0;4.0;12.0;7.0;10.0;6.0;16.0;2.0;13.0;2.0;5.0;;;;2.0;;;;;;503.0
Heythuysen-G0920;32;;1960;451;454;310;28.0;17.0;1.0;53;3.0;4.0;12.0;1.0;4.0;21.0;6.0;5.0;;5.0;2.0;;;1.0;3.0;;;;;;515.0
Hillegom-G0534;70;;4536;2095;2580;1382;292.0;148.0;64.0;260;51.0;17.0;71.0;31.0;19.0;49.0;11.0;;;6.0;2.0;;2.0;;;;;;;;1386.0
Hilvarenbeek-G0798;48;;2690;1043;743;552;79.0;43.0;4.0;130;5.0;2.0;20.0;4.0;9.0;12.0;12.0;4.0;7.0;3.0;1.0;2.0;1.0;;0.0;;;;;;587.0
