RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;SGP-GPV-RPF;D66;SP;De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala;@abs
Gennep-G0907;;11.0;1476;579;478;292;18;203;179;14;12;13;2.0;9512
Giessenlanden-G0689;;12.0;1172;818;980;242;1074;134;84;21;20;9;6.0;6045
Gilze en Rijen-G0784;;13.0;1800;999;918;431;32;257;340;40;42;21;17.0;13077
Goedereede-G0511;;12.0;1123;382;420;81;1749;66;61;6;12;9;5.0;4616
Goes-G0664;;22.0;1786;1349;1280;866;1704;511;314;35;44;56;10.0;19378
Goirle-G0785;;9.0;1430;841;906;629;30;269;378;34;10;2;3.0;12320
Goor-G0156;;13.0;871;932;635;242;85;141;186;12;11;5;7.0;6403
Gorinchem-G0512;;25.0;1135;1539;1458;749;829;377;282;30;35;13;13.0;17679
Gorssel-G0239;;20.0;1176;842;1338;452;94;240;100;11;10;8;9.0;6320
Gouda-G0513;;107.0;2726;3448;3088;2422;2531;1135;939;136;101;51;20.0;34981
Graafstroom-G0693;;11.0;1031;329;391;124;1432;51;41;9;14;3;1.0;3277
Graft-De Rijp-G0365;;4.0;337;363;473;174;11;71;60;5;13;5;5.0;3259
Gramsbergen-G0157;;5.0;942;473;197;78;196;31;43;5;1;3;1.0;2934
Grave-G0786;;8.0;961;488;536;281;27;130;196;24;8;10;1.0;6904
Groenlo-G0240;;5.0;1157;392;323;129;8;52;56;13;5;5;0.0;4881
Groesbeek-G0241;;19.0;1613;1047;597;647;37;172;235;24;19;11;5.0;10577
Groningen-G0014;;273.0;5969;12341;6668;9489;3568;3446;3693;583;108;66;58.0;94489
Grootegast-G0015;;8.0;1509;368;283;152;616;76;70;20;10;4;7.0;5553
Grubbenvorst-G0912;;3.0;740;150;259;94;5;58;39;6;5;2;3.0;3762
Gulpen-Wittem-G1729;;11.0;2339;574;433;429;26;125;182;16;29;28;1.0;7747
Haaksbergen-G0158;;19.0;3496;982;916;359;60;192;185;30;19;12;3.0;11889
Haaren-G0788;;11.0;1436;423;596;307;19;151;115;18;9;2;6.0;7379
Haarlem-G0392;;150.0;5237;8017;6561;5818;1017;2261;1530;249;99;156;93.0;83718
Haarlemmerliede en Spaarnwoude-G0393;;2.0;341;228;277;199;30;80;38;16;10;4;4.0;2682
Haarlemmermeer-G0394;;84.0;4553;3751;6355;2513;1397;1275;577;171;79;115;94.0;60113
Haelen-G0914;;21.0;1250;278;340;198;25;87;91;10;13;18;9.0;5277
Halderberge-G1655;;14.0;2113;982;1259;447;58;370;190;56;52;28;8.0;17023
Hardenberg-G0160;;27.0;4505;1661;1007;458;3233;187;248;34;37;13;8.0;14100
Harderwijk-G0243;;12.0;2932;1227;1620;815;2028;390;316;123;37;14;6.0;19242
Hardinxveld-Giessendam-G0523;;8.0;850;662;410;144;2894;75;76;10;17;6;0.0;7828
Haren-G0017;;22.0;1384;1218;1949;868;586;527;138;62;18;14;4.0;7703
Harenkarspel-G0395;;22.0;890;525;732;330;55;169;104;32;9;4;11.0;8087
Harlingen-G0072;;25.0;923;1051;618;384;263;165;193;22;9;8;9.0;7901
Harmelen-G0318;;6.0;597;257;403;172;131;101;53;18;5;8;3.0;4242
Hasselt-G0161;;5.0;527;354;239;106;1047;41;38;5;0;1;0.0;2963
Hattem-G0244;;5.0;961;702;562;179;1061;144;73;13;4;1;6.0;5153
Heel-G1937;;11.0;966;210;307;110;3;83;46;7;4;3;1.0;4673
Heemskerk-G0396;;10.0;1760;1711;1235;981;187;410;293;52;32;47;43.0;19788
Heemstede-G0397;;25.0;1713;1160;3164;1090;194;649;206;50;20;28;21.0;11534
Heerde-G0246;;23.0;1800;1174;836;267;1372;144;96;23;29;9;8.0;8122
Heerenveen-G0074;;47.0;2355;3265;1986;1142;499;475;452;116;39;14;16.0;20781
Heerhugowaard-G0398;;18.0;1783;1748;1818;979;220;511;356;104;29;33;23.0;24414
Heerjansdam-G0526;;3.0;202;169;202;85;69;57;25;4;6;6;2.0;1894
Heerlen-G0917;;48.0;5897;2860;1779;1722;210;681;3701;76;140;115;38.0;55854
Heeze-Leende-G1658;;24.0;1688;543;941;373;22;240;116;21;9;17;6.0;7741
Heiloo-G0399;;8.0;1360;1192;1752;764;105;435;186;33;18;27;9.0;11071
Heino-G0162;;8.0;1088;370;343;226;197;94;54;12;5;12;0.0;3447
Helden-G0918;;18.0;2426;429;549;279;22;112;151;15;30;7;0.0;10280
Hellendoorn-G0163;;21.0;5092;1364;1014;533;969;239;284;40;21;32;17.0;17592
Hellevoetsluis-G0530;;23.0;784;1527;1646;769;240;387;372;56;47;51;14.0;22083
Helmond-G0794;;53.0;3810;2807;3246;1424;168;637;1590;67;131;42;28.0;44445
Hendrik-Ido-Ambacht-G0531;;20.0;1055;813;945;298;1666;202;123;24;18;15;7.0;10201
Hengelo-G0164;;67.0;5293;4028;2570;2453;821;965;1741;79;61;58;47.0;41911
Hengelo-G0248;;5.0;945;408;403;111;46;77;29;18;19;4;1.0;4459
Het Bildt-G0063;;11.0;1212;635;369;234;98;53;118;21;7;0;2.0;4915
Heteren-G0251;;7.0;759;398;328;201;236;98;45;6;11;2;4.0;4527
Heumen-G0252;;13.0;1440;730;842;574;34;273;187;23;22;7;3.0;7756
Heusden-G0797;;33.0;3129;1470;1835;766;114;511;470;82;66;27;15.0;22940
Heythuysen-G0920;;16.0;1727;257;371;189;12;79;92;16;16;7;13.0;6233
Hillegom-G0534;;14.0;1285;834;1287;479;172;244;161;42;24;16;12.0;11031
Hilvarenbeek-G0798;;14.0;1518;544;579;333;16;142;146;32;15;9;0.0;7576
Hilversum-G0402;;65.0;3611;4157;4959;3051;1242;1496;875;149;119;92;103.0;43994
Hoevelaken-G0253;;6.0;449;334;559;215;567;141;61;19;3;4;6.0;3909
Holten-G0165;;8.0;983;588;742;149;104;110;54;17;5;6;5.0;4166
Hontenisse-G0675;;7.0;611;224;194;102;18;283;52;5;8;114;4.0;4455
Hoogeveen-G0118;;0.0;5096;2736;1627;862;1981;399;393;66;40;24;23.0;27753
Hoogezand-Sappemeer-G0018;;24.0;1175;2320;1263;687;474;318;425;84;23;16;16.0;18434
Hoorn-G0405;;69.0;2051;3122;2540;1823;272;807;703;107;40;56;53.0;35736
Horst-G0923;;11.0;2277;459;401;246;25;119;369;13;13;7;3.0;10634
Houten-G0321;;19.0;1803;1376;1590;1278;998;557;348;39;16;23;6.0;14413
Huissen-G0255;;19.0;1200;712;674;399;52;250;132;25;7;13;6.0;8443
Huizen-G0406;;37.0;1832;1583;2650;1118;1742;683;257;73;35;37;45.0;20359
Hulst-G0677;;8.0;1088;705;587;258;42;581;122;26;48;98;12.0;10558
Hummelo en Keppel-G0256;;7.0;427;387;437;116;31;94;71;5;2;4;1.0;1992
Hunsel-G0925;;9.0;913;138;164;80;3;36;34;7;14;6;0.0;3080
IJsselham-G0195;;11.0;661;388;301;114;143;56;59;14;7;6;5.0;2535
IJsselmuiden-G0191;;4.0;1542;304;306;116;2328;52;38;11;11;6;2.0;5322
IJsselstein-G0353;;18.0;1495;1035;1351;643;475;366;294;41;26;14;11.0;14436
Jacobswoude-G0645;;20.0;937;323;665;238;165;177;71;21;17;12;4.0;5462
Kampen-G0166;;14.0;2508;1268;791;723;2632;231;304;31;28;8;9.0;15670
Kapelle-G0678;;12.0;753;409;489;193;773;201;95;9;14;19;5.0;5254
Katwijk-G0537;;23.0;2197;805;1053;488;3660;173;300;37;35;15;14.0;20764
Kerkrade-G0928;;30.0;3394;1839;642;757;66;236;900;43;110;67;26.0;28784
Kessel-G0929;;16.0;621;139;196;43;4;24;29;6;2;5;1.0;2123
Kesteren-G0258;;0.0;323;385;265;98;1073;70;44;7;11;4;2.0;4857
Kollumerland en Nieuwkruisland-G0079;;9.0;1835;493;310;186;344;47;109;25;14;4;3.0;6277
Korendijk-G0588;;5.0;478;423;489;188;913;101;68;25;19;15;4.0;5192
Krimpen aan den IJssel-G0542;;18.0;1055;1440;1447;481;2410;356;172;23;37;24;6.0;14157
Laarbeek-G1659;;14.0;1939;844;1140;443;27;183;299;26;30;7;5.0;11277
Landerd-G1685;;20.0;1779;560;597;199;12;97;350;28;7;7;2.0;7115
Landgraaf-G0882;;24.0;2970;1308;759;686;36;265;859;32;73;26;24.0;24110
Landsmeer-G0415;;11.0;289;722;540;339;42;155;96;21;7;11;28.0;5659
Langedijk-G0416;;15.0;1160;979;1460;602;287;273;248;29;17;7;19.0;12256
Laren-G0417;;11.0;662;459;1428;323;63;258;90;18;13;15;18.0;5601
Leek-G0022;;12.0;1363;1280;821;545;822;229;143;53;11;8;10.0;8720
Leerdam-G0545;;16.0;1116;847;740;240;1128;139;168;19;27;9;10.0;10538
Leersum-G0326;;5.0;428;312;649;259;260;149;58;10;8;6;5.0;3353
