RegioNaam;@invalid;@blank;KVP;PvdA;VVD;CHU;ARP;Boeren Partij;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Christelijk Democratische Unie;Partij voor Volkswil en Referendum;Samenwerkende Christelijke Groepering;FNP;Lijst van Rappard;Vrije  Burgers;Lijst Germeaux;Partij voor Volksbelang en Volksstemming;@abs
Oost- en West-Souburg-G1135;130;0;304;1583;296;979.0;860.0;177;149;50;168;28.0;0;0;0;0;0.0;0;0;0;0;276.0
Oost-, West- en Middelbeers-G0825;19;0;1397;48;32;0.0;0.0;78;7;2;1;0.0;9;24;2;0;0.0;0;0;0;0;71.0
Oostburg-G0692;83;0;726;622;370;168.0;162.0;125;37;12;39;12.0;0;0;0;0;0.0;0;0;0;0;109.0
Oostdongeradeel-G0084;63;0;20;283;132;1022.0;2295.0;95;19;7;21;17.0;0;0;0;0;51.0;0;0;0;0;142.0
Oosterbroek-G0033;176;0;50;1228;348;207.0;165.0;181;294;121;0;50.0;0;0;0;0;0.0;0;0;0;0;201.0
Oosterhesselen-G0123;86;0;8;796;368;208.0;467.0;103;34;39;0;72.0;0;0;0;0;0.0;0;0;0;0;67.0
Oosterhout-G0826;601;0;10538;1470;597;0.0;0.0;890;162;87;33;0.0;407;91;0;0;0.0;0;0;0;0;637.0
Oostflakkee-G0580;67;0;989;1233;266;444.0;550.0;207;55;11;635;12.0;0;0;0;0;0.0;3;0;0;0;344.0
Oosthuizen-G0430;22;0;103;378;159;41.0;33.0;99;68;11;1;0.0;0;3;3;0;0.0;0;0;0;0;17.0
Oostkapelle-G1137;23;0;12;109;112;258.0;307.0;49;21;0;140;13.0;0;0;0;0;0.0;0;0;0;0;83.0
Ooststellingwerf-G0085;434;0;161;3921;929;1251.0;1719.0;858;840;387;38;115.0;0;0;0;0;79.0;0;0;0;0;488.0
Oostvoorne-G0581;93;0;110;1176;953;238.0;327.0;192;183;61;27;1.0;0;0;0;0;0.0;10;0;0;0;230.0
Oostzaan-G0431;92;0;144;1188;357;261.0;230.0;275;332;578;45;17.0;0;15;0;0;0.0;0;0;0;0;200.0
Ootmarsum-G0176;11;0;1259;63;56;63.0;12.0;61;9;0;1;1.0;0;0;0;0;0.0;0;0;0;0;52.0
Ophemert-G0270;25;0;22;319;73;174.0;38.0;113;20;1;30;2.0;0;0;0;0;0.0;0;0;0;0;46.0
Oploo, Sint Anthonis en Ledeacker-G0827;43;0;2859;70;27;0.0;0.0;141;5;3;0;0.0;32;5;0;0;0.0;0;0;0;0;89.0
Opmeer-G0432;19;0;1362;212;64;9.0;10.0;56;31;5;0;2.0;0;1;3;0;0.0;0;0;0;0;60.0
Opperdoes-G0433;7;0;6;73;31;125.0;324.0;74;9;6;54;10.0;0;4;5;0;0.0;0;0;0;0;26.0
Opsterland-G0086;413;0;131;4381;1017;926.0;2065.0;860;1275;500;62;399.0;0;0;0;0;219.0;0;0;0;0;797.0
Oss-G0828;646;0;11486;2969;1127;0.0;0.0;1741;308;129;0;0.0;515;122;0;0;0.0;0;0;0;0;827.0
Ossendrecht-G0829;130;0;1690;246;95;0.0;0.0;100;25;16;12;0.0;71;10;0;0;0.0;0;0;0;0;85.0
Oterleek-G0434;8;0;59;240;88;23.0;22.0;71;37;5;0;1.0;0;0;0;0;0.0;0;0;0;0;20.0
