RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
't Zandt-G0054;22;;4.0;749;304.0;444.0;210.0;10.0;1.0;1.0;17.0;4.0;1.0;;;63.0
Tegelen-G0976;280;;6722.0;780;92.0;42.0;9.0;25.0;1.0;5.0;;;9.0;;;221.0
Ten Boer-G0009;75;;18.0;955;444.0;964.0;218.0;53.0;3.0;27.0;255.0;24.0;9.0;;;129.0
Ter Aar-G0480;13;;1467.0;85;67.0;272.0;379.0;;81.0;1.0;4.0;17.0;1.0;;;54.0
Terheijden-G0853;55;;2310.0;223;34.0;10.0;21.0;8.0;1.0;2.0;1.0;;;;;72.0
Termunten-G0042;80;;19.0;1028;307.0;614.0;177.0;242.0;4.0;8.0;13.0;3.0;15.0;;;442.0
Terneuzen-G0715;191;;1917.0;3009;883.0;684.0;1088.0;42.0;619.0;32.0;127.0;52.0;;;;513.0
Terschelling-G0093;40;;33.0;1011;447.0;197.0;377.0;2.0;1.0;21.0;1.0;;6.0;;;231.0
Teteringen-G0854;15;;1075.0;89;32.0;10.0;1.0;3.0;;;;;;;;33.0
Texel-G0448;75;;1332.0;2102;1033.0;531.0;450.0;33.0;8.0;97.0;18.0;;9.0;;;220.0
Tholen-G0716;38;;133.0;363;202.0;216.0;383.0;1.0;494.0;8.0;3.0;19.0;;;;134.0
Thorn-G0977;24;;1061.0;48;6.0;3.0;;1.0;;;;;1.0;;;16.0
Tiel-G0281;170;;2498.0;4940;1317.0;420.0;571.0;48.0;30.0;68.0;18.0;44.0;15.0;;;259.0
Tienhoven (ZH)-G0618;0;;4.0;54;19.0;96.0;46.0;;23.0;;1.0;;;;;11.0
Tietjerksteradeel-G0094;95;;72.0;3486;995.0;3399.0;2211.0;42.0;125.0;115.0;116.0;;29.0;;;414.0
Tilburg-G0855;2329;;48756.0;14298;2744.0;757.0;393.0;478.0;89.0;187.0;79.0;;;;;1802.0
Tubbergen-G0183;28;;6405.0;279;39.0;37.0;367.0;3.0;4.0;1.0;5.0;14.0;1.0;;;106.0
Tudderen-G1204;53;;446.0;102;6.0;14.0;7.0;2.0;;2.0;;;;;;32.0
Tull en 't Waal-G1205;2;;134.0;27;8.0;19.0;56.0;;6.0;;;4.0;;;0.0;7.0
Twisk-G0449;6;;2.0;241;145.0;26.0;8.0;10.0;5.0;11.0;;;2.0;;;17.0
Ubach over Worms-G0978;272;;3104.0;1115;73.0;52.0;39.0;102.0;7.0;23.0;9.0;;30.0;;;109.0
Ubbergen-G0282;65;;3313.0;194;148.0;38.0;86.0;3.0;2.0;3.0;;19.0;1.0;;;182.0
Uden-G0856;144;;5756.0;594;256.0;112.0;93.0;16.0;4.0;8.0;5.0;;;47.0;;247.0
Udenhout-G0857;20;;2393.0;117;19.0;;1.0;2.0;3.0;1.0;;;;;;99.0
Uitgeest-G0450;49;;1493.0;647;204.0;48.0;42.0;158.0;5.0;60.0;2.0;;13.0;;;72.0
Uithoorn-G0451;61;;2218.0;811;245.0;397.0;391.0;14.0;15.0;66.0;4.0;22.0;9.0;;;142.0
Uithuizen-G0043;41;;367.0;900;380.0;595.0;314.0;116.0;3.0;6.0;83.0;5.0;10.0;;;92.0
Uithuizermeeden-G0044;38;;15.0;712;338.0;787.0;728.0;6.0;10.0;3.0;338.0;4.0;5.0;;;73.0
Ulestraten-G0979;8;;673.0;37;21.0;2.0;1.0;;;;;;;;;10.0
Ulrum-G0045;26;;8.0;640;216.0;862.0;162.0;11.0;14.0;7.0;297.0;6.0;1.0;;;88.0
Urk-G0184;3;;4.0;74;14.0;1520.0;193.0;;509.0;5.0;132.0;9.0;;;;255.0
Urmond-G0980;46;;1545.0;222;26.0;9.0;15.0;1.0;;2.0;;;5.0;;;40.0
Ursem-G0452;3;;677.0;105;22.0;3.0;10.0;7.0;3.0;3.0;;;;;;8.0
Usquert-G0046;12;;26.0;746;203.0;56.0;41.0;11.0;2.0;2.0;12.0;3.0;;;;28.0
Utingeradeel-G0095;32;;27.0;1630;468.0;280.0;406.0;8.0;43.0;92.0;3.0;;2.0;;;113.0
Utrecht-G0344;3229;;38544.0;52130;17298.0;12388.0;9046.0;2030.0;1447.0;2656.0;565.0;975.0;950.0;;88.0;5812.0
Vaals-G0981;328;;3906.0;645;83.0;29.0;50.0;101.0;5.0;30.0;9.0;;22.0;;;150.0
Valburg-G0283;41;;1534.0;860;291.0;462.0;667.0;23.0;317.0;13.0;8.0;35.0;1.0;;;153.0
Valkenburg (ZH)-G0619;11;;55.0;100;98.0;184.0;297.0;2.0;64.0;1.0;31.0;3.0;2.0;;;43.0
Valkenburg-Houthem-G0982;197;;5352.0;478;296.0;49.0;36.0;18.0;6.0;12.0;7.0;;8.0;;;161.0
Valkenswaard-G0858;223;;6591.0;1266;222.0;88.0;57.0;19.0;5.0;14.0;5.0;;;39.0;;190.0
Varik-G0284;5;;140.0;330;55.0;17.0;141.0;1.0;28.0;1.0;;9.0;3.0;;;13.0
Veen-G0859;16;;3.0;141;8.0;83.0;120.0;1.0;233.0;;3.0;;;2.0;;87.0
Veendam-G0047;240;;506.0;4925;1482.0;747.0;666.0;309.0;11.0;122.0;72.0;57.0;35.0;;;449.0
Veenendaal-G0345;144;;404.0;2683;553.0;2244.0;2275.0;31.0;992.0;34.0;51.0;61.0;17.0;;1.0;364.0
Veere-G0717;12;;21.0;115;93.0;204.0;100.0;3.0;73.0;2.0;19.0;2.0;;;;34.0
Veghel-G0860;115;;5674.0;408;131.0;33.0;36.0;15.0;5.0;11.0;2.0;;;24.0;;124.0
Veldhoven-G0861;181;;6775.0;1061;247.0;184.0;132.0;12.0;4.0;28.0;6.0;;;27.0;;170.0
Velsen-G0453;729;;7580.0;12378;4418.0;3199.0;2130.0;1291.0;254.0;1672.0;157.0;347.0;310.0;;;1579.0
Venhuizen-G0454;16;;978.0;461;229.0;26.0;26.0;8.0;1.0;62.0;2.0;;6.0;;;32.0
Venlo-G0983;930;;21220.0;3775;680.0;313.0;176.0;157.0;8.0;55.0;14.0;;30.0;;;1025.0
Venray-G0984;139;;8290.0;379;62.0;26.0;18.0;11.0;2.0;7.0;1.0;;7.0;;;1407.0
Vessem, Wintelre en Knegsel-G0862;5;;1062.0;13;7.0;3.0;4.0;1.0;;1.0;;;;1.0;;15.0
Vianen-G0620;30;;593.0;870;196.0;335.0;365.0;10.0;166.0;24.0;11.0;7.0;9.0;;;97.0
Vierlingsbeek-G0863;44;;2687.0;97;9.0;7.0;22.0;2.0;1.0;;;;;5.0;;42.0
Vierpolders-G0621;11;;3.0;260;162.0;34.0;52.0;11.0;7.0;2.0;;16.0;1.0;;;21.0
Vinkeveen en Waverveen-G0346;38;;1553.0;166;214.0;340.0;348.0;7.0;193.0;18.0;2.0;53.0;3.0;;1.0;112.0
Vlaardingen-G0622;493;;3976.0;14851;4196.0;4829.0;5222.0;412.0;1239.0;914.0;246.0;91.0;118.0;;;1656.0
Vlagtwedde-G0048;303;;1442.0;3222;1115.0;856.0;1513.0;408.0;11.0;36.0;38.0;85.0;47.0;;;486.0
Vledder-G0132;30;;78.0;813;295.0;110.0;112.0;22.0;2.0;17.0;4.0;11.0;8.0;;;77.0
Vleuten-De Meern-G0347;40;;2199.0;431;209.0;288.0;556.0;3.0;69.0;17.0;23.0;35.0;7.0;;2.0;81.0
Vlieland-G0096;2;;8.0;284;79.0;36.0;46.0;2.0;1.0;1.0;1.0;;;;;10.0
Vlijmen-G0864;153;;3979.0;358;115.0;34.0;44.0;9.0;;4.0;3.0;;;24.0;;98.0
Vlissingen-G0718;421;;2095.0;7702;2046.0;1589.0;1638.0;162.0;283.0;172.0;31.0;52.0;;;;1091.0
Vlist-G0623;0;;51.0;41;58.0;63.0;11.0;;46.0;;;3.0;;;;14.0
Vlodrop-G0985;29;;774.0;53;1.0;6.0;2.0;1.0;;;;;;;;17.0
Voerendaal-G0986;75;;2710.0;224;39.0;13.0;10.0;5.0;1.0;5.0;1.0;;3.0;;;45.0
Vogelwaarde-G0719;34;;1773.0;62;18.0;19.0;44.0;;4.0;1.0;2.0;7.0;;;;91.0
Vollenhove-G0185;18;;163.0;587;118.0;644.0;676.0;7.0;62.0;2.0;283.0;17.0;5.0;;;84.0
Voorburg-G0624;359;;6849.0;5364;6865.0;2682.0;1763.0;74.0;116.0;440.0;123.0;193.0;36.0;;;1213.0
Voorhout-G0625;18;;1721.0;102;91.0;49.0;130.0;1.0;3.0;5.0;1.0;10.0;3.0;;;81.0
Voorschoten-G0626;111;;2076.0;1341;1247.0;897.0;760.0;14.0;105.0;78.0;39.0;58.0;7.0;;;297.0
Voorst-G0285;106;;2892.0;3197;1617.0;432.0;1303.0;160.0;138.0;65.0;17.0;320.0;38.0;;;401.0
Vorden-G0286;29;;505.0;913;484.0;513.0;641.0;7.0;14.0;12.0;2.0;177.0;3.0;;;169.0
Vreeland-G1213;17;;57.0;153;114.0;117.0;111.0;5.0;48.0;20.0;1.0;3.0;3.0;;0.0;32.0
Vreeswijk-G0348;18;;700.0;448;59.0;245.0;302.0;2.0;98.0;6.0;1.0;7.0;5.0;;1.0;101.0
Vries-G0133;157;;27.0;1694;1343.0;234.0;107.0;59.0;6.0;16.0;47.0;65.0;30.0;;;175.0
Vriezenveen-G0186;88;;358.0;1684;262.0;687.0;2759.0;41.0;452.0;15.0;24.0;39.0;15.0;;;330.0
Vrouwenpolder-G1214;9;;4.0;33;28.0;289.0;100.0;2.0;30.0;1.0;50.0;1.0;;;;25.0
Vught-G0865;255;;7511.0;1181;681.0;151.0;140.0;39.0;8.0;38.0;17.0;;;63.0;;800.0
Vuren-G0287;9;;12.0;482;102.0;236.0;242.0;2.0;38.0;1.0;1.0;5.0;1.0;;;45.0
Waalre-G0866;95;;3010.0;591;506.0;87.0;57.0;11.0;1.0;51.0;3.0;;;19.0;;121.0
Waalwijk-G0867;153;;6270.0;1048;352.0;257.0;487.0;12.0;35.0;25.0;6.0;;;32.0;;173.0
Waarde-G0721;4;;;58;69.0;29.0;196.0;4.0;206.0;3.0;1.0;13.0;;;;49.0
Waardenburg-G0288;11;;15.0;351;67.0;46.0;211.0;2.0;267.0;3.0;;8.0;2.0;;;67.0
Waarder-G1217;9;;18.0;61;15.0;176.0;115.0;;105.0;2.0;1.0;1.0;;;;32.0
Waddinxveen-G0627;87;;744.0;1489;531.0;862.0;704.0;19.0;875.0;32.0;17.0;69.0;10.0;;;221.0
Wageningen-G0289;253;;2001.0;4187;1836.0;1233.0;1553.0;185.0;439.0;185.0;33.0;83.0;29.0;;;581.0
Wamel-G0290;68;;3429.0;280;55.0;27.0;103.0;3.0;9.0;1.0;1.0;20.0;4.0;;;141.0
Wanneperveen-G0187;9;;7.0;264;86.0;129.0;411.0;1.0;9.0;1.0;17.0;7.0;2.0;;;59.0
Wanroij-G0868;14;;1629.0;21;5.0;;2.0;;1.0;;;;;1.0;;22.0
Wanssum-G0987;3;;609.0;12;1.0;1.0;;;1.0;;;;;;;3.0
Warder-G0455;2;;22.0;155;100.0;2.0;3.0;;4.0;14.0;;;2.0;;;20.0
Warffum-G0049;20;;5.0;689;235.0;359.0;50.0;4.0;3.0;13.0;21.0;7.0;1.0;;;44.0
Warmenhuizen-G0456;17;;941.0;158;138.0;86.0;8.0;9.0;1.0;16.0;;;3.0;;;21.0
Warmond-G0628;20;;1348.0;283;202.0;66.0;182.0;2.0;23.0;13.0;4.0;12.0;;;;58.0
Warnsveld-G0291;56;;357.0;1022;586.0;334.0;653.0;14.0;10.0;27.0;8.0;68.0;4.0;;;620.0
Waspik-G0869;39;;1366.0;122;22.0;116.0;84.0;3.0;19.0;4.0;2.0;;;4.0;;76.0
Wassenaar-G0629;172;;4590.0;2111;4230.0;1110.0;1111.0;35.0;106.0;207.0;19.0;156.0;20.0;;;734.0
Wateringen-G0630;31;;3185.0;249;162.0;227.0;416.0;6.0;20.0;13.0;2.0;6.0;2.0;;;96.0
Waterlandkerkje-G0722;5;;112.0;72;38.0;14.0;26.0;1.0;16.0;1.0;;2.0;;;;9.0
Wedde-G1220;76;;18.0;1220;420.0;123.0;202.0;258.0;4.0;9.0;4.0;13.0;13.0;;;113.0
Weerselo-G0188;24;;4079.0;118;68.0;9.0;59.0;3.0;1.0;2.0;;7.0;;;;65.0
Weert-G0988;330;;10692.0;1135;240.0;146.0;68.0;27.0;9.0;22.0;15.0;;8.0;;;363.0
Weesp-G0457;147;;1137.0;2114;571.0;622.0;804.0;43.0;57.0;266.0;7.0;42.0;32.0;;;178.0
Weesperkarspel-G1221;58;;649.0;493;139.0;285.0;457.0;32.0;54.0;54.0;13.0;40.0;12.0;;;93.0
Wehl-G0292;42;;1831.0;106;18.0;14.0;75.0;3.0;2.0;3.0;;30.0;;;;57.0
Wemeldinge-G0723;32;;20.0;375;192.0;215.0;438.0;;119.0;3.0;1.0;28.0;;;;132.0
Werkendam-G0870;40;;50.0;1387;186.0;1559.0;693.0;10.0;607.0;16.0;13.0;;;19.0;;580.0
Werkhoven-G1223;6;;459.0;63;12.0;35.0;43.0;;41.0;;;4.0;;;0.0;30.0
Wervershoof-G0459;11;;1938.0;81;16.0;12.0;4.0;;1.0;7.0;;;1.0;;;48.0
Wessem-G0989;26;;796.0;52;4.0;1.0;6.0;;;;;;;;;38.0
Westdongeradeel-G0097;29;;15.0;930;331.0;1421.0;1114.0;56.0;28.0;25.0;54.0;;5.0;;;132.0
Westdorpe-G0724;48;;919.0;196;58.0;6.0;10.0;2.0;;1.0;2.0;5.0;;;;39.0
Westerbork-G0134;79;;25.0;1601;823.0;586.0;293.0;8.0;30.0;8.0;9.0;40.0;7.0;;;69.0
Westerhoven-G0871;2;;516.0;18;4.0;2.0;;;;;;;;;;13.0
Westervoort-G0293;30;;1089.0;214;40.0;80.0;72.0;;4.0;3.0;;7.0;1.0;;;68.0
Westkapelle-G0726;14;;4.0;546;140.0;136.0;320.0;8.0;205.0;;2.0;17.0;;;;94.0
Westmaas-G0631;9;;;146;94.0;151.0;129.0;1.0;38.0;2.0;;4.0;;;;26.0
Weststellingwerf-G0098;286;;1212.0;5947;1661.0;764.0;1308.0;353.0;15.0;97.0;26.0;;80.0;;;544.0
Westwoud-G0460;2;;521.0;118;82.0;5.0;10.0;2.0;;5.0;;;;;;15.0
Westzaan-G0461;60;;105.0;745;279.0;248.0;86.0;247.0;65.0;285.0;3.0;;36.0;;;120.0
Wierden-G0189;53;;2308.0;877;297.0;1530.0;1939.0;15.0;517.0;5.0;12.0;74.0;3.0;;;151.0
Wieringen-G0462;83;;300.0;1649;714.0;250.0;168.0;274.0;13.0;290.0;3.0;;20.0;;;264.0
Wieringermeer-G0463;42;;930.0;1103;467.0;852.0;494.0;19.0;22.0;38.0;52.0;;4.0;;;133.0
Wieringerwaard-G0464;6;;34.0;375;239.0;22.0;22.0;9.0;2.0;20.0;;;2.0;;;32.0
Wijchen-G0296;113;;4753.0;470;66.0;51.0;31.0;3.0;4.0;3.0;;16.0;2.0;;;146.0
Wijdenes-G0469;8;;63.0;301;148.0;10.0;10.0;6.0;1.0;39.0;;;2.0;;;26.0
Wijdewormer-G0470;3;;182.0;116;84.0;15.0;41.0;7.0;3.0;22.0;;;1.0;;;15.0
Wijhe-G0190;20;;970.0;1012;353.0;242.0;737.0;4.0;32.0;1.0;12.0;26.0;5.0;;;64.0
Wijk bij Duurstede-G0352;33;;1159.0;433;97.0;84.0;242.0;5.0;15.0;1.0;;27.0;;;0.0;113.0
Wijk en Aalburg-G0876;25;;8.0;358;115.0;303.0;100.0;3.0;659.0;5.0;5.0;;;30.0;;154.0
Wijlre-G0991;28;;1335.0;48;19.0;5.0;;2.0;;3.0;4.0;;1.0;;;37.0
Wijnandsrade-G0992;12;;445.0;25;1.0;3.0;;;;;;;;;;7.0
Wijngaarden-G0634;3;;1.0;18;11.0;102.0;4.0;1.0;105.0;;;2.0;;;;7.0
Wildervank-G1225;155;;207.0;2823;951.0;814.0;446.0;148.0;10.0;91.0;55.0;26.0;33.0;;;337.0
Willemstad-G0872;7;;101.0;299;86.0;232.0;404.0;;25.0;2.0;1.0;;;;;56.0
Willeskop-G0349;3;;274.0;72;11.0;36.0;64.0;2.0;34.0;;;6.0;1.0;;0.0;14.0
Wilnis-G0350;25;;574.0;48;42.0;415.0;225.0;2.0;93.0;;8.0;5.0;2.0;;0.0;48.0
Winkel-G0465;15;;57.0;689;218.0;27.0;18.0;63.0;1.0;85.0;;;8.0;;;54.0
Winschoten-G0052;250;;330.0;4434;1566.0;1057.0;674.0;913.0;13.0;97.0;75.0;28.0;70.0;;;544.0
Winsum-G0053;15;;11.0;614;239.0;745.0;116.0;1.0;3.0;6.0;43.0;11.0;;;;24.0
Winterswijk-G0294;297;;1834.0;6339;2897.0;1097.0;783.0;55.0;13.0;72.0;19.0;127.0;13.0;;;482.0
Wisch-G0295;202;;2440.0;1946;950.0;827.0;1159.0;12.0;15.0;25.0;2.0;160.0;6.0;;;269.0
Wissenkerke-G0727;20;;1.0;352;157.0;606.0;615.0;3.0;211.0;2.0;2.0;5.0;;;;114.0
Wittem-G0990;38;;2802.0;139;23.0;13.0;2.0;7.0;;2.0;2.0;;4.0;;;40.0
Woensdrecht-G0873;160;;2265.0;474;145.0;83.0;72.0;12.0;13.0;3.0;6.0;;;;;80.0
Woerden-G0632;90;;1898.0;1298;613.0;933.0;1152.0;20.0;349.0;40.0;3.0;40.0;10.0;;;290.0
Wognum-G0466;7;;1001.0;161;82.0;6.0;6.0;8.0;1.0;7.0;;;;;;29.0
Wolphaartsdijk-G0728;20;;48.0;279;104.0;242.0;479.0;1.0;233.0;2.0;6.0;18.0;;;;76.0
Wonseradeel-G0099;60;;558.0;1667;557.0;1717.0;1890.0;78.0;31.0;79.0;35.0;;13.0;;;232.0
Workum-G0100;17;;480.0;490;89.0;407.0;647.0;3.0;4.0;13.0;2.0;;;;;50.0
Wormer-G0467;34;;1139.0;1151;223.0;339.0;96.0;298.0;21.0;259.0;83.0;;28.0;;;83.0
Wormerveer-G0468;167;;1184.0;2602;774.0;686.0;135.0;805.0;31.0;867.0;53.0;;85.0;;;276.0
Woubrugge-G0633;17;;661.0;162;96.0;225.0;283.0;1.0;70.0;7.0;1.0;7.0;2.0;;;41.0
Woudenberg-G0351;47;;26.0;705;284.0;303.0;743.0;3.0;305.0;14.0;4.0;50.0;5.0;;0.0;134.0
Woudrichem-G0874;12;;52.0;607;106.0;194.0;215.0;1.0;63.0;9.0;4.0;;;1.0;;37.0
Wouw-G0875;109;;2744.0;313;51.0;15.0;14.0;11.0;5.0;4.0;2.0;;;;;55.0
Wymbritseradeel-G0101;43;;779.0;751;212.0;1429.0;2586.0;13.0;6.0;16.0;4.0;;2.0;;;245.0
Yerseke-G0729;38;;101.0;779;301.0;433.0;546.0;18.0;648.0;8.0;6.0;24.0;;;;161.0
Zaamslag-G0731;27;;34.0;377;138.0;543.0;542.0;5.0;113.0;;177.0;11.0;;;;91.0
Zaandam-G0471;549;;4033.0;10826;2809.0;3069.0;1074.0;2864.0;234.0;2141.0;132.0;;301.0;;;1114.0
Zaandijk-G0472;79;;237.0;1090;458.0;263.0;77.0;264.0;9.0;292.0;17.0;;53.0;;;78.0
Zaltbommel-G0297;47;;575.0;1528;423.0;288.0;293.0;7.0;91.0;24.0;20.0;11.0;4.0;;;154.0
Zandvoort-G0473;217;;1224.0;2829;2348.0;407.0;472.0;119.0;16.0;281.0;8.0;160.0;20.0;;;613.0
Zeeland-G0877;13;;1730.0;42;5.0;9.0;3.0;;;;1.0;;;3.0;;38.0
Zegveld-G0354;5;;127.0;27;8.0;252.0;200.0;1.0;93.0;;;6.0;;;0.0;28.0
Zeist-G0355;594;;4008.0;7931;6083.0;4340.0;3192.0;101.0;814.0;472.0;114.0;229.0;53.0;;12.0;2322.0
Zelhem-G0298;127;;450.0;1297;489.0;857.0;771.0;5.0;101.0;11.0;5.0;333.0;2.0;;;228.0
Zevenaar-G0299;118;;4107.0;426;145.0;73.0;146.0;3.0;7.0;8.0;4.0;13.0;11.0;;;186.0
Zevenbergen-G0878;113;;3658.0;437;166.0;127.0;536.0;19.0;10.0;11.0;47.0;;;;;180.0
Zevenhoven-G0635;5;;353.0;52;17.0;95.0;92.0;;10.0;3.0;;3.0;2.0;;;11.0
Zevenhuizen-G0636;15;;30.0;718;308.0;167.0;432.0;5.0;165.0;7.0;2.0;12.0;4.0;;;103.0
Zierikzee-G0732;53;;476.0;1516;644.0;794.0;440.0;9.0;188.0;23.0;10.0;9.0;;;;170.0
Zijpe-G0476;40;;1036.0;1333;798.0;76.0;37.0;51.0;9.0;48.0;2.0;;4.0;;;141.0
Zoelen-G0300;33;;19.0;1222;361.0;95.0;272.0;3.0;104.0;1.0;1.0;27.0;;;;75.0
Zoetermeer-G0637;31;;1208.0;847;372.0;451.0;476.0;7.0;501.0;16.0;22.0;12.0;4.0;;;92.0
Zoeterwoude-G0638;33;;1998.0;198;142.0;152.0;266.0;6.0;40.0;19.0;;8.0;5.0;;;94.0
Zonnemaire-G1236;4;;6.0;217;105.0;90.0;51.0;;6.0;4.0;3.0;;;;;15.0
Zoutelande-G1237;8;;1.0;47;58.0;110.0;211.0;;91.0;;14.0;8.0;;;;25.0
Zuid- en Noord-Schermer-G0474;12;;71.0;278;91.0;26.0;17.0;11.0;18.0;7.0;;;2.0;;;24.0
Zuid-Beijerland-G0639;10;;4.0;386;198.0;275.0;282.0;2.0;234.0;4.0;;5.0;;;;58.0
Zuidbroek-G1240;87;;21.0;827;312.0;127.0;44.0;53.0;2.0;46.0;52.0;6.0;16.0;;;102.0
Zuiddorpe-G0734;16;;388.0;66;8.0;2.0;4.0;;;;;3.0;;;;12.0
Zuidelijke IJsselmeerpolders-G0996;1;;61.0;140;28.0;42.0;62.0;4.0;12.0;7.0;14.0;;;;;
Zuidhorn-G0056;28;;40.0;686;451.0;472.0;151.0;11.0;1.0;22.0;344.0;8.0;5.0;;;46.0
Zuidland-G0640;13;;6.0;193;146.0;674.0;144.0;1.0;42.0;6.0;1.0;6.0;;;;54.0
Zuidlaren-G0136;110;;37.0;1338;955.0;737.0;167.0;18.0;6.0;18.0;130.0;34.0;18.0;;;373.0
Zuidwolde-G0137;102;;44.0;1083;745.0;784.0;705.0;10.0;8.0;9.0;67.0;136.0;9.0;;;112.0
Zuidzande-G0735;14;;26.0;237;168.0;22.0;34.0;;2.0;1.0;;19.0;;;;25.0
Zundert-G0879;234;;4550.0;274;100.0;38.0;49.0;7.0;8.0;8.0;5.0;;;;;147.0
Zutphen-G0301;275;;1916.0;6927;2102.0;1150.0;1182.0;447.0;41.0;299.0;36.0;132.0;47.0;;;515.0
Zwaag-G0475;11;;835.0;193;127.0;6.0;5.0;1.0;;10.0;;;1.0;;;62.0
Zwammerdam-G1244;10;;387.0;297;129.0;266.0;249.0;4.0;111.0;6.0;;17.0;2.0;;;68.0
Zwartewaal-G0641;6;;11.0;170;77.0;78.0;16.0;3.0;4.0;1.0;2.0;1.0;;;;
Zwartsluis-G0192;25;;16.0;367;100.0;855.0;383.0;19.0;58.0;6.0;54.0;25.0;1.0;;;108.0
Zweeloo-G0138;18;;18.0;564;448.0;276.0;76.0;2.0;;4.0;4.0;17.0;1.0;;;41.0
Zwijndrecht-G0642;137;;638.0;3604;1013.0;2251.0;1812.0;67.0;707.0;85.0;208.0;33.0;22.0;;;567.0
Zwolle-G0193;569;;5451.0;12525;3738.0;3649.0;2969.0;473.0;325.0;439.0;526.0;98.0;67.0;;;1444.0
Zwollerkerspel-G1245;62;;940.0;1313;485.0;1018.0;1511.0;21.0;230.0;41.0;336.0;79.0;5.0;;;242.0
