RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Bruggroep;Partij voor Landbouw en Middenstand;Positief Christelijk Nationale Unie;@abs
Oud- en Nieuw-Gastel-G0831;116;;3401.0;371;34.0;21.0;50.0;5.0;4.0;2.0;1.0;;;;;89.0
Oud-Alblas-G0583;15;;;146;36.0;223.0;97.0;;207.0;1.0;2.0;5.0;;;;51.0
Oud-Beijerland-G0584;67;;155.0;1338;455.0;1080.0;344.0;3.0;693.0;20.0;2.0;16.0;4.0;;;257.0
Ouddorp-G1142;15;;3.0;281;152.0;462.0;120.0;4.0;1169.0;4.0;3.0;6.0;1.0;;;293.0
Oude Niedorp-G0436;6;;600.0;112;47.0;14.0;4.0;7.0;1.0;13.0;1.0;;;;;14.0
Oude Pekela-G0038;139;;297.0;2006;348.0;358.0;285.0;673.0;12.0;25.0;9.0;20.0;74.0;;;328.0
Oude Tonge-G1143;13;;372.0;529;173.0;172.0;50.0;6.0;263.0;3.0;;5.0;;;;98.0
Oudelande-G0695;11;;49.0;121;65.0;76.0;120.0;;23.0;;;4.0;;;;21.0
Oudenbosch-G0830;93;;3285.0;363;84.0;31.0;46.0;13.0;8.0;12.0;5.0;;;;;109.0
Oudendijk-G0435;4;;12.0;168;47.0;7.0;11.0;10.0;;13.0;;;;;;4.0
Oudenhoorn-G0586;15;;2.0;298;138.0;29.0;48.0;6.0;10.0;7.0;;9.0;2.0;;;22.0
Ouder-Amstel-G0437;78;;1472.0;729;414.0;375.0;519.0;29.0;37.0;74.0;4.0;60.0;21.0;;;128.0
Ouderkerk aan den IJssel-G0587;18;;3.0;537;282.0;460.0;57.0;2.0;733.0;4.0;2.0;36.0;3.0;;;219.0
Oudewater-G0589;29;;1070.0;315;122.0;228.0;271.0;2.0;81.0;7.0;;10.0;;;;80.0
Oudorp-G0438;14;;621.0;324;102.0;45.0;29.0;8.0;2.0;25.0;;;1.0;;;40.0
Oud-Vossemeer-G0696;24;;312.0;189;139.0;184.0;237.0;3.0;136.0;;;2.0;;;;53.0
Ouwerkerk-G1148;4;;11.0;161;55.0;17.0;18.0;;21.0;3.0;;2.0;;;;24.0
Overasselt-G0271;7;;1311.0;39;4.0;3.0;20.0;;;3.0;;5.0;1.0;;;17.0
Overslag-G0697;11;;86.0;18;2.0;;7.0;1.0;2.0;;;3.0;;;;7.0
Ovezande-G0698;8;;616.0;38;24.0;7.0;79.0;1.0;2.0;;;7.0;;;;8.0
Pannerden-G0272;19;;795.0;49;7.0;2.0;3.0;2.0;;1.0;1.0;1.0;1.0;;;22.0
Papekop-G1151;0;;95.0;8;11.0;44.0;54.0;;14.0;;1.0;;;;;9.0
Papendrecht-G0590;80;;148.0;1912;375.0;1094.0;294.0;26.0;487.0;49.0;12.0;9.0;8.0;;;312.0
Peize-G0124;90;;17.0;883;538.0;44.0;70.0;28.0;3.0;10.0;;17.0;23.0;;;93.0
Philippine-G0699;24;;470.0;77;12.0;8.0;14.0;;4.0;;1.0;8.0;;;;21.0
Piershil-G0591;4;;2.0;188;78.0;57.0;58.0;;115.0;6.0;;1.0;1.0;;;49.0
Pijnacker-G0594;46;;1676.0;725;484.0;498.0;1187.0;4.0;274.0;40.0;39.0;23.0;3.0;;;138.0
Polsbroek-G0338;8;;98.0;63;39.0;157.0;73.0;1.0;74.0;2.0;;28.0;;;0.0;4.0
Poortugal-G0592;41;;152.0;768;268.0;344.0;259.0;8.0;66.0;26.0;7.0;9.0;5.0;;;620.0
Poortvliet-G0700;17;;2.0;159;47.0;93.0;206.0;5.0;386.0;;;3.0;;;;66.0
Posterholt-G0956;36;;1373.0;118;4.0;6.0;2.0;3.0;;1.0;2.0;;2.0;;;47.0
Prinsenbeek-G0832;65;;2017.0;207;19.0;4.0;3.0;1.0;;2.0;2.0;;;;;37.0
Purmerend-G0439;55;;1488.0;1981;880.0;246.0;182.0;288.0;12.0;195.0;12.0;;53.0;;;206.0
Putte-G0833;86;;680.0;186;37.0;11.0;22.0;5.0;3.0;8.0;1.0;;;;;33.0
Putten-G0273;172;;160.0;1341;420.0;903.0;2307.0;29.0;630.0;19.0;11.0;349.0;38.0;;;333.0
Puttershoek-G0593;31;;47.0;799;236.0;240.0;209.0;5.0;146.0;7.0;1.0;5.0;1.0;;;108.0
Raalte-G0177;37;;5462.0;713;163.0;83.0;880.0;3.0;6.0;11.0;5.0;87.0;4.0;;;148.0
Raamsdonk-G0834;121;;2915.0;423;136.0;152.0;449.0;16.0;102.0;8.0;;;;;;313.0
Rauwerderhem-G0087;17;;195.0;679;222.0;165.0;104.0;2.0;;36.0;6.0;;2.0;;;77.0
Ravenstein-G0835;23;;2698.0;195;28.0;11.0;17.0;6.0;3.0;1.0;;;;6.0;;0.0
Reeuwijk-G0595;61;;848.0;740;417.0;436.0;175.0;6.0;191.0;31.0;7.0;20.0;6.0;;;128.0
Renesse-G1159;11;;12.0;206;195.0;43.0;90.0;2.0;25.0;5.0;;6.0;;;;43.0
Renkum-G0274;293;;3376.0;4345;2806.0;2266.0;1912.0;80.0;361.0;233.0;59.0;131.0;37.0;;;1024.0
Renswoude-G0339;23;;37.0;259;98.0;206.0;430.0;1.0;175.0;1.0;3.0;33.0;1.0;;0.0;79.0
Retranchement-G0701;10;;8.0;177;96.0;24.0;41.0;2.0;;3.0;;7.0;;;;9.0
Reusel-G0836;19;;1824.0;46;7.0;4.0;1.0;;;;;;;6.0;;17.0
Rheden-G0275;342;;3728.0;8694;3339.0;1889.0;2869.0;128.0;89.0;223.0;57.0;115.0;28.0;;;851.0
Rhenen-G0340;117;;296.0;2821;663.0;604.0;1158.0;17.0;936.0;39.0;7.0;88.0;8.0;;1.0;309.0
Rhoon-G0596;36;;320.0;499;462.0;387.0;616.0;9.0;83.0;25.0;1.0;6.0;;;;143.0
Ridderkerk-G0597;225;;414.0;5082;1228.0;2825.0;1919.0;82.0;1971.0;93.0;74.0;21.0;20.0;;;741.0
Riethoven-G0837;3;;527.0;16;2.0;1.0;;;1.0;;;;;1.0;;7.0
Rietveld-G1160;7;;81.0;44;24.0;55.0;96.0;1.0;26.0;3.0;;9.0;2.0;;;19.0
Rijnsaterwoude-G0601;1;;163.0;71;20.0;53.0;68.0;1.0;43.0;;;2.0;;;;12.0
Rijnsburg-G0602;6;;91.0;337;75.0;1478.0;955.0;3.0;127.0;4.0;105.0;18.0;;;;69.0
Rijsbergen-G0841;43;;1767.0;65;17.0;26.0;13.0;1.0;3.0;;;;;;;15.0
Rijssen-G0178;67;;776.0;1390;220.0;1076.0;633.0;10.0;3038.0;8.0;12.0;77.0;8.0;;;454.0
Rijswijk-G0603;329;;5520.0;4813;4968.0;2154.0;1606.0;107.0;209.0;312.0;52.0;125.0;40.0;;;1028.0
Rijswijk (NB)-G0842;0;;3.0;105;8.0;132.0;167.0;1.0;30.0;1.0;2.0;;;1.0;;22.0
Rilland-Bath-G0702;30;;180.0;421;163.0;133.0;337.0;3.0;185.0;1.0;2.0;16.0;;;;57.0
Ritthem-G1163;2;;2.0;54;16.0;48.0;151.0;;37.0;;;1.0;;;;23.0
Rockanje-G0598;76;;21.0;785;636.0;271.0;85.0;77.0;14.0;30.0;1.0;29.0;17.0;;;151.0
Roden-G0125;119;;39.0;1805;908.0;621.0;323.0;58.0;6.0;53.0;57.0;78.0;39.0;;;165.0
Roermond-G0957;600;;9348.0;2296;823.0;198.0;70.0;41.0;13.0;48.0;18.0;;18.0;;;406.0
Roggel-G0958;19;;1379.0;27;4.0;4.0;;;;;;;;;;28.0
Rolde-G0126;68;;34.0;1031;934.0;53.0;60.0;6.0;4.0;6.0;5.0;59.0;5.0;;;72.0
Roosendaal en Nispen-G0838;906;;14184.0;3362;731.0;277.0;228.0;85.0;32.0;62.0;19.0;;;;;637.0
Roosteren-G0959;12;;647.0;27;6.0;7.0;;;;;;;;;;27.0
Rosmalen-G0839;124;;3536.0;379;72.0;21.0;15.0;7.0;4.0;7.0;;;;9.0;;97.0
Rossum-G0276;14;;419.0;449;75.0;73.0;235.0;;16.0;1.0;;3.0;;;;41.0
Rotterdam-G0599;12730;;57826.0;194288;59112.0;35796.0;25171.0;14634.0;8615.0;11446.0;1909.0;2377.0;2939.0;;;26769.0
Rozenburg-G0600;26;;31.0;437;191.0;498.0;688.0;9.0;55.0;9.0;55.0;4.0;3.0;;;13.0
Rozendaal-G0277;5;;65.0;125;154.0;63.0;88.0;;2.0;9.0;2.0;7.0;;;;64.0
Rucphen-G0840;318;;5661.0;883;83.0;44.0;25.0;22.0;15.0;20.0;11.0;;;;;164.0
Ruinen-G0127;94;;45.0;1331;989.0;391.0;245.0;12.0;12.0;3.0;2.0;63.0;6.0;;;150.0
Ruinerwold-G0128;32;;3.0;508;661.0;342.0;134.0;;1.0;5.0;28.0;27.0;3.0;;;45.0
Ruurlo-G0278;86;;742.0;956;811.0;148.0;165.0;1.0;1.0;7.0;4.0;180.0;4.0;;;116.0
Ruwiel-G1164;6;;59.0;24;24.0;98.0;59.0;;89.0;2.0;3.0;1.0;1.0;;0.0;20.0
Sas van Gent-G0704;71;;1129.0;679;264.0;18.0;36.0;13.0;7.0;16.0;3.0;9.0;;;;
Sassenheim-G0604;48;;2174.0;537;353.0;995.0;531.0;4.0;61.0;22.0;5.0;18.0;7.0;;;124.0
Schaesberg-G0960;235;;4511.0;1411;105.0;106.0;95.0;84.0;10.0;18.0;12.0;;12.0;;;155.0
Schagen-G0441;41;;716.0;1031;621.0;97.0;80.0;47.0;3.0;86.0;4.0;;14.0;;;125.0
Schaijk-G0843;15;;1960.0;68;17.0;10.0;;;;;;;;1.0;;39.0
Schalkwijk-G1169;7;;754.0;26;12.0;36.0;54.0;1.0;6.0;5.0;;8.0;;;0.0;14.0
Scheemda-G0039;134;;30.0;1880;462.0;637.0;682.0;363.0;6.0;24.0;17.0;12.0;28.0;;;194.0
Schellinkhout-G0442;10;;14.0;153;103.0;5.0;7.0;;;14.0;;;;;;14.0
Schelluinen-G0605;3;;2.0;117;61.0;41.0;6.0;2.0;64.0;2.0;3.0;8.0;1.0;;;17.0
Schermerhorn-G0443;9;;256.0;179;42.0;98.0;22.0;5.0;2.0;10.0;;;1.0;;;20.0
Scherpenisse-G0705;10;;3.0;189;85.0;46.0;96.0;;299.0;2.0;1.0;13.0;;;;87.0
Scherpenzeel-G0279;11;;18.0;461;153.0;215.0;453.0;;163.0;2.0;2.0;11.0;2.0;;;53.0
Schiedam-G0606;826;;10995.0;18198;4371.0;3437.0;3589.0;1038.0;671.0;928.0;404.0;178.0;237.0;;;1608.0
Schiermonnikoog-G0088;5;;14.0;138;61.0;136.0;46.0;3.0;;3.0;4.0;;;;;48.0
Schijndel-G0844;120;;5724.0;475;52.0;31.0;21.0;21.0;3.0;5.0;2.0;;;17.0;;128.0
Schimmert-G0961;22;;1119.0;45;4.0;1.0;;;;1.0;2.0;;;;;15.0
Schinnen-G0962;62;;2252.0;210;8.0;14.0;4.0;6.0;;4.0;1.0;;6.0;;;43.0
Schinveld-G0963;42;;1862.0;136;9.0;14.0;16.0;9.0;;;;;3.0;;;25.0
Schipluiden-G0607;24;;1666.0;128;75.0;411.0;438.0;1.0;50.0;7.0;3.0;9.0;;;;73.0
Schoondijke-G0706;36;;230.0;370;246.0;178.0;86.0;2.0;28.0;3.0;11.0;2.0;;;;50.0
Schoonebeek-G0129;39;;1091.0;646;195.0;442.0;650.0;5.0;4.0;9.0;6.0;10.0;4.0;;;58.0
Schoonhoven-G0608;41;;581.0;1104;381.0;719.0;308.0;9.0;209.0;31.0;3.0;13.0;1.0;;;119.0
Schoonrewoerd-G0609;10;;3.0;98;36.0;192.0;87.0;;163.0;;1.0;3.0;;;;44.0
Schoorl-G0444;22;;595.0;753;421.0;46.0;30.0;25.0;1.0;125.0;1.0;;9.0;;;103.0
Serooskerke (Schouwen)-G1175;3;;2.0;68;13.0;8.0;28.0;;5.0;1.0;;4.0;;;;7.0
Serooskerke (Walcheren)-G1176;5;;1.0;26;16.0;533.0;200.0;1.0;100.0;;25.0;5.0;;;;30.0
Sevenum-G0964;27;;2073.0;55;1.0;3.0;;9.0;1.0;;;;8.0;;;
's-Graveland-G0390;30;;159.0;194;169.0;169.0;196.0;10.0;58.0;18.0;8.0;10.0;5.0;;;53.0
's-Gravendeel-G0517;48;;14.0;1112;388.0;681.0;608.0;4.0;248.0;18.0;;14.0;1.0;;;108.0
's-Gravenhage-G0518;9435;;67623.0;121958;76970.0;29866.0;22733.0;7893.0;4215.0;8805.0;893.0;2909.0;1918.0;;;21695.0
