RegioNaam;@invalid;@blank;CDA;PVV;PvdA;VVD;D66;GL;SP;CU-SGP;PvdD;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;DG;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek;@abs
Sint-Oedenrode-G0846;6;11;1659;537;415;552;371;246;422;24;78;10;13;24;6;8;1;7;2;8941
Sittard-Geleen-G1883;38;46;7381;5951;2581;1712;1634;1894;1775;218;954;112;95;69;48;46;33;12;13;50505
Skarsterlân-G0051;14;15;2622;944;1475;770;548;472;493;326;195;77;15;9;6;4;8;7;3;12672
Sliedrecht-G0610;13;9;1077;1113;664;520;314;231;498;2537;200;21;10;23;10;1;4;6;0;10959
Slochteren-G0040;3;9;800;531;756;409;287;315;289;664;148;12;15;15;10;3;6;2;1;7678
Sluis-G1714;7;9;1570;1256;712;950;511;372;432;214;247;44;27;21;2;14;3;6;2;12237
Smallingerland-G0090;42;27;3810;1723;3073;1136;1159;1034;1225;2085;411;56;36;30;18;20;7;7;9;26440
Sneek-G0091;13;19;2101;1134;1717;882;857;664;722;424;277;61;15;21;9;14;7;7;7;16606
Soest-G0342;30;35;2526;2895;1364;2360;2143;1200;727;916;526;72;61;68;33;27;22;17;7;19503
Someren-G0847;11;14;1339;699;287;1429;215;180;208;36;89;28;3;5;5;5;2;6;3;9375
Son en Breugel-G0848;11;13;1199;688;364;853;616;301;286;56;156;21;21;26;9;8;5;5;2;7019
Spijkenisse-G0612;37;38;1830;4916;2083;1438;1222;931;1452;641;741;89;46;56;40;24;24;20;18;40535
Stadskanaal-G0037;13;17;2263;1324;1387;536;311;283;565;1116;206;41;22;14;8;6;11;5;4;17967
Staphorst-G0180;5;10;943;579;222;293;116;97;74;3071;56;10;5;3;2;5;3;2;2;5645
Stede Broec-G0532;7;9;1026;1201;584;662;443;375;379;110;209;36;21;21;12;5;4;10;5;10908
Steenbergen-G0851;11;10;1291;1363;508;740;365;232;337;208;199;39;13;5;11;9;3;8;2;12807
Steenwijkerland-G1708;15;20;3480;1849;1782;1446;879;748;764;1247;403;65;49;26;28;24;11;15;5;20446
Stein-G0971;14;11;1987;2036;1010;389;340;331;451;52;195;27;23;29;15;2;4;1;1;13823
Strijen-G0617;5;4;604;560;274;330;193;160;129;331;106;9;5;1;4;2;2;6;3;4262
Ten Boer-G0009;4;7;562;232;407;142;177;234;169;423;72;6;7;3;0;3;1;2;1;3085
Terneuzen-G0715;21;17;2779;2862;1568;1269;1019;658;800;1765;422;74;61;42;29;23;6;19;14;28476
Terschelling-G0093;2;3;303;276;298;315;162;187;132;38;55;13;7;7;5;3;1;1;1;2051
Texel-G0448;11;16;1058;714;618;608;463;541;375;129;174;38;19;26;9;5;5;10;2;5650
Teylingen-G1525;12;23;2692;1795;951;2034;1466;767;522;240;325;54;43;48;30;20;13;15;5;15235
Tholen-G0716;18;1;1075;1127;559;533;199;297;355;2427;213;27;11;14;6;3;3;9;0;11795
Tiel-G0281;15;20;1337;2026;1355;1196;918;746;674;346;295;49;33;32;18;9;29;13;4;20897
Tilburg-G0855;135;313;10380;9913;6981;6677;7544;6108;6667;521;1903;294;321;263;118;112;87;78;19;94223
Tubbergen-G0183;6;13;2850;721;283;443;224;158;131;42;55;21;9;7;5;7;1;1;1;10482
Twenterand-G1700;12;17;3205;1172;764;545;326;278;374;1691;198;25;11;17;7;10;5;8;7;16722
Tynaarlo-G1730;24;17;1578;1253;2043;1664;1481;1289;606;479;335;63;39;29;15;19;7;9;3;14060
Tytsjerksteradiel-G0737;15;12;3095;922;1502;689;625;678;547;678;203;57;16;8;15;22;1;8;3;15436
Ubbergen-G0282;3;8;756;352;379;302;368;435;259;24;121;12;16;5;1;15;7;2;0;4340
Uden-G0856;19;25;2924;1866;883;1293;949;574;1360;64;240;42;44;27;13;14;15;15;2;20379
Uitgeest-G0450;6;4;595;680;481;550;443;352;256;28;125;24;28;12;5;19;5;6;2;5841
