RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;Europa Transparant;SP;CU-SGP;D66;PvdD;LPF;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu;@abs
Nunspeet-G0302;;10.0;2597;874;883;174;367;271;3773;165;212;151;8;21;11;1;3;9874
Nuth-G0951;;10.0;3103;966;302;251;324;251;17;102;109;105;0;9;3;3;5;7202
Obdam-G0429;;8.0;644;377;329;129;143;101;11;64;57;70;3;2;3;1;1;3074
Oegstgeest-G0579;;23.0;1608;1503;1749;833;883;377;244;745;381;173;3;22;17;33;14;6586
Oirschot-G0823;;34.0;2238;952;731;154;375;256;13;155;92;104;0;9;14;6;4;8331
Oisterwijk-G0824;;16.0;2645;1383;1167;376;824;530;45;313;170;143;4;22;12;11;8;11724
Oldebroek-G0269;;4.0;1925;870;416;123;230;159;2561;103;74;89;3;27;2;8;4;10380
Oldenzaal-G0173;;25.0;3034;2452;1196;446;643;627;50;282;148;177;9;22;21;8;12;14754
Olst-Wijhe-G1773;;6.0;1775;1775;747;354;282;249;103;160;107;84;4;9;4;6;4;7121
Ommen-G0175;;10.0;2657;931;710;201;342;225;964;163;106;90;12;14;6;6;0;6511
Onderbanken-G0881;;6.0;1363;475;155;91;131;177;11;41;52;29;0;8;8;1;4;3868
Oosterhout-G0826;;34.0;3260;3174;2038;759;2192;1164;92;618;414;365;5;64;20;22;17;25803
Oostflakkee-G0580;;5.0;780;822;301;90;213;145;627;64;113;91;0;25;2;4;3;4561
Ooststellingwerf-G0085;;18.0;2059;2948;1028;476;500;449;389;202;246;158;190;18;3;8;9;11515
Oostzaan-G0431;;3.0;318;849;418;214;194;166;61;125;150;132;2;12;3;8;3;4289
Opmeer-G0432;;7.0;1054;640;556;148;265;143;21;84;70;88;6;12;13;10;6;5113
Opsterland-G0086;;12.0;2123;3404;995;534;512;647;852;231;217;156;239;10;7;6;5;12166
Oss-G0828;;49.0;6115;4405;2504;1068;1431;5164;104;788;459;418;18;68;41;50;14;34660
Oud-Beijerland-G0584;;17.0;1332;1325;893;343;579;399;1102;289;195;200;2;33;19;10;10;10921
Ouder-Amstel-G0437;;8.0;898;921;796;398;402;229;103;342;205;129;4;14;9;8;3;5378
Ouderkerk-G0644;;3.0;539;544;323;93;151;104;765;64;70;106;3;7;8;2;1;3255
Oudewater-G0589;;6.0;1265;464;374;118;194;115;331;108;43;83;1;17;6;4;3;4248
Overbetuwe-G1734;;13.0;3450;2519;1460;838;789;656;647;504;289;233;6;36;25;15;0;19274
Papendrecht-G0590;;8.0;1978;1934;1145;344;769;496;1063;315;316;360;6;44;15;10;14;14532
Pekela-G0765;;7.0;603;1761;268;214;81;243;137;52;61;57;167;3;6;4;6;6540
Pijnacker-Nootdorp-G1926;;28.0;3280;1859;1957;758;1066;491;528;656;328;421;8;42;41;27;13;15862
Purmerend-G0439;;47.0;2326;5843;2871;1342;1332;1781;261;879;970;797;18;70;66;40;30;38322
Putten-G0273;;13.0;3118;850;845;184;366;196;2069;158;192;170;1;14;11;5;6;9118
