RegioNaam;@invalid;@blank;CDA;PvdA;VVD;GL;Europa Transparant;SP;CU-SGP;D66;PvdD;LPF;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu;@abs
Aa en Hunze-G1680;;9.0;1218;3458;1976;598;466;454;124;336;243;129;267;14;5;7;6;10264
Aalburg-G0738;;2.0;1178;395;324;62;246;117;1367;46;101;78;0;16;4;5;4;4876
Aalsmeer-G0358;;32.0;1888;1253;1268;408;463;296;319;335;272;365;6;24;11;13;4;10409
Aalten-G0197;;8.0;2989;1116;529;283;380;503;330;155;150;108;6;7;12;11;7;7381
Abcoude-G0305;;5.0;762;535;660;287;305;133;97;211;135;80;4;7;3;10;1;2992
Achtkarspelen-G0059;;13.0;3116;2287;418;252;344;326;947;106;124;104;257;25;10;3;1;13111
Alblasserdam-G0482;;11.0;1135;1505;484;165;324;315;1405;97;159;140;5;17;9;6;0;7653
Albrandswaard-G0613;;13.0;1245;1187;1045;223;565;345;275;242;234;403;10;28;27;7;3;9127
Alkemade-G0483;;7.0;1535;714;843;242;278;247;22;153;121;158;1;27;14;6;15;6485
Alkmaar-G0361;;55.0;3993;8284;2970;2791;2191;2621;458;1134;1077;682;42;88;59;49;34;43955
Almelo-G0141;;37.0;4842;5929;2311;1054;1264;1281;705;565;469;485;16;37;31;14;19;34163
Almere-G0034;;94.0;3867;11355;6537;3273;2670;3172;1041;2351;1728;1517;47;178;124;73;66;79782
Alphen aan den Rijn-G0484;;58.0;4476;4186;3168;1470;1522;1584;1370;1059;736;638;16;109;36;44;24;31697
Alphen-Chaam-G1723;;4.0;1144;384;418;119;409;175;6;87;83;84;1;12;4;2;1;4242
Ambt Montfort-G1679;;7.0;1727;513;222;116;170;157;9;66;61;58;1;8;5;12;4;5519
Ameland-G0060;;0.0;481;405;243;77;95;70;24;36;37;31;25;5;3;4;0;1137
Amerongen-G0306;;11.0;669;353;355;117;213;106;347;94;102;47;0;4;6;2;3;3021
Amersfoort-G0307;;124.0;7569;9326;5478;4864;2876;3044;3453;2296;1440;858;27;94;70;71;26;54907
Amstelveen-G0362;;52.0;4541;5760;5307;2466;2407;1425;460;1792;1333;637;31;83;54;66;28;31564
Amsterdam-G0363;;1185.0;14665;53743;21347;33876;13768;19241;1782;13030;12295;4531;185;522;351;481;195;337703
Andijk-G0364;;1.0;611;371;276;92;174;143;191;45;46;76;0;2;4;1;4;2739
Angerlo-G0199;;0.0;494;394;198;62;79;114;3;45;44;39;1;4;1;1;0;2388
Anna Paulowna-G0366;;6.0;955;832;796;150;438;179;87;142;113;146;8;16;10;3;9;6416
Apeldoorn-G0200;;73.0;10614;12298;6621;3311;3146;2653;3943;2097;1602;1033;41;114;77;91;38;71376
Appingedam-G0003;;1.0;767;1433;304;144;162;232;169;76;82;71;228;8;2;4;1;6171
Arcen en Velden-G0885;;1.0;1417;430;221;118;166;105;10;67;31;47;1;4;4;2;1;4067
Arnhem-G0202;;132.0;6309;10718;4387;5044;2675;3985;864;2051;1635;805;26;137;59;68;23;68294
Assen-G0106;;46.0;3594;7159;2320;1512;971;1420;2159;762;453;333;357;38;15;13;17;25331
Asten-G0743;;12.0;1475;630;2493;211;342;336;11;119;78;85;4;10;9;4;3;6324
Baarle-Nassau-G0744;;1.0;937;280;214;68;219;121;4;57;54;51;2;1;3;3;2;3109
Baarn-G0308;;15.0;1974;1605;1570;680;664;458;435;423;355;267;6;43;18;22;6;9796
Barendrecht-G0489;;9.0;2476;1944;1545;566;975;624;1421;421;301;437;6;44;24;14;6;16919
Barneveld-G0203;;35.0;5448;1315;1616;425;709;391;5694;248;234;315;12;51;26;12;13;18463
Bathmen-G0144;;3.0;457;444;458;118;140;86;15;86;64;36;2;4;1;5;0;2198
Bedum-G0005;;6.0;1268;958;285;231;141;212;609;111;85;33;191;5;4;6;6;3910
Beek-G0888;;8.0;2750;890;457;246;362;240;24;140;91;79;1;6;5;3;6;7909
Beemster-G0370;;4.0;596;722;671;165;251;167;10;110;106;83;1;9;8;0;4;3565
Beesel-G0889;;5.0;1680;699;279;138;201;161;6;85;63;71;2;13;12;2;3;6730
Bellingwedde-G0007;;3.0;433;1480;421;155;143;195;75;54;113;72;96;4;2;2;3;4309
Bennebroek-G0372;;2.0;624;337;539;136;239;69;17;121;102;36;2;4;2;9;6;1807
Bergambacht-G0491;;3.0;721;787;472;131;188;148;783;78;80;104;0;17;7;3;2;3373
Bergeijk-G1724;;21.0;2135;843;727;199;574;289;27;127;112;111;5;15;12;12;5;8399
Bergen-G0893;;5.0;1733;603;252;113;179;173;2;56;63;75;1;12;3;4;6;6896
Bergen-G0373;;24.0;2129;2377;2056;1018;1242;578;71;505;506;285;19;40;30;30;7;13724
Bergen op Zoom-G0748;;66.0;3546;3523;2149;782;2446;1086;145;579;464;513;12;90;45;32;16;33295
Bergh-G0207;;6.0;1726;1162;634;179;328;253;25;137;119;103;4;16;12;10;2;9346
Bergschenhoek-G0492;;9.0;1172;665;971;205;336;154;325;214;125;206;1;34;14;7;6;6605
Berkel en Rodenrijs-G0493;;9.0;1833;854;840;300;436;243;653;246;164;252;5;22;12;6;3;7181
Bernheze-G1721;;15.0;3449;1326;823;290;504;947;22;234;132;140;5;22;5;15;7;13624
Bernisse-G0568;;12.0;937;828;692;154;334;212;166;161;147;162;4;28;10;7;4;5906
Best-G0753;;34.0;2173;1681;1306;358;686;551;187;462;192;188;8;37;22;11;11;13265
Beuningen-G0209;;6.0;1812;1764;777;411;470;455;60;260;160;151;5;19;15;9;6;12381
Beverwijk-G0375;;25.0;1792;2873;1205;740;738;703;108;366;404;355;9;52;24;26;7;18442
Binnenmaas-G0585;;12.0;1349;1299;1025;286;632;340;622;214;168;230;2;42;17;10;6;8848
Bladel-G1728;;13.0;2048;864;707;192;573;400;29;162;92;92;6;23;14;11;4;9214
Blaricum-G0376;;4.0;681;610;1009;229;351;149;33;244;212;89;0;11;11;15;12;3507
Bleiswijk-G0495;;6.0;1041;444;634;121;286;100;251;127;99;142;0;15;14;8;2;4166
Bloemendaal-G0377;;9.0;1504;1000;2203;620;739;204;58;522;426;130;2;14;9;104;1;5258
Boarnsterhim-G0055;;6.0;1154;2626;956;402;360;303;96;219;129;97;297;17;7;6;3;7919
Bodegraven-G0497;;11.0;1830;885;803;303;444;264;1012;186;150;133;3;16;6;9;5;8125
Boekel-G0755;;4.0;1400;428;219;80;154;223;7;60;40;83;6;8;3;5;3;4146
Bolsward-G0064;;3.0;941;876;210;148;200;181;75;55;94;38;57;1;3;6;1;4204
Borculo-G0211;;2.0;954;1160;800;145;199;258;44;113;69;61;1;9;2;5;4;4101
Borger-Odoorn-G1681;;13.0;1751;3391;1290;424;433;377;267;211;195;134;215;10;10;10;11;11593
Borne-G0147;;15.0;2246;1611;835;320;513;371;74;233;100;129;4;5;5;7;5;8735
Borsele-G0654;;3.0;1683;1180;825;309;474;307;1649;203;266;140;4;28;15;13;6;9427
Boskoop-G0499;;10.0;1514;712;827;304;378;237;486;229;139;158;4;15;7;7;1;6174
Boxmeer-G0756;;13.0;3501;1693;999;379;680;900;41;278;167;174;2;40;9;11;14;13043
Boxtel-G0757;;20.0;2695;1811;851;532;734;883;43;340;174;170;3;26;17;14;5;14101
Breda-G0758;;144.0;9302;9368;6648;3596;7531;3561;361;2408;1281;1012;20;136;86;80;49;81342
Breukelen-G0311;;7.0;1388;769;851;349;356;220;591;264;168;111;1;13;6;10;4;5614
Briefstemmen-G9999;16.0;;1936;1649;3595;1434;966;393;334;1020;279;262;28;44;19;67;4;3786
Brielle-G0501;;16.0;798;1225;897;238;439;372;73;228;186;185;0;30;14;11;3;7620
Brummen-G0213;;5.0;1303;2098;968;379;419;384;90;215;193;138;5;9;16;6;3;10151
Brunssum-G0899;;7.0;2912;1754;434;280;436;553;88;134;230;153;12;24;17;10;14;16133
Bunnik-G0312;;9.0;1495;1023;755;789;570;346;153;319;149;111;0;17;8;12;11;4859
Bunschoten-G0313;;8.0;1984;330;288;82;256;118;2575;58;57;95;1;24;3;7;3;8054
Buren-G0214;;7.0;1643;2023;1423;386;518;327;564;259;269;224;4;23;21;21;3;11811
Bussum-G0381;;12.0;2077;2113;2381;1089;1039;532;199;819;536;194;13;38;18;57;28;12438
Capelle aan den IJssel-G0502;;51.0;2803;4417;2454;921;1414;1237;2395;745;758;896;15;94;56;35;22;31257
Castricum-G0383;;10.0;2582;2846;2086;1210;1408;701;90;653;464;293;9;52;36;21;15;14262
Coevorden-G0109;;17.0;3087;4278;2034;529;624;648;239;293;251;191;219;10;18;11;8;15273
Cranendonck-G1706;;9.0;2030;985;720;159;460;307;29;143;133;164;2;16;16;17;12;10189
Cromstrijen-G0611;;13.0;855;1014;624;147;303;231;428;142;110;146;0;25;4;2;2;6079
Cuijk-G1684;;11.0;2246;1514;714;397;516;610;21;254;164;146;6;17;19;12;3;11311
Culemborg-G0216;;16.0;1373;1730;962;882;472;677;213;356;230;209;3;38;13;10;7;11699
Dalfsen-G0148;;11.0;3804;1566;987;311;422;279;1355;211;139;137;13;9;13;7;5;10503
Dantumadeel-G0065;;4.0;2085;1591;273;209;293;205;928;91;89;88;151;26;3;6;1;8769
De Bilt-G0310;;39.0;3386;2763;3146;1681;1409;1104;1090;1143;696;358;13;38;30;60;13;15230
De Marne-G1663;;9.0;996;1111;485;276;177;338;484;72;109;59;143;4;3;3;1;4212
De Ronde Venen-G0736;;15.0;3140;1635;1982;542;795;509;681;465;304;353;5;49;26;22;14;14986
De Wolden-G1690;;5.0;2225;2195;1918;408;427;329;332;248;182;143;181;15;11;9;4;9498
Delft-G0503;;193.0;4820;8011;4068;3976;2238;2525;1084;2663;1127;883;25;103;97;71;30;39857
Delfzijl-G0010;;5.0;1642;2625;621;225;431;407;395;134;177;105;417;11;9;3;5;14847
Den Helder-G0400;;25.0;2408;3460;2218;672;1300;640;631;533;624;535;26;64;40;24;22;32541
Deurne-G0762;;21.0;3177;1345;1642;411;673;729;35;252;140;174;2;31;16;15;6;15581
Deventer-G0150;;37.0;4751;8391;3268;2915;1595;2071;698;1293;676;458;36;52;42;45;19;39157
Didam-G0218;;12.0;1720;1197;476;173;253;229;28;119;89;157;1;12;2;10;15;8472
Diemen-G0384;;22.0;952;1780;1069;719;591;549;100;416;354;196;4;18;20;7;5;10844
Dinkelland-G1774;;11.0;5165;1172;1049;200;542;305;36;155;78;123;7;18;17;8;7;10388
Dinxperlo-G0219;;2.0;1034;525;212;77;148;150;63;62;40;61;2;2;3;4;2;4076
Dirksland-G0504;;0.0;603;489;215;72;144;152;929;43;79;84;0;5;2;3;1;3348
Doesburg-G0221;;14.0;694;1010;339;171;203;564;84;175;123;54;1;6;1;7;2;5045
Doetinchem-G0222;;15.0;3473;3991;1769;1082;1051;1162;597;599;443;336;6;36;24;9;13;22606
Dongen-G0766;;18.0;1852;1277;814;254;642;1473;87;229;126;121;5;21;7;8;6;11879
Dongeradeel-G0058;;5.0;3433;1508;458;284;461;374;545;121;167;117;224;19;5;5;11;10701
Doorn-G0315;;10.0;928;551;816;325;377;178;212;215;173;76;5;10;5;15;8;4022
Dordrecht-G0505;;63.0;5580;7996;3567;2267;2248;2744;2705;1272;1184;1199;30;125;66;43;28;56860
Drechterland-G0498;;5.0;845;594;591;163;266;202;25;115;85;111;6;8;7;8;4;4701
Driebergen-Rijsenburg-G0316;;10.0;1628;1117;1205;902;601;434;534;389;248;131;6;10;8;19;2;6846
Drimmelen-G1719;;12.0;1987;1582;912;305;997;487;40;299;174;221;0;46;17;8;6;13298
Dronten-G0303;;19.0;3214;2022;2672;592;749;603;945;348;287;242;12;33;29;16;21;14598
Druten-G0225;;2.0;1411;1325;552;239;297;313;13;168;99;102;5;11;7;7;4;8581
Duiven-G0226;;11.0;1808;1683;954;428;460;383;121;247;194;164;3;39;9;12;4;12041
Echt-Susteren-G1711;;6.0;5290;1688;522;358;514;394;42;178;216;138;2;26;3;8;10;15609
Edam-Volendam-G0385;;9.0;2215;1132;930;348;682;362;48;194;310;344;4;47;18;5;8;14709
Ede-G0228;;37.0;9501;4999;4058;2024;2263;1291;7529;1010;788;618;34;94;58;35;32;42808
Eemnes-G0317;;0.0;679;536;524;198;225;161;127;168;115;70;2;15;6;1;6;3536
Eemsmond-G1651;;5.0;1445;1911;536;297;230;402;716;85;126;95;233;12;7;9;6;6708
Eersel-G0770;;17.0;2308;825;748;233;614;332;28;215;99;121;1;13;9;8;0;8096
Eibergen-G0229;;8.0;2369;1444;647;256;283;344;40;152;119;83;3;13;8;3;2;6783
Eijsden-G0905;;9.0;1860;659;278;192;222;152;6;94;60;40;3;5;1;6;1;5334
Eindhoven-G0772;;193.0;11420;13738;7303;4994;4634;6091;770;3229;1492;1458;36;210;108;136;35;101893
Elburg-G0230;;3.0;2041;872;669;192;301;218;2482;115;99;119;2;12;11;12;8;8966
Emmen-G0114;;49.0;7425;11656;2737;1327;1712;1553;913;769;647;496;656;53;37;17;25;53461
Enkhuizen-G0388;;13.0;872;1392;609;381;464;530;245;199;181;130;6;12;8;3;8;8004
Enschede-G0153;;146.0;7519;13539;5324;3222;2429;3146;2091;2050;1043;739;54;95;57;40;39;73258
Epe-G0232;;13.0;2851;2754;1773;520;630;344;1125;295;379;240;16;18;18;8;7;14829
Ermelo-G0233;;9.0;3418;1039;1051;482;594;421;1758;271;230;202;6;26;14;17;9;10231
Etten-Leur-G0777;;37.0;2328;2141;1265;500;1367;564;86;382;235;307;6;36;21;8;14;20289
Ferwerderadiel-G1722;;4.0;1181;559;183;115;155;115;200;48;77;58;81;6;2;2;1;4007
Franekeradeel-G0070;;9.0;1956;1817;590;302;301;306;281;129;136;102;229;4;9;7;6;9523
Gaasterlân-Sleat-G0653;;0.0;1489;723;370;190;261;114;229;56;66;60;88;7;9;1;5;4085
Geertruidenberg-G0779;;15.0;1409;1362;709;236;610;408;53;189;152;185;5;31;4;12;16;10993
Geldermalsen-G0236;;5.0;2177;1765;1362;452;541;371;986;296;263;253;5;43;17;18;6;10513
Geldrop-Mierlo-G1771;;45.0;2971;2035;1487;651;1034;945;101;428;267;254;8;29;21;32;12;18387
Gemert-Bakel-G1652;;16.0;3111;1338;898;280;489;728;22;160;127;142;2;19;4;5;7;13616
Gendringen-G0237;;5.0;2354;1352;530;203;332;346;27;125;110;142;2;14;8;4;0;10007
Gennep-G0907;;12.0;1763;898;333;193;312;337;18;179;100;85;1;5;6;1;1;8606
Giessenlanden-G0689;;12.0;1630;1082;830;158;326;242;878;119;103;127;5;15;14;4;4;5228
Gilze en Rijen-G0784;;29.0;2030;1608;895;329;832;547;31;252;142;171;1;41;8;10;11;11907
Goedereede-G0511;;4.0;1266;592;424;76;229;159;1576;62;85;97;3;18;11;7;5;4251
Goes-G0664;;10.0;2490;2285;1476;759;774;625;1736;431;487;188;7;27;30;28;18;16801
Goirle-G0785;;9.0;1732;1381;876;412;703;585;23;254;160;103;6;15;11;7;4;11123
Gorinchem-G0512;;26.0;1822;2404;1258;512;565;752;777;359;293;255;4;25;23;32;8;15787
Gorssel-G0239;;7.0;1428;1046;1106;338;408;282;68;239;200;60;6;16;11;25;4;5303
Gouda-G0513;;86.0;3767;5314;2612;2064;1579;1565;2538;1065;823;777;21;123;57;34;18;29721
Graafstroom-G0693;;6.0;1446;383;316;89;177;108;1261;33;57;64;1;9;2;3;1;2876
Graft-De Rijp-G0365;;1.0;477;547;410;138;198;119;7;70;103;51;2;6;9;1;9;2706
Grave-G0786;;6.0;1224;738;488;232;340;549;24;132;90;83;2;18;8;6;5;5528
Groenlo-G0240;;8.0;1203;707;320;88;168;243;13;56;46;55;1;11;5;1;1;4416
Groesbeek-G0241;;6.0;1794;1550;502;444;382;454;44;167;136;101;6;10;4;4;5;9008
Groningen-G0014;;234.0;6778;20320;6725;9262;2842;7233;3449;4382;1987;794;1479;88;39;121;42;80133
Grootegast-G0015;;4.0;1482;639;294;114;121;122;507;60;58;60;118;6;6;1;2;5224
Gulpen-Wittem-G1729;;7.0;3205;879;291;259;360;264;28;84;104;99;2;11;5;5;6;6293
Haaksbergen-G0158;;13.0;2689;1573;1791;259;443;337;54;200;123;129;3;19;13;5;6;10686
Haaren-G0788;;9.0;1726;603;553;199;352;197;25;130;61;69;2;5;7;18;8;6407
Haarlem-G0392;;121.0;6214;12332;5369;5801;3398;4079;884;2591;2721;1050;44;171;99;238;41;66718
Haarlemmerliede en Spaarnwoude-G0393;;0.0;420;319;284;148;145;98;17;100;94;49;0;5;4;8;1;2428
Haarlemmermeer-G0394;;56.0;7239;7473;7023;2317;2577;2326;1326;1945;1442;1438;30;131;93;77;48;58687
Haelen-G0914;;5.0;1515;486;251;125;216;123;12;93;93;45;0;4;6;2;2;4723
Halderberge-G1655;;20.0;2179;1579;1055;248;1021;495;54;237;211;258;6;35;18;10;12;15279
Hardenberg-G0160;;18.0;7134;4034;1623;524;784;737;3469;291;284;331;88;21;27;14;12;23478
Harderwijk-G0243;;11.0;4025;1986;1538;743;735;584;1809;423;285;336;13;34;15;13;10;17465
Hardinxveld-Giessendam-G0523;;8.0;1391;1023;414;87;276;195;2679;68;89;111;4;25;8;5;5;6680
Haren-G0017;;16.0;1669;1814;1540;944;598;369;458;482;238;123;177;14;2;18;1;6022
Harenkarspel-G0395;;4.0;1116;881;724;277;469;212;30;187;115;103;1;11;12;9;5;7524
Harlingen-G0072;;7.0;911;1503;406;283;308;253;197;117;130;89;181;13;9;3;2;7400
Hattem-G0244;;8.0;1143;1139;474;157;276;135;940;120;84;48;4;7;6;5;3;4402
Heel-G1937;;4.0;1192;373;196;57;154;124;4;70;49;36;0;4;0;0;4;4131
Heemskerk-G0396;;10.0;2133;2555;1024;815;868;668;146;383;328;335;9;35;23;17;6;17450
Heemstede-G0397;;15.0;2183;1649;2411;874;1124;525;98;699;471;210;8;24;21;75;11;9146
Heerde-G0246;;12.0;1990;1484;664;155;349;186;1111;122;171;100;2;18;15;8;5;7411
Heerenveen-G0074;;18.0;2595;5030;1554;753;762;732;490;449;324;202;259;16;16;21;5;19304
Heerhugowaard-G0398;;30.0;2332;3366;1873;812;952;756;282;521;459;343;9;42;40;21;9;22990
Heerlen-G0917;;37.0;8395;5246;1314;1144;1480;3702;188;495;675;415;18;85;51;36;34;48920
Heeze-Leende-G1658;;21.0;1709;691;887;247;480;265;14;188;108;68;3;17;6;96;6;6760
Heiloo-G0399;;12.0;1693;1676;1587;685;913;340;92;411;286;167;9;29;6;16;5;9021
Helden-G0918;;10.0;2769;679;454;205;277;229;21;105;76;79;5;15;3;0;1;9659
Hellendoorn-G0163;;13.0;5776;2259;1081;439;741;520;701;222;166;186;10;31;15;6;12;15548
Hellevoetsluis-G0530;;39.0;1180;2826;1559;581;749;738;238;374;400;470;10;60;48;17;13;20842
Helmond-G0794;;64.0;4057;4611;4074;918;1538;2014;145;632;506;548;12;71;33;26;20;42654
Hendrik-Ido-Ambacht-G0531;;13.0;1435;1238;944;235;489;230;1725;182;192;233;4;35;7;5;6;10005
Hengelo-G0248;;2.0;1081;624;342;77;125;106;41;77;43;57;2;6;6;2;3;3916
Hengelo-G0164;;53.0;6224;6806;2979;1634;1611;2630;728;1033;567;476;26;69;40;36;15;36185
Het Bildt-G0063;;4.0;1085;936;333;132;166;241;62;48;65;48;60;12;4;3;2;4822
Heumen-G0252;;7.0;1648;1185;700;563;445;372;27;271;108;78;4;12;3;2;4;6852
Heusden-G0797;;29.0;3545;2310;1521;537;1095;910;94;452;278;283;7;67;31;23;20;20835
Heythuysen-G0920;;8.0;2113;484;287;158;245;146;19;84;83;51;1;8;1;3;5;5457
Hillegom-G0534;;14.0;1741;1297;1120;386;517;340;109;260;274;226;7;32;23;15;11;9140
Hilvarenbeek-G0798;;9.0;1732;878;546;244;414;304;12;142;98;98;3;9;5;6;4;6758
Hilversum-G0402;;54.0;4401;5874;3893;2546;2288;2056;839;1481;1109;537;19;112;40;73;21;38381
Hof van Twente-G1735;;18.0;4777;2987;2172;459;872;521;143;308;183;209;12;30;10;12;12;13987
Hoogeveen-G0118;;13.0;5802;4421;1445;609;754;756;1498;363;253;308;229;34;17;8;6;24714
Hoogezand-Sappemeer-G0018;;17.0;1169;3855;1043;526;353;669;471;233;240;166;384;19;16;15;15;16807
Hoorn-G0405;;49.0;2828;5166;2411;1601;1642;1866;269;849;754;616;26;68;48;46;25;32431
Horst aan de Maas-G1507;;11.0;4064;1062;658;254;382;703;34;214;111;115;5;4;12;11;2;13752
Houten-G0321;;29.0;2874;2752;1892;1480;924;778;1311;804;357;265;17;30;32;31;9;16498
Huizen-G0406;;19.0;3694;3164;2951;1076;1227;754;1535;849;597;420;20;38;54;57;22;14682
Hulst-G0677;;21.0;2052;1619;736;255;1058;414;56;657;224;215;3;54;25;10;15;13042
Hummelo en Keppel-G0256;;0.0;506;417;338;72;132;94;27;70;67;32;3;1;2;6;0;1795
Hunsel-G0925;;1.0;1073;224;144;51;99;83;2;36;30;29;1;2;0;1;4;2813
IJsselstein-G0353;;15.0;1954;1991;1469;603;601;587;408;497;218;236;7;48;26;30;6;15400
Jacobswoude-G0645;;9.0;1150;532;599;186;315;182;95;177;102;115;1;22;3;6;6;4605
Kampen-G0166;;15.0;4684;2775;953;785;801;711;4702;266;283;203;21;35;17;10;8;19550
Kapelle-G0678;;7.0;915;647;560;157;254;147;802;134;124;68;1;11;6;2;4;4774
Katwijk-G0537;;18.0;3777;1351;907;336;1063;488;2904;258;285;298;7;40;28;9;6;19205
Kerkrade-G0928;;17.0;4425;2763;493;429;505;1000;48;154;307;226;8;38;23;15;15;26639
Kessel-G0929;;12.0;774;163;117;28;52;38;0;13;7;14;0;0;1;2;0;2000
Kollumerland en Nieuwkruisland-G0079;;15.0;1685;781;229;151;189;144;310;48;95;51;138;8;2;6;2;6089
Korendijk-G0588;;5.0;698;603;398;133;276;179;877;84;131;131;2;14;8;3;1;4703
Krimpen aan den IJssel-G0542;;21.0;1598;2126;1080;404;686;414;2231;307;283;404;9;40;20;14;4;12299
Laarbeek-G1659;;16.0;2161;1236;1156;277;466;484;14;176;121;167;4;21;11;4;2;10110
Landerd-G1685;;6.0;1990;946;521;132;318;469;12;111;67;118;2;8;7;7;3;6305
Landgraaf-G0882;;8.0;3714;2158;493;460;594;957;54;171;308;157;7;26;12;9;16;21599
Landsmeer-G0415;;6.0;404;980;568;285;273;205;44;189;164;106;4;9;5;4;4;4639
Langedijk-G0416;;14.0;1689;1766;1289;514;631;429;251;341;255;195;10;20;14;19;6;11406
Laren-G0417;;4.0;974;598;1207;237;421;156;27;234;229;88;5;8;9;22;24;4382
Leek-G0022;;6.0;1536;1948;716;369;285;391;711;181;119;94;177;9;4;12;1;7763
Leerdam-G0545;;18.0;1782;1295;679;221;307;279;1037;154;159;141;2;34;11;5;1;9174
Leersum-G0326;;5.0;633;459;458;195;218;111;183;128;135;73;0;9;8;6;2;2961
Leeuwarden-G0080;;59.0;4779;9630;2520;2633;1751;2433;1015;1022;780;425;436;69;34;29;17;43585
Leeuwarderadeel-G0081;;10.0;955;1388;356;168;225;144;129;96;80;68;96;7;0;1;1;4081
Leiden-G0546;;287.0;4421;10169;4948;6013;2643;3565;852;3488;1695;801;35;93;58;149;39;49912
Leiderdorp-G0547;;20.0;1754;1758;1422;779;801;638;223;548;342;238;10;27;14;11;10;10834
Leidschendam-Voorburg-G1916;;71.0;5757;4523;4544;1826;2331;1525;452;1466;1192;880;15;85;85;64;29;31620
Lelystad-G0995;;59.0;2412;5230;2696;1431;1221;1479;916;816;797;646;24;98;55;36;30;33213
Lemsterland-G0082;;3.0;1135;1115;500;135;220;207;151;101;119;82;64;6;6;10;0;6041
Leusden-G0327;;17.0;2395;1863;1697;885;853;515;834;584;328;212;7;18;14;22;13;11166
Lichtenvoorde-G0260;;11.0;2649;1115;762;209;285;385;23;175;66;105;4;8;11;8;6;8325
Liemeer-G1673;;5.0;735;253;306;77;142;100;96;65;66;85;0;14;3;2;4;2902
Liesveld-G0694;;3.0;1072;603;382;89;146;112;1058;66;71;66;0;13;8;0;1;3326
