RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Hengelo-G0248;84;0;1004;508;704;34;420;98;35;0;0;188.0
Hengelo-G0164;858;0;8223;7621;1267;4361;1140;1252;99;0;0;1847.0
Hennaarderadeel-G0076;17;0;112;725;550;21;1007;107;12;0;0;180.0
Hensbroek-G0401;18;0;248;167;8;60;6;13;1;0;0;57.0
Herkingen-G1078;15;0;0;13;189;0;32;20;210;0;0;45.0
Herten-G0919;31;0;758;21;0;5;0;0;0;6;0;30.0
Herwen en Aerdt-G0249;83;0;1964;259;133;0;205;19;0;0;0;129.0
Herwijnen-G0250;14;0;14;356;296;7;233;54;70;0;0;13.0
Het Bildt-G0063;78;0;23;1660;1672;660;770;255;3;0;0;410.0
Heteren-G0251;19;0;1075;59;177;20;482;42;238;0;0;138.0
Heukelum-G0533;37;0;9;376;246;8;134;129;15;0;0;65.0
Heumen-G0252;39;0;1279;0;20;0;29;9;3;0;0;83.0
Heusden-G0797;38;0;927;193;127;0;181;44;20;0;0;100.0
Heythuysen-G0920;39;0;1385;26;0;0;0;0;0;8;0;67.0
Hillegom-G0534;70;0;3360;974;688;135;821;216;78;0;0;411.0
Hilvarenbeek-G0798;55;0;1805;186;25;18;85;16;4;196;0;150.0
Hilversum-G0402;1778;0;9415;12526;5785;6150;3653;3864;726;790;0;4508.0
Hindeloopen-G0077;9;0;10;234;65;48;159;1;0;0;0;45.0
Hoedekenskerke-G0673;12;0;396;56;41;4;176;27;107;0;0;67.0
Hoek-G0674;37;0;37;323;210;34;404;324;261;4;0;117.0
Hoenkoop-G0319;4;0;131;9;64;1;48;16;9;0;0;20.0
Hoensbroek-G0921;351;0;4191;666;0;1242;0;0;0;283;0;495.0
Hoevelaken-G0253;17;0;52;140;68;11;473;7;72;0;0;53.0
Hoeven-G0799;118;0;2056;56;17;14;17;3;7;6;0;116.0
Holten-G0165;66;0;73;565;366;26;1064;464;17;0;0;176.0
Hontenisse-G0675;118;0;2435;65;26;13;115;53;4;154;0;333.0
Hoofdplaat-G0676;18;0;517;25;21;10;47;18;10;0;0;27.0
Hoogblokland-G0535;4;0;4;120;174;0;7;129;23;0;0;27.0
Hooge en Lage Mierde-G0801;11;0;1052;17;3;3;11;0;0;0;0;87.0
Hooge en Lage Zwaluwe-G0802;34;0;1078;91;70;18;875;37;12;6;0;110.0
Hoogeloon, Hapert en Casteren-G0800;6;0;1356;10;0;1;37;0;0;3;0;45.0
Hoogeveen-G0118;697;0;86;1683;3845;491;2041;312;0;0;0;725.0
Hoogezand-G1083;334;0;514;3006;505;1740;309;696;0;9;0;614.0
Hoogkarspel-G0403;23;0;796;284;10;27;9;43;3;0;0;56.0
Hoogkerk-G1084;61;0;42;767;786;280;277;147;0;4;0;147.0
Hoogland-G0320;42;0;1406;95;87;18;198;21;40;0;0;87.0
Hoogwoud-G0404;14;0;617;370;38;156;20;106;11;6;0;49.0
Hoorn-G0405;226;0;2359;2576;464;926;246;534;77;12;0;641.0
Hoornaar-G0536;6;0;0;102;203;6;4;77;20;0;0;23.0
Horn-G0922;33;0;1120;28;0;6;0;0;0;10;0;
Horssen-G0254;11;0;469;0;3;0;67;0;1;0;0;31.0
Horst-G0923;49;0;4081;69;0;0;0;0;0;15;0;173.0
Houten-G0321;11;0;895;64;104;18;106;30;118;0;0;81.0
Huijbergen-G0803;10;0;339;5;7;0;2;0;0;0;0;12.0
Huissen-G0255;55;0;2679;45;38;0;122;12;0;0;0;147.0
Huizen-G0406;113;0;124;1125;1905;260;1557;305;367;79;0;467.0
Hulsberg-G0924;36;0;823;22;0;36;0;0;0;13;0;55.0
Hulst-G0677;118;0;1314;68;5;24;28;36;3;650;0;152.0
Hummelo en Keppel-G0256;51;0;317;660;376;34;193;170;10;0;0;173.0
Hunsel-G0925;15;0;1290;26;0;0;0;0;0;2;0;62.0
Hurwenen-G1089;86;0;102;0;30;0;71;10;11;0;0;19.0
Idaarderadeel-G0078;82;0;195;2315;212;567;148;137;2;0;0;211.0
IJlst-G0102;4;0;9;202;255;19;262;12;0;0;0;55.0
IJsselmuiden-G0191;95;0;415;313;833;22;614;98;958;0;0;253.0
IJsselstein-G0353;17;0;1369;285;177;14;487;25;183;0;0;139.0
IJzendijke-G0730;43;0;842;197;77;51;72;175;8;0;0;142.0
Ilpendam-G0407;20;0;248;399;104;292;158;45;23;3;0;99.0
Itteren-G0926;25;0;274;17;0;0;0;0;0;4;0;7.0
Jabeek-G0927;15;0;273;8;0;2;0;0;0;4;0;17.0
Jisp-G0408;15;0;23;228;15;91;7;25;2;2;0;26.0
Jutphaas-G0322;104;0;1795;1476;624;420;513;73;105;0;0;315.0
Kamerik-G0323;14;0;370;34;180;5;334;9;114;0;0;84.0
Kampen-G0166;265;0;1163;2798;3294;248;2506;294;1037;0;0;1173.0
Kantens-G0020;17;0;16;493;346;51;135;191;0;10;0;94.0
Kapelle-G0678;56;0;53;413;411;26;811;206;212;0;0;193.0
Kattendijke-G0679;10;0;11;256;36;11;264;49;22;0;0;66.0
Katwijk-G0537;138;0;456;804;1232;122;4819;165;781;0;0;990.0
Katwoude-G0409;0;0;19;37;17;10;45;8;0;0;0;6.0
Kedichem-G0538;24;0;4;217;130;17;10;199;22;0;0;60.0
Kerkrade-G0928;1181;0;11985;1343;0;2697;0;0;0;580;0;927.0
Kerkwerve-G1095;4;0;1;66;137;0;92;56;40;0;0;23.0
Kerkwijk-G0257;157;0;7;0;392;0;96;26;39;0;0;79.0
Kessel-G0929;28;0;901;17;0;2;0;0;0;3;0;43.0
Kesteren-G0258;91;0;61;486;619;26;220;118;577;0;0;220.0
Klaaswaal-G0539;33;0;8;370;262;37;219;149;159;0;0;119.0
Klimmen-G0930;51;0;1017;21;0;17;0;0;0;9;0;58.0
Kloetinge-G0680;40;0;51;215;148;15;459;87;51;0;0;155.0
Kloosterburen-G0021;8;0;508;256;299;20;23;131;0;5;0;86.0
Klundert-G0804;51;0;736;32;803;13;513;24;100;4;0;175.0
Kockengen-G0324;6;0;254;9;147;9;159;11;104;0;0;40.0
Koedijk-G0410;38;0;303;403;84;201;37;57;3;2;0;84.0
Koewacht-G0681;55;0;891;26;14;11;7;37;3;167;0;102.0
Kollumerland en Nieuwkruisland-G0079;93;0;8;648;2380;95;1535;236;139;0;0;384.0
Koog aan de Zaan-G0411;85;0;382;1503;395;1316;96;217;18;10;0;288.0
Kortenhoef-G1097;39;0;273;271;105;87;228;36;82;9;0;93.0
Kortgene-G0682;43;0;10;829;345;0;635;275;144;0;0;291.0
Koudekerk aan den Rijn-G0540;40;0;85;77;308;7;304;27;31;0;0;46.0
Koudekerke-G1098;30;0;18;182;368;10;368;48;73;0;0;51.0
Krabbendijke-G0684;33;0;11;185;205;18;410;66;512;0;0;199.0
Krimpen aan de Lek-G0541;66;0;11;741;544;145;75;140;135;0;0;124.0
Krimpen aan den IJssel-G0542;138;0;23;1272;406;236;337;168;666;0;0;243.0
Krommenie-G0413;42;0;852;940;299;1358;57;101;9;9;0;193.0
Kruiningen-G0685;63;0;402;631;258;58;499;279;286;0;0;332.0
Kuinre-G0167;18;0;49;195;28;33;123;11;2;0;0;31.0
Kwadijk-G0414;5;0;8;149;14;30;8;31;4;0;0;9.0
Landsmeer-G0415;59;0;94;689;410;544;212;76;43;5;0;197.0
Langbroek-G0325;11;0;135;76;183;8;163;15;169;0;0;48.0
Lange Ruige Weide-G1101;3;0;20;12;166;2;108;13;69;0;0;32.0
Langedijk-G0416;68;0;1177;1325;843;474;357;193;7;0;0;288.0
Langerak-G0543;14;0;2;78;236;10;5;60;84;0;0;49.0
Laren-G0417;111;0;2393;868;292;544;264;656;41;43;0;645.0
Laren (Gld.)-G0259;178;0;101;970;333;143;764;1121;0;0;0;392.0
Leek-G0022;124;0;24;1596;1495;235;456;453;0;31;0;420.0
Leende-G0805;10;0;1026;31;6;4;3;6;0;2;0;55.0
Leens-G0023;44;0;216;575;876;80;64;348;0;21;0;181.0
Leerbroek-G0544;6;0;2;25;197;4;51;31;126;0;0;92.0
Leerdam-G0545;124;0;191;1469;1510;258;640;380;505;0;0;406.0
Leersum-G0326;48;0;21;406;295;55;281;173;222;0;0;144.0
Leeuwarden-G0080;899;0;3931;17770;6756;5026;3396;2579;87;0;0;3378.0
Leeuwarderadeel-G0081;53;0;12;1468;649;187;163;259;1;0;0;204.0
Leiden-G0546;1316;0;9756;14622;5412;6291;5398;2887;608;0;0;3340.0
Leiderdorp-G0547;47;0;318;386;750;38;459;71;66;0;0;188.0
Leidschendam-G0548;102;0;3123;523;359;125;486;216;41;0;0;295.0
Leimuiden-G0549;7;0;537;99;257;19;127;30;14;0;0;66.0
Lekkerkerk-G0550;86;0;11;1035;380;113;32;706;321;0;0;175.0
Lemsterland-G0082;119;0;267;1201;841;687;1076;64;61;0;0;162.0
Leusden-G0327;28;0;480;233;205;59;301;87;104;0;0;130.0
Lexmond-G0551;13;0;9;247;359;8;171;59;130;0;0;85.0
Lichtenvoorde-G0260;22;0;3504;236;114;1;257;21;0;0;0;234.0
Liempde-G0806;24;0;975;10;6;3;1;2;0;2;0;39.0
Lienden-G0261;120;0;58;940;152;36;632;381;182;0;0;242.0
Lieshout-G0807;22;0;1227;17;10;6;2;15;0;1;0;77.0
Limbricht-G0931;42;0;1104;28;0;3;0;0;0;57;0;50.0
Limmen-G0418;13;0;1142;74;13;111;5;36;2;0;0;52.0
Linne-G0932;42;0;856;33;0;7;0;0;0;9;0;63.0
Linschoten-G0328;20;0;257;31;162;17;291;19;150;0;0;87.0
Lisse-G0553;33;0;2759;455;605;47;703;127;332;0;0;329.0
Lith-G0808;31;0;1465;36;9;3;23;5;0;3;0;98.0
Lochem-G0262;191;0;302;1380;201;794;447;458;0;0;0;326.0
Loenen-G0329;12;0;180;114;131;26;264;61;68;0;0;78.0
Loenersloot-G1105;3;0;80;15;60;6;94;0;22;0;0;31.0
Loon op Zand-G0809;89;0;5136;51;134;10;149;20;84;96;0;251.0
Loosdrecht-G0330;47;0;124;384;488;196;601;102;148;0;0;218.0
Lopik-G0331;30;0;513;300;547;43;341;71;282;0;0;158.0
Loppersum-G0024;65;0;3;578;930;52;168;237;0;51;0;142.0
Losser-G0168;198;0;6302;775;72;710;572;125;14;0;0;377.0
Luyksgestel-G0810;17;0;587;9;6;3;3;0;1;1;0;25.0
Maarheeze-G0811;34;0;1506;10;12;1;7;4;0;3;0;136.0
Maarn-G0332;29;0;93;326;131;77;309;86;132;0;0;112.0
Maarssen-G0333;35;0;671;559;319;169;436;73;83;0;0;170.0
Maarsseveen-G1108;18;0;225;203;174;74;436;21;18;0;0;109.0
Maartensdijk-G0334;147;0;1213;1608;1147;359;741;627;336;0;0;733.0
Maasbracht-G0933;37;0;1113;30;0;9;0;0;0;22;0;126.0
Maasbree-G0934;61;0;2461;18;0;3;0;0;0;10;0;139.0
Maasdam-G0554;15;0;2;304;200;14;199;150;86;0;0;70.0
Maasdriel-G0263;54;0;1722;0;43;0;216;15;23;0;0;154.0
Maasland-G0555;15;0;269;41;672;4;638;17;25;0;0;69.0
Maasniel-G1110;173;0;2041;208;0;29;0;0;0;50;0;184.0
Maassluis-G0556;74;0;364;1511;1744;223;1302;73;104;0;0;443.0
Maastricht-G0935;2217;0;22749;8315;0;2921;0;0;0;696;0;2595.0
Made en Drimmelen-G0812;76;0;2303;75;93;38;137;44;16;11;0;232.0
Margraten-G0936;33;0;660;13;0;2;0;0;0;2;0;38.0
Markelo-G0169;109;0;214;972;1161;83;188;432;33;0;0;291.0
Marken-G0419;4;0;2;40;248;14;448;12;0;0;0;97.0
Marum-G0025;107;0;25;1212;1152;505;206;485;0;8;0;208.0
Maurik-G0264;66;0;192;973;137;50;418;428;73;0;0;225.0
Medemblik-G0420;22;0;931;455;292;296;227;98;16;12;0;200.0
Meeden-G0026;40;0;6;405;293;176;31;135;0;5;0;72.0
Meerkerk-G0557;11;0;6;277;416;21;37;216;85;0;0;68.0
Meerlo-G0937;23;0;1270;13;0;0;0;0;0;1;0;47.0
Meerssen-G0938;173;0;2747;239;0;47;0;0;0;162;0;131.0
Megen, Haren en Macharen-G0813;23;0;933;13;2;0;2;2;0;0;0;75.0
Meijel-G0941;21;0;1243;27;0;0;0;0;0;1;0;60.0
Melick en Herkenbosch-G0939;55;0;1040;39;0;8;0;0;0;13;0;87.0
Meliskerke-G1112;6;0;1;0;94;1;33;0;154;0;0;23.0
Melissant-G1113;22;0;32;196;326;1;136;36;298;0;0;103.0
Menaldumadeel-G0083;109;0;273;2893;1359;529;890;249;4;0;0;388.0
Meppel-G0119;273;0;249;3242;1278;561;1823;677;0;0;0;486.0
Merkelbeek-G0940;30;0;650;18;0;12;0;0;0;5;0;37.0
Mheer-G0942;14;0;460;18;0;1;0;0;0;5;0;32.0
Middelburg-G0687;447;0;831;3993;2193;610;1807;1006;623;0;0;1044.0
Middelharnis-G0559;73;0;125;631;656;43;155;353;670;0;0;269.0
Middelie-G0421;10;0;5;242;5;10;1;40;0;0;0;10.0
Middelstum-G0027;29;0;2;351;760;60;77;125;0;81;0;92.0
Midwolda-G0028;92;0;12;626;696;246;717;199;0;17;0;141.0
Midwoud-G0422;16;0;45;408;20;55;8;131;7;5;0;27.0
Mierlo-G0814;99;0;2625;129;45;66;9;17;0;36;0;212.0
Mijdrecht-G0336;30;0;1004;301;473;21;509;53;72;0;0;134.0
Mijnsheerenland-G0564;19;0;3;174;382;10;213;163;67;0;0;92.0
Mill en Sint Hubert-G0815;65;0;2711;39;16;0;4;4;0;0;0;134.0
Millingen aan de Rijn-G0265;101;0;1396;87;39;19;6;3;3;0;0;102.0
Moergestel-G0816;41;0;1171;19;6;7;3;15;1;112;0;37.0
Moerkapelle-G0560;10;0;2;103;210;7;21;29;116;0;0;49.0
Molenaarsgraaf-G0561;7;0;0;38;142;1;15;28;63;0;0;43.0
Monnickendam-G0423;41;0;335;236;174;127;469;75;6;17;0;122.0
Monster-G0562;50;0;3024;584;925;33;725;95;571;0;0;259.0
Montfoort-G0335;19;0;757;38;85;13;152;8;37;0;0;59.0
Montfort-G0943;33;0;706;19;0;3;0;0;0;4;0;21.0
Mook en Middelaar-G0944;42;0;823;77;0;0;0;0;0;13;0;51.0
Moordrecht-G0563;53;0;156;511;348;12;41;198;218;0;0;108.0
Muiden-G0424;31;0;372;438;263;102;454;38;9;19;0;83.0
Munstergeleen-G0945;29;0;535;37;0;11;0;0;0;190;0;44.0
Muntendam-G0029;95;0;42;983;144;411;191;147;0;34;0;122.0
Naaldwijk-G0565;73;0;2485;1145;1707;39;1429;579;105;0;0;435.0
Naarden-G0425;376;0;1108;1697;748;359;369;1101;84;70;0;629.0
Nederhemert-G1115;75;0;10;0;138;0;73;45;236;0;0;58.0
Nederhorst den Berg-G0426;23;0;396;139;217;126;264;9;4;4;0;84.0
Nederweert-G0946;78;0;3466;48;0;0;0;0;0;9;0;240.0
Neede-G0266;88;0;662;1827;391;179;253;289;0;0;0;233.0
Neer-G0947;8;0;1077;25;0;0;0;0;0;1;0;36.0
Nibbixwoud-G0427;4;0;514;178;13;21;11;75;4;1;0;30.0
Nieuw- en Sint Joosland-G1117;27;0;5;181;153;6;320;73;113;0;0;115.0
Nieuw-Beijerland-G0566;24;0;9;283;185;10;24;82;289;0;0;102.0
Nieuwe Niedorp-G0428;26;0;226;484;51;177;7;114;3;1;0;83.0
Nieuwe Pekela-G0030;79;0;201;743;579;493;399;187;0;139;0;285.0
Nieuwe Tonge-G1119;28;0;8;308;359;6;28;67;318;0;0;133.0
Nieuwenhagen-G0948;183;0;1581;139;0;447;0;0;0;58;0;161.0
Nieuwenhoorn-G1121;27;0;2;480;62;75;44;284;5;0;0;65.0
Nieuwer-Amstel-G1249;210;0;2950;2447;1869;563;1389;824;61;92;0;775.0
Nieuwerkerk-G1122;17;0;6;184;272;0;124;179;183;0;0;98.0
Nieuwerkerk aan den IJssel-G0567;66;0;157;647;361;35;405;181;276;0;0;81.0
Nieuweschans-G0031;53;0;6;375;51;434;51;106;0;6;0;83.0
Nieuw-Ginneken-G0817;109;0;2072;118;37;28;31;16;0;260;0;159.0
Nieuw-Helvoet-G1118;48;0;10;691;169;36;64;253;8;0;0;130.0
Nieuwkoop-G0569;32;0;947;176;143;8;295;139;62;0;0;95.0
Nieuwland-G0570;4;0;2;75;135;6;13;58;46;0;0;31.0
Nieuw-Lekkerland-G0571;37;0;13;446;543;70;176;132;685;0;0;168.0
Nieuwleusen-G0170;83;0;34;365;399;12;1042;114;106;0;0;135.0
Nieuwolda-G0032;23;0;13;380;174;89;202;172;0;1;0;141.0
Nieuwpoort-G0572;12;0;2;74;173;8;11;55;109;0;0;42.0
Nieuwstadt-G0949;49;0;577;26;0;3;0;0;0;15;0;28.0
Nieuwveen-G0573;25;0;414;103;204;8;159;48;21;0;0;144.0
Nieuwvliet-G0690;12;0;7;86;18;2;55;123;2;0;0;26.0
Nieuw-Vossemeer-G0818;21;0;711;23;23;8;18;10;2;0;0;48.0
Nigtevecht-G0337;8;0;31;62;93;20;181;1;1;0;0;28.0
Nijeveen-G0121;12;0;0;203;206;9;272;159;0;0;0;33.0
Nijkerk-G0267;139;0;490;1015;1468;120;2474;61;270;0;0;388.0
Nijmegen-G0268;1810;0;31948;9799;1482;3362;1824;1825;105;0;0;5614.0
Nisse-G0691;6;0;80;21;34;1;156;24;62;0;0;46.0
Nistelrode-G0819;35;0;1467;14;8;5;1;2;0;48;0;83.0
Noorbeek-G0950;6;0;402;12;0;0;0;0;0;1;0;26.0
Noordbroek-G1126;84;0;7;472;38;262;95;200;0;6;0;82.0
Noorddijk-G1127;83;0;18;525;176;177;142;251;0;25;0;110.0
Noordeloos-G0574;8;0;4;112;344;4;20;108;88;0;0;42.0
Noordgouwe-G1128;15;0;3;150;75;0;113;100;27;0;0;31.0
Noordwelle-G1129;5;0;1;96;20;0;28;68;16;0;0;19.0
Noordwijk-G0575;151;0;2734;892;880;236;933;210;40;0;0;1041.0
Noordwijkerhout-G0576;40;0;2855;71;58;29;244;11;14;0;0;172.0
Nootdorp-G0577;12;0;665;88;71;8;131;31;19;0;0;56.0
Norg-G0120;110;0;58;994;336;94;219;485;0;0;0;252.0
Nuenen, Gerwen en Nederwetten-G0820;65;0;2041;79;41;34;51;25;0;3;0;177.0
Nuland-G0821;18;0;670;3;3;2;1;0;0;1;0;76.0
Numansdorp-G0578;56;0;10;741;778;27;345;217;166;0;0;127.0
Nuth-G0951;101;0;1659;212;0;107;0;0;0;90;0;154.0
Obbicht en Papenhoven-G0952;47;0;576;28;0;7;0;0;0;109;0;42.0
Obdam-G0429;5;0;860;86;3;16;8;12;2;0;0;50.0
Odijk-G1131;1;0;160;26;13;2;49;1;17;0;0;12.0
Odoorn-G0122;427;0;304;1954;651;564;921;1422;0;0;0;670.0
Oeffelt-G0822;22;0;672;11;3;0;1;2;0;0;0;59.0
Oegstgeest-G0579;70;0;1173;961;955;113;977;720;109;0;0;437.0
Ohé en Laak-G0953;13;0;299;3;0;0;0;0;0;0;0;16.0
Oirsbeek-G0954;57;0;1005;35;0;10;0;0;0;27;0;74.0
Oirschot-G0823;76;0;2773;36;17;41;30;3;4;4;0;143.0
Oisterwijk-G0824;195;0;3085;457;75;27;10;39;7;90;0;329.0
Oldebroek-G0269;228;0;243;961;1671;53;1617;92;470;0;0;307.0
Oldehove-G0035;11;0;2;316;658;9;113;174;0;2;0;70.0
Oldekerk-G0036;19;0;2;222;607;14;93;111;0;2;0;70.0
Oldemarkt-G0172;27;0;211;420;137;26;746;57;1;0;0;112.0
Oldenzaal-G0173;198;0;4163;826;137;104;169;156;20;0;0;312.0
Olst-G0174;63;0;870;1375;175;320;227;487;21;0;0;255.0
Ommen-G0175;113;0;471;708;1511;32;1919;368;51;0;0;354.0
Onstwedde-G1250;358;0;1148;2301;2117;1273;2045;404;0;493;0;737.0
Ooltgensplaat-G1133;32;0;248;429;355;18;164;70;283;0;0;117.0
Oost- en West-Souburg-G1135;102;0;57;700;463;84;517;122;60;0;0;135.0
Oost-, West- en Middelbeers-G0825;13;0;843;10;4;1;8;1;0;1;0;37.0
Oostburg-G0692;69;0;409;410;141;42;90;266;33;0;0;68.0
Oostdongeradeel-G0084;43;0;5;435;2482;21;1167;132;14;0;0;310.0
Oosterhesselen-G0123;72;0;8;639;503;40;150;269;0;0;0;146.0
Oosterhout-G0826;224;0;8183;159;134;76;68;29;18;21;0;535.0
Oosterland-G1136;32;0;5;209;78;0;204;166;292;0;0;125.0
Oosthuizen-G0430;11;0;32;312;13;70;20;72;8;2;0;40.0
Oostkapelle-G1137;11;0;4;88;279;9;221;31;139;0;0;141.0
Ooststellingwerf-G0085;428;0;56;3155;1637;1657;1165;568;10;0;0;728.0
Oostvoorne-G0581;124;0;47;843;251;459;151;494;16;0;0;233.0
Oostzaan-G0431;95;0;32;950;344;820;115;129;19;3;0;197.0
Ootmarsum-G0176;11;0;776;65;17;6;22;18;3;0;0;69.0
Ophemert-G0270;24;0;14;238;37;16;276;93;23;0;0;111.0
Oploo, Sint Anthonis en Ledeacker-G0827;12;0;2188;15;11;0;15;1;0;0;0;59.0
Opmeer-G0432;0;0;210;85;8;11;3;11;1;0;0;20.0
Opperdoes-G0433;9;0;7;121;321;16;160;21;28;3;0;49.0
Opsterland-G0086;272;0;52;3321;2149;3537;938;747;7;0;0;1149.0
Oss-G0828;436;0;7406;1082;242;0;65;310;0;0;0;761.0
Ossendrecht-G0829;179;0;1325;149;40;13;19;8;7;6;0;55.0
Oterleek-G0434;6;0;53;248;25;53;17;74;3;1;0;46.0
Ottersum-G0955;28;0;1134;47;0;0;0;0;0;9;0;33.0
Ottoland-G0582;2;0;3;14;215;2;36;30;38;0;0;26.0
Oud- en Nieuw-Gastel-G0831;154;0;3067;53;33;41;61;31;10;7;0;209.0
Oud-Alblas-G0583;8;0;0;79;253;4;161;36;138;0;0;55.0
Oud-Beijerland-G0584;80;0;154;921;1408;34;324;342;548;0;0;223.0
Ouddorp-G1142;20;0;5;99;767;5;112;175;810;0;0;337.0
Oude Niedorp-G0436;14;0;522;125;25;41;6;32;0;2;0;38.0
Oude Pekela-G0038;84;0;249;1381;376;1054;264;207;0;63;0;404.0
Oude Tonge-G1143;19;0;370;426;278;19;44;88;287;0;0;116.0
Oudelande-G0695;17;0;51;61;83;6;196;51;17;0;0;38.0
Oudenbosch-G0830;138;0;2770;77;47;12;63;23;12;6;0;69.0
Oudendijk-G0435;3;0;8;168;8;58;4;27;0;1;0;17.0
Oudenhoorn-G0586;26;0;2;180;73;61;68;84;7;0;0;33.0
Oudenrijn-G1144;12;0;273;53;140;4;129;37;11;0;0;40.0
Ouder-Amstel-G0437;37;0;1161;470;375;140;537;58;9;68;0;262.0
Ouderkerk aan den IJssel-G0587;50;0;2;241;590;30;34;239;600;0;0;282.0
Oudewater-G0589;23;0;889;170;264;3;308;65;43;0;0;88.0
Oudorp-G0438;11;0;522;300;55;114;33;26;3;1;0;64.0
Oud-Vossemeer-G0696;24;0;266;68;228;0;311;177;95;0;0;88.0
Ouwerkerk-G1148;3;0;5;186;16;0;22;78;39;0;0;19.0
Overasselt-G0271;9;0;1187;0;5;0;28;4;2;0;0;58.0
Overslag-G0697;9;0;54;14;3;1;15;0;2;40;0;7.0
Ovezande-G0698;10;0;608;23;9;1;110;4;2;0;0;48.0
Pannerden-G0272;16;0;653;17;13;0;2;1;0;0;0;28.0
Papekop-G1151;0;0;80;10;44;1;72;2;8;0;0;7.0
Papendrecht-G0590;65;0;42;799;1192;224;186;123;253;0;0;245.0
Peize-G0124;97;0;6;575;53;260;80;316;0;0;0;173.0
Peursum-G1154;2;0;0;41;106;1;11;56;26;0;0;12.0
Philippine-G0699;24;0;454;39;12;8;11;26;1;4;0;72.0
Piershil-G0591;7;0;2;128;135;4;42;54;98;0;0;63.0
Pijnacker-G0594;67;0;1164;550;493;69;939;119;261;0;0;216.0
Poederoijen-G1155;115;0;9;0;271;0;51;29;196;0;0;125.0
Polsbroek-G0338;4;0;85;51;166;2;106;24;55;0;0;28.0
Poortugal-G0592;43;0;117;492;346;80;199;151;61;0;0;287.0
Poortvliet-G0700;24;0;8;12;139;0;217;105;385;0;0;132.0
Posterholt-G0956;47;0;967;45;0;1;0;0;0;6;0;62.0
Purmerend-G0439;67;0;1012;1284;219;716;73;327;37;19;0;310.0
Putte-G0833;134;0;549;128;18;8;5;11;4;9;0;75.0
Putten-G0273;112;0;143;456;653;329;2606;103;294;0;0;413.0
Puttershoek-G0593;36;0;36;502;284;5;125;166;158;0;0;136.0
Raalte-G0177;101;0;3918;535;80;21;776;120;7;0;0;311.0
Raamsdonk-G0834;99;0;2289;73;176;25;564;41;53;9;0;234.0
Rauwerderhem-G0087;16;0;182;815;188;116;103;100;2;0;0;140.0
Ravenstein-G0835;60;0;2241;23;21;0;6;26;0;0;0;141.0
Reeuwijk-G0595;75;0;721;450;588;95;141;318;169;0;0;197.0
Renesse-G1159;13;0;5;88;43;0;92;207;29;0;0;54.0
Renkum-G0274;335;0;2442;2465;1676;760;2178;902;176;0;0;827.0
Renswoude-G0339;27;0;34;186;301;10;295;45;155;0;0;73.0
Retranchement-G0701;23;0;14;166;27;17;78;110;2;0;0;18.0
Reusel-G0836;15;0;1191;16;7;4;4;0;2;1;0;31.0
Rheden-G0275;648;0;2896;5600;1666;1269;3005;1424;42;0;0;1496.0
Rhenen-G0340;168;0;128;1619;588;138;1139;171;860;0;0;367.0
Rhoon-G0596;22;0;201;240;332;48;514;79;42;0;0;103.0
Ridderkerk-G0597;173;0;67;2822;2598;179;1289;481;1587;0;0;666.0
Riethoven-G0837;3;0;384;3;0;0;0;0;0;0;0;22.0
Rietveld-G1160;4;0;65;21;72;2;93;14;21;0;0;28.0
Rijnsaterwoude-G0601;5;0;147;34;79;0;37;10;45;0;0;35.0
Rijnsburg-G0602;25;0;74;103;1344;4;1015;25;37;0;0;103.0
Rijsbergen-G0841;27;0;1313;17;15;4;14;7;0;17;0;61.0
Rijssen-G0178;135;0;609;748;1467;40;268;88;2089;0;0;643.0
Rijswijk-G0603;309;0;3496;2884;1709;736;1101;1826;148;0;0;1196.0
Rijswijk (NB)-G0842;1;0;2;73;143;0;139;6;1;0;0;38.0
Rilland-Bath-G0702;21;0;150;186;122;24;483;87;187;0;0;109.0
Ritthem-G1163;1;0;1;24;22;1;86;5;4;0;0;
Rockanje-G0598;130;0;8;468;307;392;86;363;16;0;0;163.0
Roden-G0125;169;0;14;1138;517;461;362;500;0;0;0;254.0
Roermond-G0957;697;0;7663;1077;0;307;0;0;0;174;0;690.0
Roggel-G0958;20;0;1160;5;0;0;0;0;0;2;0;33.0
Rolde-G0126;104;0;10;992;99;39;41;598;0;0;0;249.0
Roosendaal en Nispen-G0838;873;0;11574;1209;287;208;205;97;49;27;0;681.0
Roosteren-G0959;37;0;516;16;0;1;0;0;0;7;0;56.0
Rosmalen-G0839;95;0;2663;115;20;12;21;11;0;18;0;190.0
Rossum-G0276;160;0;240;0;119;0;190;85;9;0;0;75.0
Rotterdam-G0599;15140;0;50815;118410;46911;67033;21300;24017;8289;0;0;30694.0
Rozenburg-G0600;28;0;6;159;490;12;748;108;25;0;0;63.0
Rozendaal-G0277;12;0;16;100;17;8;67;49;0;0;0;38.0
Rucphen-G0840;512;0;3360;116;54;19;14;38;17;6;0;186.0
Ruinen-G0127;103;0;20;827;362;82;252;1018;0;0;0;252.0
Ruinerwold-G0128;30;0;11;520;382;8;162;521;0;0;0;127.0
Ruurlo-G0278;111;0;581;935;228;57;67;593;0;0;0;206.0
Ruwiel-G1164;1;0;60;2;97;1;95;1;57;0;0;24.0
