RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;Overige partijen zonder zetels;Overige partijen met 1 of meer zetels;@abs
Benschop-G0309;9;0;306;118;273;2;185;60;100;0;0;79.0
Benthuizen-G0490;8;0;12;72;88;2;76;29;296;0;0;46.0
Berg en Terblijt-G0892;27;0;923;30;0;12;0;0;0;2;0;17.0
Bergambacht-G0491;40;0;13;581;523;95;54;255;374;0;0;192.0
Bergen-G0373;81;0;1546;1248;207;388;109;440;11;3;0;190.0
Bergen-G0893;108;0;3450;99;0;0;0;0;0;24;0;176.0
Bergen op Zoom-G0748;510;0;9787;1942;636;266;307;196;54;17;0;998.0
Bergeyk-G0749;18;0;1598;35;14;15;24;4;0;1;0;172.0
Bergh-G0207;199;0;5158;390;160;0;27;45;0;0;0;444.0
Bergharen-G0208;6;0;772;0;3;0;133;10;1;0;0;55.0
Berghem-G0750;53;0;1191;51;16;0;7;12;0;0;0;84.0
Bergschenhoek-G0492;42;0;386;199;231;43;548;39;85;0;0;127.0
Berkel en Rodenrijs-G0493;19;0;1193;108;572;7;592;22;29;0;0;126.0
Berkel-Enschot-G0751;18;0;1308;7;12;3;2;5;1;34;0;61.0
Berkenwoude-G0494;10;0;3;58;93;4;0;209;105;0;0;43.0
Berkhout-G0374;17;0;833;623;22;60;27;72;22;0;0;107.0
Berlicum-G0752;42;0;1773;48;19;5;17;8;0;14;0;135.0
Best-G0753;40;0;2467;132;29;16;17;7;4;8;0;230.0
Beuningen-G0209;63;0;1567;50;17;6;86;11;1;0;0;88.0
Beusichem-G0210;24;0;70;351;81;25;112;219;54;0;0;87.0
Beverwijk-G0375;292;0;5467;2733;613;3081;470;391;32;113;0;287.0
Bierum-G0008;34;0;4;400;953;81;711;130;0;47;0;176.0
Biervliet-G0652;45;0;362;345;48;88;142;131;26;0;0;107.0
Biggekerke-G1022;6;0;0;41;149;2;133;6;74;0;0;4.0
Bingelrade-G0894;3;0;298;3;0;1;0;0;0;3;0;16.0
Bladel en Netersel-G0754;15;0;1356;10;9;4;41;0;3;18;0;64.0
Blankenham-G0145;7;0;26;89;8;11;95;45;1;0;0;31.0
Blaricum-G0376;61;0;837;591;96;267;121;366;11;20;0;266.0
Bleiswijk-G0495;13;0;413;151;224;6;310;109;98;0;0;88.0
Bleskensgraaf en Hofwegen-G0496;9;0;0;82;198;4;14;56;237;0;0;74.0
Bloemendaal-G0377;173;0;2379;2482;994;496;643;2156;51;136;0;1627.0
Blokker-G0378;18;0;902;267;20;23;13;69;9;1;0;48.0
Blokzijl-G0146;21;0;13;347;178;5;135;48;9;0;0;89.0
Bocholtz-G0895;143;0;1215;86;0;95;0;0;0;8;0;103.0
Bodegraven-G0497;84;0;748;451;1228;30;671;156;239;0;0;268.0
Boekel-G0755;57;0;1908;16;8;3;0;4;0;4;0;200.0
Bolsward-G0064;68;0;1244;930;554;264;541;88;3;0;0;319.0
Borculo-G0211;84;0;358;1148;330;86;294;1048;0;0;0;219.0
Borger-G0108;140;0;70;2420;757;339;805;758;0;0;0;467.0
Borgharen-G0896;85;0;394;82;0;9;0;0;0;17;0;35.0
Born-G0897;49;0;1471;98;0;10;0;0;0;77;0;73.0
Borne-G0147;141;0;3273;1215;222;454;344;122;23;0;0;345.0
Borsele-G0654;19;0;123;93;98;10;224;41;205;0;0;85.0
Boskoop-G0499;87;0;914;693;1098;122;614;582;220;0;0;284.0
Bovenkarspel-G0379;30;0;1110;248;24;38;26;36;6;4;0;93.0
