RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Pacifistisch-Socialistische Partij (PSP);Communistische Partij van Nederland;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Partij Economisch Appel;Liberale Staatspartij;"Liberale Unie ""Veilig Verkeer""";Nieuw-Democratische Partij;CNVP;Lijst Grol;Volksreferendum;@abs
Zuidbroek-G1240;87;;39.0;709;244.0;130.0;75.0;84.0;61.0;5.0;44;49.0;7.0;6.0;2.0;1.0;;;;89.0
Zuiddorpe-G0734;19;;337.0;53;5.0;3.0;3.0;4.0;5.0;;30;;;1.0;2.0;1.0;;;;14.0
Zuidelijke IJsselmeerpolders-G0996;12;;320.0;453;99.0;238.0;250.0;32.0;16.0;26.0;15;42.0;3.0;;1.0;2.0;;;;
Zuidhorn-G0056;24;;47.0;646;380.0;506.0;167.0;37.0;16.0;5.0;35;373.0;3.0;14.0;1.0;1.0;;;;91.0
Zuidland-G0640;22;;6.0;186;135.0;690.0;154.0;1.0;3.0;31.0;22;1.0;2.0;;1.0;3.0;;;;47.0
Zuidlaren-G0136;112;;84.0;1369;896.0;845.0;238.0;82.0;40.0;13.0;150;144.0;12.0;6.0;3.0;11.0;;;;405.0
Zuidwolde-G0137;102;;78.0;1092;616.0;711.0;682.0;41.0;11.0;29.0;386;79.0;10.0;3.0;3.0;7.0;;;;105.0
Zuidzande-G0735;22;;32.0;200;140.0;23.0;38.0;12.0;1.0;5.0;26;;;3.0;4.0;1.0;;;;21.0
Zundert-G0879;298;;4337.0;289;102.0;27.0;62.0;14.0;17.0;14.0;384;2.0;54.0;9.0;26.0;7.0;;;;180.0
Zutphen-G0301;329;;2047.0;6596;1746.0;1055.0;1410.0;513.0;547.0;62.0;238;52.0;94.0;65.0;17.0;27.0;;;;628.0
Zwaag-G0475;13;;840.0;199;115.0;3.0;14.0;24.0;1.0;;13;;;1.0;3.0;;;;;36.0
Zwammerdam-G1244;12;;358.0;271;118.0;237.0;209.0;16.0;6.0;139.0;46;2.0;6.0;4.0;2.0;;2.0;;;79.0
Zwartewaal-G0641;10;;12.0;149;86.0;95.0;13.0;7.0;;4.0;8;1.0;;5.0;;;;;;0.0
Zwartsluis-G0192;18;;19.0;360;78.0;794.0;388.0;14.0;15.0;69.0;87;55.0;4.0;7.0;2.0;1.0;;;;99.0
Zweeloo-G0138;19;;15.0;588;430.0;282.0;64.0;1.0;6.0;1.0;66;4.0;2.0;;1.0;;;;;31.0
Zwijndrecht-G0642;220;;1092.0;4167;1532.0;2582.0;2301.0;268.0;100.0;719.0;109;298.0;62.0;36.0;6.0;16.0;9.0;;;881.0
Zwolle-G0193;542;;5622.0;12023;3339.0;3240.0;3151.0;965.0;509.0;456.0;385;713.0;149.0;93.0;48.0;57.0;;;;1704.0
Zwollerkerspel-G1245;64;;1067.0;1373;507.0;976.0;1729.0;116.0;17.0;266.0;221;415.0;11.0;14.0;9.0;4.0;;;;237.0
