RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Venlo-G0983;343;;2821;14255.0;2388;423;1628;188.0;1408;329.0;4.0;522.0;25.0;208.0;254.0;191.0;190.0;58.0;328.0;59.0;139.0;12.0;46.0;;18.0;;21.0;;;;10925
Venray-G0984;147;;1296;6909.0;428;135;524;56.0;308;53.0;2.0;156.0;8.0;63.0;92.0;149.0;29.0;16.0;72.0;23.0;25.0;8.0;12.0;;;;8.0;;;;4536
Vessem, Wintelre en Knegsel-G0862;5;;64;1307.0;129;27;88;7.0;52;9.0;4.0;31.0;1.0;21.0;23.0;23.0;1.0;4.0;22.0;8.0;2.0;2.0;1.0;;;;;;;;359
Vianen-G0620;14;;1214;704.0;510;435;321;426.0;289;60.0;179.0;101.0;41.0;50.0;46.0;23.0;10.0;15.0;13.0;9.0;7.0;4.0;3.0;9.0;2.0;;3.0;;;;896
Vierlingsbeek-G0863;37;;207;2286.0;74;29;94;14.0;54;14.0;5.0;27.0;5.0;37.0;23.0;67.0;9.0;1.0;15.0;3.0;10.0;3.0;4.0;;1.0;;;;;;565
Vierpolders-G0621;6;;357;41.0;140;69;96;53.0;51;25.0;10.0;3.0;5.0;13.0;9.0;16.0;2.0;1.0;;4.0;1.0;1.0;1.0;;;;;;;;213
Vinkeveen en Waverveen-G0346;14;;242;1157.0;396;330;165;368.0;214;41.0;129.0;38.0;36.0;64.0;35.0;40.0;5.0;32.0;46.0;11.0;9.0;2.0;1.0;;3.0;;3.0;2.0;;;814
Vlaardingen-G0622;140;;14079;2824.0;3347;4091;4059;3560.0;1947;1248.0;1358.0;570.0;717.0;473.0;775.0;126.0;77.0;86.0;36.0;110.0;69.0;30.0;28.0;87.0;21.0;;11.0;;;;10165
Vlagtwedde-G0048;101;;2403;1078.0;606;806;219;882.0;269;974.0;17.0;104.0;170.0;189.0;98.0;276.0;33.0;15.0;20.0;18.0;33.0;35.0;4.0;;1.0;;;;;;2282
Vledder-G0132;18;;691;85.0;259;148;66;127.0;47;43.0;1.0;7.0;12.0;13.0;13.0;21.0;6.0;11.0;5.0;3.0;8.0;;4.0;;;;;;;;278
Vleuten-De Meern-G0347;40;;810;2421.0;1118;511;518;649.0;564;28.0;103.0;158.0;113.0;109.0;78.0;40.0;12.0;32.0;76.0;18.0;10.0;11.0;2.0;;6.0;;1.0;2.0;;;1330
Vlieland-G0096;2;;239;14.0;116;43;43;57.0;36;7.0;1.0;1.0;9.0;15.0;15.0;4.0;4.0;5.0;1.0;6.0;1.0;;;;;;;;;;15
Vlijmen-G0864;64;;641;2942.0;298;137;333;63.0;201;51.0;4.0;83.0;6.0;120.0;45.0;207.0;20.0;26.0;33.0;24.0;26.0;4.0;5.0;;6.0;;;;;;1689
Vlissingen-G0718;103;;7240;1443.0;1714;2254;1470;1864.0;947;299.0;574.0;391.0;314.0;548.0;131.0;192.0;105.0;77.0;23.0;65.0;42.0;27.0;24.0;;11.0;;;;;;6117
Vlist-G0623;0;;22;71.0;37;63;9;19.0;3;;61.0;;1.0;1.0;;4.0;;1.0;;;1.0;1.0;;;;;;;;;38
Vlodrop-G0985;22;;73;582.0;28;9;28;2.0;25;3.0;2.0;12.0;3.0;12.0;4.0;13.0;5.0;1.0;6.0;3.0;8.0;1.0;;;;;;;;;279
Voerendaal-G0986;72;;396;2082.0;187;40;273;19.0;133;57.0;4.0;114.0;4.0;20.0;34.0;44.0;40.0;7.0;34.0;5.0;8.0;4.0;7.0;;6.0;;4.0;;;;953
Vollenhove-G0185;11;;513;141.0;113;526;59;616.0;53;8.0;58.0;27.0;480.0;38.0;9.0;39.0;10.0;8.0;5.0;3.0;3.0;4.0;4.0;;;;;;;;385
Voorburg-G0624;99;;4183;4171.0;5387;2261;1925;1338.0;2269;225.0;173.0;551.0;419.0;428.0;327.0;95.0;126.0;231.0;108.0;94.0;37.0;15.0;29.0;;17.0;;11.0;;;;4750
Voorhout-G0625;12;;164;1483.0;426;129;137;115.0;183;24.0;4.0;183.0;15.0;40.0;35.0;31.0;2.0;11.0;9.0;4.0;6.0;5.0;3.0;;3.0;;1.0;;;;505
Voorschoten-G0626;35;;1580;2016.0;2530;1085;875;689.0;845;77.0;130.0;212.0;147.0;181.0;122.0;51.0;33.0;73.0;21.0;34.0;10.0;12.0;8.0;;8.0;;;;;;1857
Voorst-G0285;57;;2730;2784.0;1435;476;434;1194.0;444;159.0;159.0;69.0;59.0;204.0;55.0;188.0;37.0;31.0;28.0;19.0;24.0;205.0;7.0;;9.0;;;;;;1980
Vorden-G0286;31;;878;469.0;559;513;140;586.0;159;13.0;14.0;37.0;32.0;93.0;13.0;46.0;9.0;20.0;9.0;2.0;10.0;258.0;1.0;;;;;;;;559
Vreeswijk-G0348;16;;534;716.0;144;259;141;240.0;121;10.0;103.0;52.0;21.0;50.0;24.0;15.0;5.0;4.0;8.0;3.0;6.0;1.0;3.0;;;;;2.0;;;622
Vries-G0133;33;;1537;51.0;986;367;171;81.0;169;160.0;2.0;22.0;91.0;134.0;46.0;123.0;12.0;8.0;5.0;5.0;26.0;26.0;17.0;;;;;;;;930
Vriezenveen-G0186;37;;1486;417.0;246;684;190;2514.0;169;64.0;615.0;31.0;266.0;111.0;17.0;202.0;16.0;8.0;1.0;8.0;16.0;25.0;3.0;;5.0;;;;;;1535
Vught-G0865;49;;1254;4885.0;1185;283;621;122.0;398;101.0;5.0;187.0;50.0;150.0;128.0;117.0;63.0;61.0;142.0;50.0;71.0;8.0;16.0;;15.0;;;;;;3437
Vuren-G0287;4;;519;25.0;105;266;60;214.0;38;7.0;37.0;5.0;22.0;18.0;20.0;8.0;1.0;19.0;;5.0;2.0;1.0;;;;;;;;;221
Waalre-G0866;51;;575;2181.0;866;141;408;66.0;347;55.0;2.0;120.0;17.0;94.0;69.0;82.0;24.0;23.0;23.0;12.0;20.0;9.0;4.0;;1.0;;;;;;1296
Waalwijk-G0867;100;;1217;4339.0;1006;462;721;497.0;490;176.0;76.0;251.0;45.0;210.0;112.0;222.0;75.0;40.0;142.0;48.0;74.0;11.0;19.0;;7.0;;;;;;3341
Waardenburg-G0288;7;;332;19.0;50;77;28;196.0;20;4.0;259.0;1.0;11.0;10.0;2.0;21.0;4.0;;;3.0;1.0;2.0;;;1.0;;;;;;209
Waddinxveen-G0627;35;;1927;919.0;1208;1283;963;733.0;419;70.0;1063.0;102.0;170.0;106.0;96.0;55.0;22.0;16.0;52.0;18.0;10.0;5.0;6.0;;6.0;;1.0;;;;1664
Wageningen-G0289;53;;4317;1566.0;1918;1190;1070;1254.0;706;256.0;406.0;470.0;212.0;221.0;493.0;94.0;20.0;61.0;12.0;31.0;22.0;9.0;2.0;;5.0;;;;;;2504
Wamel-G0290;32;;453;2468.0;153;52;153;75.0;135;22.0;9.0;71.0;3.0;52.0;18.0;78.0;15.0;4.0;37.0;5.0;37.0;6.0;7.0;;1.0;;1.0;;;;1066
Wanneperveen-G0187;3;;239;1.0;62;114;21;338.0;44;1.0;8.0;2.0;28.0;19.0;6.0;28.0;6.0;;;;1.0;4.0;1.0;;1.0;;;;;;198
Wanroij-G0868;13;;61;1593.0;34;14;38;2.0;26;4.0;;11.0;;34.0;10.0;37.0;10.0;;2.0;2.0;4.0;1.0;;;;;;;;;267
Warffum-G0049;5;;568;10.0;157;327;25;42.0;54;33.0;2.0;10.0;52.0;15.0;13.0;5.0;2.0;3.0;;1.0;4.0;;1.0;;;;;;;;157
Warmenhuizen-G0456;2;;125;771.0;113;65;40;11.0;39;29.0;1.0;27.0;5.0;26.0;21.0;33.0;5.0;1.0;7.0;6.0;3.0;2.0;1.0;;;;;;;;268
Warmond-G0628;10;;254;863.0;291;98;127;90.0;148;25.0;20.0;77.0;11.0;62.0;35.0;16.0;5.0;7.0;14.0;7.0;3.0;1.0;2.0;;;;3.0;;;;437
Warnsveld-G0291;15;;877;368.0;644;381;168;511.0;192;21.0;4.0;35.0;45.0;46.0;17.0;33.0;11.0;18.0;3.0;6.0;2.0;27.0;1.0;;;;;;;;1074
Waspik-G0869;27;;168;1023.0;58;88;94;90.0;41;18.0;10.0;31.0;5.0;20.0;12.0;58.0;14.0;5.0;8.0;3.0;15.0;4.0;2.0;;;;;;;;502
Wassenaar-G0629;76;;1528;3147.0;4791;913;786;872.0;1053;75.0;96.0;181.0;103.0;327.0;106.0;46.0;36.0;150.0;81.0;36.0;26.0;15.0;13.0;;2.0;;4.0;;;;2522
Wateringen-G0630;26;;366;2820.0;388;283;301;337.0;217;29.0;11.0;144.0;25.0;114.0;50.0;35.0;11.0;13.0;70.0;9.0;4.0;92.0;4.0;8.0;;;2.0;;;;1134
Weerselo-G0188;25;;147;3736.0;90;25;65;56.0;40;10.0;;26.0;1.0;40.0;22.0;143.0;7.0;;8.0;1.0;2.0;4.0;5.0;;1.0;;;;;;432
Weert-G0988;268;;1318;8471.0;743;209;983;83.0;579;132.0;14.0;175.0;42.0;293.0;152.0;305.0;51.0;41.0;89.0;34.0;74.0;18.0;19.0;;21.0;;7.0;;;;5548
Weesp-G0457;53;;2258;1087.0;867;692;910;724.0;779;248.0;79.0;307.0;131.0;91.0;175.0;72.0;45.0;43.0;31.0;48.0;19.0;14.0;7.0;;10.0;7.0;4.0;6.0;;;2077
Wehl-G0292;19;;244;1482.0;67;35;101;41.0;93;23.0;1.0;23.0;5.0;41.0;13.0;114.0;11.0;5.0;17.0;11.0;7.0;64.0;3.0;;;;2.0;;;;648
Werkendam-G0870;41;;1475;56.0;200;1606;129;628.0;120;40.0;794.0;25.0;157.0;45.0;17.0;15.0;6.0;27.0;;5.0;4.0;5.0;4.0;;2.0;;;;;;1544
Wervershoof-G0459;7;;125;1628.0;59;12;52;6.0;58;22.0;;33.0;;49.0;17.0;64.0;6.0;6.0;47.0;4.0;13.0;3.0;7.0;;3.0;;;;;;422
Wessem-G0989;18;;65;513.0;31;5;46;6.0;26;1.0;2.0;9.0;;17.0;5.0;9.0;6.0;1.0;4.0;2.0;2.0;;3.0;;;;;;;;435
Westdongeradeel-G0097;24;;672;16.0;222;1236;74;810.0;57;63.0;46.0;7.0;154.0;52.0;23.0;16.0;2.0;2.0;2.0;3.0;4.0;2.0;4.0;;2.0;;;;;;490
Westerbork-G0134;22;;1419;17.0;628;596;89;241.0;103;55.0;31.0;22.0;49.0;98.0;16.0;75.0;9.0;1.0;2.0;5.0;9.0;5.0;4.0;;;;;;;;572
Westerhoven-G0871;5;;59;472.0;13;8;41;2.0;27;1.0;;43.0;;7.0;8.0;14.0;2.0;2.0;1.0;3.0;1.0;;;;;;;;;;108
Westerschouwen-G0725;14;;721;36.0;555;311;152;356.0;81;10.0;111.0;18.0;28.0;88.0;14.0;17.0;9.0;5.0;1.0;5.0;8.0;1.0;3.0;;1.0;;;;;;407
Westervoort-G0293;7;;385;893.0;113;105;135;91.0;81;31.0;6.0;68.0;9.0;30.0;12.0;11.0;8.0;10.0;25.0;6.0;5.0;4.0;;;3.0;;1.0;;;;437
Westkapelle-G0726;5;;459;14.0;98;112;35;221.0;32;7.0;205.0;2.0;53.0;53.0;6.0;25.0;2.0;5.0;1.0;3.0;3.0;1.0;;;;;;;;;300
Westmaas-G0631;3;;229;19.0;148;179;81;131.0;34;11.0;33.0;16.0;15.0;18.0;12.0;7.0;;1.0;;3.0;2.0;1.0;1.0;1.0;;;;;;;127
