RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;Overig;Lijst Welter;@abs
Schoonrewoerd-G0609;0;;6.0;65;186.0;76.0;31.0;2.0;184.0;5.0;;51.0
Schoorl-G0444;0;;503.0;1019;117.0;62.0;321.0;332.0;11.0;20.0;19.0;
Serooskerke (Schouwen)-G1175;0;;3.0;55;22.0;37.0;13.0;;1.0;3.0;;21.0
Serooskerke (Walcheren)-G1176;0;;26.0;65;566.0;246.0;7.0;35.0;90.0;4.0;;
Sevenum-G0964;0;;1766.0;3;;;2.0;3.0;;;16.0;62.0
's-Graveland-G0390;0;;158.0;123;179.0;260.0;88.0;31.0;45.0;22.0;5.0;101.0
's-Gravendeel-G0517;0;;15.0;868;817.0;454.0;372.0;13.0;229.0;22.0;3.0;229.0
's-Gravenhage-G0518;0;;56357.0;87941;46478.0;21087.0;30123.0;24793.0;2776.0;12501.0;7138.0;40077.0
's-Gravenmoer-G0787;0;;18.0;34;377.0;192.0;52.0;7.0;12.0;7.0;1.0;115.0
's-Gravenpolder-G0666;0;;73.0;77;90.0;184.0;19.0;14.0;267.0;8.0;9.0;47.0
's-Gravenzande-G0519;0;;198.0;940;1022.0;1203.0;392.0;26.0;259.0;22.0;19.0;179.0
's-Heer Abtskerke-G0669;0;;33.0;24;20.0;105.0;19.0;1.0;17.0;6.0;;15.0
's-Heer Arendskerke-G0670;0;;415.0;219;607.0;774.0;113.0;21.0;149.0;35.0;85.0;188.0
's-Heerenhoek-G0671;0;;605.0;7;12.0;21.0;3.0;1.0;;1.0;50.0;43.0
's-Hertogenbosch-G0796;0;;18725.0;4500;523.0;329.0;393.0;954.0;22.0;331.0;678.0;2089.0
Sijbekarspel-G0447;0;;341.0;244;19.0;3.0;115.0;42.0;;8.0;2.0;28.0
Simpelveld-G0965;0;;1703.0;95;5.0;;11.0;41.0;;8.0;50.0;188.0
Sint Annaland-G0708;0;;11.0;196;186.0;98.0;85.0;6.0;772.0;19.0;3.0;250.0
Sint Geertruid-G0966;0;;477.0;3;1.0;2.0;1.0;;;;3.0;15.0
Sint Jansteen-G0709;0;;1310.0;116;28.0;17.0;39.0;16.0;6.0;32.0;97.0;296.0
Sint Laurens-G1179;0;;12.0;66;337.0;218.0;51.0;3.0;80.0;22.0;1.0;47.0
Sint Maarten-G0445;0;;153.0;231;153.0;8.0;84.0;99.0;1.0;13.0;1.0;66.0
Sint Maartensdijk-G0711;0;;2.0;516;156.0;90.0;79.0;14.0;553.0;17.0;;224.0
Sint Odiliënberg-G0967;0;;647.0;23;1.0;2.0;;1.0;;1.0;21.0;50.0
Sint Pancras-G0446;0;;24.0;198;204.0;211.0;99.0;69.0;10.0;17.0;1.0;66.0
Sint Philipsland-G0712;0;;4.0;93;168.0;167.0;49.0;3.0;669.0;28.0;;133.0
Sint-Michielsgestel-G0845;0;;2688.0;154;18.0;21.0;22.0;17.0;1.0;7.0;30.0;242.0
Sint-Oedenrode-G0846;0;;3977.0;109;3.0;30.0;13.0;37.0;;11.0;41.0;184.0
Sittard-G0968;0;;6888.0;964;72.0;41.0;70.0;223.0;9.0;72.0;400.0;731.0
Sleen-G0130;0;;19.0;1185;482.0;404.0;677.0;281.0;6.0;32.0;3.0;303.0
Slenaken-G0969;0;;275.0;9;3.0;4.0;5.0;2.0;;2.0;21.0;24.0
Sliedrecht-G0610;0;;66.0;2506;1177.0;1053.0;691.0;265.0;1332.0;65.0;16.0;1608.0
Slochteren-G0040;0;;72.0;2468;1597.0;1067.0;1020.0;631.0;8.0;235.0;21.0;975.0
