RegioNaam;@invalid;@blank;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;PPNL;Partij voor Mens en Spirit (MenS);SOPN;Partij van de Toekomst (PvdT);Democratisch Politiek Keerpunt DPK;Libertarische Partij (LP);Nederland Lokaal;Liberaal Democratische Partij (LibDem);Anti Europa Partij;Politieke Partij NXD;@abs
Brunssum-G0899;25;49;2410;3820;3784;2669;1070;679;194;201;18;324;371;40.0;40.0;41.0;18.0;18;5;6;3.0;4;;7563.0
Bunnik-G0312;15;11;2931;1980;539;516;1052;1084;207;472;133;166;173;22.0;21.0;6.0;9.0;5;3;0;1.0;0;;1729.0
Bunschoten-G0313;28;15;3364;772;934;300;1772;203;3399;38;887;72;102;14.0;12.0;4.0;11.0;12;1;0;1.0;2;;2965.0
Buren-G0214;21;18;5559;3183;1948;901;1046;1016;360;209;780;277;275;34.0;13.0;13.0;21.0;5;5;1;1.0;2;;4247.0
Bussum-G0381;34;18;7555;3836;1177;1020;1142;2460;285;494;78;504;317;69.0;43.0;23.0;10.0;11;7;5;6.0;1;;5043.0
Capelle aan den IJssel-G0502;93;55;9279;8248;4693;2786;1778;2277;1400;484;1940;875;890;116.0;80.0;49.0;23.0;28;15;9;8.0;6;;15166.0
Castricum-G0383;30;18;7729;5232;1417;1739;1986;2190;166;660;32;506;408;70.0;67.0;21.0;16.0;18;6;58;2.0;2;;4584.0
Coevorden-G0109;36;34;5860;6681;1879;1813;2463;1091;476;294;127;268;298;39.0;40.0;33.0;18.0;14;7;1;4.0;4;;6469.0
Cranendonck-G1706;19;23;3559;2093;1550;1656;1409;691;38;127;17;147;320;37.0;12.0;17.0;15.0;13;2;3;2.0;0;;4073.0
Cromstrijen-G0611;7;7;2642;1653;873;507;636;453;249;84;497;168;142;11.0;10.0;2.0;10.0;4;6;0;2.0;3;;2128.0
Cuijk-G1684;27;33;3478;3015;1238;3139;1379;939;40;222;6;161;227;34.0;19.0;10.0;15.0;11;8;3;2.0;0;;4712.0
Culemborg-G0216;32;19;4308;4157;1662;1274;995;1353;341;631;161;332;297;52.0;47.0;7.0;17.0;8;4;6;3.0;1;;4770.0
Dalfsen-G0148;24;22;4513;3315;968;1216;3361;916;1667;225;406;157;218;27.0;17.0;15.0;17.0;9;7;5;1.0;3;;3858.0
Dantumadiel-G1891;19;9;1350;3112;972;1099;2163;278;1188;94;669;113;95;21.0;11.0;6.0;8.0;4;2;0;1.0;2;;3701.0
De Bilt-G0310;36;51;8799;5398;1713;1704;1988;3163;822;975;827;598;472;71.0;68.0;27.0;14.0;8;8;4;1.0;3;;5609.0
De Marne-G1663;6;5;1095;1939;465;751;753;281;470;190;65;159;88;13.0;11.0;7.0;4.0;5;1;2;0.0;7;;1873.0
De Ronde Venen-G0736;33;23;11677;3866;2134;1136;2371;2151;744;479;387;388;499;67.0;46.0;24.0;20.0;22;10;6;6.0;5;;6351.0
De Wolden-G1690;25;12;5138;3473;1038;899;1994;973;483;273;127;234;162;30.0;34.0;23.0;7.0;15;8;4;2.0;1;;3613.0
Delft-G0503;157;163;11941;14692;5088;4555;2994;8353;1459;2402;320;1322;995;384.0;114.0;62.0;34.0;27;37;12;8.0;10;;17726.0
Delfzijl-G0010;40;38;2479;5214;1420;1677;1235;508;723;156;65;258;260;58.0;14.0;18.0;9.0;7;8;3;2.0;4;;6437.0
Den Helder-G0400;61;49;9202;6515;4319;2752;1987;1601;1014;381;233;736;1021;120.0;62.0;57.0;41.0;40;9;19;5.0;11;;14659.0
Deurne-G0762;23;46;5773;3148;1920;2721;2320;1070;61;204;19;180;368;43.0;32.0;21.0;14.0;12;16;1;3.0;0;;6783.0
Deventer-G0150;125;77;11759;18761;4177;5537;3850;5314;1285;1822;148;1032;856;186.0;112.0;66.0;40.0;42;18;9;16.0;14;;18154.0
Diemen-G0384;42;25;3520;4027;1316;1224;511;1229;159;447;14;352;341;60.0;19.0;20.0;17.0;17;10;3;4.0;3;;5055.0
Dinkelland-G1774;28;19;5193;2540;1294;1198;4195;883;90;133;26;125;273;22.0;19.0;36.0;3.0;14;3;25;0.0;1;;3625.0
Dirksland-G0504;10;5;1151;745;566;322;426;113;351;33;1131;56;73;12.0;10.0;5.0;7.0;7;0;0;1.0;2;;1383.0
