RegioNaam;@invalid;@blank;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;PPNL;Partij voor Mens en Spirit (MenS);SOPN;Partij van de Toekomst (PvdT);Democratisch Politiek Keerpunt DPK;Libertarische Partij (LP);Nederland Lokaal;Liberaal Democratische Partij (LibDem);Anti Europa Partij;Politieke Partij NXD;@abs
Leek-G0022;23;21;2271;3794;773;1041;1245;623;942;234;139;166;154;32.0;31.0;10.0;8.0;5;6;4;1.0;4;;3379.0
Leerdam-G0545;19;13;2864;2615;1283;749;1026;469;783;131;1002;163;152;23.0;20.0;8.0;5.0;3;1;12;2.0;1;;4126.0
Leeuwarden-G0080;112;96;8778;22341;4005;6069;3835;3706;1809;1313;203;1151;616;250.0;128.0;88.0;52.0;37;28;6;6.0;7;;19551.0
Leeuwarderadeel-G0081;8;4;1132;2481;400;636;921;305;235;86;24;91;56;14.0;12.0;11.0;4.0;2;0;1;1.0;1;;1621.0
Leiden-G0546;186;174;14204;20845;6180;5869;2733;10546;1303;3364;243;2001;969;408.0;124.0;67.0;31.0;61;42;17;19.0;15;;19869.0
Leiderdorp-G0547;53;30;5202;3975;1372;1079;1165;1767;317;430;167;338;324;46.0;14.0;20.0;10.0;9;7;2;2.0;1;;3979.0
Leidschendam-Voorburg-G1916;119;62;14689;8781;4178;2590;3394;4750;700;946;174;1136;1063;158.0;77.0;54.0;22.0;49;18;4;16.0;4;;12339.0
Lelystad-G0995;100;62;10254;9790;5624;3649;1858;2142;1324;695;290;939;1040;202.0;110.0;79.0;59.0;37;17;9;5.0;17;;17117.0
Lemsterland-G0082;22;12;2448;1980;714;691;935;431;211;91;67;102;119;20.0;27.0;7.0;12.0;17;0;0;1.0;1;;2313.0
Leudal-G1640;32;55;5968;3398;3261;2538;2627;1314;90;362;30;300;533;46.0;55.0;20.0;19.0;25;7;22;4.0;0;;7776.0
Leusden-G0327;31;29;6555;3555;1063;1055;1831;1716;984;525;350;306;332;44.0;50.0;19.0;5.0;11;11;4;7.0;6;;3765.0
Liesveld-G0694;10;8;1542;853;408;248;761;171;870;49;884;53;86;5.0;5.0;8.0;3.0;2;2;0;0.0;0;;1274.0
Lingewaal-G0733;10;6;1980;1319;746;356;796;288;499;75;351;103;115;12.0;6.0;1.0;10.0;39;0;2;0.0;0;;1709.0
Lingewaard-G1705;59;37;8288;6629;2580;3029;2435;2078;154;464;37;382;525;54.0;47.0;35.0;40.0;24;6;5;1.0;5;;8260.0
Lisse-G0553;26;16;5148;2190;1269;757;1403;1020;291;198;689;225;350;34.0;33.0;5.0;15.0;21;4;1;2.0;2;;3325.0
Littenseradiel-G0140;12;7;1519;2104;295;540;1331;358;168;144;13;109;39;29.0;17.0;12.0;6.0;4;2;0;1.0;4;;1541.0
Lochem-G0262;27;28;7159;5606;997;1673;2215;2169;237;532;41;372;309;39.0;65.0;19.0;14.0;9;9;3;4.0;2;;4832.0
Loon op Zand-G0809;10;14;4253;2633;1630;1542;1239;831;80;184;74;217;374;34.0;23.0;20.0;9.0;9;3;2;3.0;3;;4845.0
Lopik-G0331;13;10;2645;980;981;375;1231;327;675;77;621;108;127;16.0;5.0;7.0;6.0;5;1;2;2.0;1;;2172.0
Loppersum-G0024;10;10;952;1993;392;682;877;313;555;184;92;125;71;12.0;11.0;11.0;6.0;1;3;1;2.0;0;;1723.0
Losser-G0168;19;28;3213;2901;1431;1396;2288;689;99;138;25;123;322;29.0;20.0;16.0;4.0;17;3;2;3.0;1;;4870.0
Maasdonk-G1671;15;9;2005;968;765;1029;879;338;16;82;3;54;123;18.0;10.0;7.0;3.0;7;1;0;2.0;0;;2313.0
Maasdriel-G0263;27;18;4865;2258;2090;1342;1496;797;181;183;275;168;260;45.0;27.0;23.0;13.0;11;3;1;12.0;4;;4119.0
Maasgouw-G1641;29;40;3681;2502;2495;1611;1455;808;72;208;18;250;397;49.0;48.0;24.0;13.0;9;11;5;7.0;2;;5878.0
Maassluis-G0556;47;38;5273;4294;2384;1402;1673;1055;626;222;149;370;452;47.0;35.0;28.0;15.0;21;6;2;0.0;3;;6221.0
Maastricht-G0935;148;150;11894;17222;9022;7834;4223;6240;410;1849;59;1355;1168;248.0;172.0;96.0;52.0;40;47;6;9.0;11;;29079.0
Marum-G0025;9;1;1380;1716;517;545;788;256;369;120;72;84;73;21.0;9.0;4.0;0.0;6;4;0;2.0;2;;1974.0
Medemblik-G0420;43;29;8645;4681;2505;1967;2781;1581;588;407;222;520;808;66.0;55.0;66.0;38.0;21;14;3;2.0;8;;7677.0
Meerssen-G0938;29;25;2872;2591;1652;1476;1222;806;59;233;14;205;247;27.0;55.0;15.0;17.0;14;4;2;6.0;0;;3898.0
Menameradiel-G1908;14;10;1686;3041;506;721;1250;430;250;137;37;105;83;14.0;12.0;6.0;7.0;5;2;5;2.0;1;;2250.0
Menterwolde-G1987;13;6;1193;2964;762;1004;329;307;245;119;29;136;97;17.0;4.0;8.0;9.0;12;3;0;3.0;1;;2568.0
Meppel-G0119;40;24;5131;5801;1549;1771;1685;1322;1017;414;107;299;273;54.0;48.0;45.0;18.0;13;7;5;5.0;4;;5429.0
Middelburg-G0687;44;43;5273;7476;2031;2729;2435;1856;1696;744;2368;633;437;94.0;53.0;36.0;23.0;14;11;7;7.0;7;;8494.0
Middelharnis-G0559;14;19;2629;1840;1115;686;820;404;948;113;1864;152;174;26.0;5.0;6.0;10.0;6;4;1;0.0;0;;3161.0
Midden-Delfland-G1842;17;17;4628;1732;821;504;1715;978;357;233;63;167;175;35.0;24.0;6.0;9.0;10;2;1;0.0;2;;2216.0
Midden-Drenthe-G1731;34;13;5371;6630;1461;1683;2620;1126;798;387;159;272;287;41.0;41.0;30.0;7.0;25;10;5;0.0;15;;5256.0
Mill en Sint Hubert-G0815;8;9;1891;1022;680;1491;993;272;21;68;4;54;131;11.0;8.0;12.0;3.0;8;7;0;2.0;1;;1831.0
Millingen aan de Rijn-G0265;3;5;695;1114;339;592;224;167;10;48;6;62;74;19.0;5.0;3.0;3.0;1;1;1;0.0;0;;1216.0
Moerdijk-G1709;22;18;6171;4057;2581;2412;2029;1151;545;259;107;412;543;48.0;29.0;19.0;17.0;16;3;8;7.0;4;;7954.0
Montferland-G1955;33;22;5351;5139;2533;2412;2624;1079;94;232;23;293;393;43.0;40.0;28.0;18.0;13;7;5;7.0;2;;7187.0
Montfoort-G0335;5;11;3054;1291;713;395;900;595;422;119;445;104;148;36.0;16.0;6.0;4.0;12;2;5;9.0;0;;1770.0
Mook en Middelaar-G0944;5;12;1457;1120;349;722;413;514;34;133;3;107;69;8.0;18.0;7.0;5.0;0;3;0;1.0;0;;1150.0
Muiden-G0424;11;6;1394;891;299;217;293;589;28;100;6;94;74;11.0;4.0;4.0;1.0;4;1;1;1.0;1;;832.0
Naarden-G0425;12;13;4800;1886;533;400;653;1362;125;271;47;211;161;19.0;10.0;10.0;8.0;7;4;1;1.0;2;;1933.0
Neder-Betuwe-G1740;24;6;2803;2326;1293;555;820;390;586;85;3916;127;143;16.0;7.0;7.0;8.0;7;4;1;5.0;3;;3251.0
Nederlek-G0643;18;5;2680;2019;961;645;629;480;380;104;572;222;142;27.0;9.0;4.0;12.0;6;5;0;2.0;3;;2161.0
Nederweert-G0946;16;29;3017;1656;1405;1129;1359;491;29;146;2;116;174;25.0;25.0;14.0;10.0;12;5;4;0.0;2;;3583.0
Neerijnen-G0304;8;3;2267;1258;894;419;622;321;229;80;875;97;91;7.0;7.0;3.0;1.0;4;0;0;3.0;4;;1738.0
Nieuwegein-G0356;85;58;9508;9079;4435;3272;2169;2394;737;725;194;651;943;132.0;62.0;38.0;25.0;18;20;8;9.0;16;;12522.0
Nieuwkoop-G0569;18;23;6579;2291;1697;769;1960;1080;451;231;314;234;336;40.0;32.0;9.0;13.0;14;3;10;0.0;0;;4769.0
Nieuw-Lekkerland-G0571;8;4;830;882;448;258;442;122;754;36;1604;61;55;9.0;7.0;3.0;5.0;3;0;0;0.0;0;;1170.0
Nijkerk-G0267;44;26;7389;3448;2191;1188;3084;1315;2367;295;1748;269;411;37.0;34.0;27.0;18.0;17;2;4;7.0;6;;6197.0
Nijmegen-G0268;204;201;15609;31236;6882;14458;4705;12347;933;5755;109;2191;1360;435.0;230.0;110.0;63.0;40;32;14;30.0;9;;31750.0
Noord-Beveland-G1695;8;10;1427;954;478;435;478;250;130;62;209;98;83;10.0;14.0;11.0;1.0;9;1;8;0.0;0;;1306.0
Noordenveld-G1699;43;24;4985;6579;1370;1633;1518;1448;654;482;82;307;232;39.0;39.0;20.0;16.0;13;11;4;2.0;3;;4927.0
Noordoostpolder-G0171;47;35;7597;4688;2408;1861;3816;1386;2097;341;1021;297;332;63.0;55.0;36.0;36.0;12;5;4;1.0;3;;7512.0
Noordwijk-G0575;41;40;6596;2730;1517;860;1150;1138;199;288;63;295;377;41.0;21.0;27.0;17.0;6;9;0;2.0;6;;4135.0
Noordwijkerhout-G0576;21;24;3883;1458;981;597;980;684;68;189;14;171;265;30.0;22.0;10.0;12.0;8;4;0;1.0;2;;2479.0
Nuenen, Gerwen en Nederwetten-G0820;22;22;4638;2969;1042;1648;1478;1438;90;292;11;195;297;22.0;29.0;14.0;7.0;11;2;3;1.0;0;;3523.0
Nunspeet-G0302;32;11;3989;1558;1214;667;1877;525;2223;149;4013;156;147;20.0;14.0;6.0;10.0;10;1;2;1.0;0;;3408.0
Nuth-G0951;30;24;2205;1950;1616;1228;1183;534;34;206;8;184;213;22.0;25.0;7.0;7.0;27;8;2;2.0;2;;3110.0
Oegstgeest-G0579;13;20;5093;2942;684;689;1008;2206;370;444;74;298;195;60.0;23.0;11.0;5.0;5;5;3;2.0;1;;2529.0
Oirschot-G0823;23;19;3348;1764;1045;1537;1500;764;32;124;4;108;264;36.0;13.0;14.0;12.0;2;2;1;2.0;0;;3295.0
Oisterwijk-G0824;27;20;5496;2965;1121;1681;1601;1333;89;271;11;235;305;29.0;26.0;19.0;10.0;7;6;1;2.0;4;;4765.0
Oldambt-G1895;51;27;3492;9073;2368;3494;1325;856;811;271;74;405;290;54.0;18.0;38.0;29.0;13;7;10;4.0;8;;8431.0
Oldebroek-G0269;23;10;2136;2050;1152;680;1779;339;2757;81;1972;100;148;15.0;7.0;11.0;7.0;7;4;4;2.0;2;;4065.0
Oldenzaal-G0173;36;40;5104;4678;1649;2226;2646;1446;86;288;23;220;368;49.0;34.0;41.0;29.0;8;4;4;2.0;3;;5691.0
Olst-Wijhe-G1773;11;10;2739;3089;659;964;1466;730;181;242;46;156;175;20.0;21.0;18.0;9.0;4;2;3;1.0;0;;3026.0
Ommen-G0175;10;14;2830;1998;634;717;2306;643;1281;136;169;130;114;23.0;23.0;8.0;15.0;6;1;10;1.0;1;;2382.0
Onderbanken-G0881;12;14;913;1041;1072;777;416;208;20;72;5;93;74;17.0;9.0;6.0;1.0;2;0;2;0.0;1;;1582.0
Oost Gelre-G1586;21;17;5093;3899;1151;1758;3293;1290;91;176;26;173;314;39.0;24.0;41.0;17.0;12;4;4;2.0;1;;5584.0
Oosterhout-G0826;50;43;9147;6910;3895;3292;2098;2367;206;489;34;438;683;75.0;59.0;62.0;22.0;37;8;1;2.0;5;;11538.0
Oostflakkee-G0580;8;1;1543;1309;846;437;491;219;383;73;531;110;131;12.0;5.0;23.0;8.0;4;2;0;0.0;3;;2064.0
Ooststellingwerf-G0085;26;19;3164;5248;1301;1595;1769;726;591;267;116;314;198;44.0;46.0;32.0;16.0;15;5;27;2.0;6;;4891.0
Oostzaan-G0431;13;3;1927;1308;735;397;206;378;81;143;14;122;126;22.0;17.0;8.0;4.0;5;2;2;2.0;2;;1540.0
Opmeer-G0432;7;14;2434;1251;557;466;891;455;39;95;14;93;213;21.0;15.0;12.0;8.0;9;1;4;1.0;0;;2015.0
Opsterland-G0086;18;12;3423;6204;1064;1725;2046;918;1306;390;227;232;149;36.0;40.0;32.0;26.0;14;4;8;2.0;2;;5123.0
Oss-G0828;108;108;12010;9921;5436;9417;3942;3229;199;693;48;633;1015;135.0;85.0;39.0;41.0;27;10;10;14.0;5;;17620.0
Oud-Beijerland-G0584;27;19;4161;2705;1470;993;1034;920;699;209;1289;237;242;30.0;25.0;19.0;8.0;9;5;1;5.0;4;;3742.0
Oude IJsselstreek-G1509;32;33;5698;6331;2092;2956;3172;1345;270;324;42;306;424;44.0;32.0;29.0;11.0;10;10;5;1.0;8;;7743.0
Ouder-Amstel-G0437;12;18;2893;1837;532;415;542;997;99;218;85;206;228;28.0;13.0;5.0;9.0;4;4;1;6.0;2;;1772.0
Ouderkerk-G0644;9;7;1399;853;462;217;396;206;490;47;821;86;57;11.0;1.0;3.0;2.0;5;2;2;0.0;0;;1083.0
Oudewater-G0589;2;8;2388;812;510;247;864;377;292;73;248;80;99;17.0;6.0;13.0;4.0;5;3;2;1.0;3;;1437.0
Overbetuwe-G1734;31;15;8025;6025;2345;2519;2644;2174;752;562;565;398;482;55.0;47.0;32.0;19.0;23;8;0;0.0;1;;8138.0
Papendrecht-G0590;28;37;5390;3952;2067;1412;1530;979;1238;244;887;335;444;52.0;32.0;16.0;12.0;17;11;4;3.0;6;;5891.0
Peel en Maas-G1894;41;70;7202;3936;4168;2759;3548;1398;76;368;15;311;577;67.0;38.0;23.0;24.0;19;14;17;1.0;3;;9035.0
Pekela-G0765;20;17;795;2777;954;1228;420;158;203;93;45;119;88;18.0;8.0;6.0;1.0;5;0;2;0.0;9;;3042.0
Pijnacker-Nootdorp-G1926;36;34;10833;4884;3066;1460;2445;2608;735;617;235;575;463;75.0;46.0;32.0;20.0;42;18;11;9.0;2;;7341.0
Purmerend-G0439;127;86;12801;11714;6209;4264;1929;2582;427;641;77;993;1255;164.0;77.0;73.0;49.0;63;29;17;7.0;17;;17719.0
Putten-G0273;26;12;4462;1537;1195;594;2249;479;2120;152;1628;146;185;35.0;21.0;10.0;12.0;5;5;0;2.0;3;;3189.0
Raalte-G0177;26;41;6562;4796;1314;1953;4513;1545;341;317;46;170;366;43.0;31.0;23.0;17.0;25;0;4;2.0;4;;6240.0
Reimerswaal-G0703;24;17;2310;1606;1155;724;1055;267;582;92;4082;118;130;24.0;8.0;11.0;10.0;6;0;3;1.0;2;;3175.0
Renkum-G0274;33;12;5508;4925;1217;1615;1740;2348;411;725;133;500;344;52.0;55.0;33.0;9.0;6;3;0;4.0;4;;5238.0
Renswoude-G0339;7;1;1123;204;214;85;508;78;182;18;524;24;38;4.0;1.0;6.0;1.0;0;4;1;1.0;0;;525.0
Reusel-De Mierden-G1667;4;14;2278;1283;632;1078;997;387;26;68;1;81;244;12.0;4.0;11.0;6.0;3;2;1;1.0;0;;2821.0
Rheden-G0275;48;29;6139;7851;2317;2926;2057;2390;539;775;129;621;427;66.0;61.0;41.0;18.0;12;6;0;5.0;6;;8123.0
Rhenen-G0340;32;9;3284;1926;1140;520;911;762;511;205;1841;140;181;17.0;13.0;4.0;4.0;13;4;3;0.0;1;;2867.0
Ridderkerk-G0597;53;31;6248;5724;3555;2081;2028;1123;1486;260;2452;569;661;62.0;35.0;39.0;26.0;31;12;7;0.0;13;;9576.0
Rijnwaarden-G0196;6;15;1439;1710;953;821;519;297;26;71;5;91;136;11.0;15.0;9.0;7.0;3;3;2;0.0;3;;2461.0
Rijnwoude-G1672;18;20;3931;1846;989;710;1279;803;490;175;691;148;225;33.0;18.0;13.0;11.0;11;5;2;3.0;1;;2873.0
Rijssen-Holten-G1742;58;20;4488;3033;1483;1121;3042;670;2935;140;5746;143;203;31.0;11.0;9.0;13.0;14;5;2;1.0;4;;4422.0
Rijswijk-G0603;84;79;7828;6289;4080;2018;1816;2546;448;593;115;713;899;123.0;63.0;40.0;30.0;34;12;4;7.0;6;;9249.0
Roerdalen-G1669;13;33;2951;2215;2668;1436;1313;522;57;197;9;220;258;26.0;30.0;4.0;10.0;16;8;1;2.0;2;;4805.0
Roermond-G0957;77;72;7282;6620;5249;3452;2032;2003;162;583;22;623;576;73.0;75.0;37.0;23.0;20;10;73;6.0;5;;15192.0
Roosendaal-G1674;105;59;11872;9708;5872;4849;3157;2527;280;583;40;695;1039;99.0;99.0;64.0;39.0;32;11;77;7.0;15;;17574.0
Rotterdam-G0599;1303;745;56292;88314;36860;27337;12221;23286;5544;7310;2379;7244;5460;1202.0;448.0;474.0;301.0;240;213;102;81.0;94;;165540.0
Rozendaal-G0277;2;1;503;170;46;35;96;133;15;29;4;21;11;0.0;2.0;0.0;0.0;0;1;0;1.0;0;;75.0
Rucphen-G0840;17;11;3048;2210;3242;1303;1022;348;34;90;4;178;272;15.0;11.0;13.0;7.0;7;4;5;1.0;2;;6388.0
Saba-O9003;4;2;9;44;3;20;4;121;2;9;0;5;1;;;;;1;0;0;;3;;574.0
Schagen-G0441;20;16;3616;3074;888;1029;768;901;115;188;20;222;304;31.0;24.0;27.0;12.0;12;4;2;5.0;3;;3364.0
Schermer-G0458;6;4;1326;692;261;239;335;256;25;67;7;64;61;9.0;10.0;8.0;4.0;3;1;0;1.0;2;;792.0
Scherpenzeel-G0279;9;1;1875;591;420;184;627;201;468;56;1168;32;68;5.0;7.0;2.0;3.0;1;0;0;0.0;1;;1164.0
Schiedam-G0606;126;85;8174;11039;6335;3739;2164;2209;585;664;175;941;1001;146.0;63.0;52.0;45.0;31;15;20;12.0;7;;18090.0
Schiermonnikoog-G0088;7;0;252;356;29;107;101;101;35;33;65;42;8;4.0;2.0;1.0;1.0;0;0;0;0.0;0;;
Schijndel-G0844;17;13;3589;2738;1446;2121;1220;864;35;159;7;147;291;37.0;22.0;10.0;24.0;2;4;3;2.0;1;;5223.0
Schinnen-G0962;17;20;1812;1803;1276;1006;953;524;51;186;11;142;151;27.0;27.0;13.0;3.0;10;7;0;1.0;0;;2390.0
Schoonhoven-G0608;21;15;2216;1427;602;503;671;519;375;119;208;151;157;26.0;18.0;6.0;8.0;6;2;2;0.0;3;;1931.0
Schouwen-Duiveland-G1676;47;39;6802;4256;1962;1655;2150;1060;930;288;1981;429;343;39.0;60.0;24.0;16.0;14;7;3;6.0;4;;5010.0
's-Gravenhage-G0518;1090;645;71833;73860;30758;20332;11864;31982;4144;9408;1375;7471;4425;1201.0;556.0;391.0;237.0;201;180;44;103.0;75;;111598.0
's-Hertogenbosch-G0796;175;146;21349;19494;9175;10366;4664;8168;506;2440;103;1497;1729;273.0;197.0;127.0;56.0;45;23;16;12.0;15;;28939.0
Simpelveld-G0965;5;15;1087;1562;1287;859;704;299;17;67;4;102;116;24.0;15.0;6.0;11.0;6;0;1;0.0;0;;2340.0
Sint Anthonis-G1702;9;16;2221;935;472;1798;1275;378;18;100;5;64;79;11.0;17.0;7.0;3.0;3;3;0;1.0;2;;1707.0
Sint Eustatius-O9002;3;9;23;74;2;57;9;73;4;15;2;0;2;;;;;0;0;0;;1;;1486.0
Sint-Michielsgestel-G0845;32;27;4912;3332;1509;2128;1764;1460;67;322;12;233;291;31.0;27.0;13.0;15.0;16;9;5;0.0;1;;5345.0
Sint-Oedenrode-G0846;16;22;3378;2061;901;1519;1443;737;36;125;10;91;195;25.0;16.0;17.0;6.0;3;4;1;4.0;0;;3198.0
Sittard-Geleen-G1883;101;170;10109;12202;10114;7406;4858;3177;274;1043;40;995;1096;151.0;143.0;120.0;38.0;44;14;9;10.0;8;;22518.0
Skarsterlân-G0051;23;21;4167;5061;1184;1272;2633;903;452;204;78;210;195;36.0;44.0;34.0;25.0;11;7;5;1.0;5;;4497.0
Sliedrecht-G0610;38;9;2817;2720;1258;1025;1184;454;1506;124;2266;193;256;35.0;17.0;13.0;7.0;2;3;0;1.0;4;;4610.0
Slochteren-G0040;26;14;1987;2880;704;919;717;482;828;181;119;206;117;19.0;11.0;13.0;10.0;8;2;8;0.0;0;;2786.0
Sluis-G1714;22;18;4251;3168;1546;1350;1429;617;208;200;114;208;235;23.0;18.0;45.0;12.0;11;6;4;30.0;3;;4506.0
Smallingerland-G0090;78;59;5120;11353;2450;3273;4102;1496;2974;501;419;431;372;77.0;76.0;48.0;29.0;23;11;20;29.0;3;;9614.0
Soest-G0342;47;32;10312;4931;2244;1615;2067;2481;834;631;407;521;553;84.0;61.0;63.0;21.0;19;7;4;7.0;8;;7550.0
Someren-G0847;15;22;3576;1652;1301;1435;1514;607;55;107;5;121;293;25.0;24.0;11.0;8.0;13;7;2;1.0;3;;3591.0
Son en Breugel-G0848;12;23;3523;1613;750;1012;965;911;74;152;15;131;227;23.0;18.0;13.0;6.0;7;0;2;2.0;1;;2681.0
Spijkenisse-G0612;87;88;9046;9917;7947;4257;1574;1569;714;406;222;1006;1134;162.0;42.0;58.0;43.0;72;11;14;3.0;14;;18289.0
Stadskanaal-G0037;49;19;2792;6010;1747;2177;2320;520;1737;157;250;231;228;27.0;15.0;37.0;20.0;10;7;4;1.0;8;;7583.0
Staphorst-G0180;16;6;1815;785;610;258;1147;183;1643;52;3223;55;66;17.0;4.0;5.0;5.0;4;0;0;0.0;3;;1527.0
Stede Broec-G0532;15;17;3848;2701;1420;1203;1126;746;128;178;49;258;515;47.0;24.0;37.0;25.0;14;6;4;3.0;4;;3914.0
Steenbergen-G0851;22;25;3921;2698;2195;1416;1019;648;167;129;166;243;272;28.0;11.0;12.0;5.0;9;5;17;1.0;2;;5422.0
Steenwijkerland-G1708;48;33;7230;6686;2144;2149;3436;1386;1735;389;301;406;356;72.0;51.0;34.0;16.0;18;9;5;6.0;7;;7295.0
Stein-G0971;30;33;2992;3191;3203;2218;1234;786;45;217;11;305;456;37.0;41.0;45.0;14.0;13;3;6;2.0;0;;5817.0
Stichtse Vecht-G1904;65;42;13402;7647;3830;2285;2912;3405;1048;870;804;741;738;88.0;57.0;22.0;28.0;25;29;10;4.0;7;;10185.0
Strijen-G0617;6;5;1658;1071;678;371;554;271;295;73;202;129;101;12.0;12.0;6.0;3.0;3;0;0;0.0;1;;1558.0
Súdwest-Fryslân-G1900;78;49;11268;14224;3490;4359;8900;2617;1551;861;198;690;607;131.0;112.0;85.0;37.0;45;15;10;5.0;8;;14024.0
Ten Boer-G0009;7;3;666;1471;241;431;516;232;596;116;93;66;52;11.0;7.0;2.0;4.0;3;1;0;1.0;0;;1061.0
Terneuzen-G0715;69;53;6443;7061;3823;2812;2686;1269;1410;372;1241;394;520;69.0;37.0;51.0;32.0;32;12;27;17.0;6;;12682.0
Terschelling-G0093;5;7;1311;1275;276;349;418;321;112;133;22;103;82;8.0;7.0;3.0;1.0;3;0;0;0.0;1;;
Texel-G0448;15;8;3437;2409;703;961;964;843;196;325;68;244;196;18.0;34.0;10.0;4.0;7;2;4;0.0;1;;185.0
Teylingen-G1525;26;33;8729;3861;1630;1247;2113;2047;339;405;61;364;460;66.0;41.0;12.0;16.0;20;12;1;3.0;3;;5125.0
Tholen-G0716;21;11;2952;2426;1622;1115;1149;359;882;88;3536;221;196;27.0;13.0;9.0;10.0;16;2;5;5.0;0;;4300.0
Tiel-G0281;42;30;6236;5976;2849;1978;1231;1305;390;368;169;407;382;59.0;37.0;27.0;17.0;13;7;0;4.0;9;;9358.0
Tilburg-G0855;228;219;25079;28038;10855;14732;6534;10436;604;2802;132;1983;2544;386.0;189.0;152.0;113.0;109;49;14;28.0;26;;52482.0
Tubbergen-G0183;22;15;4266;1586;1124;895;3754;549;56;72;14;79;181;25.0;16.0;22.0;14.0;16;4;5;1.0;4;;3193.0
Twenterand-G1700;38;19;3550;3639;2017;1561;4242;534;2187;163;812;186;261;42.0;17.0;22.0;15.0;25;1;4;5.0;6;;6335.0
Tynaarlo-G1730;23;25;5727;6612;1118;1402;1431;1939;704;583;53;382;266;56.0;35.0;23.0;8.0;7;8;72;3.0;2;;4704.0
Tytsjerksteradiel-G0737;28;33;3392;6049;1231;1714;3434;822;1205;348;191;243;193;48.0;43.0;16.0;19.0;8;8;7;2.0;4;;5513.0
Ubbergen-G0282;15;4;1370;1613;380;753;614;601;33;296;7;159;118;13.0;21.0;6.0;1.0;4;3;3;2.0;2;;1477.0
Uden-G0856;38;43;7608;4429;2314;3809;2318;1770;87;321;15;322;504;43.0;53.0;32.0;19.0;12;12;2;8.0;4;;7617.0
Uitgeest-G0450;18;7;2825;1895;666;623;538;672;49;169;9;165;164;25.0;12.0;8.0;4.0;7;3;2;2.0;1;;1882.0
Uithoorn-G0451;35;19;6695;3182;1613;1025;1027;1329;216;335;36;365;414;59.0;31.0;16.0;21.0;24;14;4;2.0;8;;4459.0
Urk-G0184;18;9;635;97;884;78;1275;19;1816;12;5161;16;22;40.0;3.0;3.0;2.0;1;2;0;0.0;1;;2109.0
Utrecht-G0344;375;448;38406;53015;11208;12782;7537;31325;3769;12048;607;4135;1971;898.0;344.0;198.0;91.0;47;119;15;46.0;19;;56093.0
Utrechtse Heuvelrug-G1581;78;33;10377;5654;1916;1674;2680;3117;947;1037;1302;721;539;60.0;85.0;37.0;19.0;18;5;3;16.0;0;;6665.0
Vaals-G0981;10;8;771;1069;776;615;377;245;44;83;12;94;99;19.0;7.0;14.0;4.0;2;1;1;0.0;1;;1948.0
Valkenburg aan de Geul-G0994;24;15;2745;2035;1625;1196;1149;808;66;193;8;245;200;27.0;34.0;14.0;6.0;5;0;3;7.0;1;;3380.0
Valkenswaard-G0858;35;29;5201;3691;2139;2604;1789;1126;88;248;11;242;577;44.0;23.0;33.0;18.0;20;3;5;16.0;1;;6397.0
Veendam-G0047;18;20;2761;6678;1506;1920;905;699;468;176;68;279;236;31.0;27.0;13.0;10.0;7;3;5;2.0;14;;6118.0
Veenendaal-G0345;95;66;9589;6084;3343;1935;3427;1701;4765;397;3927;389;541;73.0;44.0;27.0;18.0;17;17;4;3.0;5;;10095.0
Veere-G0717;18;13;4196;2807;884;899;2006;806;753;255;1991;285;228;23.0;21.0;14.0;6.0;4;3;4;4.0;1;;1809.0
Veghel-G0860;33;28;6736;4086;2061;2921;2683;1458;66;263;12;259;396;72.0;25.0;15.0;19.0;19;5;2;4.0;3;;6884.0
Veldhoven-G0861;35;44;7396;5282;2811;3554;2286;1929;240;374;27;396;807;84.0;38.0;34.0;34.0;22;5;4;6.0;6;;8659.0
Velsen-G0453;58;60;10916;9851;4838;3251;2216;2776;771;735;98;945;1085;150.0;52.0;43.0;40.0;47;9;9;9.0;9;;13354.0
Venlo-G0983;131;155;12940;10808;10668;6435;4296;3156;246;1127;49;788;1113;141.0;132.0;56.0;42.0;46;18;9;7.0;11;;23100.0
Venray-G0984;50;41;6531;4542;2650;4061;2992;1651;118;348;19;241;580;56.0;35.0;31.0;16.0;19;5;3;7.0;3;;8535.0
Vianen-G0620;27;24;3470;2526;1346;814;936;768;357;203;327;211;255;25.0;13.0;13.0;8.0;6;9;4;2.0;3;;3712.0
Vlaardingen-G0622;103;67;8932;10363;5721;3895;2427;2279;972;747;624;891;1008;133.0;56.0;45.0;26.0;27;11;6;5.0;15;;15768.0
Vlagtwedde-G0048;28;18;1752;3013;1134;1080;1025;314;302;147;51;192;141;23.0;16.0;19.0;7.0;7;2;3;0.0;1;;3621.0
Vlieland-G0096;0;6;324;334;52;87;69;123;29;65;0;43;19;4.0;2.0;0.0;0.0;0;0;1;0.0;0;;
Vlissingen-G0718;58;32;5212;6733;2837;2783;1573;1250;688;411;536;526;560;90.0;62.0;43.0;27.0;19;4;10;5.0;6;;10739.0
Vlist-G0623;8;4;2075;954;538;294;693;337;314;86;698;101;94;6.0;4.0;5.0;4.0;2;3;2;1.0;0;;1309.0
Voerendaal-G0986;13;14;1883;1733;1191;979;909;558;34;135;9;131;157;25.0;28.0;18.0;4.0;4;3;1;0.0;1;;2343.0
Voorschoten-G0626;27;23;5460;2893;1125;720;1192;1818;226;482;53;339;241;42.0;29.0;15.0;7.0;15;7;3;3.0;3;;3254.0
